1c#tos#f1#f1042059/c  0.662 0.745  0.662 0.848  0.662 0.950  0.662 1.053  0.582 1.075  0.484 1.098  0.392 1.142  0.289 1.142  0.187 1.142  0.098 1.107  0.009 1.075  -0.091 1.053  -0.191 1.028  -0.283 0.990  -0.356 0.918  -0.428 0.845  -0.479 0.759  -0.512 0.662  -0.551 0.567  -0.594 0.475  -0.594 0.372  -0.594 0.269  -0.594 0.167  -0.594 0.064  -0.594 -0.038  -0.594 -0.141  -0.594 -0.244  -0.594 -0.346  -0.594 -0.449  -0.594 -0.552  -0.594 -0.654  -0.555 -0.736  -0.469 -0.793  -0.386 -0.852  -0.313 -0.924  -0.231 -0.974  -0.128 -0.974  -0.026 -0.974  0.077 -0.974  0.180 -0.974  0.282 -0.974  0.385 -0.974  0.488 -0.974  0.590 -0.974  0.693 -0.974  0.782 -0.933  0.864 -0.871  0.946 -0.810  1.033 -0.755  1.124 -0.709
1c#tos#f1#f1042059/e  -0.489 0.067  -0.631 -0.007  -0.628 -0.072  -0.468 -0.072  -0.307 -0.072  -0.147 -0.072  0.014 -0.072  0.174 -0.072  0.271 -0.009  0.287 0.136  0.448 0.136  0.608 0.136  0.712 0.214  0.779 0.343  0.893 0.389  0.893 0.550  0.922 0.706  0.963 0.859  0.963 1.020  0.897 1.165  0.742 1.173  0.581 1.173  0.421 1.173  0.264 1.165  0.137 1.071  0.008 0.978  -0.118 0.896  -0.204 0.775  -0.312 0.658  -0.451 0.586  -0.573 0.505  -0.624 0.353  -0.633 0.194  -0.704 0.051  -0.766 -0.095  -0.766 -0.255  -0.766 -0.416  -0.702 -0.550  -0.627 -0.679  -0.627 -0.840  -0.627 -1.000  -0.527 -1.107  -0.391 -1.192  -0.248 -1.264  -0.124 -1.355  -0.025 -1.454  0.136 -1.454  0.296 -1.454  0.457 -1.454  0.617 -1.454
1c#tos#f1#f1042059/h  -0.029 1.845  -0.181 1.845  -0.333 1.845  -0.345 1.810  -0.345 1.658  -0.345 1.506  -0.339 1.355  -0.292 1.210  -0.292 1.058  -0.292 0.906  -0.292 0.754  -0.292 0.602  -0.292 0.450  -0.292 0.298  -0.292 0.146  -0.292 -0.006  -0.292 -0.158  -0.292 -0.310  -0.292 -0.462  -0.292 -0.614  -0.292 -0.767  -0.292 -0.919  -0.292 -1.071  -0.292 -1.223  -0.292 -1.375  -0.292 -1.315  -0.281 -1.165  -0.244 -1.017  -0.239 -0.866  -0.228 -0.717  -0.149 -0.586  -0.075 -0.454  -0.026 -0.310  0.024 -0.170  0.039 -0.021  0.141 0.075  0.235 0.160  0.282 0.265  0.434 0.265  0.498 0.282  0.544 0.144  0.604 0.010  0.604 -0.143  0.624 -0.292  0.656 -0.440  0.716 -0.555  0.762 -0.679  0.808 -0.824  0.814 -0.975  0.920 -1.052
1c#tos#f1#f1042059/i  0.280 0.062  0.205 0.118  0.112 0.079  0.112 -0.052  0.112 -0.183  0.112 -0.314  0.112 -0.445  0.112 -0.576  0.144 -0.702  0.168 -0.829  0.168 -0.960  0.168 -1.091  0.168 -1.222  0.168 -1.354  0.168 -1.485  0.168 -1.616  0.161 -1.592  0.149 -1.461  0.136 -1.331  0.124 -1.200  0.112 -1.070  0.099 -0.939  0.087 -0.809  0.075 -0.678  0.062 -0.548  0.050 -0.417  0.038 -0.287  0.025 -0.156  0.013 -0.026  0.001 0.105  -0.012 0.235  -0.024 0.366  -0.036 0.496  -0.049 0.627  -0.061 0.758  -0.073 0.888  -0.085 1.019  -0.098 1.149  -0.110 1.280  -0.058 1.185  -0.144 1.268  -0.237 1.361  -0.330 1.454  -0.431 1.495  -0.451 1.459  -0.380 1.393  -0.335 1.280  -0.308 1.166  -0.223 1.087  -0.167 1.012
1c#tos#f1#f1042059/l  0.196 1.523  0.125 1.523  0.054 1.523  0.002 1.505  0.002 1.434  0.002 1.364  0.002 1.293  0.002 1.222  0.002 1.152  -0.037 1.097  -0.046 1.030  -0.046 0.960  -0.046 0.889  -0.046 0.818  -0.046 0.748  -0.046 0.677  -0.046 0.607  -0.046 0.536  -0.033 0.467  -0.010 0.400  0.002 0.332  0.002 0.261  0.002 0.191  0.002 0.120  0.002 0.049  0.002 -0.021  0.002 -0.092  0.002 -0.163  0.002 -0.233  0.002 -0.304  0.002 -0.374  0.002 -0.445  0.002 -0.516  0.002 -0.586  0.002 -0.657  0.002 -0.728  0.002 -0.798  0.002 -0.869  0.002 -0.940  0.002 -1.010  0.002 -1.081  0.002 -1.151  0.002 -1.222  0.002 -1.293  0.002 -1.363  0.002 -1.434  0.002 -1.505  0.002 -1.575  0.002 -1.646  0.002 -1.716
1c#tos#f1#f1042059/n  -0.337 1.111  -0.498 1.111  -0.599 1.013  -0.599 0.976  -0.665 0.887  -0.665 0.726  -0.665 0.564  -0.665 0.403  -0.665 0.242  -0.665 0.080  -0.665 -0.081  -0.665 -0.242  -0.665 -0.404  -0.665 -0.565  -0.665 -0.726  -0.665 -0.887  -0.665 -1.049  -0.686 -1.189  -0.731 -1.306  -0.654 -1.243  -0.599 -1.105  -0.599 -0.943  -0.535 -0.797  -0.468 -0.652  -0.439 -0.503  -0.325 -0.388  -0.257 -0.255  -0.143 -0.141  -0.045 -0.015  0.027 0.129  0.099 0.273  0.171 0.418  0.304 0.492  0.386 0.594  0.418 0.738  0.553 0.828  0.680 0.914  0.842 0.914  0.912 0.822  0.912 0.661  0.988 0.547  1.043 0.420  1.063 0.262  1.109 0.108  1.109 -0.054  1.109 -0.215  1.109 -0.376  1.109 -0.538  1.109 -0.699  1.109 -0.860
1c#tos#f1#f1042059/p  -0.174 1.077  -0.310 1.005  -0.310 0.795  -0.310 0.586  -0.310 0.377  -0.310 0.168  -0.310 -0.041  -0.299 -0.248  -0.242 -0.448  -0.242 -0.657  -0.230 -0.864  -0.174 -1.064  -0.174 -1.274  -0.174 -1.483  -0.174 -1.692  -0.179 -1.799  -0.202 -1.591  -0.224 -1.383  -0.246 -1.175  -0.269 -0.967  -0.291 -0.760  -0.314 -0.552  -0.336 -0.344  -0.359 -0.136  -0.381 0.072  -0.404 0.280  -0.426 0.488  -0.473 0.669  -0.582 0.769  -0.514 0.910  -0.348 0.971  -0.156 1.014  0.047 1.065  0.254 1.077  0.327 1.214  0.537 1.214  0.746 1.214  0.927 1.146  0.984 0.994  0.984 0.785  0.958 0.601  0.875 0.439  0.791 0.253  0.665 0.085  0.521 -0.066  0.447 -0.259  0.349 -0.442  0.192 -0.578  0.012 -0.682  -0.174 -0.761
1c#tos#f1#f1042059/s  0.983 1.300  0.983 1.147  0.869 1.193  0.767 1.243  0.628 1.300  0.475 1.300  0.323 1.300  0.171 1.300  0.035 1.260  -0.111 1.243  -0.251 1.194  -0.362 1.091  -0.386 0.947  -0.437 0.807  -0.437 0.654  -0.345 0.561  -0.208 0.501  -0.123 0.374  -0.040 0.287  0.037 0.182  0.153 0.085  0.270 0.011  0.355 -0.115  0.461 -0.224  0.586 -0.291  0.699 -0.364  0.699 -0.516  0.699 -0.668  0.591 -0.746  0.472 -0.779  0.456 -0.916  0.310 -0.951  0.161 -0.973  0.008 -0.973  -0.144 -0.973  -0.296 -0.973  -0.449 -0.973  -0.494 -0.866  -0.597 -0.756  -0.608 -0.608  -0.608 -0.456  -0.608 -0.303  -0.608 -0.204  -0.608 -0.356  -0.608 -0.508  -0.608 -0.661  -0.603 -0.812  -0.551 -0.952  -0.551 -1.105  -0.551 -1.257
1c#tos#f1#f1042059/u  -0.538 1.093  -0.689 1.073  -0.729 0.942  -0.764 0.806  -0.822 0.646  -0.886 0.487  -0.915 0.322  -0.965 0.163  -0.991 -0.002  -0.991 -0.173  -0.991 -0.344  -0.991 -0.515  -0.991 -0.686  -0.991 -0.857  -0.908 -0.945  -0.737 -0.945  -0.566 -0.945  -0.395 -0.945  -0.335 -0.790  -0.216 -0.718  -0.072 -0.680  -0.018 -0.518  -0.010 -0.348  0.002 -0.184  0.155 -0.108  0.292 -0.022  0.292 0.149  0.292 0.320  0.329 0.487  0.367 0.653  0.367 0.824  0.367 0.995  0.367 1.166  0.443 1.225  0.443 1.054  0.501 0.942  0.556 0.793  0.594 0.626  0.594 0.455  0.594 0.284  0.661 0.129  0.717 -0.032  0.745 -0.199  0.778 -0.364  0.837 -0.525  0.923 -0.670  1.004 -0.816  1.047 -0.980  1.047 -1.151  1.198 -1.171
1c#tos#f1#f1042059/v  -0.400 0.453  -0.621 0.453  -0.647 0.258  -0.647 0.037  -0.642 -0.183  -0.589 -0.397  -0.554 -0.611  -0.472 -0.816  -0.400 -1.010  -0.400 -1.230  -0.303 -1.399  -0.162 -1.519  0.051 -1.499  0.132 -1.300  0.261 -1.140  0.416 -1.024  0.472 -0.811  0.524 -0.598  0.524 -0.377  0.570 -0.162  0.739 -0.063  0.832 0.085  0.832 0.305  0.832 0.526  0.661 0.576  0.440 0.576  0.220 0.576  -0.001 0.576  -0.222 0.576  -0.443 0.576  -0.663 0.576  -0.884 0.576  -1.034 0.475  -1.238 0.404  -1.441 0.330  -1.234 0.330  -1.014 0.330  -0.793 0.330  -0.572 0.330  -0.351 0.330  -0.131 0.330  0.088 0.344  0.303 0.391  0.522 0.412  0.740 0.448  0.935 0.515  1.156 0.515  1.376 0.515  1.597 0.515  1.633 0.576
1c#tos#f1#f1042059/x  -0.650 1.359  -0.824 1.315  -0.802 1.203  -0.765 1.017  -0.650 0.863  -0.650 0.662  -0.536 0.521  -0.421 0.381  -0.399 0.182  -0.360 -0.016  -0.218 -0.089  -0.116 -0.189  -0.116 -0.390  0.000 -0.550  0.090 -0.731  0.180 -0.911  0.246 -1.101  0.389 -1.204  0.495 -1.300  0.532 -1.102  0.569 -0.904  0.606 -0.706  0.643 -0.508  0.681 -0.310  0.718 -0.112  0.755 0.086  0.792 0.284  0.829 0.482  0.866 0.680  0.903 0.878  0.940 1.076  0.804 1.131  0.603 1.131  0.417 1.115  0.317 0.955  0.178 0.810  0.066 0.642  -0.068 0.493  -0.116 0.311  -0.116 0.110  -0.116 -0.092  -0.231 -0.222  -0.411 -0.312  -0.501 -0.489  -0.541 -0.687  -0.593 -0.879  -0.704 -1.047  -0.879 -1.089  -0.879 -1.291  -0.955 -1.461
