3#app#app31#app3192/T  0.033 -0.089  0.114 0.038  0.146 0.185  0.194 0.326  0.194 0.486  0.187 0.468  0.114 0.337  0.114 0.177  0.053 0.031  0.033 -0.125  0.033 -0.286  -0.019 -0.434  -0.048 -0.588  -0.048 -0.748  -0.048 -0.909  -0.048 -1.069  -0.048 -1.230  -0.048 -1.391  -0.048 -1.551  0.029 -1.611  -0.038 -1.465  -0.105 -1.319  -0.172 -1.173  -0.239 -1.027  -0.306 -0.881  -0.373 -0.735  -0.440 -0.589  -0.507 -0.443  -0.573 -0.297  -0.640 -0.151  -0.707 -0.005  -0.774 0.141  -0.841 0.287  -0.854 0.444  -0.724 0.475  -0.568 0.497  -0.425 0.569  -0.281 0.640  -0.132 0.699  0.017 0.759  0.154 0.838  0.267 0.951  0.417 1.006  0.566 1.064  0.712 1.131  0.864 1.182  0.992 1.273  1.149 1.281  1.266 1.386  1.403 1.442
3#app#app31#app3192/w  -0.216 0.372  -0.216 0.534  -0.216 0.696  -0.216 0.858  -0.216 1.021  -0.216 1.183  -0.235 1.326  -0.397 1.326  -0.560 1.326  -0.598 1.202  -0.598 1.039  -0.598 0.877  -0.598 0.715  -0.598 0.553  -0.598 0.390  -0.598 0.228  -0.598 0.066  -0.598 -0.096  -0.598 -0.259  -0.618 -0.412  -0.733 -0.527  -0.789 -0.666  -0.789 -0.829  -0.762 -0.964  -0.600 -0.964  -0.598 -0.804  -0.466 -0.774  -0.407 -0.671  -0.332 -0.583  -0.216 -0.537  -0.199 -0.392  -0.036 -0.392  -0.025 -0.543  0.097 -0.583  0.166 -0.676  0.231 -0.774  0.393 -0.774  0.553 -0.768  0.668 -0.653  0.801 -0.583  0.929 -0.549  0.933 -0.388  1.048 -0.273  1.162 -0.159  1.277 -0.044  1.311 0.104  1.311 0.267  1.311 0.429  1.340 0.563  1.502 0.563
3#app#app31#app3192/o  1.024 0.228  0.905 0.347  0.787 0.465  0.666 0.578  0.499 0.578  0.332 0.578  0.325 0.739  0.325 0.906  0.179 0.927  0.011 0.927  -0.117 0.833  -0.236 0.715  -0.354 0.597  -0.373 0.437  -0.373 0.270  -0.373 0.102  -0.373 -0.065  -0.452 -0.200  -0.570 -0.318  -0.689 -0.436  -0.722 -0.590  -0.722 -0.757  -0.722 -0.925  -0.722 -1.092  -0.722 -1.259  -0.722 -1.427  -0.646 -1.518  -0.478 -1.518  -0.329 -1.474  -0.211 -1.355  -0.092 -1.237  0.026 -1.119  0.144 -1.000  0.263 -0.882  0.325 -0.741  0.325 -0.573  0.325 -0.406  0.325 -0.239  0.325 -0.071  0.325 0.096  0.325 0.264  0.325 0.431  0.325 0.598  0.325 0.766  0.325 0.933  0.325 1.100  0.325 1.268  0.213 1.388  0.095 1.507  -0.024 1.625
3#app#app31#app3192/f  1.046 0.384  1.046 0.545  1.148 0.603  1.148 0.763  1.119 0.895  1.046 0.982  1.015 1.130  0.884 1.202  0.724 1.202  0.563 1.202  0.403 1.202  0.242 1.202  0.082 1.202  0.024 1.099  -0.090 0.986  -0.195 0.866  -0.267 0.722  -0.371 0.602  -0.419 0.452  -0.458 0.296  -0.487 0.139  -0.487 -0.021  -0.487 -0.182  -0.487 -0.342  -0.487 -0.503  -0.469 -0.656  -0.385 -0.782  -0.314 -0.913  -0.201 -1.026  -0.057 -1.067  0.056 -1.181  0.170 -1.294  0.306 -1.353  0.224 -1.268  0.099 -1.168  -0.026 -1.067  -0.152 -0.967  -0.277 -0.867  -0.402 -0.767  -0.528 -0.666  -0.653 -0.566  -0.770 -0.457  -0.776 -0.313  -0.650 -0.229  -0.589 -0.129  -0.448 -0.087  -0.313 -0.025  -0.191 0.067  -0.034 0.078  0.126 0.078
3#app#app31#app3192/l  0.350 1.640  0.300 1.589  0.249 1.539  0.232 1.475  0.232 1.403  0.200 1.339  0.168 1.275  0.136 1.211  0.113 1.145  0.113 1.074  0.113 1.003  0.113 0.931  0.113 0.860  0.104 0.790  0.072 0.727  0.040 0.663  0.008 0.599  -0.006 0.531  -0.006 0.459  -0.006 0.388  -0.011 0.317  -0.034 0.250  -0.056 0.182  -0.079 0.114  -0.102 0.046  -0.124 -0.021  -0.125 -0.093  -0.125 -0.164  -0.125 -0.236  -0.125 -0.307  -0.125 -0.378  -0.125 -0.450  -0.125 -0.521  -0.125 -0.593  -0.125 -0.664  -0.125 -0.736  -0.125 -0.807  -0.125 -0.878  -0.125 -0.950  -0.125 -1.021  -0.125 -1.093  -0.125 -1.164  -0.125 -1.236  -0.125 -1.307  -0.090 -1.364  -0.040 -1.415  -0.006 -1.472  -0.006 -1.543  0.041 -1.568  0.113 -1.568
3#app#app31#app3192/o  0.536 1.488  0.536 1.326  0.536 1.163  0.536 1.001  0.487 0.888  0.325 0.888  0.163 0.888  0.001 0.888  -0.133 0.819  -0.248 0.704  -0.362 0.590  -0.477 0.475  -0.591 0.360  -0.664 0.228  -0.664 0.066  -0.748 -0.012  -0.910 -0.012  -0.964 -0.120  -0.964 -0.283  -0.964 -0.445  -0.964 -0.607  -0.964 -0.769  -0.945 -0.912  -0.783 -0.912  -0.634 -0.943  -0.519 -1.057  -0.404 -1.172  -0.259 -1.212  -0.097 -1.212  0.066 -1.212  0.228 -1.212  0.345 -1.103  0.459 -0.989  0.574 -0.874  0.689 -0.759  0.803 -0.645  0.836 -0.496  0.836 -0.334  0.836 -0.172  0.834 -0.010  0.719 0.104  0.605 0.219  0.536 0.353  0.536 0.515  0.447 0.588  0.285 0.588  0.236 0.701  0.236 0.863  0.098 0.888  -0.064 0.888
3#app#app31#app3192/w  -0.761 0.629  -0.761 0.772  -0.761 0.915  -0.862 0.958  -0.925 1.038  -0.925 1.063  -0.898 0.931  -0.797 0.830  -0.761 0.701  -0.761 0.558  -0.761 0.415  -0.761 0.272  -0.761 0.129  -0.761 -0.014  -0.761 -0.157  -0.761 -0.300  -0.761 -0.443  -0.761 -0.586  -0.761 -0.729  -0.736 -0.848  -0.594 -0.845  -0.493 -0.744  -0.432 -0.626  -0.406 -0.493  -0.305 -0.392  -0.177 -0.355  -0.104 -0.285  -0.070 -0.157  0.032 -0.056  0.060 0.076  0.142 0.137  0.267 0.180  0.368 0.281  0.388 0.186  0.388 0.043  0.388 -0.100  0.388 -0.243  0.419 -0.355  0.562 -0.355  0.705 -0.355  0.848 -0.355  0.991 -0.355  1.108 -0.292  1.210 -0.191  1.353 -0.191  1.483 -0.136  1.611 -0.072  1.743 -0.027  1.886 -0.027  2.029 -0.027
3#app#app31#app3192/e  -0.166 -0.390  -0.286 -0.270  -0.380 -0.139  -0.380 0.030  -0.380 0.200  -0.264 0.253  -0.115 0.304  0.005 0.424  0.157 0.468  0.291 0.524  0.367 0.676  0.443 0.828  0.570 0.896  0.726 0.930  0.846 1.050  0.821 1.111  0.652 1.111  0.482 1.111  0.312 1.111  0.178 1.026  0.058 0.906  -0.062 0.786  -0.189 0.682  -0.358 0.682  -0.485 0.577  -0.605 0.457  -0.725 0.337  -0.845 0.217  -0.964 0.097  -1.023 -0.048  -1.023 -0.218  -1.023 -0.387  -1.023 -0.557  -0.901 -0.604  -0.731 -0.604  -0.594 -0.637  -0.594 -0.807  -0.436 -0.818  -0.267 -0.818  -0.097 -0.818  0.073 -0.818  0.242 -0.818  0.396 -0.885  0.548 -0.961  0.701 -1.033  0.870 -1.033  1.040 -1.033  1.210 -1.033  1.379 -1.033  1.549 -1.033
3#app#app31#app3192/r  -0.248 -1.501  -0.248 -1.402  -0.248 -1.304  -0.248 -1.205  -0.248 -1.106  -0.248 -1.008  -0.317 -0.978  -0.415 -0.978  -0.510 -0.973  -0.510 -0.875  -0.510 -0.776  -0.548 -0.716  -0.647 -0.716  -0.746 -0.716  -0.771 -0.643  -0.771 -0.544  -0.762 -0.454  -0.664 -0.454  -0.565 -0.454  -0.479 -0.424  -0.409 -0.354  -0.339 -0.284  -0.270 -0.215  -0.248 -0.125  -0.248 -0.026  -0.248 0.072  -0.248 0.171  -0.248 0.270  -0.214 0.347  -0.126 0.392  -0.038 0.436  0.051 0.480  0.139 0.524  0.227 0.568  0.275 0.637  0.275 0.736  0.275 0.834  0.355 0.854  0.453 0.854  0.547 0.864  0.617 0.934  0.687 1.004  0.757 1.074  0.838 1.115  0.937 1.115  1.035 1.115  1.112 1.063  1.182 0.993  1.252 0.923  1.322 0.854
3#app#app31#app3192/h  -0.024 0.885  -0.024 1.071  -0.024 1.257  -0.069 1.424  -0.147 1.427  -0.147 1.241  -0.181 1.063  -0.265 0.897  -0.271 0.712  -0.271 0.526  -0.287 0.343  -0.345 0.166  -0.394 -0.012  -0.394 -0.198  -0.418 -0.374  -0.518 -0.519  -0.518 -0.705  -0.638 -0.842  -0.641 -1.026  -0.641 -1.212  -0.641 -1.034  -0.641 -0.848  -0.765 -0.786  -0.765 -0.600  -0.765 -0.414  -0.765 -0.228  -0.765 -0.042  -0.677 0.108  -0.629 0.267  -0.465 0.320  -0.394 0.477  -0.253 0.532  -0.110 0.637  0.076 0.637  0.262 0.637  0.448 0.637  0.586 0.522  0.630 0.354  0.718 0.205  0.719 0.019  0.841 -0.116  0.841 -0.302  0.841 -0.488  0.841 -0.675  0.841 -0.861  0.919 -0.969  1.064 -1.068  1.237 -1.080  1.404 -0.997  1.583 -0.969
3#app#app31#app3192/a  0.529 0.554  0.356 0.554  0.353 0.724  0.186 0.730  0.177 0.894  0.015 0.906  -0.158 0.906  -0.331 0.906  -0.459 0.798  -0.604 0.730  -0.756 0.677  -0.878 0.555  -1.001 0.432  -1.123 0.310  -1.252 0.202  -1.408 0.184  -1.408 0.011  -1.408 -0.162  -1.401 -0.333  -1.279 -0.455  -1.125 -0.503  -0.952 -0.503  -0.779 -0.503  -0.606 -0.503  -0.433 -0.503  -0.269 -0.462  -0.114 -0.384  0.045 -0.327  0.206 -0.297  0.329 -0.175  0.353 -0.012  0.489 0.025  0.529 0.159  0.588 0.318  0.665 0.473  0.705 0.471  0.625 0.378  0.529 0.300  0.529 0.127  0.529 -0.046  0.529 -0.219  0.576 -0.373  0.698 -0.496  0.821 -0.618  0.969 -0.679  1.058 -0.763  1.115 -0.913  1.239 -1.031  1.413 -1.031  1.586 -1.031
