1c#app#app32#app3261/f  0.236 1.985  0.107 1.963  0.022 1.859  0.022 1.721  0.022 1.582  0.022 1.444  0.022 1.305  0.022 1.166  0.022 1.028  0.022 0.889  0.022 0.751  0.022 0.612  0.022 0.473  0.022 0.335  0.022 0.196  0.022 0.058  0.022 -0.081  0.022 -0.220  0.022 -0.358  0.022 -0.497  0.060 -0.620  0.129 -0.730  0.129 -0.868  0.129 -1.007  0.129 -1.145  0.129 -1.284  0.129 -1.423  0.129 -1.561  0.115 -1.607  0.074 -1.475  0.033 -1.342  -0.009 -1.210  -0.050 -1.078  -0.091 -0.945  -0.133 -0.813  -0.174 -0.681  -0.215 -0.549  -0.257 -0.416  -0.298 -0.284  -0.340 -0.152  -0.381 -0.019  -0.406 0.115  -0.318 0.166  -0.192 0.179  -0.148 0.273  -0.017 0.307  0.107 0.369  0.210 0.461  0.326 0.532  0.450 0.594
1c#app#app32#app3261/y  -0.429 1.201  -0.429 1.373  -0.429 1.305  -0.429 1.132  -0.429 0.959  -0.429 0.786  -0.429 0.613  -0.420 0.450  -0.322 0.375  -0.187 0.467  -0.114 0.600  -0.054 0.713  -0.011 0.868  0.021 1.028  0.074 1.179  0.096 1.343  0.182 1.265  0.246 1.119  0.320 0.976  0.321 0.804  0.321 0.631  0.321 0.458  0.350 0.290  0.396 0.125  0.396 -0.048  0.396 -0.221  0.396 -0.394  0.396 -0.567  0.363 -0.736  0.321 -0.904  0.321 -1.077  0.321 -1.250  0.271 -1.402  0.202 -1.546  0.133 -1.690  -0.025 -1.727  -0.129 -1.658  -0.204 -1.516  -0.275 -1.360  -0.279 -1.188  -0.279 -1.015  -0.279 -0.842  -0.254 -0.672  -0.225 -0.501  -0.204 -0.330  -0.174 -0.164  -0.096 -0.010  0.002 0.130  0.124 0.253  0.246 0.375
1c#app#app32#app3261/a  0.516 0.667  0.516 0.832  0.516 0.998  0.516 1.163  0.516 1.329  0.516 1.494  0.447 1.591  0.312 1.519  0.195 1.402  0.077 1.285  -0.030 1.161  -0.104 1.013  -0.197 0.879  -0.277 0.747  -0.277 0.581  -0.361 0.450  -0.478 0.333  -0.560 0.196  -0.600 0.036  -0.640 -0.125  -0.693 -0.278  -0.805 -0.397  -0.805 -0.563  -0.805 -0.728  -0.805 -0.894  -0.805 -1.059  -0.805 -1.225  -0.730 -1.315  -0.565 -1.315  -0.402 -1.308  -0.285 -1.191  -0.168 -1.074  -0.051 -0.957  -0.013 -0.807  0.090 -0.684  0.207 -0.567  0.324 -0.450  0.384 -0.309  0.384 -0.143  0.450 0.006  0.529 0.151  0.646 0.268  0.516 0.240  0.516 0.074  0.516 -0.091  0.516 -0.257  0.516 -0.422  0.516 -0.588  0.516 -0.753  0.516 -0.919
1c#app#app32#app3261/m  -0.707 1.158  -0.707 0.930  -0.802 0.724  -0.828 0.502  -0.828 0.274  -0.828 0.045  -0.828 -0.183  -0.828 -0.411  -0.828 -0.640  -0.828 -0.868  -0.950 -0.975  -0.950 -0.861  -0.950 -0.633  -0.950 -0.404  -0.894 -0.189  -0.770 -0.001  -0.707 0.202  -0.651 0.417  -0.529 0.606  -0.388 0.785  -0.261 0.975  -0.066 1.037  0.122 0.939  0.145 0.720  0.145 0.492  0.145 0.263  0.145 0.035  0.145 -0.194  0.145 -0.422  0.071 -0.620  0.024 -0.828  -0.080 -1.014  -0.098 -0.830  0.024 -0.652  0.110 -0.459  0.225 -0.264  0.327 -0.060  0.439 0.139  0.566 0.329  0.709 0.505  0.870 0.666  1.097 0.672  1.265 0.526  1.362 0.338  1.362 0.110  1.362 -0.119  1.362 -0.347  1.362 -0.576  1.362 -0.804  1.362 -1.032
1c#app#app32#app3261/e  -0.665 0.651  -0.590 0.500  -0.539 0.343  -0.442 0.271  -0.313 0.172  -0.283 0.017  -0.127 -0.014  0.003 -0.110  0.172 -0.110  0.306 -0.194  0.457 -0.237  0.626 -0.237  0.776 -0.283  0.912 -0.363  0.983 -0.265  0.983 -0.096  0.983 0.073  0.885 0.144  0.856 0.284  0.856 0.453  0.856 0.622  0.847 0.787  0.729 0.908  0.729 1.077  0.642 1.158  0.473 1.158  0.304 1.158  0.135 1.158  0.004 1.066  -0.116 0.947  -0.207 0.807  -0.283 0.656  -0.401 0.535  -0.481 0.387  -0.566 0.243  -0.678 0.118  -0.754 -0.033  -0.792 -0.193  -0.792 -0.362  -0.792 -0.531  -0.792 -0.700  -0.792 -0.869  -0.792 -1.038  -0.733 -1.183  -0.614 -1.303  -0.476 -1.378  -0.338 -1.452  -0.190 -1.505  -0.061 -1.601  0.095 -1.631
1c#app#app32#app3261/o  -0.142 1.327  -0.150 1.448  -0.249 1.349  -0.271 1.218  -0.356 1.114  -0.400 0.992  -0.400 0.852  -0.471 0.741  -0.529 0.625  -0.529 0.485  -0.565 0.354  -0.627 0.228  -0.658 0.096  -0.658 -0.044  -0.658 -0.184  -0.658 -0.324  -0.658 -0.464  -0.658 -0.604  -0.658 -0.744  -0.644 -0.879  -0.545 -0.978  -0.529 -1.111  -0.401 -1.123  -0.390 -1.252  -0.250 -1.252  -0.110 -1.252  0.017 -1.221  0.117 -1.123  0.253 -1.114  0.352 -1.015  0.451 -0.916  0.502 -0.797  0.558 -0.680  0.657 -0.581  0.756 -0.482  0.760 -0.344  0.760 -0.204  0.760 -0.064  0.760 0.076  0.760 0.216  0.760 0.356  0.760 0.496  0.760 0.636  0.694 0.749  0.595 0.848  0.493 0.940  0.353 0.940  0.213 0.940  0.086 0.910  -0.013 0.811
1c#app#app32#app3261/u  -0.861 0.758  -0.861 0.641  -0.861 0.524  -0.861 0.407  -0.861 0.290  -0.861 0.173  -0.861 0.057  -0.861 -0.060  -0.815 -0.158  -0.733 -0.241  -0.687 -0.339  -0.687 -0.455  -0.608 -0.539  -0.525 -0.622  -0.443 -0.705  -0.360 -0.787  -0.339 -0.895  -0.309 -0.983  -0.193 -0.983  -0.076 -0.983  0.032 -1.005  0.114 -1.088  0.203 -1.157  0.319 -1.157  0.357 -1.078  0.357 -0.961  0.357 -0.844  0.357 -0.727  0.357 -0.610  0.357 -0.494  0.357 -0.377  0.357 -0.260  0.357 -0.143  0.396 -0.035  0.448 0.069  0.500 0.174  0.531 0.283  0.531 0.400  0.531 0.517  0.531 0.633  0.531 0.750  0.531 0.867  0.531 0.984  0.531 1.101  0.531 1.218  0.531 1.334  0.531 1.451  0.531 1.568  0.531 1.685  0.531 1.802
1c#app#app32#app3261/r  -0.534 0.998  -0.534 0.862  -0.534 0.727  -0.534 0.591  -0.534 0.456  -0.534 0.320  -0.534 0.184  -0.534 0.049  -0.534 -0.087  -0.534 -0.222  -0.472 -0.332  -0.407 -0.441  -0.407 -0.577  -0.407 -0.712  -0.407 -0.848  -0.352 -0.961  -0.280 -1.067  -0.280 -1.202  -0.280 -1.338  -0.341 -1.413  -0.407 -1.343  -0.407 -1.207  -0.407 -1.072  -0.407 -0.936  -0.407 -0.801  -0.407 -0.665  -0.407 -0.529  -0.407 -0.394  -0.402 -0.260  -0.341 -0.138  -0.280 -0.017  -0.185 0.079  -0.113 0.192  -0.052 0.313  0.029 0.420  0.125 0.516  0.221 0.611  0.317 0.707  0.437 0.744  0.546 0.809  0.656 0.871  0.791 0.871  0.927 0.871  1.063 0.871  1.198 0.871  1.334 0.871  1.369 0.770  1.478 0.744  1.496 0.626  1.623 0.617
1c#app#app32#app3261/r  -0.497 0.936  -0.359 0.936  -0.342 0.815  -0.342 0.678  -0.342 0.541  -0.342 0.403  -0.342 0.266  -0.342 0.128  -0.342 -0.009  -0.342 -0.146  -0.342 -0.284  -0.304 -0.415  -0.260 -0.545  -0.217 -0.676  -0.188 -0.808  -0.188 -0.946  -0.188 -1.083  -0.188 -1.221  -0.188 -1.358  -0.188 -1.496  -0.188 -1.433  -0.271 -1.379  -0.342 -1.313  -0.342 -1.175  -0.342 -1.038  -0.342 -0.901  -0.342 -0.763  -0.342 -0.626  -0.342 -0.488  -0.342 -0.351  -0.316 -0.218  -0.272 -0.088  -0.229 0.043  -0.184 0.173  -0.123 0.295  -0.061 0.418  0.020 0.527  0.117 0.624  0.215 0.721  0.312 0.818  0.409 0.916  0.506 1.013  0.611 1.090  0.749 1.090  0.886 1.090  1.024 1.090  1.161 1.090  1.298 1.090  1.412 1.033  1.509 0.936
1c#app#app32#app3261/i  0.083 1.096  0.083 0.962  0.083 0.829  0.083 0.696  0.040 0.573  -0.020 0.454  -0.062 0.330  -0.062 0.197  -0.073 0.068  -0.167 -0.026  -0.207 -0.143  -0.207 -0.276  -0.207 -0.409  -0.207 -0.542  -0.207 -0.676  -0.207 -0.809  -0.207 -0.942  -0.207 -1.076  -0.207 -1.209  -0.207 -1.342  -0.207 -1.475  -0.207 -1.609  -0.195 -1.586  -0.174 -1.455  -0.153 -1.323  -0.132 -1.191  -0.111 -1.060  -0.090 -0.928  -0.069 -0.797  -0.048 -0.665  -0.027 -0.533  -0.005 -0.402  0.016 -0.270  0.037 -0.139  0.058 -0.007  0.079 0.125  0.100 0.256  0.121 0.388  0.142 0.519  0.163 0.651  0.184 0.783  0.205 0.914  0.226 1.046  0.247 1.177  0.268 1.309  0.289 1.441  0.310 1.572  0.331 1.704  0.352 1.835  0.374 1.967
1c#app#app32#app3261/e  -0.699 0.622  -0.547 0.622  -0.394 0.622  -0.258 0.582  -0.144 0.488  0.008 0.488  0.161 0.488  0.238 0.412  0.332 0.354  0.452 0.274  0.582 0.220  0.735 0.220  0.774 0.106  0.774 0.218  0.640 0.237  0.640 0.390  0.640 0.542  0.640 0.695  0.640 0.848  0.640 1.000  0.510 1.023  0.492 1.157  0.349 1.134  0.241 1.026  0.133 0.918  -0.008 0.890  -0.122 0.797  -0.230 0.689  -0.323 0.570  -0.391 0.434  -0.431 0.291  -0.468 0.147  -0.536 0.010  -0.627 -0.110  -0.699 -0.233  -0.699 -0.385  -0.699 -0.538  -0.651 -0.679  -0.583 -0.816  -0.565 -0.964  -0.472 -1.078  -0.431 -1.214  -0.351 -1.333  -0.243 -1.441  -0.123 -1.521  -0.030 -1.580  0.048 -1.655  0.201 -1.655  0.353 -1.655  0.506 -1.655
