1b#apa#apa00#app0027/Q  0.287 0.736  0.265 0.928  0.147 1.024  -0.020 1.100  -0.199 1.017  -0.350 0.865  -0.502 0.714  -0.653 0.563  -0.804 0.411  -0.936 0.243  -1.054 0.065  -1.138 -0.114  -1.150 -0.323  -1.131 -0.529  -1.007 -0.700  -0.856 -0.804  -0.704 -0.956  -0.504 -0.989  -0.290 -0.989  -0.082 -0.974  0.070 -0.823  0.273 -0.797  0.383 -0.637  0.512 -0.477  0.575 -0.288  0.671 -0.114  0.671 0.100  0.671 0.314  0.671 0.528  0.671 0.742  0.583 0.920  0.567 1.127  0.479 1.305  0.378 1.392  0.316 1.187  0.253 0.983  0.190 0.778  0.127 0.574  0.064 0.369  0.001 0.164  0.096 0.046  0.096 -0.168  0.096 -0.382  0.096 -0.596  0.187 -0.788  0.283 -0.980  0.287 -1.193  0.380 -1.368  0.463 -1.548  0.575 -1.660
1b#apa#apa00#app0027/U  -0.583 1.189  -0.589 1.082  -0.691 1.070  -0.703 0.962  -0.783 0.882  -0.798 0.775  -0.798 0.662  -0.798 0.549  -0.798 0.436  -0.798 0.323  -0.798 0.209  -0.798 0.096  -0.798 -0.017  -0.798 -0.130  -0.773 -0.233  -0.693 -0.313  -0.691 -0.425  -0.691 -0.538  -0.681 -0.647  -0.601 -0.727  -0.521 -0.807  -0.476 -0.902  -0.420 -0.959  -0.307 -0.959  -0.194 -0.959  -0.081 -0.959  0.032 -0.959  0.121 -0.900  0.214 -0.852  0.312 -0.816  0.392 -0.736  0.472 -0.656  0.491 -0.550  0.557 -0.464  0.623 -0.374  0.673 -0.273  0.734 -0.179  0.813 -0.099  0.813 0.014  0.813 0.127  0.822 0.239  0.872 0.340  0.921 0.441  0.921 0.555  0.932 0.663  1.012 0.743  1.028 0.850  1.028 0.963  1.028 1.076  1.028 1.189
1b#apa#apa00#app0027/I  0.199 1.225  0.199 0.988  0.141 0.809  0.060 0.652  -0.056 0.531  -0.079 0.316  -0.079 0.078  0.016 -0.120  0.060 -0.340  0.060 -0.577  0.199 -0.757  0.199 -0.995  0.338 -1.175  0.435 -1.372  0.408 -1.251  0.316 -1.032  0.224 -0.813  0.131 -0.594  0.039 -0.375  -0.053 -0.156  -0.145 0.063  -0.237 0.282  -0.329 0.501  -0.422 0.720  -0.514 0.939  -0.606 1.157  -0.471 1.225  -0.233 1.225  -0.053 1.364  0.184 1.364  0.422 1.364  0.606 1.493  0.520 1.301  0.418 1.086  0.317 0.872  0.215 0.657  0.113 0.442  0.012 0.228  -0.090 0.013  -0.192 -0.202  -0.293 -0.416  -0.395 -0.631  -0.497 -0.846  -0.598 -1.060  -0.625 -1.285  -0.440 -1.414  -0.203 -1.414  0.035 -1.414  0.265 -1.382  0.477 -1.275
1b#apa#apa00#app0027/C  0.905 1.291  0.814 1.291  0.723 1.291  0.633 1.291  0.546 1.282  0.481 1.218  0.417 1.153  0.353 1.089  0.280 1.037  0.199 0.996  0.118 0.955  0.047 0.900  -0.017 0.836  -0.081 0.772  -0.145 0.708  -0.210 0.644  -0.276 0.583  -0.358 0.542  -0.439 0.502  -0.505 0.449  -0.534 0.362  -0.563 0.276  -0.592 0.190  -0.614 0.103  -0.614 0.012  -0.614 -0.078  -0.614 -0.169  -0.614 -0.260  -0.614 -0.351  -0.614 -0.442  -0.552 -0.494  -0.470 -0.534  -0.389 -0.575  -0.344 -0.652  -0.304 -0.733  -0.262 -0.813  -0.172 -0.813  -0.100 -0.860  -0.036 -0.924  0.044 -0.967  0.125 -1.007  0.206 -1.047  0.297 -1.047  0.381 -1.077  0.462 -1.117  0.543 -1.158  0.633 -1.164  0.723 -1.164  0.814 -1.164  0.905 -1.164
1b#apa#apa00#app0027/K  -0.934 1.406  -0.826 1.291  -0.826 1.069  -0.826 0.847  -0.826 0.624  -0.826 0.402  -0.826 0.179  -0.757 -0.027  -0.719 -0.240  -0.710 -0.461  -0.656 -0.677  -0.586 -0.884  -0.503 -1.072  -0.500 -1.293  -0.395 -1.472  -0.364 -1.540  -0.277 -1.335  -0.190 -1.131  -0.104 -0.926  -0.017 -0.721  0.070 -0.516  0.156 -0.311  0.243 -0.106  0.330 0.098  0.416 0.303  0.503 0.508  0.590 0.713  0.676 0.918  0.763 1.123  0.870 1.161  0.713 1.004  0.548 0.867  0.443 0.734  0.255 0.651  0.036 0.647  -0.082 0.543  -0.196 0.435  -0.395 0.459  -0.257 0.543  -0.153 0.409  -0.071 0.220  0.036 0.043  0.166 -0.126  0.323 -0.283  0.486 -0.428  0.670 -0.521  0.836 -0.666  1.038 -0.751  1.218 -0.854  1.439 -0.859
1b#apa#apa00#app0027/L  -0.299 1.776  -0.299 1.682  -0.299 1.589  -0.316 1.502  -0.382 1.435  -0.428 1.360  -0.428 1.266  -0.428 1.173  -0.428 1.079  -0.428 0.985  -0.428 0.891  -0.428 0.797  -0.428 0.703  -0.428 0.609  -0.428 0.515  -0.428 0.421  -0.428 0.327  -0.428 0.234  -0.366 0.166  -0.300 0.099  -0.299 0.005  -0.299 -0.089  -0.299 -0.182  -0.299 -0.276  -0.299 -0.370  -0.266 -0.450  -0.200 -0.517  -0.170 -0.598  -0.170 -0.692  -0.170 -0.786  -0.246 -0.804  -0.259 -0.804  -0.165 -0.804  -0.071 -0.804  0.023 -0.804  0.117 -0.804  0.211 -0.804  0.305 -0.804  0.383 -0.767  0.450 -0.700  0.533 -0.675  0.627 -0.675  0.721 -0.675  0.815 -0.675  0.909 -0.675  1.002 -0.675  1.096 -0.675  1.190 -0.675  1.284 -0.675  1.378 -0.675
1b#apa#apa00#app0027/Y  -1.099 0.745  -1.000 0.683  -0.882 0.628  -0.801 0.500  -0.792 0.347  -0.651 0.297  -0.602 0.156  -0.502 0.035  -0.448 -0.105  -0.306 -0.151  -0.261 -0.292  -0.123 -0.350  -0.060 -0.250  0.070 -0.175  0.214 -0.131  0.328 -0.017  0.394 0.118  0.487 0.241  0.531 0.385  0.593 0.521  0.593 0.682  0.637 0.834  0.720 0.971  0.792 1.103  0.878 1.229  0.864 1.310  0.759 1.186  0.655 1.063  0.550 0.939  0.446 0.816  0.341 0.692  0.237 0.569  0.132 0.445  0.028 0.322  -0.077 0.198  -0.181 0.075  -0.203 -0.079  -0.203 -0.241  -0.203 -0.403  -0.203 -0.565  -0.203 -0.726  -0.203 -0.888  -0.203 -1.050  -0.203 -1.212  -0.203 -1.374  -0.203 -1.536  -0.203 -1.697  -0.121 -1.825  -0.104 -1.980  -0.004 -2.042
1b#apa#apa00#app0027/F  -0.354 1.129  -0.247 0.924  -0.340 0.713  -0.354 0.470  -0.354 0.220  -0.354 -0.029  -0.354 -0.278  -0.354 -0.528  -0.354 -0.777  -0.257 -1.004  -0.247 -1.251  -0.214 -1.487  -0.139 -1.705  -0.155 -1.817  -0.211 -1.574  -0.267 -1.331  -0.323 -1.088  -0.379 -0.845  -0.435 -0.602  -0.491 -0.359  -0.547 -0.116  -0.603 0.127  -0.659 0.370  -0.716 0.613  -0.772 0.856  -0.594 0.914  -0.345 0.914  -0.095 0.914  0.109 1.021  0.359 1.021  0.608 1.021  0.858 1.021  1.107 1.021  1.357 1.021  1.173 0.884  0.970 0.740  0.766 0.596  0.562 0.453  0.358 0.309  0.155 0.165  -0.049 0.021  -0.253 -0.123  -0.457 -0.267  -0.327 -0.378  -0.077 -0.378  0.172 -0.378  0.415 -0.337  0.654 -0.270  0.903 -0.270  1.153 -0.270
1b#apa#apa00#app0027/O  -0.050 1.160  -0.140 1.070  -0.230 0.980  -0.320 0.891  -0.410 0.801  -0.522 0.766  -0.628 0.714  -0.722 0.635  -0.846 0.627  -0.936 0.537  -0.969 0.424  -1.023 0.319  -1.100 0.224  -1.100 0.097  -1.096 -0.029  -1.039 -0.143  -0.982 -0.256  -0.900 -0.352  -0.838 -0.453  -0.813 -0.570  -0.724 -0.660  -0.604 -0.677  -0.477 -0.677  -0.377 -0.744  -0.277 -0.808  -0.150 -0.808  -0.023 -0.808  0.104 -0.808  0.231 -0.808  0.358 -0.808  0.485 -0.808  0.612 -0.805  0.725 -0.748  0.839 -0.692  0.868 -0.583  0.959 -0.546  1.000 -0.460  1.000 -0.333  1.000 -0.206  1.000 -0.079  1.000 0.048  0.953 0.156  0.868 0.248  0.868 0.375  0.868 0.502  0.780 0.593  0.737 0.702  0.737 0.829  0.696 0.939  0.606 1.029
1b#apa#apa00#app0027/R  -0.444 0.961  -0.444 0.737  -0.444 0.513  -0.543 0.313  -0.557 0.092  -0.557 -0.131  -0.557 -0.355  -0.522 -0.571  -0.444 -0.776  -0.444 -1.000  -0.444 -1.223  -0.444 -1.447  -0.444 -1.355  -0.444 -1.131  -0.444 -0.907  -0.444 -0.684  -0.444 -0.460  -0.444 -0.236  -0.444 -0.012  -0.444 0.211  -0.444 0.435  -0.444 0.659  -0.444 0.882  -0.421 1.096  -0.332 1.283  -0.123 1.298  0.101 1.298  0.324 1.298  0.502 1.186  0.679 1.074  0.856 0.961  0.949 0.804  1.017 0.609  1.004 0.399  0.780 0.399  0.556 0.399  0.333 0.399  0.109 0.399  -0.107 0.391  -0.107 0.167  -0.107 -0.057  -0.024 -0.246  0.054 -0.437  0.212 -0.595  0.360 -0.761  0.466 -0.956  0.666 -1.056  0.841 -1.175  1.018 -1.288  1.130 -1.400
1b#apa#apa00#app0027/G  -0.117 1.303  -0.188 1.412  -0.367 1.412  -0.516 1.339  -0.675 1.289  -0.769 1.149  -0.851 1.003  -0.978 0.877  -0.986 0.701  -1.078 0.559  -1.095 0.387  -1.088 0.210  -0.986 0.073  -0.986 -0.106  -0.830 -0.157  -0.703 -0.284  -0.576 -0.410  -0.449 -0.537  -0.273 -0.543  -0.132 -0.637  -0.004 -0.761  0.175 -0.761  0.298 -0.729  0.206 -0.575  0.114 -0.422  0.022 -0.268  -0.071 -0.114  -0.163 0.040  -0.255 0.193  -0.309 0.326  -0.130 0.326  0.049 0.326  0.229 0.326  0.408 0.326  0.535 0.273  0.658 0.217  0.837 0.217  0.969 0.264  0.969 0.207  0.912 0.052  0.860 -0.106  0.860 -0.285  0.763 -0.424  0.752 -0.599  0.752 -0.778  0.752 -0.958  0.752 -1.137  0.837 -1.281  0.898 -1.413  0.969 -1.521
1b#apa#apa00#app0027/O  0.054 1.107  -0.080 1.107  -0.215 1.107  -0.350 1.107  -0.484 1.107  -0.592 1.041  -0.671 0.939  -0.683 0.817  -0.816 0.815  -0.816 0.681  -0.816 0.546  -0.816 0.411  -0.816 0.277  -0.816 0.142  -0.816 0.007  -0.816 -0.127  -0.780 -0.251  -0.705 -0.363  -0.631 -0.475  -0.556 -0.587  -0.526 -0.713  -0.476 -0.827  -0.381 -0.922  -0.286 -1.017  -0.172 -1.067  -0.037 -1.067  0.097 -1.067  0.232 -1.067  0.367 -1.067  0.501 -1.067  0.636 -1.067  0.771 -1.067  0.779 -0.941  0.779 -0.807  0.779 -0.672  0.779 -0.537  0.779 -0.403  0.779 -0.268  0.779 -0.133  0.779 0.001  0.779 0.136  0.779 0.270  0.763 0.398  0.668 0.494  0.573 0.589  0.477 0.684  0.382 0.779  0.344 0.898  0.294 1.012  0.199 1.107
1b#apa#apa00#app0027/T  0.154 0.375  0.125 0.242  0.023 0.139  -0.055 0.027  -0.055 -0.119  -0.055 -0.264  -0.055 -0.409  -0.055 -0.554  -0.055 -0.699  -0.055 -0.844  0.021 -0.957  0.049 -1.091  0.049 -1.236  0.049 -1.381  0.136 -1.490  0.149 -1.599  0.098 -1.463  0.047 -1.328  -0.004 -1.192  -0.055 -1.056  -0.106 -0.920  -0.157 -0.784  -0.208 -0.648  -0.259 -0.512  -0.310 -0.377  -0.361 -0.241  -0.412 -0.105  -0.463 0.031  -0.513 0.167  -0.564 0.303  -0.615 0.438  -0.666 0.574  -0.717 0.710  -0.768 0.846  -0.699 0.898  -0.553 0.898  -0.408 0.898  -0.264 0.899  -0.161 1.002  -0.016 1.003  0.129 1.003  0.274 1.003  0.419 1.003  0.564 1.003  0.709 1.003  0.854 1.003  0.999 1.003  1.139 0.981  1.269 0.916  1.410 0.898
1b#apa#apa00#app0027/H  -0.964 0.891  -0.964 0.643  -0.964 0.396  -0.964 0.148  -0.964 -0.100  -0.935 -0.341  -0.847 -0.568  -0.766 -0.796  -0.730 -1.035  -0.667 -1.221  -0.543 -1.040  -0.454 -0.809  -0.365 -0.578  -0.276 -0.347  -0.187 -0.115  -0.098 0.116  -0.009 0.347  0.080 0.578  0.169 0.810  0.257 1.041  0.346 1.272  0.435 1.503  0.524 1.734  0.664 1.727  0.678 1.485  0.561 1.286  0.522 1.047  0.444 0.818  0.444 0.570  0.444 0.322  0.444 0.075  0.444 -0.173  0.506 -0.406  0.564 -0.640  0.675 -0.862  0.765 -1.073  0.796 -1.308  0.628 -1.198  0.438 -1.040  0.248 -0.881  0.057 -0.723  -0.133 -0.564  -0.323 -0.405  -0.514 -0.247  -0.493 -0.165  -0.245 -0.165  -0.040 -0.062  0.202 -0.047  0.437 0.029  0.678 0.070
1b#apa#apa00#app0027/O  0.305 1.239  0.179 1.239  0.053 1.239  -0.045 1.170  -0.141 1.098  -0.264 1.092  -0.353 1.003  -0.442 0.914  -0.531 0.825  -0.620 0.736  -0.709 0.647  -0.798 0.558  -0.887 0.469  -0.961 0.373  -0.961 0.247  -0.961 0.122  -0.961 -0.004  -0.961 -0.130  -0.899 -0.230  -0.810 -0.319  -0.721 -0.408  -0.680 -0.517  -0.643 -0.628  -0.554 -0.717  -0.445 -0.778  -0.332 -0.835  -0.219 -0.891  -0.107 -0.947  0.006 -1.003  0.130 -1.012  0.256 -1.012  0.381 -1.012  0.507 -1.012  0.619 -0.979  0.708 -0.890  0.797 -0.801  0.867 -0.704  0.867 -0.578  0.867 -0.452  0.867 -0.326  0.867 -0.200  0.867 -0.074  0.867 0.052  0.822 0.159  0.733 0.248  0.727 0.371  0.727 0.497  0.727 0.623  0.675 0.727  0.586 0.817
1b#apa#apa00#app0027/W  -1.216 1.211  -1.216 1.051  -1.216 0.891  -1.109 0.776  -1.109 0.616  -1.109 0.456  -1.069 0.313  -1.001 0.181  -0.997 0.022  -0.926 -0.121  -0.894 -0.273  -0.787 -0.326  -0.725 -0.336  -0.680 -0.195  -0.575 -0.079  -0.572 0.080  -0.501 0.210  -0.463 0.354  -0.350 0.467  -0.250 0.586  -0.179 0.675  -0.127 0.782  -0.036 0.713  -0.036 0.553  -0.036 0.394  -0.036 0.234  0.010 0.093  0.071 -0.042  0.084 -0.196  0.179 -0.317  0.179 -0.477  0.271 -0.598  0.385 -0.711  0.501 -0.760  0.542 -0.910  0.620 -1.042  0.715 -1.107  0.823 -1.139  0.867 -0.997  0.930 -0.864  0.969 -0.710  1.019 -0.558  1.037 -0.401  1.037 -0.242  1.083 -0.093  1.144 0.053  1.144 0.213  1.151 0.371  1.201 0.523  1.252 0.675
1b#apa#apa00#app0027/T  0.420 0.854  0.540 0.824  0.540 0.674  0.540 0.525  0.540 0.375  0.520 0.233  0.420 0.125  0.420 -0.024  0.420 -0.174  0.420 -0.324  0.364 -0.460  0.300 -0.595  0.300 -0.745  0.300 -0.894  0.300 -1.044  0.300 -1.194  0.300 -1.343  0.300 -1.493  0.300 -1.643  0.249 -1.558  0.187 -1.421  0.125 -1.285  0.063 -1.149  0.001 -1.013  -0.061 -0.876  -0.123 -0.740  -0.185 -0.604  -0.247 -0.467  -0.309 -0.331  -0.371 -0.195  -0.433 -0.059  -0.495 0.078  -0.557 0.214  -0.619 0.350  -0.681 0.487  -0.742 0.623  -0.804 0.759  -0.866 0.895  -0.902 1.037  -0.809 1.094  -0.659 1.094  -0.509 1.094  -0.360 1.094  -0.210 1.094  -0.060 1.094  0.086 1.080  0.220 1.013  0.361 0.974  0.510 0.974  0.660 0.974
