2#apb#apb07#app0797/W  -0.853 1.486  -0.879 1.327  -0.916 1.169  -0.948 1.010  -0.980 0.851  -1.012 0.692  -0.994 0.533  -0.963 0.373  -0.963 0.211  -0.963 0.049  -0.946 -0.112  -0.919 -0.272  -0.885 -0.430  -0.839 -0.585  -0.763 -0.726  -0.615 -0.718  -0.507 -0.601  -0.421 -0.464  -0.358 -0.315  -0.299 -0.163  -0.276 -0.003  -0.253 0.158  -0.234 0.319  -0.206 0.475  -0.106 0.380  -0.051 0.227  0.004 0.075  0.031 -0.085  0.057 -0.245  0.116 -0.397  0.177 -0.547  0.250 -0.692  0.353 -0.813  0.483 -0.908  0.628 -0.981  0.786 -1.000  0.903 -0.896  0.997 -0.764  1.042 -0.612  1.065 -0.452  1.084 -0.291  1.095 -0.129  1.106 0.033  1.092 0.194  1.069 0.355  1.033 0.511  0.969 0.660  0.915 0.810  0.926 0.730  0.970 0.574
2#apb#apb07#app0797/e  -1.004 0.276  -1.061 0.397  -0.912 0.416  -0.800 0.301  -0.704 0.172  -0.571 0.086  -0.423 0.033  -0.264 0.010  -0.111 -0.034  0.044 -0.072  0.204 -0.072  0.332 0.014  0.454 0.118  0.550 0.244  0.627 0.384  0.702 0.525  0.746 0.679  0.758 0.834  0.714 0.988  0.639 1.126  0.524 1.232  0.381 1.304  0.238 1.265  0.100 1.186  -0.007 1.067  -0.114 0.947  -0.221 0.828  -0.309 0.695  -0.395 0.559  -0.481 0.424  -0.551 0.280  -0.617 0.134  -0.664 -0.017  -0.684 -0.176  -0.673 -0.332  -0.622 -0.484  -0.563 -0.631  -0.455 -0.750  -0.348 -0.869  -0.241 -0.988  -0.103 -1.069  0.037 -1.146  0.178 -1.223  0.335 -1.246  0.495 -1.261  0.654 -1.270  0.815 -1.270  0.973 -1.255  1.125 -1.205  1.277 -1.154
2#apb#apb07#app0797/s  0.522 1.411  0.501 1.493  0.397 1.493  0.294 1.493  0.206 1.445  0.121 1.386  0.036 1.327  -0.039 1.258  -0.109 1.181  -0.178 1.104  -0.247 1.027  -0.302 0.940  -0.357 0.852  -0.416 0.768  -0.481 0.687  -0.520 0.593  -0.548 0.495  -0.523 0.395  -0.457 0.315  -0.390 0.236  -0.310 0.171  -0.228 0.108  -0.147 0.044  -0.060 -0.012  0.027 -0.068  0.114 -0.123  0.201 -0.179  0.287 -0.237  0.373 -0.294  0.448 -0.363  0.516 -0.441  0.582 -0.520  0.644 -0.603  0.628 -0.695  0.587 -0.790  0.532 -0.877  0.472 -0.961  0.395 -1.024  0.299 -1.060  0.201 -1.095  0.102 -1.123  0.002 -1.144  -0.102 -1.144  -0.205 -1.144  -0.308 -1.144  -0.410 -1.135  -0.506 -1.096  -0.599 -1.068  -0.552 -0.983  -0.495 -0.897
2#apb#apb07#app0797/e  -0.682 0.312  -0.548 0.312  -0.413 0.312  -0.279 0.312  -0.146 0.328  -0.013 0.347  0.121 0.351  0.253 0.355  0.328 0.467  0.402 0.579  0.377 0.708  0.335 0.835  0.249 0.935  0.149 1.023  0.028 1.083  -0.100 1.056  -0.229 1.019  -0.348 0.958  -0.465 0.891  -0.579 0.821  -0.691 0.747  -0.801 0.670  -0.908 0.589  -0.971 0.471  -1.031 0.351  -0.972 0.231  -0.908 0.113  -0.843 -0.004  -0.777 -0.122  -0.683 -0.215  -0.578 -0.299  -0.474 -0.383  -0.369 -0.467  -0.261 -0.547  -0.154 -0.628  -0.046 -0.708  0.061 -0.789  0.181 -0.847  0.306 -0.895  0.432 -0.944  0.557 -0.992  0.686 -1.026  0.818 -1.052  0.950 -1.078  1.073 -1.043  1.193 -0.983  1.314 -0.923  1.434 -0.863  1.489 -0.747  1.532 -0.620
2#apb#apb07#app0797/n  -1.155 -0.454  -1.066 -0.454  -0.999 -0.432  -0.999 -0.343  -0.999 -0.253  -0.999 -0.164  -1.046 -0.094  -1.109 -0.031  -1.155 0.039  -1.155 0.129  -1.127 0.208  -1.073 0.280  -1.020 0.351  -0.953 0.409  -0.879 0.459  -0.805 0.508  -0.730 0.558  -0.650 0.587  -0.561 0.587  -0.471 0.587  -0.382 0.587  -0.293 0.582  -0.205 0.568  -0.117 0.553  -0.029 0.538  0.043 0.489  0.110 0.430  0.177 0.372  0.244 0.313  0.312 0.254  0.379 0.195  0.451 0.143  0.527 0.096  0.602 0.048  0.678 0.001  0.754 -0.046  0.829 -0.094  0.898 -0.151  0.966 -0.209  1.035 -0.266  1.103 -0.323  1.153 -0.394  1.186 -0.477  1.220 -0.559  1.240 -0.645  1.240 -0.734  1.240 -0.823  1.240 -0.913  1.216 -0.987  1.136 -1.027
2#apb#apb07#app0797/d  -0.155 -0.380  -0.192 -0.295  -0.373 -0.250  -0.557 -0.221  -0.741 -0.236  -0.912 -0.305  -1.031 -0.443  -1.140 -0.594  -1.145 -0.779  -1.053 -0.938  -0.910 -1.057  -0.731 -1.104  -0.550 -1.095  -0.371 -1.046  -0.205 -0.963  -0.041 -0.875  0.112 -0.769  0.260 -0.656  0.396 -0.531  0.503 -0.379  0.596 -0.219  0.674 -0.049  0.733 0.125  0.756 0.310  0.779 0.495  0.768 0.681  0.755 0.867  0.698 1.042  0.626 1.214  0.537 1.377  0.400 1.494  0.228 1.530  0.051 1.475  -0.103 1.376  -0.234 1.245  -0.354 1.102  -0.417 0.929  -0.416 0.745  -0.384 0.563  -0.315 0.390  -0.228 0.226  -0.132 0.067  -0.002 -0.066  0.130 -0.198  0.269 -0.322  0.407 -0.447  0.539 -0.579  0.677 -0.703  0.821 -0.822  0.972 -0.930
2#apb#apb07#app0797/i  -0.279 0.315  -0.236 0.209  -0.194 0.103  -0.153 -0.003  -0.128 -0.115  -0.104 -0.226  -0.079 -0.337  -0.054 -0.449  -0.029 -0.560  0.003 -0.670  0.034 -0.779  0.065 -0.889  0.094 -1.000  0.106 -1.113  0.119 -1.226  0.131 -1.340  0.144 -1.453  0.150 -1.505  0.139 -1.392  0.127 -1.278  0.116 -1.164  0.105 -1.051  0.093 -0.937  0.082 -0.824  0.071 -0.710  0.059 -0.597  0.048 -0.483  0.036 -0.370  0.025 -0.256  0.014 -0.143  0.002 -0.029  -0.009 0.085  -0.020 0.198  -0.032 0.312  -0.043 0.425  -0.054 0.539  -0.066 0.652  -0.077 0.766  -0.088 0.879  -0.100 0.993  -0.111 1.106  -0.122 1.220  -0.134 1.334  -0.145 1.447  -0.145 1.555  -0.048 1.614  0.050 1.672  0.148 1.731  0.213 1.824  0.277 1.919
2#apb#apb07#app0797/n  -1.043 -0.451  -0.969 -0.525  -0.896 -0.599  -0.835 -0.582  -0.804 -0.482  -0.805 -0.381  -0.822 -0.277  -0.839 -0.174  -0.854 -0.071  -0.868 0.033  -0.877 0.137  -0.877 0.242  -0.877 0.346  -0.877 0.451  -0.877 0.555  -0.865 0.657  -0.818 0.751  -0.744 0.800  -0.639 0.800  -0.534 0.800  -0.430 0.800  -0.325 0.800  -0.221 0.800  -0.116 0.800  -0.017 0.783  0.070 0.725  0.157 0.667  0.244 0.609  0.331 0.551  0.412 0.484  0.492 0.417  0.573 0.350  0.647 0.277  0.721 0.203  0.793 0.127  0.822 0.027  0.851 -0.074  0.875 -0.175  0.875 -0.279  0.875 -0.384  0.875 -0.489  0.877 -0.593  0.892 -0.697  0.907 -0.800  0.922 -0.904  0.937 -1.007  0.951 -1.111  0.941 -1.212  0.908 -1.311  0.875 -1.411
2#apb#apb07#app0797/g  -0.351 0.810  -0.212 0.869  -0.069 0.905  0.061 0.940  -0.061 1.021  -0.187 1.101  -0.328 1.129  -0.472 1.109  -0.597 1.028  -0.740 0.991  -0.812 0.860  -0.859 0.718  -0.795 0.583  -0.743 0.442  -0.678 0.308  -0.572 0.202  -0.450 0.120  -0.307 0.073  -0.164 0.025  -0.023 -0.013  0.097 0.078  0.196 0.189  0.232 0.335  0.273 0.480  0.319 0.623  0.319 0.773  0.322 0.887  0.347 0.739  0.362 0.589  0.376 0.439  0.394 0.290  0.417 0.141  0.440 -0.007  0.469 -0.155  0.500 -0.302  0.532 -0.449  0.559 -0.597  0.583 -0.746  0.606 -0.894  0.606 -1.045  0.583 -1.191  0.517 -1.325  0.423 -1.442  0.288 -1.504  0.141 -1.530  -0.009 -1.547  -0.158 -1.533  -0.308 -1.517  -0.458 -1.515  -0.606 -1.485
2#apb#apb07#app0797/C  0.791 0.922  0.728 0.981  0.657 1.040  0.597 1.112  0.517 1.157  0.429 1.190  0.336 1.205  0.243 1.216  0.150 1.208  0.059 1.189  -0.021 1.139  -0.100 1.088  -0.150 1.009  -0.201 0.930  -0.251 0.850  -0.300 0.770  -0.350 0.690  -0.399 0.610  -0.436 0.524  -0.468 0.436  -0.500 0.347  -0.524 0.257  -0.535 0.164  -0.546 0.070  -0.557 -0.023  -0.563 -0.117  -0.563 -0.211  -0.563 -0.305  -0.563 -0.399  -0.540 -0.490  -0.515 -0.580  -0.489 -0.671  -0.444 -0.751  -0.386 -0.826  -0.327 -0.899  -0.244 -0.943  -0.162 -0.988  -0.079 -1.033  0.012 -1.039  0.105 -1.031  0.199 -1.023  0.293 -1.015  0.387 -1.007  0.480 -0.997  0.573 -0.985  0.667 -0.973  0.760 -0.962  0.851 -0.937  0.942 -0.918  1.002 -0.982
2#apb#apb07#app0797/a  0.236 0.324  0.340 0.378  0.354 0.505  0.375 0.630  0.353 0.757  0.276 0.848  0.165 0.914  0.055 0.980  -0.063 1.026  -0.191 1.044  -0.319 1.043  -0.447 1.027  -0.574 1.004  -0.698 0.969  -0.805 0.907  -0.889 0.809  -0.973 0.711  -1.011 0.589  -1.047 0.465  -1.047 0.336  -1.044 0.207  -1.016 0.081  -0.988 -0.045  -0.918 -0.146  -0.821 -0.232  -0.725 -0.317  -0.627 -0.401  -0.527 -0.483  -0.428 -0.565  -0.328 -0.646  -0.214 -0.701  -0.090 -0.735  0.035 -0.769  0.162 -0.786  0.291 -0.786  0.396 -0.730  0.475 -0.629  0.539 -0.517  0.591 -0.400  0.616 -0.274  0.730 -0.231  0.856 -0.256  0.941 -0.342  1.003 -0.455  1.034 -0.580  1.066 -0.705  1.091 -0.832  1.161 -0.929  1.270 -0.997  1.381 -1.064
