1b#app#app14#app1402/A  0.184 0.994  0.094 0.870  0.021 0.707  -0.130 0.556  -0.187 0.365  -0.219 0.157  -0.286 -0.046  -0.372 -0.242  -0.467 -0.433  -0.559 -0.625  -0.559 -0.839  -0.588 -1.046  -0.683 -1.237  -0.683 -1.451  -0.801 -1.607  -0.683 -1.511  -0.655 -1.304  -0.560 -1.113  -0.559 -0.899  -0.479 -0.704  -0.435 -0.501  -0.399 -0.295  -0.304 -0.104  -0.225 0.095  -0.146 0.293  -0.066 0.492  -0.064 0.705  0.014 0.901  0.060 1.104  0.060 1.318  0.090 1.519  0.184 1.694  0.184 1.567  0.193 1.357  0.308 1.191  0.371 0.992  0.432 0.793  0.507 0.596  0.556 0.394  0.556 0.180  0.669 0.014  0.680 -0.196  0.797 -0.361  0.804 -0.572  0.804 -0.786  0.792 -0.740  0.680 -0.638  0.488 -0.616  0.398 -0.492  0.184 -0.492
1b#app#app14#app1402/B  -0.584 0.248  -0.584 0.053  -0.584 -0.142  -0.584 -0.336  -0.584 -0.531  -0.584 -0.726  -0.584 -0.921  -0.584 -1.116  -0.584 -1.310  -0.579 -1.499  -0.450 -1.433  -0.450 -1.238  -0.450 -1.043  -0.450 -0.849  -0.450 -0.654  -0.450 -0.459  -0.450 -0.264  -0.450 -0.069  -0.445 0.124  -0.358 0.298  -0.316 0.483  -0.304 0.675  -0.217 0.849  -0.129 1.024  -0.047 1.199  0.003 1.373  0.088 1.533  0.223 1.592  0.418 1.592  0.491 1.470  0.491 1.275  0.491 1.081  0.491 0.886  0.491 0.691  0.422 0.513  0.356 0.333  0.279 0.171  0.336 0.114  0.397 0.248  0.592 0.248  0.760 0.221  0.760 0.027  0.760 -0.168  0.760 -0.363  0.760 -0.558  0.622 -0.696  0.491 -0.836  0.422 -0.962  0.265 -1.053  0.088 -1.096
1b#app#app14#app1402/C  0.652 0.689  0.742 0.689  0.832 0.689  0.837 0.775  0.837 0.865  0.837 0.955  0.837 1.045  0.760 1.059  0.670 1.059  0.580 1.059  0.490 1.059  0.400 1.059  0.310 1.059  0.238 1.014  0.175 0.951  0.111 0.887  0.047 0.823  -0.016 0.760  -0.080 0.696  -0.123 0.617  -0.163 0.537  -0.203 0.456  -0.244 0.376  -0.291 0.300  -0.355 0.237  -0.418 0.173  -0.456 0.098  -0.456 0.008  -0.456 -0.082  -0.456 -0.172  -0.456 -0.262  -0.456 -0.352  -0.456 -0.442  -0.456 -0.532  -0.456 -0.622  -0.456 -0.712  -0.456 -0.802  -0.456 -0.892  -0.456 -0.982  -0.456 -1.072  -0.453 -1.161  -0.389 -1.225  -0.325 -1.288  -0.258 -1.342  -0.168 -1.342  -0.078 -1.342  0.013 -1.342  0.103 -1.342  0.193 -1.342  0.283 -1.342
1b#app#app14#app1402/D  -0.447 0.755  -0.303 0.820  -0.303 1.031  -0.163 1.184  -0.117 1.375  0.051 1.479  0.262 1.479  0.472 1.479  0.649 1.396  0.711 1.212  0.711 1.001  0.711 0.791  0.711 0.580  0.711 0.369  0.711 0.159  0.674 -0.043  0.580 -0.231  0.566 -0.439  0.495 -0.620  0.347 -0.769  0.198 -0.918  0.049 -1.066  -0.013 -1.251  -0.147 -1.407  -0.296 -1.556  -0.441 -1.507  -0.416 -1.298  -0.392 -1.089  -0.367 -0.880  -0.343 -0.671  -0.318 -0.462  -0.293 -0.253  -0.269 -0.043  -0.244 0.166  -0.219 0.375  -0.195 0.584  -0.170 0.793  -0.158 0.796  -0.037 0.755  -0.158 0.664  -0.161 0.454  -0.228 0.255  -0.294 0.055  -0.303 -0.154  -0.303 -0.365  -0.303 -0.576  -0.303 -0.786  -0.303 -0.997  -0.303 -1.207  -0.303 -1.418
1b#app#app14#app1402/E  -0.420 0.671  -0.268 0.733  -0.393 0.822  -0.420 0.635  -0.489 0.450  -0.572 0.270  -0.643 0.072  -0.724 -0.123  -0.724 -0.337  -0.724 -0.551  -0.724 -0.765  -0.724 -0.979  -0.862 -1.136  -0.832 -1.302  -0.724 -1.196  -0.555 -1.150  -0.341 -1.150  -0.127 -1.150  -0.065 -0.998  0.149 -0.998  0.312 -1.123  0.508 -1.167  0.632 -1.280  0.542 -1.085  0.452 -0.891  0.363 -0.696  0.273 -0.502  0.183 -0.308  0.093 -0.113  0.004 0.081  -0.086 0.276  -0.176 0.470  -0.266 0.665  -0.117 0.727  -0.033 0.906  0.118 1.057  0.304 1.126  0.466 1.253  0.617 1.404  0.821 1.429  0.902 1.351  0.798 1.163  0.694 0.976  0.590 0.789  0.486 0.602  0.382 0.415  0.278 0.227  0.214 0.064  0.338 0.153  0.490 0.215
1b#app#app14#app1402/F  0.946 0.908  1.066 0.908  0.946 0.953  0.878 1.051  0.713 1.051  0.660 1.163  0.525 1.194  0.359 1.194  0.194 1.194  0.028 1.194  -0.137 1.194  -0.303 1.194  -0.469 1.194  -0.484 1.044  -0.484 0.878  -0.484 0.713  -0.484 0.547  -0.416 0.410  -0.314 0.282  -0.240 0.134  -0.198 -0.022  -0.198 -0.188  -0.116 -0.319  -0.055 -0.459  -0.055 -0.625  -0.055 -0.790  -0.055 -0.956  -0.055 -1.122  -0.055 -1.287  -0.127 -1.380  -0.198 -1.475  -0.315 -1.523  -0.481 -1.523  -0.484 -1.361  -0.484 -1.195  -0.484 -1.030  -0.484 -0.864  -0.375 -0.808  -0.341 -0.676  -0.232 -0.556  -0.198 -0.404  -0.058 -0.379  -0.055 -0.216  -0.025 -0.063  0.092 0.054  0.209 0.171  0.366 0.193  0.531 0.193  0.686 0.167  0.803 0.050
1b#app#app14#app1402/G  0.557 1.384  0.557 1.529  0.436 1.554  0.291 1.554  0.167 1.503  0.065 1.400  -0.074 1.384  -0.120 1.286  -0.173 1.163  -0.275 1.060  -0.378 0.958  -0.459 0.846  -0.463 0.703  -0.565 0.601  -0.628 0.482  -0.628 0.337  -0.634 0.194  -0.736 0.091  -0.798 -0.028  -0.798 -0.173  -0.791 -0.315  -0.688 -0.418  -0.628 -0.538  -0.603 -0.672  -0.500 -0.775  -0.373 -0.816  -0.290 -0.878  -0.252 -0.986  -0.114 -0.974  -0.042 -0.848  0.030 -0.722  0.102 -0.596  0.174 -0.471  0.246 -0.345  0.318 -0.219  0.390 -0.093  0.462 0.033  0.534 0.159  0.557 0.101  0.557 -0.044  0.557 -0.189  0.557 -0.334  0.557 -0.479  0.557 -0.624  0.557 -0.769  0.557 -0.914  0.557 -1.059  0.557 -1.204  0.557 -1.349  0.557 -1.493
1b#app#app14#app1402/H  -0.619 0.597  -0.619 0.382  -0.619 0.167  -0.681 -0.023  -0.758 -0.205  -0.758 -0.420  -0.758 -0.635  -0.758 -0.850  -0.758 -1.065  -0.803 -1.261  -0.898 -1.437  -0.758 -1.477  -0.758 -1.262  -0.738 -1.056  -0.619 -0.890  -0.619 -0.675  -0.619 -0.461  -0.619 -0.246  -0.619 -0.031  -0.613 0.178  -0.422 0.121  -0.241 0.039  -0.166 -0.100  0.049 -0.100  0.264 -0.100  0.479 -0.100  0.636 -0.158  0.769 -0.240  0.760 -0.032  0.745 0.183  0.730 0.397  0.714 0.611  0.699 0.826  0.684 1.040  0.669 1.254  0.653 1.469  0.638 1.683  0.636 1.526  0.636 1.311  0.636 1.096  0.541 0.921  0.496 0.724  0.496 0.509  0.496 0.295  0.496 0.080  0.472 -0.125  0.357 -0.292  0.357 -0.507  0.357 -0.722  0.357 -0.937
1b#app#app14#app1402/I  0.085 1.471  0.085 1.396  0.085 1.320  0.121 1.281  0.197 1.281  0.272 1.281  0.204 1.281  0.128 1.281  0.085 1.248  0.085 1.173  0.085 1.097  0.085 1.022  0.085 0.946  0.085 0.871  0.085 0.795  0.085 0.720  0.085 0.644  0.085 0.569  0.085 0.493  0.085 0.418  0.085 0.342  0.085 0.267  0.085 0.192  0.070 0.122  0.017 0.069  -0.037 0.016  -0.090 -0.038  -0.105 -0.107  -0.105 -0.182  -0.105 -0.258  -0.105 -0.333  -0.105 -0.409  -0.105 -0.484  -0.105 -0.560  -0.105 -0.635  -0.105 -0.711  -0.105 -0.786  -0.105 -0.862  -0.105 -0.937  -0.105 -1.013  -0.105 -1.088  -0.105 -1.164  -0.105 -1.239  -0.105 -1.315  -0.105 -1.390  -0.105 -1.466  -0.105 -1.541  -0.105 -1.617  -0.105 -1.692  -0.105 -1.768
1b#app#app14#app1402/J  -0.753 0.400  -0.753 0.513  -0.707 0.606  -0.628 0.686  -0.529 0.720  -0.421 0.732  -0.342 0.812  -0.257 0.881  -0.145 0.881  -0.032 0.881  0.071 0.904  0.150 0.984  0.239 1.041  0.352 1.041  0.465 1.041  0.528 0.991  0.530 0.881  0.643 0.881  0.635 0.838  0.547 0.768  0.459 0.698  0.371 0.627  0.283 0.557  0.195 0.487  0.107 0.416  0.019 0.346  -0.069 0.275  -0.057 0.240  0.047 0.231  0.047 0.119  0.047 0.006  0.047 -0.106  0.047 -0.219  0.047 -0.332  0.047 -0.444  0.047 -0.557  0.047 -0.670  0.047 -0.782  0.047 -0.895  0.047 -1.008  -0.009 -1.097  -0.089 -1.177  -0.113 -1.279  -0.113 -1.392  -0.113 -1.505  -0.113 -1.617  -0.147 -1.716  -0.227 -1.795  -0.273 -1.889  -0.273 -2.001
1b#app#app14#app1402/K  -0.452 1.543  -0.474 1.314  -0.579 1.104  -0.637 0.883  -0.637 0.649  -0.637 0.414  -0.637 0.180  -0.637 -0.055  -0.637 -0.289  -0.637 -0.523  -0.637 -0.758  -0.637 -0.992  -0.637 -1.227  -0.637 -1.461  -0.592 -1.522  -0.477 -1.318  -0.362 -1.114  -0.247 -0.909  -0.132 -0.705  -0.017 -0.501  0.098 -0.296  0.213 -0.092  0.328 0.112  0.443 0.317  0.558 0.521  0.673 0.725  0.788 0.930  0.902 1.134  1.017 1.338  0.878 1.208  0.712 1.042  0.500 0.988  0.327 0.841  0.108 0.803  -0.059 0.641  -0.099 0.433  -0.267 0.366  -0.383 0.248  -0.452 0.082  -0.423 -0.123  -0.188 -0.123  -0.082 -0.251  0.096 -0.308  0.288 -0.350  0.379 -0.493  0.473 -0.633  0.662 -0.681  0.828 -0.847  0.993 -1.013  1.028 -1.233
