2#apb#apb18#app1800/4  -0.576 0.519  -0.661 0.361  -0.757 0.209  -0.868 0.068  -0.975 -0.077  -1.076 -0.225  -1.178 -0.374  -1.281 -0.521  -1.253 -0.577  -1.077 -0.542  -0.904 -0.492  -0.735 -0.432  -0.558 -0.408  -0.379 -0.390  -0.201 -0.406  -0.023 -0.435  0.156 -0.442  0.336 -0.442  0.516 -0.442  0.552 -0.287  0.567 -0.108  0.582 0.072  0.597 0.251  0.613 0.430  0.628 0.609  0.643 0.788  0.658 0.968  0.673 1.147  0.688 1.326  0.703 1.505  0.706 1.545  0.691 1.366  0.677 1.187  0.635 1.012  0.587 0.839  0.540 0.666  0.492 0.492  0.437 0.321  0.369 0.155  0.301 -0.012  0.233 -0.178  0.165 -0.345  0.097 -0.511  0.024 -0.675  -0.051 -0.839  -0.126 -1.002  -0.202 -1.166  -0.270 -1.332  -0.327 -1.502  -0.384 -1.673
2#apb#apb18#app1800/  0.513 1.610  0.470 1.556  0.430 1.499  0.406 1.435  0.386 1.368  0.366 1.302  0.347 1.235  0.329 1.168  0.310 1.101  0.292 1.035  0.273 0.968  0.255 0.901  0.236 0.834  0.217 0.767  0.198 0.701  0.180 0.634  0.161 0.567  0.142 0.500  0.124 0.434  0.104 0.367  0.084 0.301  0.064 0.234  0.044 0.168  0.024 0.101  0.004 0.035  -0.016 -0.031  -0.036 -0.098  -0.056 -0.164  -0.076 -0.231  -0.096 -0.297  -0.116 -0.363  -0.136 -0.430  -0.156 -0.496  -0.176 -0.563  -0.196 -0.629  -0.213 -0.696  -0.229 -0.764  -0.246 -0.831  -0.263 -0.898  -0.280 -0.965  -0.297 -1.033  -0.314 -1.100  -0.330 -1.167  -0.347 -1.235  -0.364 -1.302  -0.381 -1.369  -0.398 -1.436  -0.405 -1.505  -0.412 -1.574  -0.419 -1.643
2#apb#apb18#app1800/9  0.703 0.371  0.675 0.513  0.623 0.647  0.593 0.787  0.582 0.931  0.513 1.056  0.437 1.180  0.363 1.304  0.254 1.393  0.115 1.415  -0.019 1.366  -0.144 1.295  -0.234 1.182  -0.307 1.059  -0.368 0.928  -0.419 0.792  -0.462 0.654  -0.504 0.516  -0.539 0.376  -0.574 0.235  -0.615 0.097  -0.658 -0.041  -0.680 -0.184  -0.675 -0.326  -0.599 -0.429  -0.457 -0.446  -0.318 -0.425  -0.191 -0.356  -0.081 -0.265  0.012 -0.155  0.100 -0.040  0.182 0.079  0.267 0.196  0.324 0.211  0.335 0.067  0.316 -0.076  0.286 -0.217  0.255 -0.358  0.224 -0.499  0.192 -0.641  0.161 -0.782  0.127 -0.922  0.091 -1.062  0.054 -1.202  0.022 -1.343  0.010 -1.487  -0.003 -1.632  -0.004 -1.776  0.010 -1.919  0.025 -2.063
2#apb#apb18#app1800/1  0.039 1.698  0.039 1.628  0.039 1.559  0.039 1.490  0.039 1.420  0.039 1.351  0.039 1.281  0.039 1.212  0.039 1.143  0.039 1.073  0.039 1.004  0.039 0.934  0.039 0.865  0.039 0.796  0.039 0.726  0.039 0.657  0.039 0.587  0.039 0.518  0.039 0.449  0.039 0.379  0.039 0.310  0.039 0.240  0.039 0.171  0.039 0.102  0.039 0.032  0.039 -0.037  0.039 -0.107  0.039 -0.176  0.039 -0.246  0.034 -0.315  0.026 -0.384  0.018 -0.452  0.010 -0.521  0.002 -0.590  -0.006 -0.659  -0.014 -0.728  -0.022 -0.797  -0.030 -0.866  -0.039 -0.935  -0.047 -1.004  -0.055 -1.073  -0.063 -1.142  -0.076 -1.210  -0.088 -1.278  -0.101 -1.347  -0.113 -1.415  -0.126 -1.483  -0.138 -1.551  -0.150 -1.620  -0.163 -1.688
2#apb#apb18#app1800/2  -0.544 0.828  -0.650 0.744  -0.754 0.656  -0.862 0.575  -0.799 0.545  -0.674 0.597  -0.551 0.655  -0.429 0.713  -0.305 0.771  -0.182 0.829  -0.059 0.887  0.066 0.940  0.193 0.988  0.321 1.035  0.442 1.097  0.561 1.162  0.691 1.198  0.676 1.100  0.604 0.984  0.520 0.878  0.432 0.774  0.345 0.669  0.277 0.552  0.209 0.434  0.141 0.316  0.071 0.199  0.000 0.083  -0.071 -0.033  -0.141 -0.150  -0.204 -0.270  -0.268 -0.390  -0.332 -0.510  -0.396 -0.630  -0.460 -0.751  -0.510 -0.875  -0.537 -1.009  -0.544 -1.144  -0.487 -1.240  -0.359 -1.284  -0.223 -1.276  -0.087 -1.268  0.047 -1.250  0.179 -1.214  0.310 -1.178  0.441 -1.142  0.558 -1.076  0.669 -0.998  0.780 -0.919  0.891 -0.840  1.002 -0.762
2#apb#apb18#app1800/  0.613 1.579  0.595 1.512  0.577 1.445  0.558 1.378  0.540 1.311  0.522 1.244  0.504 1.177  0.485 1.111  0.467 1.044  0.449 0.977  0.431 0.910  0.411 0.843  0.384 0.779  0.357 0.715  0.330 0.651  0.303 0.587  0.276 0.523  0.248 0.459  0.221 0.396  0.194 0.332  0.167 0.268  0.140 0.204  0.113 0.140  0.085 0.076  0.058 0.012  0.030 -0.051  -0.002 -0.113  -0.035 -0.174  -0.067 -0.236  -0.099 -0.297  -0.132 -0.358  -0.164 -0.420  -0.196 -0.481  -0.229 -0.543  -0.261 -0.604  -0.294 -0.666  -0.326 -0.727  -0.358 -0.789  -0.391 -0.850  -0.424 -0.911  -0.457 -0.972  -0.491 -1.033  -0.524 -1.093  -0.558 -1.154  -0.591 -1.215  -0.625 -1.276  -0.658 -1.337  -0.692 -1.397  -0.725 -1.458  -0.759 -1.519
2#apb#apb18#app1800/2  -0.951 0.432  -0.872 0.461  -0.757 0.508  -0.645 0.564  -0.534 0.620  -0.423 0.676  -0.314 0.736  -0.205 0.796  -0.096 0.857  0.017 0.908  0.133 0.954  0.248 1.001  0.365 1.044  0.488 1.065  0.610 1.087  0.734 1.101  0.856 1.091  0.902 1.005  0.867 0.886  0.796 0.784  0.725 0.682  0.645 0.587  0.557 0.499  0.469 0.411  0.388 0.316  0.308 0.221  0.227 0.126  0.146 0.032  0.064 -0.062  -0.017 -0.156  -0.102 -0.248  -0.186 -0.340  -0.273 -0.429  -0.365 -0.513  -0.457 -0.597  -0.515 -0.706  -0.571 -0.817  -0.634 -0.924  -0.683 -1.034  -0.661 -1.154  -0.562 -1.229  -0.453 -1.284  -0.332 -1.312  -0.210 -1.326  -0.089 -1.299  0.033 -1.272  0.154 -1.243  0.273 -1.205  0.391 -1.168  0.510 -1.130
2#apb#apb18#app1800/1  0.455 1.630  0.444 1.560  0.434 1.491  0.424 1.422  0.414 1.353  0.403 1.284  0.393 1.215  0.383 1.146  0.373 1.077  0.362 1.008  0.352 0.939  0.342 0.869  0.332 0.800  0.322 0.731  0.311 0.662  0.301 0.593  0.291 0.524  0.281 0.455  0.264 0.388  0.235 0.324  0.206 0.261  0.177 0.197  0.148 0.134  0.119 0.070  0.090 0.007  0.061 -0.057  0.031 -0.120  0.002 -0.184  -0.027 -0.247  -0.056 -0.311  -0.085 -0.374  -0.114 -0.438  -0.143 -0.501  -0.172 -0.565  -0.201 -0.628  -0.232 -0.691  -0.267 -0.752  -0.302 -0.812  -0.337 -0.872  -0.372 -0.933  -0.407 -0.993  -0.442 -1.054  -0.477 -1.114  -0.512 -1.175  -0.547 -1.235  -0.582 -1.296  -0.617 -1.356  -0.652 -1.417  -0.687 -1.477  -0.722 -1.537
2#apb#apb18#app1800/  0.392 1.641  0.392 1.572  0.392 1.503  0.392 1.433  0.392 1.364  0.392 1.294  0.387 1.226  0.368 1.159  0.350 1.092  0.331 1.025  0.313 0.958  0.295 0.891  0.276 0.824  0.258 0.757  0.239 0.690  0.221 0.623  0.202 0.556  0.181 0.490  0.161 0.423  0.141 0.357  0.120 0.291  0.100 0.224  0.080 0.158  0.059 0.091  0.039 0.025  0.019 -0.041  -0.001 -0.108  -0.022 -0.174  -0.043 -0.240  -0.066 -0.306  -0.090 -0.371  -0.113 -0.436  -0.137 -0.502  -0.161 -0.567  -0.184 -0.632  -0.208 -0.697  -0.232 -0.763  -0.255 -0.828  -0.279 -0.893  -0.302 -0.959  -0.326 -1.024  -0.352 -1.088  -0.377 -1.153  -0.402 -1.218  -0.427 -1.283  -0.452 -1.347  -0.477 -1.412  -0.503 -1.477  -0.528 -1.541  -0.553 -1.606
2#apb#apb18#app1800/9  0.735 0.292  0.716 0.447  0.699 0.602  0.682 0.757  0.670 0.912  0.670 1.068  0.666 1.224  0.644 1.379  0.633 1.533  0.531 1.465  0.425 1.351  0.322 1.234  0.228 1.110  0.135 0.985  0.043 0.858  -0.033 0.722  -0.109 0.586  -0.185 0.450  -0.261 0.314  -0.341 0.180  -0.421 0.046  -0.500 -0.089  -0.582 -0.221  -0.673 -0.348  -0.744 -0.485  -0.677 -0.552  -0.531 -0.499  -0.401 -0.415  -0.282 -0.315  -0.178 -0.199  -0.078 -0.079  0.022 0.041  0.122 0.160  0.222 0.280  0.261 0.154  0.264 0.003  0.223 -0.148  0.182 -0.299  0.127 -0.444  0.063 -0.586  -0.002 -0.728  -0.067 -0.870  -0.144 -1.006  -0.223 -1.140  -0.303 -1.274  -0.378 -1.411  -0.451 -1.549  -0.522 -1.687  -0.588 -1.829  -0.612 -1.980
2#apb#apb18#app1800/1  0.323 1.665  0.315 1.596  0.307 1.527  0.299 1.458  0.291 1.389  0.283 1.319  0.276 1.250  0.268 1.181  0.260 1.112  0.252 1.043  0.244 0.974  0.236 0.905  0.228 0.836  0.220 0.767  0.212 0.698  0.205 0.629  0.197 0.559  0.189 0.490  0.171 0.423  0.153 0.356  0.134 0.289  0.116 0.222  0.097 0.155  0.078 0.088  0.060 0.021  0.041 -0.046  0.022 -0.113  0.004 -0.180  -0.015 -0.247  -0.033 -0.314  -0.052 -0.381  -0.071 -0.448  -0.089 -0.515  -0.108 -0.582  -0.126 -0.649  -0.145 -0.716  -0.170 -0.781  -0.197 -0.845  -0.224 -0.909  -0.251 -0.973  -0.278 -1.037  -0.305 -1.101  -0.332 -1.165  -0.359 -1.229  -0.387 -1.293  -0.414 -1.357  -0.441 -1.421  -0.468 -1.485  -0.495 -1.549  -0.522 -1.614
