2#apb#apb35#app3595/G  -1.483 -1.475  -1.291 -1.293  -1.120 -1.090  -0.959 -0.878  -0.800 -0.665  -0.640 -0.453  -0.496 -0.229  -0.359 -0.001  -0.226 0.229  -0.093 0.459  0.042 0.689  0.175 0.919  0.308 1.150  0.414 1.393  0.512 1.595  0.353 1.383  0.262 1.135  0.200 0.876  0.152 0.615  0.158 0.350  0.323 0.216  0.548 0.343  0.765 0.495  0.951 0.684  0.976 0.655  0.863 0.414  0.737 0.180  0.655 -0.071  0.564 -0.320  0.512 -0.580  0.550 -0.548  0.602 -0.288  0.602 -0.022  0.535 0.233  0.379 0.442  0.139 0.552  -0.123 0.528  -0.363 0.417  -0.576 0.259  -0.755 0.064  -0.877 -0.169  -0.937 -0.427  -0.910 -0.687  -0.785 -0.913  -0.561 -1.039  -0.302 -1.094  -0.038 -1.113  0.224 -1.065  0.474 -0.980  0.718 -0.873
2#apb#apb35#app3595/e  -1.270 -0.833  -1.312 -0.975  -1.279 -1.084  -1.145 -1.105  -1.000 -1.064  -0.860 -1.010  -0.731 -0.931  -0.603 -0.850  -0.480 -0.762  -0.359 -0.672  -0.256 -0.561  -0.154 -0.450  -0.048 -0.343  0.059 -0.236  0.166 -0.129  0.270 -0.019  0.373 0.092  0.467 0.209  0.539 0.342  0.612 0.474  0.679 0.610  0.737 0.749  0.795 0.889  0.858 1.026  0.903 1.167  0.888 1.317  0.775 1.393  0.630 1.371  0.490 1.316  0.366 1.229  0.259 1.125  0.165 1.006  0.071 0.888  -0.024 0.770  -0.119 0.653  -0.185 0.519  -0.235 0.377  -0.285 0.234  -0.301 0.084  -0.316 -0.067  -0.317 -0.216  -0.283 -0.363  -0.246 -0.509  -0.144 -0.621  -0.042 -0.732  0.092 -0.802  0.227 -0.869  0.373 -0.886  0.524 -0.879  0.675 -0.872
2#apb#apb35#app3595/o  -0.198 0.509  -0.118 0.687  -0.157 0.614  -0.311 0.494  -0.435 0.343  -0.552 0.187  -0.665 0.028  -0.776 -0.133  -0.887 -0.294  -0.971 -0.469  -1.050 -0.648  -1.118 -0.831  -1.166 -1.018  -1.161 -1.211  -1.019 -1.345  -0.859 -1.404  -0.677 -1.334  -0.502 -1.247  -0.336 -1.146  -0.177 -1.032  -0.013 -0.925  0.137 -0.804  0.262 -0.654  0.372 -0.495  0.441 -0.315  0.508 -0.138  0.549 0.045  0.625 0.220  0.709 0.396  0.817 0.558  0.851 0.743  0.894 0.934  0.845 1.105  0.730 1.215  0.535 1.216  0.341 1.234  0.189 1.117  0.025 1.069  -0.064 0.896  -0.106 0.716  -0.107 0.522  -0.081 0.335  0.010 0.163  0.116 0.001  0.301 -0.060  0.489 -0.111  0.668 -0.042  0.846 0.037  1.030 0.102  1.215 0.166
2#apb#apb35#app3595/r  -1.519 -1.213  -1.425 -1.143  -1.342 -1.061  -1.260 -0.979  -1.179 -0.895  -1.101 -0.809  -1.022 -0.723  -0.944 -0.637  -0.870 -0.547  -0.797 -0.457  -0.723 -0.366  -0.650 -0.276  -0.577 -0.185  -0.503 -0.095  -0.430 -0.004  -0.357 0.086  -0.283 0.177  -0.210 0.267  -0.141 0.361  -0.072 0.455  -0.004 0.549  0.064 0.643  0.133 0.737  0.201 0.832  0.260 0.932  0.319 1.033  0.377 1.134  0.424 1.217  0.449 1.143  0.523 1.054  0.562 0.944  0.602 0.835  0.637 0.724  0.665 0.611  0.703 0.501  0.744 0.392  0.811 0.297  0.863 0.193  0.884 0.087  0.827 -0.014  0.779 -0.120  0.727 -0.224  0.666 -0.323  0.603 -0.421  0.539 -0.518  0.474 -0.615  0.440 -0.726  0.407 -0.838  0.377 -0.950  0.349 -1.063
2#apb#apb35#app3595/g  0.325 0.715  0.409 0.892  0.476 1.080  0.510 1.270  0.419 1.430  0.229 1.415  0.062 1.310  -0.083 1.176  -0.202 1.017  -0.315 0.853  -0.410 0.679  -0.476 0.493  -0.484 0.296  -0.339 0.204  -0.146 0.246  0.023 0.351  0.174 0.480  0.280 0.647  0.419 0.761  0.447 0.577  0.454 0.378  0.442 0.179  0.425 -0.019  0.389 -0.214  0.348 -0.409  0.292 -0.600  0.223 -0.785  0.134 -0.963  0.031 -1.134  -0.079 -1.299  -0.203 -1.455  -0.347 -1.592  -0.521 -1.684  -0.711 -1.702  -0.818 -1.544  -0.818 -1.345  -0.766 -1.153  -0.704 -0.965  -0.611 -0.789  -0.519 -0.613  -0.413 -0.444  -0.306 -0.276  -0.192 -0.115  -0.056 0.031  0.081 0.175  0.242 0.291  0.404 0.407  0.577 0.504  0.756 0.590  0.946 0.650
2#apb#apb35#app3595/e  -1.141 -1.312  -1.079 -1.183  -0.970 -1.091  -0.845 -1.015  -0.727 -0.929  -0.616 -0.834  -0.503 -0.740  -0.385 -0.654  -0.267 -0.567  -0.152 -0.478  -0.039 -0.384  0.073 -0.290  0.185 -0.196  0.296 -0.101  0.406 -0.005  0.505 0.100  0.571 0.231  0.636 0.362  0.703 0.492  0.793 0.607  0.884 0.722  0.939 0.852  0.961 0.997  0.969 1.142  0.953 1.284  0.851 1.356  0.705 1.342  0.584 1.262  0.465 1.176  0.352 1.084  0.238 0.992  0.130 0.894  0.037 0.781  -0.056 0.668  -0.146 0.553  -0.217 0.425  -0.287 0.297  -0.358 0.169  -0.414 0.034  -0.467 -0.102  -0.520 -0.239  -0.556 -0.378  -0.556 -0.524  -0.556 -0.671  -0.494 -0.798  -0.411 -0.918  -0.328 -1.039  -0.189 -1.082  -0.049 -1.124  0.091 -1.166
2#apb#apb35#app3595/'  0.481 0.806  0.481 0.883  0.481 0.961  0.481 1.038  0.481 1.116  0.481 1.193  0.480 1.270  0.403 1.270  0.326 1.270  0.248 1.270  0.231 1.194  0.214 1.119  0.196 1.044  0.179 0.968  0.161 0.893  0.144 0.817  0.127 0.742  0.109 0.666  0.092 0.591  0.074 0.515  0.057 0.440  0.039 0.364  0.022 0.289  0.005 0.214  -0.013 0.138  -0.030 0.063  -0.048 -0.013  -0.065 -0.088  -0.082 -0.164  -0.100 -0.239  -0.117 -0.315  -0.135 -0.390  -0.152 -0.466  -0.169 -0.541  -0.187 -0.616  -0.204 -0.692  -0.222 -0.767  -0.239 -0.843  -0.257 -0.918  -0.274 -0.994  -0.291 -1.069  -0.309 -1.145  -0.326 -1.220  -0.344 -1.296  -0.361 -1.371  -0.378 -1.446  -0.396 -1.522  -0.413 -1.597  -0.431 -1.673  -0.448 -1.748
2#apb#apb35#app3595/s  -1.395 -1.020  -1.338 -0.875  -1.234 -0.729  -1.107 -0.602  -1.007 -0.455  -0.911 -0.303  -0.810 -0.155  -0.708 -0.008  -0.602 0.137  -0.489 0.276  -0.375 0.415  -0.261 0.553  -0.141 0.686  -0.021 0.819  0.104 0.948  0.230 1.075  0.369 1.127  0.368 0.948  0.357 0.769  0.326 0.593  0.284 0.419  0.240 0.245  0.174 0.078  0.082 -0.074  -0.033 -0.211  -0.154 -0.343  -0.304 -0.438  -0.470 -0.501  -0.646 -0.534  -0.825 -0.534  -1.003 -0.523  -0.949 -0.491  -0.770 -0.500  -0.595 -0.466  -0.420 -0.425  -0.245 -0.385  -0.070 -0.349  0.106 -0.313  0.282 -0.277  0.454 -0.229  0.623 -0.169  0.793 -0.110  0.962 -0.051  1.127 0.020  1.292 0.090  1.456 0.161  1.607 0.255  1.745 0.370  1.883 0.484  2.020 0.599
2#apb#apb35#app3595/R  -0.134 0.606  -0.163 0.482  -0.206 0.294  -0.249 0.105  -0.291 -0.083  -0.336 -0.271  -0.381 -0.459  -0.449 -0.639  -0.527 -0.816  -0.584 -1.000  -0.663 -1.176  -0.696 -1.174  -0.671 -0.983  -0.637 -0.792  -0.586 -0.606  -0.534 -0.420  -0.482 -0.234  -0.427 -0.049  -0.363 0.134  -0.299 0.316  -0.229 0.496  -0.155 0.674  -0.081 0.853  0.011 1.022  0.110 1.188  0.232 1.334  0.381 1.457  0.563 1.515  0.743 1.476  0.874 1.342  0.964 1.172  0.989 0.984  0.929 0.803  0.793 0.669  0.640 0.551  0.470 0.461  0.294 0.381  0.130 0.281  -0.009 0.150  -0.106 -0.015  -0.159 -0.199  -0.153 -0.392  -0.110 -0.579  -0.055 -0.764  0.025 -0.940  0.108 -1.115  0.194 -1.287  0.295 -1.451  0.414 -1.602  0.580 -1.702
2#apb#apb35#app3595/a  -0.034 -0.347  0.041 -0.147  0.135 0.042  0.267 0.210  0.389 0.385  0.505 0.564  0.570 0.767  0.637 0.970  0.696 1.173  0.673 1.382  0.538 1.519  0.341 1.458  0.155 1.356  -0.013 1.224  -0.159 1.070  -0.292 0.904  -0.422 0.735  -0.527 0.549  -0.632 0.363  -0.738 0.178  -0.844 -0.007  -0.951 -0.192  -1.057 -0.377  -1.117 -0.581  -1.166 -0.788  -1.180 -1.000  -1.084 -1.180  -0.903 -1.220  -0.702 -1.154  -0.509 -1.063  -0.345 -0.930  -0.194 -0.779  -0.048 -0.624  0.093 -0.464  0.227 -0.298  0.344 -0.120  0.461 0.059  0.558 0.248  0.639 0.445  0.623 0.599  0.529 0.413  0.483 0.205  0.433 -0.002  0.381 -0.210  0.363 -0.421  0.363 -0.634  0.421 -0.835  0.507 -1.031  0.684 -1.149  0.863 -1.265
2#apb#apb35#app3595/d  -0.207 -0.799  -0.096 -0.639  0.001 -0.447  0.077 -0.244  0.108 -0.028  0.110 0.188  0.013 0.371  -0.196 0.416  -0.404 0.354  -0.598 0.257  -0.757 0.115  -0.894 -0.054  -1.016 -0.235  -1.118 -0.425  -1.184 -0.632  -1.187 -0.848  -1.127 -1.051  -0.986 -1.210  -0.785 -1.219  -0.584 -1.142  -0.405 -1.022  -0.260 -0.859  -0.137 -0.681  -0.026 -0.494  0.071 -0.299  0.169 -0.104  0.269 0.089  0.370 0.281  0.472 0.474  0.571 0.668  0.671 0.861  0.771 1.055  0.873 1.247  0.975 1.439  1.021 1.650  0.873 1.570  0.751 1.390  0.633 1.207  0.527 1.017  0.420 0.827  0.336 0.628  0.268 0.421  0.201 0.213  0.153 0.001  0.109 -0.212  0.098 -0.427  0.113 -0.645  0.172 -0.851  0.300 -1.019  0.472 -1.152
