2#apb#apb07#app0723/.  1.403 0.514  1.327 0.551  1.252 0.589  1.177 0.626  1.102 0.664  1.026 0.702  0.951 0.739  0.870 0.753  0.786 0.753  0.702 0.753  0.617 0.753  0.533 0.753  0.449 0.753  0.365 0.753  0.281 0.753  0.196 0.753  0.112 0.753  0.028 0.753  -0.050 0.737  -0.109 0.678  -0.169 0.618  -0.228 0.559  -0.288 0.499  -0.347 0.440  -0.407 0.380  -0.466 0.321  -0.513 0.256  -0.513 0.172  -0.513 0.087  -0.513 0.003  -0.513 -0.081  -0.513 -0.165  -0.513 -0.249  -0.513 -0.333  -0.513 -0.418  -0.513 -0.502  -0.513 -0.586  -0.513 -0.670  -0.513 -0.754  -0.513 -0.839  -0.513 -0.923  -0.486 -1.003  -0.460 -1.083  -0.433 -1.162  -0.407 -1.242  -0.380 -1.322  -0.353 -1.402  -0.327 -1.482  -0.300 -1.562  -0.273 -1.642
2#apb#apb07#app0723/,  0.304 0.264  0.304 0.392  0.221 0.351  0.093 0.351  -0.035 0.351  -0.163 0.360  -0.290 0.376  -0.417 0.392  -0.543 0.416  -0.669 0.437  -0.713 0.515  -0.639 0.619  -0.564 0.723  -0.474 0.810  -0.362 0.871  -0.249 0.933  -0.137 0.994  -0.021 1.045  0.107 1.045  0.235 1.045  0.362 1.039  0.480 0.988  0.598 0.938  0.673 0.849  0.714 0.727  0.755 0.606  0.773 0.483  0.746 0.358  0.719 0.232  0.692 0.107  0.665 -0.019  0.612 -0.131  0.531 -0.230  0.449 -0.329  0.368 -0.428  0.286 -0.527  0.205 -0.626  0.123 -0.725  0.041 -0.824  -0.053 -0.910  -0.148 -0.997  -0.242 -1.083  -0.337 -1.170  -0.431 -1.257  -0.526 -1.343  -0.620 -1.430  -0.715 -1.517  -0.809 -1.603  -0.904 -1.690  -0.998 -1.776
2#apb#apb07#app0723/;  0.457 -0.225  0.361 -0.172  0.200 -0.172  0.040 -0.172  -0.090 -0.126  -0.092 0.030  0.026 0.125  0.176 0.162  0.337 0.162  0.492 0.124  0.619 0.035  0.674 -0.106  0.684 -0.266  0.619 -0.408  0.538 -0.546  0.419 -0.647  0.280 -0.727  0.141 -0.807  -0.003 -0.874  -0.157 -0.918  -0.312 -0.962  -0.466 -1.006  -0.622 -1.041  -0.781 -1.061  -0.940 -1.080  -1.100 -1.099  -1.080 -1.009  -0.990 -0.876  -0.901 -0.743  -0.811 -0.610  -0.721 -0.477  -0.631 -0.344  -0.542 -0.211  -0.452 -0.078  -0.362 0.054  -0.273 0.187  -0.183 0.320  -0.093 0.453  -0.003 0.586  0.086 0.719  0.176 0.852  0.266 0.985  0.355 1.118  0.445 1.251  0.535 1.384  0.625 1.517  0.714 1.650  0.804 1.783  0.816 1.697  0.721 1.570
2#apb#apb07#app0723/:  -0.244 1.086  -0.244 1.163  -0.244 1.241  -0.240 1.318  -0.216 1.391  -0.145 1.401  -0.071 1.389  -0.009 1.343  0.049 1.292  0.092 1.228  0.103 1.153  0.099 1.076  0.091 0.999  0.083 0.922  0.075 0.845  0.071 0.767  0.071 0.690  0.071 0.612  0.071 0.534  0.071 0.457  0.071 0.379  0.071 0.302  0.071 0.224  0.071 0.147  0.071 0.069  0.071 -0.009  0.071 -0.086  0.071 -0.164  0.071 -0.241  0.071 -0.319  0.071 -0.396  0.071 -0.474  0.071 -0.552  0.071 -0.629  0.071 -0.707  0.071 -0.784  0.071 -0.862  0.071 -0.939  0.071 -1.017  0.071 -1.095  0.071 -1.172  0.071 -1.250  0.071 -1.327  0.038 -1.372  -0.039 -1.372  -0.117 -1.372  -0.189 -1.382  -0.239 -1.442  -0.289 -1.502  -0.338 -1.561
2#apb#apb07#app0723/$  1.188 -0.164  1.351 0.023  1.300 0.276  1.124 0.468  0.927 0.638  0.686 0.737  0.433 0.790  0.174 0.813  -0.087 0.801  -0.339 0.752  -0.581 0.653  -0.714 0.455  -0.616 0.225  -0.411 0.063  -0.177 -0.050  0.062 -0.155  0.302 -0.257  0.540 -0.362  0.764 -0.496  0.981 -0.623  0.864 -0.850  0.674 -1.009  0.416 -1.049  0.158 -1.085  -0.102 -1.109  -0.361 -1.133  -0.621 -1.131  -0.882 -1.113  -1.141 -1.086  -1.398 -1.040  -1.249 -0.829  -1.097 -0.617  -0.946 -0.405  -0.794 -0.192  -0.642 0.020  -0.491 0.232  -0.339 0.444  -0.188 0.656  -0.036 0.869  0.116 1.081  0.267 1.293  0.272 1.403  0.167 1.165  0.126 0.908  0.095 0.649  0.072 0.389  0.048 0.129  0.041 -0.131  0.034 -0.392  0.027 -0.653
2#apb#apb07#app0723/#  1.418 0.515  1.446 0.542  1.043 0.569  0.637 0.569  0.232 0.569  -0.172 0.546  -0.575 0.507  -0.978 0.463  -1.300 0.271  -0.954 0.125  -0.570 -0.005  -0.187 -0.135  0.197 -0.265  0.581 -0.395  0.965 -0.525  0.803 -0.634  0.398 -0.651  -0.007 -0.652  -0.411 -0.632  -0.815 -0.591  -1.217 -0.544  -1.192 -0.319  -0.961 0.014  -0.730 0.347  -0.499 0.680  -0.268 1.013  -0.037 1.346  -0.048 1.190  -0.095 0.787  -0.139 0.384  -0.184 -0.019  -0.238 -0.420  -0.315 -0.818  -0.360 -1.220  -0.418 -1.619  -0.409 -1.807  -0.259 -1.431  -0.108 -1.054  0.043 -0.678  0.193 -0.302  0.344 0.074  0.494 0.451  0.645 0.827  0.795 1.203  0.803 1.252  0.622 0.890  0.520 0.498  0.482 0.095  0.427 -0.307  0.358 -0.706
2#apb#apb07#app0723/&  0.856 -0.551  0.887 -0.619  0.749 -0.680  0.577 -0.655  0.410 -0.603  0.254 -0.525  0.103 -0.436  -0.039 -0.334  -0.176 -0.224  -0.288 -0.092  -0.385 0.054  -0.462 0.209  -0.504 0.379  -0.547 0.549  -0.529 0.720  -0.495 0.892  -0.456 1.062  -0.377 1.219  -0.299 1.376  -0.159 1.469  0.001 1.540  0.176 1.540  0.325 1.472  0.454 1.354  0.514 1.189  0.575 1.025  0.605 0.852  0.631 0.679  0.595 0.511  0.542 0.344  0.443 0.203  0.324 0.075  0.185 -0.029  0.036 -0.123  -0.117 -0.206  -0.281 -0.268  -0.445 -0.331  -0.591 -0.428  -0.737 -0.525  -0.837 -0.663  -0.839 -0.809  -0.726 -0.942  -0.580 -1.028  -0.415 -1.087  -0.249 -1.145  -0.084 -1.203  0.086 -1.244  0.257 -1.282  0.428 -1.320  0.600 -1.358
2#apb#apb07#app0723/!  0.148 1.662  0.114 1.644  0.105 1.574  0.105 1.503  0.105 1.432  0.105 1.360  0.099 1.290  0.083 1.220  0.067 1.151  0.051 1.081  0.041 1.011  0.041 0.940  0.041 0.868  0.041 0.797  0.041 0.726  0.041 0.654  0.041 0.583  0.041 0.512  0.041 0.440  0.041 0.369  0.037 0.298  0.028 0.227  0.019 0.156  0.010 0.086  0.001 0.015  -0.018 -0.053  -0.044 -0.120  -0.069 -0.186  -0.095 -0.253  -0.115 -0.321  -0.129 -0.391  -0.143 -0.461  -0.157 -0.531  -0.171 -0.601  -0.185 -0.671  -0.186 -0.740  -0.161 -0.806  -0.135 -0.873  -0.109 -0.939  -0.083 -1.006  -0.057 -1.072  -0.031 -1.139  -0.005 -1.205  0.020 -1.272  0.046 -1.338  0.072 -1.405  0.098 -1.471  0.084 -1.520  0.064 -1.585  0.020 -1.640
2#apb#apb07#app0723/?  -0.157 0.241  -0.242 0.275  -0.361 0.275  -0.480 0.290  -0.559 0.365  -0.559 0.484  -0.506 0.590  -0.450 0.695  -0.360 0.771  -0.264 0.841  -0.165 0.907  -0.058 0.961  0.048 1.014  0.164 1.034  0.283 1.041  0.401 1.038  0.518 1.015  0.633 0.986  0.739 0.933  0.846 0.879  0.883 0.767  0.912 0.654  0.855 0.549  0.786 0.455  0.689 0.386  0.592 0.317  0.484 0.267  0.375 0.220  0.265 0.173  0.161 0.117  0.058 0.055  -0.040 -0.011  -0.124 -0.095  -0.208 -0.179  -0.274 -0.278  -0.319 -0.386  -0.339 -0.503  -0.296 -0.614  -0.275 -0.726  -0.285 -0.845  -0.296 -0.963  -0.306 -1.082  -0.316 -1.201  -0.327 -1.319  -0.337 -1.438  -0.347 -1.557  -0.358 -1.676  -0.368 -1.794  -0.355 -1.909  -0.358 -2.020
2#apb#apb07#app0723/  0.615 1.472  0.625 1.525  0.580 1.471  0.541 1.412  0.509 1.348  0.478 1.285  0.446 1.222  0.418 1.157  0.397 1.089  0.376 1.022  0.355 0.954  0.334 0.886  0.313 0.819  0.292 0.751  0.269 0.684  0.246 0.617  0.223 0.550  0.200 0.483  0.177 0.416  0.154 0.349  0.131 0.282  0.107 0.216  0.082 0.150  0.056 0.083  0.031 0.017  0.006 -0.049  -0.019 -0.115  -0.045 -0.181  -0.070 -0.247  -0.093 -0.314  -0.116 -0.381  -0.139 -0.448  -0.162 -0.515  -0.185 -0.582  -0.208 -0.649  -0.233 -0.715  -0.268 -0.777  -0.303 -0.838  -0.338 -0.900  -0.373 -0.962  -0.408 -1.023  -0.444 -1.084  -0.482 -1.144  -0.520 -1.204  -0.557 -1.264  -0.603 -1.318  -0.648 -1.372  -0.641 -1.395  -0.578 -1.370  -0.531 -1.413
2#apb#apb07#app0723/'  -0.004 1.404  -0.014 1.473  -0.037 1.541  -0.078 1.531  -0.078 1.460  -0.078 1.389  -0.078 1.318  -0.075 1.247  -0.070 1.176  -0.066 1.105  -0.062 1.034  -0.057 0.963  -0.053 0.893  -0.048 0.822  -0.044 0.751  -0.039 0.680  -0.032 0.610  -0.025 0.539  -0.017 0.468  -0.010 0.398  -0.003 0.327  0.004 0.257  0.011 0.186  0.018 0.115  0.025 0.045  0.032 -0.026  0.039 -0.096  0.047 -0.167  0.054 -0.238  0.062 -0.308  0.069 -0.379  0.076 -0.449  0.084 -0.520  0.091 -0.590  0.099 -0.661  0.106 -0.732  0.097 -0.801  0.084 -0.871  0.071 -0.941  0.058 -1.011  0.044 -1.080  0.031 -1.150  0.018 -1.220  0.005 -1.290  -0.008 -1.359  -0.022 -1.429  -0.036 -1.499  -0.050 -1.568  -0.064 -1.638  -0.078 -1.707
