3#apa#apa14#app1402/S  0.371 1.292  0.233 1.292  0.119 1.233  -0.004 1.196  -0.132 1.173  -0.240 1.101  -0.355 1.045  -0.453 0.948  -0.550 0.850  -0.648 0.753  -0.771 0.717  -0.804 0.597  -0.875 0.489  -0.954 0.430  -0.971 0.309  -0.904 0.238  -0.766 0.238  -0.627 0.238  -0.518 0.307  -0.391 0.334  -0.253 0.334  -0.115 0.334  0.023 0.334  0.161 0.334  0.299 0.334  0.430 0.304  0.554 0.242  0.681 0.215  0.779 0.118  0.876 0.020  0.946 -0.089  0.946 -0.227  0.946 -0.365  0.914 -0.496  0.852 -0.619  0.834 -0.753  0.772 -0.876  0.685 -0.981  0.587 -1.079  0.460 -1.107  0.337 -1.169  0.206 -1.200  0.068 -1.200  -0.070 -1.200  -0.208 -1.200  -0.333 -1.167  -0.430 -1.069  -0.528 -0.972  -0.588 -0.858  -0.588 -0.720
3#apa#apa14#app1402/e  -0.956 -0.641  -0.782 -0.641  -0.608 -0.641  -0.434 -0.641  -0.260 -0.641  -0.127 -0.541  0.013 -0.459  0.173 -0.424  0.296 -0.301  0.419 -0.178  0.542 -0.055  0.665 0.068  0.788 0.191  0.867 0.333  0.867 0.507  0.867 0.681  0.867 0.855  0.867 1.029  0.845 1.181  0.671 1.181  0.497 1.181  0.323 1.181  0.149 1.181  -0.025 1.181  -0.154 1.072  -0.277 0.949  -0.400 0.826  -0.570 0.817  -0.699 0.709  -0.822 0.586  -0.945 0.463  -0.956 0.293  -0.956 0.119  -0.956 -0.055  -0.956 -0.229  -0.956 -0.403  -0.872 -0.542  -0.749 -0.665  -0.626 -0.789  -0.466 -0.823  -0.292 -0.823  -0.118 -0.823  0.056 -0.823  0.230 -0.823  0.404 -0.823  0.578 -0.823  0.752 -0.823  0.920 -0.797  1.075 -0.719  1.231 -0.641
3#apa#apa14#app1402/e  -0.201 -0.707  -0.090 -0.596  0.020 -0.486  0.111 -0.367  0.131 -0.219  0.241 -0.109  0.351 0.002  0.448 0.123  0.518 0.262  0.580 0.404  0.580 0.560  0.597 0.699  0.736 0.716  0.736 0.873  0.723 1.024  0.613 1.134  0.470 1.167  0.314 1.167  0.158 1.167  0.001 1.167  -0.123 1.089  -0.246 1.011  -0.389 0.979  -0.500 0.868  -0.610 0.758  -0.721 0.647  -0.829 0.535  -0.899 0.396  -0.969 0.256  -0.982 0.103  -0.982 -0.054  -0.982 -0.210  -0.982 -0.366  -0.982 -0.522  -0.891 -0.641  -0.781 -0.751  -0.670 -0.862  -0.514 -0.863  -0.358 -0.863  -0.202 -0.863  -0.046 -0.863  0.111 -0.863  0.267 -0.863  0.423 -0.863  0.579 -0.863  0.736 -0.863  0.892 -0.863  1.048 -0.863  1.204 -0.863  1.360 -0.863
3#apa#apa14#app1402/?  -0.688 0.839  -0.617 0.910  -0.546 0.981  -0.475 1.052  -0.397 1.106  -0.297 1.106  -0.196 1.106  -0.096 1.106  0.004 1.106  0.105 1.106  0.205 1.106  0.305 1.106  0.398 1.087  0.469 1.016  0.540 0.945  0.558 0.852  0.558 0.752  0.558 0.652  0.558 0.551  0.535 0.460  0.469 0.388  0.456 0.292  0.385 0.221  0.339 0.133  0.294 0.043  0.224 -0.029  0.133 -0.051  0.033 -0.051  0.021 -0.140  -0.079 -0.140  -0.179 -0.140  -0.243 -0.177  -0.277 -0.263  -0.332 -0.340  -0.325 -0.440  -0.306 -0.539  -0.286 -0.637  -0.266 -0.735  -0.247 -0.834  -0.227 -0.932  -0.207 -1.031  -0.188 -1.129  -0.168 -1.227  -0.148 -1.326  -0.129 -1.424  -0.109 -1.523  -0.089 -1.621  -0.069 -1.719  0.013 -1.742  0.024 -1.831
3#apa#apa14#app1402/\"  -1.710 0.584  -1.558 0.584  -1.476 0.515  -1.476 0.363  -1.378 0.252  -1.271 0.144  -1.163 0.037  -1.056 -0.070  -0.949 -0.178  -0.841 -0.285  -0.748 -0.402  -0.680 -0.538  -0.612 -0.674  -0.544 -0.810  -0.401 -0.823  -0.249 -0.823  -0.097 -0.823  0.018 -0.910  0.126 -1.018  0.261 -1.057  0.400 -1.045  0.400 -0.893  0.400 -0.741  0.400 -0.589  0.400 -0.437  0.400 -0.286  0.400 -0.134  0.400 0.018  0.400 0.170  0.400 0.322  0.400 0.473  0.400 0.625  0.400 0.777  0.400 0.929  0.400 1.081  0.400 1.232  0.400 1.191  0.410 1.043  0.517 0.936  0.625 0.828  0.635 0.681  0.635 0.529  0.635 0.377  0.635 0.225  0.664 0.086  0.771 -0.022  0.869 -0.133  0.869 -0.285  0.869 -0.437  0.869 -0.588
3#apa#apa14#app1402/s  0.614 1.085  0.463 1.085  0.312 1.085  0.161 1.085  0.036 1.023  -0.071 0.916  -0.220 0.913  -0.335 0.824  -0.451 0.740  -0.598 0.733  -0.705 0.626  -0.812 0.519  -0.919 0.413  -1.063 0.396  -1.001 0.396  -0.850 0.396  -0.699 0.396  -0.552 0.415  -0.418 0.483  -0.283 0.550  -0.136 0.568  0.015 0.568  0.166 0.568  0.317 0.568  0.468 0.568  0.614 0.564  0.614 0.413  0.709 0.301  0.786 0.182  0.786 0.031  0.786 -0.120  0.786 -0.271  0.786 -0.422  0.786 -0.573  0.699 -0.637  0.614 -0.702  0.614 -0.853  0.591 -0.981  0.440 -0.982  0.334 -1.089  0.227 -1.196  0.120 -1.303  -0.021 -1.325  -0.172 -1.325  -0.323 -1.325  -0.458 -1.286  -0.565 -1.179  -0.671 -1.073  -0.763 -0.960  -0.763 -0.809
3#apa#apa14#app1402/c  0.361 1.094  0.361 0.947  0.361 0.801  0.361 0.654  0.258 0.551  0.214 0.422  0.214 0.275  0.299 0.214  0.361 0.299  0.361 0.445  0.361 0.592  0.361 0.738  0.277 0.801  0.214 0.885  0.155 1.007  0.044 1.094  -0.079 1.071  -0.102 0.947  -0.246 0.937  -0.377 0.872  -0.508 0.806  -0.519 0.666  -0.614 0.559  -0.699 0.441  -0.764 0.310  -0.840 0.186  -0.944 0.083  -0.959 -0.057  -0.959 -0.204  -0.959 -0.351  -0.835 -0.373  -0.813 -0.497  -0.813 -0.644  -0.689 -0.667  -0.579 -0.754  -0.457 -0.813  -0.328 -0.857  -0.224 -0.960  -0.078 -0.960  0.069 -0.960  0.216 -0.960  0.362 -0.960  0.509 -0.960  0.655 -0.960  0.802 -0.960  0.949 -0.960  1.095 -0.960  1.242 -0.960  1.388 -0.960  1.535 -0.960
3#apa#apa14#app1402/r  -0.982 0.383  -0.982 0.246  -0.982 0.109  -0.982 -0.028  -0.911 -0.135  -0.814 -0.232  -0.759 -0.347  -0.759 -0.484  -0.648 -0.510  -0.536 -0.535  -0.536 -0.672  -0.483 -0.787  -0.386 -0.884  -0.312 -0.991  -0.312 -1.128  -0.228 -1.180  -0.091 -1.180  0.046 -1.180  0.134 -1.132  0.134 -0.995  0.134 -0.858  0.134 -0.720  0.134 -0.583  0.089 -0.465  -0.008 -0.368  -0.089 -0.265  -0.089 -0.128  -0.162 -0.064  -0.299 -0.064  -0.312 0.060  -0.312 0.197  -0.312 0.334  -0.312 0.472  -0.311 0.608  -0.214 0.705  -0.117 0.802  0.008 0.830  0.146 0.830  0.283 0.830  0.420 0.830  0.557 0.830  0.694 0.830  0.831 0.830  0.968 0.830  1.105 0.830  1.242 0.830  1.379 0.830  1.504 0.859  1.601 0.956  1.698 1.053
3#apa#apa14#app1402/e  -0.808 -0.062  -0.711 0.035  -0.608 0.121  -0.470 0.121  -0.365 0.199  -0.268 0.296  -0.170 0.393  -0.073 0.491  0.025 0.588  0.105 0.693  0.105 0.831  0.105 0.968  0.032 1.034  -0.097 1.014  -0.195 0.917  -0.305 0.851  -0.443 0.851  -0.540 0.753  -0.638 0.656  -0.735 0.559  -0.833 0.461  -0.930 0.364  -0.991 0.251  -0.991 0.113  -0.991 -0.024  -0.991 -0.162  -0.951 -0.284  -0.854 -0.381  -0.735 -0.427  -0.606 -0.447  -0.508 -0.544  -0.398 -0.610  -0.260 -0.610  -0.122 -0.610  0.015 -0.610  0.153 -0.610  0.291 -0.610  0.429 -0.610  0.566 -0.610  0.704 -0.610  0.842 -0.610  0.980 -0.610  1.117 -0.610  1.239 -0.571  1.337 -0.473  1.455 -0.427  1.593 -0.427  1.731 -0.427  1.833 -0.342  1.931 -0.244
3#apa#apa14#app1402/e  -0.722 -0.310  -0.580 -0.310  -0.575 -0.173  -0.443 -0.163  -0.338 -0.073  -0.237 0.028  -0.136 0.128  -0.133 0.269  -0.039 0.373  0.015 0.493  0.015 0.635  0.015 0.777  -0.036 0.869  -0.178 0.869  -0.321 0.869  -0.463 0.869  -0.596 0.847  -0.697 0.747  -0.829 0.721  -0.870 0.620  -0.938 0.506  -1.017 0.396  -1.017 0.254  -1.017 0.112  -1.017 -0.031  -1.017 -0.173  -1.012 -0.310  -0.870 -0.310  -0.727 -0.310  -0.625 -0.407  -0.504 -0.458  -0.361 -0.458  -0.219 -0.458  -0.077 -0.458  0.065 -0.458  0.208 -0.458  0.350 -0.458  0.492 -0.458  0.635 -0.458  0.777 -0.458  0.919 -0.458  1.057 -0.447  1.158 -0.346  1.285 -0.310  1.428 -0.310  1.570 -0.310  1.712 -0.310  1.854 -0.310  1.977 -0.264  2.078 -0.163
3#apa#apa14#app1402/c  0.284 0.898  0.284 0.756  0.284 0.614  0.284 0.472  0.284 0.330  0.284 0.188  0.359 0.121  0.440 0.182  0.474 0.310  0.574 0.411  0.595 0.544  0.525 0.657  0.440 0.764  0.432 0.898  0.289 0.898  0.284 1.035  0.161 1.053  0.019 1.053  -0.123 1.053  -0.266 1.053  -0.338 0.984  -0.394 0.898  -0.493 0.855  -0.514 0.722  -0.615 0.621  -0.649 0.493  -0.706 0.375  -0.804 0.273  -0.804 0.131  -0.804 -0.011  -0.804 -0.153  -0.804 -0.295  -0.804 -0.437  -0.769 -0.571  -0.706 -0.698  -0.634 -0.812  -0.492 -0.813  -0.365 -0.876  -0.238 -0.940  -0.126 -1.024  -0.025 -1.123  0.117 -1.123  0.259 -1.123  0.401 -1.123  0.532 -1.170  0.659 -1.233  0.791 -1.279  0.933 -1.279  1.075 -1.279  1.217 -1.279
