1b#apa#apa20#app2002/Z  -0.781 0.904  -0.889 1.027  -0.997 1.150  -0.843 1.227  -0.612 1.227  -0.382 1.227  -0.151 1.227  0.080 1.227  0.307 1.217  0.497 1.119  0.696 1.043  0.728 0.825  0.620 0.639  0.498 0.458  0.335 0.295  0.217 0.099  0.071 -0.077  -0.093 -0.240  -0.288 -0.359  -0.350 -0.551  -0.458 -0.737  -0.566 -0.860  -0.566 -1.091  -0.409 -1.194  -0.202 -1.252  0.029 -1.252  0.260 -1.252  0.465 -1.191  0.677 -1.144  0.908 -1.144  0.976 -1.099  0.779 -0.978  0.582 -0.858  0.385 -0.737  0.188 -0.617  -0.009 -0.497  -0.206 -0.376  -0.403 -0.256  -0.600 -0.135  -0.797 -0.015  -0.874 0.149  -0.751 0.257  -0.520 0.257  -0.290 0.257  -0.103 0.365  0.128 0.365  0.358 0.365  0.589 0.365  0.820 0.365  0.943 0.257
1b#apa#apa20#app2002/A  -0.204 0.855  -0.364 0.652  -0.436 0.407  -0.514 0.158  -0.615 -0.082  -0.669 -0.332  -0.669 -0.593  -0.729 -0.830  -0.785 -1.069  -0.785 -1.330  -0.669 -1.154  -0.669 -0.893  -0.571 -0.671  -0.553 -0.417  -0.544 -0.157  -0.481 0.097  -0.436 0.353  -0.436 0.615  -0.427 0.875  -0.320 1.111  -0.320 1.373  -0.204 1.586  -0.140 1.783  0.006 1.667  0.115 1.464  0.144 1.214  0.260 1.000  0.316 0.745  0.383 0.493  0.492 0.257  0.565 0.012  0.608 -0.239  0.724 -0.453  0.767 -0.697  0.840 -0.928  0.973 -1.135  1.067 -1.345  0.882 -1.159  0.697 -0.974  0.512 -0.789  0.327 -0.604  0.142 -0.419  -0.043 -0.234  -0.286 -0.189  -0.209 -0.073  -0.064 0.043  0.198 0.043  0.460 0.043  0.709 -0.008  0.956 -0.073
1b#apa#apa20#app2002/P  -0.321 -0.406  -0.321 -0.574  -0.321 -0.742  -0.321 -0.910  -0.321 -1.079  -0.321 -1.247  -0.321 -1.415  -0.321 -1.583  -0.321 -1.478  -0.321 -1.310  -0.321 -1.141  -0.321 -0.973  -0.321 -0.805  -0.321 -0.637  -0.321 -0.468  -0.321 -0.300  -0.390 -0.148  -0.442 0.008  -0.442 0.176  -0.442 0.344  -0.442 0.513  -0.442 0.681  -0.442 0.849  -0.442 1.017  -0.442 1.186  -0.395 1.334  -0.257 1.408  -0.089 1.408  0.033 1.296  0.197 1.287  0.357 1.250  0.507 1.175  0.630 1.061  0.711 0.915  0.798 0.773  0.917 0.654  1.009 0.524  1.009 0.355  1.009 0.187  0.967 0.036  0.848 -0.083  0.716 -0.181  0.556 -0.234  0.399 -0.290  0.278 -0.406  0.110 -0.406  -0.058 -0.406  -0.227 -0.406  -0.395 -0.406  -0.563 -0.406
1b#apa#apa20#app2002/K  -0.721 1.272  -0.721 1.058  -0.721 0.844  -0.721 0.630  -0.721 0.416  -0.721 0.201  -0.721 -0.013  -0.721 -0.227  -0.721 -0.441  -0.721 -0.656  -0.656 -0.843  -0.585 -1.027  -0.559 -1.138  -0.459 -0.948  -0.359 -0.759  -0.260 -0.569  -0.160 -0.380  -0.060 -0.190  0.040 -0.001  0.139 0.189  0.239 0.378  0.339 0.568  0.439 0.758  0.538 0.947  0.638 1.137  0.738 1.326  0.661 1.409  0.590 1.245  0.398 1.149  0.241 1.005  0.186 0.814  0.058 0.645  -0.038 0.454  -0.189 0.302  -0.340 0.151  -0.448 -0.019  -0.547 -0.192  -0.585 -0.391  -0.513 -0.575  -0.326 -0.640  -0.111 -0.640  0.103 -0.640  0.317 -0.640  0.485 -0.753  0.689 -0.777  0.897 -0.815  1.100 -0.883  1.309 -0.913  1.524 -0.913  1.738 -0.913
1b#apa#apa20#app2002/A  0.149 0.477  0.032 0.343  -0.075 0.137  -0.191 -0.085  -0.318 -0.285  -0.374 -0.512  -0.508 -0.721  -0.551 -0.961  -0.551 -1.212  -0.551 -1.463  -0.551 -1.714  -0.551 -1.514  -0.551 -1.264  -0.487 -1.028  -0.434 -0.790  -0.434 -0.539  -0.434 -0.288  -0.434 -0.037  -0.370 0.203  -0.318 0.445  -0.318 0.696  -0.318 0.947  -0.318 1.197  -0.318 1.448  -0.201 1.650  -0.177 1.877  0.027 1.765  0.040 1.519  0.149 1.314  0.252 1.087  0.265 0.840  0.415 0.645  0.499 0.414  0.535 0.172  0.647 -0.052  0.759 -0.277  0.849 -0.506  0.896 -0.737  1.074 -0.914  0.876 -0.802  0.659 -0.676  0.442 -0.550  0.226 -0.423  0.009 -0.297  -0.207 -0.171  -0.312 0.010  -0.068 0.027  0.141 0.127  0.366 0.236  0.615 0.244
1b#apa#apa20#app2002/P  -0.269 -0.151  -0.269 -0.331  -0.269 -0.512  -0.269 -0.693  -0.269 -0.873  -0.219 -1.046  -0.162 -1.217  -0.162 -1.398  -0.055 -1.472  -0.055 -1.637  -0.055 -1.456  -0.077 -1.281  -0.158 -1.119  -0.162 -0.939  -0.162 -0.758  -0.210 -0.589  -0.269 -0.422  -0.276 -0.243  -0.356 -0.082  -0.375 0.095  -0.375 0.275  -0.375 0.456  -0.441 0.621  -0.482 0.792  -0.482 0.973  -0.482 1.153  -0.482 1.334  -0.361 1.465  -0.219 1.557  -0.043 1.545  0.099 1.450  0.244 1.365  0.372 1.237  0.499 1.109  0.627 0.981  0.692 0.828  0.732 0.663  0.837 0.519  0.905 0.355  0.905 0.174  0.856 0.014  0.799 -0.143  0.644 -0.228  0.470 -0.257  0.298 -0.294  0.134 -0.364  -0.047 -0.364  -0.227 -0.364  -0.408 -0.364  -0.589 -0.364
1b#apa#apa20#app2002/O  0.255 0.879  0.159 0.975  0.028 0.986  -0.108 0.986  -0.243 0.986  -0.379 0.986  -0.508 0.970  -0.604 0.874  -0.700 0.778  -0.796 0.682  -0.815 0.554  -0.848 0.422  -0.880 0.290  -0.913 0.159  -0.920 0.024  -0.920 -0.112  -0.920 -0.247  -0.920 -0.383  -0.839 -0.485  -0.769 -0.600  -0.708 -0.721  -0.613 -0.818  -0.517 -0.914  -0.391 -0.938  -0.262 -0.955  -0.164 -1.045  -0.028 -1.045  0.107 -1.045  0.243 -1.045  0.379 -1.045  0.510 -1.024  0.631 -0.964  0.738 -0.883  0.789 -0.768  0.854 -0.659  0.896 -0.541  0.896 -0.405  0.896 -0.270  0.896 -0.134  0.858 -0.007  0.798 0.114  0.785 0.247  0.724 0.368  0.659 0.487  0.584 0.600  0.508 0.713  0.469 0.836  0.469 0.972  0.382 1.072  0.255 1.093
1b#apa#apa20#app2002/W  -1.221 0.535  -1.265 0.720  -1.239 0.825  -1.124 0.689  -1.080 0.500  -1.027 0.314  -0.970 0.132  -0.926 -0.053  -0.839 -0.228  -0.772 -0.397  -0.737 -0.578  -0.737 -0.773  -0.641 -0.872  -0.584 -1.011  -0.544 -0.856  -0.447 -0.757  -0.447 -0.562  -0.432 -0.368  -0.384 -0.179  -0.351 0.013  -0.324 0.202  -0.254 0.381  -0.193 0.562  -0.143 0.743  -0.061 0.904  0.036 0.978  0.133 0.879  0.133 0.684  0.133 0.489  0.133 0.293  0.155 0.103  0.229 -0.075  0.229 -0.270  0.288 -0.452  0.375 -0.627  0.423 -0.811  0.556 -0.951  0.722 -1.001  0.882 -0.914  0.929 -0.747  0.991 -0.561  1.099 -0.408  1.099 -0.212  1.099 -0.017  1.099 0.178  1.121 0.365  1.196 0.529  1.196 0.725  1.196 0.920  1.292 1.019
1b#apa#apa20#app2002/K  -0.434 1.656  -0.340 1.714  -0.340 1.491  -0.344 1.268  -0.398 1.051  -0.458 0.836  -0.528 0.624  -0.540 0.402  -0.610 0.190  -0.622 -0.031  -0.622 -0.255  -0.622 -0.478  -0.622 -0.702  -0.622 -0.925  -0.622 -1.149  -0.603 -1.364  -0.516 -1.512  -0.409 -1.316  -0.301 -1.121  -0.193 -0.925  -0.085 -0.729  0.023 -0.534  0.131 -0.338  0.239 -0.142  0.347 0.053  0.455 0.249  0.563 0.445  0.671 0.640  0.779 0.836  0.887 1.032  0.941 1.155  0.755 1.064  0.597 0.906  0.439 0.747  0.272 0.602  0.100 0.474  -0.020 0.289  -0.205 0.197  -0.363 0.039  -0.528 -0.061  -0.463 -0.220  -0.278 -0.313  -0.094 -0.407  0.085 -0.526  0.292 -0.595  0.485 -0.670  0.670 -0.761  0.856 -0.853  1.031 -0.970  1.160 -1.064
1b#apa#apa20#app2002/E  0.010 1.327  -0.109 1.270  -0.109 1.094  -0.186 0.936  -0.286 0.794  -0.347 0.643  -0.347 0.467  -0.407 0.316  -0.466 0.164  -0.466 -0.012  -0.466 -0.189  -0.569 -0.322  -0.585 -0.492  -0.585 -0.668  -0.585 -0.844  -0.523 -0.994  -0.466 -1.147  -0.433 -1.289  -0.347 -1.380  -0.208 -1.429  -0.073 -1.527  0.103 -1.527  0.240 -1.496  0.202 -1.324  0.164 -1.152  0.126 -0.980  0.088 -0.808  0.049 -0.636  0.011 -0.464  0.129 -0.338  0.305 -0.338  0.469 -0.287  0.629 -0.219  0.672 -0.155  0.562 -0.017  0.452 0.120  0.342 0.258  0.232 0.395  0.122 0.533  0.012 0.670  -0.098 0.808  -0.208 0.945  -0.203 1.089  -0.051 1.147  0.100 1.208  0.276 1.208  0.452 1.208  0.627 1.201  0.794 1.145  0.961 1.089
1b#apa#apa20#app2002/R  -0.511 1.178  -0.428 1.008  -0.428 0.804  -0.485 0.623  -0.511 0.429  -0.529 0.229  -0.594 0.041  -0.594 -0.164  -0.594 -0.368  -0.594 -0.572  -0.594 -0.776  -0.594 -0.814  -0.594 -0.610  -0.594 -0.406  -0.580 -0.205  -0.511 -0.017  -0.471 0.178  -0.394 0.366  -0.323 0.558  -0.232 0.740  -0.140 0.923  -0.022 1.086  0.153 1.184  0.281 1.261  0.485 1.261  0.678 1.234  0.790 1.066  0.817 0.868  0.747 0.693  0.717 0.505  0.541 0.404  0.395 0.261  0.218 0.163  0.040 0.099  -0.144 0.050  -0.326 -0.033  -0.497 -0.136  -0.511 -0.334  -0.449 -0.524  -0.309 -0.666  -0.137 -0.773  0.013 -0.908  0.203 -0.984  0.393 -1.060  0.576 -1.149  0.770 -1.214  0.937 -1.313  1.141 -1.313  1.312 -1.393  1.481 -1.479
