3#app#app18#app1855/I  -0.215 0.889  -0.215 0.640  -0.161 0.414  -0.006 0.229  -0.006 -0.019  -0.006 -0.268  -0.006 -0.517  -0.006 -0.765  0.204 -0.804  0.183 -0.954  0.082 -0.726  -0.019 -0.499  -0.120 -0.272  -0.221 -0.045  -0.322 0.183  -0.423 0.410  -0.524 0.637  -0.625 0.865  -0.623 1.099  -0.374 1.099  -0.152 1.162  0.036 1.309  0.204 1.389  0.324 1.519  0.572 1.519  0.821 1.519  0.718 1.314  0.594 1.098  0.471 0.882  0.347 0.666  0.224 0.450  0.100 0.234  -0.023 0.018  -0.146 -0.198  -0.270 -0.414  -0.393 -0.630  -0.517 -0.845  -0.640 -1.061  -0.763 -1.277  -0.762 -1.421  -0.635 -1.299  -0.475 -1.211  -0.284 -1.070  -0.064 -1.001  0.129 -0.867  0.346 -0.791  0.595 -0.791  0.780 -0.636  1.006 -0.581  1.254 -0.581
3#app#app18#app1855/f  0.361 -1.584  0.129 -1.584  0.109 -1.373  -0.083 -1.332  -0.144 -1.161  -0.250 -0.973  -0.396 -0.801  -0.396 -0.569  -0.396 -0.337  -0.396 -0.105  -0.396 0.127  -0.396 0.359  -0.396 0.591  -0.396 0.823  -0.314 1.021  -0.150 1.185  0.079 1.191  0.312 1.191  0.544 1.191  0.776 1.191  1.008 1.191  1.118 1.069  1.033 0.882  0.840 0.754  0.647 0.625  0.454 0.496  0.261 0.368  0.068 0.239  -0.125 0.110  -0.318 -0.019  -0.511 -0.147  -0.704 -0.276  -0.897 -0.405  -1.090 -0.533  -1.310 -0.575  -1.269 -0.575  -1.037 -0.575  -0.833 -0.508  -0.669 -0.343  -0.445 -0.323  -0.213 -0.323  0.019 -0.323  0.109 -0.181  0.230 -0.071  0.462 -0.071  0.694 -0.071  0.866 -0.010  0.906 0.182  1.138 0.182  1.370 0.182
3#app#app18#app1855/M  -0.750 0.164  -0.750 0.300  -0.750 0.037  -0.750 -0.226  -0.711 -0.473  -0.551 -0.670  -0.551 -0.934  -0.551 -1.197  -0.551 -1.403  -0.643 -1.232  -0.750 -1.076  -0.750 -0.813  -0.750 -0.550  -0.750 -0.287  -0.759 -0.027  -0.945 0.159  -0.950 0.420  -0.950 0.684  -0.766 0.763  -0.702 0.962  -0.551 0.850  -0.375 0.763  -0.311 0.563  -0.152 0.459  -0.152 0.196  0.048 0.132  0.048 -0.131  0.207 -0.235  0.247 -0.411  0.247 -0.147  0.247 0.116  0.247 0.379  0.247 0.642  0.390 0.763  0.447 0.969  0.447 1.233  0.447 1.227  0.587 1.021  0.646 0.783  0.677 0.532  0.846 0.339  0.846 0.076  0.846 -0.188  1.045 -0.251  1.045 -0.514  1.189 -0.634  1.245 -0.841  1.245 -0.961  1.245 -0.697  1.444 -0.634
3#app#app18#app1855/y  -0.637 0.944  -0.744 0.836  -0.835 0.723  -0.835 0.571  -0.835 0.419  -0.777 0.292  -0.670 0.185  -0.637 0.047  -0.579 -0.047  -0.427 -0.047  -0.276 -0.047  -0.124 -0.047  0.007 0.002  0.114 0.110  0.221 0.217  0.328 0.324  0.354 0.465  0.354 0.616  0.354 0.768  0.354 0.919  0.226 0.944  0.156 1.024  0.190 1.142  0.342 1.142  0.354 1.002  0.354 1.036  0.354 1.095  0.354 0.944  0.354 0.792  0.354 0.641  0.354 0.489  0.354 0.338  0.354 0.186  0.271 0.069  0.164 -0.038  0.156 -0.186  0.156 -0.338  0.156 -0.490  0.156 -0.641  0.156 -0.793  0.156 -0.944  0.114 -1.079  0.007 -1.186  -0.042 -1.317  -0.042 -1.468  -0.042 -1.620  -0.042 -1.771  -0.042 -1.923  -0.042 -2.074  -0.042 -2.226
3#app#app18#app1855/N  -0.655 -1.310  -0.752 -1.213  -0.848 -1.115  -0.848 -0.977  -0.848 -0.840  -0.848 -0.703  -0.848 -0.565  -0.848 -0.428  -0.848 -0.290  -0.848 -0.153  -0.848 -0.015  -0.848 0.122  -0.848 0.260  -0.848 0.397  -0.848 0.534  -0.848 0.568  -0.848 0.430  -0.714 0.427  -0.655 0.349  -0.632 0.234  -0.494 0.234  -0.388 0.160  -0.291 0.063  -0.193 -0.034  -0.096 -0.132  0.001 -0.229  0.098 -0.326  0.195 -0.423  0.293 -0.520  0.390 -0.618  0.487 -0.715  0.618 -0.731  0.696 -0.672  0.696 -0.534  0.696 -0.397  0.756 -0.284  0.854 -0.187  0.889 -0.065  0.889 0.073  0.889 0.210  0.889 0.348  0.889 0.485  0.889 0.623  0.889 0.760  0.889 0.898  0.889 1.035  0.889 1.172  0.889 1.310  0.945 1.392  1.082 1.392
3#app#app18#app1855/a  0.326 0.195  0.326 -0.031  0.326 -0.036  0.326 0.190  0.326 0.416  0.326 0.643  0.326 0.869  0.110 0.880  -0.116 0.880  -0.343 0.880  -0.569 0.880  -0.701 0.785  -0.701 0.559  -0.906 0.537  -1.043 0.448  -1.043 0.222  -1.243 0.195  -1.385 0.111  -1.385 -0.115  -1.385 -0.342  -1.307 -0.489  -1.080 -0.489  -1.043 -0.679  -0.970 -0.832  -0.743 -0.832  -0.517 -0.832  -0.290 -0.832  -0.064 -0.832  -0.016 -0.653  0.047 -0.489  0.273 -0.489  0.326 -0.316  0.326 -0.089  0.326 0.137  0.326 0.363  0.326 0.590  0.326 0.816  0.326 0.717  0.326 0.490  0.326 0.264  0.437 0.084  0.597 -0.076  0.668 -0.273  0.679 -0.489  0.905 -0.489  1.132 -0.489  1.358 -0.489  1.584 -0.489  1.811 -0.489  2.037 -0.489
3#app#app18#app1855/m  -1.540 0.188  -1.338 0.188  -1.260 0.063  -1.260 -0.139  -1.260 -0.342  -1.088 -0.372  -0.980 -0.467  -0.980 -0.669  -0.980 -0.872  -0.980 -0.791  -0.980 -0.589  -0.980 -0.386  -0.980 -0.184  -0.869 -0.092  -0.700 -0.059  -0.700 0.143  -0.700 0.346  -0.620 0.468  -0.420 0.465  -0.420 0.263  -0.293 0.188  -0.090 0.188  0.112 0.188  0.140 0.013  0.237 -0.092  0.420 -0.112  0.420 -0.314  0.276 -0.372  0.074 -0.372  -0.128 -0.372  -0.005 -0.237  0.138 -0.094  0.140 0.107  0.262 0.188  0.420 0.232  0.420 0.435  0.590 0.468  0.700 0.559  0.714 0.748  0.917 0.748  1.119 0.748  1.261 0.687  1.261 0.484  1.261 0.282  1.261 0.080  1.291 -0.092  1.494 -0.092  1.541 -0.248  1.541 -0.450  1.541 -0.653
3#app#app18#app1855/e  -0.664 0.372  -0.834 0.372  -0.860 0.372  -0.690 0.372  -0.664 0.229  -0.619 0.105  -0.450 0.105  -0.280 0.105  -0.111 0.105  0.058 0.105  0.201 0.169  0.321 0.289  0.456 0.372  0.625 0.372  0.670 0.496  0.670 0.665  0.670 0.834  0.601 0.975  0.482 1.095  0.345 1.173  0.176 1.173  0.006 1.173  -0.130 1.140  -0.130 0.971  -0.235 0.906  -0.397 0.899  -0.397 0.730  -0.453 0.584  -0.572 0.464  -0.664 0.333  -0.664 0.164  -0.664 -0.006  -0.664 -0.175  -0.664 -0.344  -0.605 -0.489  -0.485 -0.609  -0.365 -0.728  -0.245 -0.848  -0.124 -0.963  0.046 -0.963  0.137 -1.041  0.137 -1.210  0.286 -1.230  0.456 -1.230  0.625 -1.230  0.794 -1.230  0.964 -1.230  1.133 -1.230  1.302 -1.230  1.471 -1.230
3#app#app18#app1855/=  -1.477 0.684  -1.316 0.684  -1.156 0.684  -0.995 0.684  -0.834 0.684  -0.673 0.684  -0.512 0.684  -0.351 0.684  -0.190 0.684  -0.029 0.684  0.132 0.684  0.293 0.684  0.454 0.684  0.614 0.684  0.775 0.684  0.936 0.684  1.097 0.684  1.258 0.684  1.128 0.615  0.984 0.543  0.840 0.471  0.696 0.399  0.552 0.327  0.408 0.255  0.265 0.183  0.121 0.111  -0.023 0.039  -0.167 -0.033  -0.311 -0.105  -0.455 -0.176  -0.599 -0.248  -0.743 -0.320  -0.887 -0.392  -1.031 -0.464  -1.015 -0.562  -0.901 -0.676  -0.788 -0.790  -0.666 -0.884  -0.505 -0.884  -0.344 -0.884  -0.183 -0.884  -0.022 -0.884  0.139 -0.884  0.300 -0.884  0.461 -0.884  0.622 -0.884  0.783 -0.884  0.944 -0.884  1.105 -0.884  1.265 -0.884
3#app#app18#app1855/\"  -0.882 0.547  -0.882 0.706  -0.882 0.866  -0.882 0.983  -0.882 0.823  -0.882 0.663  -0.882 0.504  -0.882 0.344  -0.882 0.185  -0.882 0.025  -0.882 -0.135  -0.882 -0.294  -0.796 -0.368  -0.636 -0.368  -0.477 -0.368  -0.424 -0.476  -0.424 -0.635  -0.424 -0.795  -0.424 -0.954  -0.424 -1.114  -0.424 -1.274  -0.274 -1.283  -0.114 -1.283  0.036 -1.272  0.067 -1.115  0.098 -0.958  0.130 -0.802  0.161 -0.645  0.192 -0.489  0.223 -0.332  0.255 -0.176  0.286 -0.019  0.317 0.137  0.349 0.294  0.380 0.450  0.411 0.607  0.443 0.764  0.474 0.920  0.565 1.004  0.724 1.004  0.884 1.004  0.948 0.909  0.948 0.749  0.948 0.590  0.948 0.430  0.948 0.270  0.948 0.111  1.086 0.089  1.246 0.089  1.406 0.089
3#app#app18#app1855/Y  -0.531 1.358  -0.531 1.165  -0.531 0.972  -0.531 0.780  -0.468 0.613  -0.361 0.464  -0.361 0.272  -0.361 0.079  -0.361 -0.114  -0.361 -0.307  -0.361 -0.500  -0.191 -0.522  -0.191 -0.715  -0.140 -0.857  0.000 -0.787  0.053 -0.601  0.106 -0.416  0.159 -0.231  0.212 -0.045  0.265 0.140  0.318 0.326  0.371 0.511  0.424 0.697  0.477 0.882  0.530 1.067  0.583 1.253  0.636 1.438  0.662 1.429  0.662 1.237  0.518 1.188  0.491 1.021  0.491 0.828  0.462 0.648  0.326 0.511  0.321 0.320  0.294 0.139  0.158 0.002  0.142 -0.184  0.006 -0.320  -0.020 -0.503  -0.029 -0.687  -0.191 -0.718  -0.191 -0.911  -0.224 -1.096  -0.311 -1.268  -0.361 -1.449  -0.464 -1.539  -0.531 -1.664  -0.531 -1.857  -0.531 -2.050
