3#app#app14#app1458/f  0.252 -0.458  0.067 -0.458  -0.119 -0.458  -0.304 -0.458  -0.469 -0.506  -0.628 -0.570  -0.813 -0.570  -0.858 -0.675  -0.701 -0.576  -0.544 -0.478  -0.387 -0.380  -0.230 -0.282  -0.073 -0.184  0.084 -0.086  0.241 0.012  0.398 0.111  0.555 0.209  0.712 0.307  0.869 0.405  1.045 0.440  1.150 0.520  1.150 0.705  1.150 0.890  1.076 1.001  1.003 1.114  0.926 1.221  0.745 1.226  0.560 1.226  0.375 1.226  0.236 1.114  0.051 1.114  -0.017 0.979  -0.183 0.896  -0.237 0.737  -0.368 0.606  -0.499 0.475  -0.551 0.311  -0.646 0.165  -0.646 -0.020  -0.646 -0.205  -0.646 -0.390  -0.643 -0.574  -0.534 -0.714  -0.429 -0.795  -0.376 -0.953  -0.309 -1.111  -0.197 -1.250  -0.197 -1.435  -0.197 -1.620  -0.197 -1.805
3#app#app14#app1458/a  0.819 0.171  0.819 0.307  0.819 0.443  0.819 0.580  0.819 0.716  0.688 0.720  0.551 0.720  0.545 0.850  0.545 0.986  0.417 0.995  0.281 0.995  0.145 0.995  0.008 0.995  -0.092 0.908  -0.188 0.811  -0.286 0.717  -0.408 0.656  -0.530 0.595  -0.652 0.534  -0.773 0.473  -0.881 0.393  -0.978 0.297  -1.074 0.200  -1.103 0.076  -1.103 -0.060  -1.103 -0.196  -1.103 -0.333  -1.103 -0.469  -1.103 -0.605  -1.015 -0.653  -0.879 -0.653  -0.743 -0.653  -0.606 -0.653  -0.470 -0.653  -0.334 -0.653  -0.198 -0.653  -0.061 -0.653  0.075 -0.653  0.211 -0.653  0.325 -0.598  0.421 -0.502  0.518 -0.406  0.614 -0.448  0.710 -0.544  0.807 -0.640  0.938 -0.653  1.074 -0.653  1.176 -0.735  1.273 -0.832  1.369 -0.928
3#app#app14#app1458/i  -0.401 1.530  -0.331 1.530  -0.261 1.530  -0.220 1.496  -0.208 1.427  -0.196 1.357  -0.185 1.288  -0.173 1.219  -0.162 1.149  -0.150 1.080  -0.139 1.011  -0.127 0.941  -0.116 0.872  -0.104 0.803  -0.092 0.733  -0.081 0.664  -0.069 0.595  -0.058 0.525  -0.046 0.456  -0.035 0.387  -0.023 0.317  -0.012 0.248  -0.000 0.179  0.011 0.109  0.023 0.040  0.035 -0.029  0.046 -0.098  0.058 -0.168  0.069 -0.237  0.081 -0.306  0.092 -0.376  0.104 -0.445  0.115 -0.514  0.126 -0.584  0.126 -0.654  0.126 -0.724  0.126 -0.795  0.126 -0.865  0.126 -0.935  0.126 -1.005  0.126 -1.076  0.126 -1.146  0.126 -1.216  0.126 -1.287  0.126 -1.357  0.126 -1.427  0.153 -1.486  0.203 -1.536  0.253 -1.586  0.302 -1.635
3#app#app14#app1458/l  -0.084 1.708  -0.084 1.638  -0.084 1.567  -0.084 1.496  -0.084 1.426  -0.084 1.355  -0.084 1.285  -0.084 1.214  -0.084 1.143  -0.084 1.073  -0.084 1.002  -0.084 0.931  -0.084 0.861  -0.084 0.790  -0.084 0.719  -0.084 0.649  -0.084 0.578  -0.084 0.508  -0.084 0.437  -0.084 0.366  -0.084 0.296  -0.084 0.225  -0.084 0.154  -0.084 0.084  -0.078 0.015  -0.046 -0.048  -0.014 -0.112  0.017 -0.175  0.049 -0.238  0.069 -0.304  0.069 -0.374  0.069 -0.445  0.069 -0.516  0.069 -0.586  0.069 -0.657  0.069 -0.728  0.069 -0.798  0.069 -0.869  0.069 -0.940  0.069 -1.010  0.069 -1.081  0.069 -1.151  0.069 -1.222  0.069 -1.293  0.080 -1.359  0.130 -1.409  0.180 -1.459  0.222 -1.512  0.222 -1.583  0.222 -1.653
3#app#app14#app1458/e  -0.721 -0.098  -0.565 -0.098  -0.409 -0.098  -0.253 -0.098  -0.097 -0.098  0.048 -0.072  0.159 0.039  0.269 0.149  0.425 0.149  0.581 0.149  0.737 0.149  0.764 0.279  0.791 0.424  0.901 0.534  1.012 0.644  1.012 0.800  0.966 0.938  0.856 1.048  0.737 1.139  0.581 1.139  0.425 1.139  0.269 1.139  0.113 1.139  -0.024 1.094  -0.135 0.983  -0.226 0.865  -0.226 0.709  -0.317 0.644  -0.474 0.644  -0.474 0.488  -0.519 0.351  -0.630 0.241  -0.721 0.122  -0.721 -0.034  -0.721 -0.190  -0.721 -0.346  -0.721 -0.502  -0.675 -0.639  -0.565 -0.750  -0.474 -0.868  -0.474 -1.024  -0.382 -1.089  -0.226 -1.089  -0.226 -1.245  -0.161 -1.336  -0.005 -1.336  0.113 -1.428  0.223 -1.538  0.361 -1.584  0.517 -1.584
3#app#app14#app1458/d  -0.175 -0.447  -0.300 -0.572  -0.450 -0.634  -0.626 -0.634  -0.782 -0.681  -0.906 -0.805  -0.921 -0.975  -0.819 -1.109  -0.678 -1.193  -0.502 -1.193  -0.337 -1.168  -0.212 -1.044  -0.052 -1.007  0.011 -0.894  0.084 -0.748  0.198 -0.619  0.200 -0.444  0.325 -0.320  0.384 -0.169  0.384 0.007  0.384 0.183  0.384 0.359  0.384 0.535  0.384 0.710  0.364 0.878  0.240 1.002  0.198 1.161  0.123 1.306  0.011 1.435  0.006 1.609  -0.119 1.733  -0.175 1.694  -0.175 1.518  -0.175 1.342  -0.175 1.167  -0.175 0.991  -0.156 0.819  -0.077 0.662  0.001 0.505  0.011 0.331  0.075 0.171  0.154 0.013  0.198 -0.152  0.235 -0.317  0.332 -0.463  0.430 -0.609  0.528 -0.756  0.570 -0.918  0.633 -1.069  0.757 -1.193
3#app#app14#app1458/w  -1.215 1.132  -1.215 1.007  -1.215 0.883  -1.215 0.759  -1.215 0.635  -1.215 0.510  -1.215 0.386  -1.215 0.262  -1.178 0.153  -1.091 0.065  -1.027 -0.033  -1.027 -0.157  -0.960 -0.254  -0.872 -0.342  -0.762 -0.376  -0.641 -0.367  -0.554 -0.279  -0.466 -0.191  -0.378 -0.104  -0.290 -0.016  -0.202 0.072  -0.114 0.160  -0.085 0.272  -0.085 0.360  -0.085 0.236  -0.029 0.134  0.058 0.046  0.104 -0.059  0.104 -0.183  0.224 -0.187  0.292 -0.243  0.292 -0.368  0.408 -0.376  0.480 -0.428  0.480 -0.552  0.593 -0.564  0.717 -0.564  0.841 -0.564  0.857 -0.456  0.901 -0.376  1.026 -0.376  1.119 -0.302  1.207 -0.214  1.234 -0.101  1.256 0.001  1.380 0.001  1.422 0.083  1.435 0.202  1.523 0.290  1.611 0.378
3#app#app14#app1458/i  -0.264 1.484  -0.191 1.484  -0.119 1.484  -0.054 1.476  -0.054 1.404  -0.054 1.332  -0.044 1.264  0.007 1.213  0.058 1.162  0.109 1.111  0.154 1.057  0.144 0.986  0.134 0.914  0.124 0.843  0.114 0.771  0.103 0.700  0.093 0.628  0.083 0.557  0.073 0.485  0.062 0.414  0.052 0.342  0.042 0.271  0.032 0.199  0.022 0.127  0.011 0.056  0.001 -0.016  -0.009 -0.087  -0.019 -0.159  -0.030 -0.230  -0.040 -0.302  -0.050 -0.373  -0.054 -0.445  -0.054 -0.518  -0.054 -0.590  -0.054 -0.662  -0.054 -0.734  -0.054 -0.807  -0.054 -0.879  -0.054 -0.951  -0.054 -1.023  -0.054 -1.096  -0.054 -1.168  -0.054 -1.240  -0.054 -1.312  -0.054 -1.385  -0.049 -1.455  0.002 -1.506  0.053 -1.557  0.104 -1.608  0.155 -1.659
3#app#app14#app1458/z  -0.076 0.694  -0.076 0.803  -0.076 0.911  -0.002 0.946  0.106 0.946  0.176 0.984  0.176 1.093  0.179 1.198  0.287 1.198  0.396 1.198  0.504 1.198  0.612 1.198  0.680 1.158  0.680 1.050  0.677 0.943  0.600 0.866  0.523 0.790  0.447 0.713  0.370 0.636  0.294 0.560  0.217 0.483  0.140 0.406  0.064 0.330  -0.013 0.253  -0.089 0.177  -0.166 0.100  -0.243 0.023  -0.319 -0.053  -0.328 -0.158  -0.328 -0.266  -0.371 -0.357  -0.448 -0.433  -0.524 -0.510  -0.579 -0.595  -0.579 -0.704  -0.579 -0.812  -0.579 -0.921  -0.579 -1.029  -0.512 -1.069  -0.403 -1.069  -0.328 -1.102  -0.328 -1.210  -0.328 -1.319  -0.222 -1.321  -0.113 -1.321  -0.005 -1.321  0.103 -1.321  0.212 -1.321  0.320 -1.321  0.428 -1.321
3#app#app14#app1458/a  0.175 0.954  0.035 0.954  -0.104 0.954  -0.243 0.954  -0.382 0.954  -0.522 0.954  -0.657 0.950  -0.657 0.811  -0.657 0.672  -0.663 0.539  -0.802 0.539  -0.942 0.539  -1.073 0.530  -1.073 0.391  -1.073 0.252  -1.073 0.113  -1.073 -0.027  -1.073 -0.166  -1.060 -0.293  -0.921 -0.293  -0.782 -0.293  -0.657 -0.307  -0.657 -0.447  -0.657 -0.586  -0.640 -0.709  -0.501 -0.709  -0.362 -0.709  -0.222 -0.709  -0.083 -0.709  0.056 -0.709  0.195 -0.709  0.335 -0.709  0.474 -0.709  0.607 -0.693  0.705 -0.594  0.804 -0.496  0.902 -0.397  1.001 -0.299  1.006 -0.162  1.006 -0.023  1.006 0.117  1.140 0.123  1.279 0.123  1.418 0.123  1.287 0.123  1.148 0.123  1.008 0.123  1.006 -0.014  1.006 -0.154  1.006 -0.293
3#app#app14#app1458/r  -0.880 -1.379  -0.795 -1.379  -0.710 -1.379  -0.625 -1.379  -0.566 -1.353  -0.566 -1.268  -0.566 -1.183  -0.566 -1.098  -0.566 -1.013  -0.566 -0.928  -0.566 -0.843  -0.566 -0.758  -0.566 -0.673  -0.566 -0.588  -0.566 -0.503  -0.554 -0.423  -0.493 -0.363  -0.433 -0.303  -0.373 -0.243  -0.313 -0.183  -0.253 -0.122  -0.251 -0.038  -0.251 0.047  -0.251 0.132  -0.235 0.210  -0.175 0.270  -0.115 0.330  -0.054 0.391  0.006 0.451  0.064 0.512  0.064 0.597  0.064 0.682  0.064 0.767  0.092 0.823  0.177 0.823  0.262 0.823  0.347 0.823  0.432 0.823  0.517 0.823  0.602 0.823  0.687 0.823  0.772 0.823  0.857 0.823  0.942 0.823  1.022 0.809  1.082 0.749  1.142 0.689  1.202 0.629  1.262 0.569  1.322 0.509
