3#app#app08#app0807/f  -0.031 0.077  0.143 0.077  0.265 0.129  0.385 0.245  0.480 0.380  0.491 0.550  0.541 0.716  0.541 0.890  0.506 1.049  0.469 1.212  0.385 1.357  0.277 1.486  0.191 1.625  0.096 1.742  0.021 1.613  0.021 1.438  0.021 1.264  -0.021 1.097  -0.031 0.924  -0.031 0.750  -0.036 0.577  -0.078 0.408  -0.083 0.234  -0.083 0.060  -0.083 -0.114  -0.083 -0.288  -0.083 -0.463  -0.111 -0.632  -0.135 -0.802  -0.135 -0.977  -0.135 -1.151  -0.135 -1.325  -0.135 -1.499  -0.135 -1.673  -0.083 -1.692  -0.026 -1.536  0.011 -1.410  -0.064 -1.253  -0.140 -1.096  -0.215 -0.939  -0.291 -0.782  -0.366 -0.625  -0.441 -0.468  -0.517 -0.311  -0.592 -0.154  -0.455 -0.131  -0.281 -0.131  -0.107 -0.131  0.067 -0.131  0.229 -0.183
3#app#app08#app0807/e  -0.758 0.242  -0.593 0.242  -0.467 0.202  -0.408 0.097  -0.266 0.041  -0.137 -0.049  0.028 -0.049  0.170 -0.104  0.298 -0.194  0.464 -0.194  0.629 -0.194  0.766 -0.125  0.899 -0.049  0.987 0.028  0.987 0.194  0.987 0.359  0.987 0.524  0.976 0.679  0.842 0.710  0.806 0.860  0.689 0.977  0.572 1.094  0.416 1.115  0.250 1.115  0.085 1.115  -0.066 1.080  -0.185 0.969  -0.342 0.949  -0.459 0.832  -0.576 0.715  -0.693 0.598  -0.758 0.460  -0.800 0.305  -0.874 0.157  -0.904 -0.002  -0.904 -0.167  -0.904 -0.332  -0.792 -0.451  -0.758 -0.603  -0.661 -0.728  -0.544 -0.845  -0.428 -0.961  -0.311 -1.078  -0.194 -1.195  -0.036 -1.213  0.113 -1.284  0.261 -1.359  0.377 -1.475  0.531 -1.504  0.696 -1.504
3#app#app08#app0807/w  -1.301 0.638  -1.401 0.538  -1.405 0.399  -1.405 0.258  -1.405 0.117  -1.405 -0.024  -1.350 -0.142  -1.301 -0.263  -1.224 -0.372  -1.125 -0.471  -0.997 -0.502  -0.856 -0.502  -0.715 -0.502  -0.574 -0.502  -0.445 -0.474  -0.345 -0.375  -0.245 -0.275  -0.146 -0.175  -0.058 -0.071  -0.058 0.070  0.033 0.120  0.046 0.248  -0.017 0.327  -0.058 0.227  -0.155 0.127  -0.162 -0.012  -0.162 -0.152  -0.089 -0.263  0.038 -0.295  0.067 -0.420  0.174 -0.502  0.315 -0.502  0.455 -0.502  0.596 -0.502  0.737 -0.502  0.874 -0.498  0.903 -0.370  1.003 -0.270  1.082 -0.162  1.129 -0.040  1.185 0.077  1.185 0.218  1.185 0.359  1.185 0.500  1.183 0.640  1.084 0.739  1.082 0.880  1.010 0.948  0.974 1.056  0.874 1.156
3#app#app08#app0807/q  0.337 0.600  0.410 0.680  0.410 0.832  0.345 0.957  0.289 1.086  0.219 1.183  0.097 1.256  -0.055 1.256  -0.204 1.240  -0.335 1.166  -0.464 1.110  -0.572 1.002  -0.680 0.895  -0.736 0.766  -0.755 0.621  -0.755 0.469  -0.755 0.317  -0.705 0.186  -0.597 0.078  -0.490 -0.030  -0.378 -0.128  -0.253 -0.194  -0.104 -0.201  0.026 -0.148  0.155 -0.092  0.192 0.045  0.216 0.187  0.265 0.319  0.265 0.472  0.265 0.624  0.265 0.570  0.265 0.418  0.265 0.265  0.265 0.113  0.265 -0.039  0.265 -0.191  0.248 -0.342  0.211 -0.489  0.192 -0.639  0.192 -0.791  0.192 -0.944  0.192 -1.096  0.192 -1.248  0.192 -1.400  0.192 -1.553  0.192 -1.705  0.192 -1.857  0.192 -2.009  0.192 -1.883  0.192 -1.731
3#app#app08#app0807/u  -1.073 1.330  -1.073 1.193  -1.073 1.055  -1.073 0.917  -1.073 0.780  -1.073 0.642  -1.073 0.505  -1.073 0.367  -1.073 0.230  -1.073 0.092  -1.049 -0.035  -0.952 -0.133  -0.938 -0.265  -0.852 -0.366  -0.804 -0.484  -0.732 -0.549  -0.616 -0.603  -0.519 -0.700  -0.422 -0.797  -0.293 -0.817  -0.155 -0.817  -0.133 -0.702  -0.014 -0.683  0.001 -0.561  0.090 -0.460  0.208 -0.415  0.270 -0.338  0.270 -0.201  0.328 -0.088  0.404 0.019  0.404 0.156  0.430 0.283  0.527 0.380  0.538 0.513  0.538 0.651  0.538 0.788  0.538 0.661  0.634 0.563  0.672 0.441  0.711 0.313  0.773 0.190  0.850 0.078  0.941 -0.022  0.950 -0.155  1.047 -0.253  1.144 -0.350  1.241 -0.447  1.339 -0.544  1.343 -0.680  1.477 -0.683
3#app#app08#app0807/i  -0.162 -0.094  -0.091 -0.165  -0.049 -0.249  -0.049 -0.349  -0.049 -0.450  -0.049 -0.551  -0.049 -0.652  -0.049 -0.753  -0.049 -0.853  -0.000 -0.934  0.064 -1.008  0.064 -1.109  0.064 -1.210  0.064 -1.311  0.064 -1.411  0.062 -1.390  0.057 -1.289  0.053 -1.188  0.049 -1.087  0.045 -0.987  0.041 -0.886  0.036 -0.785  0.032 -0.685  0.028 -0.584  0.024 -0.483  0.020 -0.382  0.015 -0.282  0.011 -0.181  0.007 -0.080  0.003 0.020  -0.001 0.121  -0.006 0.222  -0.010 0.323  -0.014 0.423  -0.018 0.524  -0.022 0.625  -0.027 0.726  -0.031 0.826  -0.035 0.927  -0.039 1.028  -0.043 1.128  -0.048 1.229  -0.049 1.330  -0.049 1.431  -0.049 1.531  -0.049 1.632  -0.037 1.728  0.035 1.799  0.106 1.871  0.177 1.942
3#app#app08#app0807/p  -0.654 1.016  -0.640 0.840  -0.569 0.687  -0.492 0.537  -0.488 0.356  -0.430 0.183  -0.330 0.037  -0.318 -0.142  -0.248 -0.308  -0.248 -0.490  -0.248 -0.672  -0.248 -0.854  -0.248 -1.036  -0.304 -1.205  -0.330 -1.382  -0.330 -1.564  -0.330 -1.746  -0.330 -1.720  -0.248 -1.572  -0.248 -1.389  -0.248 -1.207  -0.248 -1.025  -0.248 -0.843  -0.200 -0.672  -0.167 -0.498  -0.167 -0.316  -0.120 -0.141  -0.086 0.036  -0.080 0.216  -0.005 0.381  0.006 0.561  0.063 0.734  0.076 0.914  0.133 1.073  0.204 1.225  0.291 1.341  0.392 1.422  0.571 1.414  0.700 1.286  0.771 1.133  0.807 0.965  0.807 0.783  0.807 0.601  0.807 0.419  0.726 0.270  0.619 0.180  0.542 0.042  0.359 0.042  0.177 0.042  -0.005 0.042
3#app#app08#app0807/s  0.712 0.627  0.712 0.764  0.697 0.895  0.600 0.992  0.469 1.008  0.332 1.008  0.195 1.008  0.058 1.014  -0.072 1.057  -0.202 1.101  -0.334 1.135  -0.472 1.135  -0.559 1.085  -0.619 1.008  -0.686 0.938  -0.686 0.800  -0.622 0.689  -0.559 0.578  -0.501 0.499  -0.383 0.451  -0.286 0.354  -0.189 0.256  -0.056 0.245  0.042 0.152  0.156 0.078  0.279 0.017  0.387 -0.066  0.484 -0.163  0.581 -0.260  0.678 -0.357  0.776 -0.454  0.839 -0.565  0.839 -0.703  0.839 -0.840  0.760 -0.899  0.623 -0.899  0.486 -0.899  0.380 -0.976  0.264 -1.026  0.126 -1.026  -0.011 -1.026  -0.148 -1.026  -0.286 -1.026  -0.423 -1.026  -0.561 -1.026  -0.695 -1.018  -0.792 -0.921  -0.920 -0.899  -1.057 -0.899  -1.195 -0.899
3#app#app08#app0807/g  0.407 1.008  0.316 1.098  0.205 1.141  0.090 1.198  -0.037 1.202  -0.166 1.202  -0.294 1.202  -0.395 1.137  -0.497 1.074  -0.564 0.973  -0.564 0.845  -0.541 0.726  -0.499 0.615  -0.434 0.551  -0.387 0.443  -0.293 0.361  -0.164 0.361  -0.036 0.361  0.092 0.361  0.199 0.412  0.277 0.508  0.342 0.571  0.342 0.700  0.342 0.799  0.336 0.672  0.279 0.558  0.277 0.430  0.277 0.301  0.277 0.173  0.277 0.045  0.277 -0.084  0.277 -0.212  0.277 -0.340  0.277 -0.468  0.277 -0.597  0.262 -0.722  0.221 -0.844  0.213 -0.971  0.197 -1.095  0.148 -1.212  0.111 -1.332  0.083 -1.454  0.082 -1.581  -0.019 -1.645  -0.137 -1.619  -0.228 -1.528  -0.324 -1.451  -0.428 -1.393  -0.473 -1.283  -0.564 -1.192
3#app#app08#app0807/a  -0.111 1.278  -0.266 1.278  -0.377 1.169  -0.513 1.122  -0.643 1.059  -0.759 0.966  -0.908 0.950  -1.018 0.840  -1.049 0.696  -1.049 0.541  -1.049 0.385  -1.049 0.230  -1.049 0.074  -1.049 -0.082  -1.049 -0.237  -0.972 -0.361  -0.849 -0.441  -0.736 -0.483  -0.694 -0.597  -0.539 -0.597  -0.383 -0.597  -0.227 -0.597  -0.072 -0.597  0.073 -0.570  0.183 -0.460  0.293 -0.350  0.358 -0.221  0.358 -0.066  0.358 0.090  0.401 0.228  0.511 0.338  0.514 0.492  0.514 0.648  0.364 0.653  0.358 0.504  0.358 0.348  0.358 0.192  0.358 0.037  0.358 -0.119  0.462 -0.232  0.514 -0.365  0.595 -0.441  0.727 -0.497  0.837 -0.607  0.947 -0.717  1.057 -0.827  1.174 -0.927  1.314 -0.997  1.453 -1.066  1.609 -1.066
3#app#app08#app0807/l  0.152 1.690  0.152 1.618  0.152 1.547  0.152 1.475  0.152 1.403  0.152 1.332  0.152 1.260  0.130 1.198  0.079 1.147  0.034 1.094  0.034 1.022  0.034 0.951  0.034 0.879  0.034 0.808  0.034 0.736  0.034 0.664  0.034 0.593  0.034 0.521  0.034 0.449  0.034 0.378  0.034 0.306  0.034 0.235  0.034 0.163  0.034 0.091  0.034 0.020  0.034 -0.052  0.034 -0.124  0.032 -0.194  -0.018 -0.245  -0.069 -0.296  -0.083 -0.361  -0.083 -0.433  -0.083 -0.505  -0.083 -0.576  -0.083 -0.648  -0.083 -0.719  -0.083 -0.791  -0.083 -0.863  -0.083 -0.934  -0.083 -1.006  -0.083 -1.077  -0.083 -1.149  -0.083 -1.221  -0.083 -1.292  -0.083 -1.364  -0.083 -1.436  -0.083 -1.507  -0.083 -1.579  -0.130 -1.604  -0.201 -1.604
