1b#tos#f2#f2068065/E  -0.660 1.156  -0.554 1.057  -0.363 1.115  -0.161 1.148  0.030 1.205  0.223 1.251  0.415 1.304  0.619 1.304  0.532 1.262  0.337 1.204  0.141 1.146  -0.055 1.088  -0.250 1.030  -0.446 0.972  -0.642 0.914  -0.660 0.724  -0.660 0.520  -0.660 0.316  -0.572 0.141  -0.561 -0.060  -0.522 -0.255  -0.511 -0.457  -0.511 -0.661  -0.511 -0.865  -0.462 -1.057  -0.350 -0.975  -0.321 -0.773  -0.292 -0.571  -0.263 -0.369  -0.234 -0.167  -0.198 -0.080  0.006 -0.080  0.190 -0.030  0.394 -0.030  0.491 -0.092  0.388 -0.268  0.285 -0.444  0.182 -0.621  0.079 -0.797  -0.024 -0.973  -0.126 -1.150  -0.039 -1.216  0.163 -1.190  0.347 -1.116  0.515 -1.000  0.697 -0.909  0.872 -0.805  1.051 -0.707  1.234 -0.616  1.416 -0.524
1b#tos#f2#f2068065/G  0.627 1.175  0.529 1.286  0.449 1.435  0.262 1.441  0.158 1.322  -0.018 1.254  -0.195 1.185  -0.371 1.116  -0.530 1.028  -0.629 0.869  -0.757 0.731  -0.854 0.568  -0.952 0.406  -1.027 0.233  -1.108 0.061  -1.193 -0.108  -1.197 -0.296  -1.197 -0.486  -1.112 -0.629  -0.974 -0.758  -0.796 -0.801  -0.606 -0.801  -0.417 -0.801  -0.227 -0.801  -0.044 -0.775  0.129 -0.701  0.293 -0.607  0.465 -0.535  0.633 -0.475  0.779 -0.397  0.654 -0.287  0.482 -0.208  0.310 -0.128  0.138 -0.049  -0.034 0.030  -0.206 0.110  -0.062 0.149  0.128 0.149  0.317 0.149  0.497 0.171  0.680 0.187  0.817 0.135  0.817 -0.055  0.817 -0.244  0.781 -0.418  0.741 -0.591  0.741 -0.780  0.741 -0.970  0.741 -1.159  0.779 -1.333
1b#tos#f2#f2068065/I  0.286 1.195  0.296 1.141  0.138 1.036  -0.028 0.947  -0.078 0.788  -0.083 0.604  -0.123 0.455  -0.123 0.266  -0.123 0.077  -0.123 -0.113  -0.123 -0.302  -0.145 -0.486  -0.169 -0.670  -0.185 -0.856  -0.214 -1.041  -0.318 -1.126  -0.505 -1.135  -0.686 -1.172  -0.875 -1.172  -0.730 -1.172  -0.540 -1.172  -0.355 -1.136  -0.166 -1.126  0.020 -1.102  0.207 -1.081  0.395 -1.075  0.559 -0.990  0.742 -0.983  0.801 -0.894  0.700 -0.734  0.599 -0.574  0.498 -0.414  0.397 -0.254  0.296 -0.093  0.196 0.067  0.095 0.227  -0.006 0.387  -0.107 0.547  -0.208 0.707  -0.309 0.867  -0.410 1.027  -0.532 1.150  -0.527 1.150  -0.338 1.150  -0.148 1.150  0.041 1.150  0.219 1.195  0.409 1.195  0.598 1.195  0.787 1.195
1b#tos#f2#f2068065/K  -0.511 1.466  -0.601 1.308  -0.601 1.060  -0.601 0.812  -0.645 0.570  -0.691 0.326  -0.691 0.078  -0.691 -0.170  -0.691 -0.418  -0.696 -0.665  -0.737 -0.907  -0.737 -1.155  -0.691 -1.392  -0.603 -1.313  -0.477 -1.099  -0.351 -0.885  -0.226 -0.671  -0.100 -0.457  0.025 -0.244  0.151 -0.030  0.277 0.184  0.402 0.398  0.528 0.612  0.653 0.826  0.779 1.039  0.905 1.253  0.875 1.365  0.716 1.196  0.564 1.008  0.422 0.880  0.217 0.750  0.066 0.555  -0.111 0.381  -0.323 0.254  -0.423 0.067  -0.511 -0.126  -0.601 -0.319  -0.426 -0.189  -0.237 -0.029  -0.047 0.131  -0.080 0.068  0.030 -0.104  0.219 -0.238  0.385 -0.422  0.574 -0.563  0.781 -0.687  0.913 -0.881  1.067 -1.058  1.217 -1.194  1.337 -1.374
1b#tos#f2#f2068065/L  -0.305 1.792  -0.305 1.699  -0.305 1.605  -0.305 1.511  -0.305 1.418  -0.305 1.324  -0.320 1.232  -0.338 1.140  -0.346 1.047  -0.346 0.953  -0.346 0.860  -0.346 0.766  -0.359 0.674  -0.377 0.582  -0.386 0.489  -0.386 0.395  -0.386 0.302  -0.387 0.208  -0.410 0.117  -0.427 0.026  -0.427 -0.068  -0.427 -0.162  -0.427 -0.255  -0.427 -0.349  -0.427 -0.443  -0.427 -0.536  -0.427 -0.630  -0.427 -0.724  -0.465 -0.798  -0.371 -0.798  -0.278 -0.798  -0.184 -0.798  -0.118 -0.732  -0.030 -0.718  0.063 -0.718  0.151 -0.692  0.241 -0.677  0.335 -0.677  0.429 -0.677  0.522 -0.677  0.616 -0.677  0.710 -0.677  0.803 -0.677  0.897 -0.677  0.986 -0.651  1.076 -0.632  1.155 -0.596  1.248 -0.596  1.302 -0.556  1.314 -0.475
1b#tos#f2#f2068065/O  -0.358 0.974  -0.454 0.878  -0.550 0.781  -0.647 0.685  -0.674 0.560  -0.744 0.452  -0.764 0.325  -0.812 0.200  -0.854 0.073  -0.854 -0.063  -0.854 -0.199  -0.854 -0.336  -0.854 -0.472  -0.854 -0.608  -0.833 -0.739  -0.764 -0.851  -0.718 -0.968  -0.608 -1.046  -0.520 -1.103  -0.383 -1.103  -0.247 -1.103  -0.111 -1.103  0.025 -1.103  0.106 -1.013  0.196 -0.927  0.298 -0.843  0.399 -0.753  0.516 -0.685  0.625 -0.603  0.688 -0.496  0.726 -0.366  0.801 -0.261  0.840 -0.155  0.861 -0.040  0.861 0.097  0.944 0.199  0.952 0.332  0.952 0.468  0.919 0.584  0.842 0.677  0.726 0.712  0.716 0.838  0.596 0.878  0.466 0.901  0.344 0.962  0.230 1.019  0.112 1.064  -0.013 1.109  -0.150 1.109  -0.267 1.064
1b#tos#f2#f2068065/P  -0.446 0.827  -0.606 0.827  -0.625 0.911  -0.467 0.922  -0.312 0.958  -0.155 0.972  -0.002 1.002  0.159 1.002  0.319 1.002  0.479 1.002  0.640 1.002  0.796 0.966  0.930 0.898  1.035 0.777  1.134 0.678  1.134 0.517  1.134 0.357  1.090 0.240  0.991 0.136  0.908 0.012  0.772 -0.073  0.624 -0.133  0.502 -0.232  0.350 -0.283  0.213 -0.358  0.074 -0.409  -0.072 -0.446  -0.232 -0.446  -0.392 -0.446  -0.440 -0.339  -0.432 -0.179  -0.424 -0.019  -0.415 0.141  -0.407 0.301  -0.476 0.388  -0.534 0.285  -0.534 0.125  -0.534 -0.036  -0.534 -0.196  -0.534 -0.357  -0.534 -0.517  -0.534 -0.677  -0.503 -0.834  -0.490 -0.993  -0.474 -1.151  -0.446 -1.307  -0.446 -1.467  -0.446 -1.627  -0.435 -1.785  -0.402 -1.938
1b#tos#f2#f2068065/Q  -0.099 -0.429  -0.281 -0.529  -0.470 -0.593  -0.685 -0.593  -0.883 -0.538  -0.917 -0.330  -0.917 -0.115  -0.917 0.101  -0.883 0.313  -0.795 0.509  -0.742 0.718  -0.625 0.867  -0.542 1.049  -0.414 1.215  -0.294 1.365  -0.087 1.410  0.129 1.410  0.344 1.410  0.558 1.406  0.660 1.218  0.779 1.044  0.841 0.838  0.882 0.632  0.882 0.417  0.882 0.201  0.780 0.022  0.687 -0.169  0.579 -0.344  0.467 -0.515  0.326 -0.664  0.159 -0.743  0.002 -0.881  -0.190 -0.920  -0.405 -0.920  -0.587 -0.838  -0.711 -0.715  -0.835 -0.592  -0.840 -0.429  -0.674 -0.309  -0.497 -0.207  -0.289 -0.150  -0.074 -0.143  0.131 -0.168  0.300 -0.300  0.507 -0.345  0.679 -0.471  0.835 -0.580  0.992 -0.715  1.045 -0.901  1.209 -1.001
1b#tos#f2#f2068065/R  -0.608 0.921  -0.581 1.088  -0.392 1.098  -0.261 1.227  -0.070 1.256  0.124 1.256  0.319 1.256  0.513 1.256  0.708 1.256  0.858 1.211  0.924 1.046  0.941 0.869  0.924 0.678  0.823 0.513  0.687 0.374  0.550 0.236  0.407 0.104  0.256 -0.016  0.105 -0.103  -0.022 -0.201  -0.208 -0.210  -0.340 -0.101  -0.478 0.036  -0.577 0.199  -0.608 0.389  -0.650 0.541  -0.650 0.519  -0.608 0.334  -0.567 0.150  -0.567 -0.045  -0.567 -0.239  -0.567 -0.434  -0.567 -0.628  -0.525 -0.813  -0.525 -1.007  -0.504 -1.193  -0.483 -1.379  -0.436 -1.283  -0.374 -1.099  -0.313 -0.914  -0.251 -0.730  -0.190 -0.545  0.005 -0.545  0.154 -0.596  0.308 -0.710  0.460 -0.828  0.637 -0.887  0.768 -1.015  0.952 -1.074  1.067 -1.215
1b#tos#f2#f2068065/S  0.722 0.700  0.778 0.778  0.913 0.778  0.919 0.908  0.850 0.975  0.764 1.054  0.677 1.133  0.543 1.138  0.411 1.171  0.276 1.172  0.141 1.172  0.006 1.172  -0.079 1.087  -0.190 1.015  -0.291 0.960  -0.303 0.827  -0.343 0.731  -0.343 0.596  -0.323 0.463  -0.265 0.346  -0.174 0.291  -0.148 0.159  -0.025 0.118  0.081 0.040  0.158 -0.067  0.272 -0.140  0.379 -0.219  0.406 -0.343  0.479 -0.431  0.561 -0.517  0.564 -0.652  0.551 -0.784  0.465 -0.877  0.361 -0.938  0.274 -1.035  0.161 -1.098  0.029 -1.113  -0.106 -1.113  -0.242 -1.113  -0.377 -1.113  -0.463 -1.035  -0.593 -1.021  -0.697 -0.936  -0.816 -0.904  -0.844 -0.798  -0.894 -0.713  -0.951 -0.612  -1.051 -0.523  -1.091 -0.405  -1.131 -0.286
1b#tos#f2#f2068065/U  -0.441 1.369  -0.536 1.311  -0.551 1.198  -0.582 1.086  -0.588 0.968  -0.653 0.870  -0.662 0.753  -0.677 0.638  -0.699 0.523  -0.699 0.404  -0.699 0.285  -0.699 0.165  -0.699 0.046  -0.699 -0.073  -0.699 -0.193  -0.699 -0.312  -0.699 -0.431  -0.665 -0.542  -0.660 -0.660  -0.588 -0.750  -0.588 -0.869  -0.525 -0.954  -0.443 -0.990  -0.397 -1.064  -0.278 -1.064  -0.158 -1.064  -0.041 -1.054  0.054 -0.996  0.144 -0.931  0.233 -0.859  0.313 -0.779  0.407 -0.718  0.454 -0.612  0.534 -0.524  0.603 -0.426  0.665 -0.333  0.699 -0.222  0.705 -0.105  0.776 -0.029  0.823 0.076  0.850 0.187  0.850 0.306  0.863 0.417  0.923 0.499  0.923 0.619  0.923 0.738  0.923 0.857  0.923 0.977  0.882 1.079  0.850 1.185
