1d#tos#f1#f1012064/$  0.513 0.675  0.513 0.857  0.314 0.937  0.057 0.937  -0.192 0.903  -0.410 0.863  -0.512 0.687  -0.535 0.445  -0.534 0.189  -0.339 0.077  -0.137 -0.035  0.026 -0.162  0.235 -0.244  0.444 -0.324  0.625 -0.453  0.700 -0.635  0.737 -0.854  0.634 -1.008  0.469 -1.125  0.257 -1.267  0.011 -1.334  -0.236 -1.338  -0.428 -1.243  -0.537 -1.043  -0.609 -0.817  -0.545 -0.568  -0.481 -0.319  -0.417 -0.071  -0.353 0.178  -0.289 0.427  -0.225 0.676  -0.161 0.924  -0.097 1.173  -0.033 1.422  0.031 1.671  -0.049 1.756  -0.049 1.499  -0.027 1.246  0.027 1.007  0.064 0.754  0.101 0.503  0.124 0.249  0.139 -0.006  0.139 -0.263  0.139 -0.520  0.139 -0.776  0.173 -1.030  0.176 -1.286  0.191 -1.541  0.213 -1.794
1d#tos#f1#f1012064/&  0.754 -0.761  0.582 -0.829  0.406 -0.795  0.278 -0.693  0.124 -0.607  0.003 -0.487  -0.164 -0.398  -0.266 -0.230  -0.435 -0.150  -0.544 0.027  -0.640 0.177  -0.699 0.369  -0.742 0.570  -0.776 0.771  -0.752 0.977  -0.708 1.182  -0.585 1.327  -0.483 1.490  -0.286 1.551  -0.076 1.551  0.134 1.551  0.329 1.500  0.448 1.347  0.516 1.205  0.516 0.995  0.448 0.806  0.414 0.601  0.325 0.429  0.170 0.314  0.053 0.142  -0.092 -0.009  -0.184 -0.170  -0.266 -0.306  -0.353 -0.440  -0.402 -0.636  -0.470 -0.818  -0.455 -0.965  -0.415 -1.135  -0.273 -1.223  -0.140 -1.305  0.070 -1.305  0.246 -1.271  0.343 -1.108  0.414 -0.967  0.516 -0.859  0.519 -0.650  0.606 -0.468  0.618 -0.263  0.686 -0.121  0.686 0.089
1d#tos#f1#f1012064/'  0.782 1.321  0.782 1.237  0.782 1.154  0.782 1.070  0.782 0.986  0.729 0.955  0.645 0.955  0.562 0.955  0.478 0.955  0.394 0.955  0.310 0.955  0.227 0.955  0.143 0.955  0.059 0.955  0.049 0.881  0.049 0.797  0.049 0.714  0.049 0.630  0.049 0.546  0.049 0.462  0.049 0.379  0.049 0.295  0.038 0.223  -0.046 0.223  -0.130 0.223  -0.190 0.166  -0.249 0.107  -0.308 0.048  -0.317 -0.032  -0.317 -0.116  -0.317 -0.200  -0.317 -0.284  -0.317 -0.367  -0.317 -0.451  -0.317 -0.535  -0.317 -0.619  -0.317 -0.702  -0.317 -0.786  -0.317 -0.870  -0.317 -0.954  -0.317 -1.037  -0.317 -1.121  -0.317 -1.205  -0.317 -1.289  -0.317 -1.372  -0.317 -1.456  -0.317 -1.540  -0.317 -1.624  -0.317 -1.707  -0.317 -1.791
1d#tos#f1#f1012064/(  0.772 1.543  0.706 1.604  0.640 1.666  0.513 1.666  0.388 1.658  0.275 1.599  0.220 1.495  0.220 1.368  0.172 1.266  0.066 1.196  0.007 1.089  -0.036 0.970  -0.093 0.856  -0.148 0.742  -0.148 0.615  -0.181 0.496  -0.210 0.375  -0.210 0.248  -0.210 0.121  -0.210 -0.006  -0.210 -0.133  -0.210 -0.260  -0.210 -0.388  -0.145 -0.489  -0.105 -0.610  -0.065 -0.730  -0.026 -0.846  -0.075 -0.729  -0.124 -0.612  -0.173 -0.494  -0.222 -0.377  -0.271 -0.260  -0.320 -0.142  -0.399 -0.180  -0.406 -0.235  -0.393 -0.350  -0.332 -0.452  -0.332 -0.579  -0.271 -0.680  -0.195 -0.740  -0.148 -0.848  -0.083 -0.910  -0.018 -0.975  0.096 -1.032  0.161 -1.096  0.220 -1.199  0.281 -1.264  0.395 -1.278  0.461 -1.339  0.588 -1.339
1d#tos#f1#f1012064/)  -0.558 1.545  -0.558 1.463  -0.512 1.426  -0.491 1.362  -0.422 1.316  -0.354 1.270  -0.320 1.206  -0.274 1.143  -0.200 1.126  -0.174 1.047  -0.148 0.969  -0.079 0.950  -0.022 0.924  -0.007 0.845  0.019 0.766  0.063 0.713  0.097 0.664  0.097 0.582  0.121 0.509  0.156 0.442  0.181 0.365  0.218 0.291  0.255 0.218  0.275 0.140  0.275 0.058  0.301 -0.020  0.327 -0.099  0.335 -0.180  0.335 -0.262  0.335 -0.345  0.335 -0.427  0.335 -0.509  0.335 -0.592  0.265 -0.631  0.216 -0.683  0.216 -0.765  0.216 -0.848  0.179 -0.894  0.097 -0.894  0.071 -0.972  0.044 -1.050  -0.005 -1.114  -0.063 -1.172  -0.082 -1.247  -0.101 -1.310  -0.171 -1.340  -0.229 -1.398  -0.287 -1.456  -0.320 -1.525  -0.320 -1.608
1d#tos#f1#f1012064/,  1.187 0.822  1.107 0.822  1.028 0.822  0.948 0.822  0.868 0.822  0.816 0.849  0.816 0.929  0.815 1.007  0.735 1.007  0.655 1.007  0.592 0.969  0.535 0.912  0.479 0.856  0.417 0.808  0.346 0.772  0.274 0.737  0.203 0.701  0.132 0.665  0.067 0.623  0.032 0.552  -0.004 0.480  -0.040 0.409  -0.075 0.338  -0.111 0.267  -0.136 0.191  -0.161 0.115  -0.187 0.040  -0.212 -0.036  -0.237 -0.111  -0.262 -0.187  -0.287 -0.262  -0.297 -0.341  -0.297 -0.420  -0.297 -0.500  -0.297 -0.580  -0.297 -0.659  -0.297 -0.739  -0.297 -0.819  -0.338 -0.878  -0.401 -0.926  -0.465 -0.974  -0.529 -1.021  -0.593 -1.069  -0.656 -1.117  -0.720 -1.165  -0.784 -1.213  -0.848 -1.260  -0.911 -1.308  -0.975 -1.356  -1.039 -1.404
1d#tos#f1#f1012064/.  1.054 1.018  0.969 1.018  0.885 1.018  0.800 1.018  0.715 1.018  0.631 1.018  0.546 1.018  0.462 1.018  0.377 1.018  0.293 1.018  0.208 1.018  0.123 1.018  0.039 1.018  -0.046 1.018  -0.130 1.018  -0.130 0.934  -0.130 0.849  -0.130 0.765  -0.130 0.680  -0.130 0.595  -0.130 0.511  -0.130 0.426  -0.130 0.342  -0.130 0.257  -0.130 0.173  -0.130 0.088  -0.130 0.003  -0.130 -0.081  -0.130 -0.166  -0.130 -0.250  -0.130 -0.335  -0.130 -0.419  -0.130 -0.504  -0.130 -0.589  -0.130 -0.673  -0.130 -0.758  -0.130 -0.842  -0.130 -0.927  -0.130 -1.012  -0.130 -1.096  -0.130 -1.181  -0.130 -1.265  -0.130 -1.350  -0.215 -1.350  -0.299 -1.350  -0.384 -1.350  -0.469 -1.350  -0.553 -1.350  -0.638 -1.350  -0.722 -1.350
1d#tos#f1#f1012064/;  -0.403 1.028  -0.503 1.028  -0.603 1.028  -0.626 0.951  -0.626 0.851  -0.626 0.751  -0.626 0.662  -0.626 0.762  -0.626 0.862  -0.626 0.963  -0.626 1.063  -0.566 1.103  -0.552 1.017  -0.552 0.917  -0.608 0.852  -0.697 0.807  -0.635 0.734  -0.568 0.660  -0.500 0.587  -0.432 0.513  -0.365 0.439  -0.297 0.365  -0.229 0.291  -0.162 0.218  -0.094 0.144  -0.026 0.070  0.041 -0.004  0.109 -0.078  0.176 -0.151  0.244 -0.225  0.312 -0.299  0.379 -0.373  0.447 -0.446  0.515 -0.520  0.582 -0.594  0.650 -0.668  0.717 -0.742  0.785 -0.815  0.853 -0.889  0.920 -0.963  0.857 -0.979  0.757 -0.979  0.712 -1.034  0.706 -1.128  0.606 -1.128  0.564 -1.186  0.564 -1.286  0.530 -1.362  0.435 -1.394  0.340 -1.425
1d#tos#f1#f1012064/<  0.856 1.401  0.793 1.364  0.765 1.279  0.696 1.249  0.608 1.234  0.523 1.205  0.454 1.151  0.390 1.087  0.326 1.024  0.262 0.960  0.186 0.914  0.114 0.862  0.050 0.798  -0.014 0.735  -0.077 0.671  -0.151 0.622  -0.235 0.589  -0.318 0.556  -0.382 0.500  -0.427 0.423  -0.490 0.359  -0.561 0.304  -0.636 0.254  -0.668 0.181  -0.668 0.091  -0.632 0.009  -0.592 -0.071  -0.537 -0.137  -0.464 -0.183  -0.464 -0.273  -0.425 -0.353  -0.368 -0.422  -0.305 -0.486  -0.261 -0.558  -0.245 -0.636  -0.159 -0.665  -0.109 -0.718  -0.109 -0.808  -0.070 -0.885  -0.016 -0.957  0.038 -1.029  0.102 -1.092  0.183 -1.132  0.263 -1.172  0.321 -1.236  0.377 -1.291  0.447 -1.339  0.527 -1.380  0.551 -1.455  0.551 -1.545
1d#tos#f1#f1012064/=  -0.499 1.058  -0.570 0.927  -0.731 0.867  -0.906 0.867  -1.080 0.867  -1.169 0.780  -1.169 0.605  -1.020 0.580  -0.845 0.580  -0.670 0.580  -0.506 0.624  -0.343 0.675  -0.168 0.675  0.006 0.675  0.181 0.675  0.356 0.675  0.531 0.675  0.706 0.675  0.880 0.675  1.048 0.658  1.190 0.580  1.102 0.502  0.955 0.407  0.808 0.312  0.662 0.217  0.515 0.122  0.368 0.027  0.221 -0.068  0.075 -0.163  -0.072 -0.258  -0.219 -0.353  -0.366 -0.448  -0.404 -0.602  -0.419 -0.768  -0.569 -0.858  -0.718 -0.948  -0.868 -1.038  -0.723 -1.046  -0.563 -0.982  -0.396 -0.950  -0.221 -0.950  -0.054 -0.919  0.105 -0.847  0.274 -0.805  0.444 -0.762  0.618 -0.759  0.793 -0.759  0.968 -0.759  1.143 -0.759  1.318 -0.759
1d#tos#f1#f1012064/?  0.222 0.109  0.126 0.049  0.013 0.000  -0.110 -0.001  -0.248 0.025  -0.386 0.052  -0.480 0.125  -0.532 0.234  -0.644 0.305  -0.762 0.360  -0.782 0.481  -0.782 0.622  -0.782 0.764  -0.740 0.872  -0.609 0.914  -0.546 1.041  -0.435 1.119  -0.302 1.154  -0.161 1.154  -0.019 1.154  0.122 1.154  0.251 1.125  0.348 1.024  0.440 0.969  0.504 0.842  0.557 0.714  0.616 0.618  0.640 0.483  0.599 0.351  0.540 0.247  0.473 0.138  0.423 0.017  0.348 -0.093  0.264 -0.150  0.235 -0.285  0.151 -0.351  0.094 -0.438  0.013 -0.545  -0.029 -0.645  -0.029 -0.786  0.013 -0.910  0.049 -1.045  0.097 -1.144  0.109 -1.284  0.141 -1.421  0.172 -1.559  0.204 -1.696  0.213 -1.834  0.180 -1.967  0.222 -2.066
