2#tos#f3#f3007066/$  0.741 0.545  0.806 0.485  0.760 0.734  0.592 0.856  0.347 0.902  0.097 0.842  -0.137 0.740  -0.348 0.591  -0.466 0.405  -0.546 0.167  -0.450 -0.043  -0.213 -0.136  0.034 -0.222  0.290 -0.242  0.488 -0.337  0.639 -0.514  0.676 -0.772  0.676 -1.037  0.548 -1.174  0.297 -1.206  0.033 -1.206  -0.222 -1.183  -0.418 -1.022  -0.595 -0.876  -0.751 -0.724  -0.743 -0.539  -0.644 -0.293  -0.545 -0.048  -0.446 0.197  -0.348 0.443  -0.249 0.688  -0.150 0.934  -0.051 1.179  0.048 1.425  0.146 1.670  0.073 1.745  0.060 1.494  0.060 1.229  0.040 0.967  0.028 0.703  0.028 0.439  0.028 0.174  0.028 -0.090  0.028 -0.355  0.028 -0.620  0.028 -0.884  -0.048 -1.131  -0.070 -1.390  -0.070 -1.655  -0.135 -1.855
2#tos#f3#f3007066/&  0.669 0.668  0.476 0.528  0.728 0.500  0.979 0.472  0.950 0.425  0.734 0.329  0.529 0.232  0.430 0.017  0.361 -0.229  0.193 -0.319  0.095 -0.524  -0.050 -0.721  -0.255 -0.846  -0.417 -0.959  -0.676 -0.959  -0.934 -0.959  -1.193 -0.959  -1.420 -0.903  -1.518 -0.710  -1.414 -0.497  -1.202 -0.371  -0.979 -0.244  -0.758 -0.114  -0.557 0.033  -0.316 0.119  -0.136 0.279  0.052 0.428  0.189 0.609  0.337 0.791  0.361 1.046  0.277 1.258  0.161 1.426  -0.009 1.537  -0.181 1.437  -0.256 1.221  -0.325 0.981  -0.340 0.724  -0.277 0.480  -0.228 0.228  -0.110 0.017  -0.048 -0.227  0.103 -0.423  0.246 -0.586  0.471 -0.622  0.723 -0.650  0.906 -0.542  0.950 -0.480  0.894 -0.722  0.894 -0.981  0.894 -1.239
2#tos#f3#f3007066/'  0.703 1.476  0.703 1.401  0.703 1.326  0.703 1.251  0.703 1.176  0.703 1.100  0.689 1.033  0.622 1.000  0.555 0.966  0.488 0.933  0.421 0.899  0.346 0.895  0.271 0.895  0.253 0.826  0.238 0.752  0.223 0.678  0.208 0.605  0.194 0.531  0.179 0.457  0.164 0.383  0.149 0.310  0.135 0.236  0.117 0.164  0.064 0.111  0.011 0.057  -0.042 0.004  -0.095 -0.049  -0.149 -0.102  -0.170 -0.168  -0.170 -0.243  -0.170 -0.319  -0.170 -0.394  -0.170 -0.469  -0.170 -0.544  -0.206 -0.607  -0.251 -0.667  -0.296 -0.728  -0.341 -0.788  -0.386 -0.848  -0.431 -0.908  -0.476 -0.968  -0.521 -1.028  -0.566 -1.088  -0.609 -1.150  -0.633 -1.221  -0.657 -1.292  -0.680 -1.364  -0.704 -1.435  -0.728 -1.506  -0.752 -1.578
2#tos#f3#f3007066/  -0.342 0.347  -0.342 0.249  -0.400 0.174  -0.476 0.117  -0.575 0.117  -0.673 0.117  -0.772 0.117  -0.841 0.060  -0.896 -0.022  -0.951 -0.104  -1.006 -0.187  -1.082 -0.230  -1.181 -0.230  -1.280 -0.230  -1.379 -0.230  -1.285 -0.230  -1.186 -0.230  -1.087 -0.230  -0.988 -0.230  -0.889 -0.230  -0.790 -0.230  -0.691 -0.230  -0.592 -0.230  -0.493 -0.230  -0.394 -0.230  -0.296 -0.230  -0.200 -0.216  -0.111 -0.172  -0.023 -0.128  0.073 -0.114  0.172 -0.114  0.271 -0.114  0.368 -0.106  0.456 -0.062  0.545 -0.017  0.633 0.027  0.722 0.071  0.810 0.115  0.904 0.147  0.998 0.178  1.092 0.210  1.186 0.238  1.283 0.257  1.381 0.276  1.478 0.296  1.575 0.315  1.672 0.335  1.769 0.347  1.868 0.347  1.967 0.347
2#tos#f3#f3007066/.  -0.145 1.691  -0.145 1.621  -0.145 1.551  -0.145 1.481  -0.145 1.411  -0.145 1.341  -0.145 1.271  -0.145 1.201  -0.145 1.131  -0.145 1.061  -0.145 0.991  -0.145 0.921  -0.145 0.851  -0.145 0.781  -0.145 0.711  -0.145 0.641  -0.145 0.571  -0.145 0.501  -0.145 0.431  -0.145 0.361  -0.145 0.291  -0.145 0.221  -0.145 0.151  -0.145 0.081  -0.142 0.012  -0.120 -0.054  -0.098 -0.121  -0.076 -0.187  -0.054 -0.254  -0.032 -0.320  -0.010 -0.386  0.013 -0.453  0.035 -0.519  0.057 -0.586  0.079 -0.652  0.101 -0.718  0.123 -0.785  0.145 -0.851  0.167 -0.917  0.190 -0.984  0.212 -1.050  0.234 -1.117  0.256 -1.183  0.278 -1.249  0.300 -1.316  0.322 -1.382  0.345 -1.448  0.367 -1.515  0.389 -1.581  0.411 -1.648
2#tos#f3#f3007066/  1.104 1.159  1.045 1.144  1.016 1.100  0.942 1.100  0.927 1.041  0.875 0.989  0.804 0.982  0.751 0.962  0.751 0.889  0.735 0.818  0.712 0.748  0.683 0.683  0.617 0.650  0.551 0.617  0.485 0.584  0.419 0.552  0.353 0.519  0.298 0.471  0.242 0.424  0.183 0.380  0.124 0.336  0.065 0.291  0.023 0.233  -0.010 0.168  -0.043 0.102  -0.076 0.036  -0.109 -0.030  -0.142 -0.096  -0.175 -0.162  -0.213 -0.224  -0.257 -0.283  -0.301 -0.342  -0.345 -0.401  -0.398 -0.451  -0.459 -0.492  -0.520 -0.532  -0.554 -0.592  -0.568 -0.664  -0.582 -0.736  -0.597 -0.809  -0.631 -0.870  -0.683 -0.922  -0.735 -0.974  -0.787 -1.026  -0.839 -1.078  -0.891 -1.130  -0.898 -1.201  -0.912 -1.269  -0.964 -1.321  -1.016 -1.373
2#tos#f3#f3007066/:  0.059 1.648  0.015 1.582  -0.028 1.517  -0.072 1.452  -0.115 1.386  -0.131 1.312  -0.131 1.234  -0.131 1.155  -0.128 1.078  -0.058 1.043  0.012 1.008  0.086 0.985  0.153 0.974  0.153 0.896  0.149 0.817  0.143 0.739  0.138 0.661  0.133 0.582  0.128 0.504  0.122 0.426  0.117 0.347  0.112 0.269  0.107 0.191  0.102 0.112  0.096 0.034  0.091 -0.044  0.086 -0.123  0.081 -0.201  0.075 -0.279  0.070 -0.358  0.065 -0.436  0.060 -0.514  0.059 -0.593  0.059 -0.671  0.049 -0.748  0.024 -0.823  -0.001 -0.897  -0.025 -0.972  -0.081 -1.003  -0.160 -1.003  -0.225 -1.016  -0.225 -1.095  -0.225 -1.173  -0.225 -1.252  -0.225 -1.330  -0.203 -1.397  -0.137 -1.440  -0.072 -1.484  -0.007 -1.527  0.059 -1.571
2#tos#f3#f3007066/;  -0.032 1.736  -0.088 1.681  -0.094 1.605  -0.094 1.526  -0.074 1.452  -0.039 1.382  -0.029 1.305  -0.024 1.227  -0.019 1.148  -0.015 1.070  -0.010 0.991  -0.005 0.913  -0.001 0.835  0.004 0.756  0.008 0.678  0.013 0.599  0.018 0.521  0.022 0.443  0.027 0.364  -0.000 0.298  -0.056 0.242  -0.094 0.179  -0.094 0.101  -0.094 0.022  -0.017 0.020  0.029 -0.012  0.079 -0.041  0.112 -0.105  0.136 -0.179  0.152 -0.255  0.152 -0.334  0.152 -0.412  0.152 -0.491  0.152 -0.569  0.152 -0.648  0.152 -0.726  0.131 -0.796  0.076 -0.852  0.029 -0.911  0.029 -0.990  0.029 -1.068  0.027 -1.146  -0.029 -1.201  -0.084 -1.257  -0.094 -1.332  -0.094 -1.410  -0.111 -1.485  -0.146 -1.555  -0.181 -1.625  -0.216 -1.695
2#tos#f3#f3007066/<  0.774 1.488  0.774 1.395  0.823 1.350  0.791 1.298  0.712 1.250  0.629 1.209  0.545 1.167  0.470 1.115  0.404 1.049  0.338 0.982  0.272 0.916  0.206 0.850  0.140 0.784  0.076 0.716  0.024 0.639  -0.028 0.561  -0.093 0.497  -0.170 0.445  -0.248 0.393  -0.316 0.329  -0.396 0.283  -0.471 0.234  -0.500 0.145  -0.530 0.056  -0.604 0.007  -0.673 -0.044  -0.714 -0.097  -0.741 -0.162  -0.720 -0.234  -0.640 -0.267  -0.585 -0.340  -0.543 -0.424  -0.464 -0.465  -0.376 -0.494  -0.309 -0.548  -0.267 -0.632  -0.235 -0.720  -0.206 -0.808  -0.146 -0.854  -0.052 -0.854  0.014 -0.920  0.080 -0.987  0.146 -1.053  0.212 -1.119  0.278 -1.185  0.344 -1.251  0.410 -1.317  0.476 -1.383  0.526 -1.460  0.568 -1.543
2#tos#f3#f3007066/@  0.293 -1.076  0.178 -1.212  0.120 -1.363  -0.087 -1.363  -0.295 -1.363  -0.489 -1.328  -0.663 -1.248  -0.798 -1.175  -0.834 -0.982  -0.899 -0.788  -0.970 -0.606  -0.970 -0.398  -0.959 -0.193  -0.913 0.004  -0.869 0.205  -0.741 0.363  -0.698 0.561  -0.629 0.731  -0.454 0.831  -0.362 0.991  -0.224 1.094  -0.052 1.164  0.109 1.278  0.316 1.278  0.467 1.221  0.637 1.184  0.710 1.049  0.803 0.934  0.867 0.790  0.867 0.582  0.867 0.374  0.852 0.172  0.810 -0.018  0.741 -0.157  0.637 -0.261  0.511 -0.387  0.465 -0.548  0.325 -0.616  0.117 -0.616  -0.067 -0.559  -0.166 -0.451  -0.187 -0.251  -0.224 -0.059  -0.205 0.130  -0.109 0.242  0.082 0.302  0.219 0.417  0.427 0.417  0.632 0.400  0.810 0.302
2#tos#f3#f3007066/[  0.258 0.911  0.123 0.907  -0.011 0.884  -0.144 0.862  -0.178 0.755  -0.306 0.747  -0.350 0.747  -0.215 0.747  -0.079 0.747  0.056 0.747  0.192 0.747  0.305 0.802  0.440 0.802  0.576 0.802  0.711 0.802  0.760 0.804  0.625 0.812  0.489 0.820  0.354 0.828  0.219 0.836  0.083 0.844  -0.052 0.852  -0.180 0.828  -0.267 0.733  -0.341 0.656  -0.341 0.521  -0.341 0.385  -0.341 0.250  -0.341 0.114  -0.341 -0.021  -0.341 -0.157  -0.341 -0.292  -0.341 -0.428  -0.341 -0.563  -0.341 -0.699  -0.342 -0.834  -0.438 -0.930  -0.450 -1.060  -0.450 -1.196  -0.450 -1.331  -0.362 -1.378  -0.226 -1.378  -0.091 -1.378  0.045 -1.378  0.180 -1.378  0.316 -1.378  0.451 -1.378  0.587 -1.378  0.722 -1.378  0.858 -1.378
