3#apb#apb15#app1564/1  0.347 0.761  0.347 0.841  0.331 0.915  0.286 0.979  0.270 1.058  0.250 1.135  0.227 1.212  0.207 1.290  0.182 1.367  0.124 1.355  0.124 1.274  0.124 1.194  0.123 1.113  0.115 1.033  0.108 0.953  0.100 0.873  0.092 0.793  0.085 0.713  0.077 0.632  0.070 0.552  0.051 0.474  0.030 0.397  0.008 0.319  -0.013 0.241  -0.034 0.164  -0.055 0.086  -0.076 0.008  -0.097 -0.069  -0.105 -0.149  -0.112 -0.230  -0.118 -0.310  -0.125 -0.390  -0.132 -0.470  -0.138 -0.551  -0.145 -0.631  -0.152 -0.711  -0.161 -0.791  -0.172 -0.871  -0.182 -0.951  -0.193 -1.030  -0.203 -1.110  -0.210 -1.190  -0.210 -1.271  -0.210 -1.351  -0.210 -1.432  -0.192 -1.510  -0.173 -1.588  -0.150 -1.665  -0.092 -1.719  -0.015 -1.744
3#apb#apb15#app1564/2  -0.231 0.710  -0.297 0.826  -0.378 0.930  -0.423 1.044  -0.423 1.177  -0.339 1.276  -0.238 1.363  -0.131 1.435  0.002 1.452  0.134 1.443  0.256 1.405  0.356 1.317  0.447 1.223  0.482 1.095  0.515 0.966  0.515 0.833  0.515 0.699  0.496 0.569  0.462 0.440  0.428 0.311  0.369 0.193  0.302 0.078  0.234 -0.037  0.166 -0.151  0.095 -0.264  0.024 -0.377  -0.048 -0.489  -0.121 -0.600  -0.216 -0.694  -0.310 -0.788  -0.404 -0.882  -0.498 -0.976  -0.592 -1.070  -0.707 -1.139  -0.767 -1.128  -0.761 -1.002  -0.649 -0.931  -0.581 -0.820  -0.479 -0.733  -0.364 -0.685  -0.231 -0.685  -0.098 -0.685  0.036 -0.685  0.169 -0.685  0.302 -0.685  0.408 -0.737  0.486 -0.846  0.590 -0.928  0.694 -1.011  0.804 -1.070
3#apb#apb15#app1564/3  -0.535 0.810  -0.563 0.938  -0.564 1.063  -0.480 1.164  -0.401 1.269  -0.311 1.357  -0.184 1.391  -0.053 1.391  0.074 1.367  0.198 1.324  0.271 1.215  0.328 1.100  0.340 0.970  0.332 0.841  0.297 0.714  0.236 0.601  0.155 0.498  0.074 0.394  -0.009 0.293  -0.094 0.193  -0.179 0.093  -0.293 0.032  -0.413 -0.022  -0.515 -0.104  -0.616 -0.187  -0.726 -0.243  -0.597 -0.223  -0.466 -0.222  -0.339 -0.190  -0.211 -0.158  -0.080 -0.148  0.051 -0.138  0.176 -0.173  0.300 -0.214  0.421 -0.265  0.528 -0.331  0.577 -0.453  0.611 -0.579  0.624 -0.709  0.579 -0.828  0.516 -0.944  0.454 -1.059  0.392 -1.175  0.330 -1.290  0.231 -1.376  0.129 -1.459  0.021 -1.533  -0.091 -1.600  -0.205 -1.665  -0.320 -1.729
3#apb#apb15#app1564/4  -0.644 0.588  -0.705 0.750  -0.723 0.731  -0.783 0.564  -0.837 0.396  -0.890 0.227  -0.942 0.058  -0.992 -0.112  -1.004 -0.284  -0.899 -0.426  -0.752 -0.520  -0.585 -0.580  -0.412 -0.571  -0.238 -0.542  -0.072 -0.479  0.094 -0.417  0.258 -0.352  0.423 -0.286  0.573 -0.195  0.719 -0.094  0.755 0.056  0.735 0.232  0.715 0.408  0.694 0.583  0.674 0.759  0.653 0.935  0.633 1.111  0.613 1.287  0.592 1.463  0.551 1.442  0.481 1.280  0.405 1.120  0.329 0.960  0.278 0.790  0.227 0.621  0.179 0.450  0.140 0.278  0.100 0.105  0.060 -0.067  0.027 -0.241  -0.003 -0.416  -0.033 -0.590  -0.054 -0.766  -0.071 -0.942  -0.087 -1.118  -0.088 -1.295  -0.088 -1.472  -0.056 -1.646  -0.026 -1.821  0.074 -1.959
3#apb#apb15#app1564/E  -0.116 0.871  -0.051 0.716  -0.105 0.446  -0.186 0.183  -0.275 -0.078  -0.390 -0.328  -0.500 -0.581  -0.590 -0.841  -0.711 -1.087  -0.781 -1.342  -0.693 -1.122  -0.617 -0.857  -0.548 -0.590  -0.481 -0.323  -0.424 -0.053  -0.375 0.217  -0.348 0.492  -0.344 0.767  -0.439 1.024  -0.271 0.990  0.003 0.966  0.274 0.990  0.534 1.082  0.793 1.177  1.061 1.223  1.326 1.283  1.544 1.241  1.329 1.069  1.114 0.896  0.899 0.723  0.685 0.551  0.470 0.378  0.255 0.205  0.041 0.033  -0.174 -0.140  -0.306 -0.170  -0.115 -0.131  0.158 -0.099  0.432 -0.063  0.275 -0.239  0.080 -0.433  -0.115 -0.628  -0.309 -0.823  -0.504 -1.018  -0.719 -1.177  -0.693 -1.204  -0.421 -1.157  -0.157 -1.080  0.108 -1.007  0.378 -0.953
3#apb#apb15#app1564/l  0.489 1.621  0.451 1.563  0.420 1.501  0.398 1.435  0.376 1.369  0.354 1.303  0.332 1.237  0.309 1.171  0.283 1.106  0.256 1.042  0.230 0.977  0.203 0.913  0.176 0.848  0.150 0.784  0.123 0.719  0.098 0.654  0.079 0.588  0.059 0.521  0.039 0.454  0.020 0.387  0.000 0.320  -0.020 0.253  -0.039 0.186  -0.055 0.118  -0.070 0.050  -0.084 -0.018  -0.098 -0.086  -0.113 -0.154  -0.127 -0.223  -0.142 -0.291  -0.156 -0.359  -0.168 -0.428  -0.177 -0.497  -0.185 -0.566  -0.194 -0.635  -0.203 -0.704  -0.211 -0.774  -0.220 -0.843  -0.224 -0.912  -0.224 -0.982  -0.224 -1.052  -0.224 -1.121  -0.224 -1.191  -0.224 -1.261  -0.219 -1.330  -0.214 -1.400  -0.209 -1.469  -0.204 -1.539  -0.199 -1.608  -0.194 -1.678
3#apb#apb15#app1564/C  1.251 0.238  1.235 0.316  1.220 0.394  1.194 0.469  1.161 0.542  1.128 0.614  1.076 0.671  1.014 0.722  0.945 0.760  0.874 0.796  0.796 0.806  0.717 0.806  0.641 0.789  0.567 0.759  0.493 0.730  0.419 0.700  0.346 0.669  0.273 0.637  0.200 0.605  0.127 0.573  0.065 0.526  0.011 0.468  -0.044 0.410  -0.098 0.352  -0.153 0.294  -0.207 0.236  -0.253 0.171  -0.298 0.106  -0.344 0.041  -0.389 -0.025  -0.435 -0.090  -0.480 -0.155  -0.524 -0.221  -0.569 -0.288  -0.613 -0.354  -0.657 -0.420  -0.699 -0.487  -0.724 -0.562  -0.750 -0.638  -0.775 -0.713  -0.800 -0.789  -0.817 -0.866  -0.830 -0.945  -0.842 -1.023  -0.837 -1.101  -0.812 -1.176  -0.781 -1.248  -0.728 -1.307  -0.675 -1.366  -0.621 -1.426
3#apb#apb15#app1564/a  1.016 0.534  0.849 0.608  0.682 0.682  0.504 0.721  0.342 0.803  0.182 0.869  0.014 0.797  -0.153 0.723  -0.319 0.647  -0.486 0.572  -0.638 0.470  -0.790 0.369  -0.898 0.226  -0.990 0.069  -1.082 -0.089  -1.170 -0.249  -1.258 -0.409  -1.331 -0.574  -1.331 -0.756  -1.291 -0.932  -1.194 -1.069  -1.026 -1.141  -0.856 -1.111  -0.685 -1.046  -0.539 -0.936  -0.395 -0.824  -0.259 -0.703  -0.130 -0.573  -0.001 -0.444  0.120 -0.307  0.234 -0.165  0.348 -0.022  0.438 0.137  0.525 0.298  0.611 0.459  0.699 0.619  0.786 0.779  0.875 0.939  0.931 0.967  0.881 0.791  0.849 0.612  0.829 0.430  0.765 0.262  0.683 0.098  0.631 -0.072  0.631 -0.255  0.610 -0.435  0.566 -0.612  0.587 -0.789  0.631 -0.967
3#apb#apb15#app1564/m  -0.727 0.815  -0.919 0.815  -1.050 0.673  -1.096 0.473  -1.162 0.279  -1.219 0.083  -1.235 -0.122  -1.240 -0.327  -1.240 -0.533  -1.179 -0.729  -1.112 -0.916  -0.990 -0.875  -0.875 -0.706  -0.757 -0.538  -0.655 -0.360  -0.559 -0.178  -0.471 0.008  -0.383 0.194  -0.296 0.380  -0.208 0.566  -0.098 0.737  0.022 0.881  0.083 0.693  0.036 0.493  0.008 0.289  -0.007 0.084  -0.023 -0.121  -0.035 -0.326  -0.035 -0.531  0.002 -0.733  0.131 -0.718  0.249 -0.550  0.372 -0.385  0.472 -0.207  0.553 -0.018  0.647 0.165  0.746 0.345  0.849 0.523  0.978 0.683  1.121 0.829  1.221 0.794  1.221 0.589  1.215 0.384  1.154 0.187  1.101 -0.011  1.058 -0.212  1.042 -0.416  1.042 -0.622  1.079 -0.823  1.170 -1.005
3#apb#apb15#app1564/i  0.331 0.245  0.267 0.155  0.225 0.055  0.202 -0.053  0.179 -0.161  0.153 -0.268  0.111 -0.370  0.068 -0.472  0.026 -0.574  -0.016 -0.676  -0.058 -0.779  -0.100 -0.881  -0.124 -0.988  -0.145 -1.097  -0.164 -1.206  -0.174 -1.316  -0.187 -1.425  -0.195 -1.461  -0.184 -1.351  -0.173 -1.241  -0.162 -1.131  -0.151 -1.021  -0.140 -0.912  -0.129 -0.802  -0.118 -0.692  -0.106 -0.582  -0.095 -0.472  -0.084 -0.362  -0.073 -0.252  -0.062 -0.142  -0.051 -0.032  -0.040 0.078  -0.029 0.188  -0.017 0.298  -0.006 0.408  0.005 0.517  0.016 0.627  0.027 0.737  0.038 0.847  0.049 0.957  0.060 1.067  0.071 1.177  0.083 1.287  0.094 1.397  0.105 1.507  0.116 1.617  0.127 1.727  0.138 1.837  0.130 1.946  0.161 2.044
3#apb#apb15#app1564/n  -0.819 1.582  -0.819 1.418  -0.819 1.254  -0.819 1.090  -0.791 0.929  -0.756 0.770  -0.720 0.610  -0.686 0.449  -0.667 0.287  -0.647 0.124  -0.628 -0.039  -0.614 -0.202  -0.603 -0.365  -0.592 -0.529  -0.580 -0.692  -0.566 -0.856  -0.551 -1.019  -0.528 -1.181  -0.522 -1.344  -0.485 -1.213  -0.425 -1.060  -0.357 -0.911  -0.288 -0.763  -0.222 -0.613  -0.157 -0.462  -0.092 -0.312  -0.028 -0.161  0.037 -0.010  0.123 0.129  0.211 0.267  0.298 0.406  0.386 0.544  0.483 0.675  0.594 0.796  0.704 0.917  0.799 1.044  0.882 0.929  0.927 0.771  0.906 0.610  0.877 0.449  0.849 0.288  0.826 0.126  0.811 -0.038  0.789 -0.199  0.737 -0.355  0.695 -0.512  0.677 -0.675  0.667 -0.838  0.708 -0.990  0.799 -1.126
