1b#tos#f3#f3050060/B  -0.351 0.999  -0.504 1.080  -0.504 0.803  -0.504 0.525  -0.504 0.248  -0.504 -0.029  -0.504 -0.307  -0.519 -0.582  -0.558 -0.853  -0.607 -1.124  -0.607 -1.401  -0.561 -1.139  -0.515 -0.865  -0.468 -0.592  -0.422 -0.319  -0.375 -0.045  -0.328 0.228  -0.282 0.502  -0.235 0.775  -0.197 1.049  -0.241 1.207  0.025 1.255  0.302 1.255  0.580 1.255  0.857 1.255  1.082 1.143  1.046 0.874  0.839 0.698  0.619 0.536  0.372 0.421  0.133 0.287  -0.122 0.195  -0.376 0.091  -0.607 -0.005  -0.431 0.026  -0.158 0.046  0.111 0.078  0.389 0.078  0.666 0.078  0.919 -0.009  1.082 -0.202  1.062 -0.474  0.838 -0.614  0.727 -0.821  0.490 -0.964  0.251 -1.106  0.001 -1.225  -0.254 -1.333  -0.495 -1.469  -0.658 -1.509
1b#tos#f3#f3050060/C  0.573 0.615  0.492 0.687  0.387 0.708  0.322 0.792  0.266 0.886  0.188 0.964  0.127 1.049  0.031 1.085  -0.080 1.085  -0.190 1.085  -0.301 1.085  -0.392 1.048  -0.457 0.959  -0.531 0.877  -0.598 0.789  -0.661 0.698  -0.716 0.603  -0.765 0.503  -0.787 0.395  -0.808 0.287  -0.830 0.178  -0.837 0.068  -0.837 -0.043  -0.837 -0.153  -0.837 -0.264  -0.827 -0.370  -0.749 -0.449  -0.686 -0.539  -0.629 -0.634  -0.538 -0.691  -0.439 -0.741  -0.340 -0.790  -0.230 -0.795  -0.120 -0.795  -0.009 -0.795  0.102 -0.795  0.212 -0.795  0.323 -0.795  0.433 -0.795  0.540 -0.769  0.645 -0.734  0.750 -0.699  0.855 -0.665  0.956 -0.621  1.055 -0.572  1.156 -0.525  1.258 -0.484  1.357 -0.434  1.453 -0.380  1.549 -0.325
1b#tos#f3#f3050060/F  -0.239 0.998  -0.307 1.007  -0.136 1.083  0.042 1.125  0.231 1.125  0.388 1.201  0.531 1.252  0.713 1.287  0.660 1.255  0.529 1.173  0.371 1.100  0.190 1.083  0.043 1.040  -0.093 0.956  -0.173 0.833  -0.258 0.665  -0.281 0.482  -0.309 0.297  -0.371 0.119  -0.408 -0.062  -0.424 -0.249  -0.451 -0.434  -0.467 -0.621  -0.493 -0.807  -0.493 -0.996  -0.493 -1.184  -0.540 -1.359  -0.578 -1.536  -0.578 -1.724  -0.546 -1.598  -0.507 -1.414  -0.469 -1.229  -0.431 -1.045  -0.393 -0.860  -0.355 -0.675  -0.298 -0.501  -0.127 -0.442  0.022 -0.367  0.161 -0.245  0.317 -0.142  0.492 -0.092  0.625 0.041  0.746 0.134  0.777 0.320  0.650 0.260  0.608 0.089  0.565 -0.057  0.561 -0.245  0.513 -0.428  0.481 -0.611
1b#tos#f3#f3050060/G  0.275 0.702  0.207 0.897  0.033 0.957  -0.129 1.105  -0.321 1.191  -0.539 1.212  -0.718 1.163  -0.896 1.041  -1.009 0.849  -1.129 0.661  -1.215 0.458  -1.228 0.237  -1.258 0.018  -1.258 -0.206  -1.171 -0.409  -1.088 -0.596  -0.924 -0.732  -0.710 -0.758  -0.492 -0.788  -0.269 -0.786  -0.067 -0.705  0.112 -0.572  0.304 -0.461  0.466 -0.309  0.530 -0.126  0.339 -0.033  0.131 0.048  -0.078 0.129  -0.290 0.191  -0.342 0.063  -0.118 0.063  0.098 0.106  0.316 0.148  0.533 0.191  0.737 0.250  0.938 0.318  1.117 0.441  1.211 0.489  0.998 0.446  0.817 0.404  0.743 0.229  0.702 0.022  0.615 -0.165  0.588 -0.386  0.573 -0.607  0.573 -0.831  0.573 -1.054  0.573 -1.278  0.573 -1.501  0.573 -1.725
1b#tos#f3#f3050060/H  -0.726 0.819  -0.905 0.819  -0.929 0.663  -0.929 0.484  -0.929 0.305  -0.953 0.129  -0.970 -0.049  -0.970 -0.228  -0.970 -0.407  -0.970 -0.586  -0.970 -0.765  -0.970 -0.944  -0.922 -1.069  -0.871 -0.897  -0.820 -0.726  -0.768 -0.554  -0.717 -0.383  -0.755 -0.278  -0.653 -0.173  -0.477 -0.155  -0.304 -0.108  -0.143 -0.032  0.033 0.004  0.208 0.039  0.380 0.089  0.555 0.124  0.709 0.214  0.865 0.292  1.021 0.350  0.981 0.524  0.935 0.697  0.890 0.870  0.844 1.043  0.818 1.219  0.645 1.225  0.580 1.081  0.574 0.903  0.574 0.724  0.574 0.545  0.574 0.366  0.574 0.187  0.574 0.008  0.574 -0.171  0.574 -0.350  0.574 -0.529  0.574 -0.708  0.574 -0.887  0.577 -1.066  0.612 -1.242  0.655 -1.416
1b#tos#f3#f3050060/I  -0.552 0.950  -0.705 0.903  -0.868 0.903  -1.008 0.822  -0.893 0.807  -0.776 0.918  -0.660 1.034  -0.501 1.046  -0.345 1.063  -0.197 1.123  -0.036 1.142  0.125 1.167  0.285 1.189  0.449 1.189  0.384 1.189  0.220 1.189  0.090 1.136  0.068 0.977  0.068 0.814  0.068 0.650  0.068 0.486  0.036 0.328  0.021 0.167  0.021 0.003  0.021 -0.161  -0.009 -0.306  -0.115 -0.419  -0.139 -0.579  -0.170 -0.737  -0.230 -0.876  -0.153 -0.912  0.010 -0.912  0.174 -0.912  0.338 -0.912  0.452 -0.845  0.612 -0.812  0.771 -0.772  0.904 -0.680  0.908 -0.654  0.757 -0.717  0.606 -0.780  0.455 -0.843  0.304 -0.906  0.152 -0.969  0.001 -1.032  -0.150 -1.095  -0.312 -1.103  -0.343 -1.103  -0.179 -1.103  -0.027 -1.056
1b#tos#f3#f3050060/J  -0.793 0.632  -0.885 0.556  -0.988 0.499  -1.010 0.499  -0.889 0.499  -0.769 0.499  -0.665 0.538  -0.579 0.624  -0.463 0.632  -0.342 0.632  -0.230 0.669  -0.123 0.723  -0.015 0.777  0.093 0.831  0.189 0.899  0.310 0.899  0.398 0.978  0.507 1.016  0.624 1.032  0.612 0.997  0.508 0.936  0.404 0.875  0.300 0.814  0.196 0.754  0.149 0.669  0.202 0.565  0.229 0.448  0.229 0.328  0.229 0.207  0.229 0.087  0.247 -0.032  0.270 -0.150  0.274 -0.270  0.274 -0.391  0.274 -0.511  0.274 -0.632  0.274 -0.752  0.274 -0.873  0.274 -0.993  0.274 -1.114  0.274 -1.234  0.274 -1.354  0.274 -1.475  0.178 -1.500  0.058 -1.500  -0.063 -1.500  -0.183 -1.500  -0.291 -1.469  -0.406 -1.456  -0.482 -1.411
1b#tos#f3#f3050060/M  -0.145 0.767  -0.332 0.804  -0.380 0.954  -0.569 0.955  -0.646 0.788  -0.692 0.603  -0.710 0.416  -0.710 0.226  -0.739 0.039  -0.757 -0.148  -0.757 -0.338  -0.757 -0.528  -0.757 -0.718  -0.757 -0.908  -0.757 -1.098  -0.757 -1.288  -0.739 -1.128  -0.719 -0.939  -0.700 -0.750  -0.681 -0.561  -0.661 -0.372  -0.642 -0.183  -0.623 0.006  -0.603 0.195  -0.584 0.384  -0.569 0.573  -0.427 0.481  -0.288 0.391  -0.154 0.258  0.029 0.223  0.168 0.156  0.358 0.156  0.516 0.253  0.631 0.403  0.727 0.562  0.848 0.690  0.916 0.867  0.937 0.953  0.937 0.763  0.937 0.573  0.969 0.388  0.984 0.201  0.984 0.011  1.031 -0.173  1.031 -0.363  1.061 -0.548  1.078 -0.736  1.078 -0.926  1.172 -1.077  1.219 -1.255
1b#tos#f3#f3050060/N  -0.385 1.013  -0.509 1.142  -0.621 1.008  -0.621 0.813  -0.621 0.618  -0.627 0.423  -0.677 0.234  -0.715 0.045  -0.715 -0.151  -0.715 -0.346  -0.762 -0.534  -0.763 -0.729  -0.809 -0.914  -0.809 -1.109  -0.790 -1.092  -0.756 -0.900  -0.722 -0.707  -0.688 -0.515  -0.654 -0.322  -0.620 -0.130  -0.586 0.063  -0.552 0.255  -0.527 0.448  -0.527 0.644  -0.418 0.731  -0.291 0.607  -0.165 0.464  -0.033 0.321  0.054 0.149  0.133 -0.023  0.242 -0.178  0.294 -0.366  0.370 -0.546  0.458 -0.720  0.568 -0.881  0.652 -1.015  0.743 -1.054  0.743 -0.859  0.838 -0.702  0.844 -0.508  0.882 -0.316  0.943 -0.130  0.979 0.059  0.992 0.253  1.054 0.438  1.115 0.624  1.167 0.811  1.180 1.004  1.214 1.194  1.214 1.389
1b#tos#f3#f3050060/O  0.020 0.911  0.020 1.057  -0.037 1.159  -0.179 1.191  -0.279 1.238  -0.318 1.124  -0.384 0.993  -0.419 0.852  -0.443 0.708  -0.484 0.568  -0.522 0.427  -0.553 0.284  -0.577 0.140  -0.589 -0.006  -0.589 -0.152  -0.589 -0.298  -0.589 -0.444  -0.589 -0.590  -0.589 -0.737  -0.589 -0.883  -0.551 -1.018  -0.495 -1.147  -0.452 -1.270  -0.334 -1.356  -0.199 -1.382  -0.053 -1.382  0.094 -1.382  0.203 -1.293  0.207 -1.148  0.332 -1.073  0.450 -0.990  0.515 -0.859  0.534 -0.718  0.595 -0.590  0.655 -0.458  0.675 -0.315  0.675 -0.169  0.675 -0.023  0.675 0.124  0.675 0.270  0.645 0.409  0.628 0.551  0.576 0.685  0.495 0.806  0.459 0.939  0.344 1.010  0.252 1.098  0.106 1.098  -0.027 1.084  -0.074 0.957
1b#tos#f3#f3050060/Q  0.003 -0.727  -0.136 -0.851  -0.286 -0.933  -0.488 -0.933  -0.664 -0.843  -0.788 -0.702  -0.903 -0.542  -0.959 -0.355  -0.985 -0.156  -0.985 0.046  -0.985 0.248  -0.903 0.431  -0.902 0.634  -0.789 0.802  -0.660 0.957  -0.517 1.100  -0.417 1.274  -0.243 1.333  -0.058 1.380  0.139 1.414  0.342 1.414  0.530 1.380  0.674 1.237  0.744 1.064  0.744 0.861  0.744 0.659  0.744 0.456  0.729 0.256  0.703 0.058  0.608 -0.113  0.542 -0.301  0.425 -0.465  0.351 -0.652  0.268 -0.833  0.113 -0.960  -0.027 -1.092  -0.203 -1.073  -0.285 -0.890  -0.285 -0.688  -0.285 -0.485  -0.285 -0.283  -0.193 -0.130  0.004 -0.110  0.206 -0.110  0.374 -0.193  0.546 -0.299  0.705 -0.420  0.850 -0.533  1.032 -0.607  1.114 -0.727
