2#tos#t3#t3072063/\"  -0.744 0.676  -0.849 0.571  -0.870 0.431  -0.996 0.409  -0.996 0.261  -0.996 0.113  -0.996 -0.036  -0.996 -0.184  -0.996 -0.332  -0.996 -0.481  -0.996 -0.629  -0.996 -0.777  -0.996 -0.926  -0.996 -1.074  -0.866 -1.085  -0.775 -0.968  -0.684 -0.850  -0.593 -0.733  -0.502 -0.616  -0.411 -0.499  -0.320 -0.382  -0.229 -0.265  -0.138 -0.148  -0.047 -0.031  0.044 0.086  0.135 0.203  0.227 0.320  0.318 0.438  0.409 0.555  0.500 0.672  0.591 0.789  0.682 0.906  0.773 1.023  0.864 1.140  0.827 1.112  0.769 0.987  0.769 0.839  0.769 0.690  0.769 0.542  0.769 0.394  0.769 0.245  0.844 0.171  0.895 0.075  0.895 -0.074  0.895 -0.222  0.895 -0.370  0.895 -0.519  0.895 -0.667  0.895 -0.815  0.895 -0.964
2#tos#t3#t3072063/#  -1.165 0.529  -1.432 0.371  -1.105 0.371  -0.680 0.371  -0.255 0.371  0.170 0.371  0.516 0.450  0.941 0.450  1.060 0.391  0.665 0.233  0.270 0.075  -0.125 -0.083  -0.519 -0.241  -0.914 -0.398  -1.320 -0.499  -1.455 -0.736  -1.030 -0.736  -0.609 -0.696  -0.189 -0.657  0.236 -0.657  0.661 -0.657  1.003 -0.719  1.322 -0.485  1.109 -0.187  0.794 0.099  0.480 0.385  0.165 0.671  -0.149 0.957  -0.491 1.143  -0.611 0.950  -0.611 0.525  -0.611 0.100  -0.611 -0.325  -0.611 -0.750  -0.532 -1.142  -0.515 -1.490  -0.338 -1.104  -0.160 -0.717  0.017 -0.331  0.195 0.055  0.372 0.442  0.550 0.828  0.727 1.214  0.590 1.399  0.616 0.999  0.733 0.615  0.733 0.190  0.733 -0.235  0.731 -0.659  0.654 -1.052
2#tos#t3#t3072063/$  0.865 1.127  0.657 1.009  0.401 0.951  0.130 0.892  -0.127 0.833  -0.310 0.657  -0.532 0.598  -0.710 0.398  -0.882 0.203  -0.935 0.003  -0.721 -0.107  -0.441 -0.107  -0.174 -0.166  0.093 -0.225  0.277 -0.320  0.528 -0.379  0.744 -0.460  0.907 -0.577  0.865 -0.783  0.625 -0.878  0.454 -1.066  0.237 -1.165  0.074 -1.282  -0.147 -1.345  -0.419 -1.400  -0.465 -1.155  -0.418 -0.878  -0.371 -0.601  -0.324 -0.325  -0.277 -0.048  -0.230 0.229  -0.183 0.505  -0.136 0.782  -0.089 1.059  -0.042 1.336  0.005 1.612  -0.015 1.832  -0.016 1.553  -0.075 1.297  -0.067 1.017  -0.022 0.740  0.023 0.463  0.068 0.186  0.113 -0.091  0.158 -0.368  0.203 -0.645  0.248 -0.923  0.183 -1.106  0.108 -1.304  0.160 -1.576
2#tos#t3#t3072063/%  1.026 1.494  0.867 1.361  0.747 1.110  0.590 0.866  0.379 0.677  0.249 0.416  0.081 0.179  -0.032 -0.066  -0.103 -0.340  -0.177 -0.608  -0.371 -0.823  -0.521 -1.058  -0.667 -1.258  -0.759 -1.346  -0.703 -1.060  -0.647 -0.774  -0.592 -0.487  -0.536 -0.201  -0.480 0.085  -0.424 0.371  -0.368 0.658  -0.543 0.754  -0.729 0.648  -1.021 0.648  -1.196 0.491  -1.311 0.268  -1.341 0.000  -1.141 -0.145  -0.849 -0.145  -0.688 0.066  -0.614 0.324  -0.614 0.616  -0.367 0.570  -0.088 0.483  0.190 0.395  0.468 0.308  0.746 0.220  1.025 0.133  1.168 0.066  0.898 -0.024  0.759 -0.251  0.631 -0.426  0.456 -0.639  0.444 -0.929  0.694 -0.881  0.917 -0.711  1.151 -0.549  1.266 -0.300  1.212 -0.093  0.920 -0.093
2#tos#t3#t3072063/)  -0.571 1.248  -0.662 1.248  -0.685 1.248  -0.594 1.248  -0.503 1.248  -0.413 1.248  -0.322 1.248  -0.276 1.203  -0.276 1.112  -0.198 1.100  -0.129 1.079  -0.129 0.988  -0.073 0.953  -0.055 0.880  -0.039 0.805  0.019 0.773  0.054 0.697  0.092 0.622  0.092 0.532  0.142 0.461  0.166 0.381  0.239 0.363  0.240 0.273  0.273 0.216  0.313 0.166  0.313 0.075  0.313 -0.015  0.313 -0.106  0.313 -0.197  0.313 -0.287  0.313 -0.378  0.313 -0.468  0.313 -0.559  0.313 -0.650  0.313 -0.740  0.299 -0.816  0.217 -0.839  0.166 -0.908  0.166 -0.999  0.166 -1.089  0.097 -1.111  0.019 -1.123  0.019 -1.214  0.019 -1.304  -0.044 -1.332  -0.129 -1.338  -0.129 -1.429  -0.169 -1.479  -0.259 -1.479  -0.276 -1.553
2#tos#t3#t3072063/*  0.135 1.433  -0.072 1.331  -0.072 1.022  -0.003 0.783  -0.003 0.474  -0.003 0.165  -0.003 -0.144  -0.003 -0.452  -0.003 -0.761  -0.072 -1.054  -0.072 -1.362  -0.003 -1.602  -0.102 -1.467  -0.233 -1.188  -0.365 -0.908  -0.496 -0.629  -0.628 -0.349  -0.759 -0.070  -0.891 0.209  -1.022 0.489  -1.215 0.672  -1.097 0.465  -0.857 0.396  -0.634 0.258  -0.423 0.119  -0.199 -0.019  0.093 -0.088  0.264 -0.226  0.503 -0.295  0.784 -0.365  1.015 -0.552  1.241 -0.636  1.197 -0.331  1.153 -0.025  1.110 0.281  1.066 0.586  1.022 0.892  0.979 1.198  0.758 1.291  0.605 1.073  0.465 0.863  0.343 0.605  0.136 0.397  -0.072 0.243  -0.187 0.050  -0.353 -0.097  -0.440 -0.376  -0.705 -0.525  -0.843 -0.785  -1.040 -0.987
2#tos#t3#t3072063/.  0.942 1.413  0.942 1.317  0.942 1.220  0.942 1.124  0.942 1.028  0.942 0.932  0.942 0.836  0.942 0.740  0.942 0.644  0.942 0.548  0.923 0.471  0.826 0.471  0.730 0.471  0.634 0.471  0.538 0.471  0.442 0.471  0.346 0.471  0.250 0.471  0.154 0.471  0.058 0.471  0.000 0.432  0.000 0.336  0.000 0.240  0.000 0.144  0.000 0.048  0.000 -0.048  0.000 -0.144  0.000 -0.240  0.000 -0.336  0.000 -0.432  -0.058 -0.471  -0.154 -0.471  -0.250 -0.471  -0.346 -0.471  -0.442 -0.471  -0.538 -0.471  -0.634 -0.471  -0.730 -0.471  -0.826 -0.471  -0.923 -0.471  -0.942 -0.548  -0.942 -0.644  -0.942 -0.740  -0.942 -0.836  -0.942 -0.932  -0.942 -1.028  -0.942 -1.124  -0.942 -1.220  -0.942 -1.317  -0.942 -1.413
2#tos#t3#t3072063/:  0.302 1.474  0.228 1.474  0.154 1.474  0.086 1.466  0.053 1.400  0.020 1.334  -0.013 1.268  -0.016 1.194  -0.052 1.157  -0.121 1.153  -0.114 1.079  -0.107 1.006  -0.099 0.932  -0.092 0.859  -0.084 0.785  -0.077 0.712  -0.070 0.639  -0.062 0.565  -0.055 0.492  -0.048 0.418  -0.040 0.345  -0.033 0.272  -0.026 0.198  -0.018 0.125  -0.011 0.051  -0.004 -0.022  0.004 -0.096  0.011 -0.169  0.018 -0.242  0.026 -0.316  0.033 -0.389  0.040 -0.463  0.048 -0.536  0.055 -0.610  0.062 -0.683  0.070 -0.756  0.077 -0.830  0.084 -0.903  0.090 -0.977  0.090 -1.051  0.090 -1.124  0.071 -1.190  0.019 -1.243  -0.033 -1.295  -0.085 -1.347  -0.122 -1.406  -0.122 -1.479  -0.122 -1.553  -0.090 -1.595  -0.016 -1.595
2#tos#t3#t3072063/>  -0.287 1.219  -0.397 1.182  -0.506 1.146  -0.619 1.132  -0.624 1.045  -0.520 1.016  -0.433 0.943  -0.330 0.892  -0.219 0.870  -0.104 0.870  0.011 0.870  0.120 0.841  0.223 0.790  0.333 0.773  0.416 0.696  0.512 0.665  0.564 0.562  0.654 0.522  0.769 0.522  0.845 0.482  0.913 0.435  0.923 0.348  0.845 0.311  0.787 0.231  0.684 0.180  0.578 0.161  0.526 0.058  0.452 -0.023  0.349 -0.075  0.323 -0.174  0.304 -0.281  0.218 -0.358  0.115 -0.409  0.006 -0.436  -0.052 -0.515  -0.089 -0.624  -0.113 -0.736  -0.179 -0.785  -0.291 -0.791  -0.342 -0.895  -0.374 -1.002  -0.374 -1.118  -0.474 -1.133  -0.589 -1.133  -0.636 -1.202  -0.704 -1.289  -0.725 -1.394  -0.810 -1.425  -0.869 -1.481  -0.810 -1.481
2#tos#t3#t3072063/@  -0.129 -1.362  -0.280 -1.513  -0.492 -1.518  -0.578 -1.341  -0.675 -1.209  -0.753 -1.073  -0.753 -0.860  -0.753 -0.646  -0.824 -0.504  -0.831 -0.297  -0.831 -0.084  -0.753 0.052  -0.753 0.265  -0.627 0.353  -0.578 0.529  -0.441 0.640  -0.363 0.775  -0.273 0.899  -0.129 0.968  0.076 0.977  0.258 1.052  0.470 1.055  0.674 1.031  0.806 0.918  0.962 0.861  0.980 0.665  1.040 0.512  1.118 0.330  1.118 0.117  1.076 -0.079  0.962 -0.246  0.852 -0.348  0.743 -0.490  0.637 -0.674  0.482 -0.816  0.339 -0.886  0.133 -0.894  0.027 -0.787  -0.051 -0.651  -0.117 -0.504  -0.129 -0.302  -0.155 -0.114  -0.212 0.042  -0.285 0.182  -0.285 0.396  -0.285 0.609  -0.207 0.745  -0.207 0.958  -0.031 1.055  0.027 1.211
2#tos#t3#t3072063/]  -0.934 0.961  -0.943 0.961  -0.846 0.978  -0.755 1.015  -0.655 1.015  -0.554 1.015  -0.454 1.015  -0.353 1.015  -0.253 1.015  -0.153 1.015  -0.052 1.015  0.048 1.015  0.149 1.015  0.249 1.015  0.349 1.015  0.429 0.994  0.429 0.894  0.429 0.794  0.429 0.693  0.429 0.593  0.429 0.492  0.429 0.392  0.429 0.292  0.429 0.191  0.429 0.091  0.429 -0.010  0.429 -0.110  0.429 -0.210  0.429 -0.311  0.429 -0.411  0.429 -0.511  0.429 -0.612  0.429 -0.712  0.429 -0.813  0.429 -0.913  0.417 -1.001  0.316 -1.001  0.216 -1.001  0.156 -1.042  0.070 -1.056  -0.031 -1.056  -0.131 -1.056  -0.231 -1.056  -0.332 -1.056  -0.432 -1.056  -0.533 -1.056  -0.633 -1.056  -0.716 -1.073  -0.725 -1.165  -0.825 -1.165
