2#apb#apb21#app2175/R  -0.045 0.486  -0.110 0.312  -0.188 0.123  -0.275 -0.062  -0.363 -0.247  -0.442 -0.435  -0.513 -0.627  -0.575 -0.822  -0.640 -1.016  -0.690 -1.074  -0.680 -0.870  -0.670 -0.666  -0.660 -0.461  -0.650 -0.257  -0.639 -0.052  -0.629 0.152  -0.619 0.356  -0.609 0.561  -0.529 0.736  -0.382 0.878  -0.238 1.022  -0.075 1.146  0.104 1.245  0.296 1.311  0.496 1.351  0.700 1.360  0.900 1.327  1.077 1.229  1.093 1.035  0.995 0.856  0.874 0.692  0.732 0.545  0.584 0.404  0.421 0.280  0.256 0.159  0.079 0.056  -0.102 -0.039  -0.290 -0.120  -0.472 -0.202  -0.447 -0.397  -0.372 -0.587  -0.262 -0.759  -0.142 -0.925  -0.009 -1.080  0.154 -1.198  0.344 -1.263  0.546 -1.268  0.738 -1.198  0.894 -1.072  1.035 -0.924
2#apb#apb21#app2175/a  -0.315 -0.664  -0.149 -0.558  -0.001 -0.409  0.143 -0.258  0.260 -0.083  0.358 0.101  0.445 0.292  0.473 0.499  0.484 0.708  0.451 0.913  0.326 1.071  0.137 1.156  -0.069 1.190  -0.257 1.125  -0.436 1.015  -0.623 0.920  -0.816 0.839  -0.965 0.700  -1.092 0.534  -1.213 0.362  -1.321 0.182  -1.373 -0.017  -1.405 -0.225  -1.341 -0.421  -1.228 -0.588  -1.053 -0.704  -0.856 -0.769  -0.653 -0.801  -0.449 -0.754  -0.259 -0.677  -0.096 -0.545  0.055 -0.401  0.186 -0.237  0.305 -0.065  0.413 0.115  0.465 0.317  0.479 0.514  0.346 0.356  0.260 0.164  0.263 -0.042  0.296 -0.248  0.362 -0.447  0.493 -0.585  0.688 -0.663  0.897 -0.651  1.106 -0.638  1.296 -0.560  1.479 -0.457  1.661 -0.353  1.844 -0.250
2#apb#apb21#app2175/j  -0.711 0.004  -0.563 0.059  -0.408 0.117  -0.251 0.172  -0.095 0.227  0.050 0.303  0.171 0.416  0.258 0.554  0.298 0.640  0.239 0.490  0.188 0.333  0.150 0.172  0.123 0.009  0.096 -0.155  0.060 -0.317  0.024 -0.478  -0.021 -0.638  -0.070 -0.796  -0.124 -0.952  -0.192 -1.104  -0.267 -1.251  -0.358 -1.389  -0.484 -1.477  -0.626 -1.410  -0.730 -1.285  -0.786 -1.130  -0.786 -0.964  -0.683 -0.837  -0.533 -0.784  -0.370 -0.754  -0.204 -0.749  -0.038 -0.743  0.005 -0.583  0.048 -0.423  0.091 -0.263  0.134 -0.103  0.177 0.057  0.219 0.217  0.262 0.377  0.305 0.537  0.348 0.697  0.391 0.857  0.434 1.017  0.477 1.177  0.520 1.338  0.563 1.498  0.606 1.658  0.649 1.818  0.692 1.978  0.720 1.863
2#apb#apb21#app2175/S  -1.317 -0.770  -1.267 -0.669  -1.168 -0.559  -1.056 -0.465  -0.938 -0.378  -0.826 -0.283  -0.718 -0.182  -0.611 -0.081  -0.501 0.018  -0.392 0.116  -0.282 0.214  -0.172 0.312  -0.062 0.410  0.048 0.508  0.161 0.602  0.273 0.697  0.378 0.800  0.474 0.911  0.572 1.022  0.671 1.131  0.759 1.248  0.841 1.371  0.808 1.392  0.725 1.271  0.662 1.139  0.610 1.001  0.560 0.862  0.511 0.723  0.477 0.581  0.449 0.436  0.421 0.292  0.413 0.145  0.413 -0.002  0.415 -0.149  0.430 -0.296  0.445 -0.442  0.462 -0.589  0.479 -0.735  0.444 -0.878  0.357 -0.986  0.231 -1.055  0.085 -1.075  -0.061 -1.095  -0.207 -1.085  -0.353 -1.066  -0.496 -1.039  -0.623 -0.964  -0.750 -0.889  -0.867 -0.800  -0.905 -0.671
2#apb#apb21#app2175/t  -1.598 -1.119  -1.376 -0.979  -1.172 -0.811  -0.988 -0.621  -0.813 -0.423  -0.633 -0.229  -0.452 -0.036  -0.271 0.157  -0.090 0.351  0.090 0.545  0.245 0.759  0.381 0.986  0.530 1.183  0.323 1.026  0.164 0.815  0.023 0.591  -0.106 0.361  -0.209 0.118  -0.296 -0.132  -0.312 -0.396  -0.251 -0.649  -0.082 -0.833  0.151 -0.950  0.416 -0.961  0.679 -0.961  0.941 -0.924  1.194 -0.852  1.433 -0.741  1.643 -0.579  1.497 -0.475  1.247 -0.388  0.997 -0.302  0.747 -0.215  0.497 -0.128  0.247 -0.041  -0.003 0.046  -0.253 0.133  -0.503 0.220  -0.753 0.307  -1.003 0.394  -1.253 0.480  -1.169 0.507  -0.907 0.538  -0.644 0.569  -0.379 0.582  -0.115 0.596  0.149 0.609  0.414 0.617  0.679 0.625  0.943 0.632
2#apb#apb21#app2175/e  -1.797 -0.660  -1.769 -0.646  -1.630 -0.578  -1.489 -0.514  -1.348 -0.450  -1.201 -0.400  -1.054 -0.351  -0.908 -0.302  -0.765 -0.242  -0.623 -0.179  -0.482 -0.116  -0.340 -0.053  -0.204 0.020  -0.069 0.096  0.066 0.172  0.201 0.249  0.335 0.327  0.468 0.405  0.581 0.505  0.663 0.636  0.738 0.772  0.787 0.913  0.733 1.036  0.578 1.036  0.423 1.036  0.286 0.972  0.153 0.893  0.028 0.802  -0.089 0.700  -0.191 0.587  -0.269 0.453  -0.347 0.319  -0.397 0.175  -0.427 0.023  -0.408 -0.125  -0.350 -0.268  -0.256 -0.373  -0.109 -0.424  0.037 -0.476  0.183 -0.527  0.331 -0.568  0.486 -0.568  0.641 -0.568  0.796 -0.568  0.951 -0.568  1.105 -0.567  1.259 -0.544  1.412 -0.521  1.565 -0.498  1.718 -0.475
2#apb#apb21#app2175/v  -1.420 -0.659  -1.440 -0.667  -1.398 -0.556  -1.333 -0.457  -1.241 -0.380  -1.148 -0.303  -1.061 -0.220  -0.976 -0.135  -0.890 -0.050  -0.801 0.031  -0.712 0.112  -0.631 0.200  -0.553 0.293  -0.481 0.387  -0.431 0.389  -0.401 0.277  -0.424 0.159  -0.455 0.042  -0.496 -0.071  -0.530 -0.186  -0.554 -0.304  -0.561 -0.424  -0.540 -0.532  -0.435 -0.591  -0.317 -0.591  -0.197 -0.581  -0.084 -0.540  0.028 -0.496  0.135 -0.444  0.225 -0.363  0.314 -0.283  0.389 -0.188  0.460 -0.091  0.491 0.025  0.517 0.142  0.517 0.262  0.533 0.381  0.526 0.454  0.643 0.424  0.757 0.386  0.876 0.387  0.996 0.396  1.115 0.415  1.233 0.439  1.350 0.465  1.462 0.510  1.574 0.554  1.683 0.605  1.789 0.662  1.895 0.719
2#apb#apb21#app2175/e  -1.840 -0.715  -1.701 -0.674  -1.566 -0.612  -1.431 -0.552  -1.304 -0.474  -1.179 -0.394  -1.049 -0.323  -0.913 -0.264  -0.777 -0.204  -0.640 -0.146  -0.500 -0.097  -0.360 -0.047  -0.220 0.002  -0.099 0.085  0.015 0.180  0.129 0.275  0.236 0.378  0.341 0.483  0.425 0.605  0.508 0.728  0.570 0.863  0.603 1.005  0.539 1.111  0.391 1.111  0.265 1.044  0.148 0.953  0.038 0.854  -0.067 0.749  -0.172 0.644  -0.247 0.516  -0.318 0.386  -0.346 0.246  -0.335 0.098  -0.325 -0.050  -0.250 -0.176  -0.165 -0.298  -0.081 -0.420  0.051 -0.484  0.188 -0.541  0.325 -0.597  0.467 -0.631  0.616 -0.631  0.764 -0.631  0.913 -0.631  1.058 -0.615  1.191 -0.551  1.325 -0.487  1.459 -0.422  1.593 -0.358  1.727 -0.294
2#apb#apb21#app2175/T  0.045 0.300  0.109 0.451  0.083 0.277  0.038 0.102  -0.009 -0.073  -0.060 -0.248  -0.111 -0.422  -0.161 -0.596  -0.210 -0.771  -0.266 -0.943  -0.336 -1.111  -0.421 -1.270  -0.523 -1.420  -0.638 -1.468  -0.622 -1.290  -0.594 -1.111  -0.567 -0.932  -0.540 -0.752  -0.512 -0.573  -0.485 -0.393  -0.457 -0.214  -0.430 -0.035  -0.403 0.145  -0.375 0.324  -0.348 0.504  -0.448 0.505  -0.619 0.446  -0.789 0.380  -0.907 0.456  -0.871 0.627  -0.756 0.765  -0.614 0.877  -0.442 0.926  -0.349 0.790  -0.296 0.617  -0.200 0.463  -0.078 0.333  0.066 0.223  0.234 0.163  0.411 0.122  0.589 0.112  0.769 0.138  0.948 0.166  1.117 0.232  1.286 0.297  1.452 0.370  1.607 0.464  1.762 0.559  1.894 0.682  2.027 0.807
2#apb#apb21#app2175/e  -1.583 -0.451  -1.655 -0.579  -1.574 -0.625  -1.429 -0.596  -1.284 -0.566  -1.148 -0.509  -1.011 -0.453  -0.875 -0.396  -0.738 -0.339  -0.602 -0.282  -0.476 -0.205  -0.351 -0.126  -0.233 -0.039  -0.128 0.065  -0.024 0.170  0.062 0.290  0.149 0.409  0.229 0.533  0.295 0.665  0.358 0.799  0.398 0.941  0.411 1.087  0.350 1.185  0.205 1.160  0.100 1.056  -0.004 0.951  -0.103 0.842  -0.177 0.714  -0.252 0.587  -0.302 0.451  -0.323 0.304  -0.344 0.158  -0.317 0.017  -0.264 -0.121  -0.211 -0.259  -0.098 -0.349  0.024 -0.433  0.145 -0.517  0.284 -0.559  0.430 -0.587  0.575 -0.614  0.719 -0.608  0.862 -0.570  1.005 -0.533  1.147 -0.495  1.285 -0.441  1.418 -0.378  1.551 -0.314  1.685 -0.251  1.818 -0.187
2#apb#apb21#app2175/d  -0.532 -0.339  -0.329 -0.339  -0.208 -0.159  -0.097 0.025  -0.039 0.234  -0.025 0.443  -0.160 0.600  -0.369 0.650  -0.583 0.611  -0.775 0.512  -0.944 0.380  -1.091 0.221  -1.221 0.048  -1.341 -0.132  -1.419 -0.334  -1.424 -0.547  -1.334 -0.727  -1.146 -0.816  -0.932 -0.837  -0.728 -0.765  -0.524 -0.691  -0.348 -0.565  -0.171 -0.439  -0.014 -0.292  0.126 -0.126  0.267 0.039  0.391 0.217  0.516 0.394  0.609 0.588  0.684 0.791  0.758 0.995  0.820 1.202  0.877 1.406  0.769 1.253  0.658 1.066  0.552 0.878  0.459 0.682  0.375 0.482  0.312 0.275  0.249 0.067  0.247 -0.149  0.247 -0.366  0.272 -0.579  0.345 -0.783  0.510 -0.920  0.724 -0.919  0.940 -0.910  1.147 -0.852  1.349 -0.774  1.552 -0.697
