1c#apa#apa02#app0247/t  0.573 1.251  0.687 1.372  0.687 1.541  0.687 1.709  0.573 1.655  0.465 1.594  0.425 1.447  0.331 1.313  0.290 1.150  0.250 0.987  0.230 0.821  0.230 0.653  0.230 0.484  0.170 0.330  0.116 0.175  0.116 0.007  0.046 -0.145  0.001 -0.303  0.001 -0.471  0.001 -0.640  0.001 -0.808  0.001 -0.976  0.078 -1.113  0.116 -1.265  0.170 -1.379  0.339 -1.379  0.422 -1.347  0.294 -1.238  0.167 -1.128  0.039 -1.019  -0.089 -0.909  -0.217 -0.800  -0.345 -0.690  -0.472 -0.581  -0.600 -0.471  -0.728 -0.362  -0.856 -0.252  -0.983 -0.143  -1.111 -0.033  -1.015 -0.006  -0.847 -0.006  -0.678 -0.006  -0.510 -0.006  -0.375 0.074  -0.221 0.108  -0.053 0.108  0.116 0.108  0.268 0.146  0.405 0.222  0.573 0.222
1c#apa#apa02#app0247/h  -0.473 1.759  -0.473 1.607  -0.473 1.454  -0.473 1.302  -0.473 1.150  -0.473 0.997  -0.513 0.851  -0.561 0.706  -0.572 0.556  -0.572 0.403  -0.572 0.251  -0.572 0.098  -0.572 -0.054  -0.639 -0.179  -0.670 -0.319  -0.670 -0.471  -0.670 -0.624  -0.670 -0.776  -0.670 -0.929  -0.670 -1.081  -0.633 -1.196  -0.572 -1.104  -0.572 -0.952  -0.500 -0.829  -0.392 -0.721  -0.354 -0.584  -0.246 -0.477  -0.178 -0.353  -0.129 -0.212  -0.061 -0.075  0.008 0.061  0.109 0.174  0.216 0.282  0.324 0.390  0.432 0.497  0.540 0.605  0.663 0.676  0.784 0.600  0.808 0.458  0.808 0.305  0.899 0.190  0.937 0.054  1.005 -0.071  1.013 -0.220  1.103 -0.335  1.103 -0.487  1.103 -0.640  1.103 -0.792  1.103 -0.945  1.005 -0.999
1c#apa#apa02#app0247/e  -0.448 -0.046  -0.300 -0.046  -0.152 -0.046  -0.003 -0.046  0.131 -0.012  0.236 0.093  0.340 0.198  0.445 0.302  0.550 0.407  0.660 0.500  0.779 0.529  0.779 0.677  0.779 0.825  0.779 0.973  0.702 1.045  0.580 1.108  0.462 1.181  0.314 1.181  0.234 1.113  0.154 1.045  0.006 1.045  -0.112 0.972  -0.228 0.882  -0.361 0.816  -0.484 0.737  -0.584 0.630  -0.597 0.487  -0.702 0.382  -0.806 0.278  -0.857 0.150  -0.857 0.002  -0.857 -0.146  -0.857 -0.294  -0.857 -0.442  -0.857 -0.591  -0.752 -0.695  -0.647 -0.800  -0.525 -0.863  -0.398 -0.913  -0.285 -1.000  -0.141 -1.017  -0.009 -1.083  0.127 -1.136  0.275 -1.136  0.408 -1.174  0.515 -1.272  0.663 -1.272  0.802 -1.249  0.907 -1.144  1.051 -1.136
1c#apa#apa02#app0247/m  -1.339 0.563  -1.254 0.488  -1.254 0.328  -1.168 0.203  -1.168 0.042  -1.168 -0.118  -1.118 -0.258  -1.083 -0.403  -1.083 -0.564  -1.083 -0.724  -1.027 -0.752  -0.914 -0.638  -0.911 -0.479  -0.826 -0.404  -0.765 -0.258  -0.667 -0.134  -0.569 -0.014  -0.526 0.136  -0.437 0.267  -0.384 0.406  -0.270 0.519  -0.141 0.550  -0.141 0.390  -0.141 0.229  -0.141 0.069  -0.078 -0.077  -0.055 -0.232  -0.055 -0.392  0.007 -0.527  0.146 -0.520  0.259 -0.407  0.372 -0.293  0.425 -0.155  0.478 -0.016  0.592 0.097  0.705 0.211  0.758 0.349  0.871 0.463  0.985 0.576  1.098 0.689  1.240 0.734  1.314 0.648  1.314 0.487  1.314 0.327  1.314 0.167  1.314 0.006  1.314 -0.154  1.314 -0.315  1.314 -0.475  1.314 -0.635
1c#apa#apa02#app0247/o  0.167 0.709  0.167 0.848  0.167 0.988  0.167 1.128  0.167 1.267  0.096 1.336  -0.028 1.298  -0.127 1.200  -0.225 1.101  -0.324 1.002  -0.423 0.904  -0.461 0.780  -0.509 0.660  -0.608 0.561  -0.618 0.426  -0.695 0.318  -0.775 0.211  -0.775 0.072  -0.775 -0.068  -0.775 -0.207  -0.775 -0.347  -0.775 -0.487  -0.775 -0.626  -0.730 -0.748  -0.631 -0.846  -0.533 -0.945  -0.461 -1.055  -0.440 -1.174  -0.300 -1.174  -0.161 -1.174  -0.021 -1.174  0.119 -1.174  0.249 -1.133  0.373 -1.070  0.495 -1.003  0.593 -0.904  0.692 -0.805  0.791 -0.706  0.794 -0.568  0.794 -0.429  0.794 -0.289  0.794 -0.149  0.794 -0.010  0.794 0.130  0.772 0.260  0.673 0.359  0.637 0.484  0.605 0.616  0.543 0.741  0.480 0.866
1c#apa#apa02#app0247/c  0.094 1.192  0.192 1.192  0.239 1.242  0.237 1.337  0.139 1.337  0.094 1.284  0.089 1.192  -0.008 1.192  -0.051 1.137  -0.058 1.047  -0.156 1.047  -0.221 0.995  -0.265 0.908  -0.309 0.821  -0.341 0.731  -0.341 0.633  -0.395 0.558  -0.463 0.489  -0.486 0.401  -0.499 0.309  -0.568 0.240  -0.631 0.168  -0.631 0.071  -0.631 -0.027  -0.631 -0.124  -0.631 -0.222  -0.587 -0.301  -0.518 -0.370  -0.449 -0.439  -0.380 -0.508  -0.341 -0.589  -0.341 -0.687  -0.249 -0.693  -0.165 -0.724  -0.096 -0.793  -0.020 -0.853  0.067 -0.897  0.154 -0.940  0.242 -0.983  0.339 -0.983  0.437 -0.983  0.534 -0.983  0.632 -0.983  0.729 -0.983  0.827 -0.983  0.924 -0.983  1.005 -0.942  1.074 -0.873  1.157 -0.838  1.254 -0.838
1c#apa#apa02#app0247/k  -0.592 1.577  -0.680 1.456  -0.714 1.280  -0.700 1.076  -0.592 0.911  -0.592 0.701  -0.592 0.491  -0.592 0.282  -0.592 0.072  -0.592 -0.138  -0.592 -0.347  -0.714 -0.507  -0.714 -0.716  -0.763 -0.906  -0.836 -1.085  -0.785 -1.274  -0.649 -1.256  -0.525 -1.088  -0.400 -0.919  -0.276 -0.750  -0.152 -0.581  -0.027 -0.412  0.097 -0.243  0.222 -0.075  0.346 0.094  0.470 0.263  0.595 0.432  0.719 0.601  0.843 0.769  0.968 0.938  0.940 1.090  0.735 1.079  0.571 0.969  0.483 0.847  0.305 0.771  0.130 0.660  0.016 0.520  -0.105 0.433  -0.105 0.223  -0.105 0.013  -0.056 -0.176  0.092 -0.324  0.240 -0.473  0.382 -0.553  0.503 -0.640  0.584 -0.817  0.732 -0.965  0.936 -0.979  1.024 -1.101  1.112 -1.223
1c#apa#apa02#app0247/j  0.142 0.702  0.254 0.733  0.254 0.753  0.318 0.638  0.365 0.515  0.365 0.374  0.426 0.246  0.476 0.117  0.476 -0.025  0.476 -0.167  0.476 -0.309  0.476 -0.450  0.476 -0.592  0.405 -0.704  0.365 -0.829  0.283 -0.937  0.254 -1.066  0.129 -1.091  0.028 -1.190  -0.114 -1.190  -0.255 -1.190  -0.397 -1.190  -0.539 -1.190  -0.680 -1.190  -0.822 -1.190  -0.859 -1.085  -0.801 -0.957  -0.740 -0.829  -0.679 -0.701  -0.618 -0.573  -0.557 -0.446  -0.496 -0.318  -0.434 -0.190  -0.373 -0.062  -0.312 0.066  -0.251 0.194  -0.190 0.321  -0.129 0.449  -0.068 0.577  -0.006 0.705  0.055 0.833  0.116 0.960  0.177 1.088  0.238 1.216  0.299 1.344  0.360 1.472  0.476 1.501  0.426 1.592  0.365 1.673  0.365 1.592
1c#apa#apa02#app0247/u  -0.583 0.556  -0.583 0.665  -0.583 0.500  -0.583 0.335  -0.663 0.202  -0.720 0.061  -0.832 0.008  -0.857 -0.132  -0.857 -0.297  -0.899 -0.445  -0.994 -0.571  -0.994 -0.736  -0.994 -0.901  -0.994 -1.066  -0.994 -1.221  -0.961 -1.089  -0.814 -1.045  -0.697 -0.929  -0.580 -0.812  -0.464 -0.695  -0.347 -0.578  -0.230 -0.462  -0.113 -0.345  -0.035 -0.212  -0.035 -0.047  0.043 0.086  0.160 0.203  0.263 0.329  0.337 0.477  0.431 0.610  0.513 0.741  0.513 0.906  0.587 1.041  0.651 1.180  0.724 1.315  0.788 1.304  0.788 1.138  0.788 0.973  0.788 0.808  0.788 0.643  0.788 0.478  0.788 0.313  0.788 0.147  0.788 -0.018  0.788 -0.183  0.788 -0.348  0.788 -0.513  0.885 -0.638  0.925 -0.787  0.925 -0.952
1c#apa#apa02#app0247/r  -0.378 0.353  -0.378 0.495  -0.239 0.497  -0.235 0.634  -0.235 0.505  -0.235 0.363  -0.235 0.222  -0.326 0.118  -0.378 -0.002  -0.378 -0.143  -0.378 -0.285  -0.378 -0.426  -0.378 -0.568  -0.378 -0.709  -0.417 -0.834  -0.517 -0.934  -0.522 -1.074  -0.522 -1.216  -0.522 -1.357  -0.651 -1.369  -0.665 -1.242  -0.665 -1.101  -0.665 -0.959  -0.544 -0.939  -0.522 -0.820  -0.522 -0.678  -0.522 -0.537  -0.486 -0.401  -0.441 -0.267  -0.397 -0.133  -0.319 -0.019  -0.235 0.088  -0.217 0.218  -0.091 0.282  0.036 0.345  0.140 0.440  0.240 0.540  0.340 0.640  0.440 0.740  0.540 0.840  0.645 0.927  0.787 0.927  0.928 0.927  1.070 0.927  1.211 0.927  1.353 0.927  1.488 0.921  1.492 0.784  1.632 0.782  1.632 0.640
1c#apa#apa02#app0247/y  -0.739 1.245  -0.882 1.176  -0.888 1.008  -0.888 0.837  -0.888 0.666  -0.883 0.499  -0.720 0.519  -0.582 0.616  -0.447 0.717  -0.379 0.860  -0.258 0.981  -0.143 1.105  -0.068 1.245  0.080 1.222  0.080 1.051  0.080 0.880  0.153 0.726  0.155 0.555  0.155 0.384  0.155 0.213  0.155 0.042  0.155 -0.129  0.155 -0.301  0.155 -0.472  0.155 -0.643  0.155 -0.814  0.155 -0.985  0.155 -1.156  0.155 -1.327  0.094 -1.484  0.080 -1.652  -0.075 -1.650  -0.156 -1.500  -0.218 -1.355  -0.218 -1.184  -0.218 -1.013  -0.218 -0.842  -0.208 -0.673  -0.129 -0.521  -0.034 -0.379  0.077 -0.249  0.209 -0.144  0.333 -0.038  0.441 0.084  0.580 0.179  0.742 0.201  0.876 0.301  1.035 0.350  1.176 0.425  1.347 0.425
1c#apa#apa02#app0247/b  -0.508 1.462  -0.395 1.597  -0.395 1.596  -0.429 1.428  -0.508 1.280  -0.508 1.098  -0.508 0.917  -0.508 0.735  -0.508 0.554  -0.508 0.372  -0.508 0.190  -0.508 0.009  -0.508 -0.173  -0.564 -0.341  -0.620 -0.509  -0.620 -0.691  -0.620 -0.872  -0.726 -1.010  -0.733 -1.070  -0.722 -0.893  -0.620 -0.753  -0.545 -0.603  -0.467 -0.443  -0.409 -0.271  -0.334 -0.106  -0.236 0.044  -0.131 0.189  -0.045 0.348  0.084 0.476  0.224 0.588  0.386 0.670  0.567 0.673  0.746 0.666  0.909 0.585  0.967 0.437  1.069 0.298  1.145 0.148  1.182 -0.018  1.182 -0.200  1.182 -0.381  1.104 -0.531  0.976 -0.659  0.848 -0.788  0.668 -0.791  0.500 -0.850  0.331 -0.904  0.150 -0.904  -0.032 -0.904  -0.214 -0.904  -0.282 -0.791
1c#apa#apa02#app0247/o  0.718 0.869  0.859 0.869  0.878 0.990  0.878 1.131  0.796 1.190  0.656 1.190  0.515 1.190  0.382 1.173  0.282 1.074  0.183 0.974  0.083 0.875  -0.055 0.869  -0.162 0.789  -0.255 0.685  -0.318 0.559  -0.380 0.433  -0.467 0.324  -0.562 0.223  -0.562 0.083  -0.652 -0.021  -0.723 -0.132  -0.738 -0.266  -0.837 -0.366  -0.883 -0.488  -0.883 -0.628  -0.883 -0.769  -0.883 -0.909  -0.883 -1.050  -0.744 -1.052  -0.723 -1.171  -0.623 -1.212  -0.482 -1.212  -0.342 -1.212  -0.213 -1.183  -0.114 -1.083  -0.014 -0.984  0.085 -0.885  0.185 -0.785  0.267 -0.674  0.330 -0.548  0.393 -0.422  0.489 -0.320  0.558 -0.209  0.575 -0.075  0.674 0.025  0.718 0.147  0.718 0.288  0.718 0.428  0.718 0.569  0.718 0.709
1c#apa#apa02#app0247/x  -0.968 0.859  -0.784 0.859  -0.699 0.760  -0.555 0.715  -0.430 0.583  -0.390 0.415  -0.260 0.285  -0.161 0.143  -0.161 -0.041  -0.061 -0.183  -0.027 -0.353  0.009 -0.522  0.108 -0.665  0.108 -0.849  0.108 -1.033  0.108 -1.217  0.215 -1.294  0.312 -1.154  0.394 -0.990  0.477 -0.825  0.559 -0.661  0.641 -0.496  0.723 -0.332  0.806 -0.168  0.888 -0.003  0.970 0.161  1.052 0.326  1.134 0.490  1.217 0.654  1.299 0.819  1.179 0.859  0.998 0.842  0.824 0.783  0.650 0.725  0.466 0.724  0.282 0.724  0.141 0.622  -0.015 0.528  -0.176 0.440  -0.309 0.314  -0.473 0.232  -0.622 0.129  -0.766 0.018  -0.931 -0.064  -1.068 -0.183  -1.163 -0.339  -1.256 -0.487  -1.402 -0.547  -1.484 -0.712  -1.506 -0.890
