3#apa#apa09#app0944/a  0.170 0.807  0.010 0.807  -0.147 0.788  -0.304 0.757  -0.460 0.726  -0.616 0.691  -0.753 0.609  -0.889 0.526  -1.026 0.444  -1.162 0.361  -1.233 0.218  -1.271 0.067  -1.271 -0.093  -1.271 -0.252  -1.209 -0.393  -1.121 -0.526  -1.019 -0.628  -0.863 -0.596  -0.706 -0.565  -0.550 -0.534  -0.421 -0.449  -0.309 -0.336  -0.196 -0.223  -0.083 -0.110  0.000 0.024  0.072 0.167  0.143 0.310  0.201 0.458  0.252 0.609  0.281 0.764  0.281 0.913  0.281 0.753  0.281 0.593  0.281 0.434  0.281 0.274  0.281 0.114  0.310 -0.040  0.369 -0.188  0.428 -0.336  0.487 -0.485  0.587 -0.607  0.699 -0.720  0.849 -0.742  1.006 -0.716  1.164 -0.690  1.321 -0.663  1.479 -0.637  1.634 -0.600  1.789 -0.561  1.944 -0.523
3#apa#apa09#app0944/b  -0.242 1.942  -0.328 1.856  -0.378 1.756  -0.378 1.635  -0.378 1.513  -0.378 1.392  -0.378 1.271  -0.378 1.150  -0.378 1.029  -0.378 0.908  -0.378 0.787  -0.378 0.665  -0.378 0.544  -0.378 0.423  -0.378 0.302  -0.378 0.181  -0.378 0.060  -0.378 -0.061  -0.378 -0.183  -0.378 -0.304  -0.378 -0.425  -0.378 -0.546  -0.378 -0.667  -0.378 -0.788  -0.378 -0.909  -0.378 -1.030  -0.312 -1.124  -0.219 -1.194  -0.098 -1.194  0.023 -1.194  0.144 -1.194  0.236 -1.124  0.322 -1.039  0.408 -0.953  0.440 -0.845  0.440 -0.724  0.440 -0.603  0.426 -0.485  0.372 -0.377  0.318 -0.268  0.303 -0.151  0.303 -0.030  0.362 0.033  0.483 0.033  0.604 0.033  0.724 0.027  0.832 -0.027  0.941 -0.081  1.036 -0.053  1.121 0.033
3#apa#apa09#app0944/c  0.881 0.215  0.881 0.336  0.909 0.430  1.030 0.430  1.151 0.430  1.272 0.430  1.311 0.512  1.311 0.633  1.202 0.645  1.081 0.645  0.960 0.645  0.839 0.645  0.718 0.645  0.596 0.645  0.475 0.645  0.354 0.645  0.233 0.644  0.116 0.615  -0.002 0.586  -0.119 0.556  -0.237 0.527  -0.354 0.497  -0.472 0.468  -0.589 0.439  -0.684 0.369  -0.770 0.284  -0.855 0.198  -0.941 0.112  -1.027 0.027  -1.112 -0.059  -1.198 -0.144  -1.253 -0.230  -1.167 -0.316  -1.082 -0.401  -0.996 -0.487  -0.910 -0.573  -0.825 -0.658  -0.739 -0.744  -0.654 -0.830  -0.545 -0.860  -0.424 -0.860  -0.303 -0.860  -0.182 -0.860  -0.060 -0.860  0.061 -0.860  0.182 -0.860  0.303 -0.860  0.424 -0.860  0.545 -0.860  0.666 -0.860
3#apa#apa09#app0944/d  -0.109 -0.129  0.041 -0.022  -0.025 -0.022  -0.219 -0.022  -0.413 -0.022  -0.607 -0.022  -0.801 -0.022  -0.980 -0.084  -1.136 -0.194  -1.178 -0.371  -1.178 -0.565  -1.135 -0.749  -1.023 -0.893  -0.839 -0.955  -0.650 -0.984  -0.456 -0.984  -0.270 -0.931  -0.098 -0.856  -0.011 -0.683  0.075 -0.509  0.140 -0.327  0.193 -0.141  0.247 0.046  0.300 0.232  0.319 0.424  0.319 0.618  0.319 0.812  0.347 1.004  0.379 1.195  0.411 1.386  0.426 1.579  0.426 1.773  0.397 1.631  0.319 1.455  0.319 1.261  0.319 1.067  0.319 0.873  0.319 0.679  0.319 0.485  0.319 0.291  0.319 0.097  0.319 -0.097  0.319 -0.291  0.319 -0.485  0.325 -0.678  0.397 -0.858  0.469 -1.038  0.548 -1.213  0.685 -1.350  0.854 -1.412
3#apa#apa09#app0944/e  -0.528 -0.126  -0.513 0.009  -0.362 0.009  -0.217 0.029  -0.083 0.096  0.052 0.163  0.186 0.231  0.312 0.309  0.418 0.415  0.525 0.521  0.663 0.549  0.688 0.675  0.685 0.824  0.618 0.959  0.549 1.089  0.399 1.089  0.249 1.089  0.098 1.089  -0.052 1.089  -0.202 1.089  -0.324 1.023  -0.431 0.916  -0.537 0.810  -0.643 0.704  -0.749 0.598  -0.834 0.476  -0.901 0.342  -0.933 0.199  -0.933 0.049  -0.933 -0.101  -0.933 -0.251  -0.855 -0.378  -0.772 -0.503  -0.689 -0.628  -0.590 -0.740  -0.483 -0.846  -0.371 -0.941  -0.224 -0.970  -0.077 -1.000  0.070 -1.029  0.218 -1.059  0.363 -1.049  0.508 -1.007  0.652 -0.966  0.797 -0.925  0.941 -0.884  1.085 -0.842  1.230 -0.801  1.364 -0.734  1.498 -0.666
3#apa#apa09#app0944/f  0.580 1.639  0.533 1.728  0.397 1.728  0.276 1.692  0.181 1.596  0.085 1.500  0.001 1.395  -0.075 1.282  -0.134 1.164  -0.134 1.028  -0.134 0.892  -0.134 0.757  -0.045 0.658  0.006 0.532  0.056 0.406  0.106 0.280  0.166 0.158  0.236 0.042  0.305 -0.075  0.375 -0.191  0.439 -0.310  0.491 -0.434  0.491 -0.570  0.491 -0.705  0.440 -0.820  0.344 -0.916  0.248 -1.012  0.152 -1.108  0.026 -1.136  -0.095 -1.196  -0.217 -1.257  -0.341 -1.305  -0.477 -1.305  -0.595 -1.276  -0.655 -1.154  -0.595 -1.052  -0.547 -0.928  -0.508 -0.798  -0.469 -0.668  -0.430 -0.538  -0.391 -0.408  -0.352 -0.278  -0.313 -0.148  -0.293 -0.017  -0.232 0.105  -0.107 0.122  0.023 0.150  0.149 0.200  0.275 0.250  0.401 0.301
3#apa#apa09#app0944/g  0.251 1.299  0.136 1.299  0.025 1.284  -0.078 1.233  -0.178 1.177  -0.274 1.114  -0.369 1.050  -0.451 0.976  -0.487 0.867  -0.523 0.758  -0.515 0.652  -0.464 0.550  -0.379 0.528  -0.270 0.564  -0.161 0.600  -0.064 0.660  0.032 0.724  0.127 0.787  0.212 0.864  0.278 0.849  0.329 0.746  0.380 0.643  0.432 0.541  0.461 0.431  0.480 0.318  0.499 0.205  0.518 0.091  0.537 -0.022  0.540 -0.135  0.521 -0.248  0.502 -0.361  0.483 -0.475  0.464 -0.588  0.442 -0.700  0.406 -0.809  0.370 -0.918  0.308 -1.009  0.217 -1.078  0.125 -1.147  0.033 -1.216  -0.061 -1.279  -0.173 -1.307  -0.284 -1.334  -0.396 -1.362  -0.502 -1.344  -0.604 -1.293  -0.674 -1.208  -0.725 -1.105  -0.739 -0.994  -0.739 -0.879
3#apa#apa09#app0944/h  -0.301 1.497  -0.301 1.618  -0.301 1.740  -0.301 1.673  -0.317 1.553  -0.340 1.434  -0.364 1.315  -0.388 1.196  -0.412 1.077  -0.436 0.958  -0.436 0.837  -0.436 0.716  -0.436 0.594  -0.436 0.473  -0.436 0.352  -0.436 0.230  -0.436 0.109  -0.436 -0.012  -0.436 -0.134  -0.436 -0.255  -0.436 -0.376  -0.469 -0.492  -0.508 -0.607  -0.546 -0.722  -0.540 -0.827  -0.454 -0.913  -0.369 -0.864  -0.286 -0.776  -0.213 -0.679  -0.140 -0.582  -0.067 -0.485  0.006 -0.388  0.078 -0.291  0.160 -0.201  0.245 -0.115  0.331 -0.029  0.435 0.013  0.542 -0.021  0.628 -0.106  0.668 -0.218  0.697 -0.336  0.726 -0.454  0.756 -0.571  0.778 -0.690  0.787 -0.809  0.854 -0.910  0.921 -1.010  0.988 -1.111  1.062 -1.201  1.183 -1.201
3#apa#apa09#app0944/i  -0.300 0.276  -0.300 0.399  -0.348 0.316  -0.403 0.207  -0.436 0.092  -0.436 -0.030  -0.436 -0.153  -0.436 -0.275  -0.436 -0.398  -0.436 -0.520  -0.436 -0.643  -0.436 -0.765  -0.436 -0.888  -0.436 -1.010  -0.408 -1.121  -0.321 -1.208  -0.208 -1.229  -0.089 -1.205  0.027 -1.166  0.143 -1.127  0.259 -1.089  0.375 -1.050  0.492 -1.011  0.608 -0.972  0.638 -0.889  0.603 -0.772  0.568 -0.655  0.533 -0.537  0.498 -0.420  0.462 -0.303  0.427 -0.185  0.392 -0.068  0.357 0.049  0.322 0.167  0.287 0.284  0.251 0.401  0.216 0.518  0.181 0.636  0.146 0.753  0.111 0.870  0.075 0.988  0.040 1.105  0.005 1.222  -0.030 1.340  -0.065 1.457  -0.101 1.574  -0.136 1.692  -0.192 1.781  -0.314 1.781  -0.436 1.781
3#apa#apa09#app0944/j  0.143 0.985  0.050 1.076  0.074 0.949  0.149 0.838  0.223 0.726  0.286 0.608  0.345 0.488  0.405 0.368  0.465 0.248  0.525 0.128  0.585 0.008  0.621 -0.119  0.643 -0.252  0.665 -0.384  0.687 -0.516  0.676 -0.643  0.616 -0.763  0.556 -0.883  0.496 -1.003  0.436 -1.123  0.327 -1.189  0.202 -1.239  0.078 -1.289  -0.047 -1.337  -0.178 -1.323  -0.306 -1.280  -0.423 -1.227  -0.483 -1.107  -0.499 -0.979  -0.485 -0.846  -0.472 -0.713  -0.458 -0.579  -0.444 -0.446  -0.430 -0.313  -0.416 -0.179  -0.403 -0.046  -0.389 0.087  -0.375 0.221  -0.361 0.354  -0.347 0.487  -0.334 0.621  -0.320 0.754  -0.306 0.887  -0.292 1.021  -0.278 1.154  -0.265 1.287  -0.251 1.421  -0.237 1.554  -0.229 1.688  -0.229 1.822
3#apa#apa09#app0944/k  -0.824 1.593  -0.717 1.551  -0.717 1.402  -0.717 1.253  -0.717 1.104  -0.717 0.955  -0.717 0.806  -0.717 0.658  -0.717 0.509  -0.717 0.360  -0.732 0.212  -0.753 0.065  -0.774 -0.082  -0.795 -0.230  -0.816 -0.377  -0.824 -0.525  -0.824 -0.674  -0.824 -0.823  -0.816 -0.953  -0.711 -0.848  -0.605 -0.742  -0.500 -0.637  -0.395 -0.532  -0.290 -0.427  -0.184 -0.321  -0.079 -0.216  0.045 -0.134  0.168 -0.051  0.292 0.032  0.416 0.114  0.540 0.197  0.672 0.266  0.805 0.332  0.938 0.399  1.081 0.423  1.230 0.423  1.304 0.348  1.300 0.201  1.233 0.067  1.140 -0.042  1.016 -0.124  0.892 -0.207  0.768 -0.290  0.644 -0.372  0.534 -0.468  0.451 -0.592  0.368 -0.715  0.349 -0.857  0.454 -0.962  0.560 -1.067
3#apa#apa09#app0944/l  0.000 1.247  0.000 1.319  0.000 1.391  0.000 1.463  0.000 1.502  0.000 1.430  0.000 1.358  0.000 1.286  0.000 1.214  0.000 1.142  0.000 1.070  0.000 0.998  0.000 0.926  0.000 0.854  0.000 0.782  0.000 0.710  0.000 0.638  0.000 0.566  0.000 0.494  0.000 0.422  0.000 0.350  0.000 0.278  0.000 0.206  0.000 0.134  0.000 0.062  0.000 -0.010  0.000 -0.082  0.000 -0.154  0.000 -0.226  0.000 -0.298  0.000 -0.370  0.000 -0.442  0.000 -0.514  0.000 -0.586  0.000 -0.658  0.000 -0.730  0.000 -0.802  0.000 -0.873  0.000 -0.945  0.000 -1.017  0.000 -1.089  0.000 -1.161  0.000 -1.233  0.000 -1.305  0.000 -1.377  0.000 -1.449  0.000 -1.521  0.000 -1.593  0.000 -1.665  0.000 -1.737
3#apa#apa09#app0944/m  -1.159 0.310  -1.303 0.310  -1.307 0.170  -1.307 0.025  -1.307 -0.119  -1.307 -0.263  -1.307 -0.407  -1.307 -0.551  -1.201 -0.524  -1.072 -0.460  -0.987 -0.357  -0.941 -0.220  -0.896 -0.084  -0.834 0.043  -0.732 0.145  -0.630 0.247  -0.528 0.349  -0.426 0.451  -0.285 0.458  -0.141 0.458  -0.124 0.331  -0.124 0.187  -0.124 0.042  -0.124 -0.102  -0.124 -0.246  -0.124 -0.390  -0.124 -0.534  -0.124 -0.476  -0.026 -0.429  0.091 -0.363  0.193 -0.261  0.295 -0.159  0.397 -0.057  0.499 0.045  0.600 0.147  0.702 0.249  0.804 0.351  0.906 0.453  1.034 0.519  1.163 0.584  1.302 0.606  1.355 0.515  1.355 0.371  1.355 0.227  1.355 0.082  1.355 -0.062  1.355 -0.206  1.355 -0.350  1.309 -0.475  1.207 -0.577
