2#app#app25#app2598/L  0.901 1.787  0.901 1.676  0.836 1.591  0.769 1.507  0.769 1.396  0.769 1.284  0.707 1.198  0.628 1.119  0.550 1.041  0.471 0.962  0.392 0.883  0.335 0.788  0.285 0.688  0.232 0.591  0.153 0.512  0.110 0.419  0.089 0.316  0.010 0.237  -0.069 0.158  -0.148 0.079  -0.227 0.001  -0.306 -0.078  -0.384 -0.157  -0.418 -0.255  -0.462 -0.322  -0.549 -0.346  -0.552 -0.457  -0.631 -0.535  -0.681 -0.626  -0.695 -0.732  -0.774 -0.811  -0.853 -0.889  -0.932 -0.968  -0.851 -0.981  -0.740 -0.981  -0.644 -0.944  -0.565 -0.865  -0.460 -0.849  -0.369 -0.800  -0.290 -0.722  -0.211 -0.643  -0.123 -0.586  -0.012 -0.586  0.100 -0.586  0.211 -0.586  0.323 -0.586  0.434 -0.586  0.546 -0.586  0.657 -0.586  0.769 -0.586
2#app#app25#app2598/o  1.005 0.863  0.819 0.863  0.632 0.863  0.446 0.863  0.260 0.863  0.104 0.790  -0.028 0.658  -0.160 0.526  -0.291 0.394  -0.443 0.311  -0.629 0.311  -0.651 0.146  -0.651 -0.040  -0.651 -0.226  -0.822 -0.241  -1.009 -0.241  -1.195 -0.241  -1.203 -0.419  -1.203 -0.606  -1.203 -0.792  -1.203 -0.978  -1.108 -1.069  -0.922 -1.069  -0.735 -1.069  -0.549 -1.069  -0.363 -1.069  -0.176 -1.069  -0.022 -0.992  0.110 -0.861  0.268 -0.793  0.454 -0.792  0.586 -0.661  0.717 -0.529  0.849 -0.397  0.981 -0.265  1.005 -0.089  1.005 0.097  1.005 0.283  1.005 0.470  0.936 0.587  0.750 0.587  0.729 0.753  0.653 0.863  0.467 0.863  0.280 0.863  0.177 0.780  0.177 0.594  -0.003 0.587  -0.099 0.497  -0.099 0.311
2#app#app25#app2598/a  0.839 0.858  0.641 0.957  0.444 1.056  0.247 1.154  0.028 1.165  -0.193 1.165  -0.387 1.138  -0.387 0.917  -0.548 0.858  -0.747 0.804  -0.903 0.648  -1.059 0.492  -1.215 0.336  -1.305 0.153  -1.305 -0.068  -1.305 -0.288  -1.305 -0.509  -1.249 -0.673  -1.028 -0.673  -0.807 -0.673  -0.587 -0.673  -0.366 -0.673  -0.145 -0.673  -0.080 -0.518  -0.010 -0.367  0.211 -0.367  0.226 -0.162  0.346 -0.061  0.556 -0.037  0.713 0.119  0.881 0.246  1.102 0.246  1.145 0.423  1.053 0.552  0.834 0.548  0.678 0.392  0.518 0.246  0.297 0.246  0.226 0.096  0.226 -0.125  0.226 -0.345  0.085 -0.508  -0.071 -0.664  -0.080 -0.881  0.041 -0.980  0.262 -0.980  0.483 -0.980  0.704 -0.980  0.924 -0.980  1.145 -0.980
2#app#app25#app2598/n  0.717 1.225  0.528 1.225  0.454 1.109  0.424 0.932  0.290 0.798  0.191 0.649  0.191 0.459  0.074 0.318  -0.060 0.184  -0.072 -0.001  -0.172 -0.091  -0.361 -0.091  -0.551 -0.091  -0.598 -0.233  -0.647 -0.402  -0.781 -0.537  -0.915 -0.671  -1.049 -0.805  -1.125 -0.963  -1.134 -1.143  -1.324 -1.143  -1.299 -1.054  -1.165 -0.920  -1.031 -0.786  -0.897 -0.652  -0.861 -0.477  -0.814 -0.307  -0.680 -0.173  -0.525 -0.091  -0.335 -0.091  -0.201 0.043  -0.072 0.180  -0.072 0.369  0.051 0.436  0.191 0.486  0.191 0.675  0.357 0.699  0.547 0.699  0.717 0.680  0.717 0.490  0.853 0.436  0.981 0.374  0.981 0.184  1.159 0.172  1.244 0.068  1.244 -0.122  1.244 -0.311  1.244 -0.501  1.170 -0.617  0.981 -0.617
2#app#app25#app2598/%  0.070 1.238  -0.105 1.181  -0.278 1.119  -0.358 1.000  -0.513 0.892  -0.642 0.747  -0.642 0.548  -0.465 0.526  -0.272 0.539  -0.117 0.644  -0.040 0.771  0.101 0.912  0.189 0.926  0.298 0.991  0.493 1.000  0.692 1.000  0.891 1.000  0.852 0.832  0.783 0.662  0.664 0.513  0.571 0.407  0.390 0.329  0.232 0.213  0.092 0.072  -0.099 0.051  -0.259 -0.042  -0.400 -0.182  -0.575 -0.239  -0.716 -0.380  -0.857 -0.520  -0.998 -0.591  -1.089 -0.752  -1.229 -0.893  -1.045 -0.899  -0.846 -0.899  -0.647 -0.899  -0.448 -0.899  -0.249 -0.899  -0.050 -0.899  0.070 -0.977  0.110 -1.136  0.309 -1.136  0.508 -1.136  0.694 -1.106  0.783 -0.944  0.901 -0.864  0.901 -0.665  0.901 -0.466  0.783 -0.386  0.664 -0.305
2#app#app25#app2598/'  0.782 1.400  0.782 1.317  0.782 1.233  0.782 1.150  0.782 1.067  0.782 0.983  0.782 0.900  0.782 0.817  0.782 0.733  0.782 0.650  0.703 0.646  0.620 0.646  0.537 0.646  0.453 0.646  0.370 0.646  0.287 0.646  0.203 0.646  0.120 0.646  0.037 0.646  0.028 0.571  0.028 0.488  0.028 0.404  0.028 0.321  0.028 0.238  0.028 0.154  0.028 0.071  0.028 -0.012  0.028 -0.096  -0.022 -0.158  -0.081 -0.217  -0.140 -0.276  -0.198 -0.335  -0.257 -0.394  -0.316 -0.453  -0.375 -0.512  -0.434 -0.571  -0.493 -0.630  -0.552 -0.688  -0.611 -0.747  -0.670 -0.806  -0.726 -0.866  -0.726 -0.950  -0.726 -1.033  -0.726 -1.116  -0.726 -1.200  -0.726 -1.283  -0.726 -1.366  -0.726 -1.450  -0.726 -1.533  -0.726 -1.616
2#app#app25#app2598/s  0.359 1.484  0.288 1.413  0.216 1.342  0.145 1.270  0.062 1.228  -0.039 1.228  -0.140 1.228  -0.155 1.142  -0.155 1.041  -0.186 0.971  -0.287 0.971  -0.387 0.971  -0.412 0.894  -0.412 0.793  -0.412 0.692  -0.412 0.591  -0.412 0.491  -0.344 0.457  -0.244 0.457  -0.143 0.457  -0.042 0.457  0.059 0.457  0.102 0.399  0.102 0.298  0.104 0.198  0.175 0.127  0.247 0.056  0.318 -0.016  0.359 -0.100  0.359 -0.201  0.359 -0.301  0.359 -0.402  0.359 -0.503  0.359 -0.604  0.359 -0.705  0.359 -0.806  0.359 -0.907  0.359 -1.007  0.342 -1.101  0.270 -1.173  0.199 -1.244  0.128 -1.315  0.038 -1.341  -0.063 -1.341  -0.164 -1.341  -0.265 -1.341  -0.366 -1.341  -0.467 -1.341  -0.568 -1.341  -0.669 -1.341
2#app#app25#app2598/a  1.196 0.719  0.969 0.719  0.742 0.719  0.697 0.902  0.537 0.968  0.309 0.968  0.082 0.968  -0.050 0.874  -0.123 0.719  -0.299 0.669  -0.328 0.470  -0.555 0.470  -0.782 0.470  -1.009 0.470  -1.180 0.336  -1.296 0.157  -1.325 -0.058  -1.486 -0.218  -1.545 -0.421  -1.545 -0.648  -1.446 -0.776  -1.219 -0.776  -0.992 -0.776  -0.764 -0.776  -0.537 -0.776  -0.310 -0.776  -0.299 -0.560  -0.105 -0.527  0.122 -0.527  0.199 -0.377  0.327 -0.277  0.448 -0.172  0.507 0.031  0.668 0.191  0.883 0.221  0.947 0.384  0.947 0.611  0.947 0.600  0.878 0.402  0.717 0.241  0.697 0.022  0.521 -0.028  0.448 -0.183  0.448 -0.410  0.338 -0.527  0.199 -0.615  0.265 -0.776  0.492 -0.776  0.719 -0.776  0.947 -0.776
2#app#app25#app2598/r  0.845 1.582  0.724 1.462  0.603 1.341  0.579 1.180  0.579 1.009  0.579 0.838  0.462 0.784  0.313 0.762  0.313 0.591  0.215 0.518  0.047 0.515  0.047 0.344  -0.032 0.252  -0.203 0.252  -0.219 0.097  -0.261 -0.056  -0.382 -0.177  -0.485 -0.305  -0.485 -0.476  -0.586 -0.546  -0.751 -0.552  -0.751 -0.723  -0.833 -0.812  -1.004 -0.812  -1.017 -0.970  -1.080 -1.078  -1.251 -1.078  -1.185 -0.980  -1.065 -0.859  -0.944 -0.738  -0.823 -0.618  -0.681 -0.546  -0.510 -0.546  -0.485 -0.400  -0.435 -0.280  -0.264 -0.280  -0.130 -0.191  -0.009 -0.070  0.112 0.051  0.233 0.172  0.371 0.252  0.542 0.252  0.713 0.252  0.884 0.252  1.055 0.252  1.111 0.138  1.130 -0.014  1.301 -0.014  1.472 -0.014  1.643 -0.014
2#app#app25#app2598/e  -0.679 0.530  -0.504 0.530  -0.429 0.430  -0.405 0.280  -0.231 0.280  -0.056 0.280  0.118 0.280  0.292 0.280  0.319 0.133  0.392 0.031  0.566 0.031  0.740 0.031  0.818 0.127  0.839 0.280  1.014 0.280  1.153 0.365  1.276 0.489  1.317 0.646  1.276 0.779  1.102 0.779  0.928 0.779  0.753 0.779  0.579 0.779  0.404 0.779  0.230 0.779  0.056 0.779  -0.119 0.779  -0.260 0.699  -0.383 0.576  -0.507 0.452  -0.630 0.329  -0.784 0.280  -0.928 0.250  -0.928 0.076  -0.928 -0.099  -0.928 -0.273  -0.928 -0.447  -0.928 -0.622  -0.928 -0.796  -0.925 -0.967  -0.751 -0.967  -0.679 -1.070  -0.652 -1.217  -0.477 -1.217  -0.303 -1.217  -0.129 -1.217  0.046 -1.217  0.220 -1.217  0.394 -1.217  0.569 -1.217
2#app#app25#app2598/d  -0.331 -0.423  -0.376 -0.295  -0.550 -0.295  -0.723 -0.295  -0.897 -0.295  -1.070 -0.295  -1.202 -0.397  -1.236 -0.551  -1.356 -0.605  -1.356 -0.778  -1.228 -0.824  -1.167 -0.936  -0.993 -0.936  -0.827 -0.919  -0.704 -0.797  -0.581 -0.674  -0.458 -0.551  -0.298 -0.519  -0.164 -0.423  -0.074 -0.340  0.041 -0.237  0.193 -0.156  0.316 -0.033  0.439 0.090  0.594 0.167  0.738 0.261  0.847 0.393  0.925 0.549  1.065 0.603  1.192 0.715  1.208 0.882  1.276 0.987  1.336 1.101  1.178 1.116  1.004 1.116  0.866 1.030  0.743 0.907  0.589 0.859  0.423 0.843  0.311 0.716  0.268 0.560  0.145 0.437  0.022 0.314  -0.074 0.181  -0.074 0.007  -0.074 -0.167  -0.074 -0.340  -0.074 -0.514  0.060 -0.557  0.182 -0.680
