2#app#app32#app3290/t  0.613 1.415  0.613 1.564  0.613 1.713  0.569 1.677  0.502 1.544  0.438 1.410  0.438 1.261  0.438 1.112  0.392 0.974  0.325 0.841  0.264 0.706  0.264 0.557  0.204 0.422  0.137 0.289  0.089 0.152  0.089 0.003  0.089 -0.146  0.089 -0.295  0.089 -0.444  0.089 -0.593  0.089 -0.742  0.089 -0.891  0.089 -1.040  0.089 -1.189  0.089 -1.338  0.089 -1.487  0.034 -1.488  -0.063 -1.375  -0.160 -1.262  -0.257 -1.149  -0.353 -1.036  -0.450 -0.923  -0.547 -0.809  -0.644 -0.696  -0.741 -0.583  -0.838 -0.470  -0.935 -0.357  -0.878 -0.250  -0.770 -0.149  -0.636 -0.082  -0.503 -0.015  -0.383 0.070  -0.278 0.176  -0.136 0.194  -0.016 0.263  0.089 0.368  0.195 0.473  0.315 0.543  0.464 0.543  0.613 0.543
2#app#app32#app3290/h  -0.374 1.909  -0.441 1.777  -0.494 1.641  -0.494 1.493  -0.494 1.345  -0.494 1.197  -0.494 1.049  -0.494 0.901  -0.494 0.753  -0.494 0.604  -0.494 0.456  -0.494 0.308  -0.494 0.160  -0.494 0.012  -0.489 -0.135  -0.442 -0.276  -0.396 -0.416  -0.374 -0.561  -0.374 -0.709  -0.374 -0.857  -0.374 -1.005  -0.374 -1.153  -0.374 -1.302  -0.374 -1.182  -0.374 -1.034  -0.374 -0.886  -0.330 -0.749  -0.263 -0.616  -0.252 -0.471  -0.205 -0.330  -0.158 -0.190  -0.101 -0.053  -0.035 0.079  0.059 0.192  0.163 0.297  0.268 0.401  0.385 0.476  0.534 0.476  0.652 0.405  0.701 0.277  0.777 0.160  0.882 0.056  0.969 -0.062  1.036 -0.194  1.059 -0.337  1.059 -0.485  1.059 -0.633  1.059 -0.781  1.059 -0.929  1.059 -1.077
2#app#app32#app3290/e  -0.311 0.603  -0.179 0.603  -0.086 0.511  0.029 0.470  0.161 0.470  0.271 0.419  0.369 0.338  0.500 0.338  0.618 0.352  0.618 0.483  0.609 0.611  0.516 0.704  0.485 0.823  0.485 0.954  0.425 1.061  0.353 1.162  0.324 1.266  0.193 1.266  0.069 1.248  -0.024 1.155  -0.091 1.043  -0.149 0.925  -0.226 0.820  -0.314 0.724  -0.356 0.599  -0.397 0.475  -0.439 0.350  -0.443 0.219  -0.443 0.087  -0.526 -0.010  -0.576 -0.121  -0.576 -0.252  -0.576 -0.384  -0.576 -0.515  -0.576 -0.647  -0.576 -0.778  -0.576 -0.910  -0.538 -1.026  -0.445 -1.119  -0.315 -1.121  -0.220 -1.211  -0.107 -1.254  0.018 -1.285  0.135 -1.344  0.257 -1.386  0.388 -1.386  0.520 -1.386  0.648 -1.372  0.765 -1.313  0.883 -1.254
2#app#app32#app3290/i  0.131 0.557  0.046 0.471  -0.021 0.378  -0.021 0.257  -0.021 0.136  -0.021 0.015  -0.044 -0.100  -0.098 -0.208  -0.152 -0.316  -0.173 -0.432  -0.173 -0.553  -0.173 -0.674  -0.173 -0.794  -0.173 -0.915  -0.173 -1.036  -0.173 -1.157  -0.173 -1.278  -0.173 -1.399  -0.173 -1.519  -0.165 -1.515  -0.150 -1.395  -0.134 -1.275  -0.118 -1.156  -0.103 -1.036  -0.087 -0.916  -0.072 -0.796  -0.056 -0.676  -0.040 -0.557  -0.025 -0.437  -0.009 -0.317  0.007 -0.197  0.022 -0.077  0.038 0.043  0.054 0.162  0.069 0.282  0.085 0.402  0.100 0.522  0.116 0.642  0.132 0.761  0.147 0.881  0.163 1.001  0.179 1.121  0.194 1.241  0.210 1.361  0.225 1.480  0.241 1.600  0.257 1.720  0.272 1.840  0.252 1.928  0.131 1.928
2#app#app32#app3290/c  0.040 1.524  -0.024 1.460  -0.088 1.396  -0.153 1.331  -0.217 1.267  -0.281 1.203  -0.346 1.139  -0.399 1.066  -0.440 0.985  -0.480 0.904  -0.521 0.822  -0.521 0.731  -0.551 0.653  -0.615 0.589  -0.661 0.517  -0.661 0.426  -0.661 0.335  -0.661 0.244  -0.661 0.153  -0.661 0.062  -0.661 -0.029  -0.661 -0.120  -0.623 -0.195  -0.559 -0.259  -0.521 -0.334  -0.521 -0.425  -0.465 -0.493  -0.401 -0.557  -0.318 -0.578  -0.229 -0.584  -0.148 -0.624  -0.066 -0.665  0.015 -0.706  0.103 -0.718  0.194 -0.718  0.285 -0.718  0.376 -0.718  0.467 -0.718  0.558 -0.718  0.649 -0.718  0.739 -0.718  0.830 -0.718  0.921 -0.718  1.012 -0.718  1.079 -0.660  1.143 -0.596  1.227 -0.578  1.313 -0.566  1.377 -0.502  1.442 -0.438
2#app#app32#app3290/o  -0.743 1.264  -0.743 1.142  -0.743 1.020  -0.804 0.922  -0.883 0.833  -0.883 0.710  -0.883 0.588  -0.883 0.465  -0.883 0.343  -0.883 0.220  -0.883 0.098  -0.883 -0.025  -0.883 -0.147  -0.883 -0.270  -0.883 -0.392  -0.883 -0.515  -0.805 -0.559  -0.743 -0.619  -0.705 -0.719  -0.596 -0.773  -0.486 -0.828  -0.366 -0.840  -0.244 -0.840  -0.121 -0.840  -0.003 -0.821  0.106 -0.766  0.216 -0.711  0.335 -0.700  0.458 -0.700  0.520 -0.639  0.563 -0.559  0.678 -0.542  0.764 -0.455  0.872 -0.419  0.941 -0.365  0.966 -0.253  1.053 -0.167  1.081 -0.056  1.081 0.066  1.081 0.189  1.060 0.303  0.974 0.390  0.907 0.490  0.852 0.600  0.795 0.708  0.709 0.795  0.607 0.844  0.484 0.844  0.362 0.844  0.239 0.844
2#app#app32#app3290/n  -0.747 1.477  -0.747 1.313  -0.747 1.150  -0.747 0.987  -0.747 0.823  -0.747 0.660  -0.747 0.497  -0.747 0.333  -0.747 0.170  -0.742 0.008  -0.669 -0.138  -0.596 -0.284  -0.585 -0.445  -0.585 -0.608  -0.485 -0.730  -0.423 -0.868  -0.369 -1.009  -0.261 -1.127  -0.261 -1.291  -0.261 -1.427  -0.261 -1.264  -0.261 -1.101  -0.261 -0.937  -0.261 -0.774  -0.261 -0.611  -0.261 -0.447  -0.245 -0.291  -0.130 -0.175  -0.099 -0.025  -0.099 0.139  -0.012 0.266  0.063 0.398  0.063 0.562  0.105 0.708  0.220 0.823  0.336 0.939  0.478 0.991  0.614 0.926  0.730 0.810  0.845 0.695  0.874 0.543  0.962 0.416  1.036 0.284  1.036 0.120  1.036 -0.043  1.036 -0.206  1.081 -0.351  1.196 -0.466  1.198 -0.629  1.198 -0.792
2#app#app32#app3290/o  -0.073 1.279  -0.175 1.177  -0.278 1.075  -0.370 0.965  -0.450 0.845  -0.530 0.724  -0.594 0.599  -0.614 0.459  -0.678 0.330  -0.754 0.208  -0.854 0.106  -0.854 -0.039  -0.854 -0.183  -0.854 -0.328  -0.854 -0.472  -0.854 -0.617  -0.854 -0.761  -0.854 -0.906  -0.751 -0.986  -0.621 -1.051  -0.480 -1.064  -0.335 -1.064  -0.191 -1.064  -0.046 -1.064  0.098 -1.064  0.226 -1.025  0.333 -0.934  0.469 -0.913  0.571 -0.811  0.673 -0.709  0.803 -0.674  0.838 -0.564  0.878 -0.426  0.923 -0.289  0.969 -0.152  0.969 -0.007  0.969 0.137  0.969 0.282  0.927 0.409  0.825 0.511  0.723 0.614  0.708 0.752  0.570 0.759  0.432 0.774  0.330 0.876  0.191 0.889  0.046 0.889  -0.099 0.889  -0.231 0.861  -0.334 0.759
2#app#app32#app3290/g  0.375 0.474  0.375 0.621  0.375 0.768  0.375 0.915  0.337 1.046  0.286 1.171  0.286 1.318  0.214 1.435  0.084 1.428  0.019 1.308  -0.061 1.194  -0.164 1.091  -0.268 0.987  -0.359 0.874  -0.424 0.742  -0.465 0.612  -0.569 0.509  -0.610 0.379  -0.692 0.266  -0.692 0.119  -0.545 0.119  -0.401 0.131  -0.270 0.196  -0.162 0.293  -0.032 0.334  0.072 0.438  0.176 0.542  0.197 0.447  0.197 0.300  0.197 0.153  0.197 0.006  0.197 -0.141  0.197 -0.287  0.206 -0.432  0.271 -0.563  0.294 -0.705  0.340 -0.845  0.375 -0.986  0.380 -1.130  0.464 -1.242  0.464 -1.389  0.375 -1.447  0.262 -1.481  0.115 -1.481  -0.032 -1.481  -0.146 -1.404  -0.288 -1.392  -0.406 -1.322  -0.514 -1.272  -0.603 -1.214
2#app#app32#app3290/r  -0.303 1.366  -0.303 1.224  -0.303 1.081  -0.303 0.939  -0.303 0.796  -0.303 0.654  -0.303 0.511  -0.303 0.369  -0.303 0.226  -0.303 0.084  -0.303 -0.059  -0.303 -0.201  -0.303 -0.344  -0.303 -0.486  -0.303 -0.629  -0.303 -0.771  -0.303 -0.914  -0.303 -1.056  -0.303 -1.199  -0.303 -1.341  -0.227 -1.407  -0.105 -1.428  -0.105 -1.571  -0.105 -1.498  -0.105 -1.356  -0.105 -1.213  -0.105 -1.071  -0.105 -0.928  -0.105 -0.786  -0.105 -0.643  -0.105 -0.501  -0.105 -0.358  -0.103 -0.217  -0.002 -0.116  0.093 -0.013  0.093 0.130  0.093 0.272  0.093 0.415  0.093 0.557  0.182 0.663  0.283 0.763  0.291 0.903  0.344 1.023  0.445 1.124  0.569 1.168  0.711 1.168  0.854 1.168  0.996 1.168  1.139 1.168  1.281 1.168
2#app#app32#app3290/a  0.139 0.949  0.139 1.097  0.139 1.245  0.139 1.393  0.139 1.541  0.055 1.654  -0.016 1.677  -0.016 1.529  -0.039 1.391  -0.144 1.287  -0.171 1.150  -0.171 1.002  -0.238 0.882  -0.326 0.771  -0.326 0.623  -0.329 0.476  -0.376 0.335  -0.422 0.195  -0.469 0.055  -0.481 -0.091  -0.554 -0.209  -0.636 -0.322  -0.636 -0.470  -0.636 -0.618  -0.636 -0.766  -0.636 -0.914  -0.636 -1.061  -0.493 -1.066  -0.385 -0.970  -0.261 -0.911  -0.171 -0.854  -0.136 -0.721  -0.031 -0.616  0.073 -0.512  0.139 -0.391  0.187 -0.291  0.294 -0.250  0.318 -0.112  0.422 -0.008  0.449 -0.091  0.449 -0.238  0.449 -0.386  0.511 -0.508  0.604 -0.618  0.604 -0.765  0.606 -0.913  0.710 -1.017  0.815 -1.122  0.921 -1.221  1.069 -1.221
