3#app#app07#app0738/0  0.134 1.266  -0.002 1.246  -0.104 1.144  -0.205 1.042  -0.273 0.916  -0.342 0.790  -0.444 0.689  -0.489 0.552  -0.535 0.415  -0.589 0.282  -0.654 0.154  -0.743 0.043  -0.790 -0.081  -0.790 -0.225  -0.790 -0.369  -0.790 -0.513  -0.790 -0.657  -0.790 -0.801  -0.774 -0.929  -0.675 -0.974  -0.601 -1.044  -0.457 -1.044  -0.351 -1.137  -0.217 -1.160  -0.073 -1.160  0.056 -1.122  0.167 -1.044  0.293 -1.001  0.407 -0.929  0.551 -0.929  0.596 -0.829  0.686 -0.723  0.788 -0.621  0.827 -0.493  0.827 -0.349  0.827 -0.205  0.827 -0.061  0.827 0.083  0.775 0.215  0.711 0.344  0.690 0.479  0.591 0.583  0.527 0.712  0.452 0.833  0.365 0.941  0.330 1.070  0.219 1.151  0.075 1.151  -0.069 1.151  -0.213 1.151
3#app#app07#app0738/1  0.561 1.612  0.561 1.539  0.561 1.465  0.561 1.392  0.561 1.318  0.530 1.252  0.498 1.186  0.465 1.120  0.432 1.055  0.399 0.989  0.366 0.923  0.333 0.857  0.300 0.792  0.267 0.726  0.218 0.672  0.166 0.620  0.114 0.568  0.062 0.516  0.010 0.464  -0.036 0.410  -0.036 0.336  -0.036 0.263  -0.036 0.189  -0.036 0.115  -0.036 0.042  -0.036 -0.032  -0.036 -0.105  -0.036 -0.179  -0.087 -0.231  -0.139 -0.283  -0.191 -0.335  -0.243 -0.387  -0.295 -0.439  -0.335 -0.496  -0.335 -0.570  -0.335 -0.643  -0.335 -0.717  -0.335 -0.790  -0.335 -0.864  -0.335 -0.937  -0.335 -1.011  -0.335 -1.084  -0.335 -1.158  -0.335 -1.231  -0.335 -1.305  -0.335 -1.378  -0.335 -1.452  -0.335 -1.525  -0.335 -1.599  -0.335 -1.672
3#app#app07#app0738/  0.763 1.479  0.763 1.408  0.763 1.338  0.730 1.281  0.680 1.231  0.630 1.181  0.597 1.124  0.597 1.054  0.597 0.983  0.548 0.933  0.498 0.883  0.448 0.833  0.414 0.773  0.388 0.707  0.362 0.642  0.336 0.577  0.310 0.511  0.283 0.446  0.259 0.380  0.236 0.313  0.214 0.246  0.192 0.179  0.151 0.123  0.101 0.073  0.052 0.023  0.005 -0.029  -0.034 -0.088  -0.073 -0.147  -0.112 -0.205  -0.151 -0.264  -0.190 -0.323  -0.229 -0.381  -0.268 -0.440  -0.308 -0.499  -0.340 -0.561  -0.371 -0.624  -0.405 -0.686  -0.444 -0.745  -0.483 -0.804  -0.522 -0.862  -0.561 -0.921  -0.593 -0.984  -0.624 -1.047  -0.656 -1.110  -0.687 -1.173  -0.719 -1.237  -0.750 -1.300  -0.782 -1.363  -0.808 -1.427  -0.808 -1.498
3#app#app07#app0738/2  -0.602 0.817  -0.520 0.899  -0.437 0.982  -0.355 1.064  -0.272 1.147  -0.177 1.200  -0.070 1.222  0.013 1.304  0.120 1.327  0.237 1.327  0.353 1.327  0.419 1.276  0.419 1.159  0.419 1.043  0.410 0.928  0.358 0.824  0.306 0.719  0.291 0.606  0.240 0.511  0.157 0.428  0.075 0.346  0.008 0.252  -0.044 0.147  -0.097 0.044  -0.162 -0.053  -0.226 -0.151  -0.291 -0.248  -0.358 -0.343  -0.441 -0.425  -0.523 -0.508  -0.602 -0.592  -0.602 -0.708  -0.602 -0.825  -0.602 -0.942  -0.513 -0.969  -0.475 -1.047  -0.407 -1.097  -0.291 -1.097  -0.174 -1.097  -0.057 -1.097  0.059 -1.097  0.176 -1.097  0.292 -1.096  0.375 -1.013  0.473 -0.969  0.590 -0.969  0.674 -0.937  0.696 -0.842  0.812 -0.842  0.929 -0.842
3#app#app07#app0738/3  -0.773 0.659  -0.673 0.683  -0.640 0.792  -0.553 0.879  -0.466 0.966  -0.379 1.053  -0.260 1.065  -0.149 1.120  -0.035 1.157  0.088 1.157  0.211 1.157  0.334 1.157  0.457 1.157  0.574 1.130  0.684 1.075  0.720 0.975  0.715 0.853  0.628 0.766  0.541 0.680  0.454 0.593  0.387 0.491  0.332 0.381  0.232 0.316  0.122 0.261  0.035 0.174  -0.036 0.073  -0.104 -0.029  -0.172 -0.131  -0.280 -0.189  -0.375 -0.253  -0.375 -0.376  -0.375 -0.499  -0.313 -0.597  -0.205 -0.634  -0.110 -0.700  -0.000 -0.734  0.123 -0.734  0.222 -0.757  0.255 -0.866  0.322 -0.962  0.285 -1.069  0.187 -1.132  0.123 -1.190  0.065 -1.289  -0.041 -1.331  -0.138 -1.393  -0.246 -1.430  -0.369 -1.430  -0.458 -1.513  -0.574 -1.530
3#app#app07#app0738/  0.688 1.516  0.617 1.516  0.595 1.453  0.578 1.385  0.561 1.316  0.543 1.247  0.524 1.179  0.502 1.112  0.479 1.045  0.457 0.977  0.419 0.918  0.379 0.859  0.340 0.800  0.301 0.741  0.278 0.674  0.256 0.607  0.234 0.540  0.206 0.475  0.175 0.411  0.143 0.348  0.111 0.285  0.080 0.221  0.054 0.155  0.031 0.088  0.009 0.021  -0.018 -0.043  -0.069 -0.093  -0.119 -0.143  -0.166 -0.195  -0.189 -0.262  -0.211 -0.329  -0.233 -0.396  -0.262 -0.461  -0.293 -0.524  -0.319 -0.589  -0.319 -0.660  -0.319 -0.731  -0.351 -0.794  -0.382 -0.857  -0.414 -0.921  -0.446 -0.984  -0.474 -1.048  -0.474 -1.119  -0.474 -1.190  -0.474 -1.261  -0.474 -1.332  -0.474 -1.402  -0.506 -1.460  -0.551 -1.512  -0.551 -1.583
3#app#app07#app0738/4  -0.852 1.357  -0.731 1.303  -0.731 1.129  -0.844 1.001  -0.871 0.834  -0.949 0.678  -1.058 0.544  -1.096 0.384  -1.217 0.260  -1.217 0.085  -1.217 -0.089  -1.188 -0.252  -1.064 -0.376  -0.927 -0.466  -0.852 -0.566  -0.699 -0.587  -0.524 -0.587  -0.390 -0.685  -0.225 -0.709  -0.050 -0.709  0.125 -0.709  0.299 -0.709  0.474 -0.709  0.649 -0.709  0.727 -0.612  0.846 -0.559  0.834 -0.385  0.821 -0.210  0.809 -0.036  0.797 0.138  0.784 0.313  0.772 0.487  0.759 0.661  0.747 0.835  0.734 1.010  0.727 1.043  0.727 0.868  0.702 0.700  0.624 0.543  0.600 0.374  0.522 0.218  0.484 0.052  0.383 -0.081  0.362 -0.247  0.362 -0.422  0.270 -0.558  0.241 -0.721  0.241 -0.896  0.157 -1.036  0.119 -1.195
3#app#app07#app0738/5  0.620 1.138  0.620 1.227  0.534 1.231  0.445 1.231  0.356 1.231  0.267 1.231  0.178 1.231  0.089 1.231  0.007 1.201  -0.073 1.161  -0.156 1.138  -0.235 1.114  -0.298 1.051  -0.303 0.964  -0.303 0.875  -0.303 0.786  -0.303 0.697  -0.303 0.608  -0.303 0.519  -0.275 0.436  -0.235 0.357  -0.187 0.284  -0.124 0.221  -0.061 0.158  -0.008 0.087  0.031 0.008  0.066 -0.073  0.072 -0.160  0.135 -0.223  0.158 -0.302  0.196 -0.376  0.251 -0.442  0.251 -0.531  0.251 -0.620  0.251 -0.709  0.251 -0.798  0.251 -0.887  0.192 -0.952  0.158 -1.027  0.131 -1.104  0.068 -1.167  0.066 -1.256  -0.017 -1.262  -0.106 -1.262  -0.187 -1.296  -0.266 -1.336  -0.351 -1.354  -0.427 -1.386  -0.491 -1.446  -0.580 -1.446
3#app#app07#app0738/`  -0.827 1.451  -0.775 1.399  -0.723 1.347  -0.671 1.296  -0.620 1.244  -0.568 1.192  -0.516 1.140  -0.464 1.089  -0.413 1.037  -0.361 0.985  -0.309 0.933  -0.257 0.882  -0.206 0.830  -0.154 0.778  -0.102 0.726  -0.050 0.675  0.001 0.623  0.053 0.571  0.105 0.519  0.157 0.467  0.208 0.416  0.224 0.349  0.224 0.276  0.224 0.202  0.224 0.129  0.224 0.056  0.224 -0.017  0.224 -0.090  0.224 -0.163  0.224 -0.237  0.224 -0.310  0.224 -0.383  0.224 -0.456  0.224 -0.529  0.224 -0.603  0.224 -0.676  0.224 -0.749  0.224 -0.822  0.224 -0.895  0.224 -0.969  0.224 -1.042  0.224 -1.115  0.224 -1.188  0.224 -1.261  0.224 -1.335  0.224 -1.408  0.224 -1.481  0.224 -1.554  0.224 -1.627  0.224 -1.701
3#app#app07#app0738/i  -0.265 0.043  -0.371 0.043  -0.447 -0.029  -0.522 -0.104  -0.597 -0.179  -0.672 -0.254  -0.747 -0.329  -0.817 -0.406  -0.817 -0.512  -0.817 -0.618  -0.817 -0.724  -0.745 -0.801  -0.670 -0.876  -0.595 -0.950  -0.489 -0.950  -0.383 -0.950  -0.306 -1.019  -0.217 -1.061  -0.111 -1.061  -0.005 -1.061  0.101 -1.061  0.180 -1.030  0.193 -0.925  0.205 -0.820  0.218 -0.714  0.231 -0.609  0.243 -0.504  0.256 -0.399  0.268 -0.293  0.281 -0.188  0.294 -0.083  0.306 0.022  0.319 0.128  0.332 0.233  0.344 0.338  0.357 0.443  0.370 0.549  0.382 0.654  0.395 0.759  0.407 0.864  0.420 0.970  0.433 1.075  0.445 1.180  0.458 1.285  0.471 1.391  0.483 1.496  0.496 1.601  0.507 1.706  0.507 1.812  0.507 1.918
3#app#app07#app0738/s  0.483 1.486  0.483 1.379  0.395 1.359  0.356 1.292  0.308 1.233  0.201 1.233  0.094 1.233  -0.013 1.233  -0.092 1.165  -0.174 1.106  -0.278 1.103  -0.278 0.996  -0.342 0.915  -0.404 0.834  -0.404 0.727  -0.330 0.651  -0.278 0.566  -0.268 0.463  -0.192 0.387  -0.117 0.312  -0.041 0.236  0.050 0.182  0.146 0.134  0.229 0.079  0.229 -0.028  0.301 -0.106  0.376 -0.181  0.452 -0.257  0.527 -0.332  0.603 -0.408  0.609 -0.512  0.609 -0.619  0.551 -0.668  0.483 -0.707  0.464 -0.794  0.357 -0.794  0.281 -0.870  0.195 -0.921  0.090 -0.928  -0.006 -0.975  -0.102 -1.023  -0.203 -1.048  -0.308 -1.058  -0.410 -1.092  -0.511 -1.126  -0.612 -1.159  -0.717 -1.175  -0.824 -1.175  -0.931 -1.175  -1.038 -1.175
