2#app#app32#app3219/b  0.226 1.837  0.205 1.968  0.053 1.968  -0.036 1.905  -0.036 1.753  -0.036 1.601  -0.036 1.449  -0.036 1.297  -0.036 1.145  -0.036 0.993  -0.036 0.841  -0.036 0.689  -0.036 0.537  -0.036 0.385  -0.058 0.242  -0.166 0.134  -0.203 -0.013  -0.240 -0.160  -0.277 -0.308  -0.298 -0.457  -0.298 -0.609  -0.374 -0.729  -0.429 -0.859  -0.497 -0.983  -0.560 -0.983  -0.500 -0.855  -0.429 -0.733  -0.429 -0.581  -0.363 -0.456  -0.256 -0.349  -0.167 -0.234  -0.133 -0.095  -0.026 0.012  0.082 0.120  0.228 0.133  0.380 0.133  0.489 0.090  0.489 -0.062  0.489 -0.214  0.489 -0.366  0.489 -0.518  0.489 -0.670  0.489 -0.822  0.489 -0.974  0.408 -1.046  0.286 -1.117  0.226 -1.245  0.137 -1.308  -0.015 -1.308  -0.036 -1.177
2#app#app32#app3219/e  -0.737 -0.546  -0.737 -0.373  -0.737 -0.200  -0.665 -0.099  -0.513 -0.077  -0.513 0.097  -0.368 0.125  -0.195 0.125  -0.066 0.169  -0.066 0.342  0.101 0.349  0.275 0.349  0.429 0.396  0.551 0.518  0.674 0.641  0.796 0.763  0.919 0.886  1.042 1.008  1.053 1.177  0.947 1.244  0.773 1.244  0.602 1.240  0.479 1.117  0.350 1.004  0.195 0.927  0.040 0.849  -0.066 0.741  -0.069 0.569  -0.192 0.446  -0.314 0.324  -0.437 0.201  -0.579 0.125  -0.737 0.110  -0.737 -0.063  -0.737 -0.237  -0.737 -0.410  -0.737 -0.583  -0.737 -0.757  -0.737 -0.930  -0.627 -0.994  -0.460 -1.020  -0.305 -1.098  -0.150 -1.175  0.013 -1.218  0.186 -1.218  0.360 -1.218  0.533 -1.218  0.706 -1.218  0.880 -1.218  1.053 -1.218
2#app#app32#app3219/d  0.101 -0.381  -0.068 -0.347  -0.210 -0.247  -0.394 -0.247  -0.577 -0.247  -0.761 -0.247  -0.914 -0.322  -1.073 -0.381  -1.107 -0.531  -1.107 -0.714  -1.107 -0.898  -0.992 -1.034  -0.862 -1.164  -0.688 -1.187  -0.504 -1.187  -0.436 -1.072  -0.280 -1.031  -0.150 -0.902  -0.025 -0.768  0.057 -0.604  0.101 -0.431  0.144 -0.254  0.202 -0.080  0.236 0.098  0.236 0.282  0.236 0.465  0.276 0.639  0.358 0.803  0.370 0.984  0.370 1.168  0.370 1.351  0.370 1.535  0.309 1.693  0.236 1.686  0.236 1.503  0.236 1.319  0.236 1.136  0.236 0.952  0.236 0.768  0.236 0.585  0.236 0.401  0.236 0.218  0.322 0.070  0.421 -0.082  0.504 -0.246  0.633 -0.376  0.763 -0.506  0.808 -0.650  0.907 -0.735  1.041 -0.784
2#app#app32#app3219/.  0.431 -0.580  0.431 -0.453  0.431 -0.326  0.431 -0.199  0.431 -0.072  0.367 0.029  0.277 0.118  0.188 0.208  0.098 0.298  0.008 0.388  -0.082 0.478  -0.115 0.591  -0.115 0.718  -0.115 0.845  -0.115 0.972  -0.115 1.099  -0.115 1.226  -0.115 1.354  -0.115 1.481  -0.115 1.595  -0.115 1.468  -0.115 1.341  -0.115 1.214  -0.115 1.087  -0.115 0.960  -0.115 0.833  -0.115 0.706  -0.115 0.579  -0.115 0.451  -0.115 0.324  -0.115 0.197  -0.115 0.070  -0.115 -0.057  -0.115 -0.184  -0.115 -0.311  -0.115 -0.438  -0.115 -0.565  -0.115 -0.692  -0.115 -0.819  -0.115 -0.946  -0.115 -1.073  -0.115 -1.200  -0.115 -1.327  -0.115 -1.454  -0.115 -1.581  -0.077 -1.671  0.050 -1.671  0.177 -1.671  0.304 -1.671  0.431 -1.671
2#app#app32#app3219/H  -0.339 1.080  -0.225 1.225  -0.225 1.486  -0.266 1.572  -0.339 1.329  -0.339 1.069  -0.339 0.809  -0.339 0.549  -0.437 0.312  -0.508 0.062  -0.569 -0.190  -0.586 -0.446  -0.684 -0.683  -0.684 -0.943  -0.781 -1.180  -0.798 -1.436  -0.789 -1.652  -0.683 -1.414  -0.578 -1.177  -0.472 -0.939  -0.367 -0.702  -0.261 -0.464  -0.155 -0.226  -0.050 0.011  0.056 0.249  0.162 0.487  0.267 0.724  0.373 0.962  0.478 1.200  0.578 1.410  0.578 1.150  0.578 0.890  0.578 0.630  0.585 0.371  0.667 0.125  0.693 -0.131  0.693 -0.391  0.749 -0.638  0.818 -0.880  0.922 -1.097  0.708 -0.957  0.492 -0.812  0.275 -0.668  0.059 -0.524  -0.167 -0.411  -0.225 -0.209  -0.060 -0.017  0.058 0.162  0.318 0.162  0.578 0.162
2#app#app32#app3219/e  -1.037 -0.280  -1.037 -0.106  -0.922 0.021  -0.798 0.145  -0.675 0.269  -0.505 0.280  -0.373 0.384  -0.233 0.467  -0.058 0.467  0.113 0.481  0.270 0.560  0.426 0.638  0.597 0.653  0.772 0.653  0.946 0.653  1.121 0.653  1.296 0.653  1.311 0.653  1.137 0.653  0.962 0.653  0.787 0.653  0.612 0.653  0.438 0.653  0.263 0.653  0.088 0.653  -0.086 0.653  -0.215 0.542  -0.359 0.467  -0.527 0.441  -0.684 0.363  -0.840 0.285  -0.923 0.134  -1.001 -0.022  -1.037 -0.189  -0.978 -0.339  -0.855 -0.463  -0.850 -0.636  -0.694 -0.654  -0.561 -0.756  -0.422 -0.841  -0.259 -0.871  -0.136 -0.995  0.025 -1.027  0.200 -1.027  0.375 -1.027  0.540 -1.069  0.696 -1.147  0.855 -1.214  1.029 -1.214  1.204 -1.214
2#app#app32#app3219/h  -0.184 2.063  -0.242 1.946  -0.301 1.829  -0.305 1.700  -0.309 1.570  -0.367 1.453  -0.426 1.336  -0.426 1.206  -0.426 1.075  -0.426 0.945  -0.426 0.814  -0.426 0.684  -0.426 0.553  -0.426 0.423  -0.426 0.292  -0.426 0.161  -0.426 0.031  -0.426 -0.100  -0.426 -0.230  -0.341 -0.326  -0.305 -0.441  -0.305 -0.572  -0.305 -0.702  -0.305 -0.833  -0.305 -0.963  -0.215 -0.878  -0.184 -0.760  -0.117 -0.658  -0.024 -0.565  0.059 -0.469  0.075 -0.345  0.167 -0.253  0.180 -0.128  0.266 -0.033  0.301 0.083  0.391 0.123  0.422 0.024  0.422 -0.107  0.422 -0.238  0.422 -0.368  0.422 -0.499  0.440 -0.622  0.533 -0.714  0.543 -0.840  0.547 -0.967  0.665 -0.980  0.680 -1.104  0.773 -1.197  0.898 -1.210  1.028 -1.210
2#app#app32#app3219/o  0.478 0.179  0.325 0.179  0.172 0.179  0.019 0.179  -0.134 0.179  -0.287 0.179  -0.440 0.179  -0.593 0.179  -0.691 0.124  -0.691 -0.029  -0.691 -0.182  -0.691 -0.335  -0.691 -0.488  -0.650 -0.600  -0.497 -0.600  -0.344 -0.600  -0.301 -0.711  -0.301 -0.864  -0.282 -1.009  -0.174 -1.117  -0.066 -1.225  0.043 -1.333  0.177 -1.380  0.330 -1.380  0.478 -1.375  0.478 -1.222  0.478 -1.069  0.478 -0.916  0.478 -0.763  0.478 -0.610  0.478 -0.457  0.478 -0.304  0.478 -0.151  0.478 0.002  0.478 0.155  0.478 0.308  0.478 0.461  0.446 0.601  0.338 0.709  0.230 0.817  0.122 0.925  0.014 1.034  -0.095 1.142  -0.203 1.250  -0.301 1.363  -0.301 1.516  -0.301 1.669  -0.217 1.738  -0.064 1.738  0.089 1.738
2#app#app32#app3219/p  0.342 1.166  0.307 0.998  0.209 0.857  0.209 0.674  0.109 0.533  0.075 0.365  0.075 0.182  0.031 0.010  -0.051 -0.153  -0.058 -0.333  -0.058 -0.516  -0.116 -0.684  -0.191 -0.849  -0.237 -1.013  -0.325 -1.159  -0.325 -1.341  -0.435 -1.478  -0.458 -1.650  -0.523 -1.768  -0.591 -1.653  -0.518 -1.488  -0.458 -1.320  -0.458 -1.138  -0.458 -0.955  -0.431 -0.779  -0.349 -0.616  -0.325 -0.439  -0.305 -0.262  -0.224 -0.099  -0.142 0.065  -0.060 0.228  -0.058 0.410  -0.017 0.582  0.065 0.745  0.075 0.925  0.109 1.100  0.190 1.263  0.272 1.426  0.368 1.566  0.475 1.492  0.475 1.309  0.475 1.127  0.475 0.945  0.475 0.762  0.475 0.580  0.475 0.397  0.468 0.217  0.386 0.054  0.342 -0.118  0.209 -0.167
2#app#app32#app3219/e  -0.405 -0.284  -0.265 -0.284  -0.124 -0.284  0.017 -0.284  0.158 -0.284  0.298 -0.284  0.439 -0.284  0.541 -0.190  0.640 -0.091  0.740 0.009  0.839 0.108  0.873 0.235  0.873 0.376  0.873 0.517  0.833 0.648  0.770 0.774  0.707 0.900  0.635 1.019  0.535 1.118  0.431 1.207  0.290 1.207  0.150 1.207  0.009 1.207  -0.132 1.207  -0.249 1.150  -0.349 1.050  -0.405 0.933  -0.405 0.792  -0.496 0.690  -0.596 0.590  -0.618 0.459  -0.618 0.318  -0.618 0.177  -0.618 0.036  -0.618 -0.104  -0.618 -0.245  -0.618 -0.386  -0.618 -0.526  -0.618 -0.667  -0.618 -0.808  -0.600 -0.941  -0.501 -1.041  -0.401 -1.140  -0.302 -1.240  -0.202 -1.339  -0.066 -1.349  0.069 -1.374  0.195 -1.437  0.321 -1.499  0.447 -1.562
2#app#app32#app3219/d  0.080 -0.580  -0.093 -0.580  -0.266 -0.580  -0.439 -0.580  -0.511 -0.681  -0.549 -0.816  -0.629 -0.909  -0.629 -1.082  -0.569 -1.230  -0.420 -1.288  -0.289 -1.185  -0.167 -1.063  -0.157 -0.894  -0.089 -0.749  -0.039 -0.597  0.011 -0.432  0.065 -0.268  0.080 -0.097  0.080 0.076  0.080 0.249  0.080 0.422  0.080 0.595  0.080 0.768  0.080 0.941  0.130 1.105  0.184 1.270  0.198 1.440  0.198 1.613  0.198 1.786  0.198 1.839  0.198 1.666  0.122 1.511  0.080 1.348  0.080 1.175  0.080 1.002  0.080 0.829  0.080 0.656  0.080 0.483  0.080 0.310  0.080 0.137  0.080 -0.036  0.080 -0.209  0.080 -0.382  0.109 -0.550  0.164 -0.714  0.198 -0.881  0.198 -1.054  0.238 -1.210  0.379 -1.288  0.552 -1.288
2#app#app32#app3219/h  0.153 0.942  0.172 1.097  0.287 1.212  0.290 1.374  0.290 1.537  0.213 1.624  0.153 1.727  0.024 1.760  0.017 1.604  0.017 1.441  -0.006 1.282  -0.057 1.128  -0.109 0.973  -0.119 0.812  -0.119 0.649  -0.119 0.486  -0.119 0.323  -0.190 0.190  -0.256 0.054  -0.256 -0.109  -0.256 -0.272  -0.256 -0.435  -0.284 -0.586  -0.392 -0.704  -0.392 -0.867  -0.392 -1.030  -0.455 -1.167  -0.528 -1.299  -0.528 -1.290  -0.449 -1.160  -0.392 -1.020  -0.343 -0.869  -0.270 -0.723  -0.256 -0.564  -0.145 -0.447  -0.030 -0.332  0.017 -0.188  0.104 -0.061  0.220 0.054  0.290 0.060  0.290 -0.103  0.290 -0.266  0.290 -0.428  0.290 -0.591  0.332 -0.737  0.426 -0.861  0.483 -0.967  0.562 -1.050  0.672 -1.103  0.835 -1.103
