3#app#app35#app3564/w  -1.356 1.303  -1.356 1.131  -1.304 0.971  -1.243 0.814  -1.243 0.641  -1.133 0.515  -1.055 0.362  -1.017 0.199  -0.994 0.036  -0.884 -0.094  -0.807 -0.248  -0.695 -0.376  -0.653 -0.531  -0.565 -0.667  -0.490 -0.807  -0.446 -0.959  -0.339 -0.894  -0.339 -0.722  -0.339 -0.550  -0.339 -0.378  -0.339 -0.206  -0.324 -0.040  -0.226 0.091  -0.226 0.263  -0.199 0.425  -0.063 0.511  0.109 0.511  0.251 0.463  0.328 0.309  0.363 0.149  0.453 0.015  0.453 -0.157  0.568 -0.282  0.679 -0.408  0.679 -0.580  0.773 -0.713  0.895 -0.835  1.016 -0.957  1.018 -0.789  1.018 -0.617  1.018 -0.445  1.018 -0.273  0.989 -0.108  0.912 0.046  0.905 0.216  0.905 0.389  0.905 0.561  0.905 0.733  0.905 0.905  0.905 1.077
3#app#app35#app3564/a  0.261 0.578  0.302 0.714  0.397 0.796  0.397 0.973  0.397 1.151  0.348 1.308  0.207 1.395  0.030 1.395  -0.108 1.299  -0.233 1.174  -0.359 1.048  -0.484 0.923  -0.609 0.798  -0.712 0.658  -0.768 0.490  -0.824 0.321  -0.846 0.152  -0.965 0.024  -0.965 -0.153  -0.965 -0.331  -0.965 -0.508  -0.965 -0.685  -0.910 -0.840  -0.829 -0.983  -0.726 -1.057  -0.564 -1.122  -0.403 -1.193  -0.226 -1.193  -0.148 -1.094  -0.009 -1.054  0.117 -0.929  0.242 -0.803  0.271 -0.638  0.397 -0.513  0.397 -0.336  0.423 -0.162  0.479 0.006  0.533 0.174  0.533 0.352  0.533 0.529  0.533 0.449  0.533 0.272  0.586 0.116  0.669 -0.026  0.669 -0.204  0.673 -0.379  0.798 -0.505  0.827 -0.670  0.953 -0.796  1.078 -0.921
3#app#app35#app3564/n  -0.836 0.974  -0.836 0.819  -0.836 0.664  -0.836 0.509  -0.836 0.355  -0.836 0.200  -0.791 0.056  -0.722 -0.083  -0.698 -0.232  -0.698 -0.387  -0.698 -0.542  -0.591 -0.652  -0.560 -0.794  -0.560 -0.949  -0.560 -1.104  -0.560 -1.210  -0.560 -1.055  -0.560 -0.900  -0.560 -0.746  -0.560 -0.591  -0.560 -0.436  -0.472 -0.318  -0.422 -0.184  -0.422 -0.029  -0.339 0.091  -0.284 0.224  -0.284 0.378  -0.205 0.501  -0.096 0.610  -0.008 0.728  0.025 0.869  0.137 0.974  0.292 0.974  0.446 0.974  0.601 0.974  0.734 0.921  0.820 0.802  0.856 0.662  0.958 0.549  0.977 0.403  1.086 0.293  1.096 0.142  1.096 -0.013  1.096 -0.167  1.096 -0.322  1.096 -0.477  1.096 -0.632  1.096 -0.787  1.096 -0.941  1.096 -1.096
3#app#app35#app3564/t  -0.227 2.049  -0.102 2.034  -0.081 1.902  0.019 1.803  0.024 1.665  0.024 1.524  0.024 1.384  0.024 1.243  0.040 1.105  0.074 0.968  0.108 0.832  0.142 0.696  0.149 0.556  0.149 0.416  0.149 0.275  0.149 0.135  0.149 -0.006  0.149 -0.146  0.149 -0.287  0.149 -0.427  0.224 -0.537  0.275 -0.656  0.275 -0.797  0.275 -0.937  0.275 -1.078  0.275 -1.218  0.275 -1.359  0.253 -1.443  0.160 -1.338  0.067 -1.233  -0.027 -1.128  -0.120 -1.023  -0.213 -0.918  -0.307 -0.813  -0.400 -0.708  -0.493 -0.603  -0.587 -0.498  -0.680 -0.393  -0.730 -0.271  -0.649 -0.211  -0.509 -0.211  -0.401 -0.133  -0.280 -0.086  -0.139 -0.086  0.001 -0.086  0.142 -0.086  0.243 0.008  0.371 0.040  0.511 0.040  0.652 0.040
3#app#app35#app3564/e  -0.624 -0.543  -0.598 -0.410  -0.491 -0.357  -0.412 -0.277  -0.358 -0.171  -0.265 -0.051  -0.122 -0.011  0.037 -0.011  0.151 0.099  0.301 0.122  0.415 0.231  0.564 0.255  0.679 0.362  0.828 0.388  0.854 0.521  0.970 0.564  0.970 0.723  0.970 0.882  0.970 1.041  0.826 1.063  0.714 1.176  0.558 1.185  0.399 1.185  0.259 1.138  0.135 1.052  -0.005 1.007  -0.124 0.903  -0.267 0.832  -0.399 0.746  -0.491 0.625  -0.530 0.482  -0.636 0.364  -0.707 0.222  -0.757 0.074  -0.757 -0.085  -0.757 -0.244  -0.757 -0.403  -0.757 -0.563  -0.724 -0.708  -0.616 -0.824  -0.545 -0.967  -0.456 -1.092  -0.314 -1.163  -0.165 -1.207  -0.005 -1.207  0.121 -1.287  0.258 -1.340  0.406 -1.390  0.548 -1.461  0.705 -1.473
3#app#app35#app3564/d  0.363 -0.066  0.226 0.072  0.046 0.108  -0.148 0.108  -0.339 0.099  -0.477 -0.038  -0.591 -0.186  -0.716 -0.277  -0.821 -0.439  -0.852 -0.626  -0.852 -0.821  -0.852 -1.015  -0.765 -1.174  -0.677 -1.281  -0.514 -1.358  -0.324 -1.368  -0.129 -1.368  0.065 -1.368  0.188 -1.247  0.177 -1.053  0.166 -0.858  0.156 -0.664  0.145 -0.470  0.134 -0.275  0.123 -0.081  0.112 0.113  0.102 0.307  0.091 0.502  0.080 0.696  0.069 0.890  0.058 1.085  0.048 1.279  0.037 1.473  0.026 1.668  0.016 1.826  0.044 1.643  0.103 1.472  0.194 1.315  0.277 1.140  0.277 0.945  0.339 0.765  0.363 0.576  0.450 0.418  0.450 0.223  0.469 0.031  0.517 -0.158  0.537 -0.350  0.537 -0.544  0.537 -0.739  0.537 -0.934
3#app#app35#app3564/p  -0.198 0.933  -0.288 0.964  -0.198 0.815  -0.198 0.629  -0.198 0.442  -0.165 0.259  -0.120 0.078  -0.108 -0.107  -0.108 -0.293  -0.108 -0.480  -0.108 -0.666  -0.108 -0.853  -0.108 -1.039  -0.108 -1.226  -0.108 -1.412  -0.108 -1.599  -0.108 -1.786  -0.198 -1.858  -0.198 -1.671  -0.234 -1.491  -0.288 -1.313  -0.288 -1.126  -0.288 -0.940  -0.288 -0.753  -0.288 -0.567  -0.288 -0.380  -0.288 -0.194  -0.288 -0.007  -0.241 0.172  -0.198 0.351  -0.198 0.538  -0.198 0.724  -0.127 0.894  -0.108 1.076  -0.041 1.247  0.079 1.385  0.266 1.385  0.452 1.385  0.542 1.278  0.698 1.204  0.745 1.035  0.796 0.860  0.796 0.674  0.737 0.512  0.605 0.380  0.460 0.267  0.287 0.209  0.145 0.101  -0.011 0.029  -0.108 -0.062
3#app#app35#app3564/i  -0.190 0.046  -0.190 -0.059  -0.190 -0.165  -0.190 -0.270  -0.190 -0.375  -0.166 -0.470  -0.092 -0.545  -0.067 -0.640  -0.067 -0.745  -0.067 -0.850  -0.067 -0.955  -0.067 -1.060  -0.067 -1.166  0.018 -1.187  0.057 -1.253  0.057 -1.358  0.057 -1.403  0.057 -1.298  0.057 -1.193  0.057 -1.087  0.057 -0.982  0.057 -0.877  0.057 -0.772  0.057 -0.667  0.057 -0.561  0.057 -0.456  0.057 -0.351  0.057 -0.246  0.057 -0.141  0.057 -0.035  0.057 0.070  0.057 0.175  0.057 0.280  0.057 0.386  0.057 0.491  0.057 0.596  0.057 0.701  0.057 0.806  0.057 0.912  0.057 1.017  0.057 1.122  0.057 1.227  0.057 1.332  0.057 1.438  0.057 1.543  0.057 1.648  0.057 1.753  -0.005 1.833  -0.085 1.895  -0.190 1.895
3#app#app35#app3564/n  -0.860 0.612  -0.860 0.472  -0.860 0.331  -0.860 0.191  -0.860 0.051  -0.860 -0.090  -0.774 -0.195  -0.740 -0.321  -0.740 -0.461  -0.740 -0.602  -0.740 -0.742  -0.740 -0.883  -0.740 -1.023  -0.740 -0.978  -0.740 -0.837  -0.740 -0.697  -0.716 -0.566  -0.620 -0.466  -0.620 -0.325  -0.588 -0.198  -0.493 -0.096  -0.430 0.030  -0.379 0.158  -0.379 0.299  -0.349 0.432  -0.286 0.558  -0.224 0.683  -0.161 0.809  -0.074 0.917  0.043 0.973  0.183 0.973  0.324 0.973  0.464 0.971  0.563 0.872  0.582 0.740  0.702 0.673  0.823 0.607  0.823 0.467  0.855 0.340  0.948 0.237  0.992 0.104  1.037 -0.030  1.089 -0.160  1.151 -0.285  1.183 -0.418  1.183 -0.559  1.183 -0.699  1.190 -0.837  1.289 -0.936  1.304 -1.070
3#app#app35#app3564/k  -0.840 2.101  -0.840 1.913  -0.829 1.730  -0.750 1.574  -0.750 1.387  -0.750 1.199  -0.705 1.021  -0.660 0.844  -0.630 0.661  -0.571 0.483  -0.570 0.295  -0.570 0.107  -0.563 -0.080  -0.504 -0.258  -0.480 -0.442  -0.480 -0.630  -0.480 -0.818  -0.480 -1.006  -0.388 -0.939  -0.267 -0.795  -0.147 -0.651  -0.027 -0.506  0.093 -0.362  0.214 -0.217  0.334 -0.073  0.454 0.071  0.575 0.216  0.695 0.360  0.815 0.504  0.798 0.499  0.729 0.339  0.596 0.206  0.447 0.099  0.269 0.040  0.150 -0.090  0.033 -0.177  -0.129 -0.240  -0.285 -0.315  -0.313 -0.330  -0.210 -0.415  -0.054 -0.485  0.105 -0.555  0.268 -0.639  0.448 -0.690  0.635 -0.690  0.786 -0.780  0.974 -0.780  1.129 -0.859  1.313 -0.870  1.411 -0.960
3#app#app35#app3564/y  -0.775 1.165  -0.775 1.320  -0.827 1.192  -0.854 1.049  -0.854 0.893  -0.844 0.740  -0.795 0.593  -0.775 0.441  -0.767 0.289  -0.696 0.163  -0.617 0.041  -0.527 -0.030  -0.400 -0.098  -0.245 -0.098  -0.090 -0.098  -0.013 -0.019  0.094 0.075  0.158 0.203  0.212 0.336  0.252 0.475  0.320 0.602  0.375 0.745  0.410 0.895  0.410 1.050  0.410 1.126  0.446 1.007  0.488 0.894  0.488 0.739  0.564 0.616  0.567 0.462  0.567 0.307  0.597 0.158  0.646 0.015  0.646 -0.140  0.646 -0.295  0.646 -0.450  0.632 -0.602  0.567 -0.742  0.561 -0.894  0.488 -1.019  0.398 -1.137  0.288 -1.246  0.162 -1.305  0.090 -1.441  -0.065 -1.441  -0.220 -1.441  -0.353 -1.388  -0.459 -1.323  -0.563 -1.258  -0.617 -1.125
