2#tos#f2#f2025065/\"  -0.096 1.747  -0.266 1.747  -0.437 1.747  -0.466 1.606  -0.466 1.436  -0.466 1.265  -0.466 1.094  -0.466 0.924  -0.466 0.753  -0.466 0.583  -0.466 0.412  -0.466 0.242  -0.466 0.071  -0.466 -0.100  -0.466 -0.270  -0.466 -0.441  -0.466 -0.611  -0.466 -0.782  -0.466 -0.953  -0.466 -1.123  -0.466 -1.294  -0.403 -1.402  -0.233 -1.402  -0.062 -1.402  0.090 -1.383  0.090 -1.212  0.090 -1.042  0.090 -0.871  0.090 -0.701  0.090 -0.530  0.090 -0.359  0.090 -0.189  0.090 -0.018  0.162 0.080  0.289 0.136  0.330 0.302  0.372 0.467  0.413 0.632  0.454 0.798  0.607 0.821  0.645 0.689  0.645 0.519  0.645 0.348  0.645 0.178  0.645 0.007  0.645 -0.164  0.645 -0.334  0.645 -0.505  0.645 -0.675  0.645 -0.846
2#tos#f2#f2025065/$  0.572 0.809  0.440 0.933  0.185 0.933  -0.071 0.933  -0.299 0.847  -0.429 0.648  -0.540 0.432  -0.648 0.206  -0.723 0.017  -0.477 0.008  -0.221 0.008  0.034 0.008  0.275 -0.054  0.486 -0.127  0.634 -0.301  0.634 -0.556  0.578 -0.788  0.387 -0.942  0.206 -1.100  -0.035 -1.164  -0.276 -1.226  -0.531 -1.226  -0.473 -0.986  -0.406 -0.739  -0.339 -0.492  -0.272 -0.246  -0.205 0.001  -0.139 0.248  -0.072 0.494  -0.005 0.741  0.062 0.987  0.129 1.234  0.195 1.481  0.262 1.727  0.017 1.733  0.017 1.478  0.017 1.222  0.017 0.967  0.079 0.721  0.079 0.466  0.079 0.210  0.079 -0.045  0.079 -0.301  0.079 -0.556  0.079 -0.812  0.079 -1.067  0.079 -1.323  0.079 -1.578  0.079 -1.834  0.141 -2.028
2#tos#f2#f2025065/&  1.086 -0.462  0.922 -0.530  0.922 -0.763  0.772 -0.845  0.558 -0.785  0.395 -0.681  0.181 -0.607  0.007 -0.459  -0.111 -0.259  -0.225 -0.057  -0.323 0.152  -0.338 0.382  -0.338 0.615  -0.338 0.847  -0.338 1.080  -0.338 1.312  -0.236 1.502  -0.103 1.690  0.113 1.729  0.155 1.538  0.100 1.315  0.008 1.113  -0.086 0.907  -0.153 0.687  -0.272 0.487  -0.318 0.261  -0.405 0.052  -0.538 -0.138  -0.658 -0.338  -0.777 -0.537  -0.831 -0.755  -0.879 -0.981  -0.886 -1.213  -0.833 -1.393  -0.601 -1.390  -0.380 -1.326  -0.253 -1.138  -0.143 -0.936  -0.064 -0.719  -0.064 -0.487  0.058 -0.315  0.197 -0.139  0.265 0.080  0.342 0.295  0.374 0.520  0.590 0.471  0.734 0.305  0.873 0.134  1.038 -0.030  1.141 -0.188
2#tos#f2#f2025065/(  -0.022 1.559  -0.098 1.559  -0.142 1.527  -0.190 1.499  -0.202 1.435  -0.217 1.365  -0.262 1.308  -0.262 1.231  -0.262 1.155  -0.262 1.079  -0.262 1.003  -0.262 0.927  -0.262 0.851  -0.262 0.775  -0.262 0.699  -0.262 0.623  -0.262 0.547  -0.262 0.471  -0.243 0.403  -0.202 0.344  -0.202 0.268  -0.202 0.192  -0.202 0.116  -0.186 0.046  -0.132 -0.007  -0.082 -0.063  -0.082 -0.139  -0.082 -0.215  -0.058 -0.285  -0.024 -0.353  0.010 -0.421  0.038 -0.491  0.059 -0.558  0.098 -0.618  0.098 -0.694  0.098 -0.770  0.107 -0.836  0.157 -0.862  0.181 -0.931  0.223 -0.994  0.265 -1.058  0.316 -1.114  0.369 -1.168  0.397 -1.232  0.450 -1.255  0.517 -1.265  0.517 -1.341  0.554 -1.394  0.622 -1.428  0.636 -1.495
2#tos#f2#f2025065/+  -0.580 0.475  -0.666 0.324  -0.839 0.280  -1.001 0.214  -1.144 0.107  -1.297 0.030  -1.168 0.030  -0.989 0.030  -0.811 0.030  -0.632 0.030  -0.454 0.030  -0.277 0.046  -0.102 0.081  0.057 0.147  0.192 0.252  0.370 0.252  0.548 0.252  0.727 0.252  0.905 0.252  1.084 0.252  1.151 0.289  1.007 0.394  0.864 0.500  0.720 0.605  0.576 0.711  0.432 0.816  0.288 0.922  0.144 1.028  -0.021 1.068  -0.200 1.068  -0.134 1.122  -0.134 0.943  -0.065 0.781  -0.037 0.606  0.006 0.433  0.014 0.256  0.014 0.077  0.014 -0.101  0.014 -0.280  0.014 -0.458  0.037 -0.633  0.088 -0.803  0.088 -0.982  0.088 -1.160  0.088 -1.338  0.116 -1.510  0.196 -1.670  0.236 -1.839  0.236 -2.017  0.236 -2.196
2#tos#f2#f2025065/,  0.277 1.617  0.277 1.530  0.277 1.443  0.277 1.357  0.277 1.270  0.277 1.183  0.260 1.114  0.173 1.114  0.087 1.114  0.026 1.088  0.026 1.002  0.026 0.915  0.026 0.828  0.026 0.742  0.026 0.655  0.068 0.611  0.155 0.611  0.241 0.611  0.277 0.560  0.277 0.473  0.277 0.387  0.277 0.300  0.277 0.213  0.277 0.127  0.277 0.040  0.277 -0.047  0.277 -0.133  0.277 -0.220  0.277 -0.307  0.277 -0.393  0.217 -0.455  0.155 -0.516  0.094 -0.578  0.033 -0.639  0.026 -0.723  0.026 -0.809  0.026 -0.896  -0.050 -0.936  -0.128 -0.975  -0.205 -1.013  -0.283 -1.052  -0.360 -1.091  -0.438 -1.130  -0.515 -1.168  -0.593 -1.207  -0.670 -1.246  -0.748 -1.285  -0.825 -1.323  -0.903 -1.362  -0.980 -1.401
2#tos#f2#f2025065/  0.855 1.361  0.783 1.361  0.710 1.361  0.689 1.310  0.616 1.310  0.576 1.258  0.542 1.195  0.502 1.134  0.461 1.074  0.421 1.014  0.381 0.954  0.346 0.892  0.335 0.820  0.323 0.749  0.311 0.677  0.299 0.606  0.271 0.540  0.241 0.474  0.212 0.407  0.182 0.341  0.153 0.275  0.124 0.209  0.094 0.143  0.048 0.087  0.003 0.030  -0.042 -0.026  -0.087 -0.083  -0.115 -0.147  -0.129 -0.218  -0.143 -0.289  -0.157 -0.360  -0.208 -0.411  -0.260 -0.462  -0.310 -0.514  -0.337 -0.581  -0.364 -0.648  -0.391 -0.716  -0.415 -0.783  -0.433 -0.854  -0.450 -0.924  -0.461 -0.995  -0.461 -1.067  -0.479 -1.129  -0.544 -1.161  -0.579 -1.219  -0.602 -1.288  -0.613 -1.358  -0.620 -1.423  -0.664 -1.452  -0.613 -1.474
2#tos#f2#f2025065/;  -0.043 1.705  -0.043 1.630  -0.043 1.555  -0.062 1.499  -0.111 1.473  -0.107 1.399  -0.098 1.324  -0.089 1.250  -0.080 1.175  -0.072 1.101  -0.063 1.026  -0.054 0.952  -0.045 0.877  -0.036 0.803  -0.027 0.728  -0.018 0.654  -0.009 0.580  -0.000 0.505  0.009 0.431  0.018 0.356  0.027 0.282  0.036 0.207  0.045 0.133  0.054 0.058  0.062 -0.016  0.071 -0.090  0.080 -0.165  0.089 -0.239  0.065 -0.284  0.026 -0.320  0.026 -0.395  0.026 -0.470  0.026 -0.545  0.026 -0.620  0.026 -0.695  0.026 -0.770  0.039 -0.833  0.095 -0.852  0.095 -0.927  0.095 -1.002  0.095 -1.077  0.095 -1.152  0.095 -1.227  0.095 -1.302  0.095 -1.377  0.032 -1.413  -0.035 -1.446  -0.106 -1.471  -0.177 -1.495  -0.248 -1.519
2#tos#f2#f2025065/<  0.833 1.521  0.741 1.475  0.657 1.439  0.600 1.354  0.536 1.276  0.520 1.180  0.502 1.086  0.430 1.014  0.338 0.974  0.254 0.929  0.221 0.832  0.201 0.737  0.110 0.691  0.019 0.646  -0.065 0.588  -0.146 0.526  -0.219 0.458  -0.270 0.373  -0.367 0.340  -0.439 0.280  -0.500 0.204  -0.590 0.156  -0.675 0.100  -0.755 0.037  -0.794 -0.040  -0.873 -0.040  -0.771 -0.040  -0.722 -0.092  -0.677 -0.150  -0.622 -0.197  -0.520 -0.197  -0.448 -0.269  -0.368 -0.333  -0.284 -0.389  -0.208 -0.457  -0.136 -0.529  -0.064 -0.601  0.008 -0.673  0.062 -0.756  0.086 -0.855  0.131 -0.938  0.217 -0.990  0.273 -1.075  0.335 -1.156  0.407 -1.228  0.495 -1.277  0.553 -1.356  0.599 -1.447  0.656 -1.530  0.728 -1.602
2#tos#f2#f2025065/=  -0.607 0.656  -0.691 0.539  -0.831 0.433  -1.018 0.359  -1.176 0.338  -1.015 0.452  -0.823 0.489  -0.622 0.489  -0.422 0.489  -0.221 0.489  -0.035 0.538  0.132 0.649  0.330 0.661  0.524 0.710  0.721 0.739  0.922 0.739  1.123 0.739  1.323 0.739  1.275 0.677  1.098 0.583  0.921 0.488  0.744 0.394  0.567 0.300  0.390 0.205  0.213 0.111  0.036 0.016  -0.141 -0.078  -0.318 -0.172  -0.495 -0.267  -0.672 -0.361  -0.849 -0.456  -1.026 -0.550  -1.208 -0.611  -1.274 -0.785  -1.218 -0.908  -1.028 -0.844  -0.870 -0.725  -0.681 -0.677  -0.480 -0.677  -0.280 -0.677  -0.112 -0.597  0.087 -0.593  0.288 -0.593  0.488 -0.593  0.689 -0.593  0.876 -0.548  1.043 -0.437  1.240 -0.427  1.441 -0.427  1.641 -0.427
2#tos#f2#f2025065/?  -0.493 1.048  -0.592 1.048  -0.638 1.069  -0.553 1.103  -0.454 1.103  -0.355 1.103  -0.257 1.103  -0.158 1.103  -0.059 1.103  0.040 1.103  0.139 1.103  0.182 1.048  0.281 1.048  0.380 1.048  0.453 0.990  0.453 0.891  0.453 0.792  0.439 0.699  0.398 0.617  0.398 0.519  0.334 0.459  0.266 0.394  0.217 0.310  0.147 0.240  0.120 0.152  0.077 0.080  -0.010 0.033  -0.093 -0.022  -0.159 -0.085  -0.159 -0.184  -0.159 -0.283  -0.159 -0.382  -0.141 -0.473  -0.062 -0.531  0.008 -0.586  0.008 -0.685  0.008 -0.784  0.008 -0.883  0.008 -0.982  0.008 -1.081  0.008 -1.179  0.008 -1.278  -0.079 -1.290  -0.103 -1.365  -0.110 -1.457  -0.159 -1.507  -0.121 -1.568  -0.023 -1.568  0.076 -1.568  0.175 -1.568
