1c#app#app12#app1221/t  0.382 1.875  0.382 1.700  0.332 1.538  0.263 1.380  0.263 1.205  0.263 1.031  0.233 0.864  0.155 0.707  0.145 0.535  0.145 0.361  0.145 0.187  0.145 0.012  0.145 -0.162  0.145 -0.337  0.145 -0.511  0.145 -0.686  0.145 -0.860  0.145 -1.035  0.145 -1.209  0.145 -1.383  0.145 -1.558  0.049 -1.439  -0.055 -1.298  -0.158 -1.158  -0.261 -1.017  -0.364 -0.876  -0.467 -0.736  -0.570 -0.595  -0.674 -0.454  -0.777 -0.313  -0.880 -0.173  -0.983 -0.032  -1.086 0.109  -1.162 0.166  -1.060 0.093  -0.886 0.093  -0.711 0.093  -0.537 0.093  -0.362 0.093  -0.190 0.104  -0.034 0.182  0.133 0.212  0.290 0.285  0.454 0.331  0.626 0.337  0.753 0.449  0.928 0.449  1.102 0.449  1.277 0.449  1.451 0.449
1c#app#app12#app1221/h  -0.264 1.992  -0.264 1.837  -0.264 1.682  -0.330 1.555  -0.387 1.424  -0.387 1.270  -0.387 1.115  -0.387 0.961  -0.387 0.806  -0.387 0.652  -0.387 0.497  -0.387 0.343  -0.387 0.188  -0.387 0.033  -0.387 -0.121  -0.403 -0.273  -0.451 -0.420  -0.500 -0.566  -0.510 -0.719  -0.510 -0.874  -0.510 -1.028  -0.510 -1.183  -0.507 -1.335  -0.387 -1.301  -0.387 -1.146  -0.387 -0.992  -0.264 -0.960  -0.264 -0.806  -0.264 -0.651  -0.194 -0.526  -0.140 -0.393  -0.062 -0.271  0.023 -0.145  0.093 -0.006  0.106 0.145  0.139 0.267  0.229 0.331  0.325 0.390  0.479 0.390  0.634 0.390  0.769 0.343  0.845 0.220  0.900 0.088  0.968 -0.038  0.968 -0.192  0.968 -0.347  0.968 -0.502  1.029 -0.596  1.092 -0.687  1.092 -0.842
1c#app#app12#app1221/e  -0.566 -0.253  -0.412 -0.253  -0.259 -0.253  -0.105 -0.253  0.048 -0.253  0.202 -0.253  0.313 -0.210  0.363 -0.106  0.516 -0.106  0.606 -0.042  0.656 0.091  0.752 0.204  0.770 0.351  0.878 0.459  0.899 0.604  0.899 0.758  0.899 0.911  0.899 1.065  0.892 1.212  0.738 1.212  0.585 1.212  0.431 1.212  0.313 1.177  0.271 1.066  0.131 1.031  0.023 0.922  -0.086 0.813  -0.194 0.705  -0.303 0.596  -0.411 0.488  -0.520 0.379  -0.629 0.271  -0.712 0.152  -0.742 0.010  -0.851 -0.098  -0.859 -0.248  -0.859 -0.402  -0.859 -0.556  -0.859 -0.709  -0.842 -0.856  -0.733 -0.964  -0.712 -1.109  -0.581 -1.131  -0.442 -1.193  -0.305 -1.262  -0.155 -1.278  -0.001 -1.278  0.152 -1.278  0.306 -1.278  0.459 -1.278
1c#app#app12#app1221/i  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#app#app12#app1221/c  0.820 1.196  0.820 1.298  0.790 1.369  0.688 1.369  0.587 1.369  0.485 1.369  0.410 1.306  0.338 1.234  0.266 1.162  0.194 1.090  0.126 1.017  0.126 0.915  0.101 0.824  0.029 0.752  -0.043 0.680  -0.143 0.676  -0.221 0.652  -0.221 0.550  -0.245 0.454  -0.290 0.363  -0.336 0.272  -0.381 0.181  -0.394 0.083  -0.395 -0.019  -0.466 -0.091  -0.538 -0.162  -0.568 -0.252  -0.568 -0.354  -0.568 -0.455  -0.568 -0.557  -0.568 -0.659  -0.568 -0.760  -0.568 -0.862  -0.568 -0.964  -0.561 -1.059  -0.460 -1.059  -0.358 -1.059  -0.256 -1.059  -0.155 -1.059  -0.053 -1.059  0.049 -1.059  0.143 -1.042  0.215 -0.970  0.287 -0.898  0.383 -0.886  0.482 -0.877  0.554 -0.805  0.625 -0.733  0.718 -0.712  0.820 -0.712
1c#app#app12#app1221/o  -0.186 1.208  -0.274 1.120  -0.347 1.026  -0.347 0.902  -0.455 0.886  -0.508 0.815  -0.533 0.701  -0.621 0.613  -0.669 0.509  -0.682 0.390  -0.770 0.302  -0.830 0.203  -0.830 0.079  -0.830 -0.045  -0.830 -0.170  -0.830 -0.294  -0.830 -0.418  -0.830 -0.542  -0.830 -0.667  -0.784 -0.771  -0.696 -0.859  -0.608 -0.947  -0.520 -1.035  -0.401 -1.047  -0.277 -1.047  -0.152 -1.047  -0.028 -1.047  0.061 -0.961  0.154 -0.886  0.278 -0.886  0.371 -0.811  0.458 -0.723  0.458 -0.599  0.521 -0.500  0.609 -0.413  0.696 -0.325  0.780 -0.235  0.780 -0.111  0.822 0.003  0.877 0.114  0.933 0.226  0.941 0.348  0.941 0.472  0.941 0.596  0.941 0.720  0.941 0.845  0.882 0.945  0.795 1.032  0.707 1.120  0.619 1.208
1c#app#app12#app1221/n  -0.771 0.832  -0.771 0.672  -0.771 0.512  -0.771 0.352  -0.771 0.193  -0.771 0.033  -0.771 -0.127  -0.771 -0.287  -0.771 -0.446  -0.771 -0.606  -0.771 -0.766  -0.771 -0.926  -0.771 -1.086  -0.771 -1.062  -0.711 -0.928  -0.606 -0.811  -0.606 -0.652  -0.606 -0.492  -0.493 -0.379  -0.440 -0.241  -0.440 -0.081  -0.440 0.079  -0.372 0.170  -0.275 0.233  -0.275 0.393  -0.238 0.537  -0.125 0.650  -0.013 0.763  0.100 0.876  0.213 0.989  0.222 1.146  0.364 1.163  0.524 1.163  0.552 1.032  0.641 0.909  0.718 0.780  0.718 0.621  0.718 0.461  0.742 0.311  0.855 0.198  0.883 0.050  0.883 -0.110  0.960 -0.238  1.049 -0.361  1.049 -0.520  1.049 -0.680  1.049 -0.840  1.049 -1.000  1.049 -1.160  1.049 -1.319
1c#app#app12#app1221/o  -0.111 1.299  -0.241 1.299  -0.264 1.191  -0.324 1.085  -0.416 0.993  -0.417 0.863  -0.417 0.732  -0.502 0.687  -0.570 0.624  -0.598 0.506  -0.690 0.413  -0.723 0.297  -0.723 0.166  -0.723 0.036  -0.723 -0.095  -0.723 -0.225  -0.723 -0.356  -0.723 -0.486  -0.723 -0.617  -0.723 -0.747  -0.723 -0.877  -0.714 -1.004  -0.622 -1.096  -0.513 -1.149  -0.383 -1.149  -0.252 -1.149  -0.122 -1.149  -0.026 -1.064  0.066 -0.972  0.158 -0.880  0.273 -0.843  0.387 -0.803  0.480 -0.711  0.546 -0.600  0.604 -0.483  0.654 -0.365  0.654 -0.234  0.744 -0.141  0.807 -0.037  0.815 0.092  0.874 0.208  0.932 0.325  0.960 0.449  0.960 0.579  0.944 0.703  0.851 0.795  0.807 0.907  0.762 0.993  0.631 0.993  0.501 0.993
1c#app#app12#app1221/g  0.323 1.052  0.166 0.928  -0.002 0.818  -0.099 0.690  -0.220 0.555  -0.310 0.389  -0.411 0.228  -0.491 0.058  -0.491 -0.145  -0.371 -0.184  -0.205 -0.071  -0.045 0.050  0.117 0.147  0.283 0.238  0.251 0.328  0.140 0.235  -0.004 0.092  -0.148 -0.052  -0.265 -0.214  -0.401 -0.350  -0.537 -0.487  -0.655 -0.649  -0.763 -0.808  -0.814 -0.990  -0.853 -1.176  -0.774 -1.300  -0.691 -1.462  -0.496 -1.481  -0.293 -1.481  -0.128 -1.391  0.068 -1.374  0.233 -1.292  0.247 -1.090  0.272 -0.888  0.296 -0.687  0.321 -0.485  0.345 -0.284  0.369 -0.082  0.394 0.119  0.418 0.321  0.443 0.522  0.467 0.724  0.492 0.926  0.516 1.127  0.540 1.329  0.565 1.530  0.589 1.732  0.595 1.618  0.514 1.434  0.504 1.233
1c#app#app12#app1221/r  -0.445 1.031  -0.445 0.879  -0.372 0.757  -0.264 0.650  -0.245 0.505  -0.245 0.353  -0.245 0.201  -0.245 0.049  -0.151 -0.064  -0.045 -0.172  -0.045 -0.324  -0.045 -0.476  -0.045 -0.628  -0.045 -0.780  -0.045 -0.932  -0.045 -1.085  -0.045 -1.237  -0.045 -1.389  -0.045 -1.541  -0.045 -1.693  -0.045 -1.696  -0.045 -1.544  -0.045 -1.392  -0.045 -1.240  -0.045 -1.087  -0.045 -0.935  -0.045 -0.783  -0.045 -0.631  -0.045 -0.479  -0.045 -0.327  -0.045 -0.175  -0.045 -0.023  -0.115 0.100  -0.222 0.208  -0.245 0.350  -0.245 0.502  -0.245 0.655  -0.245 0.807  -0.117 0.831  -0.045 0.911  -0.013 1.031  0.139 1.031  0.155 1.167  0.243 1.231  0.395 1.231  0.547 1.231  0.699 1.231  0.851 1.231  1.003 1.231  1.155 1.231
1c#app#app12#app1221/a  -0.529 1.529  -0.380 1.529  -0.365 1.396  -0.247 1.366  -0.098 1.366  0.024 1.303  0.125 1.196  0.125 1.047  0.224 0.940  0.288 0.818  0.319 0.682  0.424 0.577  0.452 0.440  0.452 0.291  0.508 0.166  0.613 0.061  0.615 -0.087  0.615 -0.236  0.697 -0.350  0.812 -0.431  0.942 -0.413  0.939 -0.265  0.834 -0.160  0.778 -0.035  0.739 0.098  0.634 0.203  0.494 0.222  0.345 0.222  0.196 0.222  0.048 0.222  -0.101 0.222  -0.235 0.189  -0.341 0.084  -0.365 -0.055  -0.464 -0.105  -0.588 -0.164  -0.692 -0.269  -0.692 -0.418  -0.788 -0.527  -0.856 -0.647  -0.856 -0.796  -0.856 -0.944  -0.850 -1.091  -0.745 -1.196  -0.618 -1.248  -0.529 -1.308  -0.484 -1.412  -0.336 -1.412  -0.187 -1.412  -0.039 -1.412
1c#app#app12#app1221/p  -0.339 0.284  -0.339 0.119  -0.339 -0.046  -0.339 -0.211  -0.339 -0.376  -0.339 -0.542  -0.339 -0.707  -0.339 -0.872  -0.339 -1.037  -0.277 -1.188  -0.227 -1.341  -0.227 -1.506  -0.227 -1.671  -0.227 -1.640  -0.227 -1.475  -0.227 -1.310  -0.227 -1.145  -0.227 -0.980  -0.227 -0.815  -0.227 -0.649  -0.285 -0.498  -0.339 -0.346  -0.339 -0.181  -0.339 -0.015  -0.339 0.150  -0.339 0.315  -0.339 0.480  -0.339 0.645  -0.339 0.810  -0.247 0.937  -0.227 1.094  -0.227 1.259  -0.102 1.307  0.021 1.408  0.186 1.408  0.335 1.391  0.397 1.264  0.545 1.191  0.665 1.078  0.702 0.929  0.785 0.798  0.856 0.662  0.897 0.514  0.849 0.396  0.785 0.296  0.676 0.176  0.560 0.059  0.522 -0.091  0.388 -0.165  0.223 -0.165
1c#app#app12#app1221/h  -0.615 1.943  -0.615 1.818  -0.615 1.692  -0.605 1.571  -0.516 1.483  -0.494 1.367  -0.494 1.241  -0.494 1.116  -0.494 0.991  -0.494 0.866  -0.494 0.740  -0.494 0.615  -0.491 0.491  -0.435 0.379  -0.379 0.267  -0.374 0.143  -0.374 0.017  -0.374 -0.108  -0.374 -0.233  -0.374 -0.358  -0.374 -0.484  -0.358 -0.602  -0.269 -0.691  -0.254 -0.809  -0.254 -0.935  -0.254 -1.060  -0.136 -1.067  -0.133 -0.945  -0.126 -0.827  -0.013 -0.815  -0.013 -0.690  0.009 -0.586  0.108 -0.559  0.108 -0.434  0.133 -0.320  0.222 -0.231  0.228 -0.108  0.349 -0.104  0.437 -0.015  0.550 0.016  0.650 -0.044  0.738 -0.133  0.827 -0.221  0.916 -0.310  0.951 -0.421  1.007 -0.522  1.071 -0.621  1.099 -0.735  1.188 -0.823  1.191 -0.947
1c#app#app12#app1221/w  -1.086 0.916  -1.086 0.761  -1.086 0.607  -1.086 0.452  -1.086 0.298  -1.086 0.143  -1.086 -0.011  -1.086 -0.166  -1.086 -0.320  -1.086 -0.474  -1.048 -0.620  -0.979 -0.758  -0.872 -0.836  -0.718 -0.836  -0.648 -0.752  -0.582 -0.625  -0.502 -0.504  -0.480 -0.354  -0.410 -0.216  -0.341 -0.078  -0.272 0.060  -0.200 0.196  -0.090 0.305  -0.064 0.448  -0.064 0.603  0.031 0.718  0.082 0.851  0.172 0.916  0.228 0.817  0.228 0.663  0.228 0.508  0.228 0.354  0.228 0.199  0.228 0.045  0.231 -0.109  0.340 -0.218  0.449 -0.327  0.558 -0.436  0.668 -0.544  0.823 -0.544  0.977 -0.544  1.104 -0.517  1.140 -0.398  1.270 -0.359  1.339 -0.221  1.415 -0.087  1.524 0.022  1.542 0.169  1.542 0.323  1.542 0.478
1c#app#app12#app1221/o  -0.106 1.097  -0.254 1.097  -0.365 1.005  -0.440 0.888  -0.440 0.740  -0.445 0.596  -0.593 0.596  -0.607 0.461  -0.607 0.313  -0.676 0.193  -0.774 0.085  -0.774 -0.063  -0.774 -0.212  -0.774 -0.360  -0.774 -0.509  -0.774 -0.657  -0.728 -0.786  -0.623 -0.891  -0.607 -1.033  -0.499 -1.074  -0.440 -1.163  -0.369 -1.241  -0.221 -1.241  -0.076 -1.226  0.057 -1.160  0.189 -1.093  0.333 -1.074  0.395 -0.987  0.443 -0.859  0.548 -0.754  0.562 -0.611  0.640 -0.495  0.729 -0.384  0.729 -0.235  0.729 -0.087  0.824 0.023  0.896 0.141  0.896 0.289  0.890 0.435  0.785 0.540  0.729 0.665  0.678 0.763  0.562 0.795  0.553 0.940  0.448 1.045  0.321 1.097  0.172 1.097  0.024 1.097  -0.124 1.097  -0.273 1.097
