2#app#app19#app1935/{  0.174 1.533  0.112 1.616  0.061 1.503  0.008 1.519  -0.091 1.449  -0.237 1.449  -0.299 1.366  -0.326 1.246  -0.409 1.184  -0.409 1.038  -0.351 0.949  -0.326 0.829  -0.309 0.699  -0.242 0.620  -0.159 0.509  -0.098 0.388  -0.076 0.251  -0.076 0.105  -0.076 -0.041  -0.113 -0.171  -0.159 -0.298  -0.242 -0.361  -0.331 -0.468  -0.409 -0.400  -0.409 -0.254  -0.409 -0.108  -0.369 0.029  -0.291 0.150  -0.188 0.254  -0.054 0.283  0.092 0.282  0.174 0.170  0.174 0.024  0.174 -0.122  0.174 -0.268  0.174 -0.414  0.133 -0.550  0.091 -0.686  0.091 -0.832  0.091 -0.978  0.091 -1.124  0.144 -1.218  0.174 -1.333  0.258 -1.396  0.332 -1.468  0.478 -1.468  0.620 -1.453  0.751 -1.388  0.880 -1.345  1.008 -1.301
2#app#app19#app1935/B  -0.592 0.474  -0.592 0.243  -0.543 0.033  -0.461 -0.164  -0.461 -0.395  -0.378 -0.606  -0.331 -0.825  -0.331 -1.056  -0.286 -1.268  -0.245 -1.252  -0.337 -1.041  -0.430 -0.829  -0.522 -0.618  -0.615 -0.407  -0.707 -0.195  -0.799 0.016  -0.892 0.227  -0.984 0.439  -1.077 0.650  -1.106 0.865  -0.907 0.942  -0.715 1.065  -0.499 1.126  -0.268 1.126  -0.038 1.126  0.193 1.126  0.424 1.126  0.582 1.054  0.713 0.954  0.705 0.727  0.542 0.564  0.379 0.400  0.216 0.237  0.014 0.167  -0.182 0.082  -0.013 0.140  0.188 0.213  0.419 0.213  0.649 0.213  0.862 0.138  1.080 0.082  1.235 -0.070  1.235 -0.300  1.170 -0.504  1.007 -0.667  0.844 -0.830  0.713 -1.007  0.583 -1.157  0.368 -1.223  0.191 -1.353
2#app#app19#app1935/r  -0.072 -0.433  -0.184 -0.433  -0.270 -0.459  -0.270 -0.570  -0.270 -0.682  -0.270 -0.794  -0.270 -0.905  -0.270 -1.017  -0.270 -1.129  -0.270 -1.240  -0.270 -1.352  -0.229 -1.423  -0.117 -1.423  -0.072 -1.356  -0.072 -1.244  -0.072 -1.133  -0.072 -1.021  -0.072 -0.909  -0.072 -0.798  -0.072 -0.686  -0.072 -0.575  -0.072 -0.463  -0.130 -0.375  -0.209 -0.296  -0.270 -0.210  -0.270 -0.098  -0.270 0.013  -0.270 0.125  -0.270 0.237  -0.270 0.348  -0.270 0.460  -0.254 0.556  -0.142 0.556  -0.072 0.597  -0.072 0.709  -0.072 0.821  -0.072 0.932  0.020 0.952  0.126 0.958  0.126 1.069  0.157 1.150  0.269 1.150  0.374 1.175  0.474 1.225  0.574 1.275  0.674 1.325  0.780 1.348  0.892 1.348  1.004 1.348  1.115 1.348
2#app#app19#app1935/a  0.133 0.609  0.133 0.784  -0.012 0.816  -0.187 0.816  -0.362 0.816  -0.523 0.780  -0.647 0.656  -0.772 0.532  -0.896 0.408  -1.068 0.402  -1.204 0.306  -1.334 0.195  -1.509 0.195  -1.523 0.033  -1.523 -0.143  -1.453 -0.289  -1.329 -0.413  -1.158 -0.426  -0.983 -0.426  -0.808 -0.426  -0.632 -0.426  -0.457 -0.426  -0.281 -0.426  -0.106 -0.426  0.070 -0.426  0.212 -0.346  0.336 -0.222  0.460 -0.098  0.600 -0.012  0.769 0.004  0.893 0.128  0.960 0.276  0.960 0.451  0.942 0.609  0.767 0.609  0.753 0.446  0.623 0.402  0.476 0.332  0.352 0.207  0.339 0.037  0.339 -0.138  0.406 -0.286  0.530 -0.410  0.655 -0.534  0.789 -0.633  0.963 -0.636  1.087 -0.760  1.230 -0.840  1.405 -0.840  1.581 -0.840
2#app#app19#app1935/c  0.770 0.411  0.649 0.291  0.547 0.163  0.547 -0.007  0.403 -0.034  0.324 -0.125  0.324 -0.296  0.324 -0.466  0.481 -0.479  0.547 -0.374  0.547 -0.204  0.547 -0.034  0.717 -0.034  0.770 0.084  0.770 0.255  0.770 0.425  0.770 0.595  0.770 0.766  0.690 0.857  0.547 0.884  0.547 1.054  0.402 1.079  0.232 1.079  0.061 1.079  -0.109 1.079  -0.279 1.079  -0.344 0.973  -0.397 0.857  -0.567 0.856  -0.688 0.735  -0.808 0.615  -0.928 0.494  -1.011 0.358  -1.011 0.188  -1.011 0.018  -1.011 -0.152  -1.011 -0.323  -1.002 -0.489  -0.881 -0.609  -0.761 -0.730  -0.640 -0.850  -0.566 -0.990  -0.553 -1.147  -0.383 -1.147  -0.212 -1.147  -0.065 -1.203  0.055 -1.323  0.206 -1.370  0.377 -1.370  0.547 -1.370
2#app#app19#app1935/e  -1.282 0.019  -1.282 -0.167  -1.147 -0.218  -0.961 -0.218  -0.775 -0.218  -0.589 -0.218  -0.403 -0.218  -0.216 -0.218  -0.030 -0.218  0.156 -0.218  0.342 -0.218  0.528 -0.218  0.714 -0.218  0.850 -0.168  0.850 0.018  1.035 0.019  1.182 0.114  1.314 0.245  1.324 0.427  1.204 0.493  1.087 0.562  1.068 0.730  0.882 0.730  0.741 0.839  0.608 0.967  0.422 0.967  0.236 0.967  0.050 0.967  -0.136 0.967  -0.322 0.967  -0.334 0.793  -0.458 0.730  -0.571 0.657  -0.593 0.493  -0.779 0.493  -0.808 0.336  -0.808 0.150  -0.808 -0.036  -0.808 -0.222  -0.808 -0.408  -0.710 -0.554  -0.578 -0.685  -0.447 -0.817  -0.307 -0.929  -0.121 -0.929  0.018 -1.044  0.149 -1.176  0.281 -1.307  0.427 -1.403  0.613 -1.403
2#app#app19#app1935/Y  -1.189 0.737  -1.084 0.632  -0.978 0.526  -0.873 0.421  -0.768 0.316  -0.662 0.210  -0.557 0.105  -0.451 -0.001  -0.380 -0.120  -0.304 -0.238  -0.172 -0.280  -0.084 -0.287  -0.020 -0.152  0.044 -0.018  0.107 0.117  0.171 0.252  0.235 0.387  0.299 0.521  0.363 0.656  0.427 0.791  0.490 0.925  0.554 1.060  0.618 1.195  0.682 1.330  0.699 1.259  0.622 1.187  0.513 1.090  0.430 0.976  0.366 0.853  0.330 0.717  0.263 0.584  0.250 0.438  0.250 0.289  0.160 0.177  0.160 0.028  0.125 -0.107  0.070 -0.233  0.070 -0.382  0.050 -0.529  0.021 -0.675  -0.008 -0.821  -0.020 -0.969  -0.046 -1.112  -0.110 -1.246  -0.110 -1.395  -0.110 -1.544  -0.110 -1.693  -0.110 -1.842  -0.110 -1.992  -0.110 -2.141
2#app#app19#app1935/o  -0.555 -0.178  -0.679 -0.178  -0.803 -0.178  -0.927 -0.178  -1.032 -0.197  -1.032 -0.321  -1.003 -0.416  -0.879 -0.416  -0.793 -0.455  -0.793 -0.579  -0.793 -0.703  -0.793 -0.827  -0.736 -0.893  -0.612 -0.893  -0.488 -0.893  -0.364 -0.893  -0.240 -0.893  -0.116 -0.893  0.008 -0.893  0.132 -0.893  0.228 -0.825  0.316 -0.738  0.405 -0.655  0.529 -0.655  0.637 -0.638  0.637 -0.514  0.655 -0.398  0.743 -0.310  0.831 -0.223  0.875 -0.117  0.875 0.007  0.875 0.131  0.875 0.255  0.875 0.379  0.875 0.503  0.812 0.600  0.725 0.688  0.637 0.776  0.549 0.863  0.462 0.951  0.374 1.039  0.286 1.126  0.199 1.214  0.090 1.252  -0.034 1.252  -0.158 1.252  -0.282 1.252  -0.379 1.189  -0.467 1.102  -0.555 1.014
2#app#app19#app1935/u  -0.807 0.382  -0.676 0.382  -0.612 0.448  -0.612 0.579  -0.612 0.709  -0.544 0.771  -0.418 0.775  -0.418 0.905  -0.487 0.966  -0.618 0.966  -0.748 0.966  -0.807 0.894  -0.807 0.764  -0.807 0.633  -0.807 0.503  -0.807 0.373  -0.807 0.242  -0.807 0.112  -0.807 -0.018  -0.807 -0.149  -0.807 -0.279  -0.793 -0.396  -0.663 -0.396  -0.612 -0.475  -0.597 -0.590  -0.466 -0.590  -0.360 -0.648  -0.268 -0.740  -0.156 -0.785  -0.026 -0.785  0.105 -0.785  0.235 -0.785  0.364 -0.781  0.456 -0.689  0.548 -0.597  0.676 -0.590  0.750 -0.534  0.750 -0.403  0.872 -0.396  1.003 -0.396  1.133 -0.396  1.139 -0.271  1.199 -0.201  1.329 -0.201  1.333 -0.075  1.333 0.056  1.333 0.186  1.333 0.316  1.333 0.446  1.333 0.577
2#app#app19#app1935/r  -0.467 0.113  -0.467 0.260  -0.580 0.295  -0.649 0.217  -0.649 0.070  -0.649 -0.078  -0.649 -0.225  -0.649 -0.373  -0.649 -0.520  -0.649 -0.668  -0.649 -0.815  -0.649 -0.963  -0.519 -0.981  -0.467 -1.076  -0.424 -1.205  -0.320 -1.310  -0.187 -1.345  -0.040 -1.345  0.080 -1.317  0.080 -1.170  0.179 -1.063  0.262 -0.950  0.262 -0.803  0.262 -0.655  0.262 -0.508  0.210 -0.382  0.106 -0.278  0.080 -0.141  0.080 0.007  0.038 0.113  -0.102 0.120  -0.102 0.267  -0.102 0.414  -0.102 0.562  -0.138 0.695  -0.242 0.799  -0.285 0.929  -0.232 1.024  -0.085 1.024  0.063 1.024  0.210 1.024  0.358 1.024  0.505 1.024  0.653 1.024  0.800 1.024  0.948 1.024  1.095 1.024  1.243 1.024  1.390 1.024  1.538 1.024
2#app#app19#app1935/s  0.550 -0.141  0.550 0.027  0.550 0.196  0.550 0.364  0.663 0.419  0.737 0.513  0.737 0.682  0.737 0.850  0.699 0.980  0.531 0.980  0.362 0.980  0.194 0.980  0.026 0.980  -0.142 0.980  -0.277 0.899  -0.401 0.793  -0.570 0.793  -0.689 0.674  -0.829 0.606  -0.997 0.606  -1.130 0.571  -1.147 0.419  -1.315 0.419  -1.317 0.253  -1.213 0.128  -1.079 0.046  -0.911 0.046  -0.742 0.046  -0.574 0.046  -0.454 -0.070  -0.315 -0.141  -0.152 -0.163  -0.002 -0.238  0.149 -0.314  0.314 -0.328  0.482 -0.328  0.621 -0.398  0.741 -0.514  0.909 -0.514  0.924 -0.668  0.924 -0.836  0.842 -0.970  0.717 -1.075  0.549 -1.076  0.430 -1.195  0.290 -1.261  0.121 -1.261  -0.047 -1.261  -0.215 -1.261  -0.383 -1.261
