2#apb#apb27#app2737/f  0.992 0.136  1.003 0.294  1.019 0.451  1.031 0.609  1.026 0.767  0.995 0.922  0.962 1.077  0.909 1.223  0.819 1.352  0.679 1.425  0.530 1.418  0.390 1.347  0.263 1.254  0.159 1.135  0.061 1.011  -0.023 0.877  -0.102 0.740  -0.165 0.594  -0.221 0.447  -0.241 0.290  -0.261 0.133  -0.247 -0.025  -0.234 -0.182  -0.211 -0.339  -0.187 -0.495  -0.134 -0.645  -0.090 -0.796  -0.061 -0.952  -0.010 -1.101  0.016 -1.257  -0.026 -1.346  -0.140 -1.253  -0.257 -1.146  -0.373 -1.039  -0.490 -0.932  -0.607 -0.825  -0.723 -0.718  -0.840 -0.611  -0.956 -0.504  -1.092 -0.447  -0.991 -0.440  -0.838 -0.406  -0.691 -0.347  -0.539 -0.301  -0.388 -0.256  -0.233 -0.222  -0.079 -0.185  0.072 -0.173  0.216 -0.215  0.307 -0.345
2#apb#apb27#app2737/e  -0.020 0.262  0.104 0.262  0.227 0.262  0.351 0.262  0.465 0.298  0.572 0.359  0.682 0.416  0.783 0.481  0.851 0.584  0.898 0.696  0.884 0.815  0.836 0.926  0.748 1.013  0.641 1.064  0.520 1.088  0.399 1.099  0.279 1.071  0.159 1.043  0.043 1.006  -0.059 0.936  -0.160 0.866  -0.262 0.796  -0.350 0.710  -0.429 0.615  -0.508 0.521  -0.585 0.425  -0.635 0.312  -0.684 0.198  -0.733 0.085  -0.781 -0.028  -0.798 -0.151  -0.815 -0.273  -0.833 -0.395  -0.791 -0.509  -0.740 -0.621  -0.688 -0.733  -0.625 -0.839  -0.554 -0.940  -0.483 -1.041  -0.387 -1.116  -0.284 -1.184  -0.174 -1.232  -0.051 -1.241  0.072 -1.250  0.195 -1.252  0.314 -1.220  0.433 -1.187  0.547 -1.142  0.658 -1.087  0.768 -1.032
2#apb#apb27#app2737/w  -0.521 0.883  -0.556 0.973  -0.653 0.830  -0.754 0.688  -0.853 0.545  -0.950 0.401  -1.045 0.256  -1.139 0.110  -1.217 -0.045  -1.287 -0.205  -1.351 -0.366  -1.408 -0.529  -1.347 -0.680  -1.182 -0.661  -1.024 -0.590  -0.868 -0.513  -0.731 -0.408  -0.596 -0.298  -0.458 -0.193  -0.312 -0.098  -0.166 -0.003  -0.022 0.094  0.119 0.196  0.260 0.297  0.394 0.408  0.523 0.524  0.631 0.552  0.540 0.404  0.430 0.269  0.328 0.129  0.237 -0.019  0.152 -0.171  0.075 -0.326  0.034 -0.494  0.003 -0.665  0.086 -0.792  0.250 -0.761  0.408 -0.691  0.561 -0.611  0.689 -0.493  0.817 -0.375  0.944 -0.256  1.072 -0.138  1.187 -0.009  1.294 0.128  1.402 0.264  1.511 0.400  1.572 0.560  1.538 0.724  1.383 0.753
2#apb#apb27#app2737/q  0.062 0.621  0.192 0.744  0.321 0.867  0.362 1.015  0.388 1.177  0.237 1.185  0.076 1.105  -0.076 1.012  -0.222 0.907  -0.365 0.797  -0.483 0.664  -0.588 0.519  -0.676 0.362  -0.723 0.191  -0.724 0.016  -0.656 -0.144  -0.496 -0.216  -0.320 -0.207  -0.145 -0.166  0.016 -0.097  0.144 0.030  0.276 0.151  0.376 0.299  0.434 0.468  0.379 0.615  0.430 0.591  0.525 0.689  0.540 0.767  0.535 0.759  0.528 0.770  0.525 0.770  0.479 0.618  0.388 0.465  0.328 0.296  0.261 0.129  0.193 -0.037  0.127 -0.204  0.062 -0.371  -0.004 -0.538  -0.068 -0.706  -0.132 -0.874  -0.182 -1.046  -0.233 -1.219  -0.289 -1.389  -0.329 -1.564  -0.352 -1.742  -0.369 -1.921  -0.355 -2.099  -0.253 -2.099  -0.146 -1.960
2#apb#apb27#app2737/u  -0.132 0.676  -0.081 0.804  -0.030 0.932  0.021 1.060  0.057 1.193  0.064 1.292  -0.019 1.245  -0.116 1.147  -0.193 1.034  -0.266 0.917  -0.321 0.790  -0.375 0.663  -0.429 0.537  -0.484 0.410  -0.540 0.284  -0.595 0.158  -0.641 0.028  -0.682 -0.103  -0.723 -0.235  -0.759 -0.368  -0.788 -0.503  -0.817 -0.637  -0.828 -0.774  -0.828 -0.912  -0.795 -1.045  -0.740 -1.169  -0.618 -1.212  -0.481 -1.219  -0.344 -1.205  -0.213 -1.171  -0.090 -1.109  0.029 -1.041  0.137 -0.955  0.245 -0.869  0.336 -0.766  0.422 -0.659  0.510 -0.553  0.602 -0.450  0.694 -0.348  0.758 -0.228  0.807 -0.099  0.857 0.030  0.893 0.162  0.930 0.295  0.939 0.432  0.939 0.570  0.939 0.708  0.930 0.837  0.884 0.776  0.939 0.650
2#apb#apb27#app2737/i  0.780 1.462  0.710 1.462  0.662 1.416  0.617 1.362  0.572 1.308  0.535 1.249  0.499 1.189  0.463 1.129  0.427 1.069  0.395 1.007  0.367 0.942  0.339 0.878  0.312 0.814  0.284 0.749  0.257 0.685  0.227 0.622  0.195 0.559  0.164 0.496  0.133 0.434  0.101 0.371  0.070 0.308  0.040 0.245  0.011 0.181  -0.019 0.118  -0.048 0.054  -0.078 -0.009  -0.104 -0.074  -0.120 -0.142  -0.135 -0.211  -0.151 -0.279  -0.167 -0.347  -0.183 -0.415  -0.203 -0.482  -0.223 -0.549  -0.244 -0.617  -0.265 -0.683  -0.292 -0.748  -0.319 -0.813  -0.346 -0.877  -0.373 -0.942  -0.401 -1.006  -0.432 -1.069  -0.463 -1.132  -0.495 -1.194  -0.514 -1.261  -0.531 -1.329  -0.548 -1.397  -0.554 -1.466  -0.503 -1.511  -0.447 -1.553
2#apb#apb27#app2737/p  0.448 1.228  0.391 1.061  0.326 0.893  0.260 0.726  0.192 0.560  0.123 0.394  0.054 0.228  -0.014 0.062  -0.075 -0.107  -0.135 -0.277  -0.195 -0.446  -0.242 -0.620  -0.289 -0.793  -0.338 -0.966  -0.394 -1.137  -0.451 -1.307  -0.511 -1.477  -0.567 -1.648  -0.628 -1.798  -0.650 -1.621  -0.632 -1.442  -0.607 -1.264  -0.577 -1.087  -0.542 -0.911  -0.499 -0.736  -0.455 -0.562  -0.411 -0.388  -0.366 -0.214  -0.320 -0.040  -0.275 0.134  -0.206 0.299  -0.124 0.459  -0.042 0.619  0.053 0.770  0.172 0.905  0.291 1.039  0.429 1.153  0.576 1.257  0.741 1.323  0.881 1.245  0.888 1.073  0.846 0.900  0.776 0.736  0.667 0.593  0.551 0.455  0.428 0.325  0.288 0.211  0.140 0.112  -0.018 0.025  0.040 0.058
2#apb#apb27#app2737/s  0.816 0.913  0.775 1.036  0.728 1.152  0.606 1.198  0.482 1.232  0.353 1.245  0.226 1.241  0.103 1.200  -0.020 1.159  -0.139 1.109  -0.258 1.056  -0.349 0.968  -0.425 0.864  -0.470 0.743  -0.473 0.622  -0.419 0.504  -0.355 0.392  -0.255 0.315  -0.143 0.249  -0.035 0.178  0.073 0.106  0.190 0.051  0.309 -0.001  0.431 -0.043  0.554 -0.084  0.646 -0.176  0.730 -0.273  0.794 -0.386  0.843 -0.505  0.853 -0.628  0.808 -0.749  0.727 -0.850  0.614 -0.907  0.492 -0.950  0.363 -0.959  0.234 -0.968  0.104 -0.973  -0.025 -0.964  -0.154 -0.955  -0.280 -0.932  -0.402 -0.886  -0.523 -0.841  -0.644 -0.795  -0.762 -0.741  -0.880 -0.686  -0.997 -0.631  -1.103 -0.559  -1.200 -0.473  -1.265 -0.369  -1.282 -0.241
2#apb#apb27#app2737/g  0.336 0.855  0.396 0.991  0.406 1.140  0.302 1.237  0.148 1.227  0.003 1.173  -0.137 1.103  -0.274 1.028  -0.403 0.941  -0.519 0.837  -0.598 0.702  -0.678 0.567  -0.704 0.419  -0.682 0.265  -0.601 0.135  -0.465 0.067  -0.310 0.047  -0.165 0.105  -0.020 0.162  0.121 0.227  0.248 0.319  0.353 0.435  0.436 0.566  0.495 0.708  0.454 0.833  0.409 0.783  0.452 0.785  0.423 0.658  0.415 0.503  0.409 0.347  0.409 0.190  0.398 0.034  0.386 -0.121  0.380 -0.277  0.375 -0.433  0.357 -0.589  0.333 -0.743  0.302 -0.896  0.255 -1.045  0.205 -1.193  0.156 -1.341  0.097 -1.486  -0.012 -1.588  -0.167 -1.581  -0.322 -1.557  -0.462 -1.494  -0.599 -1.421  -0.725 -1.331  -0.825 -1.213  -0.791 -1.082
2#apb#apb27#app2737/a  -0.297 1.036  -0.421 1.135  -0.285 1.111  -0.112 1.111  0.061 1.128  0.232 1.154  0.399 1.202  0.564 1.257  0.737 1.261  0.902 1.249  0.944 1.083  0.920 0.911  0.890 0.740  0.829 0.578  0.768 0.415  0.685 0.264  0.591 0.118  0.505 -0.033  0.436 -0.192  0.367 -0.352  0.297 -0.511  0.238 -0.670  0.317 -0.691  0.403 -0.544  0.425 -0.372  0.382 -0.207  0.293 -0.060  0.186 0.077  0.022 0.121  -0.150 0.134  -0.323 0.122  -0.494 0.093  -0.660 0.043  -0.804 -0.053  -0.942 -0.157  -1.065 -0.280  -1.188 -0.403  -1.237 -0.563  -1.195 -0.727  -1.084 -0.860  -0.954 -0.974  -0.808 -1.056  -0.634 -1.056  -0.460 -1.056  -0.287 -1.056  -0.118 -1.027  0.045 -0.967  0.208 -0.907  0.370 -0.844  0.500 -0.732
2#apb#apb27#app2737/l  0.694 1.475  0.641 1.528  0.596 1.511  0.555 1.449  0.522 1.383  0.491 1.316  0.460 1.248  0.430 1.181  0.402 1.112  0.374 1.043  0.347 0.974  0.319 0.905  0.290 0.837  0.261 0.769  0.233 0.700  0.204 0.632  0.175 0.564  0.146 0.495  0.117 0.427  0.089 0.359  0.060 0.290  0.032 0.221  0.012 0.150  -0.008 0.079  -0.029 0.007  -0.049 -0.064  -0.070 -0.135  -0.090 -0.206  -0.111 -0.277  -0.132 -0.349  -0.153 -0.420  -0.173 -0.491  -0.192 -0.563  -0.212 -0.634  -0.231 -0.706  -0.251 -0.777  -0.272 -0.848  -0.294 -0.919  -0.320 -0.989  -0.346 -1.058  -0.367 -1.129  -0.391 -1.195  -0.395 -1.213  -0.391 -1.220  -0.395 -1.213  -0.451 -1.232  -0.486 -1.287  -0.560 -1.287  -0.566 -1.248  -0.513 -1.195
