3#app#app25#app2562/F  -0.187 0.674  -0.231 0.487  -0.375 0.400  -0.375 0.170  -0.375 -0.061  -0.395 -0.283  -0.558 -0.446  -0.562 -0.675  -0.562 -0.905  -0.686 -1.011  -0.749 -1.179  -0.773 -1.386  -0.937 -1.453  -0.827 -1.573  -0.726 -1.422  -0.691 -1.194  -0.656 -0.966  -0.621 -0.738  -0.586 -0.511  -0.551 -0.283  -0.516 -0.055  -0.481 0.173  -0.446 0.401  -0.411 0.629  -0.376 0.856  -0.149 0.861  0.081 0.861  0.312 0.861  0.542 0.861  0.773 0.861  0.984 0.909  1.156 1.049  1.387 1.049  1.400 0.980  1.212 0.848  1.023 0.716  0.834 0.584  0.645 0.452  0.456 0.319  0.267 0.187  0.079 0.055  -0.110 -0.077  -0.299 -0.209  -0.241 -0.229  -0.017 -0.173  0.207 -0.117  0.432 -0.075  0.662 -0.075  0.893 -0.075  1.123 -0.075
3#app#app25#app2562/I  0.979 1.521  0.932 1.451  0.885 1.380  0.837 1.310  0.790 1.239  0.743 1.169  0.696 1.098  0.649 1.028  0.599 0.960  0.539 0.900  0.479 0.840  0.433 0.774  0.433 0.690  0.426 0.612  0.341 0.612  0.256 0.612  0.251 0.532  0.251 0.448  0.251 0.363  0.251 0.278  0.212 0.210  0.152 0.150  0.092 0.090  0.070 0.014  0.070 -0.070  0.029 -0.115  -0.056 -0.115  -0.132 -0.135  -0.192 -0.195  -0.252 -0.254  -0.294 -0.322  -0.294 -0.407  -0.294 -0.491  -0.294 -0.576  -0.295 -0.660  -0.380 -0.660  -0.464 -0.660  -0.476 -0.733  -0.476 -0.818  -0.537 -0.842  -0.622 -0.842  -0.657 -0.891  -0.657 -0.975  -0.657 -1.060  -0.657 -1.145  -0.682 -1.205  -0.767 -1.205  -0.839 -1.217  -0.839 -1.302  -0.839 -1.387
3#app#app25#app2562/R  0.338 1.131  0.217 0.890  0.097 0.649  0.017 0.398  -0.144 0.288  -0.144 0.018  -0.242 -0.154  -0.451 -0.300  -0.555 -0.475  -0.626 -0.674  -0.730 -0.900  -0.816 -1.118  -0.947 -1.256  -1.108 -1.365  -1.024 -1.261  -0.909 -1.017  -0.794 -0.773  -0.679 -0.528  -0.564 -0.284  -0.450 -0.040  -0.335 0.204  -0.220 0.448  -0.105 0.693  0.010 0.937  0.125 1.181  0.325 1.292  0.595 1.292  0.864 1.292  0.981 1.138  1.141 1.029  1.141 0.759  1.141 0.489  0.872 0.489  0.602 0.489  0.334 0.484  0.128 0.328  -0.142 0.328  -0.305 0.448  -0.305 0.179  -0.367 0.168  -0.144 0.121  0.012 0.007  0.177 -0.192  0.325 -0.314  0.338 -0.571  0.338 -0.841  0.338 -1.111  0.441 -1.278  0.550 -1.439  0.659 -1.278
3#app#app25#app2562/S  1.014 0.640  1.014 0.757  1.014 0.874  0.949 0.926  0.871 0.964  0.859 1.068  0.742 1.068  0.625 1.068  0.508 1.068  0.392 1.068  0.282 1.050  0.200 0.968  0.101 0.926  -0.016 0.926  -0.133 0.926  -0.249 0.926  -0.271 0.830  -0.340 0.783  -0.413 0.739  -0.413 0.623  -0.413 0.506  -0.413 0.389  -0.413 0.272  -0.357 0.212  -0.271 0.182  -0.266 0.069  -0.150 0.069  -0.128 -0.026  -0.128 -0.143  -0.128 -0.259  -0.116 -0.371  -0.033 -0.454  0.015 -0.550  0.037 -0.644  0.154 -0.644  0.158 -0.758  0.158 -0.875  0.158 -0.991  0.133 -1.098  0.050 -1.180  -0.032 -1.168  -0.115 -1.086  -0.197 -1.142  -0.284 -1.215  -0.401 -1.215  -0.517 -1.215  -0.634 -1.215  -0.751 -1.215  -0.868 -1.215  -0.984 -1.215
3#app#app25#app2562/T  0.236 0.760  0.236 0.602  0.218 0.452  0.106 0.341  0.092 0.189  0.092 0.031  0.092 -0.126  0.092 -0.284  0.046 -0.396  -0.053 -0.455  -0.053 -0.613  -0.053 -0.770  -0.053 -0.928  -0.053 -1.086  -0.053 -1.243  -0.151 -1.360  -0.197 -1.499  -0.197 -1.657  -0.197 -1.577  -0.219 -1.421  -0.245 -1.266  -0.271 -1.110  -0.296 -0.955  -0.322 -0.799  -0.348 -0.644  -0.374 -0.488  -0.400 -0.332  -0.426 -0.177  -0.452 -0.021  -0.478 0.134  -0.504 0.290  -0.530 0.445  -0.556 0.601  -0.582 0.756  -0.608 0.912  -0.611 1.049  -0.463 1.026  -0.352 0.914  -0.198 0.904  -0.041 0.904  0.117 0.904  0.275 0.904  0.433 0.904  0.590 0.904  0.748 0.904  0.906 0.904  1.063 0.904  1.221 0.904  1.379 0.904  1.392 0.760
3#app#app25#app2562/M  -1.357 -1.268  -1.227 -1.182  -1.185 -1.009  -1.098 -0.881  -1.038 -0.690  -0.968 -0.504  -0.839 -0.343  -0.765 -0.158  -0.709 0.034  -0.643 0.222  -0.580 0.411  -0.450 0.573  -0.450 0.788  -0.380 0.933  -0.294 1.063  -0.191 0.951  -0.191 0.736  -0.191 0.520  -0.191 0.305  -0.238 0.109  -0.321 -0.072  -0.321 -0.287  -0.321 -0.502  -0.321 -0.717  -0.321 -0.933  -0.321 -1.129  -0.253 -0.941  -0.191 -0.752  -0.040 -0.599  0.068 -0.429  0.068 -0.213  0.142 -0.029  0.294 0.124  0.446 0.276  0.507 0.466  0.586 0.648  0.715 0.810  0.780 0.998  0.932 1.151  1.104 1.166  1.104 0.951  1.104 0.735  0.995 0.565  0.974 0.359  0.974 0.143  0.974 -0.072  0.974 -0.287  0.966 -0.499  0.845 -0.664  0.845 -0.879
3#app#app25#app2562/A  -1.186 -1.453  -1.019 -1.436  -0.996 -1.263  -0.867 -1.134  -0.853 -0.957  -0.843 -0.778  -0.714 -0.649  -0.687 -0.477  -0.687 -0.294  -0.561 -0.163  -0.521 0.003  -0.420 0.144  -0.354 0.299  -0.248 0.376  -0.188 0.499  -0.188 0.682  -0.188 0.864  -0.022 0.881  0.001 1.041  0.173 1.069  0.302 1.198  0.315 1.373  0.477 1.394  0.514 1.540  0.643 1.486  0.643 1.303  0.643 1.120  0.643 0.937  0.643 0.754  0.643 0.572  0.643 0.389  0.641 0.207  0.511 0.078  0.477 -0.091  0.477 -0.274  0.477 -0.457  0.477 -0.639  0.477 -0.822  0.426 -0.954  0.311 -1.022  0.258 -1.055  0.144 -0.912  0.030 -0.769  -0.084 -0.627  -0.199 -0.484  -0.313 -0.341  -0.238 -0.289  -0.055 -0.289  0.128 -0.289  0.311 -0.289
3#app#app25#app2562/T  0.365 0.630  0.365 0.476  0.355 0.326  0.247 0.217  0.218 0.075  0.133 -0.044  0.071 -0.172  0.071 -0.326  -0.009 -0.400  -0.076 -0.487  -0.076 -0.641  -0.076 -0.794  -0.076 -0.948  -0.190 -0.989  -0.224 -1.109  -0.224 -1.263  -0.224 -1.417  -0.224 -1.571  -0.371 -1.576  -0.379 -1.423  -0.388 -1.269  -0.396 -1.115  -0.405 -0.961  -0.413 -0.808  -0.422 -0.654  -0.431 -0.500  -0.439 -0.346  -0.448 -0.193  -0.456 -0.039  -0.465 0.115  -0.473 0.269  -0.482 0.422  -0.490 0.576  -0.499 0.730  -0.507 0.883  -0.516 1.037  -0.398 1.072  -0.244 1.072  -0.090 1.072  0.064 1.072  0.175 0.968  0.311 0.925  0.465 0.925  0.618 0.925  0.772 0.925  0.926 0.925  1.080 0.925  1.234 0.925  1.248 0.784  1.395 0.777
3#app#app25#app2562/E  0.127 0.990  -0.045 0.808  -0.137 0.646  -0.340 0.523  -0.398 0.293  -0.562 0.106  -0.666 -0.043  -0.748 -0.215  -0.906 -0.311  -0.906 -0.566  -0.968 -0.794  -1.078 -1.002  -1.071 -1.249  -0.817 -1.249  -0.563 -1.249  -0.309 -1.249  -0.054 -1.249  0.200 -1.249  0.409 -1.358  0.437 -1.260  0.384 -1.011  0.331 -0.763  0.278 -0.515  0.224 -0.266  0.171 -0.018  0.118 0.231  0.065 0.479  0.011 0.728  -0.042 0.976  0.022 1.163  0.276 1.163  0.530 1.163  0.784 1.163  1.039 1.163  1.293 1.163  1.297 0.970  1.078 0.842  0.858 0.714  0.639 0.586  0.419 0.457  0.200 0.329  -0.020 0.201  -0.239 0.073  -0.459 -0.055  -0.678 -0.183  -0.545 -0.215  -0.291 -0.215  -0.036 -0.215  0.218 -0.215  0.472 -0.215
3#app#app25#app2562/E  -0.009 0.832  -0.009 0.914  -0.018 0.660  -0.181 0.560  -0.366 0.474  -0.525 0.277  -0.617 0.052  -0.698 -0.177  -0.765 -0.373  -0.870 -0.531  -1.042 -0.622  -1.042 -0.885  -1.042 -1.148  -1.211 -1.231  -1.018 -1.062  -0.755 -1.062  -0.502 -1.086  -0.300 -1.234  -0.037 -1.234  0.226 -1.234  0.314 -1.083  0.277 -0.822  0.240 -0.562  0.202 -0.302  0.165 -0.041  0.128 0.219  0.091 0.479  0.054 0.740  0.016 1.000  0.076 1.177  0.339 1.177  0.602 1.177  0.865 1.177  1.128 1.177  1.369 1.154  1.273 0.944  1.052 0.803  0.830 0.661  0.608 0.520  0.386 0.379  0.164 0.238  -0.058 0.097  -0.280 -0.045  -0.502 -0.186  -0.291 -0.201  -0.028 -0.201  0.163 -0.273  0.326 -0.373  0.589 -0.373  0.680 -0.545
3#app#app25#app2562/X  -0.972 1.008  -0.762 1.008  -0.551 1.008  -0.407 0.940  -0.310 0.769  -0.266 0.577  -0.266 0.366  -0.266 0.155  -0.266 -0.056  -0.266 -0.267  -0.266 -0.478  -0.266 -0.688  -0.266 -0.899  -0.266 -1.110  -0.125 -1.180  -0.027 -1.350  0.166 -1.394  0.376 -1.394  0.471 -1.250  0.514 -1.044  0.557 -0.837  0.601 -0.631  0.644 -0.425  0.688 -0.218  0.731 -0.012  0.775 0.195  0.818 0.401  0.862 0.607  0.905 0.814  0.948 1.020  0.992 1.226  0.902 1.187  0.753 1.038  0.582 0.981  0.514 0.799  0.333 0.725  0.264 0.584  0.083 0.510  0.016 0.326  -0.125 0.257  -0.239 0.160  -0.407 0.118  -0.519 0.019  -0.577 -0.151  -0.690 -0.315  -0.811 -0.405  -0.881 -0.546  -1.057 -0.631  -1.244 -0.688  -1.396 -0.829
