3#apb#apb13#app1359/.  -0.184 -0.090  -0.247 0.174  -0.424 0.226  -0.662 0.313  -0.883 0.440  -0.941 0.376  -1.073 0.157  -1.254 -0.044  -1.367 -0.288  -1.471 -0.532  -1.321 -0.720  -1.088 -0.851  -0.875 -0.998  -0.602 -0.998  -0.331 -0.959  -0.066 -0.901  0.179 -0.778  0.424 -0.656  0.669 -0.533  0.890 -0.378  1.071 -0.174  1.178 0.067  1.129 0.273  0.882 0.162  0.663 -0.003  0.468 -0.194  0.262 -0.372  0.047 -0.540  0.043 -0.660  0.257 -0.740  0.423 -0.851  0.546 -0.900  0.648 -0.651  0.648 -0.377  0.435 -0.317  0.346 -0.239  0.346 -0.062  0.300 0.076  0.292 0.289  0.346 0.416  0.341 0.440  0.346 0.603  0.194 0.769  0.121 0.970  0.088 1.228  -0.109 1.332  -0.132 1.553  -0.184 1.669  -0.184 1.698  -0.184 1.576
3#apb#apb13#app1359/,  0.251 1.047  0.297 1.140  0.344 1.233  0.390 1.326  0.436 1.419  0.381 1.461  0.324 1.381  0.270 1.353  0.251 1.288  0.251 1.184  0.251 1.080  0.251 0.976  0.226 0.880  0.195 0.790  0.228 0.691  0.259 0.592  0.284 0.492  0.331 0.399  0.377 0.306  0.381 0.203  0.407 0.104  0.445 0.008  0.446 -0.096  0.446 -0.200  0.446 -0.303  0.446 -0.407  0.446 -0.511  0.416 -0.608  0.381 -0.703  0.381 -0.807  0.310 -0.882  0.252 -0.968  0.150 -0.971  0.046 -0.974  -0.053 -1.001  -0.153 -0.975  -0.254 -0.950  -0.356 -0.938  -0.460 -0.938  -0.554 -0.915  -0.641 -0.873  -0.742 -0.853  -0.808 -0.790  -0.872 -0.719  -0.949 -0.650  -0.984 -0.553  -1.039 -0.485  -1.052 -0.450  -1.025 -0.417  -1.051 -0.417
3#apb#apb13#app1359/;  0.060 1.611  -0.033 1.611  -0.019 1.611  -0.064 1.550  -0.047 1.486  -0.037 1.394  -0.020 1.303  -0.004 1.212  0.012 1.121  0.028 1.030  0.045 0.939  0.061 0.848  0.077 0.757  0.055 0.734  0.089 0.692  0.142 0.622  0.188 0.541  0.250 0.476  0.330 0.428  0.368 0.350  0.387 0.260  0.402 0.168  0.405 0.076  0.405 -0.016  0.399 -0.108  0.388 -0.200  0.378 -0.292  0.378 -0.385  0.378 -0.477  0.351 -0.563  0.305 -0.643  0.266 -0.726  0.241 -0.814  0.190 -0.891  0.139 -0.969  0.097 -1.051  0.030 -1.111  -0.050 -1.157  -0.122 -1.206  -0.211 -1.183  -0.296 -1.148  -0.379 -1.107  -0.460 -1.063  -0.535 -1.009  -0.611 -0.955  -0.669 -0.885  -0.720 -0.808  -0.786 -0.745  -0.858 -0.687  -0.924 -0.622
3#apb#apb13#app1359/:  0.153 1.652  0.134 1.571  0.081 1.511  0.081 1.419  0.079 1.327  0.028 1.250  0.010 1.163  -0.030 1.095  -0.043 1.053  0.040 1.095  0.128 1.115  0.220 1.115  0.248 1.065  0.227 0.975  0.206 0.885  0.185 0.795  0.163 0.705  0.142 0.615  0.121 0.525  0.099 0.435  0.078 0.345  0.057 0.255  0.036 0.165  0.014 0.075  -0.007 -0.015  -0.028 -0.105  -0.049 -0.195  -0.071 -0.285  -0.092 -0.375  -0.113 -0.465  -0.135 -0.555  -0.156 -0.645  -0.177 -0.735  -0.198 -0.825  -0.176 -0.796  -0.093 -0.782  -0.007 -0.754  0.010 -0.748  0.010 -0.841  0.002 -0.928  -0.071 -0.979  -0.112 -1.062  -0.144 -1.148  -0.167 -1.238  -0.169 -1.330  -0.169 -1.422  -0.166 -1.462  -0.133 -1.521  -0.056 -1.527  0.010 -1.462
3#apb#apb13#app1359/$  0.188 0.379  0.312 0.598  0.443 0.795  0.253 0.855  0.002 0.827  -0.234 0.743  -0.456 0.607  -0.630 0.413  -0.583 0.197  -0.393 0.054  -0.162 -0.058  0.091 -0.101  0.340 -0.175  0.426 -0.409  0.319 -0.645  0.184 -0.868  0.019 -1.070  -0.176 -1.237  -0.420 -1.324  -0.664 -1.233  -0.876 -1.080  -1.080 -0.930  -0.946 -0.734  -0.786 -0.527  -0.627 -0.319  -0.468 -0.111  -0.309 0.097  -0.150 0.305  0.009 0.513  0.168 0.720  0.327 0.928  0.486 1.136  0.645 1.344  0.804 1.552  0.902 1.672  0.850 1.420  0.755 1.179  0.650 0.943  0.502 0.728  0.394 0.491  0.284 0.254  0.187 0.011  0.090 -0.233  0.013 -0.483  -0.030 -0.740  -0.030 -1.002  -0.070 -1.258  -0.108 -1.445  -0.242 -1.492  -0.209 -1.287
3#apb#apb13#app1359/#  0.291 1.354  0.217 1.037  0.119 0.664  -0.065 0.323  -0.282 0.001  -0.513 -0.311  -0.730 -0.632  -0.991 -0.920  -1.185 -1.252  -1.261 -1.533  -1.016 -1.231  -0.771 -0.929  -0.527 -0.627  -0.282 -0.326  -0.037 -0.024  0.207 0.278  0.452 0.580  0.697 0.881  0.941 1.183  0.761 0.932  0.627 0.569  0.486 0.209  0.335 -0.149  0.162 -0.496  -0.063 -0.812  -0.283 -1.130  -0.476 -1.389  -0.604 -1.024  -0.731 -0.657  -0.859 -0.290  -0.987 0.077  -1.040 0.409  -0.672 0.533  -0.295 0.624  0.087 0.697  0.472 0.735  0.858 0.762  1.237 0.787  1.082 0.656  0.737 0.477  0.392 0.298  0.048 0.119  -0.297 -0.060  -0.605 -0.227  -0.223 -0.159  0.162 -0.104  0.547 -0.056  0.933 -0.012  1.317 0.047  1.627 0.116
3#apb#apb13#app1359/&  0.568 1.353  0.394 1.309  0.238 1.121  0.113 0.910  -0.001 0.692  -0.119 0.477  -0.251 0.271  -0.339 0.041  -0.435 -0.185  -0.538 -0.408  -0.661 -0.621  -0.779 -0.836  -0.877 -1.060  -0.972 -1.284  -0.941 -1.256  -0.844 -1.031  -0.774 -0.796  -0.696 -0.563  -0.630 -0.326  -0.536 -0.100  -0.496 0.136  -0.606 0.342  -0.850 0.345  -1.085 0.345  -1.224 0.175  -1.189 -0.053  -1.063 -0.263  -0.879 -0.424  -0.666 -0.522  -0.420 -0.522  -0.177 -0.504  0.060 -0.439  0.296 -0.369  0.536 -0.316  0.763 -0.229  0.986 -0.125  1.100 -0.007  1.016 0.042  0.960 0.120  0.938 0.134  0.932 0.160  0.896 0.242  0.882 0.262  0.900 0.373  0.957 0.457  0.988 0.522  1.016 0.551  1.078 0.583  1.135 0.703  1.296 0.569
3#apb#apb13#app1359/!  0.597 1.596  0.571 1.546  0.538 1.495  0.525 1.420  0.494 1.352  0.453 1.288  0.412 1.224  0.371 1.159  0.325 1.100  0.268 1.049  0.211 0.998  0.154 0.948  0.110 0.889  0.092 0.816  0.073 0.742  0.047 0.670  0.016 0.601  -0.015 0.531  -0.050 0.464  -0.096 0.403  -0.111 0.332  -0.111 0.256  -0.127 0.183  -0.111 0.133  -0.136 0.067  -0.136 -0.009  -0.136 -0.085  -0.136 -0.161  -0.139 -0.237  -0.142 -0.313  -0.145 -0.390  -0.148 -0.466  -0.151 -0.542  -0.154 -0.618  -0.157 -0.694  -0.160 -0.770  -0.163 -0.846  -0.166 -0.922  -0.169 -0.998  -0.172 -1.075  -0.175 -1.151  -0.178 -1.227  -0.182 -1.303  -0.185 -1.379  -0.193 -1.419  -0.226 -1.354  -0.297 -1.335  -0.313 -1.326  -0.263 -1.335  -0.212 -1.310
3#apb#apb13#app1359/?  -1.216 0.543  -1.122 0.607  -1.034 0.686  -0.943 0.761  -0.840 0.820  -0.731 0.864  -0.617 0.898  -0.504 0.934  -0.392 0.972  -0.287 0.939  -0.184 0.879  -0.082 0.821  -0.014 0.918  0.054 1.015  0.153 1.051  0.272 1.051  0.383 1.013  0.498 0.986  0.587 0.913  0.611 0.798  0.611 0.680  0.608 0.562  0.547 0.460  0.473 0.368  0.411 0.269  0.333 0.184  0.248 0.103  0.156 0.042  0.064 -0.027  -0.026 -0.083  -0.056 -0.176  -0.039 -0.293  -0.021 -0.410  -0.004 -0.528  0.013 -0.645  0.031 -0.762  0.048 -0.879  0.065 -0.996  0.083 -1.114  0.100 -1.231  0.118 -1.348  0.156 -1.407  0.209 -1.425  0.206 -1.397  0.218 -1.334  0.218 -1.286  0.218 -1.214  0.205 -1.203  0.161 -1.191  0.056 -1.191
3#apb#apb13#app1359/  1.077 1.252  1.064 1.239  1.008 1.196  0.959 1.147  0.914 1.093  0.868 1.040  0.822 0.988  0.775 0.936  0.725 0.888  0.670 0.845  0.614 0.802  0.568 0.751  0.530 0.692  0.492 0.633  0.454 0.574  0.414 0.517  0.362 0.470  0.310 0.422  0.259 0.375  0.207 0.328  0.163 0.273  0.120 0.218  0.077 0.163  0.034 0.108  -0.009 0.052  -0.051 -0.004  -0.093 -0.060  -0.135 -0.116  -0.177 -0.172  -0.220 -0.228  -0.264 -0.282  -0.308 -0.336  -0.352 -0.391  -0.396 -0.445  -0.441 -0.500  -0.480 -0.558  -0.518 -0.616  -0.556 -0.675  -0.594 -0.734  -0.632 -0.793  -0.670 -0.852  -0.707 -0.911  -0.745 -0.970  -0.782 -1.030  -0.817 -1.090  -0.851 -1.151  -0.883 -1.214  -0.909 -1.279  -0.939 -1.323  -0.957 -1.272
3#apb#apb13#app1359/'  0.783 1.200  0.796 1.258  0.867 1.258  0.892 1.222  0.875 1.153  0.857 1.084  0.837 1.016  0.796 0.958  0.754 0.900  0.713 0.842  0.671 0.784  0.630 0.726  0.589 0.668  0.548 0.610  0.516 0.547  0.484 0.483  0.452 0.419  0.420 0.355  0.388 0.292  0.347 0.234  0.297 0.184  0.247 0.134  0.196 0.083  0.146 0.033  0.095 -0.017  0.045 -0.068  -0.007 -0.116  -0.061 -0.163  -0.115 -0.209  -0.169 -0.255  -0.224 -0.302  -0.278 -0.348  -0.332 -0.394  -0.386 -0.441  -0.430 -0.496  -0.473 -0.553  -0.515 -0.610  -0.558 -0.667  -0.611 -0.715  -0.666 -0.759  -0.722 -0.804  -0.777 -0.848  -0.833 -0.893  -0.881 -0.944  -0.921 -1.004  -0.960 -1.063  -1.005 -1.118  -1.055 -1.168  -1.106 -1.219  -1.156 -1.269
