3#apa#apa01#app0104/S  0.340 0.891  0.446 0.916  0.501 1.010  0.449 1.105  0.366 1.187  0.261 1.214  0.144 1.214  0.027 1.214  -0.058 1.138  -0.172 1.133  -0.270 1.088  -0.372 1.052  -0.459 0.980  -0.570 0.961  -0.674 0.909  -0.709 0.814  -0.709 0.697  -0.661 0.601  -0.558 0.568  -0.472 0.493  -0.366 0.467  -0.284 0.385  -0.195 0.311  -0.091 0.259  -0.002 0.184  0.080 0.102  0.162 0.019  0.221 -0.081  0.280 -0.179  0.355 -0.268  0.407 -0.372  0.424 -0.484  0.501 -0.569  0.501 -0.685  0.501 -0.802  0.501 -0.919  0.501 -1.035  0.426 -1.121  0.393 -1.207  0.295 -1.252  0.212 -1.335  0.110 -1.369  -0.007 -1.369  -0.124 -1.369  -0.225 -1.353  -0.225 -1.237  -0.286 -1.146  -0.306 -1.037  -0.306 -0.920  -0.306 -0.804
3#apa#apa01#app0104/e  -0.857 -0.712  -0.857 -0.855  -0.831 -0.712  -0.662 -0.712  -0.545 -0.661  -0.481 -0.557  -0.335 -0.503  -0.209 -0.401  -0.041 -0.401  0.113 -0.365  0.232 -0.246  0.351 -0.127  0.504 -0.090  0.635 0.001  0.777 0.065  0.855 0.155  0.958 0.221  1.011 0.337  1.011 0.505  1.011 0.673  1.011 0.842  0.893 0.961  0.855 1.114  0.727 1.155  0.600 1.254  0.455 1.310  0.286 1.310  0.151 1.229  0.032 1.110  -0.090 0.999  -0.251 0.982  -0.370 0.863  -0.390 0.702  -0.499 0.579  -0.545 0.430  -0.545 0.261  -0.636 0.131  -0.701 -0.011  -0.701 -0.179  -0.701 -0.348  -0.701 -0.516  -0.611 -0.647  -0.511 -0.780  -0.436 -0.931  -0.344 -1.069  -0.221 -1.179  -0.060 -1.198  0.059 -1.317  0.220 -1.335  0.388 -1.335
3#apa#apa01#app0104/e  -0.298 -0.279  -0.171 -0.267  -0.153 -0.134  -0.055 -0.035  0.080 -0.024  0.180 0.072  0.279 0.171  0.378 0.270  0.477 0.369  0.576 0.468  0.708 0.487  0.722 0.612  0.850 0.624  0.850 0.764  0.850 0.903  0.804 0.997  0.664 0.997  0.595 1.067  0.512 1.125  0.372 1.125  0.233 1.125  0.093 1.125  0.081 0.997  -0.054 0.986  -0.153 0.887  -0.252 0.788  -0.298 0.667  -0.359 0.553  -0.458 0.454  -0.557 0.355  -0.656 0.256  -0.681 0.127  -0.681 -0.013  -0.681 -0.152  -0.681 -0.292  -0.681 -0.432  -0.681 -0.572  -0.681 -0.712  -0.653 -0.845  -0.591 -0.970  -0.514 -1.084  -0.415 -1.183  -0.316 -1.282  -0.184 -1.300  -0.057 -1.356  0.068 -1.419  0.206 -1.427  0.331 -1.487  0.456 -1.549  0.595 -1.555
3#apa#apa01#app0104/?  -0.567 0.879  -0.657 0.887  -0.646 0.980  -0.577 1.049  -0.483 1.059  -0.386 1.060  -0.298 1.103  -0.211 1.147  -0.114 1.149  -0.016 1.149  0.082 1.149  0.180 1.149  0.267 1.125  0.334 1.055  0.334 0.957  0.334 0.860  0.314 0.770  0.245 0.701  0.240 0.605  0.171 0.536  0.102 0.467  0.044 0.390  0.000 0.303  -0.053 0.222  -0.117 0.151  -0.132 0.069  -0.207 0.045  -0.229 -0.043  -0.297 -0.113  -0.287 -0.201  -0.201 -0.217  -0.170 -0.310  -0.139 -0.403  -0.108 -0.495  -0.078 -0.588  -0.047 -0.681  -0.016 -0.774  0.015 -0.866  0.046 -0.959  0.077 -1.052  0.108 -1.144  0.139 -1.237  0.170 -1.330  0.201 -1.422  0.231 -1.515  0.303 -1.552  0.401 -1.552  0.498 -1.552  0.596 -1.552  0.604 -1.462
3#apa#apa01#app0104/\"  -1.005 0.975  -1.005 0.802  -0.951 0.642  -0.874 0.487  -0.796 0.332  -0.780 0.163  -0.780 -0.010  -0.756 -0.174  -0.634 -0.296  -0.555 -0.437  -0.555 -0.610  -0.555 -0.783  -0.555 -0.956  -0.555 -1.129  -0.546 -1.248  -0.492 -1.083  -0.437 -0.919  -0.382 -0.755  -0.327 -0.591  -0.273 -0.426  -0.218 -0.262  -0.163 -0.098  -0.108 0.066  -0.054 0.231  0.001 0.395  0.056 0.559  0.111 0.723  0.165 0.888  0.220 1.052  0.275 1.216  0.330 1.380  0.471 1.425  0.569 1.351  0.569 1.178  0.569 1.005  0.569 0.831  0.569 0.658  0.569 0.485  0.569 0.312  0.569 0.139  0.569 -0.034  0.569 -0.207  0.574 -0.379  0.696 -0.501  0.794 -0.634  0.794 -0.807  0.794 -0.980  0.794 -1.153  0.794 -1.326  0.794 -1.499
3#apa#apa01#app0104/s  0.359 1.198  0.253 1.198  0.146 1.198  0.040 1.198  -0.066 1.198  -0.173 1.198  -0.262 1.181  -0.262 1.075  -0.336 1.042  -0.443 1.042  -0.549 1.042  -0.573 0.960  -0.596 0.864  -0.672 0.788  -0.728 0.705  -0.728 0.599  -0.728 0.493  -0.728 0.387  -0.728 0.280  -0.636 0.266  -0.530 0.266  -0.424 0.266  -0.347 0.195  -0.271 0.120  -0.169 0.111  -0.076 0.079  -0.000 0.004  0.075 -0.071  0.150 -0.146  0.234 -0.200  0.340 -0.200  0.398 -0.278  0.446 -0.373  0.493 -0.468  0.573 -0.511  0.669 -0.521  0.669 -0.627  0.669 -0.733  0.669 -0.840  0.669 -0.946  0.669 -1.052  0.645 -1.144  0.550 -1.191  0.455 -1.239  0.360 -1.286  0.285 -1.361  0.209 -1.436  0.106 -1.442  -0.001 -1.442  -0.107 -1.442
3#apa#apa01#app0104/c  0.776 1.138  0.711 1.203  0.646 1.268  0.563 1.288  0.478 1.281  0.478 1.189  0.436 1.138  0.344 1.138  0.252 1.138  0.166 1.125  0.101 1.060  0.036 0.995  -0.029 0.930  -0.094 0.865  -0.159 0.800  -0.224 0.735  -0.270 0.662  -0.270 0.570  -0.314 0.497  -0.379 0.432  -0.419 0.356  -0.419 0.264  -0.468 0.193  -0.533 0.128  -0.569 0.051  -0.569 -0.041  -0.569 -0.133  -0.569 -0.225  -0.569 -0.317  -0.531 -0.394  -0.466 -0.459  -0.419 -0.531  -0.419 -0.623  -0.377 -0.697  -0.312 -0.762  -0.247 -0.827  -0.182 -0.892  -0.115 -0.954  -0.023 -0.954  0.057 -0.982  0.122 -1.047  0.190 -1.103  0.282 -1.103  0.374 -1.103  0.466 -1.103  0.478 -1.184  0.501 -1.253  0.593 -1.253  0.684 -1.253  0.776 -1.253
3#apa#apa01#app0104/r  -0.663 1.205  -0.663 1.066  -0.663 0.927  -0.663 0.789  -0.663 0.650  -0.663 0.511  -0.663 0.373  -0.613 0.255  -0.515 0.156  -0.483 0.031  -0.483 -0.107  -0.476 -0.243  -0.378 -0.341  -0.303 -0.449  -0.303 -0.587  -0.303 -0.726  -0.303 -0.865  -0.303 -1.004  -0.297 -1.137  -0.159 -1.137  -0.122 -1.239  -0.122 -1.378  -0.122 -1.478  -0.122 -1.339  -0.122 -1.201  -0.122 -1.062  -0.122 -0.923  -0.122 -0.785  -0.122 -0.646  -0.122 -0.507  -0.122 -0.369  -0.122 -0.230  -0.122 -0.091  -0.076 0.037  -0.014 0.161  0.048 0.285  0.175 0.304  0.291 0.357  0.389 0.455  0.487 0.554  0.585 0.652  0.598 0.785  0.677 0.844  0.805 0.871  0.903 0.969  1.019 1.025  1.152 1.038  1.250 1.136  1.360 1.205  1.499 1.205
3#apa#apa01#app0104/e  -1.292 -0.276  -1.120 -0.276  -0.949 -0.276  -0.897 -0.156  -0.803 -0.078  -0.631 -0.078  -0.460 -0.078  -0.293 -0.067  -0.171 0.054  -0.027 0.120  0.139 0.143  0.293 0.220  0.446 0.297  0.613 0.317  0.785 0.317  0.882 0.391  0.930 0.515  1.102 0.515  1.274 0.515  1.277 0.683  1.177 0.813  1.046 0.910  0.874 0.910  0.703 0.910  0.531 0.910  0.359 0.910  0.188 0.910  0.016 0.910  -0.106 0.861  -0.129 0.713  -0.301 0.713  -0.423 0.593  -0.501 0.454  -0.526 0.292  -0.647 0.171  -0.699 0.021  -0.699 -0.151  -0.699 -0.322  -0.699 -0.494  -0.699 -0.666  -0.581 -0.789  -0.460 -0.910  -0.339 -1.031  -0.217 -1.153  -0.092 -1.264  0.080 -1.264  0.205 -1.377  0.341 -1.461  0.513 -1.461  0.685 -1.461
3#apa#apa01#app0104/e  -0.796 -0.302  -0.638 -0.302  -0.522 -0.202  -0.395 -0.127  -0.247 -0.103  -0.136 0.008  0.005 0.048  0.163 0.048  0.301 0.096  0.412 0.207  0.563 0.222  0.602 0.341  0.704 0.397  0.837 0.457  0.948 0.568  0.952 0.725  0.816 0.747  0.777 0.865  0.676 0.921  0.602 1.006  0.555 1.144  0.443 1.255  0.292 1.271  0.135 1.271  0.007 1.200  -0.097 1.085  -0.097 0.927  -0.204 0.814  -0.299 0.691  -0.370 0.550  -0.440 0.409  -0.548 0.295  -0.621 0.167  -0.621 0.010  -0.621 -0.148  -0.621 -0.306  -0.621 -0.463  -0.621 -0.621  -0.621 -0.779  -0.543 -0.904  -0.446 -1.021  -0.443 -1.176  -0.285 -1.176  -0.271 -1.320  -0.145 -1.350  0.001 -1.399  0.142 -1.470  0.287 -1.525  0.445 -1.525  0.602 -1.525
3#apa#apa01#app0104/c  0.831 0.942  0.831 1.047  0.782 1.103  0.677 1.103  0.572 1.103  0.466 1.103  0.361 1.103  0.256 1.103  0.184 1.070  0.184 0.964  0.102 0.942  0.022 0.916  0.022 0.810  -0.052 0.780  -0.152 0.767  -0.227 0.692  -0.301 0.618  -0.407 0.618  -0.463 0.569  -0.463 0.464  -0.532 0.387  -0.607 0.313  -0.681 0.238  -0.755 0.164  -0.786 0.071  -0.786 -0.034  -0.786 -0.139  -0.786 -0.245  -0.786 -0.350  -0.713 -0.425  -0.639 -0.500  -0.565 -0.574  -0.490 -0.649  -0.416 -0.723  -0.341 -0.797  -0.253 -0.838  -0.147 -0.838  -0.070 -0.906  0.004 -0.981  0.102 -0.999  0.207 -0.999  0.312 -0.999  0.418 -0.999  0.523 -0.999  0.628 -0.999  0.733 -0.999  0.839 -0.999  0.944 -0.999  1.049 -0.999  1.155 -0.999
3#apa#apa01#app0104/h  -0.750 1.906  -0.727 1.792  -0.636 1.746  -0.587 1.629  -0.522 1.519  -0.491 1.389  -0.430 1.266  -0.407 1.134  -0.407 0.997  -0.399 0.861  -0.338 0.738  -0.293 0.612  -0.293 0.475  -0.293 0.337  -0.293 0.200  -0.293 0.063  -0.293 -0.075  -0.293 -0.212  -0.293 -0.349  -0.293 -0.486  -0.293 -0.624  -0.293 -0.761  -0.293 -0.898  -0.293 -1.035  -0.293 -1.173  -0.293 -1.279  -0.266 -1.153  -0.169 -1.056  -0.072 -0.959  -0.064 -0.825  -0.064 -0.687  -0.038 -0.556  0.023 -0.433  0.085 -0.311  0.146 -0.188  0.164 -0.055  0.249 0.047  0.346 0.144  0.464 0.192  0.601 0.192  0.704 0.109  0.736 -0.015  0.817 -0.119  0.850 -0.242  0.850 -0.380  0.873 -0.494  0.964 -0.540  0.964 -0.677  0.964 -0.814  0.964 -0.952
3#apa#apa01#app0104/e  -0.793 -0.215  -0.640 -0.215  -0.519 -0.137  -0.411 -0.029  -0.261 -0.020  -0.137 0.050  -0.028 0.158  0.117 0.176  0.270 0.176  0.411 0.206  0.519 0.315  0.649 0.371  0.802 0.371  0.955 0.371  1.067 0.471  1.163 0.585  1.163 0.738  1.163 0.891  1.076 0.958  0.923 0.958  0.770 0.958  0.617 0.958  0.464 0.958  0.311 0.958  0.157 0.958  0.004 0.958  -0.108 0.860  -0.217 0.752  -0.325 0.644  -0.433 0.535  -0.542 0.427  -0.597 0.297  -0.597 0.144  -0.597 -0.009  -0.698 -0.121  -0.793 -0.235  -0.793 -0.388  -0.793 -0.541  -0.793 -0.694  -0.761 -0.834  -0.652 -0.942  -0.522 -0.997  -0.402 -1.030  -0.402 -1.183  -0.300 -1.294  -0.186 -1.388  -0.033 -1.388  0.106 -1.447  0.243 -1.515  0.380 -1.584
