3#apa#apa13#app1397/A  -0.083 1.238  0.002 1.372  0.002 1.082  -0.104 0.814  -0.168 0.531  -0.202 0.251  -0.338 0.002  -0.383 -0.275  -0.508 -0.527  -0.553 -0.807  -0.678 -1.068  -0.737 -1.345  -0.763 -1.629  -0.721 -1.561  -0.654 -1.279  -0.586 -0.996  -0.519 -0.714  -0.452 -0.431  -0.385 -0.148  -0.317 0.134  -0.250 0.417  -0.183 0.699  -0.116 0.982  -0.048 1.264  0.019 1.547  0.086 1.830  0.087 1.546  0.172 1.275  0.291 1.034  0.395 0.771  0.498 0.501  0.594 0.228  0.722 -0.033  0.852 -0.293  0.877 -0.573  1.022 -0.803  1.031 -0.933  0.774 -0.798  0.517 -0.664  0.260 -0.529  0.002 -0.394  -0.255 -0.259  -0.512 -0.124  -0.605 -0.111  -0.375 -0.256  -0.099 -0.293  0.171 -0.208  0.461 -0.208  0.736 -0.138  1.022 -0.123
3#apa#apa13#app1397/s  1.242 1.186  1.227 1.032  1.059 1.032  0.890 1.032  0.728 1.005  0.578 0.930  0.421 0.879  0.273 0.830  0.150 0.716  -0.001 0.641  -0.153 0.573  -0.313 0.551  -0.432 0.431  -0.579 0.352  -0.730 0.276  -0.881 0.201  -1.031 0.126  -1.197 0.113  -1.055 0.113  -0.887 0.113  -0.718 0.113  -0.550 0.113  -0.388 0.141  -0.237 0.216  -0.080 0.266  0.088 0.266  0.257 0.266  0.425 0.266  0.594 0.266  0.762 0.266  0.887 0.161  0.936 0.013  0.936 -0.155  0.936 -0.324  0.791 -0.347  0.777 -0.504  0.636 -0.598  0.496 -0.691  0.356 -0.785  0.194 -0.807  0.026 -0.807  -0.096 -0.919  -0.248 -0.960  -0.416 -0.960  -0.543 -1.060  -0.689 -1.113  -0.858 -1.113  -1.026 -1.113  -1.195 -1.113  -1.363 -1.113
3#apa#apa13#app1397/m  -1.150 1.042  -1.150 0.869  -1.150 0.695  -1.150 0.522  -1.150 0.348  -1.150 0.175  -1.150 0.001  -1.150 -0.172  -1.150 -0.346  -1.033 -0.402  -0.939 -0.482  -0.810 -0.376  -0.687 -0.254  -0.647 -0.097  -0.539 0.037  -0.461 0.192  -0.430 0.355  -0.329 0.487  -0.268 0.635  -0.212 0.785  -0.105 0.914  -0.095 0.766  -0.095 0.593  -0.111 0.423  -0.189 0.268  -0.212 0.100  -0.212 -0.074  -0.212 -0.247  -0.212 -0.421  -0.212 -0.594  -0.044 -0.599  0.130 -0.599  0.255 -0.484  0.374 -0.428  0.452 -0.287  0.575 -0.164  0.697 -0.042  0.843 0.003  0.894 0.155  1.017 0.278  1.165 0.339  1.195 0.195  1.195 0.021  1.195 -0.152  1.195 -0.326  1.290 -0.460  1.330 -0.617  1.429 -0.749  1.509 -0.873  1.664 -0.951
3#apa#apa13#app1397/a  -0.010 0.256  -0.010 0.426  -0.052 0.579  -0.150 0.709  -0.150 0.879  -0.150 1.049  -0.271 1.099  -0.441 1.099  -0.612 1.099  -0.713 1.030  -0.812 0.958  -0.853 0.830  -0.965 0.706  -1.086 0.585  -1.134 0.435  -1.134 0.265  -1.134 0.094  -1.134 -0.076  -1.134 -0.246  -1.056 -0.384  -0.912 -0.447  -0.853 -0.559  -0.712 -0.588  -0.541 -0.588  -0.371 -0.588  -0.201 -0.588  -0.030 -0.588  0.096 -0.482  0.252 -0.447  0.378 -0.340  0.499 -0.220  0.619 -0.099  0.693 0.040  0.693 0.211  0.693 0.381  0.552 0.382  0.508 0.256  0.412 0.181  0.412 0.011  0.412 -0.159  0.528 -0.282  0.552 -0.442  0.669 -0.564  0.790 -0.684  0.942 -0.728  1.072 -0.826  1.224 -0.869  1.394 -0.869  1.556 -0.889  1.677 -1.009
3#apa#apa13#app1397/l  -0.178 1.696  -0.178 1.625  -0.178 1.554  -0.178 1.483  -0.178 1.412  -0.178 1.341  -0.178 1.270  -0.178 1.199  -0.178 1.128  -0.178 1.057  -0.178 0.986  -0.178 0.916  -0.178 0.845  -0.178 0.774  -0.146 0.710  -0.114 0.647  -0.083 0.583  -0.076 0.514  -0.076 0.443  -0.076 0.372  -0.076 0.301  -0.076 0.230  -0.076 0.159  -0.076 0.089  -0.058 0.022  -0.026 -0.042  0.006 -0.105  0.027 -0.171  0.027 -0.242  0.027 -0.313  0.027 -0.384  0.027 -0.455  0.059 -0.518  0.090 -0.582  0.122 -0.645  0.129 -0.714  0.129 -0.785  0.129 -0.856  0.157 -0.920  0.189 -0.984  0.221 -1.047  0.232 -1.116  0.232 -1.187  0.232 -1.258  0.232 -1.328  0.232 -1.399  0.232 -1.470  0.232 -1.541  0.232 -1.612  0.232 -1.683
3#apa#apa13#app1397/l  -0.407 1.599  -0.356 1.549  -0.306 1.499  -0.256 1.449  -0.206 1.399  -0.189 1.334  -0.182 1.266  -0.132 1.216  -0.082 1.166  -0.080 1.095  -0.080 1.024  -0.080 0.953  -0.080 0.882  -0.080 0.811  -0.080 0.740  -0.068 0.670  -0.055 0.601  -0.041 0.531  -0.027 0.461  -0.013 0.392  0.001 0.322  0.015 0.252  0.029 0.183  0.029 0.112  0.029 0.040  0.029 -0.031  0.029 -0.102  0.029 -0.173  0.029 -0.244  0.029 -0.315  0.029 -0.386  0.029 -0.457  0.029 -0.528  0.039 -0.597  0.070 -0.660  0.102 -0.724  0.134 -0.787  0.137 -0.857  0.137 -0.928  0.137 -0.999  0.137 -1.070  0.137 -1.141  0.137 -1.212  0.137 -1.284  0.137 -1.355  0.137 -1.426  0.172 -1.482  0.223 -1.532  0.246 -1.594  0.246 -1.665
3#apa#apa13#app1397/,  -0.884 1.198  -0.791 1.198  -0.698 1.198  -0.605 1.198  -0.511 1.198  -0.418 1.198  -0.325 1.198  -0.232 1.198  -0.224 1.113  -0.224 1.019  -0.224 0.926  -0.189 0.867  -0.096 0.867  -0.003 0.867  0.091 0.867  0.107 0.790  0.107 0.697  0.107 0.604  0.107 0.511  0.107 0.417  0.107 0.324  0.107 0.231  0.176 0.207  0.269 0.207  0.362 0.207  0.437 0.188  0.437 0.095  0.437 0.002  0.437 -0.091  0.437 -0.185  0.437 -0.278  0.437 -0.371  0.430 -0.462  0.364 -0.527  0.298 -0.593  0.232 -0.659  0.166 -0.725  0.107 -0.794  0.107 -0.887  0.107 -0.980  0.107 -1.074  0.070 -1.152  0.004 -1.218  -0.062 -1.284  -0.128 -1.350  -0.193 -1.415  -0.224 -1.496  -0.224 -1.590  -0.224 -1.683  -0.224 -1.776
3#apa#apa13#app1397/g  0.231 1.195  0.105 1.195  -0.022 1.195  -0.069 1.116  -0.164 1.048  -0.279 0.995  -0.402 0.979  -0.515 0.922  -0.635 0.895  -0.736 0.830  -0.825 0.741  -0.872 0.633  -0.784 0.594  -0.657 0.594  -0.531 0.594  -0.404 0.594  -0.277 0.594  -0.150 0.594  -0.023 0.594  0.103 0.594  0.201 0.664  0.315 0.694  0.432 0.684  0.432 0.557  0.432 0.430  0.432 0.303  0.316 0.293  0.231 0.250  0.183 0.144  0.131 0.038  0.131 -0.089  0.131 -0.215  0.131 -0.342  0.173 -0.452  0.231 -0.554  0.231 -0.681  0.301 -0.779  0.332 -0.893  0.341 -1.011  0.432 -1.047  0.432 -1.173  0.432 -1.300  0.432 -1.427  0.391 -1.512  0.264 -1.512  0.137 -1.512  0.010 -1.512  -0.117 -1.512  -0.244 -1.512  -0.370 -1.512
3#apa#apa13#app1397/r  -0.667 0.469  -0.667 0.330  -0.589 0.224  -0.501 0.121  -0.501 -0.017  -0.501 -0.156  -0.501 -0.295  -0.451 -0.412  -0.353 -0.511  -0.335 -0.642  -0.335 -0.781  -0.294 -0.902  -0.196 -1.000  -0.097 -1.098  0.001 -1.196  0.099 -1.294  0.116 -1.359  -0.003 -1.339  -0.003 -1.201  -0.095 -1.100  -0.169 -0.992  -0.169 -0.853  -0.169 -0.715  -0.287 -0.694  -0.335 -0.604  -0.335 -0.465  -0.335 -0.326  -0.335 -0.187  -0.335 -0.049  -0.335 0.090  -0.335 0.229  -0.335 0.367  -0.335 0.506  -0.335 0.645  -0.335 0.783  -0.249 0.887  -0.144 0.967  -0.005 0.967  0.133 0.967  0.272 0.967  0.411 0.967  0.549 0.967  0.688 0.967  0.827 0.967  0.965 0.967  1.104 0.967  1.243 0.967  1.381 0.967  1.520 0.967  1.659 0.967
3#apa#apa13#app1397/e  -0.999 -0.436  -0.828 -0.436  -0.657 -0.436  -0.486 -0.436  -0.316 -0.436  -0.145 -0.436  -0.018 -0.330  0.103 -0.209  0.224 -0.089  0.227 0.081  0.389 0.089  0.513 0.201  0.634 0.322  0.752 0.444  0.752 0.614  0.752 0.785  0.752 0.956  0.638 1.079  0.492 1.140  0.321 1.140  0.150 1.140  -0.020 1.140  -0.191 1.140  -0.343 1.095  -0.464 0.974  -0.585 0.853  -0.705 0.733  -0.826 0.612  -0.947 0.491  -0.999 0.342  -0.999 0.171  -0.999 0.001  -0.999 -0.170  -0.942 -0.317  -0.821 -0.438  -0.700 -0.559  -0.561 -0.654  -0.409 -0.731  -0.251 -0.786  -0.080 -0.786  0.091 -0.786  0.261 -0.786  0.432 -0.786  0.603 -0.786  0.774 -0.786  0.944 -0.786  1.115 -0.786  1.286 -0.786  1.456 -0.786  1.627 -0.786
3#apa#apa13#app1397/e  -0.715 -0.394  -0.608 -0.286  -0.501 -0.179  -0.374 -0.119  -0.304 -0.038  -0.218 0.061  -0.082 0.129  -0.029 0.248  0.078 0.293  0.108 0.414  0.108 0.566  0.214 0.673  0.246 0.812  0.160 0.928  0.029 0.979  -0.123 0.979  -0.274 0.979  -0.426 0.979  -0.578 0.979  -0.592 0.842  -0.736 0.822  -0.843 0.715  -0.853 0.567  -0.863 0.420  -0.971 0.312  -0.990 0.169  -0.990 0.017  -0.990 -0.135  -0.963 -0.270  -0.828 -0.338  -0.697 -0.412  -0.589 -0.520  -0.442 -0.531  -0.291 -0.531  -0.147 -0.550  -0.040 -0.658  0.108 -0.668  0.259 -0.668  0.411 -0.668  0.561 -0.658  0.709 -0.621  0.856 -0.584  1.003 -0.548  1.153 -0.531  1.305 -0.531  1.456 -0.531  1.608 -0.531  1.759 -0.529  1.895 -0.462  2.031 -0.394
