1d#tos#f1#f1013066/!  0.406 1.323  0.406 1.398  0.406 1.473  0.348 1.489  0.307 1.456  0.307 1.381  0.307 1.306  0.307 1.232  0.277 1.164  0.274 1.090  0.260 1.018  0.233 0.949  0.188 0.889  0.143 0.829  0.119 0.759  0.093 0.689  0.065 0.620  0.041 0.549  0.041 0.475  0.033 0.401  0.009 0.331  0.008 0.256  0.008 0.181  0.008 0.107  -0.002 0.034  -0.025 -0.037  -0.049 -0.108  -0.058 -0.181  -0.058 -0.256  -0.058 -0.331  -0.058 -0.405  -0.058 -0.480  -0.058 -0.555  -0.058 -0.629  -0.075 -0.700  -0.108 -0.767  -0.158 -0.805  -0.158 -0.879  -0.158 -0.954  -0.158 -1.029  -0.225 -1.037  -0.245 -1.109  -0.265 -1.181  -0.284 -1.253  -0.304 -1.325  -0.324 -1.397  -0.332 -1.464  -0.407 -1.464  -0.456 -1.489  -0.456 -1.563
1d#tos#f1#f1013066/#  -1.132 -0.275  -1.184 -0.088  -0.875 -0.011  -0.551 0.042  -0.225 0.152  0.109 0.201  0.435 0.300  0.740 0.404  0.558 0.642  0.293 0.864  0.027 1.085  -0.256 1.258  -0.392 1.047  -0.365 0.704  -0.339 0.361  -0.339 0.015  -0.304 -0.326  -0.286 -0.669  -0.171 -0.880  -0.067 -0.550  0.036 -0.220  0.140 0.110  0.243 0.440  0.347 0.770  0.450 1.101  0.554 1.431  0.657 1.761  0.560 1.512  0.560 1.166  0.560 0.820  0.560 0.474  0.560 0.128  0.560 -0.218  0.528 -0.560  0.507 -0.903  0.507 -1.249  0.354 -1.400  0.019 -1.316  -0.317 -1.232  -0.653 -1.148  -0.988 -1.064  -1.304 -0.935  -1.107 -0.832  -0.798 -0.728  -0.523 -0.539  -0.185 -0.488  0.111 -0.334  0.449 -0.275  0.795 -0.275  1.141 -0.275
1d#tos#f1#f1013066/$  0.867 1.051  0.867 1.185  0.764 1.245  0.637 1.269  0.526 1.344  0.411 1.390  0.276 1.390  0.142 1.390  0.008 1.390  -0.090 1.303  -0.185 1.208  -0.252 1.093  -0.294 0.976  -0.294 0.842  -0.294 0.707  -0.294 0.573  -0.294 0.439  -0.237 0.325  -0.149 0.279  -0.149 0.144  -0.028 0.131  0.047 0.035  0.170 0.007  0.291 -0.022  0.335 -0.145  0.405 -0.225  0.529 -0.263  0.529 -0.397  0.529 -0.531  0.529 -0.666  0.529 -0.800  0.480 -0.885  0.383 -0.923  0.356 -1.030  0.222 -1.030  0.108 -1.079  -0.027 -1.079  -0.161 -1.079  -0.295 -1.078  -0.390 -0.983  -0.510 -0.923  -0.633 -0.883  -0.633 -0.749  -0.633 -0.614  -0.633 -0.480  -0.681 -0.505  -0.681 -0.639  -0.681 -0.773  -0.691 -0.905  -0.730 -1.030
1d#tos#f1#f1013066/%  0.875 1.272  0.828 1.178  0.750 0.967  0.610 0.780  0.436 0.630  0.339 0.416  0.209 0.228  0.043 0.062  -0.066 -0.139  -0.160 -0.352  -0.335 -0.501  -0.445 -0.674  -0.520 -0.877  -0.649 -1.070  -0.775 -1.258  -0.741 -1.057  -0.705 -0.825  -0.669 -0.593  -0.633 -0.360  -0.596 -0.128  -0.560 0.104  -0.524 0.336  -0.488 0.568  -0.452 0.800  -0.631 0.847  -0.866 0.847  -1.010 0.757  -0.968 0.565  -0.780 0.518  -0.557 0.546  -0.539 0.774  -0.680 0.895  -0.627 0.844  -0.458 0.680  -0.290 0.516  -0.122 0.353  0.046 0.189  0.215 0.025  0.383 -0.139  0.551 -0.302  0.720 -0.466  0.888 -0.630  0.961 -0.755  0.837 -0.888  0.956 -0.991  1.191 -0.991  1.382 -0.920  1.375 -0.699  1.187 -0.608  1.064 -0.472
1d#tos#f1#f1013066/&  1.013 -1.421  0.922 -1.392  0.819 -1.284  0.676 -1.201  0.512 -1.098  0.392 -0.996  0.279 -0.874  0.182 -0.726  0.019 -0.609  -0.170 -0.555  -0.288 -0.387  -0.425 -0.276  -0.529 -0.121  -0.627 0.033  -0.673 0.233  -0.673 0.445  -0.673 0.656  -0.582 0.811  -0.516 0.982  -0.401 1.125  -0.228 1.239  -0.069 1.353  0.108 1.431  0.315 1.450  0.526 1.450  0.649 1.361  0.598 1.171  0.512 0.995  0.369 0.856  0.186 0.760  0.090 0.580  -0.106 0.503  -0.276 0.381  -0.386 0.201  -0.548 0.093  -0.629 -0.101  -0.734 -0.283  -0.764 -0.490  -0.764 -0.701  -0.725 -0.874  -0.514 -0.874  -0.304 -0.870  -0.115 -0.791  0.044 -0.658  0.213 -0.555  0.362 -0.439  0.521 -0.309  0.703 -0.223  0.831 -0.083  0.877 0.083
1d#tos#f1#f1013066/'  -0.128 1.544  -0.161 1.478  -0.194 1.413  -0.204 1.360  -0.131 1.360  -0.064 1.329  0.002 1.296  0.056 1.256  0.056 1.182  0.056 1.108  0.092 1.049  0.144 0.997  0.148 0.925  0.148 0.851  0.148 0.777  0.148 0.704  0.148 0.630  0.148 0.556  0.148 0.482  0.148 0.409  0.148 0.335  0.148 0.261  0.148 0.187  0.148 0.114  0.148 0.040  0.148 -0.034  0.148 -0.108  0.148 -0.181  0.148 -0.255  0.148 -0.329  0.148 -0.403  0.148 -0.476  0.122 -0.545  0.095 -0.614  0.067 -0.682  0.040 -0.751  0.013 -0.819  -0.015 -0.888  -0.046 -0.954  -0.090 -1.013  -0.134 -1.072  -0.179 -1.131  -0.223 -1.190  -0.267 -1.249  -0.311 -1.308  -0.312 -1.381  -0.312 -1.455  -0.312 -1.529  -0.312 -1.603  -0.312 -1.676
1d#tos#f1#f1013066/)  -0.123 1.335  -0.168 1.369  -0.248 1.369  -0.291 1.424  -0.258 1.403  -0.212 1.369  -0.150 1.328  -0.094 1.272  -0.055 1.209  -0.033 1.133  -0.002 1.060  0.054 1.010  0.080 0.947  0.093 0.870  0.124 0.798  0.149 0.722  0.168 0.645  0.181 0.568  0.181 0.488  0.181 0.409  0.181 0.330  0.181 0.250  0.217 0.186  0.249 0.119  0.249 0.040  0.249 -0.039  0.249 -0.119  0.249 -0.198  0.249 -0.277  0.248 -0.356  0.232 -0.434  0.217 -0.512  0.215 -0.591  0.209 -0.669  0.173 -0.740  0.132 -0.807  0.090 -0.873  0.054 -0.944  0.019 -1.015  -0.045 -1.057  -0.086 -1.123  -0.123 -1.180  -0.199 -1.197  -0.248 -1.245  -0.258 -1.323  -0.328 -1.332  -0.399 -1.345  -0.443 -1.408  -0.516 -1.433  -0.595 -1.433
1d#tos#f1#f1013066/*  0.176 1.602  -0.120 1.602  -0.070 1.343  -0.070 1.047  -0.016 0.760  -0.009 0.465  -0.009 0.168  0.053 -0.102  0.053 -0.399  0.176 -0.619  0.176 -0.915  0.176 -1.211  0.176 -1.508  0.238 -1.413  0.329 -1.131  0.421 -0.850  0.512 -0.568  0.604 -0.286  0.695 -0.004  0.786 0.278  0.878 0.560  0.916 0.850  0.756 0.986  0.521 0.819  0.282 0.669  0.120 0.447  -0.052 0.246  -0.285 0.158  -0.501 -0.001  -0.587 -0.253  -0.872 -0.313  -0.995 -0.533  -1.254 -0.617  -1.329 -0.560  -1.244 -0.276  -1.159 0.008  -1.074 0.291  -0.995 0.576  -1.047 0.677  -0.780 0.601  -0.533 0.462  -0.323 0.252  -0.109 0.111  0.158 0.018  0.390 -0.164  0.567 -0.371  0.773 -0.496  0.909 -0.719  1.182 -0.760  1.409 -0.925
1d#tos#f1#f1013066/,  0.749 1.373  0.675 1.373  0.601 1.373  0.527 1.373  0.484 1.343  0.484 1.269  0.484 1.195  0.484 1.121  0.484 1.047  0.484 0.973  0.484 0.900  0.484 0.826  0.484 0.752  0.461 0.687  0.409 0.635  0.356 0.583  0.304 0.531  0.252 0.478  0.218 0.418  0.218 0.345  0.218 0.271  0.218 0.197  0.193 0.129  0.160 0.063  0.127 -0.003  0.094 -0.069  0.047 -0.125  -0.006 -0.177  -0.058 -0.229  -0.110 -0.282  -0.162 -0.334  -0.215 -0.386  -0.267 -0.438  -0.315 -0.493  -0.338 -0.563  -0.362 -0.633  -0.385 -0.703  -0.409 -0.773  -0.432 -0.843  -0.469 -0.905  -0.521 -0.957  -0.573 -1.010  -0.625 -1.062  -0.678 -1.114  -0.710 -1.175  -0.710 -1.248  -0.710 -1.322  -0.710 -1.396  -0.710 -1.470  -0.710 -1.544
1d#tos#f1#f1013066/  -0.880 0.257  -0.916 0.186  -0.952 0.114  -1.029 0.109  -1.109 0.109  -1.186 0.100  -1.242 0.044  -1.299 -0.013  -1.368 -0.040  -1.351 -0.040  -1.271 -0.040  -1.191 -0.040  -1.111 -0.040  -1.031 -0.040  -0.951 -0.040  -0.871 -0.040  -0.791 -0.040  -0.710 -0.040  -0.630 -0.040  -0.550 -0.040  -0.470 -0.040  -0.390 -0.040  -0.310 -0.040  -0.230 -0.040  -0.150 -0.040  -0.069 -0.040  0.011 -0.040  0.091 -0.040  0.171 -0.040  0.251 -0.040  0.331 -0.040  0.411 -0.040  0.491 -0.040  0.572 -0.040  0.652 -0.040  0.732 -0.040  0.812 -0.040  0.892 -0.040  0.972 -0.040  1.052 -0.040  1.130 -0.034  1.187 0.023  1.262 0.035  1.342 0.035  1.422 0.035  1.502 0.035  1.582 0.035  1.663 0.035  1.735 0.052  1.792 0.109
1d#tos#f1#f1013066/.  -0.273 1.674  -0.273 1.595  -0.273 1.516  -0.273 1.437  -0.273 1.359  -0.273 1.280  -0.273 1.201  -0.273 1.122  -0.273 1.043  -0.273 0.965  -0.273 0.886  -0.273 0.807  -0.273 0.728  -0.273 0.649  -0.273 0.571  -0.204 0.562  -0.125 0.562  -0.046 0.562  0.033 0.562  0.097 0.547  0.097 0.469  0.097 0.390  0.097 0.311  0.097 0.232  0.097 0.153  0.097 0.075  0.097 -0.004  0.097 -0.083  0.097 -0.162  0.097 -0.241  0.097 -0.319  0.097 -0.398  0.097 -0.477  0.097 -0.556  0.097 -0.635  0.097 -0.713  0.097 -0.792  0.097 -0.871  0.097 -0.950  0.097 -1.029  0.097 -1.107  0.097 -1.186  0.097 -1.265  0.134 -1.329  0.190 -1.384  0.245 -1.440  0.301 -1.496  0.357 -1.552  0.412 -1.607  0.468 -1.663
