3#apb#apb14#app1451/D  -0.311 0.222  -0.245 0.258  -0.157 0.120  -0.075 -0.023  -0.022 -0.173  -0.164 -0.175  -0.327 -0.154  -0.490 -0.133  -0.653 -0.112  -0.816 -0.091  -0.979 -0.069  -1.143 -0.048  -1.306 -0.027  -1.469 -0.006  -1.627 0.018  -1.578 0.174  -1.466 0.289  -1.324 0.368  -1.168 0.422  -1.009 0.455  -0.845 0.466  -0.681 0.477  -0.516 0.481  -0.352 0.481  -0.187 0.481  -0.023 0.475  0.139 0.449  0.301 0.423  0.464 0.398  0.623 0.359  0.781 0.311  0.938 0.264  1.094 0.213  1.240 0.137  1.385 0.060  1.521 -0.031  1.640 -0.144  1.612 -0.300  1.481 -0.391  1.336 -0.467  1.174 -0.494  1.012 -0.522  0.849 -0.541  0.685 -0.552  0.520 -0.563  0.356 -0.566  0.192 -0.566  0.027 -0.564  -0.137 -0.550  -0.300 -0.535
3#apb#apb14#app1451/o  -0.616 0.607  -0.520 0.704  -0.508 0.722  -0.564 0.598  -0.614 0.471  -0.664 0.344  -0.696 0.211  -0.728 0.078  -0.759 -0.055  -0.789 -0.189  -0.814 -0.323  -0.839 -0.458  -0.816 -0.586  -0.759 -0.710  -0.692 -0.826  -0.574 -0.894  -0.455 -0.962  -0.330 -1.012  -0.195 -1.034  -0.060 -1.057  0.075 -1.067  0.210 -1.046  0.345 -1.024  0.480 -1.003  0.595 -0.929  0.710 -0.855  0.819 -0.775  0.893 -0.660  0.967 -0.545  1.020 -0.423  1.028 -0.287  1.036 -0.150  1.013 -0.021  0.945 0.098  0.878 0.217  0.811 0.336  0.744 0.455  0.647 0.552  0.548 0.646  0.449 0.740  0.350 0.834  0.245 0.918  0.114 0.958  -0.017 0.998  -0.148 1.037  -0.279 1.073  -0.416 1.073  -0.553 1.073  -0.689 1.073  -0.826 1.073
3#apb#apb14#app1451/e  -0.574 0.521  -0.586 0.690  -0.564 0.854  -0.499 1.010  -0.336 1.050  -0.170 1.087  -0.002 1.065  0.166 1.043  0.333 1.018  0.500 0.989  0.667 0.960  0.803 0.863  0.927 0.749  1.008 0.601  0.973 0.452  0.865 0.336  0.702 0.291  0.539 0.245  0.373 0.213  0.204 0.198  0.036 0.183  -0.133 0.168  -0.302 0.151  -0.470 0.132  -0.639 0.113  -0.807 0.094  -0.788 0.135  -0.640 0.217  -0.498 0.302  -0.611 0.201  -0.711 0.067  -0.794 -0.081  -0.858 -0.236  -0.899 -0.401  -0.898 -0.567  -0.855 -0.725  -0.729 -0.839  -0.586 -0.927  -0.434 -1.003  -0.271 -1.038  -0.102 -1.054  0.067 -1.065  0.236 -1.065  0.405 -1.065  0.574 -1.053  0.743 -1.037  0.910 -1.011  1.075 -0.973  1.241 -0.940  1.409 -0.914
3#apb#apb14#app1451/F  -0.732 0.334  -0.596 0.105  -0.542 -0.166  -0.523 -0.443  -0.540 -0.720  -0.586 -0.993  -0.686 -1.251  -0.684 -1.216  -0.468 -1.042  -0.252 -0.867  -0.036 -0.692  0.180 -0.517  0.396 -0.342  0.612 -0.167  0.828 0.008  1.045 0.085  0.963 -0.102  0.697 -0.183  0.428 -0.252  0.156 -0.306  -0.118 -0.349  -0.396 -0.362  -0.671 -0.387  -0.943 -0.444  -1.218 -0.476  -1.065 -0.417  -0.819 -0.287  -0.573 -0.158  -0.327 -0.029  -0.081 0.101  0.164 0.230  0.410 0.359  0.656 0.488  0.902 0.618  1.148 0.747  1.394 0.876  1.640 1.006  1.628 0.969  1.368 0.873  1.102 0.791  0.835 0.715  0.566 0.645  0.297 0.577  0.025 0.522  -0.248 0.468  -0.519 0.409  -0.791 0.348  -1.066 0.316  -1.343 0.295  -1.621 0.283
3#apb#apb14#app1451/o  0.131 0.681  0.067 0.788  -0.060 0.779  -0.190 0.719  -0.319 0.658  -0.428 0.564  -0.536 0.470  -0.644 0.377  -0.724 0.259  -0.800 0.138  -0.876 0.017  -0.938 -0.111  -0.975 -0.249  -1.011 -0.387  -1.026 -0.526  -0.987 -0.663  -0.948 -0.801  -0.838 -0.892  -0.727 -0.982  -0.596 -1.032  -0.457 -1.069  -0.318 -1.092  -0.175 -1.084  -0.032 -1.077  0.106 -1.050  0.232 -0.983  0.359 -0.916  0.480 -0.841  0.588 -0.748  0.697 -0.655  0.793 -0.551  0.870 -0.430  0.948 -0.310  1.010 -0.185  1.016 -0.042  1.022 0.101  1.028 0.244  0.980 0.371  0.897 0.488  0.815 0.605  0.722 0.712  0.611 0.801  0.499 0.891  0.378 0.962  0.239 0.995  0.100 1.028  -0.039 1.061  -0.177 1.028  -0.315 0.989  -0.453 0.951
3#apb#apb14#app1451/x  0.338 1.148  0.447 1.068  0.470 0.922  0.441 0.777  0.408 0.632  0.356 0.494  0.294 0.359  0.231 0.225  0.147 0.102  0.064 -0.021  -0.024 -0.140  -0.119 -0.254  -0.215 -0.367  -0.334 -0.456  -0.453 -0.544  -0.583 -0.617  -0.702 -0.647  -0.784 -0.523  -0.866 -0.400  -0.949 -0.276  -1.031 -0.153  -1.113 -0.029  -1.196 0.094  -1.278 0.218  -1.360 0.341  -1.393 0.426  -1.253 0.376  -1.113 0.327  -0.973 0.277  -0.830 0.240  -0.686 0.204  -0.542 0.168  -0.398 0.132  -0.255 0.093  -0.111 0.054  0.032 0.016  0.174 -0.028  0.313 -0.078  0.453 -0.129  0.593 -0.179  0.736 -0.217  0.881 -0.246  1.027 -0.275  1.172 -0.305  1.314 -0.349  1.455 -0.393  1.597 -0.438  1.736 -0.489  1.874 -0.544  2.012 -0.600
3#apb#apb14#app1451/G  1.271 0.913  1.229 1.049  1.105 1.106  0.970 1.143  0.828 1.125  0.687 1.107  0.550 1.072  0.418 1.020  0.285 0.968  0.153 0.917  0.037 0.835  -0.078 0.751  -0.193 0.667  -0.308 0.583  -0.412 0.486  -0.512 0.385  -0.613 0.284  -0.714 0.184  -0.803 0.073  -0.885 -0.043  -0.967 -0.159  -1.042 -0.279  -1.096 -0.411  -1.150 -0.543  -1.151 -0.683  -1.100 -0.806  -0.993 -0.895  -0.855 -0.931  -0.716 -0.933  -0.575 -0.911  -0.441 -0.863  -0.323 -0.789  -0.219 -0.692  -0.140 -0.575  -0.074 -0.450  -0.027 -0.315  0.016 -0.180  0.057 -0.043  0.111 0.085  0.243 0.089  0.379 0.047  0.498 -0.025  0.607 -0.117  0.717 -0.208  0.788 -0.330  0.829 -0.466  0.844 -0.607  0.880 -0.743  0.926 -0.877  0.957 -1.016
3#apb#apb14#app1451/a  -0.263 1.299  -0.328 1.399  -0.430 1.346  -0.509 1.247  -0.588 1.147  -0.630 1.027  -0.672 0.907  -0.714 0.786  -0.756 0.666  -0.777 0.541  -0.794 0.415  -0.812 0.289  -0.829 0.163  -0.838 0.036  -0.838 -0.091  -0.838 -0.219  -0.838 -0.346  -0.810 -0.470  -0.781 -0.594  -0.736 -0.710  -0.658 -0.811  -0.578 -0.909  -0.478 -0.988  -0.355 -1.001  -0.254 -0.930  -0.159 -0.845  -0.090 -0.738  -0.021 -0.631  0.047 -0.524  0.107 -0.412  0.164 -0.298  0.221 -0.184  0.276 -0.070  0.327 0.047  0.378 0.164  0.429 0.280  0.477 0.398  0.587 0.424  0.712 0.403  0.809 0.327  0.899 0.237  0.977 0.139  1.026 0.021  1.075 -0.096  1.140 -0.205  1.211 -0.311  1.281 -0.417  1.352 -0.523  1.416 -0.633  1.462 -0.751
3#apb#apb14#app1451/r  -1.083 -0.169  -0.987 -0.193  -0.895 -0.224  -0.818 -0.286  -0.741 -0.347  -0.677 -0.419  -0.635 -0.509  -0.594 -0.598  -0.552 -0.687  -0.514 -0.778  -0.477 -0.870  -0.454 -0.964  -0.454 -1.062  -0.470 -1.145  -0.541 -1.079  -0.551 -0.981  -0.561 -0.883  -0.556 -0.785  -0.549 -0.686  -0.541 -0.588  -0.512 -0.494  -0.481 -0.401  -0.449 -0.307  -0.418 -0.214  -0.367 -0.130  -0.310 -0.050  -0.253 0.030  -0.195 0.110  -0.138 0.191  -0.080 0.270  -0.012 0.342  0.055 0.414  0.123 0.486  0.190 0.557  0.258 0.629  0.349 0.666  0.441 0.701  0.533 0.736  0.625 0.771  0.717 0.806  0.816 0.811  0.914 0.816  1.013 0.821  1.111 0.826  1.210 0.828  1.308 0.828  1.407 0.828  1.505 0.825  1.599 0.794  1.692 0.763
3#apb#apb14#app1451/c  0.814 1.085  0.799 1.187  0.702 1.219  0.603 1.220  0.504 1.186  0.406 1.152  0.308 1.118  0.217 1.070  0.133 1.009  0.049 0.948  -0.035 0.886  -0.119 0.825  -0.202 0.762  -0.279 0.693  -0.357 0.623  -0.434 0.554  -0.511 0.484  -0.588 0.415  -0.660 0.341  -0.713 0.251  -0.766 0.162  -0.819 0.072  -0.872 -0.017  -0.896 -0.116  -0.906 -0.219  -0.917 -0.323  -0.881 -0.417  -0.833 -0.509  -0.770 -0.587  -0.677 -0.634  -0.584 -0.680  -0.491 -0.725  -0.388 -0.740  -0.285 -0.756  -0.183 -0.772  -0.079 -0.784  0.024 -0.784  0.128 -0.784  0.232 -0.784  0.336 -0.781  0.439 -0.768  0.542 -0.754  0.645 -0.740  0.748 -0.726  0.850 -0.703  0.950 -0.678  1.051 -0.653  1.152 -0.629  1.254 -0.608  1.356 -0.588
3#apb#apb14#app1451/i  -0.680 0.224  -0.621 0.326  -0.548 0.241  -0.495 0.136  -0.469 0.021  -0.444 -0.095  -0.437 -0.213  -0.431 -0.332  -0.425 -0.450  -0.419 -0.568  -0.413 -0.687  -0.418 -0.805  -0.425 -0.923  -0.427 -1.041  -0.427 -1.160  -0.463 -1.272  -0.485 -1.388  -0.468 -1.413  -0.422 -1.304  -0.376 -1.195  -0.330 -1.085  -0.285 -0.976  -0.239 -0.867  -0.193 -0.758  -0.147 -0.648  -0.102 -0.539  -0.056 -0.430  -0.010 -0.320  0.036 -0.211  0.081 -0.102  0.127 0.007  0.173 0.117  0.219 0.226  0.264 0.335  0.310 0.445  0.356 0.554  0.402 0.663  0.447 0.772  0.493 0.882  0.539 0.991  0.585 1.100  0.630 1.209  0.676 1.319  0.722 1.428  0.768 1.537  0.798 1.474  0.808 1.357  0.800 1.240  0.747 1.136  0.674 1.042
