1c#apb#apb02#app0255/h  -0.723 1.188  -0.723 1.330  -0.738 1.470  -0.723 1.611  -0.741 1.531  -0.727 1.390  -0.705 1.250  -0.675 1.111  -0.644 0.972  -0.613 0.834  -0.581 0.695  -0.550 0.556  -0.526 0.417  -0.508 0.276  -0.490 0.135  -0.466 -0.005  -0.438 -0.144  -0.410 -0.284  -0.387 -0.424  -0.365 -0.564  -0.344 -0.705  -0.324 -0.845  -0.283 -0.980  -0.223 -1.077  -0.179 -0.943  -0.154 -0.803  -0.115 -0.666  -0.073 -0.531  -0.030 -0.395  0.012 -0.260  0.064 -0.128  0.127 -0.001  0.189 0.127  0.248 0.257  0.331 0.371  0.467 0.388  0.572 0.293  0.653 0.177  0.710 0.049  0.752 -0.087  0.792 -0.224  0.831 -0.360  0.853 -0.500  0.876 -0.641  0.904 -0.780  0.935 -0.919  0.988 -1.049  1.053 -1.164  1.067 -1.043  1.036 -0.904
1c#apb#apb02#app0255/o  -0.131 0.287  -0.081 0.436  -0.140 0.574  -0.267 0.634  -0.426 0.611  -0.554 0.514  -0.675 0.410  -0.774 0.283  -0.863 0.150  -0.940 0.008  -0.997 -0.140  -1.036 -0.296  -1.029 -0.452  -0.978 -0.603  -0.900 -0.744  -0.787 -0.854  -0.660 -0.953  -0.513 -1.018  -0.365 -1.081  -0.210 -1.107  -0.049 -1.107  0.109 -1.091  0.258 -1.031  0.407 -0.972  0.551 -0.899  0.692 -0.823  0.824 -0.732  0.945 -0.626  1.025 -0.489  1.092 -0.343  1.116 -0.185  1.137 -0.026  1.113 0.133  1.087 0.292  1.024 0.440  0.960 0.587  0.873 0.721  0.775 0.848  0.644 0.941  0.504 1.009  0.343 1.009  0.191 0.966  0.043 0.903  -0.102 0.835  -0.244 0.759  -0.384 0.681  -0.498 0.568  -0.612 0.454  -0.716 0.332  -0.779 0.188
1c#apb#apb02#app0255/r  -0.729 -0.047  -0.708 0.096  -0.720 0.237  -0.760 0.376  -0.814 0.510  -0.860 0.647  -0.931 0.672  -0.882 0.537  -0.812 0.411  -0.771 0.272  -0.729 0.134  -0.671 0.002  -0.612 -0.130  -0.562 -0.266  -0.513 -0.402  -0.450 -0.531  -0.376 -0.655  -0.304 -0.780  -0.250 -0.915  -0.196 -1.049  -0.119 -1.171  -0.026 -1.279  0.089 -1.367  0.118 -1.431  0.175 -1.298  0.182 -1.159  0.157 -1.017  0.138 -0.874  0.138 -0.729  0.138 -0.585  0.138 -0.440  0.138 -0.296  0.138 -0.151  0.138 -0.007  0.138 0.138  0.138 0.282  0.169 0.423  0.217 0.559  0.281 0.688  0.371 0.801  0.467 0.909  0.569 1.011  0.679 1.102  0.812 1.159  0.952 1.178  1.061 1.091  1.155 0.981  1.253 0.877  1.366 0.786  1.482 0.700
1c#apb#apb02#app0255/n  -1.062 0.127  -1.041 0.278  -1.022 0.424  -1.024 0.443  -0.912 0.348  -0.844 0.212  -0.776 0.075  -0.708 -0.061  -0.655 -0.203  -0.621 -0.351  -0.583 -0.498  -0.526 -0.640  -0.475 -0.783  -0.429 -0.927  -0.362 -1.062  -0.397 -0.937  -0.433 -0.789  -0.464 -0.640  -0.478 -0.488  -0.491 -0.336  -0.504 -0.185  -0.511 -0.033  -0.483 0.117  -0.457 0.267  -0.432 0.417  -0.397 0.563  -0.309 0.687  -0.227 0.816  -0.149 0.946  -0.043 1.053  0.078 1.146  0.218 1.142  0.342 1.054  0.448 0.947  0.540 0.825  0.634 0.706  0.729 0.587  0.804 0.455  0.867 0.317  0.918 0.174  0.960 0.027  1.002 -0.119  1.054 -0.262  1.104 -0.406  1.132 -0.556  1.157 -0.706  1.174 -0.857  1.194 -1.008  1.226 -1.156  1.233 -1.151
1c#apb#apb02#app0255/t  -0.173 1.741  -0.181 1.551  -0.167 1.245  -0.153 0.939  -0.139 0.633  -0.125 0.327  -0.112 0.021  -0.098 -0.285  -0.087 -0.591  -0.077 -0.897  -0.066 -1.203  -0.055 -1.509  -0.045 -1.815  -0.044 -1.786  -0.051 -1.480  -0.058 -1.173  -0.118 -0.874  -0.154 -0.572  -0.154 -0.266  -0.154 0.041  -0.154 0.347  -0.154 0.653  -0.154 0.960  -0.154 1.266  -0.154 1.572  -0.151 1.830  -0.103 1.528  -0.025 1.232  0.064 0.939  0.135 0.641  0.202 0.342  0.264 0.042  0.326 -0.257  0.389 -0.557  0.430 -0.861  0.514 -1.155  0.490 -1.215  0.359 -0.939  0.151 -0.718  -0.073 -0.509  -0.298 -0.301  -0.520 -0.090  -0.781 0.054  -0.661 0.065  -0.359 0.116  -0.059 0.178  0.242 0.228  0.548 0.242  0.854 0.226  1.040 0.092
1c#apb#apb02#app0255/o  0.091 0.134  0.142 0.297  0.166 0.467  0.096 0.625  -0.057 0.611  -0.199 0.510  -0.335 0.400  -0.467 0.285  -0.584 0.155  -0.689 0.017  -0.757 -0.144  -0.826 -0.305  -0.881 -0.471  -0.877 -0.641  -0.827 -0.805  -0.711 -0.936  -0.577 -1.044  -0.420 -1.122  -0.250 -1.158  -0.077 -1.185  0.094 -1.156  0.266 -1.122  0.430 -1.064  0.591 -0.995  0.741 -0.908  0.879 -0.800  0.984 -0.662  1.065 -0.509  1.096 -0.337  1.099 -0.163  1.086 0.011  1.063 0.184  1.036 0.357  0.959 0.512  0.871 0.664  0.765 0.803  0.656 0.940  0.493 0.999  0.322 1.023  0.147 1.023  -0.020 0.972  -0.187 0.920  -0.343 0.844  -0.489 0.747  -0.634 0.650  -0.765 0.534  -0.894 0.416  -1.014 0.288  -1.128 0.157  -1.128 -0.018
1c#apb#apb02#app0255/n  -1.110 0.285  -1.110 0.430  -1.027 0.524  -0.944 0.412  -0.873 0.287  -0.819 0.153  -0.774 0.018  -0.763 -0.126  -0.750 -0.269  -0.697 -0.403  -0.650 -0.539  -0.622 -0.680  -0.589 -0.820  -0.551 -0.959  -0.489 -1.088  -0.491 -1.021  -0.503 -0.877  -0.513 -0.734  -0.493 -0.591  -0.472 -0.448  -0.451 -0.306  -0.428 -0.164  -0.406 -0.021  -0.379 0.120  -0.349 0.261  -0.315 0.401  -0.260 0.534  -0.204 0.667  -0.133 0.792  -0.047 0.908  0.058 1.001  0.187 1.066  0.330 1.073  0.439 1.006  0.522 0.888  0.611 0.775  0.707 0.668  0.781 0.546  0.838 0.414  0.895 0.281  0.943 0.146  0.991 0.010  1.043 -0.125  1.096 -0.258  1.158 -0.388  1.223 -0.517  1.278 -0.649  1.296 -0.792  1.374 -0.910  1.442 -0.979
1c#apb#apb02#app0255/i  -0.325 -0.433  -0.325 -0.320  -0.325 -0.207  -0.300 -0.096  -0.276 0.015  -0.251 0.125  -0.227 0.236  -0.212 0.348  -0.212 0.461  -0.212 0.575  -0.212 0.688  -0.212 0.801  -0.212 0.915  -0.212 1.028  -0.212 1.141  -0.212 1.255  -0.212 1.368  -0.212 1.482  -0.265 1.406  -0.251 1.294  -0.237 1.181  -0.223 1.069  -0.206 0.957  -0.179 0.847  -0.151 0.737  -0.124 0.627  -0.096 0.517  -0.069 0.407  -0.042 0.297  -0.023 0.185  -0.004 0.073  0.014 -0.039  0.033 -0.151  0.051 -0.262  0.070 -0.374  0.102 -0.483  0.135 -0.591  0.168 -0.700  0.200 -0.809  0.233 -0.917  0.279 -1.020  0.330 -1.122  0.381 -1.223  0.434 -1.323  0.490 -1.422  0.546 -1.520  0.602 -1.618  0.668 -1.709  0.749 -1.790  0.749 -1.903
1c#apb#apb02#app0255/l  -0.296 1.008  -0.296 1.085  -0.296 1.161  -0.296 1.238  -0.296 1.314  -0.316 1.382  -0.354 1.408  -0.316 1.341  -0.278 1.275  -0.251 1.203  -0.226 1.131  -0.200 1.059  -0.174 0.987  -0.161 0.912  -0.148 0.837  -0.135 0.761  -0.121 0.686  -0.109 0.610  -0.098 0.535  -0.087 0.459  -0.077 0.383  -0.066 0.308  -0.055 0.232  -0.043 0.157  -0.030 0.081  -0.018 0.006  -0.005 -0.070  0.008 -0.145  0.026 -0.219  0.045 -0.294  0.063 -0.368  0.082 -0.442  0.100 -0.516  0.119 -0.590  0.137 -0.664  0.156 -0.739  0.174 -0.813  0.190 -0.888  0.206 -0.962  0.222 -1.037  0.241 -1.111  0.263 -1.184  0.285 -1.258  0.303 -1.332  0.319 -1.407  0.337 -1.481  0.356 -1.555  0.371 -1.571  0.371 -1.494  0.371 -1.418
1c#apb#apb02#app0255/k  -0.586 0.932  -0.604 1.151  -0.632 1.368  -0.728 1.563  -0.749 1.525  -0.727 1.306  -0.693 1.089  -0.651 0.873  -0.602 0.659  -0.557 0.444  -0.514 0.229  -0.476 0.012  -0.443 -0.205  -0.415 -0.423  -0.397 -0.642  -0.364 -0.858  -0.307 -1.070  -0.242 -1.280  -0.222 -1.331  -0.258 -1.115  -0.255 -0.895  -0.238 -0.676  -0.215 -0.460  -0.075 -0.290  0.064 -0.121  0.204 0.049  0.344 0.218  0.484 0.388  0.623 0.558  0.763 0.727  0.891 0.902  0.837 1.063  0.658 0.939  0.505 0.781  0.359 0.617  0.225 0.443  0.105 0.259  -0.012 0.073  -0.129 -0.113  -0.236 -0.305  -0.295 -0.496  -0.126 -0.472  0.075 -0.562  0.268 -0.666  0.455 -0.782  0.637 -0.905  0.825 -1.018  1.000 -1.146  1.210 -1.212  1.215 -1.123
1c#apb#apb02#app0255/i  -0.107 -0.330  -0.107 -0.200  -0.124 -0.071  -0.132 0.058  -0.132 0.188  -0.113 0.273  -0.081 0.148  -0.049 0.022  -0.001 -0.099  0.048 -0.219  0.103 -0.338  0.157 -0.456  0.212 -0.574  0.266 -0.693  0.319 -0.811  0.369 -0.931  0.419 -1.051  0.470 -1.171  0.524 -1.289  0.596 -1.398  0.661 -1.410  0.640 -1.282  0.605 -1.156  0.557 -1.036  0.499 -0.919  0.441 -0.803  0.384 -0.686  0.326 -0.569  0.268 -0.453  0.210 -0.336  0.153 -0.219  0.095 -0.103  0.037 0.014  -0.021 0.131  -0.078 0.247  -0.136 0.364  -0.194 0.480  -0.252 0.597  -0.309 0.714  -0.367 0.830  -0.425 0.947  -0.483 1.064  -0.540 1.180  -0.598 1.297  -0.656 1.414  -0.689 1.538  -0.704 1.667  -0.704 1.797  -0.704 1.874  -0.654 1.759
