3#apa#apa09#app0948/k  -0.265 1.328  -0.326 1.511  -0.387 1.694  -0.408 1.635  -0.408 1.442  -0.408 1.249  -0.408 1.056  -0.408 0.863  -0.408 0.671  -0.408 0.478  -0.408 0.285  -0.408 0.092  -0.408 -0.101  -0.408 -0.294  -0.408 -0.486  -0.408 -0.679  -0.408 -0.872  -0.408 -1.065  -0.408 -1.258  -0.444 -1.363  -0.552 -1.215  -0.552 -1.022  -0.529 -0.831  -0.497 -0.641  -0.466 -0.451  -0.434 -0.261  -0.388 -0.076  -0.281 0.084  -0.174 0.245  -0.040 0.378  0.121 0.485  0.281 0.592  0.465 0.642  0.654 0.680  0.843 0.717  1.027 0.749  1.027 0.556  1.027 0.363  1.021 0.173  0.884 0.037  0.748 -0.100  0.612 -0.236  0.475 -0.372  0.364 -0.529  0.257 -0.689  0.166 -0.854  0.222 -1.024  0.374 -1.134  0.557 -1.195  0.740 -1.256
3#apa#apa09#app0948/e  -0.442 0.232  -0.300 0.232  -0.157 0.232  -0.015 0.232  0.128 0.232  0.270 0.232  0.411 0.238  0.539 0.302  0.666 0.365  0.794 0.429  0.821 0.555  0.821 0.697  0.821 0.840  0.736 0.947  0.636 1.048  0.504 1.074  0.363 1.065  0.224 1.030  0.086 0.995  -0.052 0.961  -0.190 0.926  -0.329 0.892  -0.460 0.845  -0.561 0.745  -0.662 0.644  -0.762 0.543  -0.863 0.442  -0.863 0.300  -0.863 0.157  -0.863 0.015  -0.863 -0.127  -0.863 -0.270  -0.863 -0.412  -0.863 -0.555  -0.785 -0.649  -0.657 -0.713  -0.530 -0.776  -0.402 -0.840  -0.275 -0.904  -0.148 -0.968  -0.020 -1.031  0.120 -1.059  0.259 -1.087  0.399 -1.115  0.539 -1.143  0.679 -1.171  0.818 -1.199  0.958 -1.227  1.031 -1.173  1.031 -1.031
3#apa#apa09#app0948/e  0.075 0.023  -0.069 0.095  -0.213 0.167  -0.358 0.239  -0.502 0.311  -0.515 0.171  -0.502 0.023  -0.341 0.023  -0.180 0.023  -0.019 0.023  0.142 0.023  0.303 0.023  0.465 0.023  0.626 0.023  0.751 0.109  0.865 0.223  0.979 0.337  1.093 0.451  1.207 0.565  1.254 0.707  1.254 0.868  1.133 0.907  0.972 0.907  0.810 0.907  0.649 0.907  0.488 0.907  0.327 0.907  0.166 0.907  0.025 0.858  -0.089 0.744  -0.203 0.630  -0.317 0.516  -0.431 0.402  -0.545 0.288  -0.659 0.174  -0.772 0.060  -0.810 -0.086  -0.810 -0.247  -0.810 -0.408  -0.810 -0.569  -0.810 -0.730  -0.797 -0.888  -0.725 -1.032  -0.652 -1.177  -0.580 -1.321  -0.502 -1.458  -0.358 -1.530  -0.213 -1.602  -0.069 -1.674  0.075 -1.747
3#apa#apa09#app0948/p  0.170 0.723  0.098 0.867  0.026 1.011  -0.123 1.031  -0.138 0.885  -0.138 0.724  -0.138 0.562  -0.140 0.401  -0.163 0.242  -0.185 0.082  -0.208 -0.077  -0.231 -0.237  -0.254 -0.396  -0.277 -0.556  -0.292 -0.716  -0.292 -0.877  -0.292 -1.038  -0.292 -1.199  -0.292 -1.361  -0.292 -1.522  -0.292 -1.683  -0.337 -1.653  -0.409 -1.509  -0.446 -1.356  -0.446 -1.195  -0.446 -1.034  -0.446 -0.873  -0.446 -0.711  -0.446 -0.550  -0.446 -0.389  -0.446 -0.228  -0.379 -0.085  -0.299 0.055  -0.219 0.195  -0.139 0.335  -0.059 0.475  0.021 0.615  0.101 0.755  0.185 0.892  0.299 1.006  0.413 1.119  0.547 1.185  0.708 1.185  0.845 1.126  0.949 1.006  1.000 0.853  1.051 0.700  1.085 0.549  1.013 0.404  0.941 0.260
3#apa#apa09#app0948/v  -0.865 0.567  -0.865 0.694  -0.841 0.810  -0.751 0.899  -0.662 0.989  -0.647 0.899  -0.647 0.772  -0.647 0.646  -0.647 0.519  -0.647 0.393  -0.627 0.269  -0.596 0.146  -0.566 0.024  -0.535 -0.099  -0.504 -0.222  -0.474 -0.344  -0.443 -0.467  -0.407 -0.588  -0.367 -0.708  -0.327 -0.828  -0.287 -0.948  -0.247 -1.068  -0.210 -1.188  -0.210 -1.315  -0.210 -1.352  -0.210 -1.226  -0.155 -1.123  -0.065 -1.033  0.024 -0.944  0.114 -0.855  0.203 -0.765  0.261 -0.655  0.308 -0.538  0.355 -0.420  0.402 -0.303  0.449 -0.185  0.496 -0.068  0.543 0.049  0.590 0.167  0.636 0.284  0.688 0.400  0.744 0.513  0.801 0.626  0.857 0.739  0.914 0.852  0.970 0.965  1.027 1.078  1.083 1.191  1.099 1.314  1.099 1.440
3#apa#apa09#app0948/e  -0.270 -0.429  -0.383 -0.316  -0.496 -0.203  -0.422 -0.168  -0.262 -0.168  -0.102 -0.168  0.057 -0.168  0.217 -0.168  0.376 -0.168  0.536 -0.168  0.695 -0.168  0.855 -0.168  1.014 -0.168  1.036 -0.029  1.036 0.130  1.036 0.290  1.103 0.422  1.216 0.534  1.297 0.660  1.297 0.820  1.194 0.877  1.035 0.877  0.875 0.877  0.719 0.858  0.567 0.808  0.416 0.757  0.264 0.707  0.113 0.656  -0.039 0.608  -0.194 0.569  -0.349 0.531  -0.503 0.492  -0.658 0.453  -0.813 0.415  -0.968 0.376  -1.053 0.283  -1.053 0.124  -1.053 -0.036  -1.053 -0.196  -1.053 -0.355  -1.053 -0.515  -1.053 -0.674  -0.952 -0.792  -0.839 -0.905  -0.726 -1.017  -0.613 -1.130  -0.487 -1.212  -0.328 -1.212  -0.168 -1.212  -0.009 -1.212
3#apa#apa09#app0948/x  -1.273 0.094  -1.273 0.309  -1.260 0.512  -1.045 0.512  -0.829 0.512  -0.614 0.512  -0.398 0.512  -0.196 0.481  -0.043 0.329  0.063 0.143  0.159 -0.050  0.092 -0.216  -0.060 -0.368  -0.213 -0.520  -0.419 -0.573  -0.630 -0.615  -0.841 -0.657  -1.053 -0.699  -1.264 -0.742  -1.479 -0.743  -1.387 -0.553  -1.290 -0.360  -1.097 -0.325  -0.881 -0.325  -0.671 -0.283  -0.461 -0.234  -0.251 -0.186  -0.041 -0.137  0.169 -0.089  0.379 -0.040  0.589 0.008  0.799 0.057  1.009 0.105  1.219 0.154  1.429 0.202  1.639 0.250  1.849 0.299  1.690 0.391  1.497 0.488  1.287 0.512  1.072 0.512  0.856 0.512  0.641 0.512  0.425 0.512  0.316 0.341  0.219 0.148  0.192 -0.061  0.306 -0.229  0.458 -0.382  0.611 -0.534
3#apa#apa09#app0948/i  0.196 0.070  0.113 0.153  0.029 0.236  -0.007 0.207  -0.007 0.089  -0.007 -0.029  -0.007 -0.147  -0.007 -0.264  -0.007 -0.382  -0.007 -0.500  -0.007 -0.618  -0.007 -0.735  -0.007 -0.853  -0.007 -0.971  -0.007 -1.089  -0.007 -1.206  -0.007 -1.324  -0.007 -1.442  -0.007 -1.550  -0.007 -1.432  -0.007 -1.315  -0.007 -1.197  -0.007 -1.079  -0.007 -0.961  -0.007 -0.844  -0.007 -0.726  -0.007 -0.608  -0.007 -0.490  -0.007 -0.373  -0.007 -0.255  -0.007 -0.137  -0.007 -0.019  -0.007 0.099  -0.007 0.216  -0.007 0.334  -0.007 0.452  -0.007 0.570  -0.007 0.687  -0.007 0.805  -0.007 0.923  -0.007 1.041  -0.007 1.158  -0.007 1.276  -0.007 1.394  -0.007 1.512  -0.007 1.629  -0.007 1.747  -0.007 1.865  -0.007 1.983  -0.007 2.101
3#apa#apa09#app0948/n  -0.132 0.214  -0.246 0.328  -0.359 0.442  -0.444 0.374  -0.516 0.230  -0.587 0.086  -0.663 -0.055  -0.776 -0.169  -0.890 -0.283  -0.915 -0.433  -0.915 -0.594  -0.915 -0.755  -0.915 -0.916  -0.915 -1.077  -0.915 -1.238  -0.882 -1.319  -0.768 -1.205  -0.655 -1.091  -0.582 -0.948  -0.510 -0.804  -0.439 -0.660  -0.367 -0.516  -0.295 -0.372  -0.223 -0.229  -0.151 -0.085  -0.132 0.072  -0.132 0.232  -0.132 0.393  -0.076 0.531  0.038 0.645  0.151 0.758  0.265 0.872  0.379 0.986  0.492 1.100  0.606 1.213  0.748 1.258  0.909 1.258  0.912 1.100  0.912 0.939  0.912 0.778  0.912 0.618  0.912 0.457  0.912 0.296  0.912 0.135  0.912 -0.026  0.912 -0.187  0.912 -0.347  0.912 -0.508  0.912 -0.669  0.912 -0.830
3#apa#apa09#app0948/g  0.119 1.263  0.030 1.352  -0.059 1.336  -0.148 1.247  -0.238 1.158  -0.258 1.040  -0.258 0.914  -0.258 0.788  -0.258 0.661  -0.160 0.633  -0.063 0.703  0.026 0.792  0.116 0.881  0.205 0.970  0.245 1.080  0.294 1.088  0.384 0.999  0.473 0.909  0.497 0.793  0.497 0.667  0.497 0.541  0.497 0.415  0.497 0.288  0.497 0.162  0.497 0.036  0.497 -0.090  0.479 -0.215  0.454 -0.339  0.429 -0.462  0.404 -0.586  0.380 -0.710  0.329 -0.823  0.264 -0.932  0.199 -1.040  0.134 -1.148  0.069 -1.256  0.004 -1.365  -0.113 -1.382  -0.233 -1.348  -0.353 -1.308  -0.473 -1.268  -0.549 -1.178  -0.606 -1.065  -0.662 -0.953  -0.719 -0.840  -0.762 -0.724  -0.762 -0.597  -0.749 -0.474  -0.693 -0.361  -0.636 -0.248
3#apa#apa09#app0948/m  -0.978 0.329  -0.978 0.166  -1.037 0.017  -1.110 -0.129  -1.171 -0.278  -1.171 -0.441  -1.171 -0.604  -1.171 -0.508  -1.171 -0.344  -1.132 -0.193  -1.042 -0.057  -0.951 0.078  -0.861 0.214  -0.773 0.352  -0.700 0.497  -0.627 0.643  -0.509 0.715  -0.374 0.668  -0.302 0.522  -0.229 0.377  -0.127 0.251  -0.012 0.136  -0.063 -0.019  -0.114 -0.174  -0.166 -0.328  -0.205 -0.485  -0.205 -0.648  -0.205 -0.811  -0.159 -0.694  -0.108 -0.540  -0.056 -0.385  0.004 -0.235  0.119 -0.120  0.235 -0.005  0.350 0.111  0.466 0.226  0.584 0.337  0.730 0.410  0.876 0.483  1.030 0.522  1.193 0.522  1.352 0.512  1.467 0.396  1.535 0.261  1.535 0.098  1.535 -0.065  1.535 -0.228  1.535 -0.391  1.457 -0.522  1.341 -0.637
