1c#tos#t1#t1042062/a  -0.749 1.213  -0.851 1.093  -0.725 1.033  -0.539 1.138  -0.381 1.215  -0.166 1.269  0.018 1.387  0.239 1.393  0.440 1.343  0.570 1.245  0.630 1.084  0.630 0.862  0.596 0.674  0.570 0.478  0.458 0.337  0.390 0.164  0.390 -0.058  0.390 -0.280  0.390 -0.502  0.450 -0.664  0.450 -0.885  0.601 -0.991  0.759 -1.065  0.846 -1.079  0.747 -0.881  0.648 -0.682  0.549 -0.484  0.450 -0.285  0.350 -0.087  0.251 0.111  0.152 0.310  0.090 0.350  -0.035 0.254  -0.257 0.254  -0.479 0.254  -0.641 0.194  -0.809 0.105  -0.859 -0.096  -0.878 -0.312  -0.989 -0.466  -1.049 -0.628  -0.965 -0.766  -0.809 -0.832  -0.701 -0.945  -0.540 -1.005  -0.318 -1.005  -0.096 -1.005  0.126 -1.005  0.270 -0.927  0.390 -0.826
1c#tos#t1#t1042062/b  -0.150 2.208  -0.313 2.177  -0.313 1.984  -0.300 1.792  -0.258 1.605  -0.258 1.411  -0.258 1.217  -0.258 1.023  -0.258 0.830  -0.258 0.636  -0.251 0.443  -0.204 0.255  -0.204 0.061  -0.151 -0.124  -0.150 -0.318  -0.150 -0.512  -0.150 -0.705  -0.150 -0.899  -0.108 -1.051  -0.160 -1.127  -0.204 -0.960  -0.204 -0.766  -0.204 -0.573  -0.204 -0.379  -0.204 -0.185  -0.204 0.009  -0.204 0.203  -0.204 0.217  -0.375 0.164  -0.384 0.144  -0.252 0.229  -0.064 0.253  0.085 0.361  0.279 0.361  0.448 0.336  0.607 0.267  0.720 0.141  0.767 -0.047  0.828 -0.227  0.828 -0.421  0.828 -0.615  0.802 -0.792  0.629 -0.879  0.546 -0.997  0.352 -0.997  0.190 -1.057  0.052 -1.160  -0.142 -1.160  -0.336 -1.160  -0.476 -1.214
1c#tos#t1#t1042062/f  1.070 1.314  0.930 1.314  0.836 1.366  0.748 1.445  0.609 1.445  0.469 1.445  0.330 1.445  0.190 1.445  0.057 1.417  -0.036 1.358  -0.062 1.245  -0.078 1.109  -0.106 0.976  -0.106 0.836  -0.106 0.697  -0.106 0.557  -0.106 0.417  -0.106 0.278  -0.105 0.138  -0.062 0.006  -0.062 -0.134  -0.062 -0.274  -0.062 -0.413  -0.062 -0.553  -0.019 -0.682  0.025 -0.804  0.025 -0.943  0.025 -1.083  0.025 -1.223  0.025 -1.362  0.011 -1.446  -0.056 -1.323  -0.122 -1.200  -0.189 -1.077  -0.255 -0.955  -0.322 -0.832  -0.388 -0.709  -0.455 -0.586  -0.521 -0.464  -0.639 -0.427  -0.738 -0.427  -0.599 -0.427  -0.466 -0.388  -0.327 -0.384  -0.187 -0.384  -0.047 -0.384  0.086 -0.349  0.225 -0.340  0.364 -0.340  0.504 -0.340
1c#tos#t1#t1042062/g  0.725 1.666  0.496 1.621  0.419 1.405  0.322 1.204  0.295 1.024  0.056 1.060  -0.184 1.041  -0.427 1.019  -0.563 0.882  -0.651 0.698  -0.740 0.478  -0.630 0.290  -0.429 0.244  -0.182 0.244  0.065 0.244  0.297 0.295  0.482 0.413  0.633 0.521  0.633 0.769  0.595 0.978  0.394 1.024  0.182 0.939  0.100 0.707  0.022 0.473  -0.057 0.238  -0.135 0.004  -0.330 -0.058  -0.467 -0.203  -0.389 -0.398  -0.233 -0.490  0.014 -0.490  0.261 -0.490  0.508 -0.490  0.663 -0.582  0.725 -0.767  0.711 -1.008  0.587 -1.178  0.434 -1.277  0.215 -1.361  0.013 -1.407  -0.234 -1.407  -0.463 -1.317  -0.698 -1.268  -0.855 -1.136  -0.830 -0.942  -0.655 -0.793  -0.467 -0.681  -0.238 -0.663  -0.118 -0.536  0.129 -0.536
1c#tos#t1#t1042062/h  -0.269 1.838  -0.410 1.817  -0.410 1.654  -0.439 1.498  -0.457 1.340  -0.457 1.177  -0.522 1.034  -0.551 0.880  -0.551 0.717  -0.551 0.555  -0.551 0.392  -0.551 0.229  -0.551 0.066  -0.551 -0.096  -0.551 -0.259  -0.551 -0.422  -0.551 -0.584  -0.504 -0.736  -0.504 -0.899  -0.504 -1.062  -0.458 -1.178  -0.413 -1.023  -0.368 -0.867  -0.323 -0.710  -0.279 -0.554  -0.234 -0.397  -0.189 -0.241  -0.283 -0.189  -0.363 -0.106  -0.306 -0.000  -0.143 -0.000  -0.122 0.141  0.028 0.182  0.128 0.283  0.290 0.283  0.453 0.283  0.558 0.377  0.720 0.377  0.863 0.356  0.863 0.194  0.957 0.098  0.957 -0.065  0.957 -0.228  0.957 -0.391  0.957 -0.553  0.957 -0.716  0.957 -0.879  0.957 -1.041  0.957 -1.204  0.957 -1.367
1c#tos#t1#t1042062/j  0.122 1.616  0.024 1.616  0.013 1.563  0.032 1.470  0.095 1.436  0.140 1.373  0.167 1.287  0.233 1.255  0.263 1.182  0.283 1.087  0.303 0.992  0.323 0.896  0.343 0.801  0.363 0.706  0.383 0.610  0.404 0.515  0.424 0.419  0.408 0.353  0.311 0.353  0.302 0.264  0.302 0.166  0.302 0.069  0.302 -0.029  0.302 -0.126  0.302 -0.224  0.302 -0.321  0.302 -0.418  0.302 -0.516  0.302 -0.613  0.302 -0.711  0.302 -0.808  0.302 -0.906  0.260 -0.977  0.168 -1.001  0.070 -1.001  -0.027 -1.001  -0.124 -1.001  -0.222 -1.001  -0.316 -0.985  -0.406 -0.956  -0.504 -0.956  -0.601 -0.955  -0.644 -0.868  -0.739 -0.862  -0.808 -0.793  -0.853 -0.730  -0.916 -0.696  -0.935 -0.603  -0.961 -0.512  -1.006 -0.459
1c#tos#t1#t1042062/k  -0.287 1.743  -0.438 1.810  -0.487 1.641  -0.487 1.423  -0.487 1.205  -0.487 0.987  -0.487 0.769  -0.487 0.551  -0.550 0.347  -0.554 0.130  -0.554 -0.088  -0.554 -0.306  -0.554 -0.524  -0.554 -0.743  -0.554 -0.961  -0.554 -1.179  -0.479 -1.067  -0.452 -0.851  -0.425 -0.635  -0.398 -0.418  -0.371 -0.202  -0.431 -0.062  -0.621 -0.090  -0.621 -0.217  -0.621 0.001  -0.407 0.005  -0.218 0.089  -0.019 0.152  0.078 0.272  0.273 0.342  0.448 0.472  0.639 0.577  0.815 0.705  0.988 0.812  0.946 0.823  0.817 0.647  0.688 0.471  0.559 0.295  0.430 0.119  0.301 -0.057  0.186 -0.196  0.248 -0.342  0.336 -0.484  0.430 -0.676  0.562 -0.844  0.649 -0.987  0.766 -1.166  0.885 -1.317  0.984 -1.448  1.117 -1.533
1c#tos#t1#t1042062/p  -0.292 0.723  -0.431 0.608  -0.439 0.395  -0.475 0.185  -0.501 -0.026  -0.501 -0.240  -0.501 -0.453  -0.501 -0.666  -0.501 -0.880  -0.501 -1.093  -0.501 -1.306  -0.465 -1.511  -0.431 -1.716  -0.421 -1.507  -0.410 -1.294  -0.400 -1.081  -0.389 -0.868  -0.378 -0.654  -0.368 -0.441  -0.357 -0.228  -0.346 -0.015  -0.336 0.198  -0.325 0.411  -0.314 0.624  -0.304 0.837  -0.293 1.050  -0.484 1.071  -0.444 1.071  -0.231 1.071  -0.018 1.071  0.195 1.071  0.409 1.071  0.622 1.071  0.827 1.035  1.025 0.971  1.103 0.805  1.172 0.662  1.242 0.518  1.242 0.305  1.141 0.133  0.973 0.025  0.893 -0.109  0.755 -0.184  0.612 -0.254  0.402 -0.278  0.266 -0.393  0.053 -0.395  -0.144 -0.463  -0.358 -0.463  -0.571 -0.463
1c#tos#t1#t1042062/r  -0.282 1.598  -0.425 1.598  -0.432 1.462  -0.432 1.320  -0.417 1.179  -0.371 1.044  -0.357 0.904  -0.357 0.761  -0.357 0.618  -0.357 0.476  -0.357 0.333  -0.357 0.190  -0.357 0.048  -0.357 -0.095  -0.357 -0.238  -0.357 -0.380  -0.357 -0.523  -0.357 -0.665  -0.357 -0.808  -0.357 -0.951  -0.357 -1.093  -0.357 -1.236  -0.357 -1.379  -0.357 -1.521  -0.282 -1.484  -0.282 -1.342  -0.282 -1.199  -0.282 -1.056  -0.282 -0.914  -0.282 -0.771  -0.221 -0.654  -0.123 -0.551  -0.044 -0.432  0.016 -0.307  0.016 -0.165  0.102 -0.075  0.238 -0.044  0.284 0.089  0.315 0.227  0.315 0.370  0.423 0.404  0.566 0.404  0.680 0.471  0.788 0.530  0.870 0.628  1.013 0.628  1.156 0.628  1.285 0.641  1.366 0.703  1.434 0.628
1c#tos#t1#t1042062/t  -0.926 0.410  -1.104 0.344  -1.176 0.177  -1.369 0.177  -1.225 0.177  -1.032 0.177  -0.839 0.177  -0.646 0.177  -0.453 0.177  -0.332 0.294  -0.140 0.294  0.053 0.294  0.212 0.395  0.387 0.469  0.580 0.469  0.749 0.527  0.885 0.618  0.801 0.527  0.650 0.636  0.508 0.766  0.365 0.896  0.223 1.027  0.081 1.157  -0.107 1.170  -0.283 1.153  -0.283 0.960  -0.400 0.840  -0.400 0.647  -0.400 0.454  -0.400 0.261  -0.400 0.068  -0.400 -0.125  -0.400 -0.318  -0.380 -0.506  -0.342 -0.690  -0.283 -0.824  -0.246 -1.008  -0.166 -1.138  -0.061 -1.225  0.108 -1.284  0.301 -1.284  0.480 -1.225  0.651 -1.204  0.651 -1.011  0.808 -0.952  0.969 -0.875  1.140 -0.795  1.177 -0.618  1.236 -0.483  1.177 -0.349
1c#tos#t1#t1042062/u  -1.021 1.417  -1.021 1.247  -1.021 1.077  -0.947 0.981  -0.886 0.837  -0.873 0.672  -0.873 0.503  -0.873 0.333  -0.873 0.163  -0.873 -0.007  -0.873 -0.177  -0.873 -0.347  -0.873 -0.517  -0.873 -0.686  -0.784 -0.780  -0.730 -0.941  -0.646 -1.031  -0.476 -1.031  -0.353 -0.984  -0.286 -0.870  -0.120 -0.836  0.018 -0.779  0.069 -0.660  0.239 -0.660  0.251 -0.495  0.346 -0.354  0.388 -0.197  0.483 -0.078  0.611 0.024  0.611 0.193  0.611 0.363  0.611 0.533  0.657 0.692  0.685 0.855  0.685 1.025  0.685 1.193  0.685 1.024  0.685 0.854  0.623 0.699  0.611 0.531  0.611 0.362  0.611 0.192  0.611 0.022  0.611 -0.148  0.611 -0.318  0.611 -0.488  0.661 -0.637  0.685 -0.797  0.744 -0.942  0.834 -1.031
