3#apa#apa15#app1525/p  -0.217 0.371  -0.137 0.211  -0.057 0.051  -0.054 -0.127  -0.054 -0.306  -0.054 -0.484  -0.054 -0.663  -0.054 -0.842  -0.054 -1.021  -0.054 -1.200  -0.054 -1.379  -0.054 -1.557  -0.054 -1.736  -0.128 -1.603  -0.208 -1.443  -0.256 -1.271  -0.299 -1.097  -0.342 -0.924  -0.390 -0.752  -0.470 -0.592  -0.544 -0.431  -0.544 -0.252  -0.544 -0.073  -0.544 0.106  -0.568 0.281  -0.624 0.450  -0.681 0.620  -0.707 0.795  -0.627 0.941  -0.501 1.067  -0.372 1.187  -0.193 1.187  -0.014 1.187  0.165 1.187  0.344 1.187  0.523 1.187  0.701 1.187  0.815 1.081  0.895 0.921  1.004 0.782  1.088 0.638  1.035 0.481  0.909 0.355  0.782 0.228  0.628 0.141  0.468 0.061  0.293 0.045  0.122 -0.005  -0.048 -0.062  -0.217 -0.118
3#apa#apa15#app1525/l  -0.011 1.715  -0.011 1.644  -0.011 1.574  -0.011 1.503  -0.011 1.433  -0.011 1.363  -0.011 1.292  -0.011 1.222  -0.011 1.151  -0.011 1.081  -0.011 1.010  -0.011 0.940  -0.011 0.869  -0.011 0.799  -0.011 0.728  -0.011 0.658  -0.011 0.588  -0.011 0.517  -0.011 0.447  -0.011 0.376  -0.011 0.306  -0.011 0.235  -0.011 0.165  -0.011 0.094  -0.011 0.024  -0.011 -0.046  -0.011 -0.117  -0.011 -0.187  -0.011 -0.258  -0.011 -0.328  -0.011 -0.399  -0.011 -0.469  -0.011 -0.540  -0.011 -0.610  -0.011 -0.681  -0.011 -0.751  -0.011 -0.821  -0.011 -0.892  -0.011 -0.962  -0.011 -1.033  -0.011 -1.103  -0.011 -1.174  -0.011 -1.244  -0.011 -1.315  -0.011 -1.385  -0.011 -1.456  0.024 -1.491  0.094 -1.491  0.165 -1.491  0.235 -1.491
3#apa#apa15#app1525/e  -1.095 -0.532  -0.946 -0.532  -0.796 -0.532  -0.685 -0.439  -0.580 -0.334  -0.474 -0.228  -0.343 -0.156  -0.210 -0.089  -0.076 -0.023  0.058 0.044  0.182 0.121  0.249 0.254  0.316 0.388  0.383 0.522  0.450 0.656  0.490 0.796  0.490 0.945  0.460 1.083  0.354 1.188  0.249 1.294  0.130 1.370  -0.019 1.370  -0.161 1.353  -0.267 1.247  -0.373 1.141  -0.461 1.028  -0.461 0.879  -0.461 0.729  -0.461 0.580  -0.461 0.430  -0.461 0.281  -0.461 0.131  -0.461 -0.019  -0.461 -0.168  -0.416 -0.307  -0.349 -0.441  -0.282 -0.574  -0.215 -0.708  -0.148 -0.842  -0.010 -0.894  0.132 -0.941  0.273 -0.989  0.415 -1.036  0.557 -1.083  0.699 -1.131  0.843 -1.166  0.992 -1.166  1.142 -1.166  1.291 -1.166  1.441 -1.166
3#apa#apa15#app1525/a  0.485 -0.442  0.485 -0.272  0.485 -0.101  0.485 0.069  0.485 0.240  0.485 0.410  0.485 0.580  0.485 0.751  0.462 0.898  0.292 0.898  0.121 0.898  -0.049 0.898  -0.220 0.898  -0.390 0.898  -0.561 0.898  -0.731 0.898  -0.876 0.857  -0.953 0.705  -1.029 0.552  -1.105 0.400  -1.181 0.248  -1.258 0.095  -1.334 -0.057  -1.364 -0.202  -1.243 -0.323  -1.122 -0.442  -0.952 -0.442  -0.781 -0.442  -0.611 -0.442  -0.441 -0.442  -0.285 -0.407  -0.164 -0.287  -0.043 -0.166  0.077 -0.046  0.198 0.075  0.217 0.237  0.249 0.330  0.370 0.209  0.485 0.087  0.485 -0.084  0.542 -0.231  0.662 -0.351  0.776 -0.477  0.871 -0.619  0.965 -0.761  1.060 -0.903  1.155 -1.044  1.249 -1.186  1.289 -1.345  1.289 -1.515
3#apa#apa15#app1525/s  -0.043 0.956  -0.043 1.072  -0.049 1.182  -0.165 1.182  -0.281 1.182  -0.397 1.182  -0.508 1.170  -0.591 1.088  -0.673 1.006  -0.743 0.915  -0.795 0.811  -0.847 0.708  -0.899 0.604  -0.950 0.499  -0.950 0.383  -0.950 0.267  -0.950 0.151  -0.936 0.049  -0.820 0.049  -0.703 0.049  -0.587 0.049  -0.471 0.049  -0.355 0.049  -0.238 0.049  -0.122 0.049  -0.006 0.049  0.110 0.049  0.226 0.049  0.343 0.049  0.445 0.015  0.527 -0.068  0.609 -0.150  0.705 -0.212  0.809 -0.264  0.913 -0.316  1.017 -0.368  1.076 -0.435  1.024 -0.539  0.972 -0.643  0.920 -0.747  0.868 -0.851  0.788 -0.935  0.706 -1.017  0.619 -1.091  0.508 -1.128  0.398 -1.165  0.288 -1.202  0.178 -1.238  0.067 -1.275  -0.043 -1.312
3#apa#apa15#app1525/e  -1.223 -0.282  -1.070 -0.282  -0.918 -0.282  -0.766 -0.282  -0.615 -0.278  -0.507 -0.171  -0.400 -0.063  -0.282 0.020  -0.130 0.020  0.002 0.054  0.070 0.190  0.138 0.326  0.206 0.462  0.274 0.598  0.287 0.748  0.287 0.900  0.287 1.052  0.287 1.205  0.157 1.228  0.005 1.228  -0.147 1.228  -0.299 1.228  -0.317 1.093  -0.317 0.941  -0.414 0.828  -0.522 0.721  -0.619 0.609  -0.619 0.456  -0.619 0.304  -0.619 0.152  -0.619 -0.000  -0.619 -0.153  -0.603 -0.298  -0.495 -0.406  -0.387 -0.514  -0.270 -0.608  -0.134 -0.676  0.003 -0.744  0.139 -0.812  0.275 -0.880  0.426 -0.886  0.578 -0.886  0.730 -0.886  0.883 -0.886  1.035 -0.886  1.187 -0.886  1.340 -0.886  1.492 -0.886  1.644 -0.886  1.796 -0.886
3#apa#apa15#app1525/c  0.319 0.624  0.247 0.696  0.175 0.768  0.130 0.851  0.130 0.952  0.093 1.038  0.021 1.110  -0.051 1.182  -0.149 1.189  -0.250 1.189  -0.352 1.189  -0.441 1.172  -0.473 1.076  -0.505 0.980  -0.537 0.883  -0.569 0.787  -0.601 0.691  -0.624 0.593  -0.624 0.491  -0.624 0.390  -0.624 0.288  -0.624 0.187  -0.624 0.085  -0.624 -0.016  -0.624 -0.118  -0.624 -0.219  -0.622 -0.320  -0.550 -0.392  -0.478 -0.464  -0.406 -0.535  -0.335 -0.607  -0.263 -0.679  -0.191 -0.751  -0.119 -0.823  -0.043 -0.883  0.059 -0.883  0.160 -0.883  0.262 -0.883  0.363 -0.883  0.465 -0.883  0.566 -0.883  0.668 -0.883  0.769 -0.883  0.871 -0.883  0.968 -0.856  1.064 -0.823  1.160 -0.791  1.257 -0.759  1.353 -0.727  1.449 -0.695
3#apa#apa15#app1525/a  0.041 -0.188  0.117 -0.036  0.193 0.117  0.270 0.269  0.346 0.421  0.422 0.573  0.464 0.733  0.448 0.900  0.372 1.052  0.296 1.204  0.179 1.290  0.008 1.290  -0.162 1.290  -0.315 1.218  -0.467 1.142  -0.602 1.051  -0.656 0.889  -0.709 0.728  -0.763 0.566  -0.814 0.404  -0.855 0.239  -0.896 0.074  -0.938 -0.091  -0.979 -0.256  -1.015 -0.422  -1.015 -0.592  -0.907 -0.718  -0.784 -0.808  -0.642 -0.714  -0.501 -0.620  -0.359 -0.525  -0.217 -0.431  -0.090 -0.319  0.030 -0.199  0.151 -0.079  0.252 0.049  0.252 0.220  0.362 0.125  0.464 -0.004  0.464 -0.174  0.464 -0.344  0.545 -0.480  0.665 -0.601  0.786 -0.721  0.895 -0.848  0.949 -1.010  1.003 -1.171  1.056 -1.333  1.097 -1.496  1.097 -1.666
3#apa#apa15#app1525/l  -0.458 1.632  -0.458 1.562  -0.458 1.492  -0.452 1.423  -0.430 1.357  -0.408 1.290  -0.386 1.224  -0.364 1.158  -0.341 1.091  -0.319 1.025  -0.297 0.958  -0.275 0.892  -0.247 0.828  -0.216 0.765  -0.185 0.703  -0.153 0.640  -0.122 0.578  -0.091 0.515  -0.070 0.449  -0.058 0.380  -0.047 0.311  -0.035 0.242  -0.024 0.173  -0.012 0.104  -0.001 0.035  0.011 -0.034  0.022 -0.103  0.034 -0.172  0.045 -0.241  0.057 -0.310  0.068 -0.379  0.080 -0.448  0.091 -0.517  0.103 -0.586  0.114 -0.655  0.144 -0.718  0.175 -0.781  0.207 -0.843  0.238 -0.906  0.269 -0.968  0.301 -1.031  0.332 -1.094  0.363 -1.156  0.394 -1.219  0.426 -1.281  0.457 -1.344  0.488 -1.407  0.497 -1.475  0.497 -1.545  0.497 -1.614
3#apa#apa15#app1525/l  -0.438 1.631  -0.438 1.561  -0.438 1.491  -0.438 1.421  -0.438 1.351  -0.438 1.281  -0.413 1.218  -0.381 1.155  -0.350 1.093  -0.319 1.030  -0.288 0.967  -0.257 0.905  -0.240 0.837  -0.223 0.769  -0.206 0.701  -0.189 0.633  -0.172 0.566  -0.155 0.498  -0.138 0.430  -0.121 0.362  -0.104 0.294  -0.087 0.226  -0.067 0.160  -0.041 0.095  -0.015 0.030  0.011 -0.035  0.037 -0.100  0.063 -0.165  0.089 -0.230  0.115 -0.295  0.141 -0.360  0.167 -0.425  0.193 -0.490  0.219 -0.555  0.245 -0.620  0.270 -0.685  0.287 -0.751  0.287 -0.821  0.287 -0.891  0.287 -0.961  0.287 -1.031  0.291 -1.100  0.313 -1.167  0.335 -1.233  0.357 -1.299  0.379 -1.366  0.402 -1.432  0.424 -1.498  0.446 -1.565  0.468 -1.631
3#apa#apa15#app1525/1  0.125 1.244  0.125 1.316  0.125 1.389  0.093 1.430  0.021 1.430  -0.052 1.430  -0.061 1.367  -0.061 1.294  -0.061 1.222  -0.061 1.149  -0.061 1.077  -0.061 1.004  -0.061 0.932  -0.061 0.859  -0.061 0.787  -0.061 0.714  -0.061 0.642  -0.061 0.569  -0.061 0.497  -0.061 0.424  -0.061 0.352  -0.061 0.279  -0.061 0.207  -0.061 0.134  -0.061 0.061  -0.061 -0.011  -0.061 -0.084  -0.061 -0.156  -0.061 -0.229  -0.061 -0.301  -0.061 -0.374  -0.058 -0.446  -0.044 -0.517  -0.030 -0.588  -0.016 -0.659  -0.001 -0.730  0.013 -0.801  0.027 -0.873  0.041 -0.944  0.055 -1.015  0.070 -1.086  0.084 -1.157  0.098 -1.228  0.112 -1.299  0.125 -1.371  0.125 -1.443  0.125 -1.516  0.125 -1.588  0.125 -1.661  0.125 -1.733
