3#app#app13#app1382/R  -0.568 0.412  -0.549 0.627  -0.461 0.813  -0.275 0.899  -0.275 0.677  -0.275 0.454  -0.312 0.241  -0.373 0.032  -0.373 -0.190  -0.373 -0.413  -0.423 -0.614  -0.471 -0.817  -0.471 -1.040  -0.471 -1.232  -0.471 -1.010  -0.471 -0.787  -0.471 -0.565  -0.373 -0.365  -0.373 -0.143  -0.373 0.080  -0.275 0.262  -0.275 0.485  -0.178 0.667  -0.117 0.864  -0.080 1.071  -0.009 1.264  0.115 1.435  0.168 1.636  0.354 1.638  0.473 1.454  0.506 1.239  0.506 1.016  0.506 0.794  0.506 0.571  0.477 0.355  0.408 0.149  0.286 -0.027  0.213 -0.232  0.029 -0.271  -0.064 -0.173  0.048 -0.302  0.129 -0.493  0.228 -0.692  0.310 -0.895  0.426 -1.070  0.506 -1.259  0.603 -1.442  0.701 -1.624  0.808 -1.745  0.896 -1.735
3#app#app13#app1382/i  -0.355 0.580  -0.233 0.580  -0.197 0.493  -0.197 0.370  -0.197 0.248  -0.197 0.125  -0.197 0.002  -0.197 -0.121  -0.221 -0.234  -0.307 -0.320  -0.355 -0.423  -0.355 -0.546  -0.355 -0.669  -0.355 -0.792  -0.355 -0.914  -0.355 -1.037  -0.355 -1.160  -0.355 -1.283  -0.355 -1.405  -0.303 -1.476  -0.197 -1.458  -0.197 -1.336  -0.172 -1.216  -0.142 -1.097  -0.112 -0.978  -0.083 -0.859  -0.053 -0.740  -0.023 -0.621  0.007 -0.502  0.036 -0.383  0.066 -0.263  0.096 -0.144  0.126 -0.025  0.155 0.094  0.185 0.213  0.215 0.332  0.245 0.451  0.275 0.570  0.304 0.689  0.334 0.808  0.364 0.927  0.394 1.046  0.423 1.165  0.453 1.285  0.483 1.404  0.513 1.523  0.542 1.642  0.572 1.761  0.558 1.846  0.435 1.846
3#app#app13#app1382/n  -1.005 0.359  -1.005 0.216  -1.005 0.072  -1.005 -0.072  -1.005 -0.215  -1.005 -0.359  -1.005 -0.502  -1.005 -0.646  -1.005 -0.790  -0.918 -0.897  -0.838 -0.947  -0.831 -0.810  -0.688 -0.810  -0.671 -0.683  -0.625 -0.551  -0.561 -0.422  -0.492 -0.297  -0.390 -0.195  -0.337 -0.074  -0.317 0.065  -0.253 0.194  -0.189 0.322  -0.098 0.431  0.004 0.533  0.105 0.634  0.164 0.754  0.164 0.897  0.174 1.037  0.275 1.139  0.395 1.195  0.539 1.195  0.678 1.182  0.779 1.081  0.832 0.959  0.832 0.816  0.832 0.672  0.832 0.528  0.832 0.385  0.832 0.241  0.832 0.098  0.832 -0.046  0.817 -0.187  0.772 -0.323  0.726 -0.460  0.681 -0.596  0.665 -0.737  0.665 -0.881  0.665 -1.024  0.665 -1.168  0.665 -1.311
3#app#app13#app1382/c  0.194 1.114  0.194 1.225  0.176 1.319  0.064 1.319  -0.047 1.319  -0.159 1.319  -0.217 1.265  -0.217 1.153  -0.268 1.062  -0.347 0.983  -0.428 0.908  -0.539 0.908  -0.628 0.885  -0.628 0.773  -0.628 0.661  -0.628 0.549  -0.628 0.438  -0.628 0.326  -0.628 0.214  -0.628 0.102  -0.628 -0.010  -0.628 -0.121  -0.628 -0.233  -0.628 -0.345  -0.628 -0.457  -0.589 -0.530  -0.478 -0.530  -0.382 -0.570  -0.303 -0.649  -0.224 -0.728  -0.217 -0.837  -0.209 -0.941  -0.098 -0.941  0.014 -0.941  0.126 -0.941  0.238 -0.941  0.350 -0.941  0.443 -0.898  0.522 -0.819  0.601 -0.739  0.712 -0.736  0.811 -0.723  0.811 -0.611  0.841 -0.530  0.953 -0.530  1.051 -0.496  1.130 -0.417  1.209 -0.338  1.222 -0.231  1.222 -0.119
3#app#app13#app1382/e  -0.800 -0.094  -0.653 -0.094  -0.506 -0.094  -0.359 -0.094  -0.214 -0.092  -0.110 0.012  0.001 0.101  0.148 0.101  0.294 0.101  0.420 0.152  0.524 0.256  0.628 0.360  0.732 0.464  0.758 0.600  0.758 0.747  0.758 0.894  0.758 1.041  0.758 1.188  0.692 1.269  0.545 1.269  0.399 1.269  0.264 1.217  0.133 1.151  0.001 1.086  -0.107 0.988  -0.211 0.884  -0.216 0.739  -0.281 0.619  -0.385 0.516  -0.411 0.379  -0.455 0.251  -0.559 0.147  -0.605 0.019  -0.605 -0.128  -0.605 -0.275  -0.605 -0.422  -0.605 -0.569  -0.605 -0.715  -0.605 -0.862  -0.509 -0.969  -0.405 -1.073  -0.301 -1.177  -0.190 -1.263  -0.043 -1.263  0.067 -1.351  0.171 -1.455  0.317 -1.457  0.464 -1.457  0.611 -1.457  0.758 -1.457
3#app#app13#app1382/w  -0.798 1.077  -0.798 1.187  -0.798 1.121  -0.798 1.143  -0.886 1.077  -0.819 1.077  -0.798 0.946  -0.798 0.792  -0.798 0.639  -0.798 0.486  -0.798 0.333  -0.798 0.180  -0.798 0.026  -0.798 -0.127  -0.798 -0.280  -0.798 -0.433  -0.798 -0.586  -0.687 -0.628  -0.573 -0.534  -0.464 -0.426  -0.404 -0.297  -0.341 -0.171  -0.232 -0.062  -0.142 0.053  -0.142 0.111  -0.093 -0.021  -0.011 -0.141  0.031 -0.276  0.120 -0.393  0.120 -0.546  0.120 -0.699  0.120 -0.852  0.120 -1.005  0.257 -1.022  0.402 -1.002  0.510 -0.894  0.619 -0.786  0.697 -0.656  0.765 -0.519  0.867 -0.406  0.908 -0.269  0.991 -0.151  1.039 -0.017  1.115 0.104  1.170 0.235  1.239 0.359  1.301 0.487  1.388 0.553  1.432 0.662  1.432 0.553
3#app#app13#app1382/i  -0.018 -0.497  -0.018 -0.584  -0.018 -0.672  -0.018 -0.759  0.017 -0.832  0.079 -0.894  0.133 -0.959  0.133 -1.046  0.133 -1.134  0.133 -1.221  0.133 -1.309  0.133 -1.396  0.125 -1.314  0.117 -1.227  0.109 -1.140  0.101 -1.052  0.093 -0.965  0.085 -0.878  0.077 -0.791  0.069 -0.704  0.062 -0.617  0.054 -0.530  0.046 -0.443  0.038 -0.356  0.030 -0.269  0.022 -0.182  0.014 -0.094  0.006 -0.007  -0.002 0.080  -0.010 0.167  -0.018 0.254  -0.026 0.341  -0.033 0.428  -0.041 0.515  -0.049 0.602  -0.057 0.689  -0.065 0.776  -0.073 0.864  -0.081 0.951  -0.089 1.038  -0.097 1.125  -0.105 1.212  -0.113 1.299  -0.121 1.386  -0.128 1.473  -0.136 1.560  -0.144 1.647  -0.152 1.734  -0.160 1.822  -0.168 1.909
3#app#app13#app1382/n  -0.834 0.539  -0.834 0.405  -0.834 0.270  -0.834 0.136  -0.834 0.002  -0.834 -0.132  -0.834 -0.267  -0.834 -0.401  -0.834 -0.535  -0.834 -0.669  -0.834 -0.804  -0.834 -0.938  -0.834 -1.072  -0.834 -1.207  -0.834 -1.114  -0.834 -0.980  -0.743 -0.884  -0.648 -0.789  -0.541 -0.723  -0.406 -0.723  -0.329 -0.666  -0.329 -0.531  -0.278 -0.419  -0.183 -0.324  -0.088 -0.229  -0.077 -0.099  -0.076 0.035  0.019 0.130  0.114 0.225  0.175 0.334  0.175 0.468  0.220 0.584  0.315 0.679  0.410 0.774  0.505 0.869  0.600 0.964  0.701 1.044  0.835 1.044  0.932 1.007  0.932 0.872  0.932 0.738  0.932 0.604  1.002 0.539  1.136 0.539  1.185 0.453  1.185 0.319  1.185 0.185  1.185 0.050  1.185 -0.084  1.185 -0.218
3#app#app13#app1382/d  -0.505 0.089  -0.665 0.089  -0.801 0.065  -0.801 -0.096  -0.850 -0.208  -0.949 -0.268  -0.949 -0.429  -0.949 -0.589  -0.949 -0.750  -0.949 -0.910  -0.949 -1.071  -0.949 -1.231  -0.804 -1.246  -0.643 -1.246  -0.489 -1.230  -0.376 -1.117  -0.262 -1.003  -0.208 -0.865  -0.165 -0.715  -0.094 -0.572  0.000 -0.444  0.088 -0.320  0.088 -0.160  0.115 -0.006  0.187 0.138  0.237 0.287  0.264 0.441  0.336 0.584  0.385 0.733  0.385 0.893  0.438 1.032  0.533 1.153  0.550 1.309  0.622 1.453  0.681 1.544  0.681 1.384  0.681 1.223  0.636 1.082  0.533 0.964  0.533 0.803  0.533 0.643  0.533 0.483  0.533 0.322  0.533 0.162  0.533 0.001  0.533 -0.159  0.533 -0.320  0.533 -0.480  0.533 -0.640  0.533 -0.801
3#app#app13#app1382/.  0.548 1.600  0.548 1.512  0.548 1.425  0.548 1.337  0.548 1.249  0.548 1.162  0.548 1.074  0.548 0.986  0.548 0.899  0.548 0.811  0.548 0.723  0.548 0.636  0.548 0.548  0.548 0.460  0.548 0.373  0.548 0.285  0.548 0.197  0.548 0.110  0.548 0.022  0.548 -0.066  0.548 -0.153  0.548 -0.241  0.548 -0.329  0.548 -0.416  0.548 -0.504  0.504 -0.548  0.416 -0.548  0.329 -0.548  0.241 -0.548  0.153 -0.548  0.066 -0.548  -0.022 -0.548  -0.110 -0.548  -0.197 -0.548  -0.285 -0.548  -0.373 -0.548  -0.460 -0.548  -0.548 -0.548  -0.636 -0.548  -0.723 -0.548  -0.811 -0.548  -0.899 -0.548  -0.986 -0.548  -1.074 -0.548  -1.162 -0.548  -1.249 -0.548  -1.337 -0.548  -1.425 -0.548  -1.512 -0.548  -1.600 -0.548
3#app#app13#app1382/I  0.247 1.594  0.176 1.594  0.134 1.566  0.134 1.496  0.134 1.425  0.134 1.354  0.134 1.283  0.134 1.213  0.134 1.142  0.134 1.071  0.134 1.001  0.134 0.930  0.134 0.859  0.134 0.789  0.134 0.718  0.134 0.647  0.134 0.577  0.103 0.513  0.071 0.450  0.040 0.387  0.021 0.321  0.021 0.250  0.021 0.179  0.021 0.109  0.021 0.038  0.021 -0.033  0.021 -0.103  0.004 -0.172  -0.014 -0.240  -0.031 -0.309  -0.048 -0.378  -0.065 -0.446  -0.082 -0.515  -0.093 -0.584  -0.093 -0.655  -0.093 -0.726  -0.093 -0.796  -0.093 -0.867  -0.093 -0.938  -0.093 -1.008  -0.124 -1.072  -0.155 -1.135  -0.187 -1.198  -0.206 -1.264  -0.206 -1.335  -0.206 -1.406  -0.206 -1.476  -0.206 -1.547  -0.206 -1.618  -0.206 -1.688
