3#apa#apa13#app1334/~  -0.928 -0.333  -0.928 -0.444  -0.967 -0.517  -1.079 -0.517  -1.035 -0.517  -0.928 -0.512  -0.928 -0.401  -0.928 -0.289  -0.928 -0.178  -0.928 -0.066  -0.928 0.046  -0.928 0.157  -0.928 0.269  -0.928 0.380  -0.867 0.466  -0.788 0.545  -0.744 0.639  -0.744 0.750  -0.656 0.773  -0.544 0.773  -0.432 0.773  -0.321 0.773  -0.209 0.773  -0.098 0.773  0.008 0.759  0.087 0.680  0.166 0.601  0.178 0.494  0.178 0.383  0.178 0.271  0.220 0.177  0.299 0.098  0.362 0.013  0.362 -0.099  0.406 -0.192  0.485 -0.271  0.546 -0.357  0.546 -0.469  0.609 -0.517  0.721 -0.517  0.832 -0.517  0.944 -0.517  1.056 -0.517  1.167 -0.517  1.279 -0.517  1.390 -0.517  1.502 -0.517  1.613 -0.517  1.725 -0.517  1.837 -0.517
1d#tos#t1#t1020062/~  -1.203 -0.286  -1.297 -0.286  -1.392 -0.286  -1.351 -0.286  -1.347 -0.196  -1.347 -0.102  -1.347 -0.007  -1.333 0.074  -1.275 0.110  -1.219 0.164  -1.129 0.194  -1.040 0.227  -0.956 0.269  -0.866 0.290  -0.772 0.290  -0.677 0.290  -0.582 0.290  -0.488 0.290  -0.393 0.290  -0.299 0.290  -0.267 0.227  -0.255 0.140  -0.170 0.097  -0.082 0.074  -0.051 0.010  0.036 0.002  0.093 -0.035  0.093 -0.130  0.175 -0.142  0.237 -0.175  0.292 -0.214  0.387 -0.214  0.473 -0.234  0.546 -0.286  0.641 -0.286  0.735 -0.286  0.830 -0.286  0.924 -0.286  1.019 -0.286  1.101 -0.274  1.101 -0.180  1.101 -0.085  1.173 -0.035  1.257 0.008  1.342 0.050  1.419 0.103  1.485 0.170  1.533 0.244  1.533 0.339  1.605 0.362
3#apa#apa09#app0993/~  -0.390 -0.170  -0.509 -0.170  -0.628 -0.170  -0.747 -0.170  -0.866 -0.170  -0.985 -0.170  -1.104 -0.170  -1.223 -0.170  -1.342 -0.170  -1.379 -0.250  -1.379 -0.369  -1.379 -0.488  -1.271 -0.499  -1.153 -0.499  -1.036 -0.490  -0.937 -0.424  -0.838 -0.358  -0.739 -0.293  -0.640 -0.227  -0.541 -0.161  -0.443 -0.095  -0.344 -0.029  -0.245 0.037  -0.146 0.103  -0.049 0.172  0.035 0.256  0.120 0.340  0.204 0.424  0.288 0.508  0.372 0.592  0.456 0.676  0.540 0.761  0.634 0.820  0.753 0.820  0.872 0.820  0.929 0.758  0.929 0.639  0.929 0.520  0.929 0.401  0.929 0.282  0.929 0.163  0.981 0.057  1.034 -0.050  1.088 -0.156  1.141 -0.262  1.194 -0.369  1.247 -0.475  1.259 -0.591  1.259 -0.710  1.259 -0.829
1d#tos#t1#t1007061/~  -1.376 -0.011  -1.445 -0.039  -1.445 -0.136  -1.376 -0.133  -1.337 -0.060  -1.250 -0.017  -1.238 0.073  -1.198 0.141  -1.105 0.171  -1.012 0.196  -0.962 0.243  -0.895 0.299  -0.824 0.352  -0.778 0.403  -0.681 0.403  -0.583 0.403  -0.548 0.341  -0.479 0.313  -0.430 0.265  -0.341 0.257  -0.341 0.160  -0.341 0.063  -0.300 -0.025  -0.236 -0.080  -0.203 -0.144  -0.118 -0.165  -0.065 -0.240  -0.014 -0.287  0.083 -0.287  0.180 -0.287  0.277 -0.287  0.349 -0.312  0.403 -0.356  0.500 -0.356  0.593 -0.338  0.680 -0.294  0.775 -0.287  0.872 -0.287  0.901 -0.219  0.987 -0.175  1.074 -0.131  1.161 -0.088  1.252 -0.055  1.345 -0.024  1.384 0.044  1.454 0.104  1.535 0.158  1.617 0.209  1.704 0.253  1.798 0.265
2#apa#apa00#app0049/~  -1.658 -0.309  -1.545 -0.309  -1.432 -0.309  -1.319 -0.309  -1.223 -0.269  -1.143 -0.189  -1.063 -0.109  -0.984 -0.029  -0.904 0.051  -0.805 0.085  -0.692 0.085  -0.672 0.178  -0.663 0.282  -0.550 0.282  -0.475 0.320  -0.475 0.433  -0.475 0.546  -0.475 0.659  -0.475 0.581  -0.475 0.468  -0.475 0.355  -0.475 0.242  -0.475 0.129  -0.427 0.037  -0.347 -0.043  -0.278 -0.128  -0.278 -0.241  -0.234 -0.309  -0.121 -0.309  -0.008 -0.309  0.105 -0.309  0.218 -0.309  0.331 -0.309  0.444 -0.309  0.557 -0.309  0.670 -0.309  0.783 -0.309  0.895 -0.309  0.978 -0.236  1.058 -0.156  1.153 -0.112  1.266 -0.112  1.299 -0.032  1.299 0.081  1.407 0.085  1.513 0.102  1.593 0.182  1.673 0.262  1.693 0.366  1.693 0.479
1d#apa#apa02#app0299/~  -1.693 -0.046  -1.558 -0.046  -1.423 -0.046  -1.288 -0.046  -1.153 -0.046  -1.045 -0.019  -1.045 0.116  -1.045 0.251  -0.938 0.278  -0.803 0.278  -0.722 0.331  -0.722 0.466  -0.722 0.601  -0.587 0.601  -0.452 0.601  -0.398 0.682  -0.398 0.817  -0.398 0.898  -0.398 0.763  -0.398 0.629  -0.398 0.494  -0.398 0.359  -0.360 0.240  -0.265 0.144  -0.169 0.049  -0.074 -0.046  -0.074 -0.181  -0.074 -0.316  0.007 -0.370  0.142 -0.370  0.249 -0.397  0.249 -0.532  0.249 -0.667  0.357 -0.693  0.492 -0.693  0.627 -0.693  0.762 -0.693  0.897 -0.693  0.897 -0.558  0.897 -0.423  0.978 -0.370  1.112 -0.370  1.220 -0.342  1.220 -0.208  1.220 -0.073  1.328 -0.046  1.463 -0.046  1.544 0.008  1.544 0.143  1.544 0.278
1d#apa#apa02#app0299/~  -1.411 -0.130  -1.411 0.007  -1.411 0.144  -1.411 0.282  -1.298 0.306  -1.160 0.306  -1.023 0.306  -0.974 0.394  -0.974 0.532  -0.974 0.669  -0.910 0.743  -0.773 0.743  -0.636 0.743  -0.498 0.743  -0.361 0.743  -0.224 0.743  -0.101 0.728  -0.101 0.591  -0.101 0.454  -0.101 0.316  -0.101 0.179  -0.101 0.042  -0.101 -0.096  -0.101 -0.233  -0.101 -0.371  -0.101 -0.508  -0.101 -0.645  -0.101 -0.783  -0.101 -0.920  -0.047 -1.004  0.090 -1.004  0.228 -1.004  0.356 -0.983  0.454 -0.886  0.551 -0.789  0.648 -0.692  0.745 -0.595  0.773 -0.469  0.773 -0.331  0.773 -0.194  0.846 -0.130  0.984 -0.130  1.121 -0.130  1.209 -0.081  1.209 0.056  1.209 0.193  1.209 0.331  1.209 0.468  1.209 0.605  1.209 0.743
2#tos#f2#f2024065/~  -1.118 -0.592  -1.205 -0.575  -1.205 -0.471  -1.205 -0.367  -1.205 -0.262  -1.205 -0.158  -1.205 -0.054  -1.205 0.050  -1.205 0.155  -1.137 0.191  -1.033 0.191  -0.959 0.263  -0.860 0.278  -0.825 0.373  -0.792 0.472  -0.736 0.539  -0.632 0.539  -0.527 0.539  -0.423 0.539  -0.335 0.522  -0.335 0.418  -0.290 0.342  -0.196 0.295  -0.161 0.213  -0.161 0.109  -0.149 0.017  -0.074 -0.013  -0.041 -0.103  0.041 -0.157  0.145 -0.157  0.187 -0.220  0.266 -0.244  0.368 -0.251  0.442 -0.325  0.543 -0.331  0.647 -0.331  0.752 -0.331  0.796 -0.272  0.873 -0.244  0.977 -0.244  1.082 -0.244  1.186 -0.244  1.284 -0.218  1.377 -0.171  1.457 -0.106  1.530 -0.032  1.579 0.052  1.579 0.156  1.649 0.191  1.666 0.278
1d#app#app25#app2591/~  -1.418 -0.498  -1.418 -0.398  -1.418 -0.298  -1.387 -0.211  -1.317 -0.140  -1.246 -0.069  -1.175 0.001  -1.161 0.096  -1.161 0.196  -1.145 0.289  -1.074 0.360  -1.003 0.431  -0.932 0.501  -0.844 0.530  -0.744 0.530  -0.644 0.530  -0.544 0.530  -0.444 0.530  -0.344 0.530  -0.244 0.530  -0.144 0.530  -0.070 0.467  0.001 0.397  0.072 0.326  0.125 0.248  0.125 0.148  0.125 0.047  0.125 -0.053  0.125 -0.153  0.136 -0.241  0.236 -0.241  0.336 -0.241  0.420 -0.280  0.491 -0.351  0.562 -0.421  0.633 -0.492  0.730 -0.498  0.830 -0.498  0.896 -0.464  0.896 -0.364  0.896 -0.264  0.973 -0.241  1.074 -0.241  1.174 -0.241  1.274 -0.241  1.374 -0.241  1.455 -0.196  1.526 -0.126  1.597 -0.055  1.668 0.016
1d#app#app25#app2591/~  -1.357 -0.768  -1.357 -0.670  -1.357 -0.572  -1.356 -0.476  -1.258 -0.476  -1.160 -0.476  -1.065 -0.473  -1.065 -0.375  -1.065 -0.277  -1.061 -0.184  -0.963 -0.184  -0.865 -0.184  -0.773 -0.178  -0.773 -0.080  -0.773 0.018  -0.765 0.108  -0.668 0.108  -0.570 0.108  -0.480 0.117  -0.480 0.215  -0.480 0.313  -0.470 0.401  -0.372 0.401  -0.275 0.401  -0.177 0.401  -0.079 0.401  0.019 0.401  0.117 0.401  0.215 0.401  0.313 0.401  0.411 0.401  0.509 0.401  0.607 0.401  0.689 0.385  0.689 0.287  0.689 0.189  0.701 0.096  0.770 0.027  0.839 -0.042  0.908 -0.112  0.978 -0.181  1.074 -0.184  1.172 -0.184  1.270 -0.184  1.368 -0.184  1.466 -0.184  1.564 -0.184  1.565 -0.087  1.565 0.011  1.565 0.108
1d#app#app25#app2591/~  -1.563 -0.538  -1.477 -0.453  -1.392 -0.367  -1.306 -0.281  -1.272 -0.174  -1.272 -0.053  -1.247 0.043  -1.126 0.043  -1.005 0.043  -0.982 0.140  -0.982 0.262  -0.933 0.334  -0.812 0.334  -0.691 0.334  -0.691 0.455  -0.691 0.576  -0.618 0.624  -0.497 0.624  -0.376 0.624  -0.255 0.624  -0.134 0.624  -0.012 0.624  0.109 0.624  0.181 0.575  0.181 0.454  0.181 0.333  0.181 0.212  0.181 0.091  0.181 -0.030  0.181 -0.151  0.181 -0.272  0.181 -0.393  0.181 -0.514  0.278 -0.538  0.399 -0.538  0.520 -0.538  0.641 -0.538  0.762 -0.538  0.883 -0.538  1.005 -0.538  1.053 -0.465  1.053 -0.344  1.077 -0.248  1.198 -0.248  1.319 -0.248  1.343 -0.151  1.343 -0.030  1.392 0.043  1.513 0.043  1.634 0.043
