2#apb#apb08#app0811/P  0.179 -0.138  0.197 -0.276  0.215 -0.413  0.232 -0.550  0.249 -0.687  0.266 -0.824  0.284 -0.961  0.293 -1.099  0.293 -1.237  0.293 -1.375  0.288 -1.513  0.279 -1.651  0.272 -1.642  0.258 -1.505  0.244 -1.367  0.213 -1.233  0.182 -1.098  0.150 -0.963  0.120 -0.828  0.092 -0.693  0.064 -0.558  0.036 -0.422  0.006 -0.287  -0.031 -0.154  -0.068 -0.021  -0.105 0.112  -0.142 0.245  -0.175 0.380  -0.207 0.514  -0.240 0.648  -0.273 0.783  -0.310 0.916  -0.349 1.048  -0.387 1.181  -0.418 1.316  -0.429 1.446  -0.306 1.481  -0.175 1.437  -0.056 1.371  0.047 1.280  0.134 1.172  0.187 1.048  0.185 0.911  0.123 0.793  0.029 0.693  -0.092 0.633  -0.226 0.597  -0.359 0.560  -0.478 0.497  -0.590 0.434
2#apb#apb08#app0811/l  -0.134 1.540  -0.151 1.603  -0.096 1.565  -0.077 1.499  -0.062 1.430  -0.048 1.362  -0.035 1.293  -0.023 1.224  -0.014 1.155  -0.004 1.085  0.006 1.016  0.015 0.947  0.022 0.877  0.030 0.807  0.037 0.738  0.044 0.668  0.052 0.599  0.051 0.529  0.048 0.459  0.045 0.389  0.042 0.319  0.039 0.249  0.036 0.179  0.033 0.109  0.034 0.039  0.036 -0.030  0.039 -0.100  0.041 -0.170  0.044 -0.240  0.046 -0.310  0.048 -0.380  0.051 -0.450  0.053 -0.520  0.045 -0.589  0.036 -0.659  0.028 -0.728  0.020 -0.798  0.011 -0.867  0.003 -0.937  -0.005 -1.006  -0.013 -1.076  -0.020 -1.145  -0.027 -1.215  -0.034 -1.285  -0.041 -1.354  -0.048 -1.424  -0.051 -1.494  -0.051 -1.564  -0.051 -1.634  -0.051 -1.704
2#apb#apb08#app0811/e  -0.844 0.436  -0.704 0.398  -0.565 0.360  -0.424 0.332  -0.279 0.332  -0.135 0.335  0.008 0.361  0.150 0.387  0.290 0.423  0.426 0.473  0.562 0.522  0.702 0.555  0.837 0.594  0.854 0.710  0.767 0.820  0.651 0.907  0.534 0.990  0.390 1.002  0.246 1.014  0.102 1.022  -0.042 1.008  -0.186 0.993  -0.309 0.924  -0.425 0.837  -0.524 0.736  -0.596 0.610  -0.654 0.479  -0.696 0.340  -0.738 0.202  -0.740 0.057  -0.740 -0.088  -0.740 -0.232  -0.708 -0.373  -0.670 -0.512  -0.627 -0.649  -0.538 -0.764  -0.449 -0.878  -0.351 -0.983  -0.237 -1.071  -0.122 -1.160  0.011 -1.192  0.156 -1.192  0.301 -1.192  0.446 -1.192  0.590 -1.192  0.735 -1.192  0.874 -1.166  1.005 -1.105  1.137 -1.044  1.268 -0.984
2#apb#apb08#app0811/a  0.061 0.667  0.155 0.604  0.187 0.738  0.102 0.810  -0.031 0.846  -0.116 0.960  -0.236 1.004  -0.378 1.004  -0.502 0.941  -0.622 0.866  -0.742 0.790  -0.849 0.698  -0.957 0.606  -1.046 0.501  -1.090 0.366  -1.135 0.232  -1.158 0.094  -1.158 -0.048  -1.152 -0.188  -1.096 -0.318  -1.040 -0.449  -0.939 -0.545  -0.830 -0.636  -0.712 -0.712  -0.585 -0.775  -0.458 -0.839  -0.327 -0.800  -0.196 -0.747  -0.064 -0.694  0.049 -0.612  0.154 -0.517  0.259 -0.422  0.363 -0.326  0.466 -0.228  0.560 -0.123  0.655 -0.018  0.750 0.088  0.833 0.201  0.885 0.332  0.902 0.359  0.902 0.217  0.919 0.077  0.946 -0.062  0.974 -0.201  1.023 -0.332  1.086 -0.459  1.150 -0.586  1.248 -0.688  1.348 -0.788  1.448 -0.888
2#apb#apb08#app0811/s  -0.263 1.315  -0.217 1.384  -0.204 1.435  -0.263 1.410  -0.275 1.330  -0.312 1.256  -0.351 1.184  -0.403 1.119  -0.455 1.055  -0.506 0.990  -0.552 0.921  -0.591 0.848  -0.617 0.770  -0.622 0.688  -0.622 0.605  -0.570 0.544  -0.512 0.485  -0.447 0.434  -0.381 0.384  -0.314 0.335  -0.248 0.285  -0.182 0.235  -0.113 0.189  -0.044 0.144  0.025 0.098  0.094 0.052  0.163 0.006  0.215 -0.057  0.263 -0.125  0.311 -0.192  0.360 -0.259  0.414 -0.321  0.473 -0.380  0.531 -0.438  0.537 -0.519  0.537 -0.602  0.537 -0.684  0.527 -0.766  0.509 -0.847  0.491 -0.928  0.473 -1.009  0.454 -1.089  0.417 -1.163  0.379 -1.237  0.342 -1.311  0.305 -1.385  0.256 -1.451  0.203 -1.515  0.150 -1.578  0.097 -1.642
2#apb#apb08#app0811/e  -1.114 0.206  -0.962 0.247  -0.810 0.289  -0.659 0.329  -0.503 0.355  -0.348 0.381  -0.193 0.407  -0.038 0.433  0.114 0.471  0.258 0.533  0.403 0.595  0.547 0.657  0.696 0.704  0.852 0.730  0.850 0.799  0.699 0.815  0.542 0.815  0.384 0.815  0.230 0.796  0.077 0.757  -0.076 0.719  -0.228 0.680  -0.380 0.639  -0.532 0.597  -0.668 0.530  -0.779 0.419  -0.891 0.308  -1.014 0.210  -1.062 0.083  -1.039 -0.072  -0.969 -0.209  -0.879 -0.338  -0.789 -0.467  -0.672 -0.566  -0.534 -0.640  -0.395 -0.715  -0.257 -0.790  -0.113 -0.854  0.032 -0.914  0.177 -0.975  0.327 -1.012  0.484 -1.012  0.642 -1.012  0.799 -1.012  0.945 -0.961  1.089 -0.896  1.232 -0.831  1.371 -0.759  1.509 -0.682  1.646 -0.606
2#apb#apb08#app0811/p  -0.190 0.818  -0.133 0.619  -0.058 0.425  0.002 0.229  0.002 0.021  0.002 -0.186  0.002 -0.394  0.002 -0.601  0.002 -0.809  0.002 -1.017  0.002 -1.224  -0.014 -1.431  -0.056 -1.633  -0.196 -1.643  -0.343 -1.496  -0.413 -1.302  -0.478 -1.105  -0.544 -0.908  -0.599 -0.708  -0.655 -0.508  -0.706 -0.307  -0.732 -0.101  -0.758 0.105  -0.746 0.311  -0.715 0.516  -0.629 0.699  -0.541 0.884  -0.375 0.986  -0.228 1.133  -0.023 1.139  0.184 1.139  0.392 1.139  0.600 1.139  0.804 1.124  0.994 1.040  1.176 0.941  1.242 0.760  1.252 0.553  1.168 0.371  1.033 0.214  0.880 0.075  0.705 -0.025  0.499 -0.047  0.291 -0.047  0.084 -0.047  -0.124 -0.047  -0.315 -0.128  -0.519 -0.143  -0.689 -0.189  -0.542 -0.336
2#apb#apb08#app0811/i  -0.087 1.688  -0.070 1.620  -0.053 1.552  -0.036 1.485  -0.019 1.417  -0.002 1.349  0.015 1.281  0.032 1.213  0.049 1.145  0.064 1.077  0.064 1.007  0.064 0.937  0.064 0.867  0.064 0.797  0.064 0.727  0.064 0.657  0.064 0.587  0.064 0.516  0.056 0.447  0.041 0.379  0.026 0.311  0.010 0.242  -0.005 0.174  -0.020 0.106  -0.035 0.037  -0.050 -0.031  -0.066 -0.099  -0.081 -0.168  -0.083 -0.237  -0.076 -0.307  -0.070 -0.377  -0.064 -0.446  -0.057 -0.516  -0.051 -0.586  -0.045 -0.655  -0.038 -0.725  -0.032 -0.795  -0.026 -0.865  -0.019 -0.934  -0.013 -1.004  -0.006 -1.074  0.002 -1.143  0.010 -1.213  0.018 -1.283  0.025 -1.352  0.033 -1.422  0.041 -1.491  0.048 -1.561  0.056 -1.631  0.064 -1.700
2#apb#apb08#app0811/c  0.295 1.467  0.284 1.375  0.198 1.326  0.134 1.251  0.069 1.176  0.005 1.100  -0.061 1.026  -0.136 0.962  -0.211 0.897  -0.286 0.833  -0.361 0.768  -0.427 0.694  -0.493 0.621  -0.560 0.547  -0.626 0.473  -0.692 0.400  -0.751 0.322  -0.773 0.226  -0.794 0.129  -0.816 0.032  -0.841 -0.063  -0.892 -0.148  -0.943 -0.233  -0.925 -0.310  -0.846 -0.362  -0.748 -0.378  -0.650 -0.394  -0.553 -0.415  -0.457 -0.437  -0.360 -0.459  -0.264 -0.482  -0.167 -0.504  -0.071 -0.526  0.026 -0.550  0.122 -0.574  0.218 -0.598  0.314 -0.622  0.410 -0.646  0.507 -0.660  0.606 -0.660  0.705 -0.660  0.805 -0.660  0.904 -0.660  1.003 -0.660  1.102 -0.660  1.201 -0.660  1.300 -0.660  1.399 -0.660  1.498 -0.660  1.597 -0.660
2#apb#apb08#app0811/k  -0.707 1.755  -0.722 1.590  -0.661 1.387  -0.632 1.178  -0.632 0.964  -0.632 0.751  -0.616 0.539  -0.591 0.327  -0.566 0.115  -0.557 -0.098  -0.557 -0.311  -0.557 -0.524  -0.534 -0.736  -0.499 -0.946  -0.461 -1.156  -0.333 -1.157  -0.188 -1.011  -0.097 -0.818  -0.007 -0.625  0.083 -0.431  0.173 -0.238  0.263 -0.045  0.354 0.148  0.444 0.342  0.534 0.535  0.624 0.728  0.714 0.922  0.805 1.115  0.755 1.097  0.595 0.956  0.432 0.818  0.268 0.682  0.105 0.545  -0.059 0.408  -0.223 0.272  -0.386 0.134  -0.537 -0.017  -0.675 -0.178  -0.642 -0.350  -0.473 -0.481  -0.289 -0.579  -0.082 -0.628  0.126 -0.677  0.332 -0.730  0.537 -0.791  0.741 -0.853  0.945 -0.914  1.153 -0.962  1.362 -1.004  1.571 -1.046
2#apb#apb08#app0811/u  -0.741 1.092  -0.761 0.974  -0.796 0.859  -0.841 0.748  -0.888 0.637  -0.935 0.527  -0.971 0.413  -0.988 0.294  -0.998 0.174  -0.986 0.055  -0.974 -0.065  -0.958 -0.183  -0.904 -0.291  -0.851 -0.398  -0.797 -0.506  -0.723 -0.599  -0.638 -0.684  -0.553 -0.769  -0.468 -0.854  -0.383 -0.939  -0.268 -0.953  -0.148 -0.953  -0.029 -0.950  0.079 -0.896  0.186 -0.842  0.294 -0.788  0.402 -0.735  0.508 -0.679  0.610 -0.616  0.713 -0.553  0.815 -0.490  0.918 -0.427  1.002 -0.345  1.069 -0.245  1.114 -0.140  1.101 -0.021  1.088 0.099  1.039 0.200  0.949 0.280  0.859 0.360  0.769 0.439  0.683 0.523  0.598 0.608  0.513 0.693  0.428 0.778  0.343 0.863  0.258 0.948  0.173 1.033  0.088 1.118  0.003 1.203
2#apb#apb08#app0811/p  -0.269 -1.323  -0.182 -1.438  -0.094 -1.551  0.010 -1.643  0.010 -1.640  0.003 -1.497  -0.019 -1.354  -0.041 -1.212  -0.086 -1.076  -0.138 -0.941  -0.189 -0.806  -0.240 -0.672  -0.290 -0.537  -0.337 -0.401  -0.384 -0.265  -0.432 -0.128  -0.479 0.008  -0.513 0.147  -0.541 0.289  -0.569 0.430  -0.597 0.571  -0.604 0.715  -0.604 0.859  -0.586 0.998  -0.515 1.123  -0.401 1.199  -0.267 1.252  -0.127 1.267  0.016 1.256  0.159 1.242  0.290 1.181  0.421 1.121  0.537 1.044  0.619 0.925  0.701 0.807  0.777 0.685  0.830 0.551  0.876 0.416  0.876 0.272  0.813 0.147  0.733 0.027  0.625 -0.064  0.503 -0.141  0.379 -0.212  0.239 -0.246  0.099 -0.281  -0.041 -0.316  -0.182 -0.290  -0.323 -0.262  -0.464 -0.234
