3#apa#apa02#app0296/L  -0.310 1.303  -0.310 1.399  -0.310 1.495  -0.310 1.591  -0.310 1.571  -0.310 1.476  -0.310 1.380  -0.310 1.284  -0.310 1.188  -0.310 1.093  -0.310 0.997  -0.310 0.901  -0.310 0.806  -0.310 0.710  -0.310 0.614  -0.310 0.518  -0.310 0.423  -0.310 0.327  -0.310 0.231  -0.310 0.136  -0.310 0.040  -0.310 -0.056  -0.310 -0.152  -0.310 -0.247  -0.310 -0.343  -0.310 -0.439  -0.310 -0.534  -0.310 -0.630  -0.310 -0.726  -0.310 -0.822  -0.310 -0.917  -0.271 -0.974  -0.175 -0.974  -0.084 -0.965  -0.016 -0.897  0.067 -0.866  0.151 -0.838  0.219 -0.771  0.309 -0.757  0.405 -0.757  0.501 -0.757  0.596 -0.757  0.684 -0.739  0.752 -0.671  0.838 -0.649  0.934 -0.649  1.030 -0.649  1.126 -0.649  1.221 -0.649  1.317 -0.649
3#apa#apa02#app0296/o  0.212 0.708  0.356 0.708  0.376 0.832  0.376 0.975  0.293 1.036  0.149 1.036  0.006 1.036  -0.137 1.036  -0.280 1.034  -0.382 0.932  -0.442 0.814  -0.480 0.708  -0.606 0.691  -0.606 0.547  -0.705 0.445  -0.769 0.328  -0.769 0.185  -0.778 0.045  -0.880 -0.056  -0.933 -0.178  -0.933 -0.321  -0.933 -0.465  -0.929 -0.607  -0.865 -0.735  -0.801 -0.864  -0.697 -0.927  -0.606 -0.980  -0.574 -1.091  -0.430 -1.091  -0.287 -1.091  -0.143 -1.091  -0.034 -1.010  0.076 -0.927  0.217 -0.923  0.319 -0.821  0.438 -0.764  0.569 -0.734  0.671 -0.633  0.703 -0.502  0.758 -0.382  0.859 -0.280  0.867 -0.140  0.867 0.003  0.932 0.120  1.030 0.223  1.030 0.366  1.030 0.509  1.030 0.653  0.968 0.771  0.867 0.872
3#apa#apa02#app0296/a  -0.024 0.819  -0.035 0.979  -0.199 0.963  -0.320 0.843  -0.441 0.722  -0.585 0.659  -0.664 0.567  -0.737 0.426  -0.824 0.292  -0.865 0.138  -0.985 0.017  -1.061 -0.136  -1.138 -0.288  -1.144 -0.457  -1.144 -0.628  -1.127 -0.781  -0.984 -0.809  -0.946 -0.941  -0.824 -0.991  -0.764 -1.101  -0.594 -1.101  -0.423 -1.101  -0.279 -1.036  -0.148 -0.941  0.009 -0.908  0.130 -0.787  0.250 -0.667  0.371 -0.546  0.456 -0.410  0.499 -0.258  0.616 -0.135  0.616 0.035  0.616 0.206  0.616 0.377  0.616 0.547  0.616 0.718  0.566 0.868  0.456 0.993  0.456 1.113  0.481 0.953  0.602 0.832  0.616 0.667  0.730 0.544  0.776 0.392  0.776 0.222  0.866 0.088  0.987 -0.032  1.103 -0.156  1.179 -0.309  1.256 -0.461
3#apa#apa02#app0296/n  -1.231 1.227  -1.074 1.227  -0.958 1.131  -0.878 1.007  -0.878 0.850  -0.878 0.694  -0.878 0.537  -0.878 0.381  -0.878 0.224  -0.806 0.098  -0.702 -0.016  -0.702 -0.173  -0.702 -0.329  -0.702 -0.486  -0.626 -0.611  -0.526 -0.726  -0.526 -0.882  -0.526 -1.039  -0.393 -1.063  -0.350 -0.949  -0.350 -0.793  -0.276 -0.710  -0.174 -0.656  -0.174 -0.499  -0.174 -0.342  -0.174 -0.186  -0.021 -0.182  0.002 -0.049  0.002 0.108  0.069 0.237  0.179 0.348  0.249 0.488  0.319 0.628  0.409 0.753  0.520 0.864  0.672 0.875  0.707 0.754  0.779 0.627  0.883 0.514  0.883 0.357  0.883 0.201  0.973 0.081  1.059 -0.040  1.059 -0.196  1.059 -0.353  1.059 -0.509  1.059 -0.666  1.139 -0.790  1.235 -0.906  1.235 -1.063
3#apa#apa02#app0296/%  -0.337 1.270  -0.418 1.380  -0.609 1.380  -0.683 1.252  -0.818 1.117  -0.884 0.954  -0.884 0.763  -0.777 0.616  -0.587 0.614  -0.413 0.685  -0.262 0.798  -0.204 0.965  -0.118 1.120  0.025 1.113  0.206 1.053  0.387 0.993  0.539 0.911  0.459 0.753  0.402 0.586  0.267 0.451  0.132 0.316  -0.003 0.181  -0.091 0.012  -0.132 -0.167  -0.268 -0.302  -0.337 -0.464  -0.493 -0.559  -0.564 -0.707  -0.699 -0.842  -0.774 -1.002  -0.627 -0.954  -0.456 -0.868  -0.285 -0.783  -0.114 -0.698  0.056 -0.612  0.227 -0.527  0.398 -0.441  0.539 -0.405  0.457 -0.562  0.388 -0.699  0.320 -0.823  0.320 -1.014  0.429 -1.095  0.578 -1.137  0.660 -1.028  0.851 -1.028  0.977 -0.899  1.048 -0.737  1.086 -0.562  1.086 -0.371
3#apa#apa02#app0296/'  0.842 1.537  0.786 1.481  0.730 1.425  0.673 1.368  0.617 1.312  0.561 1.256  0.505 1.200  0.449 1.143  0.392 1.087  0.336 1.031  0.280 0.975  0.224 0.918  0.167 0.862  0.111 0.806  0.055 0.750  -0.001 0.693  -0.041 0.630  -0.041 0.551  -0.041 0.471  -0.041 0.392  -0.041 0.312  -0.041 0.233  -0.041 0.153  -0.041 0.073  -0.041 -0.006  -0.041 -0.086  -0.041 -0.165  -0.041 -0.245  -0.041 -0.324  -0.041 -0.404  -0.041 -0.483  -0.041 -0.563  -0.041 -0.642  -0.041 -0.722  -0.041 -0.801  -0.041 -0.881  -0.041 -0.960  -0.041 -1.040  -0.049 -1.111  -0.128 -1.111  -0.208 -1.111  -0.287 -1.111  -0.367 -1.111  -0.446 -1.111  -0.526 -1.111  -0.605 -1.111  -0.685 -1.111  -0.764 -1.111  -0.844 -1.111  -0.923 -1.111
3#apa#apa02#app0296/s  0.488 1.422  0.358 1.422  0.228 1.422  0.099 1.422  -0.031 1.422  -0.152 1.400  -0.244 1.308  -0.335 1.216  -0.335 1.086  -0.389 1.010  -0.519 1.010  -0.541 0.903  -0.541 0.773  -0.541 0.643  -0.541 0.514  -0.541 0.384  -0.541 0.254  -0.479 0.187  -0.349 0.187  -0.253 0.105  -0.162 0.013  -0.045 -0.019  0.085 -0.019  0.215 -0.019  0.344 -0.019  0.474 -0.019  0.488 -0.135  0.528 -0.225  0.658 -0.225  0.787 -0.225  0.900 -0.243  0.900 -0.372  0.849 -0.481  0.757 -0.573  0.654 -0.637  0.524 -0.637  0.488 -0.730  0.470 -0.842  0.341 -0.842  0.218 -0.874  0.102 -0.932  -0.014 -0.990  -0.130 -1.048  -0.260 -1.048  -0.389 -1.048  -0.519 -1.048  -0.617 -1.124  -0.709 -1.216  -0.823 -1.254  -0.953 -1.254
3#apa#apa02#app0296/a  0.081 0.268  0.249 0.284  0.249 0.468  0.249 0.652  0.249 0.837  0.168 0.940  0.013 1.009  -0.131 1.108  -0.315 1.108  -0.499 1.108  -0.591 1.015  -0.700 0.940  -0.847 0.852  -0.927 0.700  -0.989 0.542  -1.095 0.401  -1.095 0.217  -1.095 0.033  -1.095 -0.151  -1.095 -0.336  -1.095 -0.520  -1.002 -0.666  -0.927 -0.819  -0.832 -0.909  -0.681 -0.987  -0.533 -1.077  -0.349 -1.077  -0.165 -1.077  -0.012 -1.002  0.119 -0.871  0.249 -0.741  0.379 -0.611  0.418 -0.442  0.564 -0.404  0.586 -0.242  0.586 -0.058  0.586 0.127  0.629 0.268  0.754 0.327  0.754 0.511  0.754 0.512  0.754 0.328  0.878 0.268  0.922 0.127  0.922 -0.057  0.922 -0.241  0.922 -0.425  0.948 -0.599  1.078 -0.729  1.090 -0.909
3#apa#apa02#app0296/r  -0.435 0.964  -0.435 0.823  -0.435 0.683  -0.435 0.543  -0.435 0.402  -0.402 0.275  -0.303 0.176  -0.216 0.071  -0.216 -0.069  -0.216 -0.210  -0.216 -0.350  -0.216 -0.491  -0.216 -0.631  -0.216 -0.771  -0.216 -0.912  -0.216 -1.052  -0.216 -1.193  -0.216 -1.333  -0.216 -1.474  -0.216 -1.614  -0.216 -1.565  -0.216 -1.424  -0.216 -1.284  -0.216 -1.143  -0.216 -1.003  -0.216 -0.862  -0.216 -0.722  -0.216 -0.582  -0.216 -0.441  -0.195 -0.306  -0.132 -0.180  -0.069 -0.054  -0.006 0.071  0.003 0.210  0.003 0.350  0.003 0.490  0.003 0.631  0.021 0.764  0.120 0.863  0.220 0.962  0.221 1.102  0.281 1.183  0.422 1.183  0.562 1.183  0.703 1.183  0.843 1.183  0.984 1.183  1.116 1.163  1.215 1.063  1.314 0.964
3#apa#apa02#app0296/e  -0.167 -0.316  -0.014 -0.316  0.138 -0.316  0.181 -0.206  0.270 -0.142  0.403 -0.094  0.511 0.014  0.530 0.158  0.634 0.207  0.704 0.289  0.704 0.442  0.704 0.595  0.704 0.747  0.704 0.900  0.704 1.053  0.575 1.077  0.530 1.184  0.444 1.251  0.292 1.251  0.151 1.221  0.044 1.113  -0.094 1.077  -0.167 0.997  -0.219 0.877  -0.356 0.809  -0.492 0.740  -0.515 0.602  -0.590 0.480  -0.689 0.369  -0.689 0.216  -0.832 0.207  -0.863 0.085  -0.863 -0.068  -0.863 -0.220  -0.863 -0.373  -0.838 -0.515  -0.730 -0.623  -0.622 -0.731  -0.514 -0.839  -0.406 -0.947  -0.281 -1.012  -0.167 -1.051  -0.150 -1.186  0.003 -1.186  0.156 -1.186  0.295 -1.243  0.431 -1.311  0.572 -1.360  0.725 -1.360  0.878 -1.360
3#apa#apa02#app0296/d  0.343 1.468  0.403 1.600  0.474 1.720  0.474 1.550  0.397 1.391  0.343 1.221  0.343 1.029  0.343 0.837  0.343 0.645  0.343 0.453  0.343 0.261  0.343 0.069  0.343 -0.123  0.343 -0.315  0.343 -0.507  0.343 -0.699  0.343 -0.891  0.377 -1.000  0.474 -0.848  0.556 -0.689  0.606 -0.518  0.606 -0.326  0.606 -0.134  0.486 0.008  0.455 0.191  0.369 0.362  0.248 0.509  0.112 0.645  -0.066 0.678  -0.258 0.678  -0.449 0.676  -0.587 0.546  -0.759 0.498  -0.895 0.362  -0.974 0.203  -1.037 0.025  -1.106 -0.150  -1.106 -0.342  -1.087 -0.526  -0.974 -0.672  -0.909 -0.837  -0.744 -0.903  -0.683 -1.034  -0.491 -1.034  -0.299 -1.034  -0.107 -1.034  0.085 -1.034  0.277 -1.034  0.469 -1.034  0.606 -0.903
