2#app#app25#app2545/w  -1.096 1.172  -1.096 0.967  -1.096 0.761  -1.201 0.599  -1.330 0.447  -1.330 0.242  -1.330 0.036  -1.330 -0.169  -1.330 -0.374  -1.214 -0.464  -1.096 -0.551  -1.054 -0.655  -0.909 -0.510  -0.723 -0.464  -0.517 -0.464  -0.395 -0.380  -0.340 -0.230  -0.161 -0.203  -0.161 0.002  0.042 0.004  0.196 0.128  0.306 0.288  0.306 0.493  0.306 0.699  0.505 0.705  0.540 0.534  0.540 0.328  0.425 0.237  0.306 0.151  0.265 -0.037  0.120 -0.183  -0.066 -0.230  -0.161 -0.340  -0.161 -0.546  -0.108 -0.697  0.097 -0.697  0.303 -0.697  0.508 -0.697  0.540 -0.523  0.685 -0.464  0.773 -0.346  0.863 -0.230  1.007 -0.169  1.040 0.004  1.241 0.008  1.241 0.214  1.369 0.366  1.474 0.528  1.503 0.705  1.708 0.705
2#app#app25#app2545/a  1.020 0.600  0.834 0.785  0.599 0.852  0.337 0.852  0.264 1.042  0.122 0.962  0.012 0.959  -0.105 1.103  -0.239 0.975  -0.378 0.852  -0.641 0.852  -0.743 0.691  -0.914 0.600  -0.995 0.418  -1.131 0.212  -1.246 -0.002  -1.246 -0.265  -1.246 -0.527  -1.246 -0.790  -1.246 -0.770  -1.095 -0.659  -0.995 -0.497  -0.822 -0.407  -0.613 -0.537  -0.401 -0.659  -0.239 -0.558  -0.239 -0.296  -0.117 -0.155  0.012 -0.023  0.156 0.096  0.418 0.096  0.516 0.261  0.691 0.348  0.768 0.534  0.768 0.403  0.561 0.348  0.516 0.130  0.288 0.096  0.264 -0.143  0.088 -0.332  0.012 -0.563  0.012 -0.826  0.190 -0.911  0.452 -0.911  0.715 -0.911  0.977 -0.911  1.020 -0.691  1.250 -0.659  1.513 -0.659  1.523 -0.407
2#app#app25#app2545/r  0.886 1.303  0.707 1.303  0.528 1.303  0.351 1.300  0.351 1.121  0.351 0.942  0.351 0.763  0.351 0.584  0.351 0.405  0.343 0.233  0.164 0.233  0.084 0.135  0.084 -0.044  0.084 -0.224  -0.018 -0.301  -0.193 -0.311  -0.320 -0.437  -0.446 -0.564  -0.623 -0.569  -0.803 -0.569  -0.982 -0.569  -0.986 -0.744  -0.986 -0.923  -0.986 -1.102  -1.163 -1.103  -1.253 -1.014  -1.252 -0.836  -1.073 -0.836  -0.920 -0.771  -0.794 -0.644  -0.718 -0.496  -0.718 -0.317  -0.555 -0.301  -0.376 -0.301  -0.197 -0.301  -0.184 -0.135  -0.106 -0.034  0.073 -0.034  0.084 0.135  0.164 0.233  0.343 0.233  0.522 0.233  0.702 0.233  0.881 0.233  1.060 0.233  1.153 0.319  1.153 0.498  1.330 0.501  1.509 0.501  1.688 0.501
2#app#app25#app2545/m  -0.126 1.411  -0.312 1.224  -0.323 0.964  -0.323 0.700  -0.508 0.621  -0.575 0.424  -0.718 0.303  -0.718 0.039  -0.915 -0.028  -1.003 -0.256  -1.113 -0.475  -1.288 -0.563  -1.113 -0.519  -1.001 -0.366  -0.915 -0.188  -0.882 0.062  -0.686 0.226  -0.520 0.325  -0.355 0.424  -0.298 0.596  -0.106 0.424  0.072 0.337  0.072 0.073  0.072 -0.191  0.009 -0.429  -0.200 -0.563  -0.323 -0.704  -0.520 -0.771  -0.597 -0.958  -0.718 -0.815  -0.569 -0.612  -0.520 -0.368  -0.258 -0.366  -0.033 -0.273  0.072 -0.052  0.255 0.029  0.446 0.205  0.701 0.226  0.935 0.300  1.148 0.424  1.366 0.534  1.594 0.621  1.651 0.414  1.597 0.172  1.454 -0.032  1.326 -0.169  1.257 -0.363  1.192 -0.563  1.059 -0.694  1.257 -0.761
2#app#app25#app2545/c  1.271 0.661  1.271 0.779  1.271 0.897  1.164 0.908  1.047 0.908  0.929 0.908  0.811 0.908  0.694 0.908  0.576 0.908  0.458 0.908  0.340 0.908  0.223 0.908  0.105 0.908  0.040 0.855  0.040 0.738  -0.002 0.661  -0.119 0.661  -0.237 0.661  -0.355 0.661  -0.453 0.642  -0.453 0.524  -0.453 0.406  -0.453 0.289  -0.453 0.171  -0.568 0.169  -0.686 0.169  -0.699 0.064  -0.699 -0.054  -0.699 -0.171  -0.699 -0.289  -0.699 -0.407  -0.699 -0.524  -0.699 -0.642  -0.699 -0.760  -0.699 -0.878  -0.699 -0.995  -0.650 -1.063  -0.532 -1.063  -0.414 -1.063  -0.297 -1.063  -0.179 -1.063  -0.061 -1.063  0.052 -1.051  0.135 -0.968  0.218 -0.885  0.308 -0.817  0.425 -0.817  0.543 -0.817  0.661 -0.817  0.779 -0.817
2#app#app25#app2545/u  -0.345 1.357  -0.556 1.357  -0.615 1.204  -0.682 1.021  -0.831 0.872  -0.884 0.683  -0.884 0.471  -0.904 0.280  -1.115 0.280  -1.153 0.108  -1.153 -0.103  -1.153 -0.315  -1.153 -0.526  -1.153 -0.737  -1.002 -0.797  -0.791 -0.797  -0.580 -0.797  -0.369 -0.797  -0.345 -0.609  -0.216 -0.527  -0.076 -0.456  -0.076 -0.245  -0.076 -0.034  0.090 0.011  0.301 0.011  0.512 0.011  0.723 0.011  0.731 0.214  0.876 0.280  1.001 0.367  1.001 0.578  1.001 0.789  1.182 0.819  1.270 0.696  1.205 0.549  1.001 0.543  1.001 0.332  0.841 0.280  0.731 0.179  0.688 0.011  0.477 0.011  0.462 -0.185  0.462 -0.396  0.382 -0.527  0.193 -0.549  0.193 -0.760  0.018 -0.797  -0.076 -0.913  -0.076 -1.124  -0.076 -1.335
2#app#app25#app2545/p  0.046 0.475  -0.119 0.455  -0.119 0.270  -0.119 0.085  -0.175 -0.076  -0.305 -0.207  -0.436 -0.337  -0.448 -0.517  -0.464 -0.695  -0.595 -0.826  -0.772 -0.844  -0.792 -1.009  -0.943 -1.042  -0.943 -1.227  -0.943 -1.412  -0.943 -1.411  -0.830 -1.339  -0.778 -1.206  -0.670 -1.066  -0.509 -1.009  -0.448 -0.885  -0.347 -0.742  -0.284 -0.584  -0.202 -0.433  -0.119 -0.283  -0.119 -0.098  -0.119 0.086  0.007 0.145  0.046 0.291  0.046 0.476  0.067 0.640  0.211 0.680  0.272 0.804  0.376 0.885  0.376 1.069  0.496 1.134  0.541 1.274  0.700 1.299  0.720 1.134  0.905 1.134  1.035 1.080  1.035 0.895  1.035 0.710  1.035 0.525  0.901 0.475  0.870 0.321  0.697 0.310  0.520 0.290  0.390 0.159  0.211 0.145
2#app#app25#app2545/s  1.196 0.792  1.196 0.932  1.193 1.069  1.052 1.069  0.911 1.069  0.771 1.069  0.630 1.069  0.489 1.069  0.349 1.069  0.208 1.069  0.086 1.051  0.086 0.910  0.064 0.792  -0.077 0.792  -0.218 0.792  -0.359 0.792  -0.469 0.762  -0.469 0.621  -0.503 0.514  -0.644 0.514  -0.747 0.477  -0.747 0.336  -0.706 0.236  -0.565 0.236  -0.469 0.192  -0.469 0.051  -0.469 -0.090  -0.469 -0.230  -0.417 -0.319  -0.277 -0.319  -0.136 -0.319  0.005 -0.319  0.086 -0.378  0.086 -0.519  0.131 -0.641  0.230 -0.741  0.330 -0.840  0.298 -0.940  0.199 -1.039  0.099 -1.139  0.208 -1.152  0.349 -1.152  0.238 -1.152  0.097 -1.152  -0.044 -1.152  -0.184 -1.152  -0.325 -1.152  -0.466 -1.152  -0.606 -1.152  -0.747 -1.152
2#app#app25#app2545/o  0.377 0.657  0.196 0.657  0.014 0.657  -0.122 0.612  -0.122 0.430  -0.281 0.408  -0.463 0.408  -0.621 0.384  -0.621 0.203  -0.759 0.158  -0.871 0.089  -0.871 -0.093  -0.871 -0.275  -0.952 -0.423  -1.081 -0.551  -1.121 -0.716  -1.121 -0.898  -1.121 -1.080  -0.950 -1.090  -0.768 -1.090  -0.621 -1.056  -0.621 -0.874  -0.473 -0.841  -0.291 -0.841  -0.109 -0.841  0.072 -0.841  0.217 -0.751  0.346 -0.623  0.514 -0.591  0.696 -0.591  0.877 -0.590  0.877 -0.409  0.958 -0.261  1.086 -0.132  1.127 0.033  1.127 0.215  1.127 0.396  1.127 0.578  1.127 0.760  1.092 0.907  0.911 0.907  0.729 0.907  0.547 0.907  0.365 0.907  0.184 0.907  0.002 0.907  -0.122 0.849  -0.122 0.668  -0.243 0.536  -0.372 0.408
2#app#app25#app2545/f  1.398 1.306  1.240 1.306  1.081 1.306  0.992 1.236  0.967 1.103  0.808 1.103  0.690 1.004  0.574 0.900  0.416 0.900  0.383 0.774  0.301 0.697  0.180 0.659  0.180 0.500  0.073 0.386  -0.040 0.274  -0.152 0.162  -0.226 0.034  -0.226 -0.125  -0.226 -0.284  -0.226 -0.443  -0.147 -0.522  -0.023 -0.557  -0.023 -0.716  -0.023 -0.875  -0.023 -1.033  -0.023 -1.192  -0.040 -1.334  -0.199 -1.334  -0.357 -1.334  -0.516 -1.334  -0.632 -1.292  -0.632 -1.133  -0.632 -0.974  -0.745 -0.928  -0.835 -0.860  -0.824 -0.704  -0.745 -0.566  -0.666 -0.428  -0.587 -0.291  -0.508 -0.153  -0.430 -0.015  -0.351 0.123  -0.272 0.261  -0.193 0.399  -0.115 0.536  -0.036 0.674  0.110 0.697  0.269 0.697  0.427 0.697  0.586 0.697
2#app#app25#app2545/b  0.575 1.633  0.575 1.832  0.575 1.791  0.575 1.592  0.575 1.393  0.414 1.355  0.297 1.274  0.297 1.075  0.297 0.876  0.175 0.800  0.020 0.757  0.020 0.558  -0.144 0.523  -0.258 0.438  -0.258 0.240  -0.258 0.041  -0.347 -0.121  -0.487 -0.261  -0.627 -0.402  -0.768 -0.542  -0.813 -0.722  -0.813 -0.809  -0.813 -0.610  -0.813 -0.412  -0.716 -0.310  -0.523 -0.297  -0.382 -0.157  -0.235 -0.032  -0.036 -0.032  0.020 0.110  0.020 0.309  0.020 0.508  0.149 0.393  0.290 0.253  0.485 0.245  0.575 0.136  0.575 -0.063  0.575 -0.261  0.575 -0.460  0.524 -0.638  0.384 -0.778  0.297 -0.941  0.297 -1.140  0.297 -1.338  0.180 -1.420  -0.018 -1.420  -0.217 -1.420  -0.258 -1.262  -0.337 -1.142  -0.535 -1.142
