1b#apa#apa09#app0991/Z  -0.299 0.620  -0.473 0.620  -0.646 0.620  -0.819 0.620  -0.802 0.620  -0.767 0.620  -0.854 0.620  -0.681 0.620  -0.508 0.620  -0.343 0.672  -0.178 0.727  -0.014 0.782  0.153 0.820  0.327 0.820  0.500 0.820  0.674 0.820  0.847 0.820  1.020 0.820  1.194 0.820  1.296 0.749  1.265 0.588  1.142 0.466  1.020 0.343  0.897 0.221  0.723 0.221  0.550 0.221  0.397 0.154  0.253 0.057  0.109 -0.039  -0.036 -0.135  -0.177 -0.236  -0.315 -0.340  -0.454 -0.444  -0.593 -0.548  -0.732 -0.652  -0.870 -0.756  -1.037 -0.776  -1.097 -0.889  -1.010 -0.975  -0.836 -0.975  -0.663 -0.975  -0.490 -0.975  -0.316 -0.975  -0.143 -0.975  0.031 -0.975  0.204 -0.975  0.377 -0.975  0.551 -0.975  0.724 -0.975  0.898 -0.975
1b#apa#apa09#app0991/A  -0.537 0.497  -0.554 0.269  -0.657 0.062  -0.731 -0.153  -0.731 -0.385  -0.731 -0.617  -0.731 -0.849  -0.754 -1.058  -0.925 -0.997  -0.902 -0.768  -0.845 -0.543  -0.789 -0.318  -0.733 -0.093  -0.630 0.115  -0.527 0.323  -0.423 0.530  -0.319 0.738  -0.215 0.945  -0.080 1.125  0.113 1.254  0.306 1.383  0.511 1.469  0.743 1.469  0.931 1.362  1.018 1.166  1.018 0.934  1.018 0.702  0.948 0.481  0.875 0.261  0.801 0.041  0.728 -0.179  0.655 -0.399  0.630 -0.627  0.630 -0.859  0.528 -1.067  0.435 -1.277  0.399 -1.396  0.264 -1.207  0.129 -1.018  -0.006 -0.829  -0.141 -0.640  -0.275 -0.452  -0.410 -0.263  -0.537 -0.071  -0.485 0.108  -0.253 0.108  -0.021 0.108  0.211 0.108  0.422 0.199  0.630 0.303
1b#apa#apa09#app0991/P  -0.592 0.015  -0.430 0.015  -0.421 -0.138  -0.421 -0.299  -0.421 -0.461  -0.421 -0.622  -0.421 -0.783  -0.421 -0.945  -0.421 -1.106  -0.421 -1.267  -0.479 -1.405  -0.592 -1.516  -0.592 -1.354  -0.592 -1.193  -0.592 -1.031  -0.592 -0.870  -0.592 -0.709  -0.592 -0.547  -0.592 -0.386  -0.592 -0.225  -0.592 -0.063  -0.592 0.098  -0.592 0.259  -0.592 0.421  -0.592 0.582  -0.549 0.717  -0.404 0.789  -0.260 0.861  -0.116 0.933  0.029 1.006  0.183 1.036  0.344 1.036  0.505 1.036  0.667 1.036  0.828 1.036  0.975 1.001  1.089 0.887  1.203 0.773  1.281 0.644  1.281 0.483  1.253 0.336  1.119 0.247  0.984 0.157  0.850 0.068  0.707 -0.001  0.550 -0.040  0.394 -0.080  0.237 -0.119  0.081 -0.156  -0.081 -0.156
1b#apa#apa09#app0991/K  -0.923 0.363  -0.923 0.192  -0.923 0.022  -0.923 -0.149  -0.923 -0.319  -0.923 -0.490  -0.923 -0.661  -0.923 -0.831  -0.923 -1.002  -0.923 -1.173  -0.888 -1.257  -0.767 -1.137  -0.716 -0.987  -0.679 -0.829  -0.576 -0.692  -0.474 -0.556  -0.371 -0.419  -0.269 -0.283  -0.167 -0.146  -0.069 -0.007  0.019 0.140  0.107 0.286  0.195 0.432  0.283 0.579  0.370 0.725  0.458 0.871  0.553 1.012  0.674 1.132  0.811 1.230  0.964 1.307  1.116 1.383  1.075 1.282  0.984 1.138  0.894 0.993  0.803 0.848  0.713 0.704  0.622 0.559  0.532 0.414  0.441 0.269  0.351 0.125  0.260 -0.020  0.170 -0.165  0.051 -0.258  -0.078 -0.275  0.043 -0.396  0.163 -0.517  0.284 -0.637  0.373 -0.781  0.450 -0.933  0.526 -1.086
1b#apa#apa09#app0991/A  -0.208 0.539  -0.307 0.340  -0.405 0.141  -0.475 -0.069  -0.545 -0.279  -0.615 -0.490  -0.685 -0.700  -0.755 -0.910  -0.755 -0.879  -0.701 -0.664  -0.647 -0.449  -0.594 -0.234  -0.495 -0.035  -0.396 0.163  -0.297 0.361  -0.198 0.559  -0.098 0.758  0.001 0.956  0.100 1.154  0.212 1.343  0.368 1.500  0.525 1.657  0.732 1.694  0.843 1.516  0.943 1.317  0.896 1.103  0.842 0.888  0.788 0.673  0.734 0.458  0.680 0.243  0.627 0.028  0.573 -0.187  0.519 -0.402  0.465 -0.618  0.412 -0.833  0.354 -1.047  0.284 -1.257  0.214 -1.467  0.119 -1.492  -0.004 -1.307  -0.127 -1.123  -0.250 -0.938  -0.373 -0.754  -0.496 -0.570  -0.593 -0.377  -0.593 -0.156  -0.488 -0.039  -0.266 -0.039  -0.045 -0.039  0.177 -0.039
1b#apa#apa09#app0991/P  -0.010 -0.357  -0.176 -0.274  -0.343 -0.191  -0.396 -0.290  -0.396 -0.476  -0.432 -0.656  -0.490 -0.832  -0.549 -1.009  -0.549 -1.171  -0.418 -1.303  -0.396 -1.480  -0.411 -1.369  -0.430 -1.184  -0.448 -0.999  -0.467 -0.814  -0.485 -0.629  -0.504 -0.444  -0.522 -0.259  -0.541 -0.074  -0.559 0.111  -0.578 0.296  -0.590 0.481  -0.590 0.667  -0.554 0.838  -0.423 0.970  -0.291 1.101  -0.141 1.189  0.044 1.189  0.230 1.180  0.412 1.143  0.594 1.107  0.777 1.071  0.959 1.034  1.141 0.998  1.275 0.871  1.343 0.713  1.298 0.541  1.195 0.386  1.091 0.231  0.988 0.077  0.834 -0.012  0.658 -0.070  0.482 -0.129  0.305 -0.188  0.129 -0.247  -0.048 -0.306  -0.225 -0.357  -0.411 -0.357  -0.597 -0.357  -0.783 -0.357
1b#apa#apa09#app0991/O  0.095 0.530  -0.047 0.530  -0.184 0.508  -0.311 0.444  -0.438 0.381  -0.565 0.317  -0.675 0.230  -0.775 0.130  -0.865 0.021  -0.928 -0.106  -0.992 -0.233  -1.055 -0.360  -1.043 -0.487  -0.979 -0.614  -0.916 -0.741  -0.852 -0.868  -0.732 -0.938  -0.605 -1.002  -0.478 -1.065  -0.348 -1.117  -0.206 -1.117  -0.064 -1.117  0.078 -1.117  0.184 -1.028  0.284 -0.928  0.384 -0.827  0.485 -0.727  0.585 -0.627  0.686 -0.526  0.786 -0.426  0.839 -0.296  0.884 -0.161  0.929 -0.026  0.974 0.108  1.019 0.243  1.036 0.382  1.036 0.524  0.939 0.626  0.839 0.727  0.738 0.827  0.638 0.928  0.526 1.000  0.384 1.000  0.242 1.000  0.100 1.000  -0.042 1.000  -0.184 1.000  -0.326 1.000  -0.468 1.000  -0.610 1.000
1b#apa#apa09#app0991/W  -1.434 0.423  -1.434 0.546  -1.407 0.504  -1.368 0.386  -1.329 0.269  -1.289 0.151  -1.224 0.050  -1.136 -0.037  -1.082 -0.146  -1.043 -0.263  -1.004 -0.381  -0.965 -0.498  -0.886 -0.581  -0.775 -0.636  -0.664 -0.692  -0.580 -0.648  -0.511 -0.545  -0.443 -0.442  -0.374 -0.339  -0.305 -0.236  -0.237 -0.133  -0.168 -0.030  -0.099 0.073  -0.031 0.176  0.025 0.283  0.025 0.407  0.134 0.423  0.219 0.360  0.274 0.249  0.330 0.138  0.375 0.023  0.414 -0.094  0.453 -0.211  0.492 -0.329  0.555 -0.432  0.643 -0.519  0.718 -0.484  0.787 -0.381  0.855 -0.278  0.924 -0.175  0.993 -0.072  1.079 0.017  1.163 0.106  1.202 0.224  1.241 0.341  1.280 0.459  1.320 0.576  1.374 0.687  1.429 0.798  1.485 0.909
1b#apa#apa09#app0991/K  -0.949 0.559  -0.949 0.378  -0.949 0.197  -0.949 0.016  -0.949 -0.165  -0.949 -0.346  -0.949 -0.527  -0.949 -0.708  -0.949 -0.889  -0.949 -1.070  -0.861 -1.215  -0.733 -1.343  -0.643 -1.234  -0.562 -1.072  -0.481 -0.910  -0.384 -0.758  -0.283 -0.607  -0.183 -0.457  -0.082 -0.306  0.017 -0.155  0.098 0.007  0.179 0.169  0.264 0.328  0.392 0.456  0.520 0.584  0.648 0.712  0.776 0.840  0.904 0.968  0.976 1.119  0.976 1.300  0.976 1.482  0.906 1.399  0.816 1.242  0.726 1.085  0.636 0.928  0.547 0.770  0.457 0.613  0.367 0.456  0.277 0.299  0.187 0.142  0.097 -0.015  0.002 -0.163  -0.179 -0.163  -0.134 -0.257  -0.006 -0.385  0.151 -0.473  0.313 -0.554  0.475 -0.635  0.607 -0.757  0.735 -0.885
1b#apa#apa09#app0991/E  -0.939 -0.310  -0.725 -0.298  -0.714 -0.115  -0.613 -0.318  -0.512 -0.520  -0.510 -0.745  -0.497 -0.967  -0.338 -1.126  -0.412 -1.052  -0.510 -0.866  -0.510 -0.640  -0.510 -0.414  -0.510 -0.188  -0.510 0.039  -0.510 0.265  -0.440 0.474  -0.339 0.677  -0.204 0.855  -0.044 1.015  0.116 1.175  0.313 1.283  0.515 1.384  0.736 1.409  0.962 1.409  1.188 1.409  1.209 1.204  1.040 1.059  0.864 0.918  0.687 0.776  0.510 0.635  0.334 0.494  0.157 0.353  -0.005 0.195  0.040 0.120  0.266 0.120  0.492 0.120  0.719 0.120  0.779 -0.046  0.641 -0.205  0.465 -0.347  0.288 -0.488  0.112 -0.629  -0.065 -0.771  -0.242 -0.912  -0.453 -0.954  -0.679 -0.954  -0.725 -1.135  -0.532 -1.169  -0.306 -1.169  -0.080 -1.169
1b#apa#apa09#app0991/R  -0.341 0.416  -0.341 0.227  -0.341 0.038  -0.355 -0.149  -0.415 -0.329  -0.475 -0.508  -0.516 -0.691  -0.516 -0.880  -0.516 -1.069  -0.516 -1.258  -0.527 -1.218  -0.544 -1.029  -0.561 -0.841  -0.578 -0.652  -0.595 -0.464  -0.612 -0.276  -0.629 -0.087  -0.647 0.101  -0.664 0.290  -0.681 0.478  -0.691 0.667  -0.691 0.856  -0.592 0.973  -0.412 1.033  -0.233 1.093  -0.047 1.115  0.135 1.157  0.314 1.217  0.494 1.277  0.665 1.224  0.834 1.139  1.018 1.115  1.057 0.965  1.057 0.776  0.958 0.617  0.853 0.460  0.748 0.302  0.626 0.159  0.492 0.025  0.358 -0.108  0.224 -0.242  0.091 -0.376  0.008 -0.531  0.008 -0.720  0.104 -0.840  0.284 -0.900  0.463 -0.959  0.615 -1.065  0.749 -1.198  0.882 -1.332
