2#app#app19#app1988/p  -0.291 0.136  -0.291 0.163  -0.291 -0.001  -0.291 -0.166  -0.291 -0.331  -0.195 -0.456  -0.195 -0.621  -0.195 -0.785  -0.195 -0.950  -0.195 -1.115  -0.195 -1.280  -0.132 -1.430  -0.035 -1.560  -0.003 -1.712  -0.003 -1.692  -0.003 -1.527  -0.003 -1.362  -0.007 -1.198  -0.081 -1.051  -0.099 -0.890  -0.099 -0.726  -0.130 -0.568  -0.195 -0.419  -0.195 -0.254  -0.195 -0.089  -0.195 0.076  -0.195 0.240  -0.195 0.405  -0.195 0.570  -0.195 0.735  -0.195 0.899  -0.195 1.064  -0.195 1.229  -0.188 1.391  -0.099 1.519  0.008 1.576  0.150 1.520  0.266 1.403  0.383 1.287  0.499 1.170  0.573 1.036  0.664 0.909  0.669 0.747  0.669 0.582  0.596 0.447  0.480 0.331  0.363 0.214  0.231 0.136  0.093 0.163  -0.003 0.232
2#app#app19#app1988/i  -0.062 1.258  -0.062 1.347  -0.062 1.436  -0.097 1.490  -0.187 1.490  -0.276 1.490  -0.294 1.419  -0.294 1.330  -0.294 1.241  -0.294 1.151  -0.294 1.062  -0.294 0.973  -0.294 0.884  -0.294 0.795  -0.294 0.705  -0.294 0.616  -0.294 0.527  -0.294 0.438  -0.294 0.349  -0.294 0.260  -0.294 0.170  -0.294 0.081  -0.294 -0.008  -0.294 -0.097  -0.294 -0.186  -0.294 -0.276  -0.294 -0.365  -0.294 -0.454  -0.294 -0.543  -0.261 -0.599  -0.172 -0.599  -0.082 -0.599  -0.062 -0.668  -0.062 -0.757  -0.051 -0.842  0.012 -0.905  0.075 -0.968  0.138 -1.031  0.214 -1.063  0.303 -1.063  0.392 -1.063  0.481 -1.063  0.570 -1.063  0.652 -1.046  0.715 -0.982  0.778 -0.919  0.841 -0.856  0.920 -0.831  1.009 -0.831  1.099 -0.831
2#app#app19#app1988/n  -0.771 1.234  -0.771 1.070  -0.771 0.906  -0.771 0.743  -0.771 0.579  -0.887 0.463  -0.990 0.342  -0.990 0.178  -0.990 0.014  -0.990 -0.150  -0.990 -0.314  -0.990 -0.477  -0.990 -0.641  -0.990 -0.805  -0.977 -0.964  -0.862 -1.080  -0.746 -1.145  -0.630 -1.029  -0.498 -0.952  -0.334 -0.952  -0.218 -0.836  -0.115 -0.715  -0.115 -0.551  -0.025 -0.424  0.090 -0.309  0.103 -0.150  0.168 -0.013  0.283 0.103  0.399 0.219  0.515 0.335  0.540 0.488  0.540 0.652  0.554 0.810  0.669 0.926  0.759 0.978  0.759 0.814  0.612 0.797  0.540 0.705  0.577 0.578  0.741 0.578  0.759 0.432  0.759 0.268  0.759 0.105  0.759 -0.059  0.862 -0.180  0.977 -0.296  0.977 -0.460  1.087 -0.514  1.196 -0.569  1.196 -0.733
2#app#app19#app1988/k  -0.350 2.116  -0.350 1.965  -0.415 1.879  -0.469 1.782  -0.469 1.631  -0.469 1.480  -0.469 1.329  -0.469 1.178  -0.469 1.028  -0.469 0.877  -0.469 0.726  -0.469 0.575  -0.469 0.424  -0.469 0.273  -0.469 0.122  -0.469 -0.029  -0.469 -0.179  -0.469 -0.330  -0.469 -0.481  -0.457 -0.629  -0.390 -0.764  -0.350 -0.906  -0.255 -0.962  -0.142 -0.872  -0.035 -0.765  0.071 -0.658  0.178 -0.552  0.285 -0.445  0.392 -0.338  0.498 -0.232  0.605 -0.125  0.712 -0.018  0.818 0.089  0.715 0.093  0.671 -0.015  0.521 -0.015  0.401 -0.092  0.268 -0.133  0.153 -0.221  0.047 -0.328  0.005 -0.461  0.005 -0.612  0.043 -0.725  0.173 -0.775  0.280 -0.882  0.397 -0.962  0.548 -0.962  0.699 -0.962  0.810 -1.057  0.952 -1.080
2#app#app19#app1988/,  0.356 0.954  0.356 1.031  0.356 1.109  0.356 1.186  0.356 1.264  0.307 1.292  0.229 1.292  0.152 1.292  0.074 1.292  0.018 1.270  0.018 1.193  0.018 1.115  0.018 1.038  0.018 0.960  0.018 0.883  0.018 0.805  0.018 0.728  0.018 0.650  0.018 0.572  0.018 0.495  0.018 0.417  0.018 0.340  0.018 0.262  0.018 0.185  0.018 0.107  0.018 0.030  0.018 -0.048  0.018 -0.125  0.018 -0.203  0.018 -0.280  0.018 -0.358  0.018 -0.435  0.018 -0.513  0.018 -0.590  0.018 -0.668  0.014 -0.744  -0.020 -0.814  -0.055 -0.883  -0.090 -0.952  -0.124 -1.022  -0.159 -1.091  -0.194 -1.160  -0.228 -1.230  -0.263 -1.299  -0.298 -1.368  -0.320 -1.441  -0.320 -1.518  -0.320 -1.596  -0.320 -1.673  -0.320 -1.751
2#app#app19#app1988/i  0.256 1.301  0.333 1.301  0.409 1.301  0.429 1.301  0.352 1.301  0.275 1.301  0.256 1.244  0.256 1.168  0.247 1.100  0.170 1.100  0.094 1.100  0.054 1.062  0.054 0.986  0.054 0.909  0.054 0.832  0.054 0.756  0.046 0.681  0.012 0.612  -0.022 0.544  -0.057 0.475  -0.091 0.406  -0.125 0.338  -0.147 0.266  -0.147 0.190  -0.147 0.113  -0.147 0.036  -0.147 -0.041  -0.147 -0.117  -0.147 -0.194  -0.147 -0.271  -0.147 -0.347  -0.147 -0.424  -0.147 -0.501  -0.147 -0.577  -0.147 -0.654  -0.147 -0.731  -0.147 -0.808  -0.147 -0.884  -0.147 -0.961  -0.147 -1.038  -0.147 -1.114  -0.147 -1.191  -0.147 -1.268  -0.128 -1.337  -0.074 -1.391  -0.020 -1.445  0.034 -1.499  0.054 -1.568  0.054 -1.644  0.054 -1.721
2#app#app19#app1988/s  0.683 1.007  0.597 1.093  0.511 1.180  0.396 1.199  0.274 1.199  0.152 1.199  0.030 1.199  -0.090 1.195  -0.177 1.108  -0.263 1.022  -0.379 1.007  -0.492 0.985  -0.579 0.898  -0.665 0.812  -0.752 0.726  -0.838 0.639  -0.855 0.524  -0.855 0.402  -0.855 0.280  -0.855 0.157  -0.844 0.046  -0.722 0.046  -0.618 0.001  -0.532 -0.085  -0.435 -0.147  -0.313 -0.147  -0.191 -0.147  -0.074 -0.159  0.013 -0.245  0.099 -0.332  0.218 -0.339  0.341 -0.339  0.463 -0.339  0.585 -0.339  0.700 -0.356  0.787 -0.442  0.873 -0.529  0.876 -0.650  0.841 -0.758  0.755 -0.844  0.669 -0.931  0.582 -1.017  0.496 -1.103  0.376 -1.108  0.267 -1.140  0.180 -1.227  0.089 -1.300  -0.034 -1.300  -0.156 -1.300  -0.278 -1.300
2#app#app19#app1988/t  0.093 1.685  0.243 1.704  0.205 1.835  0.093 1.779  0.018 1.685  -0.057 1.592  -0.057 1.423  -0.057 1.254  -0.057 1.086  -0.057 0.917  -0.057 0.749  -0.057 0.580  -0.057 0.411  -0.057 0.243  -0.057 0.074  -0.057 -0.094  -0.057 -0.263  -0.057 -0.431  -0.057 -0.600  -0.057 -0.769  -0.057 -0.937  -0.057 -1.106  -0.057 -1.274  0.036 -1.405  0.156 -1.524  0.223 -1.571  0.148 -1.420  0.072 -1.269  -0.003 -1.119  -0.079 -0.968  -0.154 -0.817  -0.229 -0.666  -0.305 -0.515  -0.380 -0.365  -0.456 -0.214  -0.531 -0.063  -0.606 0.088  -0.656 0.129  -0.602 -0.017  -0.473 -0.113  -0.305 -0.113  -0.136 -0.113  0.033 -0.113  0.190 -0.064  0.341 0.011  0.503 0.037  0.658 0.095  0.809 0.170  0.973 0.187  1.142 0.187
2#app#app19#app1988/h  -0.299 1.523  -0.281 1.639  -0.184 1.675  -0.238 1.754  -0.299 1.682  -0.299 1.548  -0.299 1.415  -0.299 1.281  -0.299 1.148  -0.320 1.019  -0.380 0.900  -0.415 0.775  -0.415 0.641  -0.415 0.508  -0.415 0.374  -0.415 0.241  -0.422 0.108  -0.455 -0.021  -0.487 -0.151  -0.519 -0.280  -0.530 -0.412  -0.530 -0.546  -0.530 -0.679  -0.511 -0.805  -0.416 -0.899  -0.399 -1.016  -0.275 -0.992  -0.181 -0.898  -0.087 -0.803  0.039 -0.785  0.052 -0.660  0.111 -0.541  0.162 -0.419  0.200 -0.324  0.278 -0.268  0.330 -0.156  0.393 -0.049  0.455 0.023  0.589 0.023  0.624 -0.075  0.624 -0.209  0.637 -0.337  0.732 -0.431  0.739 -0.561  0.739 -0.695  0.739 -0.828  0.739 -0.962  0.739 -1.095  0.837 -1.132  0.855 -1.247
2#app#app19#app1988/e  -0.798 0.139  -0.966 0.139  -0.843 0.139  -0.798 0.016  -0.698 -0.053  -0.552 -0.107  -0.433 -0.226  -0.272 -0.244  -0.103 -0.244  0.066 -0.244  0.234 -0.244  0.351 -0.193  0.380 -0.053  0.547 -0.049  0.666 0.070  0.785 0.190  0.904 0.309  0.925 0.469  0.925 0.637  0.860 0.778  0.741 0.898  0.734 1.063  0.598 1.096  0.543 1.209  0.452 1.287  0.284 1.287  0.160 1.243  0.138 1.096  -0.030 1.096  -0.150 0.978  -0.252 0.847  -0.328 0.696  -0.403 0.545  -0.415 0.379  -0.415 0.211  -0.415 0.042  -0.415 -0.126  -0.415 -0.295  -0.415 -0.463  -0.415 -0.632  -0.415 -0.800  -0.308 -0.925  -0.223 -1.058  -0.223 -1.227  -0.222 -1.395  -0.102 -1.514  0.037 -1.584  0.160 -1.630  0.183 -1.776  0.351 -1.776
2#app#app19#app1988/r  -0.251 -0.106  -0.251 -0.221  -0.296 -0.291  -0.410 -0.291  -0.435 -0.381  -0.435 -0.495  -0.435 -0.610  -0.435 -0.725  -0.435 -0.840  -0.435 -0.954  -0.435 -1.069  -0.435 -1.184  -0.435 -1.299  -0.419 -1.398  -0.304 -1.398  -0.251 -1.337  -0.251 -1.222  -0.176 -1.138  -0.095 -1.057  -0.066 -0.954  -0.066 -0.839  -0.066 -0.724  -0.066 -0.610  -0.066 -0.495  -0.066 -0.380  -0.066 -0.265  -0.066 -0.151  -0.066 -0.036  -0.066 0.079  -0.015 0.181  0.037 0.284  0.088 0.387  0.118 0.494  0.118 0.609  0.118 0.724  0.118 0.839  0.118 0.953  0.118 1.068  0.118 1.183  0.118 1.298  0.161 1.370  0.276 1.370  0.390 1.370  0.500 1.357  0.581 1.276  0.662 1.195  0.773 1.185  0.879 1.163  0.960 1.082  1.041 1.001
