1c#tos#t3#t3072063/a  0.491 0.333  0.637 0.263  0.771 0.345  0.771 0.561  0.771 0.776  0.726 0.981  0.631 1.121  0.491 1.197  0.319 1.240  0.104 1.240  -0.042 1.170  -0.159 1.031  -0.276 0.933  -0.377 0.806  -0.502 0.665  -0.626 0.542  -0.789 0.469  -0.904 0.331  -0.974 0.185  -0.984 -0.026  -1.105 -0.155  -1.114 -0.362  -1.114 -0.578  -1.114 -0.793  -1.098 -0.993  -0.952 -1.063  -0.834 -1.161  -0.661 -1.202  -0.555 -1.092  -0.386 -0.993  -0.251 -0.876  -0.181 -0.714  0.004 -0.641  0.135 -0.504  0.142 -0.296  0.217 -0.155  0.349 -0.021  0.440 0.161  0.561 0.295  0.561 0.510  0.561 0.499  0.561 0.283  0.561 0.068  0.561 -0.148  0.561 -0.363  0.631 -0.509  0.631 -0.724  0.782 -0.795  0.974 -0.853  1.050 -0.993
1c#tos#t3#t3072063/b  0.371 1.918  0.241 1.786  0.227 1.588  0.173 1.431  0.107 1.246  0.012 1.069  -0.025 0.866  -0.118 0.676  -0.183 0.479  -0.310 0.313  -0.356 0.120  -0.385 -0.063  -0.488 -0.172  -0.544 -0.327  -0.620 -0.463  -0.686 -0.609  -0.686 -0.821  -0.781 -0.988  -0.884 -1.135  -0.833 -1.033  -0.766 -0.832  -0.699 -0.631  -0.632 -0.430  -0.565 -0.229  -0.498 -0.028  -0.431 0.173  -0.364 0.374  -0.297 0.575  -0.234 0.597  -0.022 0.597  0.190 0.597  0.402 0.597  0.548 0.531  0.732 0.465  0.892 0.340  1.098 0.330  1.156 0.142  1.164 -0.067  1.164 -0.278  1.076 -0.415  0.882 -0.459  0.752 -0.591  0.675 -0.736  0.476 -0.790  0.264 -0.790  0.131 -0.909  -0.078 -0.922  -0.223 -0.988  -0.408 -1.054  -0.620 -1.054
1c#tos#t3#t3072063/c  0.988 0.501  0.988 0.504  0.930 0.565  0.930 0.683  0.881 0.780  0.825 0.884  0.729 0.946  0.614 0.960  0.554 1.017  0.436 1.017  0.318 1.017  0.200 1.017  0.082 1.017  0.070 0.911  -0.039 0.903  -0.102 0.848  -0.211 0.819  -0.295 0.745  -0.369 0.673  -0.470 0.619  -0.561 0.549  -0.566 0.433  -0.620 0.327  -0.703 0.244  -0.733 0.138  -0.733 0.021  -0.755 -0.084  -0.847 -0.144  -0.847 -0.262  -0.847 -0.380  -0.847 -0.498  -0.790 -0.592  -0.783 -0.703  -0.670 -0.712  -0.604 -0.810  -0.521 -0.875  -0.427 -0.933  -0.309 -0.933  -0.191 -0.933  -0.073 -0.933  0.035 -0.972  0.149 -0.990  0.267 -0.990  0.385 -0.990  0.503 -0.990  0.611 -0.965  0.694 -0.882  0.809 -0.875  0.927 -0.875  0.988 -0.818
1c#tos#t3#t3072063/d  0.815 1.887  0.769 1.753  0.732 1.610  0.723 1.439  0.723 1.259  0.723 1.079  0.723 0.898  0.664 0.736  0.631 0.566  0.631 0.386  0.564 0.230  0.492 0.067  0.458 -0.108  0.446 -0.286  0.406 -0.442  0.354 -0.589  0.343 -0.767  0.307 -0.939  0.267 -0.971  0.287 -0.792  0.307 -0.613  0.327 -0.434  0.346 -0.255  0.366 -0.076  0.386 0.103  0.342 0.225  0.261 0.324  0.128 0.408  -0.033 0.456  -0.212 0.461  -0.383 0.502  -0.563 0.502  -0.691 0.437  -0.849 0.363  -0.932 0.251  -1.014 0.132  -1.114 0.004  -1.124 -0.172  -1.124 -0.352  -1.124 -0.532  -1.036 -0.648  -0.939 -0.762  -0.835 -0.837  -0.701 -0.883  -0.567 -0.929  -0.389 -0.944  -0.214 -0.976  -0.034 -0.976  0.093 -0.913  0.261 -0.883
1c#tos#t3#t3072063/f  -0.901 -0.126  -1.044 -0.156  -1.104 -0.269  -1.002 -0.269  -0.854 -0.294  -0.751 -0.364  -0.578 -0.364  -0.405 -0.364  -0.232 -0.364  -0.059 -0.364  0.114 -0.364  0.286 -0.364  0.459 -0.364  0.632 -0.364  0.805 -0.364  0.860 -0.247  0.860 -0.074  0.860 0.099  0.860 0.272  0.860 0.445  0.782 0.540  0.765 0.696  0.765 0.869  0.717 1.022  0.643 1.149  0.527 1.213  0.479 1.339  0.317 1.350  0.144 1.350  0.003 1.318  -0.024 1.151  -0.125 1.064  -0.140 0.906  -0.187 0.744  -0.187 0.571  -0.235 0.446  -0.235 0.273  -0.235 0.100  -0.235 -0.073  -0.235 -0.246  -0.235 -0.419  -0.235 -0.592  -0.235 -0.765  -0.235 -0.938  -0.282 -1.063  -0.282 -1.236  -0.330 -1.389  -0.335 -1.560  -0.378 -1.715  -0.425 -1.840
1c#tos#t3#t3072063/g  0.720 0.616  0.600 0.561  0.720 0.662  0.832 0.773  0.887 0.972  0.887 1.194  0.714 1.289  0.568 1.394  0.346 1.394  0.180 1.339  0.027 1.227  -0.145 1.100  -0.240 0.933  -0.350 0.754  -0.502 0.653  -0.518 0.441  -0.613 0.278  -0.557 0.079  -0.354 0.061  -0.132 0.061  0.054 0.097  0.198 0.201  0.362 0.283  0.498 0.369  0.528 0.561  0.540 0.479  0.443 0.280  0.443 0.058  0.349 -0.136  0.331 -0.352  0.276 -0.561  0.246 -0.776  0.109 -0.923  -0.036 -1.085  -0.113 -1.243  -0.242 -1.346  -0.425 -1.439  -0.647 -1.439  -0.869 -1.439  -1.002 -1.308  -1.002 -1.086  -0.993 -0.866  -0.885 -0.713  -0.724 -0.578  -0.547 -0.484  -0.367 -0.384  -0.145 -0.384  0.054 -0.407  0.165 -0.550  0.331 -0.606
1c#tos#t3#t3072063/j  0.286 0.668  0.225 0.623  0.286 0.515  0.332 0.419  0.363 0.284  0.377 0.146  0.423 0.050  0.423 -0.092  0.423 -0.234  0.423 -0.376  0.384 -0.479  0.377 -0.614  0.332 -0.737  0.332 -0.879  0.295 -0.984  0.218 -1.076  0.102 -1.129  0.056 -1.252  -0.032 -1.305  -0.155 -1.351  -0.251 -1.397  -0.347 -1.351  -0.443 -1.305  -0.520 -1.214  -0.541 -1.092  -0.533 -0.951  -0.499 -0.813  -0.465 -0.676  -0.431 -0.538  -0.397 -0.400  -0.363 -0.262  -0.329 -0.124  -0.296 0.013  -0.262 0.151  -0.228 0.289  -0.194 0.427  -0.160 0.565  -0.126 0.703  -0.093 0.840  -0.059 0.978  -0.025 1.116  0.009 1.254  0.043 1.392  0.077 1.529  0.066 1.632  0.010 1.547  0.122 1.501  0.194 1.411  0.240 1.315  0.332 1.265
1c#tos#t3#t3072063/m  -0.855 1.007  -1.045 0.976  -1.045 0.755  -0.952 0.567  -0.918 0.353  -0.918 0.132  -0.918 -0.089  -0.918 -0.311  -0.982 -0.469  -0.982 -0.690  -0.999 -0.894  -1.045 -0.973  -0.989 -0.775  -0.982 -0.557  -0.930 -0.348  -0.792 -0.182  -0.728 -0.024  -0.673 0.175  -0.538 0.303  -0.435 0.452  -0.285 0.541  -0.149 0.627  0.032 0.587  0.096 0.392  0.159 0.197  0.222 0.039  0.222 -0.182  0.222 -0.403  0.222 -0.625  0.159 -0.783  0.159 -0.785  0.159 -0.563  0.159 -0.342  0.213 -0.143  0.286 0.048  0.349 0.206  0.413 0.364  0.536 0.497  0.603 0.653  0.787 0.690  1.009 0.690  1.166 0.627  1.198 0.437  1.276 0.270  1.300 0.059  1.300 -0.162  1.359 -0.324  1.427 -0.515  1.490 -0.673  1.553 -0.831
1c#tos#t3#t3072063/p  -0.170 1.335  -0.292 1.207  -0.292 0.993  -0.292 0.779  -0.292 0.564  -0.292 0.350  -0.292 0.136  -0.292 -0.078  -0.292 -0.292  -0.292 -0.506  -0.292 -0.721  -0.292 -0.935  -0.331 -1.133  -0.352 -1.338  -0.352 -1.552  -0.352 -1.766  -0.350 -1.787  -0.346 -1.573  -0.342 -1.358  -0.337 -1.144  -0.333 -0.930  -0.329 -0.716  -0.324 -0.502  -0.320 -0.288  -0.316 -0.074  -0.311 0.140  -0.307 0.355  -0.302 0.569  -0.298 0.783  -0.294 0.997  -0.410 1.092  -0.323 1.092  -0.109 1.092  0.105 1.092  0.319 1.092  0.508 1.032  0.665 0.939  0.828 0.856  0.975 0.728  1.044 0.547  1.105 0.358  1.032 0.181  0.923 0.076  0.801 -0.016  0.693 -0.122  0.559 -0.202  0.447 -0.304  0.239 -0.320  0.044 -0.365  -0.170 -0.365
1c#tos#t3#t3072063/r  -0.436 1.505  -0.582 1.361  -0.580 1.268  -0.580 1.033  -0.580 0.797  -0.501 0.641  -0.436 0.471  -0.436 0.235  -0.436 -0.000  -0.436 -0.235  -0.436 -0.471  -0.436 -0.706  -0.436 -0.941  -0.436 -1.177  -0.364 -1.125  -0.364 -0.890  -0.364 -0.654  -0.322 -0.429  -0.292 -0.201  -0.211 0.001  -0.147 0.210  -0.075 0.374  -0.003 0.537  0.128 0.641  0.208 0.848  0.438 0.857  0.586 0.954  0.747 1.073  0.983 1.073  1.146 1.001  1.294 0.913  1.287 0.784  1.115 0.624  0.942 0.465  0.769 0.305  0.597 0.145  0.424 -0.015  0.251 -0.175  0.079 -0.335  -0.094 -0.495  -0.267 -0.655  -0.440 -0.815  -0.611 -0.976  -0.792 -1.088  -0.557 -1.088  -0.321 -1.088  -0.100 -1.148  0.132 -1.160  0.368 -1.160  0.573 -1.088
1c#tos#t3#t3072063/t  -0.939 0.509  -1.065 0.469  -1.184 0.366  -1.172 0.320  -1.006 0.320  -0.840 0.320  -0.674 0.320  -0.507 0.320  -0.341 0.320  -0.175 0.320  -0.009 0.320  0.157 0.320  0.310 0.376  0.475 0.383  0.641 0.383  0.744 0.446  0.670 0.557  0.562 0.684  0.455 0.811  0.348 0.938  0.240 1.065  0.133 1.192  0.001 1.266  -0.154 1.217  -0.182 1.068  -0.182 0.902  -0.182 0.736  -0.182 0.569  -0.201 0.408  -0.293 0.272  -0.308 0.112  -0.308 -0.054  -0.308 -0.221  -0.317 -0.383  -0.371 -0.527  -0.370 -0.693  -0.308 -0.844  -0.303 -1.005  -0.148 -1.054  -0.024 -1.131  0.103 -1.194  0.206 -1.257  0.373 -1.257  0.539 -1.257  0.642 -1.194  0.808 -1.194  0.959 -1.131  1.126 -1.131  1.229 -1.068  1.332 -1.005
