3#apa#apa00#app0038/!  -0.193 1.075  -0.193 1.156  -0.193 1.237  -0.193 1.318  -0.187 1.393  -0.106 1.393  -0.025 1.393  0.019 1.356  0.019 1.275  0.019 1.195  0.019 1.114  -0.011 1.045  -0.068 0.988  -0.087 0.915  -0.087 0.834  -0.087 0.753  -0.087 0.672  -0.114 0.597  -0.150 0.525  -0.186 0.453  -0.193 0.373  -0.193 0.292  -0.193 0.211  -0.193 0.130  -0.193 0.049  -0.193 -0.031  -0.193 -0.112  -0.193 -0.193  -0.193 -0.274  -0.155 -0.340  -0.098 -0.397  -0.087 -0.473  -0.058 -0.542  -0.001 -0.600  0.043 -0.667  0.079 -0.739  0.115 -0.811  0.151 -0.884  0.187 -0.956  0.223 -1.029  0.260 -1.101  0.296 -1.173  0.332 -1.246  0.368 -1.318  0.404 -1.390  0.441 -1.463  0.368 -1.468  0.287 -1.468  0.231 -1.493  0.231 -1.574
3#apa#apa00#app0038/@  0.253 0.145  0.253 0.129  0.342 -0.038  0.347 0.153  0.253 0.263  0.119 0.333  -0.085 0.333  -0.217 0.205  -0.311 0.095  -0.311 -0.108  -0.311 -0.312  -0.242 -0.487  -0.049 -0.513  0.155 -0.513  0.265 -0.419  0.469 -0.419  0.633 -0.325  0.743 -0.231  0.842 -0.111  0.917 0.063  1.005 0.246  1.005 0.450  1.005 0.653  1.005 0.857  0.911 1.022  0.808 1.178  0.604 1.178  0.400 1.178  0.197 1.178  -0.007 1.178  -0.172 1.084  -0.337 0.990  -0.501 0.894  -0.645 0.750  -0.780 0.602  -0.867 0.434  -0.944 0.263  -0.968 0.069  -0.968 -0.135  -0.968 -0.339  -0.955 -0.539  -0.864 -0.722  -0.768 -0.901  -0.624 -1.045  -0.521 -1.219  -0.387 -1.367  -0.203 -1.452  -0.036 -1.540  0.165 -1.549  0.347 -1.640
3#apa#apa00#app0038/#  0.028 1.974  0.028 1.555  -0.097 1.157  -0.208 0.763  -0.268 0.358  -0.348 -0.027  -0.416 -0.417  -0.563 -0.775  -0.563 -1.193  -0.668 -1.305  -0.525 -0.912  -0.382 -0.519  -0.239 -0.125  -0.096 0.268  0.047 0.661  0.190 1.054  0.333 1.448  0.471 1.810  0.471 1.391  0.419 0.985  0.323 0.589  0.323 0.170  0.323 -0.248  0.364 -0.660  0.471 -1.061  0.432 -1.385  0.136 -1.089  -0.160 -0.793  -0.456 -0.497  -0.752 -0.201  -1.048 0.095  -0.886 0.201  -0.467 0.201  -0.070 0.251  0.308 0.349  0.706 0.476  1.060 0.644  1.254 0.580  0.899 0.358  0.544 0.136  0.189 -0.086  -0.166 -0.308  -0.521 -0.530  -0.875 -0.751  -0.890 -0.981  -0.499 -0.916  -0.116 -0.829  0.243 -0.686  0.656 -0.639  1.062 -0.538
3#apa#apa00#app0038/$  0.620 0.892  0.368 0.892  0.117 0.884  -0.109 0.771  -0.324 0.679  -0.514 0.526  -0.645 0.404  -0.684 0.244  -0.466 0.160  -0.255 0.059  -0.040 -0.034  0.191 -0.084  0.424 -0.132  0.603 -0.311  0.743 -0.435  0.743 -0.687  0.619 -0.818  0.440 -0.997  0.214 -1.061  0.011 -1.182  -0.241 -1.183  -0.475 -1.167  -0.425 -0.919  -0.375 -0.671  -0.326 -0.423  -0.276 -0.175  -0.227 0.073  -0.177 0.321  -0.127 0.569  -0.078 0.817  -0.028 1.064  0.021 1.312  0.071 1.560  0.120 1.808  0.132 1.676  0.077 1.446  0.010 1.221  0.010 0.968  0.010 0.716  0.010 0.463  0.010 0.210  0.010 -0.043  0.010 -0.296  0.010 -0.549  0.010 -0.801  0.010 -1.054  0.010 -1.307  0.010 -1.560  0.019 -1.811  0.132 -2.037
3#apa#apa00#app0038/%  -0.309 1.171  -0.541 1.167  -0.707 1.001  -0.872 0.836  -0.880 0.605  -0.880 0.371  -0.880 0.137  -0.754 0.029  -0.520 0.029  -0.326 0.126  -0.195 0.239  -0.081 0.359  -0.081 0.593  -0.081 0.827  0.055 1.017  0.191 1.208  0.327 1.398  0.463 1.589  0.490 1.441  0.376 1.254  0.309 1.036  0.255 0.815  0.151 0.606  0.046 0.396  -0.016 0.171  -0.073 -0.056  -0.172 -0.267  -0.276 -0.477  -0.423 -0.656  -0.426 -0.889  -0.530 -1.099  -0.652 -1.284  -0.608 -1.412  -0.442 -1.246  -0.277 -1.081  -0.111 -0.915  0.054 -0.750  0.220 -0.584  0.385 -0.419  0.490 -0.399  0.399 -0.542  0.376 -0.753  0.376 -0.987  0.598 -0.999  0.832 -0.999  1.032 -0.915  1.061 -0.693  1.002 -0.483  0.906 -0.314  0.719 -0.200
3#apa#apa00#app0038/^  -1.004 -0.830  -1.004 -0.698  -0.994 -0.576  -0.862 -0.576  -0.750 -0.556  -0.750 -0.424  -0.729 -0.301  -0.635 -0.208  -0.542 -0.114  -0.496 -0.001  -0.496 0.131  -0.441 0.240  -0.348 0.333  -0.255 0.427  -0.191 0.541  -0.132 0.659  -0.073 0.778  -0.014 0.896  0.011 1.022  0.011 1.154  0.096 1.201  0.228 1.201  0.265 1.296  0.265 1.428  0.265 1.349  0.265 1.217  0.265 1.085  0.265 0.953  0.265 0.821  0.265 0.689  0.265 0.557  0.265 0.425  0.265 0.293  0.265 0.161  0.265 0.029  0.265 -0.103  0.265 -0.235  0.265 -0.367  0.265 -0.499  0.265 -0.631  0.265 -0.763  0.311 -0.876  0.404 -0.969  0.498 -1.063  0.519 -1.186  0.519 -1.318  0.519 -1.450  0.519 -1.582  0.519 -1.714  0.519 -1.846
3#apa#apa00#app0038/&  0.940 -0.881  0.726 -0.881  0.512 -0.881  0.344 -0.772  0.175 -0.663  0.071 -0.553  -0.043 -0.390  -0.079 -0.191  -0.230 -0.040  -0.371 0.116  -0.375 0.328  -0.471 0.519  -0.480 0.731  -0.480 0.945  -0.480 1.158  -0.322 1.243  -0.139 1.317  0.012 1.468  0.203 1.522  0.378 1.615  0.585 1.631  0.557 1.467  0.503 1.275  0.409 1.100  0.308 0.913  0.170 0.753  0.066 0.582  -0.055 0.418  -0.186 0.253  -0.293 0.070  -0.371 -0.111  -0.518 -0.264  -0.591 -0.448  -0.687 -0.639  -0.777 -0.772  -0.808 -0.954  -0.699 -1.059  -0.589 -1.163  -0.421 -1.209  -0.208 -1.209  -0.011 -1.138  0.189 -1.086  0.363 -0.990  0.503 -0.853  0.612 -0.748  0.612 -0.534  0.612 -0.321  0.493 -0.226  0.279 -0.226  0.066 -0.226
3#apa#apa00#app0038/*  -0.814 1.426  -0.814 1.148  -0.698 0.918  -0.618 0.673  -0.421 0.591  -0.421 0.313  -0.271 0.098  -0.074 -0.099  0.123 -0.296  0.319 -0.492  0.377 -0.746  0.579 -0.930  0.757 -1.030  0.939 -1.126  0.933 -0.863  0.911 -0.586  0.890 -0.308  0.869 -0.031  0.847 0.246  0.826 0.523  0.805 0.801  0.783 1.078  0.762 1.355  0.746 1.230  0.560 1.137  0.437 0.910  0.241 0.714  0.044 0.517  -0.029 0.269  -0.072 0.009  -0.225 -0.206  -0.225 -0.484  -0.384 -0.696  -0.421 -0.959  -0.506 -1.055  -0.720 -0.877  -0.933 -0.699  -1.147 -0.521  -1.361 -0.343  -1.574 -0.165  -1.353 -0.144  -1.075 -0.144  -0.797 -0.144  -0.519 -0.144  -0.241 -0.144  0.037 -0.144  0.315 -0.144  0.593 -0.144  0.871 -0.144  1.149 -0.144
3#apa#apa00#app0038/(  0.063 1.685  0.063 1.612  0.063 1.539  0.063 1.466  0.019 1.412  -0.033 1.360  -0.052 1.295  -0.052 1.222  -0.052 1.149  -0.052 1.076  -0.052 1.004  -0.052 0.931  -0.052 0.858  -0.052 0.785  -0.077 0.718  -0.110 0.653  -0.142 0.588  -0.166 0.521  -0.166 0.448  -0.166 0.375  -0.166 0.302  -0.166 0.229  -0.166 0.156  -0.166 0.083  -0.166 0.011  -0.166 -0.062  -0.166 -0.135  -0.166 -0.208  -0.152 -0.275  -0.101 -0.327  -0.052 -0.379  -0.052 -0.452  -0.052 -0.525  -0.052 -0.598  -0.022 -0.664  0.010 -0.729  0.043 -0.794  0.063 -0.862  0.063 -0.935  0.090 -1.002  0.122 -1.067  0.155 -1.132  0.177 -1.199  0.177 -1.272  0.215 -1.329  0.267 -1.381  0.309 -1.439  0.341 -1.505  0.374 -1.570  0.406 -1.635
3#apa#apa00#app0038/)  -0.448 1.525  -0.396 1.473  -0.338 1.436  -0.270 1.431  -0.270 1.357  -0.207 1.347  -0.181 1.299  -0.181 1.226  -0.181 1.152  -0.180 1.079  -0.128 1.027  -0.085 0.970  -0.062 0.901  -0.039 0.831  -0.015 0.761  -0.003 0.690  -0.003 0.617  -0.002 0.543  0.031 0.478  0.064 0.412  0.086 0.344  0.086 0.271  0.086 0.197  0.086 0.124  0.086 0.050  0.102 -0.019  0.135 -0.085  0.167 -0.151  0.175 -0.222  0.175 -0.296  0.175 -0.369  0.175 -0.442  0.175 -0.516  0.175 -0.589  0.175 -0.663  0.175 -0.736  0.175 -0.809  0.175 -0.883  0.175 -0.956  0.131 -1.011  0.084 -1.066  0.066 -1.137  0.048 -1.208  0.030 -1.280  0.012 -1.351  -0.003 -1.422  -0.003 -1.496  -0.051 -1.549  -0.092 -1.606  -0.092 -1.679
3#apa#apa00#app0038/`  -1.571 0.624  -1.518 0.571  -1.465 0.518  -1.413 0.465  -1.360 0.412  -1.307 0.360  -1.254 0.307  -1.191 0.280  -1.116 0.280  -1.041 0.280  -0.967 0.280  -0.892 0.280  -0.817 0.280  -0.743 0.280  -0.668 0.280  -0.593 0.280  -0.519 0.280  -0.444 0.280  -0.369 0.280  -0.295 0.280  -0.220 0.280  -0.161 0.243  -0.108 0.190  -0.055 0.138  -0.002 0.085  0.051 0.032  0.103 -0.021  0.161 -0.063  0.235 -0.063  0.310 -0.063  0.385 -0.063  0.459 -0.063  0.521 -0.095  0.574 -0.148  0.626 -0.200  0.679 -0.253  0.732 -0.306  0.785 -0.359  0.840 -0.406  0.914 -0.406  0.989 -0.406  1.064 -0.406  1.138 -0.406  1.202 -0.433  1.255 -0.486  1.308 -0.539  1.360 -0.591  1.413 -0.644  1.466 -0.697  1.519 -0.750
