2#app#app19#app1920/A  -0.670 -1.927  -0.670 -1.743  -0.568 -1.602  -0.558 -1.422  -0.558 -1.238  -0.558 -1.054  -0.558 -0.870  -0.445 -0.799  -0.445 -0.615  -0.339 -0.475  -0.333 -0.293  -0.333 -0.110  -0.266 0.046  -0.221 0.212  -0.196 0.391  -0.138 0.566  -0.109 0.745  -0.109 0.929  -0.109 1.113  -0.109 1.297  -0.109 1.481  -0.109 1.665  -0.109 1.697  -0.005 1.556  0.115 1.422  0.176 1.263  0.227 1.101  0.339 0.963  0.339 0.779  0.452 0.642  0.488 0.467  0.564 0.301  0.602 0.126  0.676 -0.041  0.676 -0.225  0.788 -0.362  0.788 -0.546  0.640 -0.582  0.456 -0.582  0.272 -0.582  0.088 -0.582  -0.096 -0.582  -0.280 -0.582  -0.333 -0.452  -0.333 -0.268  -0.172 -0.246  0.012 -0.246  0.196 -0.246  0.380 -0.246  0.564 -0.246
2#app#app19#app1920/Q  0.041 0.634  0.041 0.862  0.041 1.091  -0.032 1.247  -0.260 1.247  -0.441 1.133  -0.546 0.931  -0.693 0.758  -0.854 0.597  -0.988 0.415  -1.063 0.205  -1.181 0.025  -1.185 -0.201  -1.185 -0.430  -1.156 -0.651  -1.048 -0.852  -0.865 -0.960  -0.636 -0.960  -0.408 -0.960  -0.179 -0.960  0.048 -0.956  0.252 -0.854  0.424 -0.707  0.628 -0.605  0.833 -0.503  1.008 -0.360  1.170 -0.199  1.267 -0.011  1.267 0.218  1.267 0.446  1.107 0.529  0.903 0.632  0.675 0.634  0.447 0.634  0.219 0.634  -0.010 0.634  -0.238 0.634  -0.426 0.535  -0.530 0.453  -0.398 0.267  -0.265 0.081  -0.132 -0.105  0.001 -0.291  0.041 -0.433  0.142 -0.448  0.286 -0.545  0.434 -0.644  0.544 -0.837  0.737 -0.921  0.899 -1.082
2#app#app19#app1920/u  -1.398 0.680  -1.328 0.610  -1.257 0.539  -1.222 0.454  -1.222 0.354  -1.171 0.276  -1.100 0.206  -1.046 0.128  -1.046 0.029  -1.013 -0.058  -0.943 -0.128  -0.872 -0.199  -0.870 -0.297  -0.850 -0.377  -0.750 -0.377  -0.694 -0.420  -0.694 -0.520  -0.627 -0.553  -0.528 -0.553  -0.428 -0.553  -0.328 -0.553  -0.229 -0.553  -0.129 -0.553  -0.029 -0.553  0.070 -0.553  0.170 -0.553  0.270 -0.553  0.370 -0.553  0.469 -0.553  0.561 -0.533  0.631 -0.462  0.702 -0.392  0.772 -0.321  0.843 -0.251  0.893 -0.172  0.893 -0.072  0.929 0.012  1.000 0.083  1.069 0.154  1.069 0.254  1.057 0.351  1.013 0.440  0.968 0.529  0.924 0.618  0.893 0.710  0.893 0.810  0.893 0.910  0.893 1.010  0.816 1.033  0.716 1.033
2#app#app19#app1920/i  -0.201 0.676  -0.201 0.769  -0.201 0.861  -0.201 0.954  -0.201 1.046  -0.201 1.139  -0.201 1.231  -0.291 1.235  -0.383 1.235  -0.476 1.235  -0.480 1.147  -0.480 1.054  -0.480 0.962  -0.394 0.955  -0.301 0.955  -0.209 0.955  -0.201 0.871  -0.201 0.778  -0.201 0.686  -0.201 0.593  -0.201 0.501  -0.201 0.408  -0.201 0.316  -0.201 0.223  -0.201 0.131  -0.201 0.038  -0.201 -0.055  -0.201 -0.147  -0.146 -0.217  -0.080 -0.282  -0.015 -0.347  0.051 -0.413  0.078 -0.494  0.078 -0.587  0.078 -0.679  0.115 -0.756  0.180 -0.822  0.246 -0.887  0.311 -0.952  0.357 -1.026  0.357 -1.119  0.357 -1.211  0.383 -1.277  0.476 -1.277  0.568 -1.277  0.654 -1.295  0.719 -1.360  0.784 -1.426  0.850 -1.491  0.915 -1.556
2#app#app19#app1920/c  0.696 -0.110  0.696 0.023  0.696 0.156  0.696 0.234  0.696 0.100  0.696 -0.033  0.696 -0.054  0.699 0.078  0.793 0.173  0.882 0.269  0.882 0.402  0.882 0.536  0.882 0.669  0.882 0.802  0.766 0.819  0.696 0.883  0.685 1.005  0.552 1.005  0.419 1.005  0.285 1.005  0.152 1.005  0.054 0.921  -0.040 0.826  -0.135 0.732  -0.229 0.638  -0.361 0.633  -0.472 0.581  -0.566 0.487  -0.605 0.369  -0.623 0.244  -0.718 0.149  -0.791 0.046  -0.791 -0.087  -0.869 -0.188  -0.963 -0.282  -0.977 -0.410  -0.977 -0.543  -0.973 -0.676  -0.914 -0.795  -0.854 -0.914  -0.794 -1.033  -0.665 -1.040  -0.553 -1.092  -0.459 -1.186  -0.342 -1.226  -0.209 -1.226  -0.076 -1.226  0.058 -1.226  0.191 -1.226  0.324 -1.226
2#app#app19#app1920/k  -0.614 2.202  -0.597 2.043  -0.479 1.925  -0.473 1.761  -0.473 1.595  -0.425 1.448  -0.332 1.320  -0.332 1.154  -0.332 0.987  -0.332 0.821  -0.332 0.654  -0.332 0.487  -0.332 0.321  -0.300 0.162  -0.226 0.013  -0.191 -0.145  -0.191 -0.312  -0.191 -0.478  -0.191 -0.645  -0.191 -0.811  -0.191 -0.978  -0.150 -0.954  -0.081 -0.802  -0.012 -0.651  0.057 -0.499  0.126 -0.348  0.195 -0.196  0.264 -0.044  0.333 0.107  0.402 0.259  0.470 0.410  0.515 0.449  0.515 0.283  0.405 0.226  0.374 0.091  0.233 0.065  0.213 -0.096  0.138 -0.245  0.048 -0.383  -0.050 -0.509  -0.050 -0.675  -0.050 -0.842  -0.050 -1.008  0.080 -1.045  0.106 -1.186  0.272 -1.186  0.439 -1.186  0.605 -1.186  0.772 -1.186  0.938 -1.186
2#app#app19#app1920/B  -0.059 -0.135  -0.059 0.105  -0.059 0.104  -0.058 -0.136  0.048 -0.332  0.142 -0.537  0.210 -0.761  0.209 -0.791  0.011 -0.656  -0.187 -0.521  -0.386 -0.386  -0.584 -0.251  -0.782 -0.115  -0.980 0.020  -1.179 0.155  -1.377 0.290  -1.575 0.425  -1.592 0.578  -1.423 0.747  -1.226 0.884  -1.018 1.003  -0.785 1.033  -0.545 1.033  -0.305 1.033  -0.065 1.033  0.175 1.033  0.403 0.982  0.615 0.898  0.749 0.713  0.735 0.479  0.540 0.344  0.358 0.192  0.158 0.064  -0.067 -0.018  -0.266 -0.135  -0.151 -0.135  0.082 -0.109  0.307 -0.045  0.547 -0.045  0.787 -0.045  0.990 -0.135  1.195 -0.221  1.288 -0.369  1.270 -0.602  1.101 -0.772  0.931 -0.941  0.761 -1.111  0.539 -1.154  0.361 -1.303  0.210 -1.392
2#app#app19#app1920/r  -0.256 0.323  -0.256 0.204  -0.256 0.085  -0.256 -0.033  -0.256 -0.152  -0.256 -0.270  -0.256 -0.389  -0.256 -0.507  -0.256 -0.626  -0.256 -0.744  -0.256 -0.863  -0.247 -0.973  -0.129 -0.973  -0.010 -0.973  0.004 -1.078  0.004 -1.196  0.004 -1.315  0.004 -1.433  0.004 -1.431  0.004 -1.312  0.004 -1.194  0.004 -1.075  0.004 -0.957  0.004 -0.838  0.004 -0.720  0.004 -0.601  0.004 -0.482  0.004 -0.364  0.004 -0.245  0.004 -0.127  0.004 -0.008  0.004 0.110  0.004 0.229  0.004 0.347  0.004 0.466  0.004 0.584  0.004 0.703  0.004 0.821  0.004 0.940  0.004 1.058  0.004 1.177  0.004 1.295  0.042 1.398  0.126 1.482  0.210 1.565  0.307 1.618  0.425 1.618  0.544 1.618  0.662 1.618  0.781 1.618
2#app#app19#app1920/o  0.161 0.990  0.008 0.990  -0.036 0.881  -0.100 0.792  -0.234 0.773  -0.234 0.620  -0.362 0.595  -0.514 0.595  -0.628 0.556  -0.628 0.403  -0.776 0.398  -0.826 0.295  -0.884 0.200  -1.023 0.186  -1.023 0.034  -1.023 -0.119  -1.023 -0.272  -1.023 -0.425  -1.023 -0.578  -0.881 -0.589  -0.826 -0.687  -0.773 -0.787  -0.623 -0.793  -0.514 -0.901  -0.396 -0.984  -0.243 -0.984  -0.090 -0.984  0.063 -0.984  0.215 -0.984  0.365 -0.977  0.474 -0.869  0.589 -0.770  0.725 -0.702  0.862 -0.633  0.989 -0.551  1.097 -0.443  1.148 -0.311  1.148 -0.158  1.148 -0.005  1.148 0.147  1.077 0.271  0.969 0.379  0.861 0.487  0.753 0.595  0.645 0.704  0.532 0.805  0.395 0.873  0.258 0.941  0.117 0.990  -0.036 0.990
2#app#app19#app1920/w  -1.450 0.548  -1.450 0.405  -1.450 0.262  -1.357 0.158  -1.302 0.038  -1.302 -0.105  -1.263 -0.232  -1.162 -0.333  -1.062 -0.434  -1.005 -0.553  -0.947 -0.638  -0.805 -0.638  -0.662 -0.638  -0.519 -0.638  -0.412 -0.602  -0.391 -0.468  -0.290 -0.367  -0.264 -0.235  -0.264 -0.092  -0.264 0.050  -0.264 0.193  -0.264 0.336  -0.264 0.479  -0.264 0.474  -0.264 0.331  -0.201 0.251  -0.116 0.194  -0.064 0.103  0.033 0.056  0.062 -0.074  0.163 -0.175  0.298 -0.193  0.429 -0.243  0.557 -0.307  0.691 -0.342  0.834 -0.342  0.977 -0.342  1.120 -0.342  1.250 -0.311  1.351 -0.210  1.367 -0.073  1.367 0.069  1.367 0.212  1.321 0.344  1.257 0.472  1.178 0.589  1.077 0.690  0.976 0.791  0.875 0.892  0.774 0.993
2#app#app19#app1920/n  -1.414 0.569  -1.414 0.711  -1.356 0.796  -1.213 0.796  -1.071 0.796  -0.959 0.766  -0.959 0.623  -0.919 0.490  -0.856 0.362  -0.792 0.235  -0.732 0.107  -0.732 -0.036  -0.732 -0.179  -0.732 -0.321  -0.732 -0.464  -0.732 -0.606  -0.732 -0.749  -0.636 -0.795  -0.496 -0.787  -0.396 -0.686  -0.295 -0.586  -0.277 -0.451  -0.254 -0.317  -0.153 -0.217  -0.052 -0.116  -0.050 0.025  0.004 0.114  0.147 0.114  0.257 0.193  0.357 0.294  0.405 0.417  0.405 0.559  0.499 0.663  0.600 0.764  0.701 0.728  0.801 0.627  0.860 0.509  0.860 0.366  0.860 0.224  0.860 0.081  0.860 -0.061  0.924 -0.177  1.025 -0.278  1.087 -0.395  1.087 -0.537  1.087 -0.680  1.114 -0.795  1.257 -0.795  1.314 -0.880  1.314 -1.022
