3#apb#apb05#app0504/V  -0.306 1.204  -0.311 1.187  -0.344 1.068  -0.371 0.947  -0.394 0.826  -0.415 0.705  -0.431 0.583  -0.447 0.460  -0.463 0.338  -0.481 0.216  -0.500 0.094  -0.519 -0.028  -0.535 -0.150  -0.545 -0.273  -0.554 -0.396  -0.563 -0.519  -0.570 -0.642  -0.576 -0.765  -0.582 -0.888  -0.586 -1.011  -0.586 -1.134  -0.586 -1.258  -0.553 -1.376  -0.478 -1.297  -0.415 -1.191  -0.354 -1.084  -0.284 -0.982  -0.207 -0.886  -0.130 -0.789  -0.062 -0.687  0.003 -0.582  0.069 -0.478  0.135 -0.374  0.202 -0.270  0.272 -0.169  0.343 -0.068  0.414 0.033  0.485 0.134  0.556 0.234  0.634 0.330  0.712 0.425  0.790 0.521  0.867 0.617  0.922 0.727  0.977 0.837  1.033 0.947  1.091 1.056  1.151 1.163  1.223 1.264  1.266 1.379
3#apb#apb05#app0504/i  -0.365 0.280  -0.320 0.279  -0.355 0.173  -0.415 0.079  -0.475 -0.016  -0.505 -0.124  -0.534 -0.232  -0.566 -0.339  -0.604 -0.444  -0.641 -0.549  -0.690 -0.650  -0.740 -0.750  -0.756 -0.858  -0.763 -0.969  -0.743 -1.061  -0.645 -1.117  -0.534 -1.109  -0.423 -1.100  -0.317 -1.066  -0.212 -1.027  -0.107 -0.988  -0.007 -0.938  0.093 -0.888  0.193 -0.838  0.278 -0.765  0.362 -0.692  0.447 -0.619  0.470 -0.519  0.464 -0.407  0.458 -0.295  0.452 -0.184  0.447 -0.072  0.441 0.040  0.435 0.151  0.429 0.263  0.424 0.375  0.418 0.486  0.412 0.598  0.406 0.710  0.401 0.822  0.395 0.933  0.389 1.045  0.383 1.157  0.378 1.268  0.372 1.380  0.366 1.492  0.360 1.604  0.355 1.715  0.349 1.827  0.343 1.939
3#apb#apb05#app0504/c  -0.037 0.867  0.098 0.786  0.176 0.651  0.245 0.510  0.275 0.356  0.295 0.201  0.295 0.044  0.304 -0.112  0.338 -0.266  0.350 -0.335  0.393 -0.188  0.469 -0.050  0.520 0.095  0.532 0.251  0.543 0.408  0.565 0.564  0.589 0.719  0.585 0.874  0.562 1.030  0.528 1.182  0.466 1.326  0.354 1.350  0.234 1.250  0.118 1.143  0.002 1.037  -0.111 0.928  -0.213 0.808  -0.314 0.688  -0.411 0.565  -0.488 0.428  -0.565 0.291  -0.642 0.154  -0.696 0.007  -0.748 -0.142  -0.800 -0.290  -0.822 -0.444  -0.835 -0.601  -0.824 -0.757  -0.800 -0.912  -0.744 -1.050  -0.627 -1.155  -0.504 -1.251  -0.364 -1.322  -0.223 -1.392  -0.068 -1.402  0.089 -1.402  0.246 -1.402  0.401 -1.377  0.556 -1.348  0.710 -1.319
3#apb#apb05#app0504/k  0.274 2.174  0.240 1.986  0.196 1.799  0.122 1.623  0.043 1.448  -0.032 1.272  -0.105 1.094  -0.177 0.916  -0.249 0.738  -0.319 0.560  -0.389 0.381  -0.450 0.200  -0.506 0.016  -0.562 -0.167  -0.609 -0.353  -0.656 -0.539  -0.679 -0.729  -0.694 -0.920  -0.712 -1.111  -0.664 -0.994  -0.576 -0.824  -0.495 -0.650  -0.411 -0.478  -0.325 -0.306  -0.230 -0.140  -0.128 0.023  -0.023 0.183  0.086 0.341  0.206 0.489  0.345 0.621  0.501 0.720  0.679 0.649  0.732 0.471  0.736 0.280  0.662 0.110  0.554 -0.048  0.434 -0.195  0.269 -0.293  0.092 -0.367  -0.096 -0.387  -0.271 -0.370  -0.209 -0.540  -0.096 -0.695  0.043 -0.825  0.188 -0.950  0.324 -1.085  0.475 -1.203  0.651 -1.275  0.821 -1.362  0.988 -1.289
3#apb#apb05#app0504/i  -0.491 0.365  -0.431 0.469  -0.379 0.501  -0.400 0.382  -0.428 0.265  -0.479 0.155  -0.529 0.046  -0.572 -0.067  -0.616 -0.180  -0.666 -0.290  -0.716 -0.400  -0.754 -0.514  -0.786 -0.631  -0.813 -0.749  -0.817 -0.867  -0.772 -0.977  -0.703 -1.072  -0.584 -1.096  -0.465 -1.107  -0.344 -1.107  -0.228 -1.082  -0.117 -1.035  -0.006 -0.987  0.105 -0.940  0.216 -0.892  0.320 -0.830  0.422 -0.765  0.510 -0.684  0.596 -0.598  0.618 -0.491  0.604 -0.371  0.589 -0.251  0.575 -0.131  0.561 -0.010  0.546 0.110  0.532 0.230  0.518 0.350  0.504 0.470  0.489 0.590  0.475 0.710  0.461 0.830  0.446 0.950  0.432 1.070  0.418 1.190  0.403 1.310  0.389 1.430  0.375 1.550  0.361 1.670  0.338 1.780  0.292 1.706
3#apb#apb05#app0504/W  -0.470 0.968  -0.535 0.969  -0.609 0.808  -0.676 0.645  -0.729 0.477  -0.768 0.305  -0.801 0.132  -0.830 -0.042  -0.875 -0.212  -0.934 -0.379  -0.953 -0.553  -0.964 -0.729  -0.997 -0.903  -0.993 -1.075  -0.873 -0.996  -0.768 -0.854  -0.671 -0.707  -0.584 -0.553  -0.500 -0.398  -0.427 -0.237  -0.353 -0.077  -0.295 0.090  -0.237 0.257  -0.154 0.411  -0.058 0.559  0.021 0.553  0.021 0.377  0.016 0.201  -0.019 0.028  -0.047 -0.146  -0.068 -0.322  -0.047 -0.497  -0.009 -0.669  0.134 -0.768  0.303 -0.787  0.471 -0.731  0.619 -0.640  0.750 -0.524  0.845 -0.375  0.939 -0.226  1.036 -0.078  1.126 0.073  1.199 0.234  1.263 0.397  1.294 0.571  1.312 0.746  1.303 0.922  1.269 1.094  1.217 1.262  1.107 1.400
3#apb#apb05#app0504/a  0.556 -0.044  0.633 0.129  0.700 0.306  0.749 0.489  0.787 0.675  0.791 0.861  0.752 1.046  0.676 1.218  0.566 1.372  0.385 1.405  0.203 1.384  0.030 1.306  -0.125 1.203  -0.259 1.069  -0.393 0.935  -0.513 0.789  -0.613 0.629  -0.714 0.468  -0.806 0.303  -0.880 0.128  -0.955 -0.046  -0.997 -0.230  -1.032 -0.416  -1.059 -0.603  -1.044 -0.792  -1.027 -0.979  -0.881 -1.101  -0.708 -1.171  -0.524 -1.173  -0.339 -1.133  -0.167 -1.072  -0.049 -0.924  0.069 -0.775  0.177 -0.620  0.281 -0.462  0.333 -0.280  0.385 -0.098  0.429 0.086  0.467 0.272  0.491 0.460  0.465 0.365  0.404 0.185  0.353 0.003  0.313 -0.182  0.276 -0.368  0.276 -0.557  0.302 -0.743  0.361 -0.923  0.416 -1.104  0.462 -1.288
3#apb#apb05#app0504/l  0.344 1.530  0.363 1.603  0.364 1.577  0.364 1.501  0.347 1.427  0.320 1.356  0.293 1.285  0.265 1.214  0.236 1.144  0.207 1.074  0.178 1.003  0.149 0.933  0.120 0.863  0.089 0.793  0.058 0.724  0.026 0.655  -0.005 0.585  -0.036 0.516  -0.063 0.445  -0.086 0.372  -0.109 0.300  -0.132 0.227  -0.156 0.155  -0.179 0.082  -0.202 0.010  -0.221 -0.064  -0.240 -0.138  -0.258 -0.211  -0.277 -0.285  -0.295 -0.359  -0.306 -0.434  -0.306 -0.510  -0.306 -0.586  -0.306 -0.662  -0.306 -0.738  -0.297 -0.814  -0.286 -0.889  -0.275 -0.964  -0.260 -1.038  -0.213 -1.098  -0.167 -1.158  -0.115 -1.211  -0.043 -1.235  0.029 -1.260  0.101 -1.284  0.174 -1.308  0.246 -1.319  0.318 -1.295  0.390 -1.270  0.462 -1.246
3#apb#apb05#app0504/t  -0.961 0.164  -0.976 0.194  -0.850 0.153  -0.708 0.161  -0.569 0.202  -0.430 0.243  -0.288 0.271  -0.146 0.299  -0.004 0.330  0.135 0.369  0.275 0.408  0.409 0.462  0.540 0.524  0.673 0.581  0.816 0.605  0.950 0.652  0.906 0.729  0.783 0.805  0.660 0.882  0.537 0.959  0.414 1.036  0.389 1.144  0.429 1.258  0.342 1.142  0.256 1.025  0.171 0.908  0.085 0.791  0.008 0.669  -0.062 0.542  -0.132 0.415  -0.193 0.284  -0.240 0.147  -0.288 0.011  -0.335 -0.126  -0.379 -0.265  -0.423 -0.403  -0.467 -0.541  -0.476 -0.685  -0.484 -0.830  -0.471 -0.973  -0.438 -1.114  -0.386 -1.248  -0.325 -1.380  -0.223 -1.478  -0.098 -1.548  0.039 -1.594  0.182 -1.609  0.324 -1.588  0.458 -1.535  0.576 -1.451
3#apb#apb05#app0504/e  -0.752 0.103  -0.712 -0.035  -0.613 -0.149  -0.491 -0.242  -0.370 -0.325  -0.233 -0.257  -0.099 -0.184  0.029 -0.099  0.155 -0.012  0.270 0.090  0.385 0.192  0.508 0.283  0.635 0.368  0.726 0.481  0.774 0.626  0.817 0.774  0.854 0.922  0.858 1.075  0.851 1.225  0.733 1.316  0.582 1.342  0.442 1.281  0.302 1.219  0.184 1.121  0.066 1.023  -0.052 0.924  -0.152 0.809  -0.249 0.690  -0.345 0.571  -0.442 0.452  -0.527 0.324  -0.606 0.193  -0.670 0.056  -0.702 -0.094  -0.734 -0.244  -0.752 -0.396  -0.752 -0.549  -0.722 -0.694  -0.648 -0.828  -0.556 -0.946  -0.429 -1.032  -0.300 -1.114  -0.162 -1.183  -0.025 -1.251  0.112 -1.320  0.264 -1.335  0.417 -1.349  0.565 -1.319  0.711 -1.274  0.858 -1.229
3#apb#apb05#app0504/r  -0.247 0.880  -0.327 0.816  -0.377 0.702  -0.433 0.591  -0.488 0.480  -0.506 0.357  -0.520 0.234  -0.535 0.111  -0.550 -0.013  -0.573 -0.135  -0.595 -0.257  -0.608 -0.380  -0.618 -0.504  -0.627 -0.628  -0.639 -0.752  -0.651 -0.875  -0.656 -0.999  -0.656 -1.123  -0.630 -1.241  -0.625 -1.343  -0.590 -1.224  -0.554 -1.105  -0.511 -0.989  -0.466 -0.873  -0.422 -0.757  -0.376 -0.642  -0.330 -0.526  -0.284 -0.411  -0.238 -0.296  -0.191 -0.181  -0.121 -0.078  -0.051 0.024  0.020 0.126  0.090 0.229  0.174 0.320  0.262 0.408  0.349 0.496  0.437 0.583  0.530 0.665  0.631 0.738  0.731 0.811  0.841 0.859  0.965 0.873  1.086 0.863  1.204 0.824  1.316 0.774  1.419 0.705  1.523 0.636  1.646 0.622  1.769 0.608
3#apb#apb05#app0504/Y  -0.590 1.037  -0.631 1.086  -0.550 0.952  -0.500 0.802  -0.422 0.667  -0.327 0.541  -0.260 0.398  -0.197 0.253  -0.096 0.133  -0.010 0.004  0.040 -0.146  0.104 -0.290  0.154 -0.439  0.198 -0.463  0.254 -0.316  0.311 -0.168  0.368 -0.021  0.424 0.126  0.481 0.274  0.537 0.421  0.594 0.569  0.651 0.716  0.707 0.864  0.764 1.011  0.820 1.158  0.846 1.245  0.745 1.124  0.650 0.998  0.563 0.867  0.472 0.737  0.381 0.608  0.297 0.475  0.221 0.337  0.144 0.199  0.067 0.061  -0.015 -0.074  -0.098 -0.209  -0.181 -0.343  -0.259 -0.480  -0.332 -0.620  -0.404 -0.760  -0.477 -0.901  -0.530 -1.049  -0.582 -1.198  -0.633 -1.348  -0.680 -1.498  -0.725 -1.650  -0.754 -1.803  -0.769 -1.958  -0.772 -1.927
3#apb#apb05#app0504/a  0.367 -0.240  0.541 -0.115  0.618 0.084  0.688 0.287  0.755 0.491  0.787 0.703  0.765 0.907  0.661 1.091  0.484 1.195  0.273 1.226  0.066 1.170  -0.102 1.046  -0.254 0.894  -0.402 0.740  -0.536 0.572  -0.670 0.405  -0.802 0.236  -0.910 0.050  -1.017 -0.135  -1.110 -0.328  -1.184 -0.529  -1.258 -0.731  -1.275 -0.945  -1.237 -1.146  -1.088 -1.285  -0.894 -1.270  -0.702 -1.174  -0.534 -1.044  -0.377 -0.898  -0.221 -0.750  -0.070 -0.599  0.082 -0.447  0.178 -0.255  0.274 -0.063  0.369 0.129  0.461 0.323  0.553 0.517  0.633 0.716  0.702 0.917  0.663 0.891  0.620 0.682  0.562 0.475  0.507 0.268  0.458 0.059  0.418 -0.151  0.418 -0.365  0.418 -0.580  0.418 -0.795  0.437 -1.008  0.470 -1.220
