2#apb#apb38#app3869/O  0.556 0.839  0.590 0.977  0.635 1.111  0.600 1.233  0.466 1.242  0.336 1.183  0.209 1.121  0.090 1.043  -0.021 0.957  -0.108 0.844  -0.195 0.732  -0.275 0.615  -0.348 0.493  -0.421 0.371  -0.494 0.249  -0.562 0.124  -0.620 -0.005  -0.677 -0.135  -0.735 -0.265  -0.793 -0.395  -0.843 -0.528  -0.890 -0.662  -0.937 -0.796  -0.959 -0.931  -0.919 -1.067  -0.851 -1.177  -0.718 -1.227  -0.584 -1.275  -0.453 -1.222  -0.321 -1.169  -0.189 -1.116  -0.069 -1.040  0.051 -0.963  0.171 -0.887  0.276 -0.794  0.374 -0.690  0.471 -0.586  0.565 -0.480  0.634 -0.356  0.704 -0.232  0.764 -0.105  0.785 0.036  0.804 0.176  0.763 0.312  0.723 0.449  0.649 0.568  0.566 0.684  0.483 0.799  0.401 0.915  0.319 1.031
2#apb#apb38#app3869/n  -1.720 -0.739  -1.633 -0.605  -1.492 -0.465  -1.353 -0.322  -1.217 -0.178  -1.081 -0.033  -0.939 0.107  -0.795 0.243  -0.650 0.380  -0.490 0.495  -0.317 0.594  -0.144 0.693  0.027 0.793  0.199 0.894  0.377 0.936  0.542 0.859  0.542 0.660  0.470 0.475  0.395 0.291  0.320 0.107  0.211 -0.054  0.067 -0.191  -0.077 -0.328  -0.222 -0.464  -0.377 -0.589  -0.532 -0.713  -0.688 -0.837  -0.845 -0.959  -0.875 -0.933  -0.728 -0.799  -0.584 -0.662  -0.447 -0.518  -0.310 -0.374  -0.173 -0.230  -0.014 -0.110  0.145 0.008  0.305 0.127  0.467 0.242  0.630 0.357  0.793 0.471  0.970 0.558  1.155 0.632  1.350 0.651  1.363 0.468  1.324 0.273  1.234 0.097  1.148 -0.082  1.107 -0.272  1.194 -0.428  1.366 -0.527
2#apb#apb38#app3869/e  -1.365 -0.835  -1.382 -0.955  -1.219 -0.955  -1.070 -0.904  -0.929 -0.822  -0.789 -0.739  -0.648 -0.656  -0.513 -0.565  -0.379 -0.473  -0.244 -0.382  -0.109 -0.290  0.026 -0.198  0.155 -0.100  0.279 0.006  0.403 0.112  0.527 0.218  0.650 0.324  0.769 0.435  0.880 0.554  0.990 0.674  1.097 0.796  1.178 0.938  1.135 1.063  0.998 1.145  0.847 1.206  0.696 1.266  0.554 1.232  0.419 1.142  0.283 1.051  0.154 0.953  0.039 0.838  -0.076 0.723  -0.192 0.608  -0.307 0.492  -0.395 0.357  -0.468 0.212  -0.540 0.066  -0.613 -0.080  -0.641 -0.235  -0.630 -0.397  -0.620 -0.560  -0.502 -0.650  -0.355 -0.719  -0.208 -0.789  -0.055 -0.837  0.108 -0.843  0.271 -0.848  0.433 -0.854  0.596 -0.860  0.759 -0.865
2#apb#apb38#app3869/D  0.274 0.841  0.221 0.650  0.169 0.458  0.109 0.269  0.042 0.081  -0.028 -0.105  -0.100 -0.290  -0.180 -0.472  -0.260 -0.654  -0.377 -0.812  -0.507 -0.962  -0.653 -1.097  -0.807 -1.222  -0.983 -1.315  -1.160 -1.278  -1.172 -1.086  -1.073 -0.919  -0.943 -0.770  -0.790 -0.648  -0.603 -0.580  -0.406 -0.596  -0.220 -0.665  -0.031 -0.728  0.164 -0.764  0.362 -0.760  0.554 -0.711  0.716 -0.599  0.843 -0.452  0.880 -0.257  0.873 -0.060  0.850 0.137  0.774 0.285  0.769 0.337  0.786 0.535  0.783 0.731  0.729 0.922  0.654 1.106  0.551 1.275  0.400 1.392  0.209 1.412  0.014 1.374  -0.170 1.305  -0.326 1.184  -0.385 0.997  -0.364 0.801  -0.305 0.612  -0.213 0.436  -0.067 0.301  0.104 0.211  0.294 0.152
2#apb#apb38#app3869/u  -0.547 0.623  -0.547 0.786  -0.665 0.700  -0.783 0.588  -0.904 0.480  -0.985 0.342  -1.058 0.197  -1.132 0.052  -1.209 -0.091  -1.283 -0.235  -1.326 -0.391  -1.340 -0.543  -1.250 -0.678  -1.115 -0.768  -0.975 -0.833  -0.816 -0.799  -0.658 -0.765  -0.510 -0.700  -0.365 -0.627  -0.220 -0.555  -0.097 -0.450  0.022 -0.339  0.140 -0.228  0.258 -0.116  0.366 0.005  0.473 0.127  0.579 0.249  0.678 0.378  0.761 0.517  0.845 0.656  0.897 0.806  0.913 0.967  0.935 1.128  0.882 1.131  0.801 0.990  0.721 0.849  0.640 0.708  0.568 0.563  0.509 0.412  0.451 0.261  0.404 0.108  0.414 -0.054  0.424 -0.216  0.456 -0.374  0.511 -0.527  0.566 -0.679  0.688 -0.786  0.816 -0.885  0.961 -0.957  1.107 -1.030
2#apb#apb38#app3869/v  -1.315 -0.085  -1.342 -0.034  -1.239 0.069  -1.118 0.148  -0.991 0.219  -0.864 0.291  -0.738 0.363  -0.612 0.436  -0.494 0.522  -0.376 0.607  -0.245 0.665  -0.105 0.704  -0.117 0.695  -0.213 0.585  -0.305 0.472  -0.387 0.352  -0.470 0.233  -0.552 0.113  -0.643 -0.001  -0.735 -0.114  -0.796 -0.237  -0.796 -0.383  -0.795 -0.528  -0.705 -0.643  -0.616 -0.758  -0.513 -0.861  -0.410 -0.964  -0.268 -0.986  -0.123 -1.007  0.015 -0.991  0.148 -0.931  0.274 -0.860  0.385 -0.766  0.496 -0.672  0.605 -0.576  0.708 -0.473  0.811 -0.370  0.914 -0.267  0.970 -0.133  1.025 0.002  1.080 0.136  1.135 0.271  1.189 0.406  1.177 0.548  1.148 0.690  1.109 0.830  1.052 0.952  1.111 0.870  1.203 0.765  1.329 0.693
2#apb#apb38#app3869/a  0.489 0.960  0.351 1.054  0.183 1.078  0.020 1.043  -0.142 0.993  -0.295 0.926  -0.432 0.826  -0.568 0.726  -0.705 0.626  -0.817 0.500  -0.929 0.372  -1.040 0.245  -1.146 0.114  -1.194 -0.049  -1.242 -0.211  -1.290 -0.374  -1.265 -0.539  -1.229 -0.704  -1.159 -0.837  -0.996 -0.882  -0.831 -0.915  -0.662 -0.904  -0.493 -0.893  -0.337 -0.843  -0.196 -0.749  -0.055 -0.655  0.086 -0.561  0.210 -0.449  0.320 -0.320  0.430 -0.191  0.537 -0.060  0.625 0.084  0.714 0.229  0.798 0.376  0.873 0.527  0.905 0.684  0.830 0.833  0.746 0.693  0.661 0.547  0.576 0.400  0.491 0.254  0.505 0.086  0.520 -0.083  0.560 -0.248  0.602 -0.412  0.705 -0.538  0.832 -0.651  0.982 -0.702  1.151 -0.702  1.320 -0.702
2#apb#apb38#app3869/l  -1.263 -1.402  -1.174 -1.332  -1.061 -1.246  -0.944 -1.164  -0.826 -1.083  -0.716 -0.993  -0.621 -0.886  -0.527 -0.779  -0.426 -0.678  -0.319 -0.583  -0.212 -0.488  -0.110 -0.388  -0.012 -0.284  0.086 -0.180  0.170 -0.065  0.243 0.057  0.317 0.180  0.375 0.310  0.425 0.444  0.475 0.578  0.510 0.715  0.528 0.857  0.547 0.999  0.554 1.141  0.554 1.284  0.554 1.427  0.495 1.537  0.376 1.495  0.289 1.383  0.207 1.266  0.139 1.140  0.073 1.013  0.007 0.887  -0.039 0.752  -0.075 0.614  -0.111 0.476  -0.146 0.337  -0.158 0.196  -0.158 0.053  -0.158 -0.090  -0.141 -0.229  -0.081 -0.359  -0.022 -0.489  0.038 -0.619  0.131 -0.728  0.223 -0.837  0.316 -0.945  0.431 -1.027  0.555 -1.099  0.679 -1.170
2#apb#apb38#app3869/P  -0.069 0.475  0.028 0.572  0.064 0.623  0.049 0.436  0.020 0.251  -0.008 0.066  -0.036 -0.120  -0.064 -0.305  -0.097 -0.490  -0.138 -0.673  -0.179 -0.856  -0.242 -1.032  -0.312 -1.206  -0.413 -1.364  -0.540 -1.500  -0.691 -1.610  -0.825 -1.552  -0.818 -1.365  -0.794 -1.179  -0.766 -0.994  -0.732 -0.809  -0.699 -0.625  -0.646 -0.445  -0.586 -0.268  -0.525 -0.090  -0.447 0.079  -0.350 0.239  -0.252 0.400  -0.154 0.560  -0.036 0.704  0.096 0.836  0.229 0.969  0.363 1.099  0.528 1.190  0.692 1.281  0.862 1.356  1.028 1.366  1.085 1.201  1.060 1.016  0.999 0.841  0.915 0.673  0.822 0.511  0.704 0.365  0.586 0.219  0.450 0.093  0.299 -0.018  0.143 -0.120  -0.028 -0.197  -0.204 -0.263  -0.371 -0.342
2#apb#apb38#app3869/l  -1.294 -1.302  -1.204 -1.260  -1.082 -1.219  -0.960 -1.149  -0.839 -1.078  -0.725 -0.996  -0.615 -0.908  -0.505 -0.820  -0.393 -0.735  -0.280 -0.651  -0.167 -0.567  -0.058 -0.479  0.039 -0.377  0.136 -0.275  0.234 -0.174  0.328 -0.069  0.419 0.038  0.511 0.144  0.596 0.256  0.664 0.379  0.732 0.502  0.776 0.634  0.805 0.772  0.834 0.910  0.832 1.049  0.818 1.189  0.775 1.315  0.668 1.397  0.527 1.397  0.414 1.319  0.305 1.230  0.210 1.128  0.132 1.011  0.054 0.894  -0.024 0.777  -0.084 0.651  -0.135 0.519  -0.185 0.388  -0.235 0.257  -0.271 0.122  -0.279 -0.018  -0.288 -0.159  -0.296 -0.299  -0.284 -0.438  -0.249 -0.574  -0.214 -0.710  -0.169 -0.842  -0.080 -0.951  0.008 -1.060  0.097 -1.170
2#apb#apb38#app3869/a  0.761 1.033  0.667 1.123  0.519 1.102  0.366 1.102  0.223 1.054  0.080 1.001  -0.049 0.919  -0.178 0.837  -0.306 0.754  -0.428 0.664  -0.529 0.550  -0.630 0.435  -0.731 0.321  -0.832 0.207  -0.931 0.091  -1.015 -0.036  -1.100 -0.163  -1.185 -0.290  -1.267 -0.418  -1.328 -0.558  -1.317 -0.673  -1.180 -0.741  -1.031 -0.739  -0.879 -0.725  -0.732 -0.693  -0.593 -0.629  -0.454 -0.565  -0.318 -0.498  -0.191 -0.413  -0.064 -0.329  0.063 -0.244  0.173 -0.138  0.281 -0.030  0.387 0.079  0.455 0.215  0.519 0.352  0.513 0.369  0.485 0.219  0.458 0.069  0.452 -0.083  0.492 -0.223  0.580 -0.347  0.699 -0.428  0.846 -0.468  0.993 -0.509  1.146 -0.511  1.298 -0.511  1.451 -0.511  1.603 -0.511  1.756 -0.511
