2#app#app14#app1489/i  -0.068 -0.990  -0.068 -1.066  -0.068 -1.141  -0.068 -1.217  -0.068 -1.292  -0.068 -1.368  -0.068 -1.443  -0.064 -1.386  -0.061 -1.310  -0.057 -1.235  -0.054 -1.160  -0.050 -1.084  -0.046 -1.009  -0.043 -0.933  -0.039 -0.858  -0.036 -0.782  -0.032 -0.707  -0.029 -0.632  -0.025 -0.556  -0.021 -0.481  -0.018 -0.405  -0.014 -0.330  -0.011 -0.254  -0.007 -0.179  -0.003 -0.104  0.000 -0.028  0.004 0.047  0.007 0.123  0.011 0.198  0.015 0.273  0.018 0.349  0.022 0.424  0.025 0.500  0.029 0.575  0.033 0.651  0.036 0.726  0.040 0.801  0.043 0.877  0.047 0.952  0.051 1.028  0.054 1.103  0.058 1.179  0.061 1.254  0.065 1.329  0.068 1.405  0.072 1.480  0.076 1.556  0.079 1.631  0.083 1.706  0.086 1.782
2#app#app14#app1489/n  -0.635 1.059  -0.635 0.894  -0.635 0.730  -0.635 0.565  -0.635 0.401  -0.635 0.236  -0.635 0.072  -0.635 -0.093  -0.635 -0.257  -0.635 -0.422  -0.699 -0.559  -0.816 -0.676  -0.894 -0.808  -0.894 -0.972  -0.894 -1.137  -0.894 -1.242  -0.894 -1.077  -0.794 -1.013  -0.632 -1.008  -0.559 -0.861  -0.485 -0.714  -0.412 -0.567  -0.316 -0.435  -0.200 -0.319  -0.117 -0.189  -0.117 -0.024  -0.117 0.140  -0.094 0.282  0.070 0.282  0.142 0.375  0.142 0.539  0.142 0.704  0.211 0.800  0.375 0.800  0.401 0.938  0.445 1.059  0.610 1.059  0.660 0.945  0.674 0.786  0.790 0.669  0.906 0.553  0.919 0.394  0.956 0.245  1.072 0.128  1.178 0.008  1.178 -0.157  1.216 -0.312  1.290 -0.460  1.363 -0.607  1.437 -0.754
2#app#app14#app1489/o  -0.788 -0.467  -0.595 -0.467  -0.494 -0.376  -0.494 -0.184  -0.494 0.009  -0.414 0.121  -0.221 0.121  -0.200 0.292  -0.200 0.484  -0.200 0.677  -0.086 0.822  0.050 0.958  0.224 1.003  0.388 1.031  0.388 1.223  0.507 1.297  0.682 1.280  0.682 1.087  0.790 1.003  0.976 0.997  0.976 0.804  0.976 0.612  0.976 0.419  0.976 0.227  0.915 0.060  0.779 -0.076  0.682 -0.229  0.682 -0.421  0.579 -0.571  0.443 -0.707  0.388 -0.877  0.378 -1.065  0.242 -1.201  0.106 -1.337  -0.081 -1.349  -0.274 -1.349  -0.466 -1.349  -0.494 -1.184  -0.538 -1.010  -0.674 -0.874  -0.788 -0.729  -0.788 -0.537  -0.788 -0.344  -0.788 -0.152  -0.788 0.041  -0.788 0.233  -0.777 0.415  -0.585 0.415  -0.494 0.516  -0.494 0.709
2#app#app14#app1489/n  -0.503 1.328  -0.503 1.148  -0.503 0.968  -0.503 0.788  -0.503 0.609  -0.503 0.429  -0.503 0.249  -0.503 0.070  -0.503 -0.110  -0.503 -0.290  -0.659 -0.314  -0.831 -0.321  -0.831 -0.501  -0.831 -0.680  -0.831 -0.860  -0.831 -1.040  -0.831 -1.220  -0.831 -1.197  -0.831 -1.018  -0.699 -0.970  -0.519 -0.970  -0.503 -0.807  -0.488 -0.642  -0.308 -0.642  -0.175 -0.596  -0.175 -0.416  -0.175 -0.236  -0.175 -0.057  -0.098 0.091  0.029 0.218  0.154 0.347  0.154 0.526  0.154 0.706  0.154 0.886  0.220 0.999  0.399 0.999  0.482 0.902  0.482 0.722  0.610 0.671  0.790 0.671  0.810 0.511  0.818 0.335  0.945 0.208  1.072 0.081  1.138 -0.072  1.138 -0.251  1.256 -0.314  1.435 -0.314  1.615 -0.314  1.795 -0.314
2#app#app14#app1489/e  -0.425 0.090  -0.425 -0.059  -0.406 -0.190  -0.257 -0.190  -0.118 -0.164  -0.012 -0.058  0.094 0.048  0.226 0.090  0.376 0.090  0.525 0.090  0.675 0.090  0.698 0.217  0.698 0.367  0.698 0.517  0.698 0.667  0.698 0.816  0.664 0.932  0.514 0.932  0.417 0.985  0.417 1.134  0.346 1.213  0.196 1.213  0.046 1.213  -0.103 1.213  -0.221 1.136  -0.327 1.030  -0.430 0.922  -0.497 0.789  -0.564 0.655  -0.631 0.521  -0.698 0.387  -0.706 0.239  -0.706 0.089  -0.706 -0.060  -0.692 -0.204  -0.586 -0.310  -0.480 -0.416  -0.425 -0.543  -0.425 -0.693  -0.361 -0.816  -0.255 -0.922  -0.149 -1.028  -0.043 -1.134  0.063 -1.239  0.168 -1.345  0.274 -1.451  0.380 -1.557  0.486 -1.663  0.592 -1.769  0.698 -1.875
2#app#app14#app1489/c  0.525 1.505  0.525 1.400  0.525 1.295  0.455 1.261  0.350 1.261  0.245 1.261  0.140 1.261  0.037 1.258  0.037 1.153  0.037 1.049  -0.014 0.965  -0.089 0.891  -0.163 0.817  -0.237 0.742  -0.311 0.668  -0.385 0.594  -0.451 0.516  -0.451 0.411  -0.451 0.306  -0.510 0.226  -0.584 0.152  -0.658 0.078  -0.695 -0.012  -0.695 -0.117  -0.695 -0.222  -0.695 -0.327  -0.695 -0.432  -0.631 -0.511  -0.557 -0.585  -0.483 -0.659  -0.451 -0.751  -0.451 -0.855  -0.425 -0.935  -0.320 -0.935  -0.215 -0.935  -0.111 -0.935  -0.006 -0.935  0.099 -0.935  0.204 -0.935  0.301 -0.915  0.375 -0.841  0.449 -0.767  0.524 -0.693  0.628 -0.691  0.733 -0.691  0.838 -0.691  0.943 -0.691  1.047 -0.691  1.152 -0.691  1.257 -0.691
2#app#app14#app1489/l  0.261 1.677  0.261 1.605  0.261 1.532  0.261 1.460  0.261 1.387  0.233 1.327  0.181 1.275  0.130 1.224  0.100 1.164  0.100 1.091  0.100 1.019  0.100 0.946  0.100 0.874  0.100 0.801  0.100 0.729  0.100 0.656  0.100 0.584  0.100 0.511  0.100 0.439  0.090 0.369  0.058 0.304  0.025 0.239  -0.007 0.174  -0.040 0.109  -0.061 0.042  -0.061 -0.031  -0.061 -0.104  -0.061 -0.176  -0.061 -0.249  -0.061 -0.321  -0.061 -0.394  -0.061 -0.466  -0.061 -0.539  -0.061 -0.611  -0.061 -0.684  -0.061 -0.756  -0.061 -0.829  -0.062 -0.901  -0.113 -0.952  -0.165 -1.003  -0.216 -1.055  -0.222 -1.125  -0.222 -1.197  -0.222 -1.270  -0.222 -1.342  -0.222 -1.415  -0.222 -1.487  -0.206 -1.544  -0.133 -1.544  -0.061 -1.544
2#app#app14#app1489/a  0.353 0.961  0.184 0.961  0.056 1.002  0.056 1.171  -0.026 1.257  -0.195 1.257  -0.328 1.170  -0.447 1.051  -0.567 0.931  -0.686 0.812  -0.806 0.692  -0.925 0.573  -1.045 0.453  -1.131 0.320  -1.131 0.151  -1.131 -0.018  -1.131 -0.187  -1.131 -0.356  -1.129 -0.524  -1.010 -0.643  -0.890 -0.763  -0.745 -0.819  -0.576 -0.819  -0.407 -0.819  -0.239 -0.818  -0.119 -0.698  0.000 -0.579  0.146 -0.523  0.315 -0.523  0.353 -0.392  0.353 -0.223  0.353 -0.054  0.397 0.071  0.566 0.071  0.649 0.156  0.649 0.325  0.523 0.367  0.354 0.367  0.353 0.200  0.381 0.042  0.500 -0.077  0.620 -0.196  0.739 -0.316  0.859 -0.435  0.946 -0.568  0.946 -0.737  1.033 -0.819  1.202 -0.819  1.371 -0.819  1.539 -0.819
2#app#app14#app1489/w  -1.328 0.958  -1.248 0.878  -1.169 0.799  -1.090 0.720  -1.050 0.623  -1.050 0.511  -1.050 0.399  -1.050 0.286  -1.050 0.174  -1.050 0.062  -1.050 -0.051  -1.040 -0.153  -0.928 -0.153  -0.815 -0.153  -0.772 -0.223  -0.772 -0.335  -0.756 -0.431  -0.643 -0.431  -0.531 -0.431  -0.419 -0.431  -0.306 -0.431  -0.217 -0.407  -0.217 -0.295  -0.217 -0.183  -0.134 -0.153  -0.022 -0.153  0.061 -0.183  0.061 -0.295  0.061 -0.407  0.150 -0.431  0.262 -0.431  0.375 -0.431  0.487 -0.431  0.599 -0.431  0.712 -0.431  0.824 -0.431  0.924 -0.400  1.003 -0.321  1.083 -0.242  1.162 -0.162  1.172 -0.053  1.172 0.059  1.172 0.171  1.172 0.284  1.172 0.396  1.172 0.508  1.172 0.621  1.225 0.680  1.337 0.680  1.449 0.680
2#app#app14#app1489/e  0.058 -0.173  0.195 -0.173  0.331 -0.173  0.467 -0.173  0.604 -0.173  0.644 -0.076  0.644 0.060  0.720 0.120  0.856 0.120  0.936 0.176  0.936 0.313  0.936 0.449  0.936 0.585  0.936 0.722  0.936 0.858  0.936 0.995  0.803 0.998  0.667 0.998  0.531 0.998  0.394 0.998  0.258 0.998  0.122 0.998  0.058 0.925  0.058 0.789  0.005 0.705  -0.131 0.705  -0.258 0.682  -0.354 0.585  -0.451 0.489  -0.547 0.393  -0.643 0.296  -0.740 0.200  -0.820 0.097  -0.820 -0.040  -0.820 -0.176  -0.820 -0.312  -0.820 -0.449  -0.820 -0.585  -0.820 -0.722  -0.820 -0.858  -0.820 -0.994  -0.740 -1.051  -0.603 -1.051  -0.527 -1.111  -0.527 -1.247  -0.487 -1.343  -0.351 -1.343  -0.214 -1.343  -0.078 -1.343  0.058 -1.343
2#app#app14#app1489/d  0.035 0.022  -0.098 -0.110  -0.155 -0.275  -0.260 -0.357  -0.418 -0.430  -0.535 -0.569  -0.535 -0.757  -0.535 -0.945  -0.519 -1.117  -0.331 -1.117  -0.143 -1.117  0.035 -1.107  0.043 -0.927  0.225 -0.921  0.225 -0.733  0.225 -0.545  0.225 -0.358  0.225 -0.170  0.225 0.018  0.225 0.206  0.225 0.394  0.168 0.572  0.108 0.750  0.049 0.929  0.035 1.114  0.035 1.302  0.035 1.490  0.035 1.678  -0.060 1.826  -0.155 1.868  -0.155 1.680  -0.155 1.492  -0.155 1.304  -0.155 1.117  -0.136 0.933  -0.052 0.765  0.032 0.597  0.035 0.410  0.035 0.222  0.035 0.034  0.035 -0.153  0.035 -0.341  0.035 -0.529  0.035 -0.717  0.153 -0.856  0.225 -1.014  0.225 -1.202  0.283 -1.365  0.416 -1.497  0.604 -1.497
