1d#app#app07#app0717/!  0.119 1.059  0.119 1.136  0.119 1.213  0.119 1.289  0.119 1.366  0.119 1.443  0.119 1.413  0.075 1.355  0.051 1.288  0.051 1.211  0.051 1.135  0.051 1.058  0.051 0.981  0.042 0.907  0.008 0.838  -0.017 0.767  -0.017 0.690  -0.017 0.614  -0.017 0.537  -0.017 0.460  -0.017 0.384  -0.050 0.315  -0.084 0.246  -0.085 0.170  -0.085 0.093  -0.085 0.016  -0.085 -0.061  -0.085 -0.137  -0.085 -0.214  -0.085 -0.291  -0.085 -0.367  -0.085 -0.444  -0.085 -0.521  -0.085 -0.598  -0.085 -0.674  -0.085 -0.751  -0.085 -0.828  -0.085 -0.904  -0.085 -0.981  -0.076 -1.054  -0.021 -1.108  -0.006 -1.182  0.007 -1.258  0.020 -1.333  0.032 -1.409  0.045 -1.485  0.051 -1.561  0.101 -1.588  0.119 -1.647  0.119 -1.588
1d#app#app07#app0717/@  -0.313 -0.545  -0.114 -0.475  0.047 -0.314  0.203 -0.227  0.353 -0.137  0.461 0.045  0.590 0.143  0.590 0.371  0.590 0.598  0.533 0.802  0.335 0.874  0.108 0.874  0.010 0.745  -0.170 0.629  -0.263 0.487  -0.313 0.309  -0.294 0.100  -0.184 -0.017  0.032 -0.029  0.243 0.010  0.433 0.100  0.511 0.279  0.672 0.439  0.719 0.647  0.719 0.874  0.649 1.073  0.575 1.261  0.348 1.261  0.145 1.202  -0.016 1.041  -0.209 0.925  -0.392 0.795  -0.512 0.604  -0.638 0.419  -0.799 0.258  -0.957 0.096  -0.957 -0.131  -0.957 -0.359  -0.957 -0.586  -0.957 -0.813  -0.880 -1.009  -0.719 -1.170  -0.521 -1.239  -0.339 -1.370  -0.129 -1.448  0.098 -1.448  0.325 -1.448  0.553 -1.448  0.774 -1.475  0.977 -1.577
1d#app#app07#app0717/#  0.354 1.566  0.197 1.216  -0.002 0.854  -0.101 0.462  -0.225 0.076  -0.418 -0.260  -0.501 -0.641  -0.612 -1.011  -0.439 -0.909  -0.190 -0.576  0.060 -0.244  0.309 0.089  0.558 0.421  0.807 0.753  1.057 1.086  1.023 0.987  0.934 0.660  0.741 0.438  0.605 0.078  0.327 -0.227  0.130 -0.590  -0.032 -0.939  -0.207 -1.013  -0.545 -0.772  -0.883 -0.530  -1.222 -0.289  -1.191 -0.151  -0.959 0.098  -0.577 0.248  -0.227 0.407  0.145 0.592  0.478 0.793  0.849 0.901  1.229 0.987  1.403 0.917  1.051 0.697  0.698 0.477  0.346 0.257  -0.006 0.037  -0.359 -0.184  -0.711 -0.404  -1.063 -0.624  -1.416 -0.844  -1.353 -0.945  -0.938 -0.945  -0.548 -0.882  -0.198 -0.725  0.149 -0.559  0.542 -0.465  0.934 -0.366
1d#app#app07#app0717/$  -0.006 0.417  -0.117 0.540  -0.251 0.440  -0.374 0.329  -0.374 0.095  -0.308 -0.073  -0.196 -0.195  0.038 -0.195  0.226 -0.305  0.427 -0.384  0.628 -0.462  0.729 -0.654  0.586 -0.829  0.484 -1.020  0.306 -1.109  0.105 -1.187  -0.083 -1.298  -0.317 -1.298  -0.496 -1.417  -0.467 -1.187  -0.409 -0.961  -0.350 -0.734  -0.291 -0.508  -0.233 -0.282  -0.174 -0.055  -0.115 0.171  -0.057 0.397  0.002 0.624  0.061 0.850  0.119 1.076  0.178 1.302  0.237 1.529  0.295 1.755  0.354 1.981  0.304 1.830  0.233 1.624  0.159 1.402  0.072 1.186  -0.006 0.971  -0.028 0.742  -0.129 0.532  -0.129 0.298  -0.129 0.064  -0.129 -0.169  -0.129 -0.403  -0.129 -0.637  -0.101 -0.864  -0.006 -1.076  -0.006 -1.309  -0.006 -1.543
1d#app#app07#app0717/%  0.812 1.292  0.711 1.319  0.638 1.071  0.517 0.829  0.377 0.601  0.228 0.380  0.173 0.122  0.058 -0.100  -0.067 -0.339  -0.188 -0.580  -0.309 -0.822  -0.393 -1.063  -0.466 -1.303  -0.466 -1.573  -0.475 -1.449  -0.488 -1.180  -0.501 -0.910  -0.513 -0.640  -0.526 -0.370  -0.539 -0.100  -0.552 0.170  -0.565 0.440  -0.578 0.710  -0.591 0.980  -0.721 0.876  -0.721 0.606  -0.531 0.526  -0.338 0.678  -0.338 0.948  -0.338 1.218  -0.466 1.404  -0.579 1.265  -0.452 1.027  -0.325 0.788  -0.198 0.550  -0.070 0.312  0.057 0.073  0.184 -0.165  0.311 -0.404  0.429 -0.645  0.301 -0.787  0.427 -1.005  0.618 -1.074  0.846 -0.973  1.068 -0.870  1.175 -0.644  1.081 -0.496  0.976 -0.277  0.748 -0.177  0.557 -0.241
1d#app#app07#app0717/^  -1.087 -0.838  -1.227 -0.838  -1.366 -0.838  -1.378 -0.711  -1.378 -0.571  -1.263 -0.547  -1.123 -0.547  -1.014 -0.473  -0.915 -0.374  -0.816 -0.276  -0.717 -0.177  -0.618 -0.078  -0.519 0.021  -0.420 0.120  -0.322 0.219  -0.223 0.317  -0.088 0.328  0.052 0.328  0.080 0.441  0.080 0.580  0.180 0.620  0.320 0.620  0.372 0.708  0.372 0.848  0.425 0.965  0.524 1.064  0.623 1.163  0.580 1.203  0.441 1.203  0.372 1.133  0.372 0.993  0.372 0.853  0.372 0.713  0.372 0.574  0.372 0.434  0.372 0.294  0.372 0.154  0.372 0.014  0.372 -0.125  0.372 -0.265  0.372 -0.405  0.372 -0.545  0.469 -0.644  0.568 -0.743  0.663 -0.843  0.663 -0.983  0.663 -1.123  0.757 -1.224  0.856 -1.323  0.955 -1.422
1d#app#app07#app0717/&  -1.350 -0.893  -1.350 -0.721  -1.252 -0.647  -1.103 -0.622  -1.103 -0.449  -0.980 -0.400  -0.822 -0.365  -0.700 -0.243  -0.565 -0.153  -0.392 -0.153  -0.219 -0.153  -0.067 -0.104  0.055 0.018  0.196 0.094  0.369 0.094  0.542 0.094  0.714 0.094  0.887 0.094  1.060 0.094  1.232 0.094  1.405 0.094  1.577 0.094  1.495 0.171  1.352 0.267  1.208 0.362  1.064 0.458  0.921 0.554  0.777 0.650  0.633 0.745  0.490 0.841  0.346 0.937  0.202 1.033  0.044 1.081  -0.116 1.069  -0.116 0.896  -0.194 0.756  -0.317 0.634  -0.363 0.480  -0.363 0.308  -0.363 0.135  -0.363 -0.037  -0.363 -0.210  -0.363 -0.383  -0.473 -0.510  -0.595 -0.632  -0.610 -0.798  -0.610 -0.971  -0.607 -1.143  -0.485 -1.265  -0.363 -1.387
1d#app#app07#app0717/*  -0.888 0.713  -0.710 0.549  -0.424 0.414  -0.231 0.248  0.016 0.057  0.330 -0.060  0.476 -0.322  0.718 -0.564  0.627 -0.764  0.284 -0.764  -0.058 -0.764  -0.400 -0.764  -0.742 -0.764  -1.030 -0.742  -0.788 -0.500  -0.546 -0.258  -0.304 -0.016  -0.061 0.224  0.245 0.377  0.466 0.631  0.636 0.925  0.878 1.166  1.004 1.456  1.034 1.651  0.792 1.409  0.631 1.206  0.528 0.919  0.425 0.602  0.425 0.260  0.261 -0.015  0.261 -0.357  0.261 -0.699  0.261 -1.041  0.261 -1.383  0.005 -1.258  -0.284 -1.074  -0.572 -0.891  -0.861 -0.707  -1.150 -0.523  -1.438 -0.340  -1.329 -0.272  -1.052 -0.207  -0.835 0.001  -0.522 0.095  -0.232 0.221  0.042 0.385  0.384 0.385  0.726 0.385  1.068 0.385  1.411 0.385
1d#app#app07#app0717/(  0.724 1.559  0.671 1.506  0.618 1.453  0.584 1.385  0.550 1.318  0.517 1.251  0.510 1.177  0.489 1.111  0.436 1.057  0.383 1.004  0.330 0.951  0.277 0.898  0.223 0.845  0.177 0.786  0.144 0.719  0.110 0.652  0.076 0.584  0.043 0.517  0.009 0.450  -0.025 0.383  -0.078 0.329  -0.131 0.276  -0.165 0.209  -0.198 0.142  -0.232 0.074  -0.238 0.000  -0.252 -0.072  -0.285 -0.139  -0.319 -0.206  -0.345 -0.275  -0.345 -0.351  -0.345 -0.426  -0.345 -0.501  -0.345 -0.576  -0.345 -0.651  -0.345 -0.727  -0.345 -0.802  -0.345 -0.877  -0.345 -0.952  -0.329 -1.021  -0.276 -1.074  -0.238 -1.134  -0.238 -1.209  -0.173 -1.220  -0.131 -1.253  -0.130 -1.327  -0.077 -1.381  -0.024 -1.434  0.030 -1.487  0.083 -1.540
1d#app#app07#app0717/)  -0.342 1.494  -0.266 1.494  -0.190 1.494  -0.143 1.465  -0.139 1.390  -0.085 1.336  -0.043 1.277  -0.043 1.201  0.006 1.145  0.059 1.091  0.093 1.023  0.127 0.955  0.156 0.885  0.156 0.809  0.156 0.733  0.184 0.669  0.238 0.615  0.256 0.546  0.256 0.470  0.256 0.394  0.256 0.318  0.256 0.241  0.256 0.165  0.256 0.089  0.256 0.013  0.256 -0.063  0.256 -0.139  0.256 -0.215  0.256 -0.292  0.208 -0.348  0.156 -0.403  0.156 -0.479  0.156 -0.555  0.134 -0.622  0.080 -0.676  0.037 -0.737  0.003 -0.806  -0.031 -0.874  -0.065 -0.942  -0.099 -1.010  -0.133 -1.078  -0.181 -1.136  -0.235 -1.190  -0.289 -1.244  -0.343 -1.297  -0.396 -1.351  -0.450 -1.405  -0.504 -1.459  -0.565 -1.496  -0.641 -1.496
1d#app#app07#app0717/`  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
