2#tos#t2#t2068064/\"  -0.929 0.848  -1.073 0.752  -1.212 0.653  -1.127 0.565  -0.954 0.565  -0.882 0.425  -0.824 0.262  -0.747 0.107  -0.741 -0.064  -0.741 -0.237  -0.741 -0.410  -0.741 -0.583  -0.739 -0.755  -0.646 -0.890  -0.646 -1.062  -0.646 -1.235  -0.603 -1.240  -0.519 -1.089  -0.435 -0.937  -0.351 -0.786  -0.267 -0.635  -0.183 -0.484  -0.099 -0.333  -0.015 -0.182  0.069 -0.031  0.153 0.121  0.237 0.272  0.321 0.423  0.405 0.574  0.489 0.725  0.573 0.876  0.657 1.027  0.741 1.178  0.712 1.117  0.589 1.036  0.551 1.036  0.578 0.890  0.672 0.812  0.687 0.645  0.766 0.505  0.766 0.332  0.766 0.159  0.766 -0.014  0.766 -0.187  0.766 -0.360  0.766 -0.533  0.766 -0.705  0.766 -0.878  0.766 -1.051  0.766 -1.224
2#tos#t2#t2068064/$  0.570 0.528  0.696 0.665  0.508 0.747  0.254 0.779  0.015 0.724  -0.209 0.618  -0.405 0.455  -0.584 0.307  -0.640 0.090  -0.483 -0.015  -0.274 -0.140  -0.019 -0.182  0.228 -0.262  0.437 -0.349  0.609 -0.473  0.612 -0.732  0.527 -0.934  0.275 -0.975  0.014 -0.979  -0.242 -1.017  -0.420 -1.100  -0.664 -1.058  -0.631 -0.822  -0.549 -0.574  -0.466 -0.326  -0.383 -0.078  -0.300 0.171  -0.217 0.419  -0.135 0.667  -0.052 0.916  0.031 1.164  0.114 1.412  0.196 1.661  0.278 1.902  0.236 1.682  0.236 1.421  0.236 1.159  0.236 0.897  0.236 0.636  0.210 0.390  0.117 0.170  0.111 -0.091  0.028 -0.318  0.028 -0.580  0.028 -0.842  -0.014 -1.062  -0.045 -1.318  -0.056 -1.578  -0.139 -1.757  -0.139 -2.018
2#tos#t2#t2068064/%  -0.643 0.560  -0.816 0.510  -0.794 0.703  -0.682 0.856  -0.565 0.968  -0.388 0.897  -0.310 0.766  -0.347 0.568  -0.509 0.523  -0.678 0.486  -0.511 0.600  -0.340 0.716  -0.169 0.832  0.002 0.947  0.173 1.063  0.344 1.178  0.515 1.294  0.686 1.409  0.541 1.329  0.486 1.153  0.407 0.978  0.339 0.785  0.218 0.619  0.153 0.430  0.064 0.273  -0.074 0.147  -0.130 -0.051  -0.180 -0.252  -0.270 -0.434  -0.377 -0.610  -0.461 -0.799  -0.559 -0.979  -0.643 -1.160  -0.580 -1.226  -0.382 -1.170  -0.183 -1.114  0.016 -1.058  0.215 -1.002  0.413 -0.946  0.430 -0.959  0.319 -0.936  0.397 -0.760  0.532 -0.662  0.706 -0.596  0.812 -0.747  0.796 -0.925  0.726 -1.081  0.560 -1.143  0.387 -1.062  0.356 -0.921
2#tos#t2#t2068064/&  0.309 -0.949  0.150 -1.035  0.075 -0.887  -0.034 -0.734  -0.121 -0.542  -0.164 -0.373  -0.249 -0.187  -0.249 0.025  -0.249 0.237  -0.249 0.449  -0.216 0.656  -0.139 0.853  -0.066 1.039  -0.035 1.238  0.113 1.359  0.279 1.415  0.491 1.415  0.660 1.372  0.825 1.288  0.868 1.094  0.814 0.915  0.778 0.727  0.601 0.641  0.432 0.598  0.289 0.469  0.080 0.450  -0.113 0.391  -0.263 0.241  -0.449 0.164  -0.633 0.086  -0.806 -0.017  -0.932 -0.159  -1.029 -0.304  -1.067 -0.479  -1.109 -0.684  -1.109 -0.896  -1.009 -1.019  -0.834 -1.078  -0.621 -1.078  -0.430 -1.001  -0.264 -0.892  -0.072 -0.858  0.096 -0.733  0.295 -0.677  0.490 -0.605  0.651 -0.523  0.825 -0.483  0.963 -0.364  1.172 -0.347  1.255 -0.218
2#tos#t2#t2068064/(  0.495 1.598  0.457 1.521  0.428 1.442  0.386 1.399  0.307 1.371  0.230 1.333  0.154 1.294  0.086 1.247  0.048 1.170  0.029 1.088  -0.016 1.021  -0.076 0.960  -0.104 0.886  -0.104 0.800  -0.164 0.739  -0.225 0.679  -0.268 0.605  -0.303 0.528  -0.303 0.442  -0.303 0.356  -0.303 0.270  -0.340 0.193  -0.370 0.115  -0.370 0.029  -0.370 -0.057  -0.370 -0.143  -0.370 -0.229  -0.370 -0.314  -0.370 -0.400  -0.370 -0.486  -0.329 -0.531  -0.303 -0.591  -0.294 -0.673  -0.237 -0.735  -0.237 -0.821  -0.193 -0.863  -0.108 -0.863  -0.067 -0.937  -0.018 -0.996  0.068 -0.996  0.122 -1.048  0.160 -1.125  0.243 -1.130  0.329 -1.130  0.414 -1.130  0.500 -1.132  0.576 -1.170  0.656 -1.196  0.742 -1.196  0.828 -1.196
2#tos#t2#t2068064/*  -0.832 0.554  -1.073 0.412  -0.834 0.254  -0.600 0.052  -0.320 -0.078  -0.124 -0.311  0.132 -0.447  0.354 -0.585  0.635 -0.721  0.891 -0.843  1.093 -0.933  1.056 -0.623  1.018 -0.313  0.980 -0.003  0.943 0.307  0.905 0.617  0.868 0.927  0.660 1.019  0.460 0.779  0.276 0.550  0.075 0.318  -0.178 0.157  -0.230 -0.149  -0.390 -0.353  -0.581 -0.562  -0.690 -0.795  -0.892 -0.972  -0.972 -0.989  -0.835 -0.708  -0.698 -0.428  -0.561 -0.147  -0.423 0.133  -0.286 0.414  -0.149 0.695  -0.012 0.975  0.125 1.256  0.263 1.536  0.114 1.638  -0.049 1.489  -0.049 1.176  -0.049 0.864  0.010 0.559  0.011 0.247  0.011 -0.066  0.011 -0.378  0.011 -0.690  0.011 -1.003  0.011 -1.315  -0.049 -1.602  -0.049 -1.915
2#tos#t2#t2068064/+  -1.398 -0.153  -1.571 -0.153  -1.580 -0.285  -1.407 -0.285  -1.234 -0.285  -1.061 -0.285  -0.888 -0.285  -0.715 -0.285  -0.542 -0.285  -0.398 -0.190  -0.239 -0.127  -0.071 -0.087  0.102 -0.087  0.275 -0.087  0.448 -0.087  0.618 -0.061  0.786 -0.021  0.959 -0.021  1.132 -0.021  1.239 0.045  1.346 0.070  1.218 0.186  1.089 0.302  0.960 0.418  0.832 0.534  0.703 0.649  0.575 0.765  0.446 0.881  0.317 0.997  0.189 1.112  0.060 1.228  -0.111 1.233  -0.210 1.159  -0.210 0.986  -0.210 0.813  -0.210 0.640  -0.210 0.467  -0.210 0.294  -0.210 0.121  -0.200 -0.050  -0.145 -0.215  -0.103 -0.382  -0.078 -0.552  -0.078 -0.725  -0.078 -0.898  -0.051 -1.065  -0.012 -1.229  0.028 -1.395  0.054 -1.564  0.054 -1.737
2#tos#t2#t2068064/,  0.289 1.349  0.289 1.422  0.289 1.496  0.289 1.515  0.289 1.441  0.289 1.368  0.289 1.294  0.289 1.220  0.289 1.147  0.289 1.073  0.289 0.999  0.273 0.929  0.240 0.864  0.207 0.798  0.175 0.732  0.142 0.666  0.109 0.600  0.096 0.529  0.096 0.456  0.096 0.382  0.096 0.308  0.096 0.235  0.096 0.161  0.096 0.087  0.096 0.014  0.096 -0.060  0.096 -0.134  0.096 -0.207  0.096 -0.281  0.096 -0.355  0.072 -0.418  0.019 -0.470  -0.033 -0.522  -0.085 -0.574  -0.115 -0.640  -0.139 -0.710  -0.162 -0.780  -0.185 -0.849  -0.208 -0.919  -0.232 -0.989  -0.255 -1.059  -0.278 -1.129  -0.314 -1.191  -0.366 -1.243  -0.418 -1.295  -0.470 -1.347  -0.523 -1.400  -0.575 -1.452  -0.627 -1.504  -0.679 -1.556
2#tos#t2#t2068064/  -0.912 0.040  -0.991 0.040  -1.068 0.031  -1.142 0.007  -1.216 -0.018  -1.291 -0.043  -1.365 -0.068  -1.424 -0.090  -1.345 -0.090  -1.267 -0.090  -1.188 -0.090  -1.110 -0.090  -1.032 -0.090  -0.953 -0.090  -0.875 -0.090  -0.796 -0.090  -0.718 -0.090  -0.640 -0.090  -0.561 -0.090  -0.494 -0.062  -0.439 -0.006  -0.380 0.040  -0.301 0.040  -0.223 0.040  -0.144 0.040  -0.066 0.040  0.012 0.040  0.091 0.040  0.169 0.040  0.248 0.040  0.326 0.040  0.405 0.040  0.483 0.040  0.561 0.040  0.640 0.040  0.718 0.040  0.797 0.040  0.875 0.040  0.953 0.040  1.032 0.040  1.110 0.040  1.189 0.040  1.267 0.040  1.346 0.040  1.424 0.040  1.502 0.040  1.581 0.040  1.659 0.040  1.738 0.040  1.816 0.040
2#tos#t2#t2068064/:  -0.062 1.512  -0.140 1.512  -0.146 1.583  -0.101 1.551  -0.046 1.496  0.009 1.441  0.022 1.369  0.022 1.292  0.022 1.214  0.024 1.136  0.028 1.059  0.031 0.981  0.035 0.904  0.038 0.826  0.042 0.749  0.045 0.671  0.049 0.593  0.052 0.516  0.056 0.438  0.059 0.361  0.063 0.283  0.066 0.206  0.070 0.128  0.073 0.051  0.077 -0.027  0.080 -0.105  0.084 -0.182  0.087 -0.260  0.091 -0.337  0.094 -0.415  0.098 -0.492  0.102 -0.570  0.105 -0.647  0.063 -0.682  -0.014 -0.682  -0.062 -0.712  -0.062 -0.789  -0.079 -0.850  -0.146 -0.860  -0.146 -0.938  -0.146 -1.015  -0.146 -1.093  -0.116 -1.164  -0.082 -1.233  -0.062 -1.306  -0.062 -1.384  -0.062 -1.461  -0.049 -1.525  0.022 -1.532  0.022 -1.610
2#tos#t2#t2068064/;  0.339 1.389  0.251 1.344  0.166 1.299  0.181 1.215  0.272 1.196  0.339 1.126  0.339 1.027  0.313 0.955  0.215 0.955  0.116 0.955  0.079 1.017  0.006 1.042  -0.007 1.127  -0.007 1.205  -0.008 1.106  -0.013 1.008  -0.017 0.910  -0.021 0.811  -0.025 0.713  -0.030 0.614  -0.034 0.516  -0.038 0.418  -0.042 0.319  -0.047 0.221  -0.051 0.122  -0.055 0.024  -0.060 -0.074  -0.064 -0.173  -0.068 -0.271  -0.072 -0.370  -0.077 -0.468  -0.081 -0.566  -0.085 -0.665  -0.090 -0.763  -0.094 -0.861  -0.181 -0.873  -0.181 -0.972  -0.181 -1.070  -0.181 -1.169  -0.181 -1.267  -0.114 -1.299  -0.094 -1.377  -0.011 -1.385  -0.110 -1.385  -0.181 -1.358  -0.141 -1.299  -0.094 -1.247  -0.031 -1.212  0.068 -1.212  0.079 -1.299
