2#apa#apa09#app0954/f  1.091 1.449  0.951 1.449  0.811 1.449  0.672 1.446  0.536 1.412  0.400 1.378  0.264 1.347  0.146 1.306  0.069 1.190  -0.009 1.073  -0.030 0.940  -0.030 0.800  -0.030 0.661  0.028 0.537  0.099 0.417  0.171 0.297  0.243 0.177  0.330 0.069  0.392 -0.050  0.419 -0.187  0.446 -0.324  0.474 -0.461  0.429 -0.589  0.368 -0.714  0.316 -0.844  0.264 -0.974  0.212 -1.104  0.140 -1.212  0.008 -1.256  -0.125 -1.301  -0.264 -1.303  -0.401 -1.282  -0.533 -1.237  -0.642 -1.176  -0.642 -1.036  -0.642 -0.896  -0.636 -0.757  -0.613 -0.619  -0.590 -0.481  -0.567 -0.343  -0.544 -0.205  -0.622 -0.100  -0.721 -0.001  -0.639 0.048  -0.504 0.082  -0.368 0.116  -0.235 0.158  -0.102 0.202  0.034 0.226  0.173 0.226
2#apa#apa09#app0954/e  0.043 -0.409  -0.053 -0.312  -0.150 -0.215  -0.077 -0.118  0.020 -0.021  0.147 0.002  0.284 0.002  0.421 0.002  0.558 0.002  0.695 0.002  0.832 0.002  0.969 0.002  1.096 0.026  1.193 0.123  1.277 0.225  1.277 0.362  1.277 0.499  1.261 0.619  1.124 0.619  0.989 0.640  0.857 0.673  0.724 0.706  0.591 0.740  0.458 0.773  0.325 0.806  0.195 0.803  0.067 0.752  -0.060 0.701  -0.187 0.651  -0.314 0.600  -0.441 0.549  -0.569 0.498  -0.696 0.447  -0.779 0.367  -0.779 0.230  -0.831 0.105  -0.892 -0.018  -0.953 -0.140  -0.985 -0.270  -0.985 -0.407  -0.985 -0.544  -0.985 -0.681  -0.985 -0.818  -0.985 -0.955  -0.938 -1.072  -0.841 -1.169  -0.735 -1.253  -0.613 -1.315  -0.490 -1.376  -0.368 -1.437
2#apa#apa09#app0954/w  -1.000 0.699  -1.112 0.699  -1.167 0.642  -1.167 0.529  -1.167 0.417  -1.167 0.304  -1.167 0.192  -1.167 0.080  -1.167 -0.033  -1.163 -0.143  -1.083 -0.223  -1.004 -0.302  -0.924 -0.230  -0.845 -0.151  -0.790 -0.053  -0.740 0.047  -0.689 0.148  -0.607 0.197  -0.495 0.195  -0.416 0.115  -0.336 0.036  -0.297 -0.069  -0.262 -0.176  -0.226 -0.282  -0.190 -0.389  -0.139 -0.474  -0.027 -0.474  0.086 -0.474  0.191 -0.492  0.270 -0.571  0.353 -0.637  0.460 -0.601  0.566 -0.566  0.673 -0.530  0.780 -0.495  0.875 -0.441  0.955 -0.362  1.029 -0.278  1.092 -0.184  1.154 -0.091  1.216 0.003  1.279 0.096  1.341 0.190  1.299 0.290  1.249 0.391  1.198 0.491  1.178 0.599  1.170 0.708  1.090 0.787  1.011 0.867
2#apa#apa09#app0954/q  0.379 1.107  0.350 1.274  0.155 1.274  -0.031 1.236  -0.206 1.149  -0.374 1.050  -0.537 0.942  -0.699 0.834  -0.828 0.696  -0.915 0.521  -0.956 0.336  -0.862 0.179  -0.707 0.147  -0.532 0.235  -0.358 0.322  -0.183 0.409  -0.122 0.567  -0.012 0.716  0.126 0.855  0.212 0.867  0.187 0.675  0.140 0.485  0.092 0.296  0.045 0.106  0.045 -0.089  0.036 -0.283  0.003 -0.476  -0.029 -0.668  -0.061 -0.861  -0.093 -1.054  -0.122 -1.246  -0.122 -1.442  -0.122 -1.637  -0.122 -1.832  -0.122 -1.764  -0.122 -1.569  -0.062 -1.383  -0.001 -1.198  0.068 -1.015  0.155 -0.841  0.242 -0.666  0.330 -0.492  0.417 -0.317  0.504 -0.142  0.592 0.032  0.679 0.207  0.766 0.381  0.854 0.556  0.879 0.745  1.046 0.774
2#apa#apa09#app0954/u  -0.501 0.411  -0.581 0.491  -0.660 0.570  -0.740 0.650  -0.819 0.729  -0.822 0.623  -0.822 0.511  -0.822 0.398  -0.822 0.286  -0.822 0.173  -0.822 0.061  -0.822 -0.051  -0.822 -0.164  -0.822 -0.276  -0.822 -0.389  -0.822 -0.501  -0.822 -0.613  -0.822 -0.726  -0.822 -0.838  -0.742 -0.871  -0.630 -0.871  -0.517 -0.871  -0.405 -0.871  -0.293 -0.871  -0.180 -0.871  -0.087 -0.808  0.007 -0.746  0.100 -0.684  0.194 -0.621  0.287 -0.559  0.381 -0.497  0.474 -0.434  0.568 -0.372  0.661 -0.310  0.755 -0.247  0.781 -0.149  0.781 -0.036  0.781 0.076  0.812 0.183  0.847 0.290  0.883 0.397  0.918 0.503  0.954 0.610  0.990 0.717  1.025 0.823  1.061 0.930  1.096 1.036  1.101 1.148  1.101 1.260  1.101 1.373
2#apa#apa09#app0954/i  -0.357 -0.051  -0.357 0.069  -0.386 0.160  -0.506 0.160  -0.568 0.102  -0.568 -0.017  -0.568 -0.137  -0.568 -0.257  -0.568 -0.377  -0.568 -0.497  -0.568 -0.617  -0.568 -0.737  -0.568 -0.857  -0.568 -0.977  -0.568 -1.096  -0.458 -1.106  -0.338 -1.106  -0.218 -1.106  -0.098 -1.106  0.022 -1.106  0.142 -1.106  0.261 -1.106  0.323 -1.011  0.377 -0.904  0.430 -0.797  0.484 -0.689  0.537 -0.582  0.591 -0.475  0.645 -0.368  0.697 -0.260  0.655 -0.148  0.613 -0.036  0.571 0.076  0.529 0.189  0.486 0.301  0.444 0.413  0.402 0.525  0.360 0.638  0.318 0.750  0.276 0.862  0.234 0.974  0.192 1.087  0.150 1.199  0.108 1.311  0.066 1.423  -0.018 1.509  -0.103 1.594  -0.188 1.678  -0.273 1.763  -0.357 1.848
2#apa#apa09#app0954/p  0.044 0.511  -0.058 0.409  -0.137 0.293  -0.182 0.157  -0.228 0.021  -0.273 -0.115  -0.281 -0.258  -0.281 -0.402  -0.281 -0.545  -0.281 -0.689  -0.281 -0.833  -0.281 -0.976  -0.283 -1.120  -0.329 -1.256  -0.374 -1.392  -0.420 -1.529  -0.465 -1.532  -0.511 -1.396  -0.556 -1.259  -0.602 -1.123  -0.605 -0.980  -0.605 -0.836  -0.579 -0.696  -0.540 -0.558  -0.500 -0.420  -0.461 -0.282  -0.421 -0.144  -0.382 -0.005  -0.342 0.133  -0.303 0.271  -0.242 0.398  -0.152 0.510  -0.062 0.622  0.028 0.734  0.118 0.846  0.207 0.959  0.297 1.071  0.398 1.160  0.542 1.160  0.685 1.160  0.789 1.256  0.878 1.276  0.942 1.148  1.006 1.019  0.979 0.884  0.934 0.748  0.888 0.612  0.855 0.474  0.855 0.330  0.855 0.186
2#apa#apa09#app0954/s  -1.305 -0.160  -1.427 -0.160  -1.549 -0.160  -1.550 -0.281  -1.550 -0.403  -1.467 -0.322  -1.380 -0.236  -1.291 -0.154  -1.182 -0.099  -1.073 -0.045  -0.964 0.010  -0.855 0.064  -0.751 0.127  -0.649 0.195  -0.548 0.262  -0.446 0.330  -0.345 0.398  -0.243 0.465  -0.142 0.533  -0.033 0.577  0.089 0.577  0.211 0.577  0.333 0.577  0.455 0.577  0.577 0.577  0.699 0.577  0.821 0.577  0.943 0.577  1.065 0.577  1.153 0.543  1.153 0.421  1.153 0.299  1.153 0.177  1.153 0.055  1.153 -0.067  1.133 -0.181  1.047 -0.267  0.960 -0.353  0.874 -0.439  0.788 -0.526  0.702 -0.612  0.596 -0.652  0.474 -0.652  0.352 -0.652  0.230 -0.652  0.115 -0.624  0.006 -0.570  -0.103 -0.515  -0.212 -0.461  -0.322 -0.406
2#apa#apa09#app0954/g  0.818 0.738  0.707 0.849  0.596 0.960  0.485 1.071  0.333 1.082  0.176 1.082  0.030 1.034  -0.110 0.964  -0.256 0.906  -0.402 0.848  -0.547 0.789  -0.684 0.721  -0.755 0.581  -0.738 0.455  -0.609 0.410  -0.457 0.448  -0.304 0.486  -0.157 0.538  -0.017 0.608  0.100 0.710  0.211 0.821  0.322 0.932  0.433 0.892  0.473 0.752  0.473 0.595  0.473 0.438  0.473 0.281  0.473 0.124  0.473 -0.033  0.473 -0.190  0.473 -0.347  0.473 -0.504  0.473 -0.661  0.473 -0.818  0.427 -0.964  0.356 -1.103  0.245 -1.214  0.134 -1.325  0.023 -1.436  -0.115 -1.510  -0.256 -1.541  -0.396 -1.471  -0.502 -1.362  -0.589 -1.232  -0.676 -1.101  -0.676 -0.944  -0.676 -0.787  -0.668 -0.633  -0.557 -0.522  -0.446 -0.412
2#apa#apa09#app0954/a  1.188 0.443  1.188 0.590  1.165 0.728  1.061 0.832  0.957 0.937  0.822 0.968  0.675 0.968  0.528 0.968  0.381 0.961  0.241 0.915  0.102 0.868  -0.038 0.821  -0.178 0.775  -0.318 0.728  -0.454 0.672  -0.586 0.606  -0.717 0.540  -0.849 0.474  -0.946 0.373  -1.012 0.241  -1.078 0.110  -1.144 -0.022  -1.149 -0.158  -1.102 -0.298  -1.055 -0.438  -1.009 -0.578  -0.962 -0.718  -0.915 -0.858  -0.791 -0.930  -0.659 -0.996  -0.527 -1.062  -0.395 -1.128  -0.289 -1.035  -0.185 -0.930  -0.081 -0.826  0.023 -0.722  0.128 -0.618  0.232 -0.514  0.336 -0.409  0.440 -0.305  0.544 -0.201  0.649 -0.097  0.663 0.045  0.663 0.169  0.663 0.021  0.663 -0.126  0.663 -0.274  0.717 -0.399  0.821 -0.503  0.926 -0.607
2#apa#apa09#app0954/l  0.144 0.800  0.119 0.875  0.093 0.950  0.068 1.026  0.043 1.101  0.018 1.177  -0.007 1.252  -0.011 1.331  -0.011 1.410  -0.011 1.348  -0.011 1.268  -0.011 1.189  -0.011 1.109  -0.011 1.030  -0.011 0.950  -0.011 0.871  -0.011 0.791  -0.011 0.712  -0.011 0.632  -0.011 0.553  -0.011 0.473  -0.011 0.394  -0.011 0.314  -0.011 0.235  -0.011 0.155  -0.011 0.076  -0.011 -0.004  -0.011 -0.083  -0.011 -0.163  -0.011 -0.242  -0.011 -0.321  -0.011 -0.401  -0.011 -0.480  -0.011 -0.560  -0.011 -0.639  -0.011 -0.719  -0.011 -0.798  -0.011 -0.878  -0.011 -0.957  -0.011 -1.037  -0.011 -1.116  -0.011 -1.196  -0.011 -1.275  -0.011 -1.355  -0.011 -1.434  -0.011 -1.514  -0.011 -1.593  -0.011 -1.673  -0.011 -1.752  -0.011 -1.832
