3#app#app37#app3719/Q  -0.590 0.721  -0.590 0.522  -0.639 0.332  -0.702 0.144  -0.710 -0.054  -0.710 -0.252  -0.710 -0.451  -0.634 -0.631  -0.558 -0.814  -0.496 -1.003  -0.470 -1.197  -0.274 -1.200  -0.076 -1.200  0.123 -1.200  0.251 -1.060  0.321 -0.890  0.428 -0.726  0.517 -0.548  0.606 -0.371  0.611 -0.173  0.611 0.025  0.611 0.224  0.611 0.422  0.611 0.621  0.542 0.790  0.401 0.931  0.346 1.106  0.205 1.247  0.038 1.321  -0.111 1.441  -0.230 1.521  -0.388 1.561  -0.387 1.479  -0.324 1.298  -0.288 1.103  -0.253 0.907  -0.217 0.712  -0.182 0.517  -0.146 0.322  -0.110 0.126  -0.058 -0.051  0.011 -0.221  0.053 -0.402  0.131 -0.568  0.249 -0.718  0.371 -0.796  0.395 -0.984  0.491 -1.143  0.591 -1.300  0.731 -1.440
3#app#app37#app3719/U  -0.683 1.178  -0.683 1.309  -0.683 1.187  -0.683 1.056  -0.683 0.925  -0.683 0.794  -0.607 0.695  -0.548 0.588  -0.548 0.457  -0.548 0.326  -0.548 0.195  -0.548 0.064  -0.548 -0.067  -0.539 -0.195  -0.480 -0.312  -0.422 -0.430  -0.334 -0.526  -0.277 -0.633  -0.277 -0.764  -0.248 -0.883  -0.156 -0.976  -0.142 -1.101  -0.142 -1.232  -0.039 -1.261  -0.006 -1.358  0.087 -1.396  0.129 -1.308  0.189 -1.201  0.275 -1.104  0.334 -0.987  0.392 -0.870  0.400 -0.741  0.400 -0.610  0.400 -0.479  0.445 -0.359  0.503 -0.242  0.536 -0.118  0.536 0.013  0.536 0.144  0.536 0.275  0.536 0.406  0.536 0.537  0.536 0.667  0.536 0.798  0.536 0.929  0.536 1.060  0.536 1.191  0.536 1.322  0.536 1.453  0.536 1.584
3#app#app37#app3719/I  0.073 1.722  0.073 1.650  0.073 1.579  0.073 1.507  0.073 1.435  0.073 1.364  0.073 1.292  0.073 1.220  0.073 1.149  0.073 1.077  0.073 1.005  0.073 0.934  0.073 0.862  0.073 0.790  0.073 0.719  0.073 0.647  0.073 0.576  0.073 0.504  0.073 0.432  0.073 0.361  0.073 0.289  0.066 0.219  0.034 0.155  0.002 0.091  -0.030 0.027  -0.062 -0.037  -0.092 -0.102  -0.092 -0.174  -0.092 -0.245  -0.092 -0.317  -0.092 -0.389  -0.092 -0.460  -0.092 -0.532  -0.092 -0.604  -0.092 -0.675  -0.092 -0.747  -0.092 -0.819  -0.092 -0.890  -0.092 -0.962  -0.092 -1.033  -0.092 -1.105  -0.092 -1.177  -0.092 -1.248  -0.092 -1.320  -0.092 -1.392  -0.048 -1.419  0.024 -1.419  0.073 -1.441  0.073 -1.513  0.073 -1.585
3#app#app37#app3719/C  0.288 1.047  0.287 1.153  0.212 1.228  0.137 1.304  0.056 1.365  -0.050 1.365  -0.137 1.346  -0.157 1.259  -0.257 1.245  -0.332 1.170  -0.349 1.071  -0.408 0.989  -0.456 0.902  -0.456 0.796  -0.456 0.689  -0.456 0.583  -0.456 0.476  -0.473 0.374  -0.521 0.279  -0.562 0.182  -0.562 0.076  -0.562 -0.030  -0.562 -0.137  -0.562 -0.243  -0.562 -0.349  -0.562 -0.456  -0.550 -0.557  -0.475 -0.632  -0.400 -0.708  -0.324 -0.783  -0.249 -0.858  -0.243 -0.962  -0.174 -1.039  -0.083 -1.076  0.024 -1.076  0.130 -1.076  0.220 -1.037  0.299 -0.970  0.404 -0.965  0.499 -0.917  0.594 -0.870  0.672 -0.798  0.747 -0.723  0.821 -0.647  0.868 -0.551  0.916 -0.456  0.986 -0.378  1.031 -0.290  1.062 -0.196  1.137 -0.121
3#app#app37#app3719/K  -0.736 0.907  -0.736 0.691  -0.736 0.475  -0.736 0.259  -0.736 0.044  -0.736 -0.172  -0.736 -0.388  -0.736 -0.604  -0.736 -0.820  -0.736 -1.036  -0.607 -1.198  -0.428 -1.157  -0.331 -0.964  -0.235 -0.771  -0.138 -0.577  -0.042 -0.384  0.055 -0.191  0.151 0.002  0.248 0.195  0.344 0.388  0.441 0.581  0.537 0.774  0.634 0.967  0.730 1.160  0.827 1.353  0.924 1.546  0.912 1.478  0.843 1.273  0.688 1.189  0.531 1.046  0.384 0.890  0.287 0.697  0.155 0.529  0.003 0.377  -0.199 0.343  -0.385 0.271  -0.454 0.084  -0.591 -0.076  -0.727 -0.222  -0.536 -0.281  -0.353 -0.363  -0.289 -0.528  -0.121 -0.645  0.058 -0.734  0.252 -0.787  0.410 -0.927  0.598 -0.992  0.751 -1.145  0.940 -1.209  1.098 -1.350
3#app#app37#app3719/F  -0.389 0.776  -0.389 0.574  -0.389 0.372  -0.389 0.170  -0.389 -0.031  -0.389 -0.233  -0.389 -0.435  -0.389 -0.637  -0.389 -0.839  -0.441 -1.028  -0.510 -1.214  -0.510 -1.415  -0.510 -1.617  -0.463 -1.772  -0.385 -1.647  -0.267 -1.494  -0.281 -1.293  -0.304 -1.092  -0.328 -0.892  -0.352 -0.692  -0.375 -0.491  -0.399 -0.291  -0.422 -0.090  -0.446 0.110  -0.469 0.310  -0.493 0.511  -0.459 0.680  -0.278 0.770  -0.098 0.860  0.060 0.982  0.239 1.039  0.381 1.181  0.550 1.261  0.702 1.381  0.903 1.382  0.871 1.242  0.775 1.065  0.679 0.887  0.584 0.709  0.488 0.532  0.392 0.354  0.297 0.176  0.201 -0.001  0.105 -0.179  0.262 -0.151  0.432 -0.074  0.634 -0.074  0.797 0.020  0.866 0.169  1.067 0.169
3#app#app37#app3719/O  -0.518 0.491  -0.573 0.381  -0.628 0.271  -0.652 0.155  -0.652 0.032  -0.652 -0.091  -0.652 -0.213  -0.652 -0.336  -0.652 -0.458  -0.652 -0.581  -0.652 -0.703  -0.652 -0.826  -0.652 -0.948  -0.652 -1.071  -0.568 -1.110  -0.446 -1.110  -0.323 -1.110  -0.201 -1.110  -0.078 -1.110  0.044 -1.110  0.162 -1.096  0.248 -1.010  0.335 -0.923  0.421 -0.836  0.508 -0.750  0.578 -0.651  0.632 -0.541  0.682 -0.430  0.682 -0.308  0.682 -0.185  0.682 -0.063  0.682 0.060  0.682 0.182  0.682 0.305  0.682 0.427  0.655 0.544  0.600 0.653  0.544 0.762  0.457 0.848  0.371 0.935  0.284 1.022  0.282 1.143  0.205 1.234  0.106 1.291  -0.007 1.313  -0.094 1.399  -0.206 1.424  -0.306 1.370  -0.385 1.280  -0.385 1.157
3#app#app37#app3719/R  -0.421 0.390  -0.421 0.172  -0.421 -0.046  -0.421 -0.264  -0.421 -0.482  -0.421 -0.700  -0.421 -0.918  -0.421 -1.136  -0.421 -1.354  -0.421 -1.136  -0.421 -0.918  -0.421 -0.700  -0.421 -0.482  -0.421 -0.264  -0.421 -0.046  -0.421 0.172  -0.421 0.390  -0.421 0.608  -0.421 0.826  -0.338 1.010  -0.144 1.069  0.010 1.223  0.164 1.378  0.346 1.464  0.564 1.464  0.744 1.555  0.810 1.464  0.921 1.356  0.921 1.138  0.821 0.962  0.667 0.807  0.624 0.602  0.527 0.407  0.375 0.256  0.184 0.190  0.030 0.036  -0.124 -0.118  -0.279 -0.272  -0.359 -0.414  -0.443 -0.549  -0.449 -0.549  -0.365 -0.683  -0.281 -0.817  -0.063 -0.817  0.116 -0.856  0.239 -0.951  0.401 -1.085  0.619 -1.085  0.837 -1.085  0.921 -1.219
3#app#app37#app3719/G  -0.037 1.685  -0.269 1.685  -0.492 1.667  -0.620 1.489  -0.681 1.272  -0.784 1.066  -0.887 0.859  -0.926 0.637  -1.029 0.430  -1.057 0.206  -1.057 -0.025  -1.057 -0.257  -1.057 -0.488  -1.057 -0.719  -0.943 -0.903  -0.726 -0.935  -0.495 -0.935  -0.264 -0.935  -0.032 -0.935  0.172 -0.871  0.336 -0.708  0.540 -0.644  0.691 -0.478  0.766 -0.278  0.895 -0.090  0.965 0.051  0.862 -0.156  0.667 -0.170  0.441 -0.120  0.216 -0.069  -0.010 -0.019  -0.236 0.031  -0.461 0.081  -0.256 0.084  -0.029 0.092  0.135 0.256  0.316 0.375  0.402 0.521  0.633 0.521  0.718 0.666  0.836 0.553  0.798 0.337  0.691 0.151  0.617 -0.063  0.545 -0.277  0.545 -0.508  0.478 -0.711  0.399 -0.910  0.399 -1.141  0.399 -1.372
3#app#app37#app3719/O  -0.524 0.769  -0.524 0.639  -0.524 0.509  -0.524 0.379  -0.524 0.250  -0.524 0.120  -0.524 -0.010  -0.547 -0.130  -0.639 -0.222  -0.699 -0.326  -0.699 -0.456  -0.699 -0.586  -0.699 -0.716  -0.699 -0.845  -0.699 -0.975  -0.576 -0.982  -0.524 -1.059  -0.492 -1.157  -0.362 -1.157  -0.232 -1.157  -0.103 -1.157  0.027 -1.157  0.157 -1.157  0.177 -1.047  0.222 -0.937  0.314 -0.845  0.386 -0.739  0.444 -0.623  0.502 -0.507  0.527 -0.383  0.527 -0.253  0.527 -0.123  0.527 0.006  0.575 0.116  0.666 0.208  0.702 0.323  0.678 0.443  0.586 0.534  0.527 0.640  0.527 0.769  0.527 0.899  0.527 1.029  0.499 1.147  0.407 1.239  0.352 1.345  0.345 1.469  0.216 1.469  0.086 1.469  -0.044 1.469  -0.174 1.469
3#app#app37#app3719/T  0.282 0.818  0.212 0.678  0.144 0.538  0.144 0.382  0.116 0.237  0.006 0.127  0.006 -0.029  0.006 -0.185  0.006 -0.341  0.006 -0.497  0.006 -0.654  0.006 -0.810  0.006 -0.966  0.006 -1.122  0.006 -1.278  0.006 -1.434  0.006 -1.471  -0.040 -1.329  -0.132 -1.203  -0.224 -1.077  -0.316 -0.951  -0.408 -0.824  -0.499 -0.698  -0.591 -0.572  -0.683 -0.446  -0.775 -0.319  -0.867 -0.193  -0.959 -0.067  -1.050 0.060  -1.100 0.200  -1.009 0.265  -0.853 0.265  -0.697 0.265  -0.541 0.268  -0.402 0.338  -0.261 0.403  -0.105 0.403  0.038 0.436  0.149 0.544  0.289 0.614  0.430 0.680  0.578 0.699  0.688 0.810  0.799 0.920  0.940 0.956  1.060 1.043  1.195 1.094  1.351 1.094  1.507 1.094  1.525 1.232
