2#apb#apb15#app1580/I  -0.270 0.520  -0.158 0.700  -0.016 0.866  0.138 1.015  0.125 0.801  0.129 0.581  0.143 0.360  0.160 0.141  0.143 -0.079  0.116 -0.298  0.082 -0.516  0.002 -0.720  -0.135 -0.889  -0.311 -1.020  -0.524 -1.038  -0.733 -0.965  -0.920 -0.856  -0.768 -0.934  -0.551 -0.953  -0.335 -0.994  -0.117 -1.033  0.102 -1.060  0.322 -1.076  0.542 -1.076  0.763 -1.065  0.976 -1.025  1.096 -0.876  0.923 -0.741  0.747 -0.608  0.571 -0.475  0.395 -0.342  0.219 -0.209  0.043 -0.076  -0.133 0.058  -0.309 0.191  -0.485 0.324  -0.662 0.457  -0.838 0.590  -1.001 0.731  -1.019 0.948  -0.837 1.056  -0.616 1.056  -0.395 1.056  -0.175 1.056  0.046 1.072  0.266 1.088  0.486 1.082  0.706 1.064  0.926 1.056  1.147 1.056
2#apb#apb15#app1580/n  -0.585 0.853  -0.578 0.973  -0.585 0.839  -0.590 0.699  -0.599 0.559  -0.607 0.419  -0.644 0.284  -0.686 0.150  -0.728 0.016  -0.775 -0.116  -0.822 -0.248  -0.878 -0.376  -0.945 -0.499  -1.001 -0.626  -1.032 -0.763  -1.060 -0.901  -1.005 -0.814  -0.936 -0.691  -0.864 -0.571  -0.790 -0.452  -0.704 -0.341  -0.618 -0.230  -0.532 -0.120  -0.444 -0.010  -0.351 0.094  -0.257 0.199  -0.164 0.303  -0.070 0.408  0.052 0.474  0.179 0.534  0.306 0.594  0.431 0.657  0.551 0.730  0.677 0.781  0.817 0.781  0.918 0.689  1.008 0.581  1.061 0.452  1.109 0.321  1.116 0.182  1.116 0.041  1.113 -0.099  1.102 -0.239  1.092 -0.379  1.092 -0.519  1.079 -0.657  1.042 -0.793  1.002 -0.927  0.972 -1.062  1.020 -1.183
2#apb#apb15#app1580/  -1.140 -1.164  -1.122 -1.094  -1.105 -1.024  -1.087 -0.954  -1.070 -0.884  -1.052 -0.814  -1.035 -0.744  -1.017 -0.674  -0.977 -0.616  -0.933 -0.558  -0.890 -0.500  -0.847 -0.443  -0.804 -0.385  -0.760 -0.327  -0.717 -0.270  -0.674 -0.212  -0.625 -0.161  -0.562 -0.126  -0.499 -0.091  -0.436 -0.056  -0.373 -0.021  -0.310 0.014  -0.247 0.049  -0.184 0.084  -0.121 0.119  -0.057 0.154  0.006 0.189  0.069 0.224  0.132 0.259  0.195 0.294  0.258 0.329  0.321 0.364  0.384 0.399  0.447 0.434  0.515 0.453  0.586 0.461  0.658 0.469  0.730 0.477  0.801 0.485  0.873 0.493  0.945 0.501  1.016 0.509  1.088 0.517  1.159 0.525  1.231 0.533  1.303 0.541  1.374 0.549  1.446 0.557  1.518 0.565  1.589 0.573
2#apb#apb15#app1580/Y  -0.298 0.819  -0.314 0.996  -0.366 1.136  -0.386 1.041  -0.439 0.871  -0.484 0.699  -0.525 0.526  -0.569 0.353  -0.615 0.181  -0.621 0.003  -0.614 -0.175  -0.581 -0.349  -0.500 -0.508  -0.343 -0.543  -0.193 -0.447  -0.040 -0.355  0.113 -0.263  0.249 -0.150  0.378 -0.027  0.507 0.096  0.637 0.219  0.766 0.341  0.893 0.466  1.015 0.596  1.132 0.730  1.228 0.880  1.265 1.047  1.134 0.987  1.002 0.868  0.870 0.748  0.738 0.628  0.607 0.507  0.475 0.387  0.343 0.267  0.212 0.147  0.080 0.027  -0.051 -0.093  -0.134 -0.031  -0.195 -0.144  -0.258 -0.308  -0.334 -0.468  -0.384 -0.639  -0.452 -0.803  -0.529 -0.964  -0.593 -1.130  -0.653 -1.298  -0.709 -1.467  -0.768 -1.636  -0.835 -1.800  -0.859 -1.968
2#apb#apb15#app1580/u  -0.432 0.953  -0.366 1.084  -0.331 1.225  -0.378 1.325  -0.427 1.204  -0.478 1.067  -0.549 0.939  -0.619 0.811  -0.693 0.685  -0.766 0.558  -0.840 0.432  -0.895 0.298  -0.937 0.158  -0.975 0.017  -0.991 -0.128  -1.008 -0.274  -1.032 -0.418  -1.026 -0.562  -1.003 -0.706  -0.911 -0.816  -0.778 -0.865  -0.636 -0.833  -0.494 -0.799  -0.379 -0.709  -0.264 -0.619  -0.147 -0.531  -0.029 -0.445  0.089 -0.359  0.200 -0.265  0.290 -0.150  0.380 -0.034  0.481 0.070  0.589 0.169  0.697 0.267  0.801 0.369  0.886 0.488  0.983 0.574  1.087 0.510  1.055 0.367  1.023 0.224  0.967 0.090  0.907 -0.044  0.853 -0.179  0.801 -0.316  0.784 -0.459  0.797 -0.603  0.849 -0.740  0.899 -0.877  0.945 -1.016  1.020 -1.140
2#apb#apb15#app1580/n  -0.707 0.876  -0.735 0.810  -0.709 0.652  -0.724 0.494  -0.742 0.335  -0.773 0.178  -0.807 0.022  -0.823 -0.136  -0.823 -0.296  -0.823 -0.455  -0.846 -0.613  -0.880 -0.769  -0.900 -0.926  -0.900 -1.086  -0.950 -1.057  -0.887 -0.911  -0.804 -0.774  -0.722 -0.637  -0.629 -0.508  -0.516 -0.395  -0.403 -0.282  -0.290 -0.169  -0.185 -0.050  -0.100 0.085  -0.015 0.221  0.069 0.356  0.154 0.492  0.250 0.619  0.352 0.742  0.453 0.866  0.554 0.989  0.657 1.112  0.746 1.243  0.788 1.174  0.817 1.039  0.794 0.881  0.823 0.724  0.832 0.565  0.832 0.406  0.832 0.246  0.832 0.086  0.832 -0.074  0.785 -0.226  0.735 -0.377  0.716 -0.534  0.716 -0.694  0.716 -0.854  0.716 -1.013  0.784 -1.141  0.909 -1.240
2#apb#apb15#app1580/g  0.369 0.886  0.377 0.970  0.251 0.996  0.117 0.970  -0.013 0.927  -0.140 0.876  -0.271 0.838  -0.397 0.789  -0.511 0.713  -0.616 0.627  -0.677 0.506  -0.654 0.379  -0.561 0.285  -0.445 0.222  -0.317 0.239  -0.201 0.312  -0.077 0.368  0.050 0.417  0.164 0.493  0.253 0.594  0.321 0.711  0.354 0.844  0.380 0.978  0.406 1.113  0.406 0.998  0.383 0.864  0.348 0.732  0.331 0.596  0.314 0.461  0.300 0.324  0.287 0.188  0.271 0.052  0.252 -0.083  0.232 -0.219  0.213 -0.354  0.193 -0.490  0.172 -0.625  0.151 -0.760  0.130 -0.895  0.099 -1.029  0.069 -1.162  0.039 -1.296  0.018 -1.431  -0.015 -1.563  -0.079 -1.683  -0.182 -1.762  -0.319 -1.750  -0.455 -1.736  -0.591 -1.723  -0.727 -1.709
2#apb#apb15#app1580/J  -0.047 0.460  0.004 0.617  0.039 0.778  0.109 0.785  0.191 0.642  0.282 0.503  0.376 0.367  0.453 0.221  0.524 0.071  0.579 -0.085  0.623 -0.244  0.640 -0.409  0.620 -0.570  0.570 -0.728  0.498 -0.877  0.421 -1.024  0.315 -1.149  0.191 -1.258  0.051 -1.337  -0.114 -1.330  -0.278 -1.303  -0.437 -1.258  -0.591 -1.200  -0.712 -1.087  -0.802 -0.960  -0.808 -0.794  -0.813 -0.629  -0.818 -0.463  -0.824 -0.297  -0.829 -0.132  -0.834 0.034  -0.840 0.199  -0.845 0.365  -0.850 0.531  -0.856 0.696  -0.810 0.842  -0.658 0.813  -0.506 0.751  -0.344 0.717  -0.180 0.710  -0.014 0.716  0.151 0.721  0.317 0.716  0.483 0.711  0.648 0.707  0.814 0.706  0.980 0.706  1.145 0.704  1.310 0.683  1.474 0.663
2#apb#apb15#app1580/.  -0.418 -0.837  -0.497 -0.837  -0.576 -0.837  -0.655 -0.837  -0.707 -0.880  -0.742 -0.950  -0.779 -1.020  -0.835 -1.075  -0.854 -1.067  -0.835 -0.990  -0.816 -0.914  -0.797 -0.837  -0.778 -0.761  -0.732 -0.698  -0.682 -0.637  -0.632 -0.576  -0.581 -0.516  -0.531 -0.455  -0.480 -0.395  -0.430 -0.334  -0.379 -0.274  -0.329 -0.213  -0.273 -0.157  -0.217 -0.102  -0.162 -0.046  -0.106 0.010  -0.050 0.065  0.006 0.121  0.061 0.177  0.117 0.233  0.173 0.288  0.231 0.341  0.292 0.391  0.354 0.440  0.416 0.489  0.477 0.538  0.539 0.588  0.600 0.637  0.661 0.687  0.716 0.743  0.772 0.799  0.828 0.854  0.884 0.910  0.939 0.966  0.995 1.022  1.051 1.077  1.106 1.133  1.162 1.189  1.218 1.245  1.274 1.300
2#apb#apb15#app1580/M  -1.037 -0.490  -1.161 -0.621  -1.284 -0.793  -1.419 -0.954  -1.417 -0.802  -1.331 -0.612  -1.194 -0.449  -1.063 -0.281  -0.935 -0.111  -0.803 0.057  -0.671 0.224  -0.558 0.404  -0.453 0.589  -0.339 0.769  -0.217 0.943  -0.097 1.113  -0.036 0.920  -0.024 0.707  -0.015 0.495  -0.064 0.288  -0.112 0.080  -0.178 -0.122  -0.245 -0.325  -0.307 -0.528  -0.371 -0.732  -0.272 -0.778  -0.123 -0.626  0.022 -0.471  0.153 -0.303  0.277 -0.130  0.367 0.063  0.457 0.256  0.572 0.435  0.692 0.611  0.814 0.786  0.945 0.953  1.077 1.120  1.145 1.086  1.100 0.877  1.046 0.671  0.988 0.466  0.922 0.264  0.835 0.070  0.762 -0.130  0.697 -0.333  0.613 -0.529  0.542 -0.729  0.506 -0.937  0.539 -1.143  0.655 -1.321
2#apb#apb15#app1580/a  0.350 0.515  0.381 0.702  0.301 0.873  0.143 0.962  -0.039 0.991  -0.217 0.927  -0.390 0.852  -0.537 0.732  -0.684 0.612  -0.821 0.482  -0.955 0.348  -1.092 0.217  -1.235 0.092  -1.345 -0.057  -1.406 -0.234  -1.389 -0.418  -1.279 -0.573  -1.125 -0.672  -0.950 -0.745  -0.769 -0.786  -0.579 -0.786  -0.399 -0.741  -0.227 -0.662  -0.056 -0.580  0.107 -0.483  0.269 -0.384  0.424 -0.275  0.578 -0.166  0.658 0.007  0.737 0.179  0.839 0.337  0.957 0.486  1.040 0.648  1.061 0.837  1.117 1.003  0.994 0.893  0.909 0.723  0.819 0.557  0.701 0.409  0.582 0.261  0.517 0.083  0.454 -0.095  0.391 -0.274  0.313 -0.447  0.233 -0.619  0.153 -0.791  0.099 -0.973  0.063 -1.156  0.086 -1.344  0.220 -1.468
