3#apa#apa00#app0012/b  -0.168 2.093  -0.209 1.981  -0.240 1.864  -0.290 1.756  -0.312 1.635  -0.312 1.506  -0.312 1.377  -0.312 1.247  -0.312 1.118  -0.312 0.989  -0.312 0.859  -0.312 0.730  -0.312 0.601  -0.312 0.471  -0.312 0.342  -0.312 0.213  -0.312 0.083  -0.256 -0.033  -0.240 -0.158  -0.240 -0.288  -0.240 -0.417  -0.240 -0.546  -0.240 -0.676  -0.255 -0.799  -0.312 -0.905  -0.312 -0.823  -0.303 -0.695  -0.246 -0.580  -0.168 -0.482  -0.117 -0.373  -0.025 -0.282  0.074 -0.209  0.179 -0.150  0.231 -0.065  0.350 -0.022  0.472 0.007  0.515 -0.101  0.551 -0.215  0.596 -0.326  0.623 -0.444  0.623 -0.573  0.623 -0.702  0.623 -0.832  0.623 -0.961  0.559 -1.064  0.505 -1.144  0.406 -1.217  0.306 -1.288  0.177 -1.288  0.120 -1.216
3#apa#apa00#app0012/i  -0.270 0.533  -0.270 0.414  -0.287 0.299  -0.340 0.193  -0.371 0.082  -0.371 -0.037  -0.371 -0.156  -0.371 -0.275  -0.371 -0.394  -0.371 -0.512  -0.326 -0.613  -0.270 -0.709  -0.270 -0.827  -0.270 -0.946  -0.270 -1.065  -0.270 -1.184  -0.270 -1.303  -0.217 -1.368  -0.099 -1.368  -0.006 -1.305  0.078 -1.221  0.162 -1.137  0.246 -1.053  0.330 -0.969  0.343 -0.855  0.427 -0.771  0.410 -0.656  0.389 -0.539  0.368 -0.422  0.347 -0.305  0.327 -0.188  0.306 -0.071  0.285 0.046  0.264 0.163  0.243 0.280  0.222 0.397  0.201 0.514  0.180 0.631  0.159 0.748  0.139 0.865  0.118 0.982  0.097 1.099  0.076 1.216  0.055 1.333  0.034 1.450  0.013 1.567  -0.008 1.683  -0.028 1.800  -0.049 1.917  -0.070 2.034
3#apa#apa00#app0012/g  0.155 0.947  0.150 1.073  0.084 1.144  -0.024 1.199  -0.138 1.158  -0.250 1.110  -0.343 1.017  -0.435 0.924  -0.528 0.831  -0.577 0.720  -0.602 0.599  -0.602 0.468  -0.539 0.362  -0.478 0.256  -0.374 0.190  -0.243 0.190  -0.137 0.253  -0.077 0.336  0.029 0.387  0.038 0.515  0.092 0.623  0.147 0.742  0.155 0.871  0.155 1.003  0.155 0.886  0.218 0.781  0.218 0.650  0.218 0.518  0.218 0.387  0.230 0.257  0.256 0.128  0.281 -0.001  0.281 -0.133  0.281 -0.264  0.281 -0.395  0.281 -0.527  0.281 -0.658  0.281 -0.789  0.281 -0.921  0.281 -1.052  0.281 -1.184  0.281 -1.315  0.281 -1.446  0.200 -1.547  0.142 -1.665  0.072 -1.765  -0.059 -1.765  -0.191 -1.765  -0.295 -1.697  -0.413 -1.638
3#apa#apa00#app0012/i  -0.120 0.679  -0.120 0.555  -0.120 0.432  -0.120 0.308  -0.168 0.204  -0.227 0.105  -0.227 -0.018  -0.227 -0.142  -0.227 -0.265  -0.227 -0.389  -0.227 -0.512  -0.227 -0.636  -0.191 -0.744  -0.120 -0.839  -0.120 -0.962  -0.095 -1.080  -0.040 -1.190  -0.014 -1.307  0.045 -1.407  0.148 -1.455  0.272 -1.455  0.295 -1.367  0.280 -1.244  0.265 -1.122  0.249 -0.999  0.234 -0.877  0.219 -0.754  0.203 -0.632  0.188 -0.509  0.173 -0.386  0.157 -0.264  0.142 -0.141  0.127 -0.019  0.111 0.104  0.096 0.226  0.081 0.349  0.065 0.471  0.050 0.594  0.035 0.717  0.019 0.839  0.004 0.962  -0.011 1.084  -0.026 1.207  -0.042 1.329  -0.057 1.452  -0.072 1.574  -0.088 1.697  -0.103 1.819  -0.118 1.942  -0.120 2.065
3#apa#apa00#app0012/n  -0.599 1.409  -0.599 1.224  -0.700 1.081  -0.712 0.902  -0.712 0.717  -0.712 0.533  -0.712 0.348  -0.712 0.163  -0.599 0.026  -0.599 -0.159  -0.599 -0.343  -0.599 -0.528  -0.599 -0.712  -0.492 -0.853  -0.486 -1.035  -0.486 -1.219  -0.486 -1.220  -0.450 -1.050  -0.372 -0.898  -0.372 -0.713  -0.372 -0.528  -0.259 -0.391  -0.259 -0.206  -0.240 -0.026  -0.157 0.139  -0.146 0.321  -0.063 0.471  -0.032 0.643  0.067 0.728  0.081 0.899  0.194 0.970  0.280 1.069  0.419 1.180  0.603 1.182  0.746 1.083  0.761 0.905  0.761 0.720  0.761 0.536  0.761 0.351  0.761 0.166  0.714 0.001  0.648 -0.156  0.648 -0.340  0.648 -0.525  0.648 -0.709  0.648 -0.894  0.648 -1.079  0.694 -1.244  0.761 -1.401  0.874 -1.538
3#apa#apa00#app0012/k  -0.369 2.061  -0.369 1.867  -0.369 1.673  -0.369 1.479  -0.369 1.284  -0.369 1.090  -0.369 0.896  -0.369 0.702  -0.369 0.508  -0.369 0.313  -0.369 0.119  -0.369 -0.075  -0.369 -0.269  -0.369 -0.464  -0.369 -0.658  -0.369 -0.852  -0.369 -1.046  -0.369 -1.241  -0.453 -1.298  -0.453 -1.104  -0.453 -0.910  -0.453 -0.715  -0.453 -0.521  -0.453 -0.327  -0.375 -0.151  -0.369 0.042  -0.343 0.225  -0.265 0.387  -0.128 0.525  -0.024 0.623  0.136 0.704  0.330 0.707  0.524 0.707  0.718 0.707  0.816 0.611  0.816 0.417  0.732 0.307  0.596 0.199  0.509 0.061  0.393 -0.036  0.244 -0.119  0.224 -0.305  0.224 -0.499  0.309 -0.658  0.394 -0.817  0.531 -0.954  0.668 -1.092  0.806 -1.229  0.901 -1.384  0.986 -1.493
3#apa#apa00#app0012/y  -0.831 0.903  -0.757 0.977  -0.657 1.077  -0.580 1.144  -0.440 1.144  -0.299 1.144  -0.235 1.077  -0.292 0.960  -0.391 0.860  -0.461 0.739  -0.470 0.601  -0.530 0.485  -0.530 0.345  -0.470 0.229  -0.448 0.097  -0.384 -0.001  -0.243 -0.001  -0.122 0.045  -0.047 0.119  0.052 0.219  0.089 0.348  0.133 0.481  0.133 0.622  0.194 0.738  0.194 0.878  0.249 0.963  0.265 0.832  0.314 0.712  0.314 0.571  0.314 0.430  0.314 0.290  0.314 0.149  0.330 0.011  0.374 -0.122  0.374 -0.263  0.374 -0.403  0.374 -0.544  0.435 -0.670  0.435 -0.811  0.435 -0.951  0.435 -1.092  0.435 -1.232  0.435 -1.373  0.431 -1.512  0.374 -1.629  0.275 -1.729  0.143 -1.750  0.003 -1.750  -0.129 -1.729  -0.228 -1.629
3#apa#apa00#app0012/d  -0.116 -0.324  0.049 -0.232  0.102 -0.050  0.000 0.069  -0.186 0.113  -0.335 0.059  -0.509 -0.010  -0.623 -0.170  -0.765 -0.316  -0.909 -0.461  -0.992 -0.631  -0.992 -0.835  -0.992 -1.039  -0.910 -1.209  -0.744 -1.302  -0.558 -1.346  -0.408 -1.249  -0.298 -1.090  -0.226 -0.909  -0.108 -0.746  -0.043 -0.557  0.009 -0.366  0.033 -0.167  0.098 0.027  0.102 0.230  0.158 0.425  0.175 0.626  0.235 0.816  0.304 1.009  0.368 1.202  0.416 1.397  0.507 1.579  0.540 1.776  0.540 1.748  0.520 1.552  0.467 1.370  0.416 1.178  0.394 0.979  0.364 0.782  0.321 0.588  0.279 0.393  0.248 0.197  0.248 -0.008  0.248 -0.212  0.248 -0.416  0.302 -0.597  0.321 -0.794  0.385 -0.972  0.555 -1.054  0.759 -1.054
3#apa#apa00#app0012/e  -0.739 -0.490  -0.599 -0.477  -0.496 -0.374  -0.393 -0.272  -0.273 -0.193  -0.143 -0.128  -0.032 -0.038  0.090 0.019  0.211 0.078  0.314 0.181  0.420 0.274  0.556 0.296  0.659 0.399  0.672 0.539  0.774 0.641  0.789 0.781  0.789 0.926  0.789 1.071  0.789 1.216  0.720 1.292  0.574 1.292  0.429 1.292  0.284 1.292  0.217 1.166  0.151 1.036  0.048 0.934  -0.054 0.831  -0.157 0.728  -0.260 0.626  -0.362 0.523  -0.465 0.420  -0.484 0.283  -0.490 0.140  -0.593 0.038  -0.611 -0.100  -0.611 -0.245  -0.611 -0.391  -0.597 -0.534  -0.551 -0.671  -0.505 -0.809  -0.428 -0.928  -0.325 -1.030  -0.229 -1.136  -0.205 -1.266  -0.075 -1.331  0.025 -1.414  0.077 -1.508  0.202 -1.557  0.304 -1.660  0.407 -1.763
3#apa#apa00#app0012/v  -1.079 0.580  -0.979 0.627  -0.979 0.776  -0.877 0.881  -0.778 0.931  -0.680 0.982  -0.576 1.027  -0.484 1.082  -0.335 1.082  -0.187 1.082  -0.174 0.946  -0.174 0.798  -0.267 0.688  -0.301 0.553  -0.389 0.438  -0.436 0.297  -0.476 0.155  -0.476 0.006  -0.476 -0.142  -0.476 -0.291  -0.476 -0.439  -0.476 -0.588  -0.476 -0.737  -0.476 -0.885  -0.402 -1.003  -0.368 -1.138  -0.263 -1.243  -0.151 -1.332  -0.003 -1.332  0.146 -1.332  0.275 -1.285  0.380 -1.180  0.429 -1.052  0.486 -0.917  0.552 -0.784  0.619 -0.651  0.631 -0.505  0.680 -0.377  0.731 -0.250  0.731 -0.101  0.731 0.047  0.631 0.095  0.631 0.244  0.631 0.392  0.631 0.541  0.731 0.589  0.788 0.680  0.937 0.680  1.085 0.680  1.234 0.680
3#apa#apa00#app0012/i  -0.380 0.363  -0.380 0.244  -0.380 0.125  -0.380 0.005  -0.380 -0.114  -0.380 -0.233  -0.365 -0.346  -0.281 -0.431  -0.266 -0.544  -0.182 -0.629  -0.181 -0.748  -0.181 -0.867  -0.181 -0.987  -0.181 -1.106  -0.180 -1.224  -0.061 -1.224  0.059 -1.224  0.171 -1.197  0.278 -1.143  0.370 -1.070  0.455 -0.985  0.550 -0.927  0.612 -0.870  0.689 -0.827  0.671 -0.739  0.621 -0.631  0.571 -0.523  0.521 -0.414  0.471 -0.306  0.421 -0.197  0.371 -0.089  0.321 0.019  0.271 0.128  0.221 0.236  0.171 0.345  0.121 0.453  0.071 0.561  0.021 0.670  -0.029 0.778  -0.079 0.886  -0.129 0.995  -0.179 1.103  -0.229 1.212  -0.279 1.320  -0.329 1.428  -0.379 1.537  -0.429 1.645  -0.480 1.753  -0.564 1.838  -0.578 1.951
