2#app#app31#app3117/A  -0.041 0.705  -0.131 0.705  -0.258 0.535  -0.419 0.328  -0.560 0.106  -0.678 -0.131  -0.767 -0.371  -0.918 -0.574  -1.005 -0.819  -1.155 -1.022  -1.093 -0.907  -0.997 -0.680  -0.855 -0.460  -0.736 -0.226  -0.684 0.034  -0.602 0.284  -0.483 0.522  -0.349 0.748  -0.212 0.972  -0.041 1.167  0.010 1.420  0.176 1.623  0.222 1.645  0.222 1.379  0.222 1.114  0.222 0.849  0.222 0.583  0.277 0.331  0.347 0.077  0.397 -0.184  0.443 -0.438  0.562 -0.676  0.692 -0.905  0.831 -1.127  1.011 -1.319  1.178 -1.392  0.975 -1.223  0.771 -1.053  0.567 -0.883  0.363 -0.713  0.159 -0.543  -0.045 -0.373  -0.249 -0.203  -0.392 -0.005  -0.171 0.091  0.073 0.179  0.339 0.179  0.604 0.179  0.859 0.203  1.099 0.267
2#app#app31#app3117/B  -0.193 0.339  -0.291 0.190  -0.291 -0.057  -0.291 -0.304  -0.389 -0.511  -0.389 -0.758  -0.389 -1.005  -0.389 -1.252  -0.415 -1.148  -0.451 -0.903  -0.488 -0.659  -0.525 -0.415  -0.561 -0.170  -0.598 0.074  -0.635 0.318  -0.671 0.563  -0.584 0.711  -0.423 0.891  -0.219 0.997  -0.031 1.153  0.190 1.263  0.424 1.316  0.631 1.414  0.878 1.414  0.980 1.269  0.829 1.095  0.625 0.961  0.439 0.802  0.218 0.691  0.049 0.530  -0.141 0.437  -0.347 0.339  -0.280 0.241  -0.033 0.241  0.214 0.241  0.461 0.241  0.708 0.241  0.933 0.190  0.980 -0.038  0.884 -0.245  0.737 -0.440  0.566 -0.601  0.418 -0.784  0.229 -0.900  0.054 -1.075  -0.127 -1.240  -0.348 -1.351  -0.486 -1.512  -0.682 -1.472  -0.779 -1.322
2#app#app31#app3117/C  0.923 1.180  0.923 1.073  0.840 1.050  0.733 1.050  0.626 1.050  0.520 1.050  0.413 1.050  0.306 1.050  0.221 0.999  0.145 0.923  0.040 0.919  -0.067 0.919  -0.119 0.865  -0.150 0.789  -0.254 0.784  -0.330 0.709  -0.405 0.633  -0.481 0.558  -0.556 0.483  -0.632 0.407  -0.640 0.304  -0.711 0.268  -0.771 0.221  -0.771 0.114  -0.771 0.008  -0.771 -0.099  -0.771 -0.206  -0.711 -0.253  -0.640 -0.289  -0.640 -0.396  -0.640 -0.502  -0.573 -0.581  -0.492 -0.644  -0.385 -0.644  -0.308 -0.715  -0.233 -0.791  -0.157 -0.866  -0.066 -0.904  0.040 -0.904  0.147 -0.904  0.254 -0.904  0.360 -0.904  0.467 -0.904  0.569 -0.923  0.665 -0.970  0.760 -1.018  0.863 -1.034  0.970 -1.034  1.077 -1.034  1.183 -1.034
2#app#app31#app3117/D  -0.448 0.719  -0.375 0.837  -0.448 0.934  -0.448 0.723  -0.448 0.512  -0.448 0.302  -0.448 0.091  -0.543 -0.081  -0.566 -0.282  -0.592 -0.482  -0.683 -0.655  -0.724 -0.849  -0.801 -1.028  -0.801 -1.239  -0.763 -1.124  -0.683 -0.946  -0.631 -0.756  -0.565 -0.573  -0.471 -0.384  -0.377 -0.196  -0.254 -0.027  -0.145 0.150  -0.051 0.339  0.049 0.525  0.166 0.700  0.290 0.870  0.415 1.036  0.531 1.189  0.620 1.317  0.786 1.425  0.953 1.317  1.080 1.227  1.080 1.017  1.080 0.806  1.080 0.595  1.080 0.384  1.026 0.195  0.877 0.046  0.728 -0.103  0.662 -0.286  0.513 -0.435  0.361 -0.580  0.172 -0.675  0.014 -0.809  -0.096 -0.910  -0.241 -1.044  -0.335 -1.161  -0.448 -1.064  -0.397 -0.875  -0.331 -0.691
2#app#app31#app3117/E  0.003 0.742  -0.096 0.525  -0.115 0.276  -0.293 0.093  -0.468 -0.092  -0.490 -0.339  -0.589 -0.555  -0.703 -0.765  -0.821 -0.973  -0.821 -1.230  -0.624 -1.337  -0.383 -1.375  -0.126 -1.375  0.119 -1.298  0.365 -1.248  0.577 -1.140  0.717 -1.023  0.965 -1.001  1.182 -0.905  1.279 -0.770  1.097 -0.588  0.915 -0.406  0.734 -0.225  0.552 -0.043  0.370 0.139  0.188 0.321  0.007 0.502  -0.175 0.684  -0.350 0.868  -0.319 1.094  -0.111 1.212  0.146 1.212  0.403 1.212  0.660 1.212  0.747 1.166  0.526 1.035  0.304 0.905  0.083 0.775  -0.139 0.645  -0.360 0.514  -0.582 0.384  -0.803 0.254  -1.025 0.123  -1.089 0.036  -0.863 0.111  -0.624 0.153  -0.367 0.153  -0.110 0.153  0.147 0.153  0.356 0.036
2#app#app31#app3117/F  -0.056 0.744  -0.056 0.514  -0.056 0.284  -0.056 0.054  -0.056 -0.177  -0.172 -0.292  -0.172 -0.522  -0.252 -0.719  -0.287 -0.935  -0.287 -1.165  -0.402 -1.348  -0.496 -1.539  -0.517 -1.760  -0.517 -1.820  -0.517 -1.590  -0.517 -1.360  -0.517 -1.129  -0.517 -0.899  -0.517 -0.669  -0.517 -0.439  -0.517 -0.208  -0.517 0.022  -0.517 0.252  -0.517 0.483  -0.517 0.713  -0.343 0.803  -0.136 0.860  0.050 0.966  0.277 0.975  0.459 1.090  0.690 1.090  0.865 1.145  1.035 1.205  1.150 1.320  1.091 1.201  0.928 1.038  0.766 0.875  0.603 0.712  0.440 0.549  0.277 0.387  0.114 0.224  -0.049 0.061  -0.211 -0.102  -0.374 -0.265  -0.211 -0.292  -0.096 -0.177  0.134 -0.177  0.344 -0.092  0.520 0.053  0.750 0.053
2#app#app31#app3117/G  1.047 1.048  1.030 1.197  0.919 1.308  0.765 1.312  0.608 1.312  0.451 1.312  0.295 1.312  0.172 1.231  0.061 1.120  -0.050 1.010  -0.161 0.899  -0.271 0.788  -0.382 0.677  -0.493 0.567  -0.629 0.518  -0.674 0.406  -0.674 0.249  -0.694 0.101  -0.804 -0.010  -0.806 -0.166  -0.806 -0.322  -0.806 -0.479  -0.806 -0.635  -0.806 -0.792  -0.705 -0.907  -0.594 -1.018  -0.484 -1.128  -0.373 -1.239  -0.256 -1.335  -0.099 -1.335  -0.012 -1.266  0.081 -1.203  0.120 -1.085  0.253 -1.061  0.253 -0.904  0.253 -0.748  0.253 -0.591  0.253 -0.435  0.253 -0.278  0.120 -0.254  0.120 -0.097  0.050 -0.011  -0.012 0.084  0.107 0.121  0.264 0.121  0.421 0.121  0.577 0.121  0.734 0.121  0.891 0.121  1.047 0.121
2#app#app31#app3117/H  -0.250 1.744  -0.375 1.528  -0.375 1.261  -0.432 1.007  -0.500 0.755  -0.500 0.488  -0.567 0.236  -0.625 -0.018  -0.647 -0.277  -0.805 -0.489  -0.875 -0.740  -0.966 -0.970  -1.094 -1.129  -1.046 -1.333  -0.875 -1.302  -0.753 -1.071  -0.605 -0.848  -0.456 -0.626  -0.308 -0.403  -0.159 -0.180  -0.011 0.042  0.138 0.265  0.286 0.488  0.434 0.710  0.583 0.933  0.731 1.155  0.881 1.362  0.999 1.143  0.874 0.927  0.874 0.660  0.874 0.392  0.789 0.160  0.749 -0.091  0.702 -0.348  0.624 -0.597  0.624 -0.864  0.627 -1.129  0.641 -1.031  0.443 -0.851  0.245 -0.671  0.047 -0.491  -0.151 -0.311  -0.349 -0.131  -0.547 0.049  -0.464 0.120  -0.196 0.120  0.071 0.120  0.339 0.120  0.606 0.120  0.749 -0.005
2#app#app31#app3117/I  0.349 1.010  0.348 0.809  0.249 0.650  0.249 0.450  0.249 0.249  0.221 0.055  0.121 -0.117  0.049 -0.287  0.049 -0.488  -0.050 -0.647  -0.050 -0.847  -0.050 -1.048  -0.050 -1.248  -0.007 -1.261  -0.190 -1.178  -0.372 -1.095  -0.555 -1.012  -0.737 -0.929  -0.920 -0.846  -0.990 -0.787  -0.789 -0.787  -0.589 -0.787  -0.389 -0.787  -0.188 -0.787  0.012 -0.787  0.213 -0.787  0.413 -0.787  0.614 -0.787  0.710 -0.733  0.595 -0.569  0.480 -0.405  0.366 -0.241  0.251 -0.076  0.136 0.088  0.021 0.252  -0.094 0.416  -0.209 0.580  -0.324 0.745  -0.439 0.909  -0.554 1.073  -0.649 1.243  -0.515 1.309  -0.314 1.309  -0.114 1.309  0.087 1.309  0.287 1.309  0.488 1.309  0.688 1.309  0.847 1.210  1.048 1.209
2#app#app31#app3117/J  0.308 0.738  0.317 0.592  0.423 0.487  0.445 0.347  0.445 0.198  0.450 0.050  0.555 -0.055  0.582 -0.193  0.582 -0.343  0.582 -0.492  0.582 -0.641  0.582 -0.790  0.543 -0.901  0.409 -0.937  0.302 -1.038  0.152 -1.038  0.013 -1.060  -0.093 -1.166  -0.239 -1.174  -0.388 -1.174  -0.537 -1.174  -0.686 -1.174  -0.784 -1.123  -0.779 -0.974  -0.768 -0.825  -0.757 -0.677  -0.745 -0.528  -0.734 -0.379  -0.722 -0.230  -0.711 -0.082  -0.699 0.067  -0.688 0.216  -0.676 0.365  -0.665 0.513  -0.654 0.662  -0.596 0.790  -0.511 0.904  -0.469 1.011  -0.320 1.011  -0.171 1.011  -0.022 1.011  0.127 1.011  0.277 1.011  0.391 0.928  0.518 0.874  0.668 0.874  0.817 0.874  0.966 0.874  1.115 0.874  1.264 0.874
2#app#app31#app3117/K  -0.112 1.633  -0.039 1.633  -0.112 1.493  -0.112 1.281  -0.112 1.068  -0.112 0.855  -0.206 0.682  -0.300 0.496  -0.367 0.295  -0.397 0.087  -0.530 -0.071  -0.540 -0.280  -0.540 -0.492  -0.679 -0.648  -0.683 -0.859  -0.683 -1.071  -0.622 -1.223  -0.562 -1.094  -0.597 -0.884  -0.632 -0.675  -0.667 -0.465  -0.683 -0.253  -0.540 -0.183  -0.540 0.029  -0.413 0.189  -0.221 0.239  -0.070 0.389  0.080 0.540  0.254 0.633  0.423 0.739  0.618 0.784  0.808 0.879  1.012 0.919  0.858 0.832  0.667 0.737  0.477 0.642  0.287 0.547  0.174 0.404  0.174 0.191  0.174 -0.021  0.174 -0.234  0.174 -0.447  0.181 -0.652  0.317 -0.729  0.383 -0.926  0.488 -1.109  0.639 -1.260  0.789 -1.410  0.888 -1.582  1.031 -1.652
