1b#apb#apb35#app3592/A  -0.326 0.605  -0.408 0.360  -0.469 0.108  -0.519 -0.146  -0.567 -0.401  -0.641 -0.648  -0.720 -0.894  -0.737 -1.152  -0.761 -1.410  -0.780 -1.518  -0.708 -1.269  -0.641 -1.019  -0.573 -0.769  -0.505 -0.519  -0.437 -0.268  -0.369 -0.018  -0.301 0.232  -0.233 0.482  -0.165 0.732  -0.097 0.982  -0.029 1.232  0.039 1.483  0.107 1.733  0.150 1.812  0.238 1.591  0.278 1.335  0.364 1.092  0.404 0.838  0.450 0.585  0.534 0.340  0.632 0.100  0.737 -0.137  0.851 -0.370  0.967 -0.601  1.049 -0.846  1.176 -1.061  0.978 -0.976  0.753 -0.846  0.529 -0.716  0.305 -0.586  0.081 -0.455  -0.143 -0.325  -0.367 -0.195  -0.256 -0.188  -0.257 -0.012  -0.339 0.234  -0.204 0.325  0.051 0.366  0.310 0.370  0.566 0.410
1b#apb#apb35#app3592/B  -0.689 0.860  -0.704 0.616  -0.707 0.371  -0.716 0.126  -0.721 -0.119  -0.709 -0.363  -0.694 -0.608  -0.665 -0.851  -0.653 -1.095  -0.635 -1.058  -0.603 -0.815  -0.572 -0.572  -0.541 -0.330  -0.509 -0.087  -0.478 0.156  -0.446 0.399  -0.415 0.642  -0.383 0.885  -0.352 1.128  -0.253 1.313  -0.018 1.383  0.225 1.397  0.440 1.305  0.607 1.129  0.722 0.917  0.674 0.677  0.508 0.500  0.328 0.335  0.140 0.178  -0.064 0.042  -0.273 -0.086  -0.500 -0.118  -0.660 -0.038  -0.485 0.121  -0.252 0.197  -0.013 0.250  0.225 0.305  0.468 0.275  0.704 0.210  0.894 0.060  1.047 -0.129  1.185 -0.332  1.211 -0.563  1.158 -0.802  1.053 -1.019  0.873 -1.176  0.659 -1.293  0.433 -1.388  0.198 -1.450  -0.045 -1.485
1b#apb#apb35#app3592/C  0.426 0.811  0.441 0.700  0.441 0.587  0.441 0.473  0.443 0.360  0.488 0.259  0.520 0.211  0.570 0.310  0.600 0.419  0.620 0.531  0.638 0.643  0.656 0.755  0.639 0.867  0.597 0.968  0.522 1.053  0.448 1.135  0.335 1.127  0.224 1.111  0.124 1.057  0.029 0.996  -0.062 0.928  -0.146 0.852  -0.220 0.766  -0.295 0.681  -0.349 0.582  -0.395 0.478  -0.442 0.375  -0.481 0.268  -0.517 0.161  -0.552 0.053  -0.588 -0.055  -0.610 -0.166  -0.629 -0.278  -0.649 -0.390  -0.643 -0.502  -0.626 -0.614  -0.609 -0.727  -0.562 -0.830  -0.513 -0.932  -0.464 -1.035  -0.394 -1.123  -0.318 -1.208  -0.243 -1.292  -0.158 -1.366  -0.057 -1.417  0.045 -1.467  0.150 -1.508  0.262 -1.522  0.375 -1.536  0.488 -1.550
1b#apb#apb35#app3592/D  -0.431 1.019  -0.378 0.853  -0.378 0.676  -0.378 0.498  -0.378 0.320  -0.389 0.143  -0.415 -0.033  -0.440 -0.209  -0.463 -0.385  -0.485 -0.562  -0.495 -0.739  -0.482 -0.914  -0.449 -1.088  -0.450 -1.113  -0.454 -0.935  -0.458 -0.757  -0.461 -0.579  -0.465 -0.402  -0.469 -0.224  -0.473 -0.046  -0.477 0.132  -0.480 0.309  -0.484 0.487  -0.488 0.665  -0.492 0.843  -0.496 1.020  -0.499 1.198  -0.407 1.282  -0.232 1.258  -0.059 1.215  0.107 1.152  0.272 1.087  0.405 0.970  0.539 0.852  0.649 0.714  0.753 0.569  0.829 0.411  0.885 0.242  0.938 0.073  0.954 -0.104  0.970 -0.281  0.938 -0.456  0.901 -0.630  0.843 -0.796  0.764 -0.955  0.677 -1.110  0.575 -1.255  0.459 -1.386  0.303 -1.472  0.147 -1.557
1b#apb#apb35#app3592/E  -0.315 0.841  -0.282 0.800  -0.318 0.606  -0.356 0.412  -0.401 0.220  -0.478 0.038  -0.556 -0.143  -0.626 -0.328  -0.683 -0.516  -0.722 -0.710  -0.725 -0.908  -0.679 -1.098  -0.525 -1.209  -0.341 -1.267  -0.144 -1.278  0.053 -1.261  0.247 -1.230  0.436 -1.171  0.626 -1.120  0.814 -1.060  0.994 -0.979  0.921 -0.887  0.754 -0.782  0.586 -0.677  0.419 -0.572  0.252 -0.467  0.084 -0.362  -0.083 -0.257  -0.250 -0.152  -0.418 -0.046  -0.526 0.053  -0.339 0.114  -0.146 0.155  0.051 0.167  0.249 0.179  0.446 0.188  0.643 0.174  0.594 0.287  0.468 0.439  0.342 0.591  0.216 0.744  0.090 0.896  -0.036 1.048  -0.162 1.200  -0.288 1.352  -0.355 1.492  -0.173 1.567  0.018 1.618  0.214 1.641  0.411 1.660
1b#apb#apb35#app3592/F  -0.208 0.314  -0.245 0.130  -0.287 -0.052  -0.330 -0.233  -0.359 -0.418  -0.376 -0.604  -0.395 -0.790  -0.426 -0.974  -0.455 -1.159  -0.478 -1.344  -0.490 -1.530  -0.471 -1.716  -0.446 -1.595  -0.442 -1.408  -0.437 -1.221  -0.432 -1.034  -0.428 -0.847  -0.423 -0.660  -0.418 -0.473  -0.414 -0.286  -0.409 -0.100  -0.404 0.087  -0.400 0.274  -0.395 0.461  -0.390 0.648  -0.278 0.789  -0.116 0.881  0.052 0.962  0.223 1.037  0.401 1.094  0.582 1.141  0.767 1.114  0.952 1.115  1.137 1.141  1.324 1.141  1.254 1.050  1.108 0.932  0.963 0.815  0.818 0.697  0.672 0.580  0.527 0.462  0.382 0.345  0.236 0.227  0.091 0.109  -0.054 -0.008  -0.200 -0.126  -0.345 -0.243  -0.352 -0.312  -0.179 -0.242  -0.006 -0.171
1b#apb#apb35#app3592/G  0.189 1.447  0.222 1.306  0.217 1.094  0.173 0.887  0.141 0.677  0.108 0.468  0.091 0.257  0.113 0.369  0.160 0.576  0.205 0.783  0.181 0.993  0.113 1.190  -0.086 1.217  -0.273 1.117  -0.451 1.004  -0.602 0.854  -0.735 0.690  -0.854 0.515  -0.957 0.330  -1.024 0.129  -1.082 -0.075  -1.131 -0.281  -1.154 -0.492  -1.117 -0.697  -1.019 -0.883  -0.877 -1.035  -0.700 -1.152  -0.492 -1.190  -0.284 -1.172  -0.078 -1.125  0.121 -1.052  0.319 -0.975  0.513 -0.890  0.667 -0.748  0.825 -0.609  0.913 -0.437  0.736 -0.340  0.528 -0.321  0.316 -0.327  0.105 -0.315  -0.102 -0.266  -0.166 -0.248  0.043 -0.215  0.255 -0.215  0.465 -0.189  0.675 -0.166  0.887 -0.166  1.096 -0.134  1.303 -0.089  1.506 -0.100
1b#apb#apb35#app3592/H  -0.346 1.381  -0.416 1.166  -0.468 0.913  -0.511 0.657  -0.548 0.401  -0.581 0.144  -0.615 -0.112  -0.651 -0.368  -0.659 -0.627  -0.659 -0.885  -0.633 -1.143  -0.590 -1.398  -0.462 -1.497  -0.386 -1.249  -0.310 -1.002  -0.234 -0.755  -0.159 -0.507  -0.083 -0.260  -0.007 -0.012  0.069 0.235  0.145 0.483  0.220 0.730  0.296 0.978  0.372 1.225  0.448 1.473  0.523 1.720  0.571 1.812  0.556 1.553  0.533 1.296  0.505 1.038  0.475 0.781  0.450 0.524  0.427 0.266  0.417 0.007  0.406 -0.251  0.388 -0.509  0.378 -0.768  0.378 -1.027  0.416 -1.280  0.504 -1.305  0.341 -1.104  0.177 -0.904  0.013 -0.703  -0.150 -0.503  -0.314 -0.302  -0.477 -0.102  -0.322 -0.105  -0.064 -0.080  0.191 -0.039  0.444 0.014
1b#apb#apb35#app3592/I  0.234 0.952  0.185 0.733  0.174 0.507  0.163 0.281  0.141 0.057  0.108 -0.167  0.074 -0.390  0.073 -0.615  0.041 -0.836  0.023 -1.011  -0.059 -0.800  -0.141 -0.590  -0.223 -0.379  -0.304 -0.168  -0.386 0.042  -0.468 0.253  -0.550 0.464  -0.632 0.675  -0.714 0.885  -0.796 1.096  -0.760 1.199  -0.539 1.160  -0.315 1.132  -0.091 1.107  0.135 1.107  0.358 1.069  0.580 1.092  0.805 1.107  1.030 1.116  1.009 1.003  0.869 0.826  0.729 0.648  0.590 0.471  0.450 0.293  0.310 0.115  0.170 -0.062  0.030 -0.240  -0.110 -0.417  -0.250 -0.595  -0.390 -0.772  -0.530 -0.950  -0.670 -1.127  -0.802 -1.305  -0.601 -1.372  -0.379 -1.369  -0.156 -1.330  0.065 -1.286  0.284 -1.230  0.505 -1.190  0.731 -1.190
1b#apb#apb35#app3592/J  0.632 1.014  0.565 0.913  0.539 0.784  0.522 0.650  0.526 0.515  0.521 0.380  0.505 0.245  0.505 0.110  0.501 -0.026  0.493 -0.161  0.493 -0.297  0.493 -0.432  0.502 -0.567  0.495 -0.702  0.461 -0.833  0.408 -0.958  0.328 -1.064  0.205 -1.121  0.085 -1.186  -0.042 -1.232  -0.171 -1.272  -0.301 -1.259  -0.431 -1.221  -0.556 -1.172  -0.667 -1.094  -0.753 -0.990  -0.812 -0.871  -0.844 -0.740  -0.805 -0.612  -0.760 -0.484  -0.714 -0.356  -0.669 -0.228  -0.624 -0.100  -0.578 0.028  -0.533 0.155  -0.488 0.283  -0.442 0.411  -0.397 0.539  -0.352 0.667  -0.306 0.794  -0.261 0.922  -0.216 1.050  -0.086 1.081  0.037 1.137  0.162 1.181  0.297 1.189  0.432 1.203  0.567 1.218  0.700 1.243  0.834 1.267
1b#apb#apb35#app3592/K  -0.560 1.260  -0.571 1.055  -0.591 0.850  -0.613 0.646  -0.619 0.440  -0.619 0.235  -0.619 0.029  -0.619 -0.176  -0.629 -0.381  -0.651 -0.586  -0.644 -0.790  -0.623 -0.995  -0.605 -1.199  -0.588 -1.404  -0.534 -1.416  -0.442 -1.232  -0.350 -1.048  -0.258 -0.864  -0.166 -0.680  -0.074 -0.497  0.018 -0.313  0.109 -0.129  0.201 0.055  0.293 0.239  0.385 0.423  0.477 0.607  0.569 0.790  0.661 0.974  0.753 1.158  0.845 1.342  0.937 1.526  0.815 1.379  0.679 1.225  0.539 1.074  0.412 0.913  0.279 0.757  0.128 0.618  -0.011 0.467  -0.137 0.305  -0.247 0.131  -0.365 -0.023  -0.226 -0.165  -0.081 -0.307  0.038 -0.475  0.169 -0.633  0.334 -0.753  0.483 -0.894  0.620 -1.047  0.760 -1.195  0.940 -1.293
