3#apb#apb28#app2825/H  -0.180 1.527  -0.116 1.443  -0.149 1.252  -0.197 1.059  -0.246 0.867  -0.295 0.674  -0.344 0.482  -0.394 0.290  -0.451 0.100  -0.509 -0.090  -0.567 -0.280  -0.615 -0.472  -0.651 -0.667  -0.687 -0.863  -0.760 -1.047  -0.828 -1.233  -0.875 -1.425  -0.871 -1.311  -0.822 -1.118  -0.773 -0.926  -0.724 -0.733  -0.676 -0.541  -0.627 -0.349  -0.571 -0.168  -0.378 -0.195  -0.180 -0.175  0.017 -0.152  0.215 -0.133  0.331 0.008  0.425 0.183  0.519 0.358  0.613 0.532  0.707 0.707  0.801 0.882  0.896 1.057  0.990 1.232  0.984 1.165  0.923 0.976  0.860 0.788  0.793 0.601  0.721 0.416  0.648 0.232  0.577 0.047  0.514 -0.142  0.451 -0.330  0.388 -0.518  0.341 -0.711  0.295 -0.904  0.255 -1.099  0.221 -1.294
3#apb#apb28#app2825/O  0.589 1.339  0.461 1.297  0.352 1.224  0.257 1.129  0.162 1.034  0.067 0.939  -0.026 0.843  -0.105 0.733  -0.183 0.624  -0.261 0.515  -0.339 0.405  -0.417 0.296  -0.493 0.185  -0.561 0.069  -0.630 -0.047  -0.698 -0.162  -0.766 -0.278  -0.835 -0.394  -0.887 -0.516  -0.922 -0.646  -0.957 -0.776  -0.991 -0.906  -0.930 -1.023  -0.856 -1.131  -0.731 -1.181  -0.606 -1.231  -0.487 -1.200  -0.371 -1.132  -0.255 -1.065  -0.149 -0.984  -0.051 -0.891  0.047 -0.799  0.144 -0.707  0.242 -0.614  0.340 -0.522  0.425 -0.418  0.510 -0.314  0.595 -0.210  0.680 -0.105  0.757 0.004  0.813 0.126  0.869 0.248  0.924 0.370  0.924 0.505  0.924 0.639  0.864 0.760  0.789 0.872  0.704 0.973  0.599 1.057  0.467 1.065
3#apb#apb28#app2825/N  -0.975 0.080  -0.932 -0.049  -0.889 -0.178  -0.887 -0.314  -0.900 -0.447  -0.952 -0.573  -1.005 -0.698  -1.067 -0.818  -1.150 -0.821  -1.115 -0.691  -1.072 -0.562  -1.029 -0.433  -0.986 -0.304  -0.917 -0.187  -0.840 -0.075  -0.763 0.037  -0.686 0.149  -0.607 0.259  -0.525 0.368  -0.444 0.476  -0.357 0.581  -0.263 0.649  -0.180 0.541  -0.084 0.445  -0.007 0.339  0.010 0.204  0.027 0.069  0.044 -0.066  0.068 -0.199  0.095 -0.333  0.162 -0.444  0.258 -0.540  0.360 -0.630  0.468 -0.646  0.573 -0.560  0.678 -0.474  0.773 -0.378  0.846 -0.264  0.920 -0.150  0.993 -0.035  1.047 0.089  1.095 0.216  1.143 0.344  1.190 0.471  1.237 0.599  1.283 0.727  1.312 0.859  1.327 0.994  1.332 1.129  1.390 1.248
3#apb#apb28#app2825/O  0.783 1.431  0.648 1.431  0.536 1.372  0.437 1.281  0.337 1.190  0.237 1.099  0.149 0.998  0.067 0.891  -0.014 0.783  -0.096 0.676  -0.178 0.569  -0.260 0.462  -0.337 0.351  -0.413 0.240  -0.489 0.129  -0.565 0.017  -0.641 -0.094  -0.717 -0.205  -0.776 -0.326  -0.829 -0.450  -0.882 -0.574  -0.935 -0.698  -0.967 -0.828  -0.985 -0.960  -0.906 -1.070  -0.828 -1.179  -0.708 -1.208  -0.573 -1.208  -0.453 -1.161  -0.343 -1.082  -0.234 -1.004  -0.124 -0.926  -0.014 -0.847  0.089 -0.760  0.192 -0.673  0.295 -0.586  0.398 -0.499  0.492 -0.404  0.575 -0.298  0.658 -0.191  0.732 -0.080  0.793 0.041  0.853 0.162  0.903 0.286  0.910 0.413  0.840 0.528  0.738 0.609  0.642 0.704  0.542 0.793  0.421 0.853
3#apb#apb28#app2825/L  0.737 1.471  0.804 1.537  0.826 1.554  0.787 1.468  0.748 1.382  0.706 1.298  0.647 1.225  0.589 1.152  0.530 1.078  0.471 1.005  0.412 0.931  0.354 0.858  0.299 0.781  0.246 0.704  0.192 0.626  0.138 0.549  0.085 0.472  0.031 0.394  -0.022 0.317  -0.076 0.240  -0.134 0.166  -0.192 0.091  -0.250 0.017  -0.308 -0.057  -0.366 -0.131  -0.424 -0.205  -0.482 -0.279  -0.536 -0.356  -0.590 -0.433  -0.643 -0.510  -0.697 -0.588  -0.751 -0.664  -0.806 -0.741  -0.832 -0.825  -0.772 -0.880  -0.680 -0.890  -0.588 -0.870  -0.496 -0.849  -0.403 -0.839  -0.309 -0.830  -0.216 -0.834  -0.124 -0.852  -0.032 -0.871  0.062 -0.871  0.147 -0.900  0.220 -0.958  0.295 -1.015  0.381 -1.049  0.468 -1.030  0.552 -0.987
3#apb#apb28#app2825/U  -0.525 1.096  -0.525 1.201  -0.463 1.217  -0.496 1.118  -0.530 1.019  -0.573 0.924  -0.616 0.829  -0.660 0.734  -0.696 0.637  -0.716 0.534  -0.737 0.432  -0.757 0.330  -0.778 0.227  -0.798 0.125  -0.819 0.022  -0.821 -0.082  -0.821 -0.186  -0.821 -0.291  -0.821 -0.395  -0.784 -0.491  -0.737 -0.584  -0.691 -0.678  -0.606 -0.739  -0.521 -0.800  -0.431 -0.845  -0.327 -0.845  -0.222 -0.845  -0.118 -0.845  -0.021 -0.809  0.073 -0.765  0.168 -0.721  0.263 -0.677  0.357 -0.633  0.444 -0.576  0.525 -0.510  0.606 -0.443  0.686 -0.377  0.766 -0.309  0.832 -0.229  0.898 -0.148  0.964 -0.067  1.030 0.014  1.091 0.099  1.149 0.185  1.198 0.277  1.231 0.376  1.262 0.475  1.291 0.576  1.312 0.674  1.285 0.767
3#apb#apb28#app2825/L  0.967 1.326  1.004 1.418  1.000 1.485  0.919 1.427  0.840 1.367  0.779 1.288  0.719 1.208  0.658 1.129  0.598 1.050  0.538 0.970  0.477 0.891  0.414 0.814  0.350 0.737  0.286 0.661  0.222 0.585  0.158 0.509  0.094 0.432  0.030 0.356  -0.035 0.280  -0.100 0.205  -0.167 0.130  -0.233 0.056  -0.300 -0.018  -0.366 -0.093  -0.433 -0.167  -0.497 -0.243  -0.560 -0.320  -0.623 -0.397  -0.686 -0.475  -0.749 -0.552  -0.808 -0.632  -0.860 -0.717  -0.918 -0.792  -0.943 -0.841  -0.843 -0.841  -0.744 -0.833  -0.646 -0.815  -0.548 -0.798  -0.449 -0.792  -0.349 -0.792  -0.249 -0.792  -0.150 -0.787  -0.051 -0.778  0.049 -0.769  0.140 -0.804  0.229 -0.849  0.320 -0.842  0.413 -0.828  0.505 -0.865  0.602 -0.890
3#apb#apb28#app2825/U  -0.535 1.255  -0.549 1.153  -0.564 1.050  -0.578 0.948  -0.593 0.846  -0.620 0.747  -0.660 0.652  -0.700 0.557  -0.740 0.462  -0.781 0.367  -0.821 0.272  -0.861 0.176  -0.870 0.074  -0.878 -0.029  -0.885 -0.132  -0.892 -0.235  -0.884 -0.336  -0.856 -0.436  -0.829 -0.535  -0.802 -0.635  -0.725 -0.697  -0.637 -0.752  -0.550 -0.807  -0.449 -0.808  -0.347 -0.799  -0.244 -0.790  -0.143 -0.772  -0.046 -0.736  0.050 -0.699  0.147 -0.663  0.244 -0.627  0.340 -0.591  0.421 -0.528  0.500 -0.461  0.579 -0.395  0.658 -0.328  0.737 -0.261  0.808 -0.187  0.870 -0.105  0.932 -0.022  0.994 0.060  1.056 0.143  1.102 0.235  1.140 0.330  1.178 0.426  1.215 0.523  1.248 0.620  1.273 0.720  1.273 0.823  1.273 0.926
3#apb#apb28#app2825/R  0.183 0.566  0.069 0.417  -0.038 0.264  -0.122 0.096  -0.206 -0.071  -0.289 -0.239  -0.371 -0.408  -0.452 -0.577  -0.533 -0.746  -0.654 -0.889  -0.778 -1.029  -0.894 -1.176  -1.017 -1.300  -1.044 -1.158  -1.022 -0.971  -0.957 -0.796  -0.889 -0.621  -0.814 -0.450  -0.724 -0.286  -0.633 -0.121  -0.542 0.042  -0.449 0.205  -0.357 0.368  -0.254 0.525  -0.152 0.682  -0.047 0.837  0.090 0.965  0.227 1.094  0.380 1.200  0.542 1.295  0.718 1.359  0.892 1.309  1.044 1.203  1.131 1.043  1.166 0.862  1.152 0.676  1.099 0.498  0.996 0.345  0.842 0.237  0.685 0.136  0.527 0.035  0.370 -0.068  0.230 -0.192  0.090 -0.317  -0.017 -0.466  -0.085 -0.640  -0.010 -0.796  0.134 -0.913  0.304 -0.988  0.484 -1.039
3#apb#apb28#app2825/O  0.337 1.202  0.231 1.114  0.125 1.026  0.020 0.938  -0.077 0.841  -0.160 0.731  -0.242 0.621  -0.325 0.511  -0.407 0.401  -0.477 0.283  -0.544 0.162  -0.610 0.041  -0.676 -0.079  -0.743 -0.200  -0.810 -0.320  -0.878 -0.439  -0.946 -0.559  -1.015 -0.678  -1.018 -0.811  -1.003 -0.948  -0.938 -1.063  -0.850 -1.169  -0.729 -1.133  -0.603 -1.077  -0.474 -1.031  -0.342 -0.993  -0.210 -0.954  -0.078 -0.915  0.042 -0.852  0.148 -0.765  0.255 -0.678  0.362 -0.591  0.469 -0.504  0.572 -0.413  0.674 -0.321  0.776 -0.228  0.863 -0.125  0.919 0.001  0.973 0.127  0.988 0.264  1.004 0.400  0.983 0.536  0.920 0.651  0.822 0.748  0.725 0.846  0.619 0.933  0.508 1.014  0.397 1.095  0.277 1.159  0.146 1.202
3#apb#apb28#app2825/C  1.017 1.341  0.962 1.298  0.906 1.256  0.851 1.213  0.795 1.170  0.740 1.128  0.684 1.085  0.629 1.042  0.573 1.000  0.531 0.945  0.491 0.887  0.451 0.829  0.412 0.771  0.372 0.714  0.333 0.656  0.293 0.598  0.254 0.540  0.214 0.483  0.175 0.425  0.135 0.367  0.097 0.308  0.064 0.247  0.031 0.185  -0.003 0.123  -0.036 0.062  -0.069 0.000  -0.103 -0.061  -0.136 -0.123  -0.169 -0.184  -0.203 -0.246  -0.236 -0.307  -0.269 -0.369  -0.303 -0.431  -0.336 -0.492  -0.369 -0.554  -0.402 -0.616  -0.435 -0.678  -0.467 -0.740  -0.500 -0.801  -0.533 -0.863  -0.566 -0.925  -0.598 -0.987  -0.631 -1.049  -0.664 -1.111  -0.664 -1.181  -0.664 -1.251  -0.664 -1.321  -0.664 -1.391  -0.664 -1.461  -0.664 -1.531
3#apb#apb28#app2825/K  -0.379 1.139  -0.312 0.970  -0.384 0.796  -0.457 0.622  -0.541 0.454  -0.636 0.292  -0.732 0.129  -0.827 -0.033  -0.937 -0.186  -1.056 -0.332  -1.175 -0.478  -1.263 -0.643  -1.340 -0.815  -1.247 -0.920  -1.068 -0.860  -0.924 -0.741  -0.781 -0.617  -0.639 -0.494  -0.497 -0.370  -0.348 -0.255  -0.199 -0.139  -0.050 -0.023  0.098 0.093  0.237 0.219  0.361 0.361  0.485 0.503  0.609 0.644  0.743 0.772  0.923 0.826  1.104 0.876  1.293 0.876  1.457 0.831  1.562 0.674  1.442 0.568  1.281 0.471  1.119 0.374  0.957 0.277  0.796 0.180  0.634 0.083  0.473 -0.014  0.311 -0.111  0.149 -0.208  -0.012 -0.305  -0.174 -0.402  -0.290 -0.514  -0.220 -0.689  -0.146 -0.859  0.027 -0.933  0.200 -1.008  0.374 -1.082
3#apb#apb28#app2825/M  -0.574 0.346  -0.678 0.241  -0.768 0.126  -0.836 -0.006  -0.905 -0.137  -0.972 -0.269  -1.040 -0.400  -1.108 -0.532  -1.174 -0.665  -1.240 -0.797  -1.307 -0.930  -1.204 -0.862  -1.102 -0.754  -1.015 -0.635  -0.928 -0.515  -0.841 -0.395  -0.754 -0.275  -0.667 -0.155  -0.585 -0.033  -0.518 0.100  -0.452 0.232  -0.390 0.366  -0.332 0.503  -0.274 0.530  -0.236 0.388  -0.220 0.241  -0.130 0.129  0.002 0.068  0.140 0.058  0.276 0.118  0.411 0.178  0.542 0.247  0.673 0.317  0.802 0.388  0.913 0.486  1.024 0.584  1.134 0.683  1.242 0.784  1.333 0.792  1.305 0.652  1.261 0.510  1.215 0.370  1.168 0.229  1.121 0.089  1.073 -0.051  1.025 -0.191  0.974 -0.330  0.922 -0.469  0.867 -0.606  0.830 -0.749
3#apb#apb28#app2825/I  0.013 1.648  0.047 1.585  0.081 1.522  0.116 1.459  0.150 1.396  0.184 1.333  0.213 1.268  0.220 1.197  0.228 1.125  0.235 1.054  0.243 0.982  0.250 0.911  0.258 0.840  0.265 0.768  0.273 0.697  0.274 0.625  0.268 0.554  0.262 0.482  0.256 0.411  0.250 0.339  0.243 0.268  0.237 0.196  0.231 0.125  0.225 0.053  0.218 -0.018  0.212 -0.090  0.186 -0.156  0.156 -0.221  0.125 -0.286  0.095 -0.351  0.064 -0.416  0.034 -0.481  0.003 -0.546  -0.027 -0.611  -0.059 -0.675  -0.099 -0.735  -0.139 -0.795  -0.179 -0.854  -0.219 -0.914  -0.259 -0.974  -0.298 -1.034  -0.338 -1.093  -0.378 -1.153  -0.429 -1.203  -0.482 -1.251  -0.535 -1.300  -0.588 -1.348  -0.642 -1.396  -0.695 -1.445  -0.748 -1.493
3#apb#apb28#app2825/A  -0.813 -0.414  -0.894 -0.559  -0.976 -0.704  -1.052 -0.853  -1.119 -0.996  -1.117 -0.849  -1.050 -0.696  -0.974 -0.548  -0.890 -0.404  -0.805 -0.261  -0.720 -0.117  -0.636 0.026  -0.551 0.170  -0.467 0.314  -0.382 0.457  -0.286 0.593  -0.181 0.722  -0.077 0.852  0.028 0.981  0.146 1.098  0.274 1.204  0.403 1.310  0.546 1.395  0.702 1.404  0.807 1.306  0.853 1.146  0.856 0.981  0.843 0.815  0.830 0.649  0.808 0.484  0.777 0.321  0.747 0.157  0.715 -0.007  0.676 -0.169  0.637 -0.331  0.599 -0.493  0.566 -0.656  0.533 -0.820  0.465 -0.968  0.374 -1.108  0.257 -1.219  0.192 -1.065  0.127 -0.912  0.062 -0.758  -0.003 -0.605  -0.068 -0.452  -0.133 -0.298  -0.198 -0.145  -0.284 -0.011  -0.146 0.031
3#apb#apb28#app2825/M  -1.236 -0.038  -1.247 -0.169  -1.260 -0.300  -1.279 -0.431  -1.306 -0.559  -1.362 -0.677  -1.276 -0.593  -1.194 -0.489  -1.117 -0.383  -1.039 -0.276  -0.961 -0.169  -0.884 -0.063  -0.806 0.044  -0.745 0.158  -0.707 0.285  -0.670 0.411  -0.546 0.415  -0.512 0.299  -0.504 0.167  -0.514 0.036  -0.511 -0.094  -0.472 -0.219  -0.378 -0.285  -0.251 -0.249  -0.130 -0.202  -0.026 -0.120  0.077 -0.038  0.181 0.043  0.285 0.124  0.389 0.205  0.494 0.285  0.598 0.366  0.699 0.451  0.800 0.535  0.902 0.619  1.005 0.701  1.114 0.768  1.211 0.725  1.241 0.597  1.242 0.468  1.213 0.340  1.184 0.211  1.155 0.082  1.125 -0.046  1.096 -0.175  1.064 -0.302  1.018 -0.426  0.972 -0.550  0.940 -0.676  0.927 -0.807
